HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",33NF62TLXKS8PXCJ530IKHYWQETJKI,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:09:09 PDT 2016","Sun Sep 25 01:10:48 PDT 2016",2[BrandenburgGate_00000248.jpg],1[BrandenburgGate_00000404.jpg],1[BrandenburgGate_00000236.jpg],3[BrandenburgGate_00000087.jpg],4[BrandenburgGate_00000009.jpg],1[BrandenburgGate_00000482.jpg],1[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],5[BrandenburgGate_00000031.jpg],3[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],4[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],5[BrandenburgGate_00000102.jpg],3[BrandenburgGate_00000068.jpg],4[BrandenburgGate_00000178.jpg],3[BrandenburgGate_00000090.jpg],3[BrandenburgGate_00000089.jpg],4[BrandenburgGate_00000067.jpg],3[BrandenburgGate_00000374.jpg],2[BrandenburgGate_00000147.jpg],5[BrandenburgGate_00000007.jpg],4[BrandenburgGate_00000225.jpg],4[BrandenburgGate_00000234.jpg],4[BrandenburgGate_00000038.jpg],4[BrandenburgGate_00000375.jpg],3[BrandenburgGate_00000179.jpg],4[BrandenburgGate_00000405.jpg],1[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3RXCAC0YISFE3UKHO8ICXZXP3MKG8U,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:59:08 PDT 2016","Sun Sep 25 02:09:58 PDT 2016",5[BrandenburgGate_00000248.jpg],5[BrandenburgGate_00000404.jpg],5[BrandenburgGate_00000236.jpg],5[BrandenburgGate_00000087.jpg],5[BrandenburgGate_00000009.jpg],5[BrandenburgGate_00000482.jpg],5[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],5[BrandenburgGate_00000128.jpg],5[BrandenburgGate_00000031.jpg],5[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],5[BrandenburgGate_00000381.jpg],5[BrandenburgGate_00000264.jpg],5[BrandenburgGate_00000102.jpg],5[BrandenburgGate_00000068.jpg],5[BrandenburgGate_00000178.jpg],5[BrandenburgGate_00000090.jpg],5[BrandenburgGate_00000089.jpg],5[BrandenburgGate_00000067.jpg],5[BrandenburgGate_00000374.jpg],5[BrandenburgGate_00000147.jpg],5[BrandenburgGate_00000007.jpg],5[BrandenburgGate_00000225.jpg],5[BrandenburgGate_00000234.jpg],5[BrandenburgGate_00000038.jpg],5[BrandenburgGate_00000375.jpg],5[BrandenburgGate_00000179.jpg],5[BrandenburgGate_00000405.jpg],5[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3HUTX6F6VVDR9SZQWAMJSHTO88LO2O,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:41:06 PDT 2016","Sun Sep 25 02:42:56 PDT 2016",3[BrandenburgGate_00000248.jpg],3[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],3[BrandenburgGate_00000087.jpg],4[BrandenburgGate_00000009.jpg],4[BrandenburgGate_00000482.jpg],2[BrandenburgGate_00000123.jpg],4[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],4[BrandenburgGate_00000031.jpg],3[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],4[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],4[BrandenburgGate_00000102.jpg],4[BrandenburgGate_00000068.jpg],1[BrandenburgGate_00000178.jpg],3[BrandenburgGate_00000090.jpg],3[BrandenburgGate_00000089.jpg],4[BrandenburgGate_00000067.jpg],2[BrandenburgGate_00000374.jpg],2[BrandenburgGate_00000147.jpg],4[BrandenburgGate_00000007.jpg],2[BrandenburgGate_00000225.jpg],3[BrandenburgGate_00000234.jpg],4[BrandenburgGate_00000038.jpg],4[BrandenburgGate_00000375.jpg],4[BrandenburgGate_00000179.jpg],4[BrandenburgGate_00000405.jpg],3[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3L4PIM1GQU6K7QKDHNAIVGZYYA1YRP,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:14:06 PDT 2016","Sun Sep 25 03:15:44 PDT 2016",3[BrandenburgGate_00000248.jpg],3[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],5[BrandenburgGate_00000087.jpg],5[BrandenburgGate_00000009.jpg],4[BrandenburgGate_00000482.jpg],2[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],5[BrandenburgGate_00000031.jpg],1[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],4[BrandenburgGate_00000381.jpg],3[BrandenburgGate_00000264.jpg],3[BrandenburgGate_00000102.jpg],4[BrandenburgGate_00000068.jpg],3[BrandenburgGate_00000178.jpg],5[BrandenburgGate_00000090.jpg],5[BrandenburgGate_00000089.jpg],4[BrandenburgGate_00000067.jpg],3[BrandenburgGate_00000374.jpg],2[BrandenburgGate_00000147.jpg],5[BrandenburgGate_00000007.jpg],3[BrandenburgGate_00000225.jpg],2[BrandenburgGate_00000234.jpg],3[BrandenburgGate_00000038.jpg],3[BrandenburgGate_00000375.jpg],3[BrandenburgGate_00000179.jpg],3[BrandenburgGate_00000405.jpg],3[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",38F71OA9GUMNAJQQ7PMDKWY8MCDFMM,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:31:10 PDT 2016","Sun Sep 25 03:31:57 PDT 2016",4[BrandenburgGate_00000248.jpg],5[BrandenburgGate_00000404.jpg],5[BrandenburgGate_00000236.jpg],5[BrandenburgGate_00000087.jpg],5[BrandenburgGate_00000009.jpg],5[BrandenburgGate_00000482.jpg],5[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],5[BrandenburgGate_00000031.jpg],5[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],5[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],5[BrandenburgGate_00000102.jpg],5[BrandenburgGate_00000068.jpg],5[BrandenburgGate_00000178.jpg],5[BrandenburgGate_00000090.jpg],5[BrandenburgGate_00000089.jpg],5[BrandenburgGate_00000067.jpg],5[BrandenburgGate_00000374.jpg],5[BrandenburgGate_00000147.jpg],5[BrandenburgGate_00000007.jpg],5[BrandenburgGate_00000225.jpg],5[BrandenburgGate_00000234.jpg],5[BrandenburgGate_00000038.jpg],5[BrandenburgGate_00000375.jpg],5[BrandenburgGate_00000179.jpg],5[BrandenburgGate_00000405.jpg],5[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",33C7UALJVMOHZFUE6PX9QCTJ1X581Q,A22JTMBADARX55,Approved,"Sun Sep 25 03:40:27 PDT 2016","Sun Sep 25 03:43:09 PDT 2016",2[BrandenburgGate_00000248.jpg],3[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],2[BrandenburgGate_00000087.jpg],3[BrandenburgGate_00000009.jpg],2[BrandenburgGate_00000482.jpg],4[BrandenburgGate_00000123.jpg],4[BrandenburgGate_00000010.jpg],3[BrandenburgGate_00000128.jpg],3[BrandenburgGate_00000031.jpg],4[BrandenburgGate_00000237.jpg],4[BrandenburgGate_00000012.jpg],3[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],4[BrandenburgGate_00000102.jpg],4[BrandenburgGate_00000068.jpg],3[BrandenburgGate_00000178.jpg],4[BrandenburgGate_00000090.jpg],4[BrandenburgGate_00000089.jpg],3[BrandenburgGate_00000067.jpg],3[BrandenburgGate_00000374.jpg],3[BrandenburgGate_00000147.jpg],3[BrandenburgGate_00000007.jpg],3[BrandenburgGate_00000225.jpg],4[BrandenburgGate_00000234.jpg],4[BrandenburgGate_00000038.jpg],3[BrandenburgGate_00000375.jpg],2[BrandenburgGate_00000179.jpg],3[BrandenburgGate_00000405.jpg],3[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3KYQYYSHYWXEC2X6TZ60O0KS5ZLOD8,AWQDOOSNH42QM,Approved,"Sun Sep 25 08:00:12 PDT 2016","Sun Sep 25 08:01:13 PDT 2016",5[BrandenburgGate_00000248.jpg],5[BrandenburgGate_00000404.jpg],5[BrandenburgGate_00000236.jpg],5[BrandenburgGate_00000087.jpg],5[BrandenburgGate_00000009.jpg],5[BrandenburgGate_00000482.jpg],5[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],5[BrandenburgGate_00000128.jpg],3[BrandenburgGate_00000031.jpg],5[BrandenburgGate_00000237.jpg],3[BrandenburgGate_00000012.jpg],3[BrandenburgGate_00000381.jpg],5[BrandenburgGate_00000264.jpg],5[BrandenburgGate_00000102.jpg],3[BrandenburgGate_00000068.jpg],5[BrandenburgGate_00000178.jpg],5[BrandenburgGate_00000090.jpg],5[BrandenburgGate_00000089.jpg],3[BrandenburgGate_00000067.jpg],4[BrandenburgGate_00000374.jpg],3[BrandenburgGate_00000147.jpg],4[BrandenburgGate_00000007.jpg],4[BrandenburgGate_00000225.jpg],5[BrandenburgGate_00000234.jpg],5[BrandenburgGate_00000038.jpg],5[BrandenburgGate_00000375.jpg],3[BrandenburgGate_00000179.jpg],5[BrandenburgGate_00000405.jpg],3[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3K3R2QNK8CTXMH4MD5D71ATRW0VU9B,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:08:18 PDT 2016","Sun Sep 25 08:09:25 PDT 2016",3[BrandenburgGate_00000248.jpg],3[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],3[BrandenburgGate_00000087.jpg],3[BrandenburgGate_00000009.jpg],4[BrandenburgGate_00000482.jpg],2[BrandenburgGate_00000123.jpg],3[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],1[BrandenburgGate_00000031.jpg],1[BrandenburgGate_00000237.jpg],4[BrandenburgGate_00000012.jpg],3[BrandenburgGate_00000381.jpg],3[BrandenburgGate_00000264.jpg],3[BrandenburgGate_00000102.jpg],1[BrandenburgGate_00000068.jpg],2[BrandenburgGate_00000178.jpg],3[BrandenburgGate_00000090.jpg],3[BrandenburgGate_00000089.jpg],1[BrandenburgGate_00000067.jpg],1[BrandenburgGate_00000374.jpg],1[BrandenburgGate_00000147.jpg],4[BrandenburgGate_00000007.jpg],1[BrandenburgGate_00000225.jpg],4[BrandenburgGate_00000234.jpg],2[BrandenburgGate_00000038.jpg],2[BrandenburgGate_00000375.jpg],1[BrandenburgGate_00000179.jpg],5[BrandenburgGate_00000405.jpg],1[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3ZPBJO59KQR4KLBJPMBA4RNRTEHHDP,A311BTV53IKX3D,Approved,"Sun Sep 25 10:02:05 PDT 2016","Sun Sep 25 10:04:08 PDT 2016",3[BrandenburgGate_00000248.jpg],3[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],3[BrandenburgGate_00000087.jpg],4[BrandenburgGate_00000009.jpg],3[BrandenburgGate_00000482.jpg],3[BrandenburgGate_00000123.jpg],5[BrandenburgGate_00000010.jpg],3[BrandenburgGate_00000128.jpg],4[BrandenburgGate_00000031.jpg],3[BrandenburgGate_00000237.jpg],3[BrandenburgGate_00000012.jpg],3[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],3[BrandenburgGate_00000102.jpg],3[BrandenburgGate_00000068.jpg],4[BrandenburgGate_00000178.jpg],4[BrandenburgGate_00000090.jpg],4[BrandenburgGate_00000089.jpg],3[BrandenburgGate_00000067.jpg],3[BrandenburgGate_00000374.jpg],3[BrandenburgGate_00000147.jpg],4[BrandenburgGate_00000007.jpg],3[BrandenburgGate_00000225.jpg],5[BrandenburgGate_00000234.jpg],3[BrandenburgGate_00000038.jpg],3[BrandenburgGate_00000375.jpg],3[BrandenburgGate_00000179.jpg],3[BrandenburgGate_00000405.jpg],3[BrandenburgGate_00000340.jpg],
3087LXLJ6M6OLLLQSHUEXFWAHO7F0P,"BrandenburgGate_240-269","sample#command",3URFVVM1668CS8MZH376EYVKB40ZUE,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 11:22:25 PDT 2016","Sun Sep 25 11:24:39 PDT 2016",2[BrandenburgGate_00000248.jpg],2[BrandenburgGate_00000404.jpg],3[BrandenburgGate_00000236.jpg],3[BrandenburgGate_00000087.jpg],3[BrandenburgGate_00000009.jpg],4[BrandenburgGate_00000482.jpg],4[BrandenburgGate_00000123.jpg],4[BrandenburgGate_00000010.jpg],4[BrandenburgGate_00000128.jpg],5[BrandenburgGate_00000031.jpg],4[BrandenburgGate_00000237.jpg],5[BrandenburgGate_00000012.jpg],5[BrandenburgGate_00000381.jpg],4[BrandenburgGate_00000264.jpg],3[BrandenburgGate_00000102.jpg],3[BrandenburgGate_00000068.jpg],3[BrandenburgGate_00000178.jpg],4[BrandenburgGate_00000090.jpg],2[BrandenburgGate_00000089.jpg],1[BrandenburgGate_00000067.jpg],4[BrandenburgGate_00000374.jpg],3[BrandenburgGate_00000147.jpg],5[BrandenburgGate_00000007.jpg],4[BrandenburgGate_00000225.jpg],5[BrandenburgGate_00000234.jpg],4[BrandenburgGate_00000038.jpg],5[BrandenburgGate_00000375.jpg],4[BrandenburgGate_00000179.jpg],5[BrandenburgGate_00000405.jpg],4[BrandenburgGate_00000340.jpg],
