HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",38BQUHLA9XQHGW3J6S537Q7MEDXMO8,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:19 PDT 2016","Sun Sep 25 00:57:59 PDT 2016",5[BrandenburgGate_00000509.jpg],5[BrandenburgGate_00000379.jpg],4[BrandenburgGate_00000376.jpg],5[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],5[BrandenburgGate_00000490.jpg],5[BrandenburgGate_00000465.jpg],3[BrandenburgGate_00000372.jpg],3[BrandenburgGate_00000265.jpg],4[BrandenburgGate_00000363.jpg],3[BrandenburgGate_00000468.jpg],3[BrandenburgGate_00000077.jpg],3[BrandenburgGate_00000319.jpg],4[BrandenburgGate_00000322.jpg],5[BrandenburgGate_00000146.jpg],5[BrandenburgGate_00000024.jpg],4[BrandenburgGate_00000341.jpg],4[BrandenburgGate_00000180.jpg],3[BrandenburgGate_00000092.jpg],4[BrandenburgGate_00000327.jpg],4[BrandenburgGate_00000437.jpg],4[BrandenburgGate_00000294.jpg],2[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],4[BrandenburgGate_00000383.jpg],4[BrandenburgGate_00000266.jpg],5[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],5[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",32N49TQG3H8B4F3RA11CTR6UGP6VA0,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:03:00 PDT 2016","Sun Sep 25 01:04:23 PDT 2016",2[BrandenburgGate_00000509.jpg],3[BrandenburgGate_00000379.jpg],4[BrandenburgGate_00000376.jpg],3[BrandenburgGate_00000352.jpg],4[BrandenburgGate_00000212.jpg],2[BrandenburgGate_00000490.jpg],2[BrandenburgGate_00000465.jpg],4[BrandenburgGate_00000372.jpg],3[BrandenburgGate_00000265.jpg],1[BrandenburgGate_00000363.jpg],1[BrandenburgGate_00000468.jpg],4[BrandenburgGate_00000077.jpg],4[BrandenburgGate_00000319.jpg],3[BrandenburgGate_00000322.jpg],3[BrandenburgGate_00000146.jpg],4[BrandenburgGate_00000024.jpg],4[BrandenburgGate_00000341.jpg],4[BrandenburgGate_00000180.jpg],5[BrandenburgGate_00000092.jpg],4[BrandenburgGate_00000327.jpg],3[BrandenburgGate_00000437.jpg],2[BrandenburgGate_00000294.jpg],1[BrandenburgGate_00000358.jpg],4[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],4[BrandenburgGate_00000383.jpg],3[BrandenburgGate_00000266.jpg],1[BrandenburgGate_00000300.jpg],4[BrandenburgGate_00000071.jpg],2[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",39OWYR0EPLHN40F4QSAOERLFVMNFY8,A22FYEGZ5QLW37,Approved,"Sun Sep 25 01:56:57 PDT 2016","Sun Sep 25 02:00:54 PDT 2016",1[BrandenburgGate_00000509.jpg],2[BrandenburgGate_00000379.jpg],4[BrandenburgGate_00000376.jpg],4[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],1[BrandenburgGate_00000490.jpg],3[BrandenburgGate_00000465.jpg],2[BrandenburgGate_00000372.jpg],3[BrandenburgGate_00000265.jpg],4[BrandenburgGate_00000363.jpg],4[BrandenburgGate_00000468.jpg],5[BrandenburgGate_00000077.jpg],5[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],4[BrandenburgGate_00000146.jpg],2[BrandenburgGate_00000024.jpg],2[BrandenburgGate_00000341.jpg],3[BrandenburgGate_00000180.jpg],4[BrandenburgGate_00000092.jpg],3[BrandenburgGate_00000327.jpg],4[BrandenburgGate_00000437.jpg],3[BrandenburgGate_00000294.jpg],3[BrandenburgGate_00000358.jpg],4[BrandenburgGate_00000063.jpg],4[BrandenburgGate_00000005.jpg],3[BrandenburgGate_00000383.jpg],5[BrandenburgGate_00000266.jpg],3[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],4[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3Y4W8Q93L0A92M63UBSEJSE01S5DVM,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:01:53 PDT 2016","Sun Sep 25 02:17:54 PDT 2016",5[BrandenburgGate_00000509.jpg],5[BrandenburgGate_00000379.jpg],5[BrandenburgGate_00000376.jpg],5[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],5[BrandenburgGate_00000490.jpg],5[BrandenburgGate_00000465.jpg],5[BrandenburgGate_00000372.jpg],5[BrandenburgGate_00000265.jpg],5[BrandenburgGate_00000363.jpg],5[BrandenburgGate_00000468.jpg],5[BrandenburgGate_00000077.jpg],5[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],5[BrandenburgGate_00000146.jpg],5[BrandenburgGate_00000024.jpg],5[BrandenburgGate_00000341.jpg],5[BrandenburgGate_00000180.jpg],5[BrandenburgGate_00000092.jpg],5[BrandenburgGate_00000327.jpg],5[BrandenburgGate_00000437.jpg],5[BrandenburgGate_00000294.jpg],5[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],5[BrandenburgGate_00000383.jpg],5[BrandenburgGate_00000266.jpg],5[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],5[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3LEP4MGT3HQUT88XPU1EIGKTY0QDBH,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:25:10 PDT 2016","Sun Sep 25 02:26:46 PDT 2016",3[BrandenburgGate_00000509.jpg],3[BrandenburgGate_00000379.jpg],3[BrandenburgGate_00000376.jpg],4[BrandenburgGate_00000352.jpg],4[BrandenburgGate_00000212.jpg],3[BrandenburgGate_00000490.jpg],4[BrandenburgGate_00000465.jpg],4[BrandenburgGate_00000372.jpg],4[BrandenburgGate_00000265.jpg],3[BrandenburgGate_00000363.jpg],4[BrandenburgGate_00000468.jpg],4[BrandenburgGate_00000077.jpg],5[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],3[BrandenburgGate_00000146.jpg],4[BrandenburgGate_00000024.jpg],4[BrandenburgGate_00000341.jpg],4[BrandenburgGate_00000180.jpg],5[BrandenburgGate_00000092.jpg],3[BrandenburgGate_00000327.jpg],3[BrandenburgGate_00000437.jpg],3[BrandenburgGate_00000294.jpg],3[BrandenburgGate_00000358.jpg],4[BrandenburgGate_00000063.jpg],4[BrandenburgGate_00000005.jpg],4[BrandenburgGate_00000383.jpg],3[BrandenburgGate_00000266.jpg],1[BrandenburgGate_00000300.jpg],4[BrandenburgGate_00000071.jpg],1[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3NGI5ARFTUV257TVS6ZKCYO9Q751P3,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:20:28 PDT 2016","Sun Sep 25 03:22:19 PDT 2016",2[BrandenburgGate_00000509.jpg],5[BrandenburgGate_00000379.jpg],5[BrandenburgGate_00000376.jpg],5[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],4[BrandenburgGate_00000490.jpg],4[BrandenburgGate_00000465.jpg],5[BrandenburgGate_00000372.jpg],3[BrandenburgGate_00000265.jpg],2[BrandenburgGate_00000363.jpg],4[BrandenburgGate_00000468.jpg],5[BrandenburgGate_00000077.jpg],3[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],3[BrandenburgGate_00000146.jpg],4[BrandenburgGate_00000024.jpg],4[BrandenburgGate_00000341.jpg],4[BrandenburgGate_00000180.jpg],4[BrandenburgGate_00000092.jpg],5[BrandenburgGate_00000327.jpg],2[BrandenburgGate_00000437.jpg],2[BrandenburgGate_00000294.jpg],2[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],5[BrandenburgGate_00000383.jpg],3[BrandenburgGate_00000266.jpg],2[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],3[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",354P56DE9LTDTLOP93KN8DKXGDBS76,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:20:48 PDT 2016","Sun Sep 25 03:24:08 PDT 2016",3[BrandenburgGate_00000509.jpg],4[BrandenburgGate_00000379.jpg],3[BrandenburgGate_00000376.jpg],2[BrandenburgGate_00000352.jpg],3[BrandenburgGate_00000212.jpg],4[BrandenburgGate_00000490.jpg],4[BrandenburgGate_00000465.jpg],5[BrandenburgGate_00000372.jpg],5[BrandenburgGate_00000265.jpg],4[BrandenburgGate_00000363.jpg],4[BrandenburgGate_00000468.jpg],4[BrandenburgGate_00000077.jpg],4[BrandenburgGate_00000319.jpg],4[BrandenburgGate_00000322.jpg],2[BrandenburgGate_00000146.jpg],4[BrandenburgGate_00000024.jpg],4[BrandenburgGate_00000341.jpg],4[BrandenburgGate_00000180.jpg],4[BrandenburgGate_00000092.jpg],4[BrandenburgGate_00000327.jpg],4[BrandenburgGate_00000437.jpg],5[BrandenburgGate_00000294.jpg],5[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],4[BrandenburgGate_00000383.jpg],4[BrandenburgGate_00000266.jpg],4[BrandenburgGate_00000300.jpg],4[BrandenburgGate_00000071.jpg],2[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3GGAI1SQEWOG776GGNWCCQD5PZLCM8,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:29:54 PDT 2016","Sun Sep 25 03:33:51 PDT 2016",1[BrandenburgGate_00000509.jpg],3[BrandenburgGate_00000379.jpg],3[BrandenburgGate_00000376.jpg],1[BrandenburgGate_00000352.jpg],4[BrandenburgGate_00000212.jpg],4[BrandenburgGate_00000490.jpg],4[BrandenburgGate_00000465.jpg],2[BrandenburgGate_00000372.jpg],4[BrandenburgGate_00000265.jpg],1[BrandenburgGate_00000363.jpg],4[BrandenburgGate_00000468.jpg],2[BrandenburgGate_00000077.jpg],4[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],3[BrandenburgGate_00000146.jpg],5[BrandenburgGate_00000024.jpg],1[BrandenburgGate_00000341.jpg],2[BrandenburgGate_00000180.jpg],4[BrandenburgGate_00000092.jpg],4[BrandenburgGate_00000327.jpg],3[BrandenburgGate_00000437.jpg],2[BrandenburgGate_00000294.jpg],1[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],1[BrandenburgGate_00000383.jpg],3[BrandenburgGate_00000266.jpg],1[BrandenburgGate_00000300.jpg],2[BrandenburgGate_00000071.jpg],4[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3X73LLYYQ24D6X2WEGPD0WZL7H9NH1,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:56:31 PDT 2016","Sun Sep 25 07:58:11 PDT 2016",3[BrandenburgGate_00000509.jpg],5[BrandenburgGate_00000379.jpg],5[BrandenburgGate_00000376.jpg],5[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],3[BrandenburgGate_00000490.jpg],5[BrandenburgGate_00000465.jpg],5[BrandenburgGate_00000372.jpg],5[BrandenburgGate_00000265.jpg],5[BrandenburgGate_00000363.jpg],5[BrandenburgGate_00000468.jpg],3[BrandenburgGate_00000077.jpg],5[BrandenburgGate_00000319.jpg],5[BrandenburgGate_00000322.jpg],5[BrandenburgGate_00000146.jpg],3[BrandenburgGate_00000024.jpg],5[BrandenburgGate_00000341.jpg],3[BrandenburgGate_00000180.jpg],5[BrandenburgGate_00000092.jpg],5[BrandenburgGate_00000327.jpg],5[BrandenburgGate_00000437.jpg],5[BrandenburgGate_00000294.jpg],5[BrandenburgGate_00000358.jpg],5[BrandenburgGate_00000063.jpg],5[BrandenburgGate_00000005.jpg],5[BrandenburgGate_00000383.jpg],5[BrandenburgGate_00000266.jpg],5[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],5[BrandenburgGate_00000259.jpg],
31D0ZWOD0APTPU4IH18MJELJK8UA07,"BrandenburgGate_360-389","sample#command",3EWIJTFFVPXY1RJNN9F94H6V79H0E0,A311BTV53IKX3D,Approved,"Sun Sep 25 10:11:02 PDT 2016","Sun Sep 25 10:13:12 PDT 2016",3[BrandenburgGate_00000509.jpg],4[BrandenburgGate_00000379.jpg],4[BrandenburgGate_00000376.jpg],4[BrandenburgGate_00000352.jpg],5[BrandenburgGate_00000212.jpg],3[BrandenburgGate_00000490.jpg],5[BrandenburgGate_00000465.jpg],4[BrandenburgGate_00000372.jpg],4[BrandenburgGate_00000265.jpg],4[BrandenburgGate_00000363.jpg],3[BrandenburgGate_00000468.jpg],3[BrandenburgGate_00000077.jpg],3[BrandenburgGate_00000319.jpg],4[BrandenburgGate_00000322.jpg],4[BrandenburgGate_00000146.jpg],3[BrandenburgGate_00000024.jpg],3[BrandenburgGate_00000341.jpg],3[BrandenburgGate_00000180.jpg],5[BrandenburgGate_00000092.jpg],3[BrandenburgGate_00000327.jpg],3[BrandenburgGate_00000437.jpg],3[BrandenburgGate_00000294.jpg],3[BrandenburgGate_00000358.jpg],4[BrandenburgGate_00000063.jpg],4[BrandenburgGate_00000005.jpg],3[BrandenburgGate_00000383.jpg],4[BrandenburgGate_00000266.jpg],4[BrandenburgGate_00000300.jpg],5[BrandenburgGate_00000071.jpg],5[BrandenburgGate_00000259.jpg],
