HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",31LVTDXBL8007RDEY8LS18X2PVSRLL,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:09:13 PDT 2016","Sun Sep 25 01:12:57 PDT 2016",4[BrandenburgGate_00000450.jpg],5[BrandenburgGate_00000084.jpg],4[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],4[BrandenburgGate_00000313.jpg],1[BrandenburgGate_00000285.jpg],4[BrandenburgGate_00000082.jpg],4[BrandenburgGate_00000098.jpg],4[BrandenburgGate_00000241.jpg],4[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],4[BrandenburgGate_00000100.jpg],2[BrandenburgGate_00000441.jpg],2[BrandenburgGate_00000388.jpg],2[BrandenburgGate_00000223.jpg],1[BrandenburgGate_00000362.jpg],4[BrandenburgGate_00000074.jpg],4[BrandenburgGate_00000445.jpg],2[BrandenburgGate_00000385.jpg],1[BrandenburgGate_00000349.jpg],1[BrandenburgGate_00000430.jpg],2[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],2[BrandenburgGate_00000232.jpg],4[BrandenburgGate_00000080.jpg],4[BrandenburgGate_00000263.jpg],4[BrandenburgGate_00000189.jpg],2[BrandenburgGate_00000350.jpg],4[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3Z4XG4ZF49HPPGF7DIIGLLXK6CG8XE,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:59:36 PDT 2016","Sun Sep 25 02:11:05 PDT 2016",5[BrandenburgGate_00000450.jpg],5[BrandenburgGate_00000084.jpg],5[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],5[BrandenburgGate_00000285.jpg],5[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],5[BrandenburgGate_00000241.jpg],5[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],5[BrandenburgGate_00000100.jpg],5[BrandenburgGate_00000441.jpg],5[BrandenburgGate_00000388.jpg],5[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],5[BrandenburgGate_00000074.jpg],5[BrandenburgGate_00000445.jpg],5[BrandenburgGate_00000385.jpg],5[BrandenburgGate_00000349.jpg],5[BrandenburgGate_00000430.jpg],5[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],5[BrandenburgGate_00000232.jpg],5[BrandenburgGate_00000080.jpg],5[BrandenburgGate_00000263.jpg],5[BrandenburgGate_00000189.jpg],5[BrandenburgGate_00000350.jpg],5[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3OUYGIZWR8O2YI8DWNVKYT5ZLFW0PW,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:19:56 PDT 2016","Sun Sep 25 02:21:06 PDT 2016",4[BrandenburgGate_00000450.jpg],5[BrandenburgGate_00000084.jpg],4[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],4[BrandenburgGate_00000285.jpg],5[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],5[BrandenburgGate_00000241.jpg],5[BrandenburgGate_00000198.jpg],1[BrandenburgGate_00000096.jpg],2[BrandenburgGate_00000104.jpg],5[BrandenburgGate_00000100.jpg],5[BrandenburgGate_00000441.jpg],5[BrandenburgGate_00000388.jpg],5[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],3[BrandenburgGate_00000074.jpg],5[BrandenburgGate_00000445.jpg],5[BrandenburgGate_00000385.jpg],4[BrandenburgGate_00000349.jpg],5[BrandenburgGate_00000430.jpg],5[BrandenburgGate_00000099.jpg],4[BrandenburgGate_00000316.jpg],3[BrandenburgGate_00000232.jpg],3[BrandenburgGate_00000080.jpg],4[BrandenburgGate_00000263.jpg],5[BrandenburgGate_00000189.jpg],4[BrandenburgGate_00000350.jpg],4[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",33ISQZVXPQC3YLUP3Y2Y9U8TVLGCCP,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:12:17 PDT 2016","Sun Sep 25 03:13:35 PDT 2016",3[BrandenburgGate_00000450.jpg],4[BrandenburgGate_00000084.jpg],5[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],1[BrandenburgGate_00000285.jpg],4[BrandenburgGate_00000082.jpg],4[BrandenburgGate_00000098.jpg],3[BrandenburgGate_00000241.jpg],2[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],3[BrandenburgGate_00000100.jpg],2[BrandenburgGate_00000441.jpg],4[BrandenburgGate_00000388.jpg],3[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],4[BrandenburgGate_00000074.jpg],3[BrandenburgGate_00000445.jpg],2[BrandenburgGate_00000385.jpg],5[BrandenburgGate_00000349.jpg],5[BrandenburgGate_00000430.jpg],4[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],3[BrandenburgGate_00000232.jpg],5[BrandenburgGate_00000080.jpg],3[BrandenburgGate_00000263.jpg],1[BrandenburgGate_00000189.jpg],1[BrandenburgGate_00000350.jpg],3[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3J2UYBXQQM2UOCQ8HRWBSTEIQA906T,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:30:32 PDT 2016","Sun Sep 25 03:30:50 PDT 2016",5[BrandenburgGate_00000450.jpg],5[BrandenburgGate_00000084.jpg],5[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],5[BrandenburgGate_00000285.jpg],5[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],5[BrandenburgGate_00000241.jpg],5[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],5[BrandenburgGate_00000100.jpg],5[BrandenburgGate_00000441.jpg],5[BrandenburgGate_00000388.jpg],5[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],5[BrandenburgGate_00000074.jpg],5[BrandenburgGate_00000445.jpg],5[BrandenburgGate_00000385.jpg],5[BrandenburgGate_00000349.jpg],5[BrandenburgGate_00000430.jpg],5[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],5[BrandenburgGate_00000232.jpg],5[BrandenburgGate_00000080.jpg],5[BrandenburgGate_00000263.jpg],5[BrandenburgGate_00000189.jpg],5[BrandenburgGate_00000350.jpg],5[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3FUI0JHJPYOR8L2NHCGWNO05JVQ33K,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:53 PDT 2016","Sun Sep 25 03:34:56 PDT 2016",3[BrandenburgGate_00000450.jpg],3[BrandenburgGate_00000084.jpg],3[BrandenburgGate_00000066.jpg],3[BrandenburgGate_00000076.jpg],3[BrandenburgGate_00000313.jpg],3[BrandenburgGate_00000285.jpg],4[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],2[BrandenburgGate_00000241.jpg],3[BrandenburgGate_00000198.jpg],3[BrandenburgGate_00000096.jpg],2[BrandenburgGate_00000104.jpg],2[BrandenburgGate_00000100.jpg],2[BrandenburgGate_00000441.jpg],3[BrandenburgGate_00000388.jpg],3[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],2[BrandenburgGate_00000074.jpg],3[BrandenburgGate_00000445.jpg],3[BrandenburgGate_00000385.jpg],3[BrandenburgGate_00000349.jpg],3[BrandenburgGate_00000430.jpg],3[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],3[BrandenburgGate_00000232.jpg],4[BrandenburgGate_00000080.jpg],4[BrandenburgGate_00000263.jpg],2[BrandenburgGate_00000189.jpg],3[BrandenburgGate_00000350.jpg],3[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",35GCEFQ6I6ESTE9G2JB5RP5KYQ03ZS,AWQDOOSNH42QM,Approved,"Sun Sep 25 08:00:10 PDT 2016","Sun Sep 25 08:01:49 PDT 2016",5[BrandenburgGate_00000450.jpg],5[BrandenburgGate_00000084.jpg],5[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],5[BrandenburgGate_00000285.jpg],5[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],5[BrandenburgGate_00000241.jpg],5[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],5[BrandenburgGate_00000100.jpg],5[BrandenburgGate_00000441.jpg],5[BrandenburgGate_00000388.jpg],5[BrandenburgGate_00000223.jpg],5[BrandenburgGate_00000362.jpg],5[BrandenburgGate_00000074.jpg],5[BrandenburgGate_00000445.jpg],5[BrandenburgGate_00000385.jpg],5[BrandenburgGate_00000349.jpg],5[BrandenburgGate_00000430.jpg],5[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],5[BrandenburgGate_00000232.jpg],5[BrandenburgGate_00000080.jpg],3[BrandenburgGate_00000263.jpg],3[BrandenburgGate_00000189.jpg],5[BrandenburgGate_00000350.jpg],5[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3R8YZBNQ9I81G59CHZVIDD5WYP17Q7,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:06:57 PDT 2016","Sun Sep 25 08:08:12 PDT 2016",3[BrandenburgGate_00000450.jpg],1[BrandenburgGate_00000084.jpg],1[BrandenburgGate_00000066.jpg],3[BrandenburgGate_00000076.jpg],2[BrandenburgGate_00000313.jpg],1[BrandenburgGate_00000285.jpg],1[BrandenburgGate_00000082.jpg],1[BrandenburgGate_00000098.jpg],3[BrandenburgGate_00000241.jpg],4[BrandenburgGate_00000198.jpg],2[BrandenburgGate_00000096.jpg],2[BrandenburgGate_00000104.jpg],3[BrandenburgGate_00000100.jpg],3[BrandenburgGate_00000441.jpg],4[BrandenburgGate_00000388.jpg],4[BrandenburgGate_00000223.jpg],3[BrandenburgGate_00000362.jpg],2[BrandenburgGate_00000074.jpg],3[BrandenburgGate_00000445.jpg],3[BrandenburgGate_00000385.jpg],4[BrandenburgGate_00000349.jpg],1[BrandenburgGate_00000430.jpg],2[BrandenburgGate_00000099.jpg],3[BrandenburgGate_00000316.jpg],2[BrandenburgGate_00000232.jpg],1[BrandenburgGate_00000080.jpg],1[BrandenburgGate_00000263.jpg],1[BrandenburgGate_00000189.jpg],4[BrandenburgGate_00000350.jpg],4[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3BWI6RSP7HZCJ2J7880IJWGIFNM7E6,A311BTV53IKX3D,Approved,"Sun Sep 25 09:59:37 PDT 2016","Sun Sep 25 10:01:24 PDT 2016",4[BrandenburgGate_00000450.jpg],3[BrandenburgGate_00000084.jpg],4[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],4[BrandenburgGate_00000313.jpg],4[BrandenburgGate_00000285.jpg],3[BrandenburgGate_00000082.jpg],4[BrandenburgGate_00000098.jpg],5[BrandenburgGate_00000241.jpg],4[BrandenburgGate_00000198.jpg],4[BrandenburgGate_00000096.jpg],3[BrandenburgGate_00000104.jpg],3[BrandenburgGate_00000100.jpg],4[BrandenburgGate_00000441.jpg],4[BrandenburgGate_00000388.jpg],5[BrandenburgGate_00000223.jpg],3[BrandenburgGate_00000362.jpg],3[BrandenburgGate_00000074.jpg],4[BrandenburgGate_00000445.jpg],3[BrandenburgGate_00000385.jpg],3[BrandenburgGate_00000349.jpg],3[BrandenburgGate_00000430.jpg],3[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],4[BrandenburgGate_00000232.jpg],3[BrandenburgGate_00000080.jpg],3[BrandenburgGate_00000263.jpg],3[BrandenburgGate_00000189.jpg],4[BrandenburgGate_00000350.jpg],3[BrandenburgGate_00000364.jpg],
337F8MIIMZ3EN5O180YV6BZJSYY04M,"BrandenburgGate_90-119","sample#command",3PDJHANYK665ZCW4FZ3WYLDZCSX6HP,A1RDWHWYC68DZ,Approved,"Sun Sep 25 10:33:45 PDT 2016","Sun Sep 25 10:35:16 PDT 2016",3[BrandenburgGate_00000450.jpg],4[BrandenburgGate_00000084.jpg],5[BrandenburgGate_00000066.jpg],5[BrandenburgGate_00000076.jpg],5[BrandenburgGate_00000313.jpg],2[BrandenburgGate_00000285.jpg],4[BrandenburgGate_00000082.jpg],5[BrandenburgGate_00000098.jpg],4[BrandenburgGate_00000241.jpg],3[BrandenburgGate_00000198.jpg],5[BrandenburgGate_00000096.jpg],5[BrandenburgGate_00000104.jpg],5[BrandenburgGate_00000100.jpg],4[BrandenburgGate_00000441.jpg],5[BrandenburgGate_00000388.jpg],4[BrandenburgGate_00000223.jpg],2[BrandenburgGate_00000362.jpg],5[BrandenburgGate_00000074.jpg],4[BrandenburgGate_00000445.jpg],3[BrandenburgGate_00000385.jpg],4[BrandenburgGate_00000349.jpg],4[BrandenburgGate_00000430.jpg],5[BrandenburgGate_00000099.jpg],5[BrandenburgGate_00000316.jpg],3[BrandenburgGate_00000232.jpg],4[BrandenburgGate_00000080.jpg],5[BrandenburgGate_00000263.jpg],3[BrandenburgGate_00000189.jpg],3[BrandenburgGate_00000350.jpg],3[BrandenburgGate_00000364.jpg],
