HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",30H4UDGLT38Z1WFKLSIIWQCCOITMPP,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:22 PDT 2016","Sun Sep 25 00:58:20 PDT 2016",1[BrandenburgGate_00000489.jpg],3[BrandenburgGate_00000356.jpg],3[BrandenburgGate_00000449.jpg],3[BrandenburgGate_00000334.jpg],3[BrandenburgGate_00000328.jpg],3[BrandenburgGate_00000329.jpg],4[BrandenburgGate_00000326.jpg],4[BrandenburgGate_00000500.jpg],5[BrandenburgGate_00000215.jpg],5[BrandenburgGate_00000366.jpg],4[BrandenburgGate_00000021.jpg],5[BrandenburgGate_00000442.jpg],5[BrandenburgGate_00000498.jpg],5[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],4[BrandenburgGate_00000361.jpg],5[BrandenburgGate_00000106.jpg],5[BrandenburgGate_00000471.jpg],4[BrandenburgGate_00000357.jpg],5[BrandenburgGate_00000491.jpg],4[BrandenburgGate_00000165.jpg],1[BrandenburgGate_00000477.jpg],3[BrandenburgGate_00000159.jpg],3[BrandenburgGate_00000296.jpg],4[BrandenburgGate_00000346.jpg],5[BrandenburgGate_00000429.jpg],5[BrandenburgGate_00000257.jpg],5[BrandenburgGate_00000211.jpg],4[BrandenburgGate_00000343.jpg],5[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",36W0OB37HX47NMGFH407VJ6UHV4HZZ,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:56:37 PDT 2016","Sun Sep 25 01:57:10 PDT 2016",5[BrandenburgGate_00000489.jpg],5[BrandenburgGate_00000356.jpg],5[BrandenburgGate_00000449.jpg],5[BrandenburgGate_00000334.jpg],5[BrandenburgGate_00000328.jpg],5[BrandenburgGate_00000329.jpg],5[BrandenburgGate_00000326.jpg],5[BrandenburgGate_00000500.jpg],5[BrandenburgGate_00000215.jpg],5[BrandenburgGate_00000366.jpg],5[BrandenburgGate_00000021.jpg],5[BrandenburgGate_00000442.jpg],5[BrandenburgGate_00000498.jpg],5[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],5[BrandenburgGate_00000361.jpg],5[BrandenburgGate_00000106.jpg],5[BrandenburgGate_00000471.jpg],5[BrandenburgGate_00000357.jpg],5[BrandenburgGate_00000491.jpg],5[BrandenburgGate_00000165.jpg],5[BrandenburgGate_00000477.jpg],5[BrandenburgGate_00000159.jpg],5[BrandenburgGate_00000296.jpg],5[BrandenburgGate_00000346.jpg],5[BrandenburgGate_00000429.jpg],5[BrandenburgGate_00000257.jpg],5[BrandenburgGate_00000211.jpg],5[BrandenburgGate_00000343.jpg],5[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3UXUOQ9OKFN9TP2VS3YWNDQRU72A7Q,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:21:37 PDT 2016","Sun Sep 25 02:23:19 PDT 2016",1[BrandenburgGate_00000489.jpg],2[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],3[BrandenburgGate_00000334.jpg],4[BrandenburgGate_00000328.jpg],4[BrandenburgGate_00000329.jpg],4[BrandenburgGate_00000326.jpg],1[BrandenburgGate_00000500.jpg],3[BrandenburgGate_00000215.jpg],5[BrandenburgGate_00000366.jpg],3[BrandenburgGate_00000021.jpg],4[BrandenburgGate_00000442.jpg],4[BrandenburgGate_00000498.jpg],5[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],4[BrandenburgGate_00000361.jpg],4[BrandenburgGate_00000106.jpg],1[BrandenburgGate_00000471.jpg],1[BrandenburgGate_00000357.jpg],4[BrandenburgGate_00000491.jpg],5[BrandenburgGate_00000165.jpg],3[BrandenburgGate_00000477.jpg],3[BrandenburgGate_00000159.jpg],1[BrandenburgGate_00000296.jpg],4[BrandenburgGate_00000346.jpg],4[BrandenburgGate_00000429.jpg],4[BrandenburgGate_00000257.jpg],3[BrandenburgGate_00000211.jpg],1[BrandenburgGate_00000343.jpg],3[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3N2BF7Y2VRK7OFHW2FADNHAL2RPMHQ,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:19:14 PDT 2016","Sun Sep 25 03:24:31 PDT 2016",5[BrandenburgGate_00000489.jpg],3[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],4[BrandenburgGate_00000334.jpg],4[BrandenburgGate_00000328.jpg],3[BrandenburgGate_00000329.jpg],3[BrandenburgGate_00000326.jpg],3[BrandenburgGate_00000500.jpg],3[BrandenburgGate_00000215.jpg],2[BrandenburgGate_00000366.jpg],2[BrandenburgGate_00000021.jpg],4[BrandenburgGate_00000442.jpg],4[BrandenburgGate_00000498.jpg],4[BrandenburgGate_00000317.jpg],4[BrandenburgGate_00000014.jpg],4[BrandenburgGate_00000361.jpg],5[BrandenburgGate_00000106.jpg],4[BrandenburgGate_00000471.jpg],3[BrandenburgGate_00000357.jpg],2[BrandenburgGate_00000491.jpg],2[BrandenburgGate_00000165.jpg],2[BrandenburgGate_00000477.jpg],2[BrandenburgGate_00000159.jpg],2[BrandenburgGate_00000296.jpg],2[BrandenburgGate_00000346.jpg],2[BrandenburgGate_00000429.jpg],3[BrandenburgGate_00000257.jpg],2[BrandenburgGate_00000211.jpg],5[BrandenburgGate_00000343.jpg],5[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3RWE2M8QWI02VXW0G8ISU404L0X0N2,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:29 PDT 2016","Sun Sep 25 03:26:55 PDT 2016",3[BrandenburgGate_00000489.jpg],4[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],3[BrandenburgGate_00000334.jpg],2[BrandenburgGate_00000328.jpg],2[BrandenburgGate_00000329.jpg],2[BrandenburgGate_00000326.jpg],1[BrandenburgGate_00000500.jpg],2[BrandenburgGate_00000215.jpg],2[BrandenburgGate_00000366.jpg],2[BrandenburgGate_00000021.jpg],2[BrandenburgGate_00000442.jpg],2[BrandenburgGate_00000498.jpg],2[BrandenburgGate_00000317.jpg],2[BrandenburgGate_00000014.jpg],2[BrandenburgGate_00000361.jpg],2[BrandenburgGate_00000106.jpg],2[BrandenburgGate_00000471.jpg],2[BrandenburgGate_00000357.jpg],3[BrandenburgGate_00000491.jpg],3[BrandenburgGate_00000165.jpg],3[BrandenburgGate_00000477.jpg],3[BrandenburgGate_00000159.jpg],3[BrandenburgGate_00000296.jpg],3[BrandenburgGate_00000346.jpg],3[BrandenburgGate_00000429.jpg],3[BrandenburgGate_00000257.jpg],2[BrandenburgGate_00000211.jpg],3[BrandenburgGate_00000343.jpg],3[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3NXNZ5RS1BNVO6SQ0XKWRIF7OPN79B,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:29:38 PDT 2016","Sun Sep 25 03:31:04 PDT 2016",1[BrandenburgGate_00000489.jpg],3[BrandenburgGate_00000356.jpg],5[BrandenburgGate_00000449.jpg],3[BrandenburgGate_00000334.jpg],3[BrandenburgGate_00000328.jpg],3[BrandenburgGate_00000329.jpg],5[BrandenburgGate_00000326.jpg],2[BrandenburgGate_00000500.jpg],2[BrandenburgGate_00000215.jpg],4[BrandenburgGate_00000366.jpg],5[BrandenburgGate_00000021.jpg],5[BrandenburgGate_00000442.jpg],4[BrandenburgGate_00000498.jpg],4[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],5[BrandenburgGate_00000361.jpg],5[BrandenburgGate_00000106.jpg],2[BrandenburgGate_00000471.jpg],2[BrandenburgGate_00000357.jpg],4[BrandenburgGate_00000491.jpg],5[BrandenburgGate_00000165.jpg],1[BrandenburgGate_00000477.jpg],2[BrandenburgGate_00000159.jpg],2[BrandenburgGate_00000296.jpg],5[BrandenburgGate_00000346.jpg],3[BrandenburgGate_00000429.jpg],3[BrandenburgGate_00000257.jpg],3[BrandenburgGate_00000211.jpg],5[BrandenburgGate_00000343.jpg],4[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3QY5DC2MXSA6NRVZGRDZB6F2ZYGFUE,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:34:10 PDT 2016","Sun Sep 25 03:37:50 PDT 2016",1[BrandenburgGate_00000489.jpg],4[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],1[BrandenburgGate_00000334.jpg],2[BrandenburgGate_00000328.jpg],1[BrandenburgGate_00000329.jpg],4[BrandenburgGate_00000326.jpg],1[BrandenburgGate_00000500.jpg],1[BrandenburgGate_00000215.jpg],4[BrandenburgGate_00000366.jpg],5[BrandenburgGate_00000021.jpg],5[BrandenburgGate_00000442.jpg],5[BrandenburgGate_00000498.jpg],4[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],2[BrandenburgGate_00000361.jpg],1[BrandenburgGate_00000106.jpg],1[BrandenburgGate_00000471.jpg],1[BrandenburgGate_00000357.jpg],1[BrandenburgGate_00000491.jpg],2[BrandenburgGate_00000165.jpg],1[BrandenburgGate_00000477.jpg],2[BrandenburgGate_00000159.jpg],3[BrandenburgGate_00000296.jpg],3[BrandenburgGate_00000346.jpg],4[BrandenburgGate_00000429.jpg],4[BrandenburgGate_00000257.jpg],3[BrandenburgGate_00000211.jpg],1[BrandenburgGate_00000343.jpg],4[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3DZQRBDBSM5VS2N27RHXVW8HBBT3SG,A7IEGSS64IALQ,Approved,"Sun Sep 25 05:52:34 PDT 2016","Sun Sep 25 05:55:40 PDT 2016",4[BrandenburgGate_00000489.jpg],4[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],2[BrandenburgGate_00000334.jpg],4[BrandenburgGate_00000328.jpg],4[BrandenburgGate_00000329.jpg],5[BrandenburgGate_00000326.jpg],2[BrandenburgGate_00000500.jpg],2[BrandenburgGate_00000215.jpg],4[BrandenburgGate_00000366.jpg],3[BrandenburgGate_00000021.jpg],4[BrandenburgGate_00000442.jpg],4[BrandenburgGate_00000498.jpg],5[BrandenburgGate_00000317.jpg],3[BrandenburgGate_00000014.jpg],4[BrandenburgGate_00000361.jpg],3[BrandenburgGate_00000106.jpg],3[BrandenburgGate_00000471.jpg],3[BrandenburgGate_00000357.jpg],4[BrandenburgGate_00000491.jpg],4[BrandenburgGate_00000165.jpg],3[BrandenburgGate_00000477.jpg],3[BrandenburgGate_00000159.jpg],4[BrandenburgGate_00000296.jpg],4[BrandenburgGate_00000346.jpg],4[BrandenburgGate_00000429.jpg],4[BrandenburgGate_00000257.jpg],3[BrandenburgGate_00000211.jpg],2[BrandenburgGate_00000343.jpg],4[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3NQL1CS15SYC0X1UQ7FSWDO1JGMVYN,ACN8N7V5QNSSS,Approved,"Sun Sep 25 07:26:53 PDT 2016","Sun Sep 25 07:28:41 PDT 2016",2[BrandenburgGate_00000489.jpg],3[BrandenburgGate_00000356.jpg],4[BrandenburgGate_00000449.jpg],3[BrandenburgGate_00000334.jpg],3[BrandenburgGate_00000328.jpg],3[BrandenburgGate_00000329.jpg],4[BrandenburgGate_00000326.jpg],4[BrandenburgGate_00000500.jpg],5[BrandenburgGate_00000215.jpg],5[BrandenburgGate_00000366.jpg],4[BrandenburgGate_00000021.jpg],4[BrandenburgGate_00000442.jpg],3[BrandenburgGate_00000498.jpg],4[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],5[BrandenburgGate_00000361.jpg],3[BrandenburgGate_00000106.jpg],5[BrandenburgGate_00000471.jpg],4[BrandenburgGate_00000357.jpg],5[BrandenburgGate_00000491.jpg],3[BrandenburgGate_00000165.jpg],1[BrandenburgGate_00000477.jpg],3[BrandenburgGate_00000159.jpg],3[BrandenburgGate_00000296.jpg],3[BrandenburgGate_00000346.jpg],3[BrandenburgGate_00000429.jpg],5[BrandenburgGate_00000257.jpg],5[BrandenburgGate_00000211.jpg],4[BrandenburgGate_00000343.jpg],5[BrandenburgGate_00000166.jpg],
39XCQ6V3KYURXZEGOUXMK4FO5XF56X,"BrandenburgGate_420-449","sample#command",3ERMJ6L4DZIAVQBKP6O1W4LROO3M7Y,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:52:48 PDT 2016","Sun Sep 25 07:55:42 PDT 2016",3[BrandenburgGate_00000489.jpg],5[BrandenburgGate_00000356.jpg],5[BrandenburgGate_00000449.jpg],5[BrandenburgGate_00000334.jpg],5[BrandenburgGate_00000328.jpg],5[BrandenburgGate_00000329.jpg],5[BrandenburgGate_00000326.jpg],5[BrandenburgGate_00000500.jpg],5[BrandenburgGate_00000215.jpg],5[BrandenburgGate_00000366.jpg],5[BrandenburgGate_00000021.jpg],5[BrandenburgGate_00000442.jpg],3[BrandenburgGate_00000498.jpg],5[BrandenburgGate_00000317.jpg],5[BrandenburgGate_00000014.jpg],5[BrandenburgGate_00000361.jpg],5[BrandenburgGate_00000106.jpg],5[BrandenburgGate_00000471.jpg],3[BrandenburgGate_00000357.jpg],5[BrandenburgGate_00000491.jpg],5[BrandenburgGate_00000165.jpg],5[BrandenburgGate_00000477.jpg],5[BrandenburgGate_00000159.jpg],5[BrandenburgGate_00000296.jpg],4[BrandenburgGate_00000346.jpg],3[BrandenburgGate_00000429.jpg],5[BrandenburgGate_00000257.jpg],5[BrandenburgGate_00000211.jpg],5[BrandenburgGate_00000343.jpg],5[BrandenburgGate_00000166.jpg],
