HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3DHE4R9OCX13HFIS8R9BN8KMHMQG2P,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:05:42 PDT 2016","Sun Sep 25 01:07:03 PDT 2016",3[BrandenburgGate_00000073.jpg],4[BrandenburgGate_00000110.jpg],3[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],3[BrandenburgGate_00000506.jpg],3[BrandenburgGate_00000214.jpg],2[BrandenburgGate_00000279.jpg],3[BrandenburgGate_00000457.jpg],1[BrandenburgGate_00000344.jpg],5[BrandenburgGate_00000027.jpg],5[BrandenburgGate_00000323.jpg],4[BrandenburgGate_00000219.jpg],3[BrandenburgGate_00000400.jpg],3[BrandenburgGate_00000216.jpg],1[BrandenburgGate_00000454.jpg],2[BrandenburgGate_00000297.jpg],2[BrandenburgGate_00000213.jpg],3[BrandenburgGate_00000391.jpg],1[BrandenburgGate_00000464.jpg],3[BrandenburgGate_00000044.jpg],3[BrandenburgGate_00000396.jpg],5[BrandenburgGate_00000142.jpg],5[BrandenburgGate_00000330.jpg],2[BrandenburgGate_00000470.jpg],4[BrandenburgGate_00000095.jpg],2[BrandenburgGate_00000245.jpg],4[BrandenburgGate_00000043.jpg],2[BrandenburgGate_00000307.jpg],3[BrandenburgGate_00000218.jpg],3[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3G2UL9A02E486NQS2QHK78O5YOB67V,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:59:06 PDT 2016","Sun Sep 25 02:09:28 PDT 2016",5[BrandenburgGate_00000073.jpg],5[BrandenburgGate_00000110.jpg],5[BrandenburgGate_00000365.jpg],5[BrandenburgGate_00000019.jpg],5[BrandenburgGate_00000506.jpg],5[BrandenburgGate_00000214.jpg],5[BrandenburgGate_00000279.jpg],5[BrandenburgGate_00000457.jpg],5[BrandenburgGate_00000344.jpg],5[BrandenburgGate_00000027.jpg],5[BrandenburgGate_00000323.jpg],5[BrandenburgGate_00000219.jpg],5[BrandenburgGate_00000400.jpg],5[BrandenburgGate_00000216.jpg],5[BrandenburgGate_00000454.jpg],5[BrandenburgGate_00000297.jpg],5[BrandenburgGate_00000213.jpg],5[BrandenburgGate_00000391.jpg],5[BrandenburgGate_00000464.jpg],5[BrandenburgGate_00000044.jpg],5[BrandenburgGate_00000396.jpg],5[BrandenburgGate_00000142.jpg],5[BrandenburgGate_00000330.jpg],5[BrandenburgGate_00000470.jpg],5[BrandenburgGate_00000095.jpg],5[BrandenburgGate_00000245.jpg],5[BrandenburgGate_00000043.jpg],5[BrandenburgGate_00000307.jpg],5[BrandenburgGate_00000218.jpg],5[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3IHR8NYAM8RJX6QEFOIMAWVC2RD4PH,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:27:09 PDT 2016","Sun Sep 25 02:28:38 PDT 2016",4[BrandenburgGate_00000073.jpg],4[BrandenburgGate_00000110.jpg],3[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],4[BrandenburgGate_00000506.jpg],3[BrandenburgGate_00000214.jpg],3[BrandenburgGate_00000279.jpg],5[BrandenburgGate_00000457.jpg],1[BrandenburgGate_00000344.jpg],4[BrandenburgGate_00000027.jpg],3[BrandenburgGate_00000323.jpg],4[BrandenburgGate_00000219.jpg],1[BrandenburgGate_00000400.jpg],3[BrandenburgGate_00000216.jpg],1[BrandenburgGate_00000454.jpg],3[BrandenburgGate_00000297.jpg],3[BrandenburgGate_00000213.jpg],3[BrandenburgGate_00000391.jpg],4[BrandenburgGate_00000464.jpg],4[BrandenburgGate_00000044.jpg],4[BrandenburgGate_00000396.jpg],4[BrandenburgGate_00000142.jpg],4[BrandenburgGate_00000330.jpg],3[BrandenburgGate_00000470.jpg],3[BrandenburgGate_00000095.jpg],3[BrandenburgGate_00000245.jpg],4[BrandenburgGate_00000043.jpg],4[BrandenburgGate_00000307.jpg],3[BrandenburgGate_00000218.jpg],5[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",34PGFRQONP1ZKX60UHJL8SSRDL7JWJ,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:18:32 PDT 2016","Sun Sep 25 03:20:06 PDT 2016",3[BrandenburgGate_00000073.jpg],5[BrandenburgGate_00000110.jpg],3[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],3[BrandenburgGate_00000506.jpg],1[BrandenburgGate_00000214.jpg],2[BrandenburgGate_00000279.jpg],5[BrandenburgGate_00000457.jpg],5[BrandenburgGate_00000344.jpg],4[BrandenburgGate_00000027.jpg],5[BrandenburgGate_00000323.jpg],4[BrandenburgGate_00000219.jpg],1[BrandenburgGate_00000400.jpg],2[BrandenburgGate_00000216.jpg],1[BrandenburgGate_00000454.jpg],3[BrandenburgGate_00000297.jpg],2[BrandenburgGate_00000213.jpg],2[BrandenburgGate_00000391.jpg],3[BrandenburgGate_00000464.jpg],4[BrandenburgGate_00000044.jpg],5[BrandenburgGate_00000396.jpg],3[BrandenburgGate_00000142.jpg],4[BrandenburgGate_00000330.jpg],5[BrandenburgGate_00000470.jpg],4[BrandenburgGate_00000095.jpg],3[BrandenburgGate_00000245.jpg],4[BrandenburgGate_00000043.jpg],4[BrandenburgGate_00000307.jpg],3[BrandenburgGate_00000218.jpg],4[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3Y5140Z9DY6D5DPT0DKQ4X5V79FPII,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:19:40 PDT 2016","Sun Sep 25 03:23:19 PDT 2016",3[BrandenburgGate_00000073.jpg],4[BrandenburgGate_00000110.jpg],4[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],4[BrandenburgGate_00000506.jpg],3[BrandenburgGate_00000214.jpg],4[BrandenburgGate_00000279.jpg],4[BrandenburgGate_00000457.jpg],4[BrandenburgGate_00000344.jpg],4[BrandenburgGate_00000027.jpg],4[BrandenburgGate_00000323.jpg],4[BrandenburgGate_00000219.jpg],4[BrandenburgGate_00000400.jpg],4[BrandenburgGate_00000216.jpg],4[BrandenburgGate_00000454.jpg],4[BrandenburgGate_00000297.jpg],4[BrandenburgGate_00000213.jpg],5[BrandenburgGate_00000391.jpg],5[BrandenburgGate_00000464.jpg],4[BrandenburgGate_00000044.jpg],4[BrandenburgGate_00000396.jpg],5[BrandenburgGate_00000142.jpg],1[BrandenburgGate_00000330.jpg],5[BrandenburgGate_00000470.jpg],5[BrandenburgGate_00000095.jpg],4[BrandenburgGate_00000245.jpg],4[BrandenburgGate_00000043.jpg],4[BrandenburgGate_00000307.jpg],4[BrandenburgGate_00000218.jpg],5[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3LBXNTKX0SLP3LYHIAOULHSVQI19X7,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:36 PDT 2016","Sun Sep 25 03:31:07 PDT 2016",4[BrandenburgGate_00000073.jpg],2[BrandenburgGate_00000110.jpg],3[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],3[BrandenburgGate_00000506.jpg],3[BrandenburgGate_00000214.jpg],3[BrandenburgGate_00000279.jpg],3[BrandenburgGate_00000457.jpg],4[BrandenburgGate_00000344.jpg],3[BrandenburgGate_00000027.jpg],3[BrandenburgGate_00000323.jpg],3[BrandenburgGate_00000219.jpg],3[BrandenburgGate_00000400.jpg],3[BrandenburgGate_00000216.jpg],3[BrandenburgGate_00000454.jpg],3[BrandenburgGate_00000297.jpg],3[BrandenburgGate_00000213.jpg],3[BrandenburgGate_00000391.jpg],3[BrandenburgGate_00000464.jpg],3[BrandenburgGate_00000044.jpg],4[BrandenburgGate_00000396.jpg],3[BrandenburgGate_00000142.jpg],3[BrandenburgGate_00000330.jpg],3[BrandenburgGate_00000470.jpg],3[BrandenburgGate_00000095.jpg],3[BrandenburgGate_00000245.jpg],3[BrandenburgGate_00000043.jpg],3[BrandenburgGate_00000307.jpg],3[BrandenburgGate_00000218.jpg],4[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3EWIJTFFVPXY1RJNN9F94H6V78X0EE,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:32:55 PDT 2016","Sun Sep 25 03:33:11 PDT 2016",3[BrandenburgGate_00000073.jpg],5[BrandenburgGate_00000110.jpg],5[BrandenburgGate_00000365.jpg],5[BrandenburgGate_00000019.jpg],5[BrandenburgGate_00000506.jpg],5[BrandenburgGate_00000214.jpg],5[BrandenburgGate_00000279.jpg],5[BrandenburgGate_00000457.jpg],5[BrandenburgGate_00000344.jpg],5[BrandenburgGate_00000027.jpg],5[BrandenburgGate_00000323.jpg],5[BrandenburgGate_00000219.jpg],5[BrandenburgGate_00000400.jpg],5[BrandenburgGate_00000216.jpg],5[BrandenburgGate_00000454.jpg],5[BrandenburgGate_00000297.jpg],5[BrandenburgGate_00000213.jpg],5[BrandenburgGate_00000391.jpg],5[BrandenburgGate_00000464.jpg],5[BrandenburgGate_00000044.jpg],5[BrandenburgGate_00000396.jpg],5[BrandenburgGate_00000142.jpg],5[BrandenburgGate_00000330.jpg],5[BrandenburgGate_00000470.jpg],5[BrandenburgGate_00000095.jpg],5[BrandenburgGate_00000245.jpg],5[BrandenburgGate_00000043.jpg],5[BrandenburgGate_00000307.jpg],5[BrandenburgGate_00000218.jpg],5[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3FQ5JJ512ME48N34K1SADOFDZYDNK5,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:56:44 PDT 2016","Sun Sep 25 07:59:36 PDT 2016",5[BrandenburgGate_00000073.jpg],5[BrandenburgGate_00000110.jpg],5[BrandenburgGate_00000365.jpg],5[BrandenburgGate_00000019.jpg],5[BrandenburgGate_00000506.jpg],5[BrandenburgGate_00000214.jpg],3[BrandenburgGate_00000279.jpg],3[BrandenburgGate_00000457.jpg],5[BrandenburgGate_00000344.jpg],5[BrandenburgGate_00000027.jpg],5[BrandenburgGate_00000323.jpg],5[BrandenburgGate_00000219.jpg],5[BrandenburgGate_00000400.jpg],5[BrandenburgGate_00000216.jpg],2[BrandenburgGate_00000454.jpg],5[BrandenburgGate_00000297.jpg],5[BrandenburgGate_00000213.jpg],5[BrandenburgGate_00000391.jpg],5[BrandenburgGate_00000464.jpg],5[BrandenburgGate_00000044.jpg],5[BrandenburgGate_00000396.jpg],5[BrandenburgGate_00000142.jpg],5[BrandenburgGate_00000330.jpg],5[BrandenburgGate_00000470.jpg],5[BrandenburgGate_00000095.jpg],5[BrandenburgGate_00000245.jpg],5[BrandenburgGate_00000043.jpg],3[BrandenburgGate_00000307.jpg],5[BrandenburgGate_00000218.jpg],5[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3HPZF4IVNNJG1OVUZQKN6L0CY99YCU,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:13:54 PDT 2016","Sun Sep 25 08:15:00 PDT 2016",5[BrandenburgGate_00000073.jpg],4[BrandenburgGate_00000110.jpg],2[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],4[BrandenburgGate_00000506.jpg],4[BrandenburgGate_00000214.jpg],1[BrandenburgGate_00000279.jpg],2[BrandenburgGate_00000457.jpg],2[BrandenburgGate_00000344.jpg],4[BrandenburgGate_00000027.jpg],2[BrandenburgGate_00000323.jpg],3[BrandenburgGate_00000219.jpg],3[BrandenburgGate_00000400.jpg],1[BrandenburgGate_00000216.jpg],1[BrandenburgGate_00000454.jpg],2[BrandenburgGate_00000297.jpg],3[BrandenburgGate_00000213.jpg],3[BrandenburgGate_00000391.jpg],3[BrandenburgGate_00000464.jpg],3[BrandenburgGate_00000044.jpg],2[BrandenburgGate_00000396.jpg],4[BrandenburgGate_00000142.jpg],2[BrandenburgGate_00000330.jpg],2[BrandenburgGate_00000470.jpg],4[BrandenburgGate_00000095.jpg],3[BrandenburgGate_00000245.jpg],3[BrandenburgGate_00000043.jpg],1[BrandenburgGate_00000307.jpg],1[BrandenburgGate_00000218.jpg],4[BrandenburgGate_00000331.jpg],
3BAWBGQGYLPRZT70DVKRUG9JDW0V7S,"BrandenburgGate_330-359","sample#command",3ZAK8W07I54FQNG9D9UE8ZSYTXB0UH,A311BTV53IKX3D,Approved,"Sun Sep 25 10:06:38 PDT 2016","Sun Sep 25 10:08:38 PDT 2016",4[BrandenburgGate_00000073.jpg],4[BrandenburgGate_00000110.jpg],3[BrandenburgGate_00000365.jpg],4[BrandenburgGate_00000019.jpg],4[BrandenburgGate_00000506.jpg],4[BrandenburgGate_00000214.jpg],2[BrandenburgGate_00000279.jpg],3[BrandenburgGate_00000457.jpg],5[BrandenburgGate_00000344.jpg],5[BrandenburgGate_00000027.jpg],4[BrandenburgGate_00000323.jpg],4[BrandenburgGate_00000219.jpg],4[BrandenburgGate_00000400.jpg],3[BrandenburgGate_00000216.jpg],3[BrandenburgGate_00000454.jpg],3[BrandenburgGate_00000297.jpg],4[BrandenburgGate_00000213.jpg],3[BrandenburgGate_00000391.jpg],3[BrandenburgGate_00000464.jpg],5[BrandenburgGate_00000044.jpg],5[BrandenburgGate_00000396.jpg],4[BrandenburgGate_00000142.jpg],4[BrandenburgGate_00000330.jpg],4[BrandenburgGate_00000470.jpg],4[BrandenburgGate_00000095.jpg],3[BrandenburgGate_00000245.jpg],4[BrandenburgGate_00000043.jpg],3[BrandenburgGate_00000307.jpg],3[BrandenburgGate_00000218.jpg],3[BrandenburgGate_00000331.jpg],
