HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3PMBY0YE28T10NNMRES7747LP099C1,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:20:43 PDT 2016","Sun Sep 25 01:22:03 PDT 2016",5[BrandenburgGate_00000070.jpg],5[BrandenburgGate_00000001.jpg],4[BrandenburgGate_00000163.jpg],3[BrandenburgGate_00000227.jpg],3[BrandenburgGate_00000124.jpg],4[BrandenburgGate_00000278.jpg],3[BrandenburgGate_00000127.jpg],1[BrandenburgGate_00000451.jpg],4[BrandenburgGate_00000139.jpg],4[BrandenburgGate_00000260.jpg],4[BrandenburgGate_00000150.jpg],3[BrandenburgGate_00000407.jpg],4[BrandenburgGate_00000208.jpg],4[BrandenburgGate_00000476.jpg],3[BrandenburgGate_00000398.jpg],4[BrandenburgGate_00000521.jpg],4[BrandenburgGate_00000022.jpg],2[BrandenburgGate_00000425.jpg],3[BrandenburgGate_00000116.jpg],2[BrandenburgGate_00000402.jpg],4[BrandenburgGate_00000111.jpg],5[BrandenburgGate_00000025.jpg],3[BrandenburgGate_00000332.jpg],4[BrandenburgGate_00000078.jpg],4[BrandenburgGate_00000414.jpg],1[BrandenburgGate_00000258.jpg],1[BrandenburgGate_00000501.jpg],3[BrandenburgGate_00000325.jpg],3[BrandenburgGate_00000154.jpg],2[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",31LVTDXBL8007RDEY8LS18X2PVTLRG,A2K88MLVIBCQC,Approved,"Sun Sep 25 01:39:16 PDT 2016","Sun Sep 25 01:42:33 PDT 2016",5[BrandenburgGate_00000070.jpg],4[BrandenburgGate_00000001.jpg],1[BrandenburgGate_00000163.jpg],2[BrandenburgGate_00000227.jpg],2[BrandenburgGate_00000124.jpg],1[BrandenburgGate_00000278.jpg],1[BrandenburgGate_00000127.jpg],2[BrandenburgGate_00000451.jpg],1[BrandenburgGate_00000139.jpg],1[BrandenburgGate_00000260.jpg],3[BrandenburgGate_00000150.jpg],2[BrandenburgGate_00000407.jpg],3[BrandenburgGate_00000208.jpg],2[BrandenburgGate_00000476.jpg],2[BrandenburgGate_00000398.jpg],1[BrandenburgGate_00000521.jpg],1[BrandenburgGate_00000022.jpg],2[BrandenburgGate_00000425.jpg],3[BrandenburgGate_00000116.jpg],2[BrandenburgGate_00000402.jpg],3[BrandenburgGate_00000111.jpg],3[BrandenburgGate_00000025.jpg],3[BrandenburgGate_00000332.jpg],3[BrandenburgGate_00000078.jpg],2[BrandenburgGate_00000414.jpg],2[BrandenburgGate_00000258.jpg],1[BrandenburgGate_00000501.jpg],2[BrandenburgGate_00000325.jpg],2[BrandenburgGate_00000154.jpg],2[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",351SEKWQS17QCZCUGJRNWWVNAZTDM5,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:00:02 PDT 2016","Sun Sep 25 02:14:19 PDT 2016",5[BrandenburgGate_00000070.jpg],5[BrandenburgGate_00000001.jpg],5[BrandenburgGate_00000163.jpg],5[BrandenburgGate_00000227.jpg],5[BrandenburgGate_00000124.jpg],5[BrandenburgGate_00000278.jpg],5[BrandenburgGate_00000127.jpg],5[BrandenburgGate_00000451.jpg],5[BrandenburgGate_00000139.jpg],5[BrandenburgGate_00000260.jpg],5[BrandenburgGate_00000150.jpg],5[BrandenburgGate_00000407.jpg],5[BrandenburgGate_00000208.jpg],5[BrandenburgGate_00000476.jpg],5[BrandenburgGate_00000398.jpg],5[BrandenburgGate_00000521.jpg],5[BrandenburgGate_00000022.jpg],5[BrandenburgGate_00000425.jpg],5[BrandenburgGate_00000116.jpg],5[BrandenburgGate_00000402.jpg],5[BrandenburgGate_00000111.jpg],5[BrandenburgGate_00000025.jpg],5[BrandenburgGate_00000332.jpg],5[BrandenburgGate_00000078.jpg],5[BrandenburgGate_00000414.jpg],5[BrandenburgGate_00000258.jpg],5[BrandenburgGate_00000501.jpg],5[BrandenburgGate_00000325.jpg],5[BrandenburgGate_00000154.jpg],5[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3Y5140Z9DY6D5DPT0DKQ4X5V79EPIH,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:54:03 PDT 2016","Sun Sep 25 02:55:13 PDT 2016",5[BrandenburgGate_00000070.jpg],5[BrandenburgGate_00000001.jpg],4[BrandenburgGate_00000163.jpg],5[BrandenburgGate_00000227.jpg],5[BrandenburgGate_00000124.jpg],5[BrandenburgGate_00000278.jpg],5[BrandenburgGate_00000127.jpg],5[BrandenburgGate_00000451.jpg],5[BrandenburgGate_00000139.jpg],5[BrandenburgGate_00000260.jpg],5[BrandenburgGate_00000150.jpg],5[BrandenburgGate_00000407.jpg],4[BrandenburgGate_00000208.jpg],5[BrandenburgGate_00000476.jpg],5[BrandenburgGate_00000398.jpg],5[BrandenburgGate_00000521.jpg],5[BrandenburgGate_00000022.jpg],5[BrandenburgGate_00000425.jpg],5[BrandenburgGate_00000116.jpg],5[BrandenburgGate_00000402.jpg],5[BrandenburgGate_00000111.jpg],5[BrandenburgGate_00000025.jpg],5[BrandenburgGate_00000332.jpg],5[BrandenburgGate_00000078.jpg],5[BrandenburgGate_00000414.jpg],5[BrandenburgGate_00000258.jpg],5[BrandenburgGate_00000501.jpg],5[BrandenburgGate_00000325.jpg],5[BrandenburgGate_00000154.jpg],5[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3WOKGM4L726KDIWCHNI59T09BA20OH,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 02:57:13 PDT 2016","Sun Sep 25 02:59:34 PDT 2016",3[BrandenburgGate_00000070.jpg],4[BrandenburgGate_00000001.jpg],5[BrandenburgGate_00000163.jpg],3[BrandenburgGate_00000227.jpg],2[BrandenburgGate_00000124.jpg],4[BrandenburgGate_00000278.jpg],3[BrandenburgGate_00000127.jpg],1[BrandenburgGate_00000451.jpg],5[BrandenburgGate_00000139.jpg],3[BrandenburgGate_00000260.jpg],5[BrandenburgGate_00000150.jpg],4[BrandenburgGate_00000407.jpg],3[BrandenburgGate_00000208.jpg],5[BrandenburgGate_00000476.jpg],4[BrandenburgGate_00000398.jpg],2[BrandenburgGate_00000521.jpg],4[BrandenburgGate_00000022.jpg],4[BrandenburgGate_00000425.jpg],5[BrandenburgGate_00000116.jpg],3[BrandenburgGate_00000402.jpg],5[BrandenburgGate_00000111.jpg],4[BrandenburgGate_00000025.jpg],5[BrandenburgGate_00000332.jpg],5[BrandenburgGate_00000078.jpg],1[BrandenburgGate_00000414.jpg],4[BrandenburgGate_00000258.jpg],3[BrandenburgGate_00000501.jpg],5[BrandenburgGate_00000325.jpg],3[BrandenburgGate_00000154.jpg],3[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3K772S5NP919CRPJLHMUA95CTPYHEW,A29MM3QH9J9AI5,Approved,"Sun Sep 25 03:17:27 PDT 2016","Sun Sep 25 03:20:11 PDT 2016",2[BrandenburgGate_00000070.jpg],3[BrandenburgGate_00000001.jpg],2[BrandenburgGate_00000163.jpg],1[BrandenburgGate_00000227.jpg],4[BrandenburgGate_00000124.jpg],3[BrandenburgGate_00000278.jpg],3[BrandenburgGate_00000127.jpg],2[BrandenburgGate_00000451.jpg],3[BrandenburgGate_00000139.jpg],4[BrandenburgGate_00000260.jpg],3[BrandenburgGate_00000150.jpg],4[BrandenburgGate_00000407.jpg],2[BrandenburgGate_00000208.jpg],2[BrandenburgGate_00000476.jpg],3[BrandenburgGate_00000398.jpg],4[BrandenburgGate_00000521.jpg],2[BrandenburgGate_00000022.jpg],3[BrandenburgGate_00000425.jpg],3[BrandenburgGate_00000116.jpg],4[BrandenburgGate_00000402.jpg],3[BrandenburgGate_00000111.jpg],2[BrandenburgGate_00000025.jpg],3[BrandenburgGate_00000332.jpg],2[BrandenburgGate_00000078.jpg],3[BrandenburgGate_00000414.jpg],4[BrandenburgGate_00000258.jpg],3[BrandenburgGate_00000501.jpg],4[BrandenburgGate_00000325.jpg],3[BrandenburgGate_00000154.jpg],3[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3K3R2QNK8CTXMH4MD5D71ATRW0L9UG,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:27:46 PDT 2016","Sun Sep 25 03:28:02 PDT 2016",1[BrandenburgGate_00000070.jpg],2[BrandenburgGate_00000001.jpg],2[BrandenburgGate_00000163.jpg],2[BrandenburgGate_00000227.jpg],2[BrandenburgGate_00000124.jpg],2[BrandenburgGate_00000278.jpg],2[BrandenburgGate_00000127.jpg],2[BrandenburgGate_00000451.jpg],2[BrandenburgGate_00000139.jpg],2[BrandenburgGate_00000260.jpg],2[BrandenburgGate_00000150.jpg],2[BrandenburgGate_00000407.jpg],2[BrandenburgGate_00000208.jpg],2[BrandenburgGate_00000476.jpg],2[BrandenburgGate_00000398.jpg],2[BrandenburgGate_00000521.jpg],2[BrandenburgGate_00000022.jpg],2[BrandenburgGate_00000425.jpg],2[BrandenburgGate_00000116.jpg],2[BrandenburgGate_00000402.jpg],2[BrandenburgGate_00000111.jpg],2[BrandenburgGate_00000025.jpg],2[BrandenburgGate_00000332.jpg],2[BrandenburgGate_00000078.jpg],2[BrandenburgGate_00000414.jpg],2[BrandenburgGate_00000258.jpg],2[BrandenburgGate_00000501.jpg],2[BrandenburgGate_00000325.jpg],2[BrandenburgGate_00000154.jpg],2[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3LRLIPTPERZXO49FBXN5RIVD0R5AKZ,A22JTMBADARX55,Approved,"Sun Sep 25 03:40:36 PDT 2016","Sun Sep 25 03:49:36 PDT 2016",4[BrandenburgGate_00000070.jpg],3[BrandenburgGate_00000001.jpg],3[BrandenburgGate_00000163.jpg],3[BrandenburgGate_00000227.jpg],2[BrandenburgGate_00000124.jpg],2[BrandenburgGate_00000278.jpg],4[BrandenburgGate_00000127.jpg],1[BrandenburgGate_00000451.jpg],4[BrandenburgGate_00000139.jpg],4[BrandenburgGate_00000260.jpg],3[BrandenburgGate_00000150.jpg],4[BrandenburgGate_00000407.jpg],3[BrandenburgGate_00000208.jpg],3[BrandenburgGate_00000476.jpg],3[BrandenburgGate_00000398.jpg],3[BrandenburgGate_00000521.jpg],4[BrandenburgGate_00000022.jpg],3[BrandenburgGate_00000425.jpg],2[BrandenburgGate_00000116.jpg],4[BrandenburgGate_00000402.jpg],4[BrandenburgGate_00000111.jpg],3[BrandenburgGate_00000025.jpg],3[BrandenburgGate_00000332.jpg],1[BrandenburgGate_00000078.jpg],2[BrandenburgGate_00000414.jpg],4[BrandenburgGate_00000258.jpg],2[BrandenburgGate_00000501.jpg],4[BrandenburgGate_00000325.jpg],2[BrandenburgGate_00000154.jpg],4[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3PW9OPU9PRA6D0SPQ8O8GLGGFXG21K,A7IEGSS64IALQ,Approved,"Sun Sep 25 05:36:16 PDT 2016","Sun Sep 25 05:40:28 PDT 2016",5[BrandenburgGate_00000070.jpg],4[BrandenburgGate_00000001.jpg],3[BrandenburgGate_00000163.jpg],4[BrandenburgGate_00000227.jpg],4[BrandenburgGate_00000124.jpg],3[BrandenburgGate_00000278.jpg],4[BrandenburgGate_00000127.jpg],4[BrandenburgGate_00000451.jpg],3[BrandenburgGate_00000139.jpg],3[BrandenburgGate_00000260.jpg],3[BrandenburgGate_00000150.jpg],4[BrandenburgGate_00000407.jpg],4[BrandenburgGate_00000208.jpg],5[BrandenburgGate_00000476.jpg],4[BrandenburgGate_00000398.jpg],3[BrandenburgGate_00000521.jpg],3[BrandenburgGate_00000022.jpg],4[BrandenburgGate_00000425.jpg],5[BrandenburgGate_00000116.jpg],4[BrandenburgGate_00000402.jpg],4[BrandenburgGate_00000111.jpg],4[BrandenburgGate_00000025.jpg],5[BrandenburgGate_00000332.jpg],5[BrandenburgGate_00000078.jpg],4[BrandenburgGate_00000414.jpg],3[BrandenburgGate_00000258.jpg],4[BrandenburgGate_00000501.jpg],4[BrandenburgGate_00000325.jpg],4[BrandenburgGate_00000154.jpg],4[BrandenburgGate_00000516.jpg],
3DTJ4WT8BD5THSRK10N0LWEWNUBEZY,"BrandenburgGate_300-329","sample#command",3IX2EGZR7C9UC1PEVN9FLTKAL6XRJT,A1I7ACFIU8U11J,Approved,"Sun Sep 25 06:29:08 PDT 2016","Sun Sep 25 06:31:56 PDT 2016",3[BrandenburgGate_00000070.jpg],4[BrandenburgGate_00000001.jpg],2[BrandenburgGate_00000163.jpg],3[BrandenburgGate_00000227.jpg],2[BrandenburgGate_00000124.jpg],1[BrandenburgGate_00000278.jpg],4[BrandenburgGate_00000127.jpg],1[BrandenburgGate_00000451.jpg],3[BrandenburgGate_00000139.jpg],2[BrandenburgGate_00000260.jpg],4[BrandenburgGate_00000150.jpg],5[BrandenburgGate_00000407.jpg],2[BrandenburgGate_00000208.jpg],2[BrandenburgGate_00000476.jpg],3[BrandenburgGate_00000398.jpg],2[BrandenburgGate_00000521.jpg],1[BrandenburgGate_00000022.jpg],2[BrandenburgGate_00000425.jpg],1[BrandenburgGate_00000116.jpg],3[BrandenburgGate_00000402.jpg],2[BrandenburgGate_00000111.jpg],3[BrandenburgGate_00000025.jpg],3[BrandenburgGate_00000332.jpg],2[BrandenburgGate_00000078.jpg],3[BrandenburgGate_00000414.jpg],5[BrandenburgGate_00000258.jpg],1[BrandenburgGate_00000501.jpg],3[BrandenburgGate_00000325.jpg],4[BrandenburgGate_00000154.jpg],3[BrandenburgGate_00000516.jpg],
