HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3YMU66OBIOY7W5LARCCIACQO658GH7,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:09:21 PDT 2016","Sun Sep 25 01:15:18 PDT 2016",2[BrandenburgGate_00000412.jpg],3[BrandenburgGate_00000261.jpg],4[BrandenburgGate_00000503.jpg],4[BrandenburgGate_00000246.jpg],2[BrandenburgGate_00000417.jpg],2[BrandenburgGate_00000413.jpg],2[BrandenburgGate_00000156.jpg],2[BrandenburgGate_00000295.jpg],2[BrandenburgGate_00000502.jpg],3[BrandenburgGate_00000101.jpg],1[BrandenburgGate_00000484.jpg],1[BrandenburgGate_00000448.jpg],3[BrandenburgGate_00000438.jpg],2[BrandenburgGate_00000426.jpg],4[BrandenburgGate_00000108.jpg],4[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],2[BrandenburgGate_00000384.jpg],3[BrandenburgGate_00000415.jpg],4[BrandenburgGate_00000193.jpg],5[BrandenburgGate_00000004.jpg],4[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],4[BrandenburgGate_00000336.jpg],3[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],4[BrandenburgGate_00000039.jpg],3[BrandenburgGate_00000487.jpg],4[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",324G5B4FB4YDSC4D0113Y7EELLO07N,A2USJSA0ONKJ89,Approved,"Sun Sep 25 01:22:46 PDT 2016","Sun Sep 25 01:26:05 PDT 2016",2[BrandenburgGate_00000412.jpg],4[BrandenburgGate_00000261.jpg],5[BrandenburgGate_00000503.jpg],5[BrandenburgGate_00000246.jpg],3[BrandenburgGate_00000417.jpg],2[BrandenburgGate_00000413.jpg],4[BrandenburgGate_00000156.jpg],4[BrandenburgGate_00000295.jpg],4[BrandenburgGate_00000502.jpg],4[BrandenburgGate_00000101.jpg],1[BrandenburgGate_00000484.jpg],1[BrandenburgGate_00000448.jpg],4[BrandenburgGate_00000438.jpg],3[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],4[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],4[BrandenburgGate_00000384.jpg],4[BrandenburgGate_00000415.jpg],4[BrandenburgGate_00000193.jpg],5[BrandenburgGate_00000004.jpg],5[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],3[BrandenburgGate_00000336.jpg],4[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],3[BrandenburgGate_00000039.jpg],2[BrandenburgGate_00000487.jpg],3[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3G5W44VEU88YYVMIXXFFN46GYMEGKD,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:00:33 PDT 2016","Sun Sep 25 02:15:28 PDT 2016",5[BrandenburgGate_00000412.jpg],5[BrandenburgGate_00000261.jpg],5[BrandenburgGate_00000503.jpg],5[BrandenburgGate_00000246.jpg],5[BrandenburgGate_00000417.jpg],5[BrandenburgGate_00000413.jpg],5[BrandenburgGate_00000156.jpg],5[BrandenburgGate_00000295.jpg],5[BrandenburgGate_00000502.jpg],5[BrandenburgGate_00000101.jpg],5[BrandenburgGate_00000484.jpg],5[BrandenburgGate_00000448.jpg],5[BrandenburgGate_00000438.jpg],5[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],5[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],5[BrandenburgGate_00000384.jpg],5[BrandenburgGate_00000415.jpg],5[BrandenburgGate_00000193.jpg],5[BrandenburgGate_00000004.jpg],5[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],5[BrandenburgGate_00000336.jpg],5[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],5[BrandenburgGate_00000039.jpg],5[BrandenburgGate_00000487.jpg],5[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3QECW5O0KIRZLHNLAAAGKY2NRQUT5H,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:07:38 PDT 2016","Sun Sep 25 03:09:15 PDT 2016",1[BrandenburgGate_00000412.jpg],2[BrandenburgGate_00000261.jpg],5[BrandenburgGate_00000503.jpg],3[BrandenburgGate_00000246.jpg],1[BrandenburgGate_00000417.jpg],1[BrandenburgGate_00000413.jpg],2[BrandenburgGate_00000156.jpg],3[BrandenburgGate_00000295.jpg],3[BrandenburgGate_00000502.jpg],5[BrandenburgGate_00000101.jpg],3[BrandenburgGate_00000484.jpg],3[BrandenburgGate_00000448.jpg],4[BrandenburgGate_00000438.jpg],2[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],3[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],2[BrandenburgGate_00000384.jpg],2[BrandenburgGate_00000415.jpg],4[BrandenburgGate_00000193.jpg],4[BrandenburgGate_00000004.jpg],5[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],2[BrandenburgGate_00000336.jpg],5[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],3[BrandenburgGate_00000039.jpg],2[BrandenburgGate_00000487.jpg],3[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3CPLWGV3MPPKRRKDG41LNF1XO4RN91,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:26:10 PDT 2016","Sun Sep 25 03:29:26 PDT 2016",5[BrandenburgGate_00000412.jpg],4[BrandenburgGate_00000261.jpg],5[BrandenburgGate_00000503.jpg],4[BrandenburgGate_00000246.jpg],4[BrandenburgGate_00000417.jpg],5[BrandenburgGate_00000413.jpg],4[BrandenburgGate_00000156.jpg],4[BrandenburgGate_00000295.jpg],4[BrandenburgGate_00000502.jpg],5[BrandenburgGate_00000101.jpg],4[BrandenburgGate_00000484.jpg],4[BrandenburgGate_00000448.jpg],4[BrandenburgGate_00000438.jpg],4[BrandenburgGate_00000426.jpg],4[BrandenburgGate_00000108.jpg],4[BrandenburgGate_00000339.jpg],4[BrandenburgGate_00000064.jpg],4[BrandenburgGate_00000384.jpg],5[BrandenburgGate_00000415.jpg],4[BrandenburgGate_00000193.jpg],4[BrandenburgGate_00000004.jpg],4[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],5[BrandenburgGate_00000336.jpg],5[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],5[BrandenburgGate_00000039.jpg],5[BrandenburgGate_00000487.jpg],5[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3LEIZ60CDKPE8GYWJSCFI286YI09Z5,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:29:16 PDT 2016","Sun Sep 25 03:29:39 PDT 2016",2[BrandenburgGate_00000412.jpg],5[BrandenburgGate_00000261.jpg],5[BrandenburgGate_00000503.jpg],5[BrandenburgGate_00000246.jpg],5[BrandenburgGate_00000417.jpg],5[BrandenburgGate_00000413.jpg],5[BrandenburgGate_00000156.jpg],5[BrandenburgGate_00000295.jpg],5[BrandenburgGate_00000502.jpg],5[BrandenburgGate_00000101.jpg],5[BrandenburgGate_00000484.jpg],5[BrandenburgGate_00000448.jpg],5[BrandenburgGate_00000438.jpg],5[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],5[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],5[BrandenburgGate_00000384.jpg],5[BrandenburgGate_00000415.jpg],5[BrandenburgGate_00000193.jpg],5[BrandenburgGate_00000004.jpg],5[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],5[BrandenburgGate_00000336.jpg],5[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],5[BrandenburgGate_00000039.jpg],5[BrandenburgGate_00000487.jpg],5[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3A7Y0R2P2PEE9XBQ4MF7AB6YMNCXJP,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:57 PDT 2016","Sun Sep 25 03:38:57 PDT 2016",3[BrandenburgGate_00000412.jpg],3[BrandenburgGate_00000261.jpg],4[BrandenburgGate_00000503.jpg],3[BrandenburgGate_00000246.jpg],3[BrandenburgGate_00000417.jpg],4[BrandenburgGate_00000413.jpg],3[BrandenburgGate_00000156.jpg],4[BrandenburgGate_00000295.jpg],3[BrandenburgGate_00000502.jpg],4[BrandenburgGate_00000101.jpg],3[BrandenburgGate_00000484.jpg],2[BrandenburgGate_00000448.jpg],3[BrandenburgGate_00000438.jpg],4[BrandenburgGate_00000426.jpg],4[BrandenburgGate_00000108.jpg],3[BrandenburgGate_00000339.jpg],2[BrandenburgGate_00000064.jpg],3[BrandenburgGate_00000384.jpg],3[BrandenburgGate_00000415.jpg],2[BrandenburgGate_00000193.jpg],3[BrandenburgGate_00000004.jpg],3[BrandenburgGate_00000032.jpg],3[BrandenburgGate_00000371.jpg],4[BrandenburgGate_00000336.jpg],3[BrandenburgGate_00000190.jpg],3[BrandenburgGate_00000003.jpg],3[BrandenburgGate_00000065.jpg],3[BrandenburgGate_00000039.jpg],2[BrandenburgGate_00000487.jpg],3[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3EQHHY4HQTIVGC1FQAB9LFNY1WNG5W,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:38:15 PDT 2016","Sun Sep 25 03:41:54 PDT 2016",1[BrandenburgGate_00000412.jpg],2[BrandenburgGate_00000261.jpg],2[BrandenburgGate_00000503.jpg],2[BrandenburgGate_00000246.jpg],1[BrandenburgGate_00000417.jpg],2[BrandenburgGate_00000413.jpg],3[BrandenburgGate_00000156.jpg],1[BrandenburgGate_00000295.jpg],1[BrandenburgGate_00000502.jpg],3[BrandenburgGate_00000101.jpg],1[BrandenburgGate_00000484.jpg],1[BrandenburgGate_00000448.jpg],1[BrandenburgGate_00000438.jpg],2[BrandenburgGate_00000426.jpg],1[BrandenburgGate_00000108.jpg],3[BrandenburgGate_00000339.jpg],2[BrandenburgGate_00000064.jpg],1[BrandenburgGate_00000384.jpg],4[BrandenburgGate_00000415.jpg],4[BrandenburgGate_00000193.jpg],3[BrandenburgGate_00000004.jpg],2[BrandenburgGate_00000032.jpg],3[BrandenburgGate_00000371.jpg],3[BrandenburgGate_00000336.jpg],4[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],4[BrandenburgGate_00000065.jpg],1[BrandenburgGate_00000039.jpg],3[BrandenburgGate_00000487.jpg],3[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3M0BCWMB8WMT2E8O6P64A49E5G9BW1,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:04:11 PDT 2016","Sun Sep 25 08:05:20 PDT 2016",4[BrandenburgGate_00000412.jpg],4[BrandenburgGate_00000261.jpg],1[BrandenburgGate_00000503.jpg],1[BrandenburgGate_00000246.jpg],4[BrandenburgGate_00000417.jpg],3[BrandenburgGate_00000413.jpg],3[BrandenburgGate_00000156.jpg],1[BrandenburgGate_00000295.jpg],2[BrandenburgGate_00000502.jpg],1[BrandenburgGate_00000101.jpg],1[BrandenburgGate_00000484.jpg],1[BrandenburgGate_00000448.jpg],2[BrandenburgGate_00000438.jpg],3[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],4[BrandenburgGate_00000339.jpg],4[BrandenburgGate_00000064.jpg],1[BrandenburgGate_00000384.jpg],5[BrandenburgGate_00000415.jpg],1[BrandenburgGate_00000193.jpg],4[BrandenburgGate_00000004.jpg],1[BrandenburgGate_00000032.jpg],4[BrandenburgGate_00000371.jpg],4[BrandenburgGate_00000336.jpg],1[BrandenburgGate_00000190.jpg],4[BrandenburgGate_00000003.jpg],3[BrandenburgGate_00000065.jpg],2[BrandenburgGate_00000039.jpg],2[BrandenburgGate_00000487.jpg],2[BrandenburgGate_00000137.jpg],
3EFNPKWBMSET595X8MTCW67DEY2031,"BrandenburgGate_60-89","sample#command",3EICBYG645MQ6Z0VDQJKWYLOL50JCL,AWQDOOSNH42QM,Approved,"Sun Sep 25 08:03:08 PDT 2016","Sun Sep 25 08:07:11 PDT 2016",5[BrandenburgGate_00000412.jpg],5[BrandenburgGate_00000261.jpg],3[BrandenburgGate_00000503.jpg],3[BrandenburgGate_00000246.jpg],5[BrandenburgGate_00000417.jpg],5[BrandenburgGate_00000413.jpg],5[BrandenburgGate_00000156.jpg],5[BrandenburgGate_00000295.jpg],5[BrandenburgGate_00000502.jpg],5[BrandenburgGate_00000101.jpg],5[BrandenburgGate_00000484.jpg],5[BrandenburgGate_00000448.jpg],5[BrandenburgGate_00000438.jpg],5[BrandenburgGate_00000426.jpg],5[BrandenburgGate_00000108.jpg],5[BrandenburgGate_00000339.jpg],5[BrandenburgGate_00000064.jpg],3[BrandenburgGate_00000384.jpg],5[BrandenburgGate_00000415.jpg],3[BrandenburgGate_00000193.jpg],5[BrandenburgGate_00000004.jpg],5[BrandenburgGate_00000032.jpg],5[BrandenburgGate_00000371.jpg],5[BrandenburgGate_00000336.jpg],5[BrandenburgGate_00000190.jpg],5[BrandenburgGate_00000003.jpg],5[BrandenburgGate_00000065.jpg],5[BrandenburgGate_00000039.jpg],5[BrandenburgGate_00000487.jpg],5[BrandenburgGate_00000137.jpg],
