HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3A1PQ49WVI7ASQV79TRF3PMI4GP1HS,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:24 PDT 2016","Sun Sep 25 00:58:59 PDT 2016",4[BrandenburgGate_00000088.jpg],5[BrandenburgGate_00000249.jpg],5[BrandenburgGate_00000306.jpg],5[BrandenburgGate_00000041.jpg],5[BrandenburgGate_00000283.jpg],5[BrandenburgGate_00000188.jpg],2[BrandenburgGate_00000453.jpg],3[BrandenburgGate_00000370.jpg],2[BrandenburgGate_00000458.jpg],4[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],5[BrandenburgGate_00000171.jpg],3[BrandenburgGate_00000115.jpg],5[BrandenburgGate_00000140.jpg],5[BrandenburgGate_00000387.jpg],2[BrandenburgGate_00000440.jpg],3[BrandenburgGate_00000191.jpg],3[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],4[BrandenburgGate_00000114.jpg],5[BrandenburgGate_00000125.jpg],5[BrandenburgGate_00000423.jpg],5[BrandenburgGate_00000042.jpg],5[BrandenburgGate_00000199.jpg],3[BrandenburgGate_00000226.jpg],5[BrandenburgGate_00000030.jpg],5[BrandenburgGate_00000238.jpg],4[BrandenburgGate_00000029.jpg],3[BrandenburgGate_00000224.jpg],5[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3FQ5JJ512ME48N34K1SADOFDZYYKNN,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 00:58:00 PDT 2016","Sun Sep 25 00:59:13 PDT 2016",3[BrandenburgGate_00000088.jpg],4[BrandenburgGate_00000249.jpg],2[BrandenburgGate_00000306.jpg],5[BrandenburgGate_00000041.jpg],3[BrandenburgGate_00000283.jpg],3[BrandenburgGate_00000188.jpg],1[BrandenburgGate_00000453.jpg],3[BrandenburgGate_00000370.jpg],1[BrandenburgGate_00000458.jpg],4[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],5[BrandenburgGate_00000171.jpg],4[BrandenburgGate_00000115.jpg],4[BrandenburgGate_00000140.jpg],5[BrandenburgGate_00000387.jpg],1[BrandenburgGate_00000440.jpg],3[BrandenburgGate_00000191.jpg],3[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],3[BrandenburgGate_00000114.jpg],5[BrandenburgGate_00000125.jpg],3[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],2[BrandenburgGate_00000226.jpg],3[BrandenburgGate_00000030.jpg],4[BrandenburgGate_00000238.jpg],3[BrandenburgGate_00000029.jpg],4[BrandenburgGate_00000224.jpg],1[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",31JLPPHS2VKGUAV90A0OBRYGEMHO3V,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:01:37 PDT 2016","Sun Sep 25 01:03:24 PDT 2016",2[BrandenburgGate_00000088.jpg],3[BrandenburgGate_00000249.jpg],2[BrandenburgGate_00000306.jpg],2[BrandenburgGate_00000041.jpg],3[BrandenburgGate_00000283.jpg],2[BrandenburgGate_00000188.jpg],1[BrandenburgGate_00000453.jpg],2[BrandenburgGate_00000370.jpg],2[BrandenburgGate_00000458.jpg],3[BrandenburgGate_00000422.jpg],3[BrandenburgGate_00000158.jpg],4[BrandenburgGate_00000171.jpg],2[BrandenburgGate_00000115.jpg],4[BrandenburgGate_00000140.jpg],3[BrandenburgGate_00000387.jpg],1[BrandenburgGate_00000440.jpg],3[BrandenburgGate_00000191.jpg],1[BrandenburgGate_00000129.jpg],3[BrandenburgGate_00000126.jpg],1[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],4[BrandenburgGate_00000423.jpg],2[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],1[BrandenburgGate_00000226.jpg],2[BrandenburgGate_00000030.jpg],2[BrandenburgGate_00000238.jpg],2[BrandenburgGate_00000029.jpg],1[BrandenburgGate_00000224.jpg],4[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3AAPLD8UCD7B1A7GBCBP9V5DWZIHTJ,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:55:55 PDT 2016","Sun Sep 25 02:08:18 PDT 2016",5[BrandenburgGate_00000088.jpg],4[BrandenburgGate_00000249.jpg],5[BrandenburgGate_00000306.jpg],5[BrandenburgGate_00000041.jpg],5[BrandenburgGate_00000283.jpg],5[BrandenburgGate_00000188.jpg],5[BrandenburgGate_00000453.jpg],5[BrandenburgGate_00000370.jpg],5[BrandenburgGate_00000458.jpg],5[BrandenburgGate_00000422.jpg],5[BrandenburgGate_00000158.jpg],5[BrandenburgGate_00000171.jpg],5[BrandenburgGate_00000115.jpg],5[BrandenburgGate_00000140.jpg],5[BrandenburgGate_00000387.jpg],5[BrandenburgGate_00000440.jpg],5[BrandenburgGate_00000191.jpg],5[BrandenburgGate_00000129.jpg],5[BrandenburgGate_00000126.jpg],5[BrandenburgGate_00000114.jpg],5[BrandenburgGate_00000125.jpg],5[BrandenburgGate_00000423.jpg],5[BrandenburgGate_00000042.jpg],5[BrandenburgGate_00000199.jpg],5[BrandenburgGate_00000226.jpg],5[BrandenburgGate_00000030.jpg],5[BrandenburgGate_00000238.jpg],5[BrandenburgGate_00000029.jpg],5[BrandenburgGate_00000224.jpg],5[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3KWTYT0871TB24FG118PY7S6XD75LP,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:28:50 PDT 2016","Sun Sep 25 02:30:41 PDT 2016",3[BrandenburgGate_00000088.jpg],4[BrandenburgGate_00000249.jpg],3[BrandenburgGate_00000306.jpg],3[BrandenburgGate_00000041.jpg],3[BrandenburgGate_00000283.jpg],4[BrandenburgGate_00000188.jpg],2[BrandenburgGate_00000453.jpg],3[BrandenburgGate_00000370.jpg],1[BrandenburgGate_00000458.jpg],3[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],4[BrandenburgGate_00000171.jpg],4[BrandenburgGate_00000115.jpg],3[BrandenburgGate_00000140.jpg],3[BrandenburgGate_00000387.jpg],1[BrandenburgGate_00000440.jpg],3[BrandenburgGate_00000191.jpg],4[BrandenburgGate_00000129.jpg],3[BrandenburgGate_00000126.jpg],3[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],3[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],3[BrandenburgGate_00000226.jpg],3[BrandenburgGate_00000030.jpg],3[BrandenburgGate_00000238.jpg],4[BrandenburgGate_00000029.jpg],3[BrandenburgGate_00000224.jpg],3[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3R3YRB5GRGTBR0ER5BR7X54B2I2UAF,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:18:18 PDT 2016","Sun Sep 25 03:22:56 PDT 2016",4[BrandenburgGate_00000088.jpg],5[BrandenburgGate_00000249.jpg],4[BrandenburgGate_00000306.jpg],4[BrandenburgGate_00000041.jpg],4[BrandenburgGate_00000283.jpg],4[BrandenburgGate_00000188.jpg],4[BrandenburgGate_00000453.jpg],4[BrandenburgGate_00000370.jpg],4[BrandenburgGate_00000458.jpg],4[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],4[BrandenburgGate_00000171.jpg],4[BrandenburgGate_00000115.jpg],4[BrandenburgGate_00000140.jpg],4[BrandenburgGate_00000387.jpg],4[BrandenburgGate_00000440.jpg],4[BrandenburgGate_00000191.jpg],4[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],4[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],4[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],4[BrandenburgGate_00000226.jpg],4[BrandenburgGate_00000030.jpg],3[BrandenburgGate_00000238.jpg],4[BrandenburgGate_00000029.jpg],4[BrandenburgGate_00000224.jpg],4[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3LRKMWOKB6738WDXYJX08F0SSCP2Z5,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:27 PDT 2016","Sun Sep 25 03:24:39 PDT 2016",3[BrandenburgGate_00000088.jpg],3[BrandenburgGate_00000249.jpg],4[BrandenburgGate_00000306.jpg],2[BrandenburgGate_00000041.jpg],3[BrandenburgGate_00000283.jpg],3[BrandenburgGate_00000188.jpg],1[BrandenburgGate_00000453.jpg],2[BrandenburgGate_00000370.jpg],3[BrandenburgGate_00000458.jpg],2[BrandenburgGate_00000422.jpg],3[BrandenburgGate_00000158.jpg],2[BrandenburgGate_00000171.jpg],3[BrandenburgGate_00000115.jpg],3[BrandenburgGate_00000140.jpg],3[BrandenburgGate_00000387.jpg],3[BrandenburgGate_00000440.jpg],4[BrandenburgGate_00000191.jpg],3[BrandenburgGate_00000129.jpg],3[BrandenburgGate_00000126.jpg],3[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],3[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],5[BrandenburgGate_00000199.jpg],1[BrandenburgGate_00000226.jpg],2[BrandenburgGate_00000030.jpg],3[BrandenburgGate_00000238.jpg],3[BrandenburgGate_00000029.jpg],2[BrandenburgGate_00000224.jpg],3[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",39RP059MEIJXX2EA2N0H167N7EKMBA,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:17:33 PDT 2016","Sun Sep 25 03:24:44 PDT 2016",4[BrandenburgGate_00000088.jpg],3[BrandenburgGate_00000249.jpg],4[BrandenburgGate_00000306.jpg],1[BrandenburgGate_00000041.jpg],2[BrandenburgGate_00000283.jpg],3[BrandenburgGate_00000188.jpg],1[BrandenburgGate_00000453.jpg],3[BrandenburgGate_00000370.jpg],2[BrandenburgGate_00000458.jpg],2[BrandenburgGate_00000422.jpg],2[BrandenburgGate_00000158.jpg],4[BrandenburgGate_00000171.jpg],1[BrandenburgGate_00000115.jpg],2[BrandenburgGate_00000140.jpg],3[BrandenburgGate_00000387.jpg],1[BrandenburgGate_00000440.jpg],1[BrandenburgGate_00000191.jpg],1[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],2[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],1[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],2[BrandenburgGate_00000226.jpg],2[BrandenburgGate_00000030.jpg],1[BrandenburgGate_00000238.jpg],2[BrandenburgGate_00000029.jpg],1[BrandenburgGate_00000224.jpg],3[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3HMVI3QICKIWELLWJTV3PPHLUC7Y1T,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:32:23 PDT 2016","Sun Sep 25 03:34:06 PDT 2016",4[BrandenburgGate_00000088.jpg],4[BrandenburgGate_00000249.jpg],3[BrandenburgGate_00000306.jpg],5[BrandenburgGate_00000041.jpg],3[BrandenburgGate_00000283.jpg],4[BrandenburgGate_00000188.jpg],1[BrandenburgGate_00000453.jpg],5[BrandenburgGate_00000370.jpg],2[BrandenburgGate_00000458.jpg],4[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],5[BrandenburgGate_00000171.jpg],5[BrandenburgGate_00000115.jpg],3[BrandenburgGate_00000140.jpg],5[BrandenburgGate_00000387.jpg],1[BrandenburgGate_00000440.jpg],2[BrandenburgGate_00000191.jpg],5[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],3[BrandenburgGate_00000114.jpg],4[BrandenburgGate_00000125.jpg],3[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],4[BrandenburgGate_00000199.jpg],2[BrandenburgGate_00000226.jpg],4[BrandenburgGate_00000030.jpg],3[BrandenburgGate_00000238.jpg],5[BrandenburgGate_00000029.jpg],3[BrandenburgGate_00000224.jpg],3[BrandenburgGate_00000406.jpg],
3FCO4VKOZ43AXILEI5VHUCLXD1Y7EZ,"BrandenburgGate_270-299","sample#command",3WYGZ5XF3X51O0V9SX9WCIPJMXJSKK,ACN8N7V5QNSSS,Approved,"Sun Sep 25 07:24:15 PDT 2016","Sun Sep 25 07:26:04 PDT 2016",5[BrandenburgGate_00000088.jpg],5[BrandenburgGate_00000249.jpg],5[BrandenburgGate_00000306.jpg],4[BrandenburgGate_00000041.jpg],5[BrandenburgGate_00000283.jpg],4[BrandenburgGate_00000188.jpg],3[BrandenburgGate_00000453.jpg],3[BrandenburgGate_00000370.jpg],4[BrandenburgGate_00000458.jpg],4[BrandenburgGate_00000422.jpg],4[BrandenburgGate_00000158.jpg],4[BrandenburgGate_00000171.jpg],2[BrandenburgGate_00000115.jpg],4[BrandenburgGate_00000140.jpg],4[BrandenburgGate_00000387.jpg],2[BrandenburgGate_00000440.jpg],4[BrandenburgGate_00000191.jpg],2[BrandenburgGate_00000129.jpg],4[BrandenburgGate_00000126.jpg],3[BrandenburgGate_00000114.jpg],5[BrandenburgGate_00000125.jpg],5[BrandenburgGate_00000423.jpg],4[BrandenburgGate_00000042.jpg],5[BrandenburgGate_00000199.jpg],2[BrandenburgGate_00000226.jpg],3[BrandenburgGate_00000030.jpg],4[BrandenburgGate_00000238.jpg],3[BrandenburgGate_00000029.jpg],3[BrandenburgGate_00000224.jpg],5[BrandenburgGate_00000406.jpg],
