HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",39DD6S19JQ1V3CPDR3S1AG9HPF9EZD,A1I7ACFIU8U11J,Approved,"Sun Sep 25 00:30:33 PDT 2016","Sun Sep 25 00:32:54 PDT 2016",3[BrandenburgGate_00000421.jpg],2[BrandenburgGate_00000444.jpg],1[BrandenburgGate_00000390.jpg],4[BrandenburgGate_00000420.jpg],2[BrandenburgGate_00000446.jpg],1[BrandenburgGate_00000308.jpg],2[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],4[BrandenburgGate_00000393.jpg],3[BrandenburgGate_00000121.jpg],4[BrandenburgGate_00000303.jpg],1[BrandenburgGate_00000475.jpg],5[BrandenburgGate_00000287.jpg],4[BrandenburgGate_00000469.jpg],2[BrandenburgGate_00000253.jpg],2[BrandenburgGate_00000144.jpg],3[BrandenburgGate_00000463.jpg],1[BrandenburgGate_00000091.jpg],3[BrandenburgGate_00000311.jpg],3[BrandenburgGate_00000435.jpg],2[BrandenburgGate_00000418.jpg],3[BrandenburgGate_00000017.jpg],1[BrandenburgGate_00000160.jpg],4[BrandenburgGate_00000176.jpg],1[BrandenburgGate_00000097.jpg],1[BrandenburgGate_00000254.jpg],3[BrandenburgGate_00000508.jpg],1[BrandenburgGate_00000456.jpg],3[BrandenburgGate_00000427.jpg],3[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3SNVL38CI5ILHJ6DVBJWXDL10UJKC4,A1UXJODFEMP28A,Approved,"Sun Sep 25 00:30:58 PDT 2016","Sun Sep 25 00:35:23 PDT 2016",4[BrandenburgGate_00000421.jpg],4[BrandenburgGate_00000444.jpg],4[BrandenburgGate_00000390.jpg],3[BrandenburgGate_00000420.jpg],3[BrandenburgGate_00000446.jpg],2[BrandenburgGate_00000308.jpg],3[BrandenburgGate_00000310.jpg],3[BrandenburgGate_00000389.jpg],5[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],3[BrandenburgGate_00000303.jpg],1[BrandenburgGate_00000475.jpg],2[BrandenburgGate_00000287.jpg],4[BrandenburgGate_00000469.jpg],3[BrandenburgGate_00000253.jpg],2[BrandenburgGate_00000144.jpg],1[BrandenburgGate_00000463.jpg],4[BrandenburgGate_00000091.jpg],2[BrandenburgGate_00000311.jpg],3[BrandenburgGate_00000435.jpg],3[BrandenburgGate_00000418.jpg],5[BrandenburgGate_00000017.jpg],4[BrandenburgGate_00000160.jpg],3[BrandenburgGate_00000176.jpg],4[BrandenburgGate_00000097.jpg],2[BrandenburgGate_00000254.jpg],3[BrandenburgGate_00000508.jpg],3[BrandenburgGate_00000456.jpg],2[BrandenburgGate_00000427.jpg],5[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3NG53N1RLW9KG7DGRR8ZR8BH4D5P85,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:13:53 PDT 2016","Sun Sep 25 01:18:04 PDT 2016",1[BrandenburgGate_00000421.jpg],2[BrandenburgGate_00000444.jpg],2[BrandenburgGate_00000390.jpg],4[BrandenburgGate_00000420.jpg],2[BrandenburgGate_00000446.jpg],3[BrandenburgGate_00000308.jpg],3[BrandenburgGate_00000310.jpg],4[BrandenburgGate_00000389.jpg],4[BrandenburgGate_00000393.jpg],4[BrandenburgGate_00000121.jpg],4[BrandenburgGate_00000303.jpg],2[BrandenburgGate_00000475.jpg],2[BrandenburgGate_00000287.jpg],2[BrandenburgGate_00000469.jpg],4[BrandenburgGate_00000253.jpg],3[BrandenburgGate_00000144.jpg],2[BrandenburgGate_00000463.jpg],2[BrandenburgGate_00000091.jpg],2[BrandenburgGate_00000311.jpg],2[BrandenburgGate_00000435.jpg],2[BrandenburgGate_00000418.jpg],5[BrandenburgGate_00000017.jpg],3[BrandenburgGate_00000160.jpg],3[BrandenburgGate_00000176.jpg],4[BrandenburgGate_00000097.jpg],2[BrandenburgGate_00000254.jpg],4[BrandenburgGate_00000508.jpg],4[BrandenburgGate_00000456.jpg],2[BrandenburgGate_00000427.jpg],5[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3AQF3RZ5598LLG5YK9FWV01MWCUF68,A22FYEGZ5QLW37,Approved,"Sun Sep 25 01:53:35 PDT 2016","Sun Sep 25 01:56:19 PDT 2016",4[BrandenburgGate_00000421.jpg],2[BrandenburgGate_00000444.jpg],3[BrandenburgGate_00000390.jpg],4[BrandenburgGate_00000420.jpg],3[BrandenburgGate_00000446.jpg],2[BrandenburgGate_00000308.jpg],5[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],4[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],3[BrandenburgGate_00000303.jpg],4[BrandenburgGate_00000475.jpg],4[BrandenburgGate_00000287.jpg],5[BrandenburgGate_00000469.jpg],3[BrandenburgGate_00000253.jpg],4[BrandenburgGate_00000144.jpg],2[BrandenburgGate_00000463.jpg],4[BrandenburgGate_00000091.jpg],4[BrandenburgGate_00000311.jpg],5[BrandenburgGate_00000435.jpg],5[BrandenburgGate_00000418.jpg],3[BrandenburgGate_00000017.jpg],2[BrandenburgGate_00000160.jpg],2[BrandenburgGate_00000176.jpg],2[BrandenburgGate_00000097.jpg],2[BrandenburgGate_00000254.jpg],3[BrandenburgGate_00000508.jpg],1[BrandenburgGate_00000456.jpg],2[BrandenburgGate_00000427.jpg],4[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3II4UPYCOKXHXEAM8CY4D5FSK0QDQS,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:00:53 PDT 2016","Sun Sep 25 02:16:21 PDT 2016",5[BrandenburgGate_00000421.jpg],5[BrandenburgGate_00000444.jpg],5[BrandenburgGate_00000390.jpg],5[BrandenburgGate_00000420.jpg],5[BrandenburgGate_00000446.jpg],5[BrandenburgGate_00000308.jpg],5[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],5[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],5[BrandenburgGate_00000303.jpg],5[BrandenburgGate_00000475.jpg],5[BrandenburgGate_00000287.jpg],5[BrandenburgGate_00000469.jpg],5[BrandenburgGate_00000253.jpg],5[BrandenburgGate_00000144.jpg],5[BrandenburgGate_00000463.jpg],5[BrandenburgGate_00000091.jpg],5[BrandenburgGate_00000311.jpg],5[BrandenburgGate_00000435.jpg],5[BrandenburgGate_00000418.jpg],5[BrandenburgGate_00000017.jpg],5[BrandenburgGate_00000160.jpg],5[BrandenburgGate_00000176.jpg],5[BrandenburgGate_00000097.jpg],5[BrandenburgGate_00000254.jpg],5[BrandenburgGate_00000508.jpg],5[BrandenburgGate_00000456.jpg],5[BrandenburgGate_00000427.jpg],5[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",31T4R4OBOT6XM4ZTCHUNT8GFUAPC7W,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:09:55 PDT 2016","Sun Sep 25 03:11:36 PDT 2016",2[BrandenburgGate_00000421.jpg],2[BrandenburgGate_00000444.jpg],5[BrandenburgGate_00000390.jpg],3[BrandenburgGate_00000420.jpg],4[BrandenburgGate_00000446.jpg],3[BrandenburgGate_00000308.jpg],5[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],5[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],5[BrandenburgGate_00000303.jpg],5[BrandenburgGate_00000475.jpg],5[BrandenburgGate_00000287.jpg],5[BrandenburgGate_00000469.jpg],4[BrandenburgGate_00000253.jpg],4[BrandenburgGate_00000144.jpg],2[BrandenburgGate_00000463.jpg],4[BrandenburgGate_00000091.jpg],3[BrandenburgGate_00000311.jpg],1[BrandenburgGate_00000435.jpg],2[BrandenburgGate_00000418.jpg],5[BrandenburgGate_00000017.jpg],3[BrandenburgGate_00000160.jpg],3[BrandenburgGate_00000176.jpg],5[BrandenburgGate_00000097.jpg],1[BrandenburgGate_00000254.jpg],2[BrandenburgGate_00000508.jpg],2[BrandenburgGate_00000456.jpg],3[BrandenburgGate_00000427.jpg],5[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3U84XHCDID3DBASK2XGO1UXQCQM4Z4,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:30:04 PDT 2016","Sun Sep 25 03:30:24 PDT 2016",4[BrandenburgGate_00000421.jpg],5[BrandenburgGate_00000444.jpg],5[BrandenburgGate_00000390.jpg],5[BrandenburgGate_00000420.jpg],5[BrandenburgGate_00000446.jpg],5[BrandenburgGate_00000308.jpg],5[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],5[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],5[BrandenburgGate_00000303.jpg],5[BrandenburgGate_00000475.jpg],5[BrandenburgGate_00000287.jpg],5[BrandenburgGate_00000469.jpg],5[BrandenburgGate_00000253.jpg],5[BrandenburgGate_00000144.jpg],5[BrandenburgGate_00000463.jpg],5[BrandenburgGate_00000091.jpg],5[BrandenburgGate_00000311.jpg],5[BrandenburgGate_00000435.jpg],5[BrandenburgGate_00000418.jpg],5[BrandenburgGate_00000017.jpg],5[BrandenburgGate_00000160.jpg],5[BrandenburgGate_00000176.jpg],5[BrandenburgGate_00000097.jpg],5[BrandenburgGate_00000254.jpg],5[BrandenburgGate_00000508.jpg],5[BrandenburgGate_00000456.jpg],5[BrandenburgGate_00000427.jpg],5[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3DEL4X4EL7B44M6PQMGAKYLMZRMXYK,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:30:37 PDT 2016","Sun Sep 25 03:34:16 PDT 2016",3[BrandenburgGate_00000421.jpg],3[BrandenburgGate_00000444.jpg],4[BrandenburgGate_00000390.jpg],3[BrandenburgGate_00000420.jpg],3[BrandenburgGate_00000446.jpg],3[BrandenburgGate_00000308.jpg],3[BrandenburgGate_00000310.jpg],4[BrandenburgGate_00000389.jpg],4[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],3[BrandenburgGate_00000303.jpg],5[BrandenburgGate_00000475.jpg],5[BrandenburgGate_00000287.jpg],3[BrandenburgGate_00000469.jpg],3[BrandenburgGate_00000253.jpg],3[BrandenburgGate_00000144.jpg],3[BrandenburgGate_00000463.jpg],3[BrandenburgGate_00000091.jpg],3[BrandenburgGate_00000311.jpg],3[BrandenburgGate_00000435.jpg],2[BrandenburgGate_00000418.jpg],3[BrandenburgGate_00000017.jpg],3[BrandenburgGate_00000160.jpg],3[BrandenburgGate_00000176.jpg],4[BrandenburgGate_00000097.jpg],3[BrandenburgGate_00000254.jpg],3[BrandenburgGate_00000508.jpg],3[BrandenburgGate_00000456.jpg],2[BrandenburgGate_00000427.jpg],3[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",3CFJTT4SXUGOZ7LT4RQ94BEA7F97IT,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:55 PDT 2016","Sun Sep 25 03:36:49 PDT 2016",3[BrandenburgGate_00000421.jpg],3[BrandenburgGate_00000444.jpg],3[BrandenburgGate_00000390.jpg],4[BrandenburgGate_00000420.jpg],3[BrandenburgGate_00000446.jpg],3[BrandenburgGate_00000308.jpg],2[BrandenburgGate_00000310.jpg],3[BrandenburgGate_00000389.jpg],4[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],4[BrandenburgGate_00000303.jpg],3[BrandenburgGate_00000475.jpg],4[BrandenburgGate_00000287.jpg],3[BrandenburgGate_00000469.jpg],4[BrandenburgGate_00000253.jpg],5[BrandenburgGate_00000144.jpg],3[BrandenburgGate_00000463.jpg],4[BrandenburgGate_00000091.jpg],4[BrandenburgGate_00000311.jpg],4[BrandenburgGate_00000435.jpg],3[BrandenburgGate_00000418.jpg],3[BrandenburgGate_00000017.jpg],3[BrandenburgGate_00000160.jpg],4[BrandenburgGate_00000176.jpg],3[BrandenburgGate_00000097.jpg],5[BrandenburgGate_00000254.jpg],3[BrandenburgGate_00000508.jpg],3[BrandenburgGate_00000456.jpg],3[BrandenburgGate_00000427.jpg],3[BrandenburgGate_00000018.jpg],
3FJ2RVH25ZWMGLXR4IY0673EBOW294,"BrandenburgGate_30-59","sample#command",33CKWXB73KAZOFAT74OUB26BNRZ11Z,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:42:47 PDT 2016","Sun Sep 25 03:51:21 PDT 2016",1[BrandenburgGate_00000421.jpg],2[BrandenburgGate_00000444.jpg],2[BrandenburgGate_00000390.jpg],3[BrandenburgGate_00000420.jpg],1[BrandenburgGate_00000446.jpg],3[BrandenburgGate_00000308.jpg],2[BrandenburgGate_00000310.jpg],5[BrandenburgGate_00000389.jpg],5[BrandenburgGate_00000393.jpg],5[BrandenburgGate_00000121.jpg],4[BrandenburgGate_00000303.jpg],1[BrandenburgGate_00000475.jpg],4[BrandenburgGate_00000287.jpg],3[BrandenburgGate_00000469.jpg],5[BrandenburgGate_00000253.jpg],4[BrandenburgGate_00000144.jpg],1[BrandenburgGate_00000463.jpg],2[BrandenburgGate_00000091.jpg],1[BrandenburgGate_00000311.jpg],1[BrandenburgGate_00000435.jpg],1[BrandenburgGate_00000418.jpg],2[BrandenburgGate_00000017.jpg],2[BrandenburgGate_00000160.jpg],2[BrandenburgGate_00000176.jpg],3[BrandenburgGate_00000097.jpg],1[BrandenburgGate_00000254.jpg],1[BrandenburgGate_00000508.jpg],1[BrandenburgGate_00000456.jpg],1[BrandenburgGate_00000427.jpg],4[BrandenburgGate_00000018.jpg],
