HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",373ERPL3YPYOQ4LJ7HNJNZ7JJ8DTRP,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:20 PDT 2016","Sun Sep 25 00:55:27 PDT 2016",5[BrandenburgGate_00000282.jpg],5[BrandenburgGate_00000494.jpg],3[BrandenburgGate_00000439.jpg],5[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],4[BrandenburgGate_00000000.jpg],4[BrandenburgGate_00000493.jpg],3[BrandenburgGate_00000338.jpg],2[BrandenburgGate_00000472.jpg],4[BrandenburgGate_00000411.jpg],5[BrandenburgGate_00000181.jpg],4[BrandenburgGate_00000360.jpg],4[BrandenburgGate_00000143.jpg],3[BrandenburgGate_00000228.jpg],5[BrandenburgGate_00000239.jpg],5[BrandenburgGate_00000170.jpg],4[BrandenburgGate_00000499.jpg],5[BrandenburgGate_00000424.jpg],5[BrandenburgGate_00000186.jpg],5[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],5[BrandenburgGate_00000386.jpg],5[BrandenburgGate_00000302.jpg],5[BrandenburgGate_00000275.jpg],5[BrandenburgGate_00000485.jpg],5[BrandenburgGate_00000093.jpg],5[BrandenburgGate_00000185.jpg],3[BrandenburgGate_00000079.jpg],5[BrandenburgGate_00000273.jpg],4[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3B2X28YI3X5V8ZTIF7T0CAA1HE0B6K,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 00:59:19 PDT 2016","Sun Sep 25 01:00:38 PDT 2016",2[BrandenburgGate_00000282.jpg],4[BrandenburgGate_00000494.jpg],2[BrandenburgGate_00000439.jpg],4[BrandenburgGate_00000233.jpg],4[BrandenburgGate_00000480.jpg],5[BrandenburgGate_00000000.jpg],3[BrandenburgGate_00000493.jpg],2[BrandenburgGate_00000338.jpg],2[BrandenburgGate_00000472.jpg],2[BrandenburgGate_00000411.jpg],3[BrandenburgGate_00000181.jpg],3[BrandenburgGate_00000360.jpg],3[BrandenburgGate_00000143.jpg],3[BrandenburgGate_00000228.jpg],2[BrandenburgGate_00000239.jpg],2[BrandenburgGate_00000170.jpg],4[BrandenburgGate_00000499.jpg],2[BrandenburgGate_00000424.jpg],3[BrandenburgGate_00000186.jpg],2[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],1[BrandenburgGate_00000386.jpg],4[BrandenburgGate_00000302.jpg],5[BrandenburgGate_00000275.jpg],4[BrandenburgGate_00000485.jpg],4[BrandenburgGate_00000093.jpg],4[BrandenburgGate_00000185.jpg],4[BrandenburgGate_00000079.jpg],3[BrandenburgGate_00000273.jpg],3[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3MAOD8E57R0ASN2BJK7Z3INFV7FNXH,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:01:51 PDT 2016","Sun Sep 25 02:17:30 PDT 2016",5[BrandenburgGate_00000282.jpg],5[BrandenburgGate_00000494.jpg],5[BrandenburgGate_00000439.jpg],5[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],5[BrandenburgGate_00000000.jpg],5[BrandenburgGate_00000493.jpg],5[BrandenburgGate_00000338.jpg],5[BrandenburgGate_00000472.jpg],5[BrandenburgGate_00000411.jpg],5[BrandenburgGate_00000181.jpg],5[BrandenburgGate_00000360.jpg],5[BrandenburgGate_00000143.jpg],5[BrandenburgGate_00000228.jpg],5[BrandenburgGate_00000239.jpg],5[BrandenburgGate_00000170.jpg],5[BrandenburgGate_00000499.jpg],5[BrandenburgGate_00000424.jpg],5[BrandenburgGate_00000186.jpg],5[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],5[BrandenburgGate_00000386.jpg],5[BrandenburgGate_00000302.jpg],5[BrandenburgGate_00000275.jpg],5[BrandenburgGate_00000485.jpg],5[BrandenburgGate_00000093.jpg],5[BrandenburgGate_00000185.jpg],5[BrandenburgGate_00000079.jpg],5[BrandenburgGate_00000273.jpg],5[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",31HQ4X3T3T0C86DRDXLXRI2YBXDSLC,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:23:28 PDT 2016","Sun Sep 25 02:25:01 PDT 2016",4[BrandenburgGate_00000282.jpg],4[BrandenburgGate_00000494.jpg],4[BrandenburgGate_00000439.jpg],5[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],5[BrandenburgGate_00000000.jpg],4[BrandenburgGate_00000493.jpg],4[BrandenburgGate_00000338.jpg],4[BrandenburgGate_00000472.jpg],3[BrandenburgGate_00000411.jpg],4[BrandenburgGate_00000181.jpg],4[BrandenburgGate_00000360.jpg],3[BrandenburgGate_00000143.jpg],3[BrandenburgGate_00000228.jpg],2[BrandenburgGate_00000239.jpg],3[BrandenburgGate_00000170.jpg],4[BrandenburgGate_00000499.jpg],3[BrandenburgGate_00000424.jpg],4[BrandenburgGate_00000186.jpg],4[BrandenburgGate_00000251.jpg],4[BrandenburgGate_00000235.jpg],1[BrandenburgGate_00000386.jpg],3[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],4[BrandenburgGate_00000485.jpg],3[BrandenburgGate_00000093.jpg],3[BrandenburgGate_00000185.jpg],5[BrandenburgGate_00000079.jpg],4[BrandenburgGate_00000273.jpg],3[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",33LKR6A5KFA0XZM29N84H8P6FAQ1T8,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:22:54 PDT 2016","Sun Sep 25 03:24:29 PDT 2016",3[BrandenburgGate_00000282.jpg],4[BrandenburgGate_00000494.jpg],2[BrandenburgGate_00000439.jpg],4[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],4[BrandenburgGate_00000000.jpg],4[BrandenburgGate_00000493.jpg],5[BrandenburgGate_00000338.jpg],1[BrandenburgGate_00000472.jpg],3[BrandenburgGate_00000411.jpg],4[BrandenburgGate_00000181.jpg],4[BrandenburgGate_00000360.jpg],2[BrandenburgGate_00000143.jpg],1[BrandenburgGate_00000228.jpg],2[BrandenburgGate_00000239.jpg],1[BrandenburgGate_00000170.jpg],2[BrandenburgGate_00000499.jpg],2[BrandenburgGate_00000424.jpg],4[BrandenburgGate_00000186.jpg],3[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],3[BrandenburgGate_00000386.jpg],3[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],5[BrandenburgGate_00000485.jpg],5[BrandenburgGate_00000093.jpg],3[BrandenburgGate_00000185.jpg],5[BrandenburgGate_00000079.jpg],3[BrandenburgGate_00000273.jpg],4[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3RYC5T2D74JQYCSCQ0EZIP6MU5YPRM,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:21:49 PDT 2016","Sun Sep 25 03:25:31 PDT 2016",3[BrandenburgGate_00000282.jpg],5[BrandenburgGate_00000494.jpg],3[BrandenburgGate_00000439.jpg],3[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],4[BrandenburgGate_00000000.jpg],4[BrandenburgGate_00000493.jpg],4[BrandenburgGate_00000338.jpg],4[BrandenburgGate_00000472.jpg],3[BrandenburgGate_00000411.jpg],3[BrandenburgGate_00000181.jpg],4[BrandenburgGate_00000360.jpg],4[BrandenburgGate_00000143.jpg],4[BrandenburgGate_00000228.jpg],3[BrandenburgGate_00000239.jpg],2[BrandenburgGate_00000170.jpg],4[BrandenburgGate_00000499.jpg],4[BrandenburgGate_00000424.jpg],4[BrandenburgGate_00000186.jpg],2[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],3[BrandenburgGate_00000386.jpg],3[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],3[BrandenburgGate_00000485.jpg],3[BrandenburgGate_00000093.jpg],3[BrandenburgGate_00000185.jpg],3[BrandenburgGate_00000079.jpg],3[BrandenburgGate_00000273.jpg],3[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3EQHHY4HQTIVGC1FQAB9LFNY1WM5GK,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:31 PDT 2016","Sun Sep 25 03:28:50 PDT 2016",2[BrandenburgGate_00000282.jpg],2[BrandenburgGate_00000494.jpg],2[BrandenburgGate_00000439.jpg],2[BrandenburgGate_00000233.jpg],2[BrandenburgGate_00000480.jpg],2[BrandenburgGate_00000000.jpg],3[BrandenburgGate_00000493.jpg],2[BrandenburgGate_00000338.jpg],1[BrandenburgGate_00000472.jpg],2[BrandenburgGate_00000411.jpg],3[BrandenburgGate_00000181.jpg],3[BrandenburgGate_00000360.jpg],3[BrandenburgGate_00000143.jpg],3[BrandenburgGate_00000228.jpg],2[BrandenburgGate_00000239.jpg],3[BrandenburgGate_00000170.jpg],2[BrandenburgGate_00000499.jpg],2[BrandenburgGate_00000424.jpg],2[BrandenburgGate_00000186.jpg],2[BrandenburgGate_00000251.jpg],3[BrandenburgGate_00000235.jpg],2[BrandenburgGate_00000386.jpg],2[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],2[BrandenburgGate_00000485.jpg],2[BrandenburgGate_00000093.jpg],3[BrandenburgGate_00000185.jpg],2[BrandenburgGate_00000079.jpg],2[BrandenburgGate_00000273.jpg],3[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3P59JYT76MA7MK4YSR8IMRZB7GB2TX,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 07:08:46 PDT 2016","Sun Sep 25 07:12:26 PDT 2016",2[BrandenburgGate_00000282.jpg],4[BrandenburgGate_00000494.jpg],1[BrandenburgGate_00000439.jpg],4[BrandenburgGate_00000233.jpg],4[BrandenburgGate_00000480.jpg],4[BrandenburgGate_00000000.jpg],4[BrandenburgGate_00000493.jpg],3[BrandenburgGate_00000338.jpg],3[BrandenburgGate_00000472.jpg],3[BrandenburgGate_00000411.jpg],4[BrandenburgGate_00000181.jpg],4[BrandenburgGate_00000360.jpg],1[BrandenburgGate_00000143.jpg],2[BrandenburgGate_00000228.jpg],2[BrandenburgGate_00000239.jpg],2[BrandenburgGate_00000170.jpg],1[BrandenburgGate_00000499.jpg],2[BrandenburgGate_00000424.jpg],4[BrandenburgGate_00000186.jpg],3[BrandenburgGate_00000251.jpg],2[BrandenburgGate_00000235.jpg],1[BrandenburgGate_00000386.jpg],3[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],1[BrandenburgGate_00000485.jpg],2[BrandenburgGate_00000093.jpg],3[BrandenburgGate_00000185.jpg],3[BrandenburgGate_00000079.jpg],3[BrandenburgGate_00000273.jpg],1[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3IUZPWIU1PXUVHCIC2JX97S4SAHKWT,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:55:00 PDT 2016","Sun Sep 25 07:56:29 PDT 2016",5[BrandenburgGate_00000282.jpg],5[BrandenburgGate_00000494.jpg],5[BrandenburgGate_00000439.jpg],5[BrandenburgGate_00000233.jpg],5[BrandenburgGate_00000480.jpg],5[BrandenburgGate_00000000.jpg],5[BrandenburgGate_00000493.jpg],3[BrandenburgGate_00000338.jpg],3[BrandenburgGate_00000472.jpg],5[BrandenburgGate_00000411.jpg],3[BrandenburgGate_00000181.jpg],3[BrandenburgGate_00000360.jpg],3[BrandenburgGate_00000143.jpg],3[BrandenburgGate_00000228.jpg],3[BrandenburgGate_00000239.jpg],4[BrandenburgGate_00000170.jpg],5[BrandenburgGate_00000499.jpg],5[BrandenburgGate_00000424.jpg],5[BrandenburgGate_00000186.jpg],5[BrandenburgGate_00000251.jpg],5[BrandenburgGate_00000235.jpg],5[BrandenburgGate_00000386.jpg],5[BrandenburgGate_00000302.jpg],5[BrandenburgGate_00000275.jpg],5[BrandenburgGate_00000485.jpg],5[BrandenburgGate_00000093.jpg],5[BrandenburgGate_00000185.jpg],5[BrandenburgGate_00000079.jpg],3[BrandenburgGate_00000273.jpg],5[BrandenburgGate_00000081.jpg],
3HEA4ZVWVDCVEVE2JBNHSY1O92455H,"BrandenburgGate_150-179","sample#command",3BDCF01OGYK94SP0C3DM94QZSINYLA,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:15:30 PDT 2016","Sun Sep 25 08:16:40 PDT 2016",3[BrandenburgGate_00000282.jpg],3[BrandenburgGate_00000494.jpg],2[BrandenburgGate_00000439.jpg],3[BrandenburgGate_00000233.jpg],4[BrandenburgGate_00000480.jpg],2[BrandenburgGate_00000000.jpg],3[BrandenburgGate_00000493.jpg],1[BrandenburgGate_00000338.jpg],1[BrandenburgGate_00000472.jpg],2[BrandenburgGate_00000411.jpg],1[BrandenburgGate_00000181.jpg],1[BrandenburgGate_00000360.jpg],1[BrandenburgGate_00000143.jpg],1[BrandenburgGate_00000228.jpg],1[BrandenburgGate_00000239.jpg],1[BrandenburgGate_00000170.jpg],1[BrandenburgGate_00000499.jpg],3[BrandenburgGate_00000424.jpg],1[BrandenburgGate_00000186.jpg],2[BrandenburgGate_00000251.jpg],3[BrandenburgGate_00000235.jpg],1[BrandenburgGate_00000386.jpg],2[BrandenburgGate_00000302.jpg],3[BrandenburgGate_00000275.jpg],3[BrandenburgGate_00000485.jpg],3[BrandenburgGate_00000093.jpg],1[BrandenburgGate_00000185.jpg],4[BrandenburgGate_00000079.jpg],1[BrandenburgGate_00000273.jpg],1[BrandenburgGate_00000081.jpg],
