HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3SUWZRL0MZ3TF252PYVQDIGMKBE6EG,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:16:55 PDT 2016","Sun Sep 25 01:20:34 PDT 2016",5[BrandenburgGate_00000051.jpg],3[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],3[BrandenburgGate_00000132.jpg],4[BrandenburgGate_00000221.jpg],1[BrandenburgGate_00000255.jpg],2[BrandenburgGate_00000197.jpg],2[BrandenburgGate_00000298.jpg],4[BrandenburgGate_00000355.jpg],4[BrandenburgGate_00000230.jpg],3[BrandenburgGate_00000149.jpg],4[BrandenburgGate_00000131.jpg],1[BrandenburgGate_00000466.jpg],3[BrandenburgGate_00000309.jpg],1[BrandenburgGate_00000495.jpg],4[BrandenburgGate_00000204.jpg],2[BrandenburgGate_00000314.jpg],4[BrandenburgGate_00000141.jpg],4[BrandenburgGate_00000177.jpg],4[BrandenburgGate_00000359.jpg],4[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],5[BrandenburgGate_00000250.jpg],4[BrandenburgGate_00000169.jpg],1[BrandenburgGate_00000408.jpg],2[BrandenburgGate_00000337.jpg],3[BrandenburgGate_00000353.jpg],3[BrandenburgGate_00000161.jpg],2[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3MX2NQ3YCAK62YW5FKBD91NT4MEX50,A2K88MLVIBCQC,Approved,"Sun Sep 25 01:52:15 PDT 2016","Sun Sep 25 01:54:31 PDT 2016",4[BrandenburgGate_00000051.jpg],2[BrandenburgGate_00000046.jpg],3[BrandenburgGate_00000015.jpg],3[BrandenburgGate_00000020.jpg],1[BrandenburgGate_00000132.jpg],4[BrandenburgGate_00000221.jpg],1[BrandenburgGate_00000255.jpg],1[BrandenburgGate_00000197.jpg],1[BrandenburgGate_00000298.jpg],4[BrandenburgGate_00000355.jpg],2[BrandenburgGate_00000230.jpg],2[BrandenburgGate_00000149.jpg],1[BrandenburgGate_00000131.jpg],1[BrandenburgGate_00000466.jpg],1[BrandenburgGate_00000309.jpg],1[BrandenburgGate_00000495.jpg],2[BrandenburgGate_00000204.jpg],2[BrandenburgGate_00000314.jpg],2[BrandenburgGate_00000141.jpg],2[BrandenburgGate_00000177.jpg],2[BrandenburgGate_00000359.jpg],2[BrandenburgGate_00000138.jpg],3[BrandenburgGate_00000002.jpg],3[BrandenburgGate_00000250.jpg],1[BrandenburgGate_00000169.jpg],1[BrandenburgGate_00000408.jpg],1[BrandenburgGate_00000337.jpg],2[BrandenburgGate_00000353.jpg],1[BrandenburgGate_00000161.jpg],2[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3X31TUMD7YCCEMEX0E6DVHFPLX0L1L,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:00:01 PDT 2016","Sun Sep 25 02:12:09 PDT 2016",5[BrandenburgGate_00000051.jpg],5[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],5[BrandenburgGate_00000132.jpg],5[BrandenburgGate_00000221.jpg],5[BrandenburgGate_00000255.jpg],5[BrandenburgGate_00000197.jpg],5[BrandenburgGate_00000298.jpg],5[BrandenburgGate_00000355.jpg],5[BrandenburgGate_00000230.jpg],5[BrandenburgGate_00000149.jpg],5[BrandenburgGate_00000131.jpg],5[BrandenburgGate_00000466.jpg],5[BrandenburgGate_00000309.jpg],5[BrandenburgGate_00000495.jpg],5[BrandenburgGate_00000204.jpg],5[BrandenburgGate_00000314.jpg],5[BrandenburgGate_00000141.jpg],5[BrandenburgGate_00000177.jpg],5[BrandenburgGate_00000359.jpg],5[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],5[BrandenburgGate_00000250.jpg],5[BrandenburgGate_00000169.jpg],5[BrandenburgGate_00000408.jpg],5[BrandenburgGate_00000337.jpg],5[BrandenburgGate_00000353.jpg],5[BrandenburgGate_00000161.jpg],5[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3EJPLAJKEN6RQXWYLL93YSH48HQZ6I,ATN6E1ON4LFAI,Approved,"Sun Sep 25 02:51:53 PDT 2016","Sun Sep 25 02:53:53 PDT 2016",5[BrandenburgGate_00000051.jpg],4[BrandenburgGate_00000046.jpg],4[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],4[BrandenburgGate_00000132.jpg],3[BrandenburgGate_00000221.jpg],1[BrandenburgGate_00000255.jpg],3[BrandenburgGate_00000197.jpg],2[BrandenburgGate_00000298.jpg],2[BrandenburgGate_00000355.jpg],3[BrandenburgGate_00000230.jpg],3[BrandenburgGate_00000149.jpg],4[BrandenburgGate_00000131.jpg],4[BrandenburgGate_00000466.jpg],3[BrandenburgGate_00000309.jpg],3[BrandenburgGate_00000495.jpg],5[BrandenburgGate_00000204.jpg],3[BrandenburgGate_00000314.jpg],3[BrandenburgGate_00000141.jpg],3[BrandenburgGate_00000177.jpg],2[BrandenburgGate_00000359.jpg],3[BrandenburgGate_00000138.jpg],3[BrandenburgGate_00000002.jpg],4[BrandenburgGate_00000250.jpg],2[BrandenburgGate_00000169.jpg],4[BrandenburgGate_00000408.jpg],1[BrandenburgGate_00000337.jpg],4[BrandenburgGate_00000353.jpg],3[BrandenburgGate_00000161.jpg],2[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3T3IWE1XG7DOE36JU2YJI9XENMHQTR,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:02:52 PDT 2016","Sun Sep 25 03:04:41 PDT 2016",5[BrandenburgGate_00000051.jpg],4[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],2[BrandenburgGate_00000132.jpg],5[BrandenburgGate_00000221.jpg],4[BrandenburgGate_00000255.jpg],4[BrandenburgGate_00000197.jpg],3[BrandenburgGate_00000298.jpg],3[BrandenburgGate_00000355.jpg],3[BrandenburgGate_00000230.jpg],3[BrandenburgGate_00000149.jpg],2[BrandenburgGate_00000131.jpg],5[BrandenburgGate_00000466.jpg],5[BrandenburgGate_00000309.jpg],5[BrandenburgGate_00000495.jpg],4[BrandenburgGate_00000204.jpg],5[BrandenburgGate_00000314.jpg],4[BrandenburgGate_00000141.jpg],3[BrandenburgGate_00000177.jpg],2[BrandenburgGate_00000359.jpg],5[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],3[BrandenburgGate_00000250.jpg],2[BrandenburgGate_00000169.jpg],3[BrandenburgGate_00000408.jpg],2[BrandenburgGate_00000337.jpg],5[BrandenburgGate_00000353.jpg],3[BrandenburgGate_00000161.jpg],3[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",32VNZTT0A8U49J6TSGMBFRVR3934RB,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:28:11 PDT 2016","Sun Sep 25 03:28:36 PDT 2016",5[BrandenburgGate_00000051.jpg],5[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],5[BrandenburgGate_00000132.jpg],5[BrandenburgGate_00000221.jpg],5[BrandenburgGate_00000255.jpg],5[BrandenburgGate_00000197.jpg],5[BrandenburgGate_00000298.jpg],5[BrandenburgGate_00000355.jpg],5[BrandenburgGate_00000230.jpg],5[BrandenburgGate_00000149.jpg],5[BrandenburgGate_00000131.jpg],5[BrandenburgGate_00000466.jpg],5[BrandenburgGate_00000309.jpg],5[BrandenburgGate_00000495.jpg],5[BrandenburgGate_00000204.jpg],5[BrandenburgGate_00000314.jpg],5[BrandenburgGate_00000141.jpg],5[BrandenburgGate_00000177.jpg],5[BrandenburgGate_00000359.jpg],5[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],5[BrandenburgGate_00000250.jpg],5[BrandenburgGate_00000169.jpg],5[BrandenburgGate_00000408.jpg],5[BrandenburgGate_00000337.jpg],5[BrandenburgGate_00000353.jpg],5[BrandenburgGate_00000161.jpg],5[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3HYA4D452S9X3FMXX73T5NKAG7W2FI,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:27:14 PDT 2016","Sun Sep 25 03:29:17 PDT 2016",4[BrandenburgGate_00000051.jpg],4[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],5[BrandenburgGate_00000020.jpg],5[BrandenburgGate_00000132.jpg],5[BrandenburgGate_00000221.jpg],4[BrandenburgGate_00000255.jpg],4[BrandenburgGate_00000197.jpg],1[BrandenburgGate_00000298.jpg],4[BrandenburgGate_00000355.jpg],4[BrandenburgGate_00000230.jpg],4[BrandenburgGate_00000149.jpg],4[BrandenburgGate_00000131.jpg],4[BrandenburgGate_00000466.jpg],4[BrandenburgGate_00000309.jpg],1[BrandenburgGate_00000495.jpg],5[BrandenburgGate_00000204.jpg],1[BrandenburgGate_00000314.jpg],1[BrandenburgGate_00000141.jpg],5[BrandenburgGate_00000177.jpg],5[BrandenburgGate_00000359.jpg],5[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],5[BrandenburgGate_00000250.jpg],5[BrandenburgGate_00000169.jpg],5[BrandenburgGate_00000408.jpg],5[BrandenburgGate_00000337.jpg],4[BrandenburgGate_00000353.jpg],5[BrandenburgGate_00000161.jpg],1[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3GFK2QRXXA7RDYRF5FFR7I9MVKD5WK,A22JTMBADARX55,Approved,"Sun Sep 25 03:40:33 PDT 2016","Sun Sep 25 03:47:31 PDT 2016",5[BrandenburgGate_00000051.jpg],4[BrandenburgGate_00000046.jpg],4[BrandenburgGate_00000015.jpg],4[BrandenburgGate_00000020.jpg],2[BrandenburgGate_00000132.jpg],4[BrandenburgGate_00000221.jpg],4[BrandenburgGate_00000255.jpg],4[BrandenburgGate_00000197.jpg],4[BrandenburgGate_00000298.jpg],2[BrandenburgGate_00000355.jpg],4[BrandenburgGate_00000230.jpg],4[BrandenburgGate_00000149.jpg],4[BrandenburgGate_00000131.jpg],4[BrandenburgGate_00000466.jpg],3[BrandenburgGate_00000309.jpg],3[BrandenburgGate_00000495.jpg],2[BrandenburgGate_00000204.jpg],3[BrandenburgGate_00000314.jpg],3[BrandenburgGate_00000141.jpg],4[BrandenburgGate_00000177.jpg],2[BrandenburgGate_00000359.jpg],4[BrandenburgGate_00000138.jpg],3[BrandenburgGate_00000002.jpg],4[BrandenburgGate_00000250.jpg],4[BrandenburgGate_00000169.jpg],2[BrandenburgGate_00000408.jpg],3[BrandenburgGate_00000337.jpg],3[BrandenburgGate_00000353.jpg],3[BrandenburgGate_00000161.jpg],1[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3L4D84MIL0IHN7BBZIXL7PI4YXWJHL,A1H7TJDH948CY7,Approved,"Sun Sep 25 04:45:51 PDT 2016","Sun Sep 25 04:51:43 PDT 2016",4[BrandenburgGate_00000051.jpg],1[BrandenburgGate_00000046.jpg],5[BrandenburgGate_00000015.jpg],4[BrandenburgGate_00000020.jpg],1[BrandenburgGate_00000132.jpg],5[BrandenburgGate_00000221.jpg],1[BrandenburgGate_00000255.jpg],1[BrandenburgGate_00000197.jpg],1[BrandenburgGate_00000298.jpg],2[BrandenburgGate_00000355.jpg],3[BrandenburgGate_00000230.jpg],1[BrandenburgGate_00000149.jpg],2[BrandenburgGate_00000131.jpg],3[BrandenburgGate_00000466.jpg],1[BrandenburgGate_00000309.jpg],4[BrandenburgGate_00000495.jpg],4[BrandenburgGate_00000204.jpg],4[BrandenburgGate_00000314.jpg],4[BrandenburgGate_00000141.jpg],1[BrandenburgGate_00000177.jpg],5[BrandenburgGate_00000359.jpg],3[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],4[BrandenburgGate_00000250.jpg],1[BrandenburgGate_00000169.jpg],4[BrandenburgGate_00000408.jpg],1[BrandenburgGate_00000337.jpg],5[BrandenburgGate_00000353.jpg],2[BrandenburgGate_00000161.jpg],5[BrandenburgGate_00000351.jpg],
3PUOXASB57TCMW03TP7ETIDLWXV9ZJ,"BrandenburgGate_210-239","sample#command",3Y9N9SS8LZ1PQD4KA1M80XMHA8JD3W,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:52:02 PDT 2016","Sun Sep 25 05:57:12 PDT 2016",4[BrandenburgGate_00000051.jpg],3[BrandenburgGate_00000046.jpg],3[BrandenburgGate_00000015.jpg],3[BrandenburgGate_00000020.jpg],3[BrandenburgGate_00000132.jpg],4[BrandenburgGate_00000221.jpg],3[BrandenburgGate_00000255.jpg],4[BrandenburgGate_00000197.jpg],4[BrandenburgGate_00000298.jpg],4[BrandenburgGate_00000355.jpg],4[BrandenburgGate_00000230.jpg],4[BrandenburgGate_00000149.jpg],4[BrandenburgGate_00000131.jpg],4[BrandenburgGate_00000466.jpg],4[BrandenburgGate_00000309.jpg],4[BrandenburgGate_00000495.jpg],4[BrandenburgGate_00000204.jpg],2[BrandenburgGate_00000314.jpg],3[BrandenburgGate_00000141.jpg],3[BrandenburgGate_00000177.jpg],4[BrandenburgGate_00000359.jpg],4[BrandenburgGate_00000138.jpg],5[BrandenburgGate_00000002.jpg],4[BrandenburgGate_00000250.jpg],4[BrandenburgGate_00000169.jpg],2[BrandenburgGate_00000408.jpg],3[BrandenburgGate_00000337.jpg],4[BrandenburgGate_00000353.jpg],4[BrandenburgGate_00000161.jpg],4[BrandenburgGate_00000351.jpg],
