HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3LS2AMNW5GG81B1BYLCKOZRROEVOQY,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:09:26 PDT 2016","Sun Sep 25 01:16:40 PDT 2016",2[BrandenburgGate_00000103.jpg],1[BrandenburgGate_00000262.jpg],2[BrandenburgGate_00000342.jpg],2[BrandenburgGate_00000217.jpg],3[BrandenburgGate_00000133.jpg],4[BrandenburgGate_00000164.jpg],4[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],3[BrandenburgGate_00000195.jpg],4[BrandenburgGate_00000033.jpg],1[BrandenburgGate_00000514.jpg],1[BrandenburgGate_00000274.jpg],3[BrandenburgGate_00000023.jpg],2[BrandenburgGate_00000267.jpg],1[BrandenburgGate_00000284.jpg],2[BrandenburgGate_00000220.jpg],3[BrandenburgGate_00000130.jpg],4[BrandenburgGate_00000094.jpg],4[BrandenburgGate_00000194.jpg],4[BrandenburgGate_00000086.jpg],4[BrandenburgGate_00000399.jpg],4[BrandenburgGate_00000247.jpg],3[BrandenburgGate_00000075.jpg],4[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],2[BrandenburgGate_00000505.jpg],1[BrandenburgGate_00000497.jpg],2[BrandenburgGate_00000151.jpg],2[BrandenburgGate_00000134.jpg],1[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3OVR4I9USQ94XIRTF1XBA1LM7NXQ4S,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:59:38 PDT 2016","Sun Sep 25 02:11:36 PDT 2016",5[BrandenburgGate_00000103.jpg],5[BrandenburgGate_00000262.jpg],5[BrandenburgGate_00000342.jpg],5[BrandenburgGate_00000217.jpg],5[BrandenburgGate_00000133.jpg],5[BrandenburgGate_00000164.jpg],5[BrandenburgGate_00000196.jpg],5[BrandenburgGate_00000184.jpg],5[BrandenburgGate_00000195.jpg],5[BrandenburgGate_00000033.jpg],5[BrandenburgGate_00000514.jpg],5[BrandenburgGate_00000274.jpg],5[BrandenburgGate_00000023.jpg],5[BrandenburgGate_00000267.jpg],5[BrandenburgGate_00000284.jpg],5[BrandenburgGate_00000220.jpg],5[BrandenburgGate_00000130.jpg],5[BrandenburgGate_00000094.jpg],5[BrandenburgGate_00000194.jpg],5[BrandenburgGate_00000086.jpg],5[BrandenburgGate_00000399.jpg],5[BrandenburgGate_00000247.jpg],5[BrandenburgGate_00000075.jpg],5[BrandenburgGate_00000481.jpg],5[BrandenburgGate_00000162.jpg],5[BrandenburgGate_00000505.jpg],5[BrandenburgGate_00000497.jpg],5[BrandenburgGate_00000151.jpg],5[BrandenburgGate_00000134.jpg],5[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",31JLPPHS2VKGUAV90A0OBRYGEMMO30,A7IEGSS64IALQ,Approved,"Sun Sep 25 03:02:04 PDT 2016","Sun Sep 25 03:06:29 PDT 2016",4[BrandenburgGate_00000103.jpg],4[BrandenburgGate_00000262.jpg],4[BrandenburgGate_00000342.jpg],4[BrandenburgGate_00000217.jpg],2[BrandenburgGate_00000133.jpg],4[BrandenburgGate_00000164.jpg],3[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],4[BrandenburgGate_00000195.jpg],2[BrandenburgGate_00000033.jpg],3[BrandenburgGate_00000514.jpg],3[BrandenburgGate_00000274.jpg],4[BrandenburgGate_00000023.jpg],4[BrandenburgGate_00000267.jpg],3[BrandenburgGate_00000284.jpg],4[BrandenburgGate_00000220.jpg],4[BrandenburgGate_00000130.jpg],4[BrandenburgGate_00000094.jpg],3[BrandenburgGate_00000194.jpg],3[BrandenburgGate_00000086.jpg],4[BrandenburgGate_00000399.jpg],4[BrandenburgGate_00000247.jpg],4[BrandenburgGate_00000075.jpg],4[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],2[BrandenburgGate_00000505.jpg],3[BrandenburgGate_00000497.jpg],4[BrandenburgGate_00000151.jpg],3[BrandenburgGate_00000134.jpg],3[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",38JBBYETQP0F0F1O6A2BGKW8OKCE47,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:05:20 PDT 2016","Sun Sep 25 03:07:07 PDT 2016",5[BrandenburgGate_00000103.jpg],5[BrandenburgGate_00000262.jpg],3[BrandenburgGate_00000342.jpg],2[BrandenburgGate_00000217.jpg],3[BrandenburgGate_00000133.jpg],5[BrandenburgGate_00000164.jpg],4[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],3[BrandenburgGate_00000195.jpg],1[BrandenburgGate_00000033.jpg],3[BrandenburgGate_00000514.jpg],3[BrandenburgGate_00000274.jpg],5[BrandenburgGate_00000023.jpg],4[BrandenburgGate_00000267.jpg],3[BrandenburgGate_00000284.jpg],3[BrandenburgGate_00000220.jpg],3[BrandenburgGate_00000130.jpg],5[BrandenburgGate_00000094.jpg],4[BrandenburgGate_00000194.jpg],4[BrandenburgGate_00000086.jpg],5[BrandenburgGate_00000399.jpg],3[BrandenburgGate_00000247.jpg],5[BrandenburgGate_00000075.jpg],3[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],2[BrandenburgGate_00000505.jpg],1[BrandenburgGate_00000497.jpg],3[BrandenburgGate_00000151.jpg],3[BrandenburgGate_00000134.jpg],2[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3LBXNTKX0SLP3LYHIAOULHSVQI29X8,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:28:46 PDT 2016","Sun Sep 25 03:29:07 PDT 2016",5[BrandenburgGate_00000103.jpg],5[BrandenburgGate_00000262.jpg],5[BrandenburgGate_00000342.jpg],5[BrandenburgGate_00000217.jpg],5[BrandenburgGate_00000133.jpg],5[BrandenburgGate_00000164.jpg],5[BrandenburgGate_00000196.jpg],5[BrandenburgGate_00000184.jpg],5[BrandenburgGate_00000195.jpg],5[BrandenburgGate_00000033.jpg],5[BrandenburgGate_00000514.jpg],5[BrandenburgGate_00000274.jpg],5[BrandenburgGate_00000023.jpg],5[BrandenburgGate_00000267.jpg],5[BrandenburgGate_00000284.jpg],5[BrandenburgGate_00000220.jpg],5[BrandenburgGate_00000130.jpg],5[BrandenburgGate_00000094.jpg],5[BrandenburgGate_00000194.jpg],5[BrandenburgGate_00000086.jpg],5[BrandenburgGate_00000399.jpg],5[BrandenburgGate_00000247.jpg],5[BrandenburgGate_00000075.jpg],5[BrandenburgGate_00000481.jpg],5[BrandenburgGate_00000162.jpg],5[BrandenburgGate_00000505.jpg],5[BrandenburgGate_00000497.jpg],5[BrandenburgGate_00000151.jpg],5[BrandenburgGate_00000134.jpg],5[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3V26SBZTBE4TE7G9NQ6EVQAZDLOZZA,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:27:46 PDT 2016","Sun Sep 25 03:30:49 PDT 2016",2[BrandenburgGate_00000103.jpg],4[BrandenburgGate_00000262.jpg],4[BrandenburgGate_00000342.jpg],4[BrandenburgGate_00000217.jpg],4[BrandenburgGate_00000133.jpg],4[BrandenburgGate_00000164.jpg],5[BrandenburgGate_00000196.jpg],5[BrandenburgGate_00000184.jpg],4[BrandenburgGate_00000195.jpg],5[BrandenburgGate_00000033.jpg],4[BrandenburgGate_00000514.jpg],3[BrandenburgGate_00000274.jpg],3[BrandenburgGate_00000023.jpg],4[BrandenburgGate_00000267.jpg],5[BrandenburgGate_00000284.jpg],4[BrandenburgGate_00000220.jpg],4[BrandenburgGate_00000130.jpg],4[BrandenburgGate_00000094.jpg],4[BrandenburgGate_00000194.jpg],5[BrandenburgGate_00000086.jpg],4[BrandenburgGate_00000399.jpg],1[BrandenburgGate_00000247.jpg],4[BrandenburgGate_00000075.jpg],1[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],4[BrandenburgGate_00000505.jpg],4[BrandenburgGate_00000497.jpg],3[BrandenburgGate_00000151.jpg],4[BrandenburgGate_00000134.jpg],4[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3RSDURM96BCVYMF8VHQIW90FJLBYEC,A22JTMBADARX55,Approved,"Sun Sep 25 03:40:30 PDT 2016","Sun Sep 25 03:45:15 PDT 2016",4[BrandenburgGate_00000103.jpg],4[BrandenburgGate_00000262.jpg],4[BrandenburgGate_00000342.jpg],5[BrandenburgGate_00000217.jpg],4[BrandenburgGate_00000133.jpg],3[BrandenburgGate_00000164.jpg],3[BrandenburgGate_00000196.jpg],3[BrandenburgGate_00000184.jpg],3[BrandenburgGate_00000195.jpg],4[BrandenburgGate_00000033.jpg],3[BrandenburgGate_00000514.jpg],3[BrandenburgGate_00000274.jpg],3[BrandenburgGate_00000023.jpg],4[BrandenburgGate_00000267.jpg],2[BrandenburgGate_00000284.jpg],3[BrandenburgGate_00000220.jpg],3[BrandenburgGate_00000130.jpg],3[BrandenburgGate_00000094.jpg],3[BrandenburgGate_00000194.jpg],3[BrandenburgGate_00000086.jpg],3[BrandenburgGate_00000399.jpg],3[BrandenburgGate_00000247.jpg],4[BrandenburgGate_00000075.jpg],4[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],3[BrandenburgGate_00000505.jpg],3[BrandenburgGate_00000497.jpg],3[BrandenburgGate_00000151.jpg],4[BrandenburgGate_00000134.jpg],4[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3ND9UOO81LS5FNU0X2VYO75JHADLWO,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:57:46 PDT 2016","Sun Sep 25 04:03:16 PDT 2016",3[BrandenburgGate_00000103.jpg],4[BrandenburgGate_00000262.jpg],5[BrandenburgGate_00000342.jpg],4[BrandenburgGate_00000217.jpg],3[BrandenburgGate_00000133.jpg],5[BrandenburgGate_00000164.jpg],4[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],4[BrandenburgGate_00000195.jpg],1[BrandenburgGate_00000033.jpg],1[BrandenburgGate_00000514.jpg],3[BrandenburgGate_00000274.jpg],3[BrandenburgGate_00000023.jpg],1[BrandenburgGate_00000267.jpg],2[BrandenburgGate_00000284.jpg],1[BrandenburgGate_00000220.jpg],2[BrandenburgGate_00000130.jpg],1[BrandenburgGate_00000094.jpg],2[BrandenburgGate_00000194.jpg],1[BrandenburgGate_00000086.jpg],1[BrandenburgGate_00000399.jpg],2[BrandenburgGate_00000247.jpg],5[BrandenburgGate_00000075.jpg],3[BrandenburgGate_00000481.jpg],4[BrandenburgGate_00000162.jpg],1[BrandenburgGate_00000505.jpg],2[BrandenburgGate_00000497.jpg],4[BrandenburgGate_00000151.jpg],4[BrandenburgGate_00000134.jpg],1[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",3AUQQEL7U6JF3259IZ4J4LUH732V0H,A1AIHFFPY8367R,Approved,"Sun Sep 25 05:41:57 PDT 2016","Sun Sep 25 05:44:38 PDT 2016",4[BrandenburgGate_00000103.jpg],3[BrandenburgGate_00000262.jpg],4[BrandenburgGate_00000342.jpg],3[BrandenburgGate_00000217.jpg],1[BrandenburgGate_00000133.jpg],4[BrandenburgGate_00000164.jpg],2[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],4[BrandenburgGate_00000195.jpg],2[BrandenburgGate_00000033.jpg],3[BrandenburgGate_00000514.jpg],1[BrandenburgGate_00000274.jpg],3[BrandenburgGate_00000023.jpg],2[BrandenburgGate_00000267.jpg],1[BrandenburgGate_00000284.jpg],3[BrandenburgGate_00000220.jpg],2[BrandenburgGate_00000130.jpg],4[BrandenburgGate_00000094.jpg],4[BrandenburgGate_00000194.jpg],4[BrandenburgGate_00000086.jpg],5[BrandenburgGate_00000399.jpg],4[BrandenburgGate_00000247.jpg],4[BrandenburgGate_00000075.jpg],5[BrandenburgGate_00000481.jpg],3[BrandenburgGate_00000162.jpg],3[BrandenburgGate_00000505.jpg],1[BrandenburgGate_00000497.jpg],4[BrandenburgGate_00000151.jpg],3[BrandenburgGate_00000134.jpg],1[BrandenburgGate_00000242.jpg],
3UUSLRKAULT55C7EMAKXOU3CDPX7D6,"BrandenburgGate_180-209","sample#command",32ZKVD547GDWBG60W5V257YH7N73BF,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:48:59 PDT 2016","Sun Sep 25 05:51:43 PDT 2016",4[BrandenburgGate_00000103.jpg],3[BrandenburgGate_00000262.jpg],3[BrandenburgGate_00000342.jpg],2[BrandenburgGate_00000217.jpg],3[BrandenburgGate_00000133.jpg],4[BrandenburgGate_00000164.jpg],4[BrandenburgGate_00000196.jpg],4[BrandenburgGate_00000184.jpg],4[BrandenburgGate_00000195.jpg],3[BrandenburgGate_00000033.jpg],2[BrandenburgGate_00000514.jpg],2[BrandenburgGate_00000274.jpg],2[BrandenburgGate_00000023.jpg],3[BrandenburgGate_00000267.jpg],3[BrandenburgGate_00000284.jpg],3[BrandenburgGate_00000220.jpg],3[BrandenburgGate_00000130.jpg],4[BrandenburgGate_00000094.jpg],3[BrandenburgGate_00000194.jpg],2[BrandenburgGate_00000086.jpg],3[BrandenburgGate_00000399.jpg],2[BrandenburgGate_00000247.jpg],4[BrandenburgGate_00000075.jpg],3[BrandenburgGate_00000481.jpg],3[BrandenburgGate_00000162.jpg],3[BrandenburgGate_00000505.jpg],4[BrandenburgGate_00000497.jpg],4[BrandenburgGate_00000151.jpg],4[BrandenburgGate_00000134.jpg],4[BrandenburgGate_00000242.jpg],
