HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3WR9XG3T641UR0MEJ2O5AA4R2X4477,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:20:46 PDT 2016","Sun Sep 25 01:23:17 PDT 2016",3[BrandenburgGate_00000272.jpg],3[BrandenburgGate_00000060.jpg],4[BrandenburgGate_00000354.jpg],4[BrandenburgGate_00000496.jpg],4[BrandenburgGate_00000268.jpg],3[BrandenburgGate_00000135.jpg],3[BrandenburgGate_00000058.jpg],4[BrandenburgGate_00000231.jpg],4[BrandenburgGate_00000462.jpg],3[BrandenburgGate_00000152.jpg],1[BrandenburgGate_00000056.jpg],2[BrandenburgGate_00000304.jpg],4[BrandenburgGate_00000055.jpg],4[BrandenburgGate_00000347.jpg],4[BrandenburgGate_00000061.jpg],3[BrandenburgGate_00000136.jpg],3[BrandenburgGate_00000459.jpg],1[BrandenburgGate_00000210.jpg],2[BrandenburgGate_00000057.jpg],1[BrandenburgGate_00000452.jpg],1[BrandenburgGate_00000382.jpg],3[BrandenburgGate_00000148.jpg],4[BrandenburgGate_00000315.jpg],4[BrandenburgGate_00000436.jpg],4[BrandenburgGate_00000286.jpg],4[BrandenburgGate_00000335.jpg],3[BrandenburgGate_00000256.jpg],2[BrandenburgGate_00000428.jpg],2[BrandenburgGate_00000419.jpg],4[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3NKQQ8O39ZV9P7H3PLI9N6CHNLVDUW,A2K88MLVIBCQC,Approved,"Sun Sep 25 01:35:44 PDT 2016","Sun Sep 25 01:39:05 PDT 2016",2[BrandenburgGate_00000272.jpg],3[BrandenburgGate_00000060.jpg],4[BrandenburgGate_00000354.jpg],4[BrandenburgGate_00000496.jpg],3[BrandenburgGate_00000268.jpg],2[BrandenburgGate_00000135.jpg],1[BrandenburgGate_00000058.jpg],1[BrandenburgGate_00000231.jpg],1[BrandenburgGate_00000462.jpg],1[BrandenburgGate_00000152.jpg],1[BrandenburgGate_00000056.jpg],1[BrandenburgGate_00000304.jpg],1[BrandenburgGate_00000055.jpg],2[BrandenburgGate_00000347.jpg],2[BrandenburgGate_00000061.jpg],1[BrandenburgGate_00000136.jpg],1[BrandenburgGate_00000459.jpg],2[BrandenburgGate_00000210.jpg],3[BrandenburgGate_00000057.jpg],2[BrandenburgGate_00000452.jpg],1[BrandenburgGate_00000382.jpg],1[BrandenburgGate_00000148.jpg],2[BrandenburgGate_00000315.jpg],1[BrandenburgGate_00000436.jpg],2[BrandenburgGate_00000286.jpg],2[BrandenburgGate_00000335.jpg],2[BrandenburgGate_00000256.jpg],2[BrandenburgGate_00000428.jpg],2[BrandenburgGate_00000419.jpg],3[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",34T446B1C14J4TZ9RI9EET6SMWGC0T,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:00:31 PDT 2016","Sun Sep 25 02:14:46 PDT 2016",5[BrandenburgGate_00000272.jpg],5[BrandenburgGate_00000060.jpg],5[BrandenburgGate_00000354.jpg],5[BrandenburgGate_00000496.jpg],5[BrandenburgGate_00000268.jpg],5[BrandenburgGate_00000135.jpg],5[BrandenburgGate_00000058.jpg],5[BrandenburgGate_00000231.jpg],5[BrandenburgGate_00000462.jpg],5[BrandenburgGate_00000152.jpg],5[BrandenburgGate_00000056.jpg],5[BrandenburgGate_00000304.jpg],5[BrandenburgGate_00000055.jpg],5[BrandenburgGate_00000347.jpg],5[BrandenburgGate_00000061.jpg],5[BrandenburgGate_00000136.jpg],5[BrandenburgGate_00000459.jpg],5[BrandenburgGate_00000210.jpg],5[BrandenburgGate_00000057.jpg],5[BrandenburgGate_00000452.jpg],5[BrandenburgGate_00000382.jpg],5[BrandenburgGate_00000148.jpg],5[BrandenburgGate_00000315.jpg],5[BrandenburgGate_00000436.jpg],5[BrandenburgGate_00000286.jpg],5[BrandenburgGate_00000335.jpg],5[BrandenburgGate_00000256.jpg],5[BrandenburgGate_00000428.jpg],5[BrandenburgGate_00000419.jpg],5[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3L2IS5HSFB8IBJ8GEFWCJBOB1P0UNY,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:55:16 PDT 2016","Sun Sep 25 02:56:52 PDT 2016",5[BrandenburgGate_00000272.jpg],5[BrandenburgGate_00000060.jpg],5[BrandenburgGate_00000354.jpg],5[BrandenburgGate_00000496.jpg],5[BrandenburgGate_00000268.jpg],5[BrandenburgGate_00000135.jpg],5[BrandenburgGate_00000058.jpg],5[BrandenburgGate_00000231.jpg],4[BrandenburgGate_00000462.jpg],4[BrandenburgGate_00000152.jpg],4[BrandenburgGate_00000056.jpg],4[BrandenburgGate_00000304.jpg],5[BrandenburgGate_00000055.jpg],5[BrandenburgGate_00000347.jpg],5[BrandenburgGate_00000061.jpg],5[BrandenburgGate_00000136.jpg],4[BrandenburgGate_00000459.jpg],4[BrandenburgGate_00000210.jpg],4[BrandenburgGate_00000057.jpg],5[BrandenburgGate_00000452.jpg],4[BrandenburgGate_00000382.jpg],5[BrandenburgGate_00000148.jpg],5[BrandenburgGate_00000315.jpg],5[BrandenburgGate_00000436.jpg],4[BrandenburgGate_00000286.jpg],4[BrandenburgGate_00000335.jpg],5[BrandenburgGate_00000256.jpg],5[BrandenburgGate_00000428.jpg],5[BrandenburgGate_00000419.jpg],5[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3TEM0PF1Q6NT9L5NRE4PYZOA7WVD0X,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 02:57:42 PDT 2016","Sun Sep 25 03:00:18 PDT 2016",3[BrandenburgGate_00000272.jpg],2[BrandenburgGate_00000060.jpg],3[BrandenburgGate_00000354.jpg],3[BrandenburgGate_00000496.jpg],2[BrandenburgGate_00000268.jpg],2[BrandenburgGate_00000135.jpg],2[BrandenburgGate_00000058.jpg],2[BrandenburgGate_00000231.jpg],2[BrandenburgGate_00000462.jpg],3[BrandenburgGate_00000152.jpg],2[BrandenburgGate_00000056.jpg],3[BrandenburgGate_00000304.jpg],4[BrandenburgGate_00000055.jpg],4[BrandenburgGate_00000347.jpg],3[BrandenburgGate_00000061.jpg],4[BrandenburgGate_00000136.jpg],3[BrandenburgGate_00000459.jpg],2[BrandenburgGate_00000210.jpg],2[BrandenburgGate_00000057.jpg],3[BrandenburgGate_00000452.jpg],5[BrandenburgGate_00000382.jpg],3[BrandenburgGate_00000148.jpg],2[BrandenburgGate_00000315.jpg],1[BrandenburgGate_00000436.jpg],2[BrandenburgGate_00000286.jpg],1[BrandenburgGate_00000335.jpg],2[BrandenburgGate_00000256.jpg],3[BrandenburgGate_00000428.jpg],2[BrandenburgGate_00000419.jpg],4[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3GS6S824SRNV3NXL9FBD1Z98M5CNWR,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:00:17 PDT 2016","Sun Sep 25 03:01:57 PDT 2016",3[BrandenburgGate_00000272.jpg],5[BrandenburgGate_00000060.jpg],5[BrandenburgGate_00000354.jpg],5[BrandenburgGate_00000496.jpg],5[BrandenburgGate_00000268.jpg],3[BrandenburgGate_00000135.jpg],5[BrandenburgGate_00000058.jpg],2[BrandenburgGate_00000231.jpg],1[BrandenburgGate_00000462.jpg],2[BrandenburgGate_00000152.jpg],5[BrandenburgGate_00000056.jpg],3[BrandenburgGate_00000304.jpg],5[BrandenburgGate_00000055.jpg],4[BrandenburgGate_00000347.jpg],5[BrandenburgGate_00000061.jpg],3[BrandenburgGate_00000136.jpg],3[BrandenburgGate_00000459.jpg],2[BrandenburgGate_00000210.jpg],5[BrandenburgGate_00000057.jpg],2[BrandenburgGate_00000452.jpg],2[BrandenburgGate_00000382.jpg],4[BrandenburgGate_00000148.jpg],4[BrandenburgGate_00000315.jpg],1[BrandenburgGate_00000436.jpg],3[BrandenburgGate_00000286.jpg],4[BrandenburgGate_00000335.jpg],1[BrandenburgGate_00000256.jpg],2[BrandenburgGate_00000428.jpg],2[BrandenburgGate_00000419.jpg],3[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3WYP994K18HRL7MTPZ7KKL822NO6Y0,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:27:07 PDT 2016","Sun Sep 25 03:27:29 PDT 2016",1[BrandenburgGate_00000272.jpg],2[BrandenburgGate_00000060.jpg],2[BrandenburgGate_00000354.jpg],2[BrandenburgGate_00000496.jpg],2[BrandenburgGate_00000268.jpg],2[BrandenburgGate_00000135.jpg],2[BrandenburgGate_00000058.jpg],2[BrandenburgGate_00000231.jpg],2[BrandenburgGate_00000462.jpg],2[BrandenburgGate_00000152.jpg],2[BrandenburgGate_00000056.jpg],2[BrandenburgGate_00000304.jpg],2[BrandenburgGate_00000055.jpg],2[BrandenburgGate_00000347.jpg],2[BrandenburgGate_00000061.jpg],2[BrandenburgGate_00000136.jpg],2[BrandenburgGate_00000459.jpg],2[BrandenburgGate_00000210.jpg],2[BrandenburgGate_00000057.jpg],2[BrandenburgGate_00000452.jpg],2[BrandenburgGate_00000382.jpg],2[BrandenburgGate_00000148.jpg],3[BrandenburgGate_00000315.jpg],2[BrandenburgGate_00000436.jpg],2[BrandenburgGate_00000286.jpg],2[BrandenburgGate_00000335.jpg],2[BrandenburgGate_00000256.jpg],2[BrandenburgGate_00000428.jpg],2[BrandenburgGate_00000419.jpg],2[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3S3AMIZX3VVD3D033UX9T0QBGLTDCR,A22JTMBADARX55,Approved,"Sun Sep 25 03:40:38 PDT 2016","Sun Sep 25 03:51:41 PDT 2016",4[BrandenburgGate_00000272.jpg],4[BrandenburgGate_00000060.jpg],4[BrandenburgGate_00000354.jpg],3[BrandenburgGate_00000496.jpg],3[BrandenburgGate_00000268.jpg],4[BrandenburgGate_00000135.jpg],2[BrandenburgGate_00000058.jpg],3[BrandenburgGate_00000231.jpg],2[BrandenburgGate_00000462.jpg],2[BrandenburgGate_00000152.jpg],2[BrandenburgGate_00000056.jpg],2[BrandenburgGate_00000304.jpg],2[BrandenburgGate_00000055.jpg],3[BrandenburgGate_00000347.jpg],3[BrandenburgGate_00000061.jpg],3[BrandenburgGate_00000136.jpg],3[BrandenburgGate_00000459.jpg],3[BrandenburgGate_00000210.jpg],3[BrandenburgGate_00000057.jpg],4[BrandenburgGate_00000452.jpg],4[BrandenburgGate_00000382.jpg],4[BrandenburgGate_00000148.jpg],4[BrandenburgGate_00000315.jpg],4[BrandenburgGate_00000436.jpg],1[BrandenburgGate_00000286.jpg],3[BrandenburgGate_00000335.jpg],4[BrandenburgGate_00000256.jpg],3[BrandenburgGate_00000428.jpg],3[BrandenburgGate_00000419.jpg],3[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",3WJEQKOXA9SVI3NT3NHNM3ZERL71AP,A2T01LQBGRSCDF,Approved,"Sun Sep 25 05:12:50 PDT 2016","Sun Sep 25 05:15:45 PDT 2016",4[BrandenburgGate_00000272.jpg],4[BrandenburgGate_00000060.jpg],2[BrandenburgGate_00000354.jpg],2[BrandenburgGate_00000496.jpg],3[BrandenburgGate_00000268.jpg],1[BrandenburgGate_00000135.jpg],3[BrandenburgGate_00000058.jpg],2[BrandenburgGate_00000231.jpg],4[BrandenburgGate_00000462.jpg],3[BrandenburgGate_00000152.jpg],1[BrandenburgGate_00000056.jpg],3[BrandenburgGate_00000304.jpg],4[BrandenburgGate_00000055.jpg],2[BrandenburgGate_00000347.jpg],3[BrandenburgGate_00000061.jpg],2[BrandenburgGate_00000136.jpg],1[BrandenburgGate_00000459.jpg],1[BrandenburgGate_00000210.jpg],3[BrandenburgGate_00000057.jpg],1[BrandenburgGate_00000452.jpg],3[BrandenburgGate_00000382.jpg],2[BrandenburgGate_00000148.jpg],3[BrandenburgGate_00000315.jpg],1[BrandenburgGate_00000436.jpg],1[BrandenburgGate_00000286.jpg],5[BrandenburgGate_00000335.jpg],1[BrandenburgGate_00000256.jpg],3[BrandenburgGate_00000428.jpg],3[BrandenburgGate_00000419.jpg],3[BrandenburgGate_00000173.jpg],
3VMHWJRYHV6WIBR1VTJL6TJLRVRXF1,"BrandenburgGate_0-29","sample#command",37Z929RLGAY0RJLWM6NOD9CF5A5TSM,A1NV6KSQXA38MT,Approved,"Sun Sep 25 05:27:02 PDT 2016","Sun Sep 25 05:28:57 PDT 2016",2[BrandenburgGate_00000272.jpg],2[BrandenburgGate_00000060.jpg],3[BrandenburgGate_00000354.jpg],3[BrandenburgGate_00000496.jpg],4[BrandenburgGate_00000268.jpg],4[BrandenburgGate_00000135.jpg],1[BrandenburgGate_00000058.jpg],1[BrandenburgGate_00000231.jpg],4[BrandenburgGate_00000462.jpg],2[BrandenburgGate_00000152.jpg],2[BrandenburgGate_00000056.jpg],4[BrandenburgGate_00000304.jpg],5[BrandenburgGate_00000055.jpg],5[BrandenburgGate_00000347.jpg],5[BrandenburgGate_00000061.jpg],5[BrandenburgGate_00000136.jpg],2[BrandenburgGate_00000459.jpg],2[BrandenburgGate_00000210.jpg],2[BrandenburgGate_00000057.jpg],4[BrandenburgGate_00000452.jpg],4[BrandenburgGate_00000382.jpg],3[BrandenburgGate_00000148.jpg],4[BrandenburgGate_00000315.jpg],5[BrandenburgGate_00000436.jpg],4[BrandenburgGate_00000286.jpg],5[BrandenburgGate_00000335.jpg],3[BrandenburgGate_00000256.jpg],5[BrandenburgGate_00000428.jpg],5[BrandenburgGate_00000419.jpg],5[BrandenburgGate_00000173.jpg],
