HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3UN61F00HXFM52AT6L5LKJ1535SR5X,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 01:05:44 PDT 2016","Sun Sep 25 01:08:59 PDT 2016",2[BrandenburgGate_00000109.jpg],3[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],2[BrandenburgGate_00000312.jpg],4[BrandenburgGate_00000474.jpg],4[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],2[BrandenburgGate_00000473.jpg],3[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],2[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],4[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],4[BrandenburgGate_00000299.jpg],3[BrandenburgGate_00000155.jpg],4[BrandenburgGate_00000120.jpg],4[BrandenburgGate_00000036.jpg],3[BrandenburgGate_00000167.jpg],4[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],4[BrandenburgGate_00000182.jpg],4[BrandenburgGate_00000183.jpg],3[BrandenburgGate_00000240.jpg],5[BrandenburgGate_00000052.jpg],4[BrandenburgGate_00000281.jpg],5[BrandenburgGate_00000443.jpg],5[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3M81GAB8A19OIHC2UG7YIFRSHFEQBY,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:01:49 PDT 2016","Sun Sep 25 02:16:54 PDT 2016",5[BrandenburgGate_00000109.jpg],5[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],5[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],5[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],5[BrandenburgGate_00000473.jpg],5[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],5[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],5[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],5[BrandenburgGate_00000299.jpg],5[BrandenburgGate_00000155.jpg],5[BrandenburgGate_00000120.jpg],5[BrandenburgGate_00000036.jpg],5[BrandenburgGate_00000167.jpg],5[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],5[BrandenburgGate_00000182.jpg],5[BrandenburgGate_00000183.jpg],5[BrandenburgGate_00000240.jpg],5[BrandenburgGate_00000052.jpg],5[BrandenburgGate_00000281.jpg],5[BrandenburgGate_00000443.jpg],5[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3MRNMEIQW6W66HU9G7Q8WJGYAU5DL5,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:30:54 PDT 2016","Sun Sep 25 02:40:50 PDT 2016",4[BrandenburgGate_00000109.jpg],4[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],3[BrandenburgGate_00000312.jpg],4[BrandenburgGate_00000474.jpg],4[BrandenburgGate_00000293.jpg],4[BrandenburgGate_00000117.jpg],4[BrandenburgGate_00000008.jpg],4[BrandenburgGate_00000473.jpg],4[BrandenburgGate_00000145.jpg],4[BrandenburgGate_00000013.jpg],1[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],4[BrandenburgGate_00000011.jpg],4[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],4[BrandenburgGate_00000299.jpg],3[BrandenburgGate_00000155.jpg],5[BrandenburgGate_00000120.jpg],5[BrandenburgGate_00000036.jpg],3[BrandenburgGate_00000167.jpg],4[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],4[BrandenburgGate_00000182.jpg],3[BrandenburgGate_00000183.jpg],3[BrandenburgGate_00000240.jpg],4[BrandenburgGate_00000052.jpg],3[BrandenburgGate_00000281.jpg],3[BrandenburgGate_00000443.jpg],4[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3ZAK8W07I54FQNG9D9UE8ZSYTWQU0O,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:16:33 PDT 2016","Sun Sep 25 03:18:03 PDT 2016",4[BrandenburgGate_00000109.jpg],5[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],2[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],4[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],5[BrandenburgGate_00000473.jpg],4[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],3[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],4[BrandenburgGate_00000113.jpg],4[BrandenburgGate_00000175.jpg],2[BrandenburgGate_00000299.jpg],3[BrandenburgGate_00000155.jpg],4[BrandenburgGate_00000120.jpg],4[BrandenburgGate_00000036.jpg],3[BrandenburgGate_00000167.jpg],3[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],3[BrandenburgGate_00000182.jpg],2[BrandenburgGate_00000183.jpg],3[BrandenburgGate_00000240.jpg],4[BrandenburgGate_00000052.jpg],3[BrandenburgGate_00000281.jpg],2[BrandenburgGate_00000443.jpg],3[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3W8CV64QJ3PSHVY2D668IV412SIH9M,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:16:11 PDT 2016","Sun Sep 25 03:19:32 PDT 2016",4[BrandenburgGate_00000109.jpg],4[BrandenburgGate_00000392.jpg],4[BrandenburgGate_00000034.jpg],5[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],5[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],4[BrandenburgGate_00000473.jpg],4[BrandenburgGate_00000145.jpg],4[BrandenburgGate_00000013.jpg],4[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],4[BrandenburgGate_00000011.jpg],4[BrandenburgGate_00000113.jpg],3[BrandenburgGate_00000175.jpg],4[BrandenburgGate_00000299.jpg],4[BrandenburgGate_00000155.jpg],4[BrandenburgGate_00000120.jpg],4[BrandenburgGate_00000036.jpg],4[BrandenburgGate_00000167.jpg],4[BrandenburgGate_00000187.jpg],4[BrandenburgGate_00000040.jpg],4[BrandenburgGate_00000182.jpg],4[BrandenburgGate_00000183.jpg],4[BrandenburgGate_00000240.jpg],4[BrandenburgGate_00000052.jpg],4[BrandenburgGate_00000281.jpg],4[BrandenburgGate_00000443.jpg],4[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",34T446B1C14J4TZ9RI9EET6SMWK0CL,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:32:24 PDT 2016","Sun Sep 25 03:32:47 PDT 2016",4[BrandenburgGate_00000109.jpg],5[BrandenburgGate_00000392.jpg],4[BrandenburgGate_00000034.jpg],5[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],5[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],5[BrandenburgGate_00000473.jpg],5[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],5[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],5[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],5[BrandenburgGate_00000299.jpg],5[BrandenburgGate_00000155.jpg],5[BrandenburgGate_00000120.jpg],5[BrandenburgGate_00000036.jpg],5[BrandenburgGate_00000167.jpg],5[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],5[BrandenburgGate_00000182.jpg],5[BrandenburgGate_00000183.jpg],5[BrandenburgGate_00000240.jpg],5[BrandenburgGate_00000052.jpg],5[BrandenburgGate_00000281.jpg],5[BrandenburgGate_00000443.jpg],5[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3C6FJU71TRJCNICULH5N0RMI594UYO,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:49 PDT 2016","Sun Sep 25 03:33:10 PDT 2016",3[BrandenburgGate_00000109.jpg],3[BrandenburgGate_00000392.jpg],3[BrandenburgGate_00000034.jpg],4[BrandenburgGate_00000312.jpg],3[BrandenburgGate_00000474.jpg],3[BrandenburgGate_00000293.jpg],3[BrandenburgGate_00000117.jpg],2[BrandenburgGate_00000008.jpg],2[BrandenburgGate_00000473.jpg],5[BrandenburgGate_00000145.jpg],3[BrandenburgGate_00000013.jpg],4[BrandenburgGate_00000518.jpg],2[BrandenburgGate_00000016.jpg],4[BrandenburgGate_00000011.jpg],2[BrandenburgGate_00000113.jpg],3[BrandenburgGate_00000175.jpg],2[BrandenburgGate_00000299.jpg],3[BrandenburgGate_00000155.jpg],3[BrandenburgGate_00000120.jpg],3[BrandenburgGate_00000036.jpg],2[BrandenburgGate_00000167.jpg],2[BrandenburgGate_00000187.jpg],2[BrandenburgGate_00000040.jpg],2[BrandenburgGate_00000182.jpg],4[BrandenburgGate_00000183.jpg],2[BrandenburgGate_00000240.jpg],3[BrandenburgGate_00000052.jpg],3[BrandenburgGate_00000281.jpg],2[BrandenburgGate_00000443.jpg],3[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3I2PTA7R3UKPBKGW0TKRHIAI490QKV,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:57:05 PDT 2016","Sun Sep 25 07:59:05 PDT 2016",5[BrandenburgGate_00000109.jpg],5[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],5[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],3[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],5[BrandenburgGate_00000473.jpg],5[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],5[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],5[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],3[BrandenburgGate_00000299.jpg],5[BrandenburgGate_00000155.jpg],5[BrandenburgGate_00000120.jpg],5[BrandenburgGate_00000036.jpg],5[BrandenburgGate_00000167.jpg],3[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],3[BrandenburgGate_00000182.jpg],3[BrandenburgGate_00000183.jpg],4[BrandenburgGate_00000240.jpg],5[BrandenburgGate_00000052.jpg],5[BrandenburgGate_00000281.jpg],5[BrandenburgGate_00000443.jpg],5[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3K5TEWLKGW1QAXMPMPTPAPUDTXRVIK,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:12:35 PDT 2016","Sun Sep 25 08:13:48 PDT 2016",3[BrandenburgGate_00000109.jpg],3[BrandenburgGate_00000392.jpg],3[BrandenburgGate_00000034.jpg],3[BrandenburgGate_00000312.jpg],3[BrandenburgGate_00000474.jpg],1[BrandenburgGate_00000293.jpg],2[BrandenburgGate_00000117.jpg],3[BrandenburgGate_00000008.jpg],2[BrandenburgGate_00000473.jpg],1[BrandenburgGate_00000145.jpg],4[BrandenburgGate_00000013.jpg],1[BrandenburgGate_00000518.jpg],3[BrandenburgGate_00000016.jpg],1[BrandenburgGate_00000011.jpg],3[BrandenburgGate_00000113.jpg],4[BrandenburgGate_00000175.jpg],1[BrandenburgGate_00000299.jpg],1[BrandenburgGate_00000155.jpg],4[BrandenburgGate_00000120.jpg],3[BrandenburgGate_00000036.jpg],1[BrandenburgGate_00000167.jpg],1[BrandenburgGate_00000187.jpg],4[BrandenburgGate_00000040.jpg],1[BrandenburgGate_00000182.jpg],1[BrandenburgGate_00000183.jpg],1[BrandenburgGate_00000240.jpg],1[BrandenburgGate_00000052.jpg],2[BrandenburgGate_00000281.jpg],1[BrandenburgGate_00000443.jpg],3[BrandenburgGate_00000280.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0OCD4,"BrandenburgGate_120-149","sample#command",3TPWUS5F8ARCCJ0UKP2ZLOFWN1CCWC,ABSL3OICRY1SZ,Approved,"Sun Sep 25 08:48:22 PDT 2016","Sun Sep 25 08:50:52 PDT 2016",5[BrandenburgGate_00000109.jpg],5[BrandenburgGate_00000392.jpg],5[BrandenburgGate_00000034.jpg],5[BrandenburgGate_00000312.jpg],5[BrandenburgGate_00000474.jpg],5[BrandenburgGate_00000293.jpg],5[BrandenburgGate_00000117.jpg],5[BrandenburgGate_00000008.jpg],5[BrandenburgGate_00000473.jpg],5[BrandenburgGate_00000145.jpg],5[BrandenburgGate_00000013.jpg],5[BrandenburgGate_00000518.jpg],5[BrandenburgGate_00000016.jpg],5[BrandenburgGate_00000011.jpg],5[BrandenburgGate_00000113.jpg],5[BrandenburgGate_00000175.jpg],5[BrandenburgGate_00000299.jpg],5[BrandenburgGate_00000155.jpg],5[BrandenburgGate_00000120.jpg],5[BrandenburgGate_00000036.jpg],5[BrandenburgGate_00000167.jpg],5[BrandenburgGate_00000187.jpg],5[BrandenburgGate_00000040.jpg],5[BrandenburgGate_00000182.jpg],5[BrandenburgGate_00000183.jpg],5[BrandenburgGate_00000240.jpg],5[BrandenburgGate_00000052.jpg],5[BrandenburgGate_00000281.jpg],5[BrandenburgGate_00000443.jpg],5[BrandenburgGate_00000280.jpg],
