HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3F6KKYWMNCRWUHXUSK6N9BKNFP1DN3,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 00:56:27 PDT 2016","Sun Sep 25 00:57:50 PDT 2016",1[BrandenburgGate_00000431.jpg],4[BrandenburgGate_00000122.jpg],2[BrandenburgGate_00000504.jpg],3[BrandenburgGate_00000172.jpg],1[BrandenburgGate_00000301.jpg],2[BrandenburgGate_00000397.jpg],3[BrandenburgGate_00000305.jpg],3[BrandenburgGate_00000276.jpg],4[BrandenburgGate_00000222.jpg],2[BrandenburgGate_00000053.jpg],3[BrandenburgGate_00000229.jpg],4[BrandenburgGate_00000048.jpg],3[BrandenburgGate_00000244.jpg],4[BrandenburgGate_00000062.jpg],3[BrandenburgGate_00000517.jpg],4[BrandenburgGate_00000368.jpg],4[BrandenburgGate_00000410.jpg],3[BrandenburgGate_00000373.jpg],5[BrandenburgGate_00000460.jpg],4[BrandenburgGate_00000447.jpg],4[BrandenburgGate_00000288.jpg],3[BrandenburgGate_00000107.jpg],3[BrandenburgGate_00000153.jpg],3[BrandenburgGate_00000333.jpg],4[BrandenburgGate_00000112.jpg],3[BrandenburgGate_00000192.jpg],3[BrandenburgGate_00000174.jpg],4[BrandenburgGate_00000292.jpg],3[BrandenburgGate_00000483.jpg],3[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",36V4Q8R5ZLQK18GZL5X7WV2MTEFMQG,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:44 PDT 2016","Sun Sep 25 01:00:58 PDT 2016",1[BrandenburgGate_00000431.jpg],4[BrandenburgGate_00000122.jpg],3[BrandenburgGate_00000504.jpg],4[BrandenburgGate_00000172.jpg],5[BrandenburgGate_00000301.jpg],4[BrandenburgGate_00000397.jpg],4[BrandenburgGate_00000305.jpg],5[BrandenburgGate_00000276.jpg],4[BrandenburgGate_00000222.jpg],5[BrandenburgGate_00000053.jpg],5[BrandenburgGate_00000229.jpg],4[BrandenburgGate_00000048.jpg],3[BrandenburgGate_00000244.jpg],4[BrandenburgGate_00000062.jpg],2[BrandenburgGate_00000517.jpg],4[BrandenburgGate_00000368.jpg],3[BrandenburgGate_00000410.jpg],5[BrandenburgGate_00000373.jpg],5[BrandenburgGate_00000460.jpg],5[BrandenburgGate_00000447.jpg],5[BrandenburgGate_00000288.jpg],4[BrandenburgGate_00000107.jpg],4[BrandenburgGate_00000153.jpg],5[BrandenburgGate_00000333.jpg],5[BrandenburgGate_00000112.jpg],5[BrandenburgGate_00000192.jpg],4[BrandenburgGate_00000174.jpg],4[BrandenburgGate_00000292.jpg],4[BrandenburgGate_00000483.jpg],3[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3MD9PLUKKJ4ZXI2QK2VK033Q37BZNO,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 01:16:57 PDT 2016","Sun Sep 25 01:19:07 PDT 2016",2[BrandenburgGate_00000431.jpg],4[BrandenburgGate_00000122.jpg],3[BrandenburgGate_00000504.jpg],5[BrandenburgGate_00000172.jpg],4[BrandenburgGate_00000301.jpg],2[BrandenburgGate_00000397.jpg],3[BrandenburgGate_00000305.jpg],3[BrandenburgGate_00000276.jpg],4[BrandenburgGate_00000222.jpg],3[BrandenburgGate_00000053.jpg],3[BrandenburgGate_00000229.jpg],5[BrandenburgGate_00000048.jpg],4[BrandenburgGate_00000244.jpg],4[BrandenburgGate_00000062.jpg],3[BrandenburgGate_00000517.jpg],3[BrandenburgGate_00000368.jpg],4[BrandenburgGate_00000410.jpg],4[BrandenburgGate_00000373.jpg],4[BrandenburgGate_00000460.jpg],5[BrandenburgGate_00000447.jpg],5[BrandenburgGate_00000288.jpg],2[BrandenburgGate_00000107.jpg],2[BrandenburgGate_00000153.jpg],1[BrandenburgGate_00000333.jpg],2[BrandenburgGate_00000112.jpg],2[BrandenburgGate_00000192.jpg],3[BrandenburgGate_00000174.jpg],5[BrandenburgGate_00000292.jpg],1[BrandenburgGate_00000483.jpg],3[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",30BXRYBRP5N3TRBA6HG0WFCC0T0HW9,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:56:12 PDT 2016","Sun Sep 25 02:08:51 PDT 2016",4[BrandenburgGate_00000431.jpg],5[BrandenburgGate_00000122.jpg],5[BrandenburgGate_00000504.jpg],5[BrandenburgGate_00000172.jpg],4[BrandenburgGate_00000301.jpg],5[BrandenburgGate_00000397.jpg],5[BrandenburgGate_00000305.jpg],5[BrandenburgGate_00000276.jpg],5[BrandenburgGate_00000222.jpg],5[BrandenburgGate_00000053.jpg],5[BrandenburgGate_00000229.jpg],5[BrandenburgGate_00000048.jpg],5[BrandenburgGate_00000244.jpg],5[BrandenburgGate_00000062.jpg],5[BrandenburgGate_00000517.jpg],5[BrandenburgGate_00000368.jpg],5[BrandenburgGate_00000410.jpg],5[BrandenburgGate_00000373.jpg],5[BrandenburgGate_00000460.jpg],5[BrandenburgGate_00000447.jpg],5[BrandenburgGate_00000288.jpg],5[BrandenburgGate_00000107.jpg],5[BrandenburgGate_00000153.jpg],5[BrandenburgGate_00000333.jpg],5[BrandenburgGate_00000112.jpg],5[BrandenburgGate_00000192.jpg],5[BrandenburgGate_00000174.jpg],5[BrandenburgGate_00000292.jpg],5[BrandenburgGate_00000483.jpg],5[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3WOKGM4L726KDIWCHNI59T09BA00OF,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:19:51 PDT 2016","Sun Sep 25 02:21:23 PDT 2016",4[BrandenburgGate_00000431.jpg],4[BrandenburgGate_00000122.jpg],5[BrandenburgGate_00000504.jpg],4[BrandenburgGate_00000172.jpg],1[BrandenburgGate_00000301.jpg],4[BrandenburgGate_00000397.jpg],3[BrandenburgGate_00000305.jpg],4[BrandenburgGate_00000276.jpg],3[BrandenburgGate_00000222.jpg],4[BrandenburgGate_00000053.jpg],4[BrandenburgGate_00000229.jpg],5[BrandenburgGate_00000048.jpg],4[BrandenburgGate_00000244.jpg],3[BrandenburgGate_00000062.jpg],3[BrandenburgGate_00000517.jpg],4[BrandenburgGate_00000368.jpg],4[BrandenburgGate_00000410.jpg],3[BrandenburgGate_00000373.jpg],4[BrandenburgGate_00000460.jpg],4[BrandenburgGate_00000447.jpg],4[BrandenburgGate_00000288.jpg],4[BrandenburgGate_00000107.jpg],3[BrandenburgGate_00000153.jpg],3[BrandenburgGate_00000333.jpg],4[BrandenburgGate_00000112.jpg],4[BrandenburgGate_00000192.jpg],3[BrandenburgGate_00000174.jpg],3[BrandenburgGate_00000292.jpg],2[BrandenburgGate_00000483.jpg],3[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3K3R2QNK8CTXMH4MD5D71ATRW0K9UF,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:25 PDT 2016","Sun Sep 25 03:22:39 PDT 2016",3[BrandenburgGate_00000431.jpg],3[BrandenburgGate_00000122.jpg],3[BrandenburgGate_00000504.jpg],3[BrandenburgGate_00000172.jpg],4[BrandenburgGate_00000301.jpg],3[BrandenburgGate_00000397.jpg],3[BrandenburgGate_00000305.jpg],4[BrandenburgGate_00000276.jpg],5[BrandenburgGate_00000222.jpg],4[BrandenburgGate_00000053.jpg],3[BrandenburgGate_00000229.jpg],5[BrandenburgGate_00000048.jpg],2[BrandenburgGate_00000244.jpg],3[BrandenburgGate_00000062.jpg],2[BrandenburgGate_00000517.jpg],2[BrandenburgGate_00000368.jpg],3[BrandenburgGate_00000410.jpg],3[BrandenburgGate_00000373.jpg],2[BrandenburgGate_00000460.jpg],2[BrandenburgGate_00000447.jpg],3[BrandenburgGate_00000288.jpg],2[BrandenburgGate_00000107.jpg],3[BrandenburgGate_00000153.jpg],3[BrandenburgGate_00000333.jpg],3[BrandenburgGate_00000112.jpg],3[BrandenburgGate_00000192.jpg],3[BrandenburgGate_00000174.jpg],4[BrandenburgGate_00000292.jpg],2[BrandenburgGate_00000483.jpg],2[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3L4D84MIL0IHN7BBZIXL7PI4YXUHJH,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:18:46 PDT 2016","Sun Sep 25 03:25:22 PDT 2016",3[BrandenburgGate_00000431.jpg],5[BrandenburgGate_00000122.jpg],4[BrandenburgGate_00000504.jpg],4[BrandenburgGate_00000172.jpg],4[BrandenburgGate_00000301.jpg],4[BrandenburgGate_00000397.jpg],4[BrandenburgGate_00000305.jpg],4[BrandenburgGate_00000276.jpg],4[BrandenburgGate_00000222.jpg],4[BrandenburgGate_00000053.jpg],4[BrandenburgGate_00000229.jpg],4[BrandenburgGate_00000048.jpg],4[BrandenburgGate_00000244.jpg],4[BrandenburgGate_00000062.jpg],4[BrandenburgGate_00000517.jpg],4[BrandenburgGate_00000368.jpg],4[BrandenburgGate_00000410.jpg],4[BrandenburgGate_00000373.jpg],4[BrandenburgGate_00000460.jpg],4[BrandenburgGate_00000447.jpg],4[BrandenburgGate_00000288.jpg],3[BrandenburgGate_00000107.jpg],3[BrandenburgGate_00000153.jpg],3[BrandenburgGate_00000333.jpg],3[BrandenburgGate_00000112.jpg],4[BrandenburgGate_00000192.jpg],4[BrandenburgGate_00000174.jpg],4[BrandenburgGate_00000292.jpg],4[BrandenburgGate_00000483.jpg],4[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3B3WTRP3DCSO25VKUL31VRYZD9129Q,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:26:20 PDT 2016","Sun Sep 25 03:26:46 PDT 2016",1[BrandenburgGate_00000431.jpg],2[BrandenburgGate_00000122.jpg],2[BrandenburgGate_00000504.jpg],2[BrandenburgGate_00000172.jpg],2[BrandenburgGate_00000301.jpg],2[BrandenburgGate_00000397.jpg],2[BrandenburgGate_00000305.jpg],2[BrandenburgGate_00000276.jpg],2[BrandenburgGate_00000222.jpg],2[BrandenburgGate_00000053.jpg],2[BrandenburgGate_00000229.jpg],2[BrandenburgGate_00000048.jpg],2[BrandenburgGate_00000244.jpg],2[BrandenburgGate_00000062.jpg],2[BrandenburgGate_00000517.jpg],2[BrandenburgGate_00000368.jpg],2[BrandenburgGate_00000410.jpg],2[BrandenburgGate_00000373.jpg],2[BrandenburgGate_00000460.jpg],2[BrandenburgGate_00000447.jpg],2[BrandenburgGate_00000288.jpg],2[BrandenburgGate_00000107.jpg],2[BrandenburgGate_00000153.jpg],2[BrandenburgGate_00000333.jpg],2[BrandenburgGate_00000112.jpg],2[BrandenburgGate_00000192.jpg],2[BrandenburgGate_00000174.jpg],2[BrandenburgGate_00000292.jpg],2[BrandenburgGate_00000483.jpg],2[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3OCHAWUVGPA9KHH8M7FJBQ6B1CDXKP,A2U78N71OBRMD0,Approved,"Sun Sep 25 03:25:28 PDT 2016","Sun Sep 25 03:29:29 PDT 2016",1[BrandenburgGate_00000431.jpg],4[BrandenburgGate_00000122.jpg],3[BrandenburgGate_00000504.jpg],1[BrandenburgGate_00000172.jpg],3[BrandenburgGate_00000301.jpg],1[BrandenburgGate_00000397.jpg],3[BrandenburgGate_00000305.jpg],3[BrandenburgGate_00000276.jpg],3[BrandenburgGate_00000222.jpg],4[BrandenburgGate_00000053.jpg],2[BrandenburgGate_00000229.jpg],4[BrandenburgGate_00000048.jpg],5[BrandenburgGate_00000244.jpg],5[BrandenburgGate_00000062.jpg],5[BrandenburgGate_00000517.jpg],4[BrandenburgGate_00000368.jpg],4[BrandenburgGate_00000410.jpg],3[BrandenburgGate_00000373.jpg],3[BrandenburgGate_00000460.jpg],4[BrandenburgGate_00000447.jpg],2[BrandenburgGate_00000288.jpg],3[BrandenburgGate_00000107.jpg],1[BrandenburgGate_00000153.jpg],1[BrandenburgGate_00000333.jpg],4[BrandenburgGate_00000112.jpg],2[BrandenburgGate_00000192.jpg],1[BrandenburgGate_00000174.jpg],4[BrandenburgGate_00000292.jpg],1[BrandenburgGate_00000483.jpg],1[BrandenburgGate_00000488.jpg],
3ZURAPD288DOSA68O0YEBKFKMGDF1S,"BrandenburgGate_390-419","sample#command",3QY7M81QH8CF52BH4UBLHRTNZJZ7K5,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:34:34 PDT 2016","Sun Sep 25 03:36:20 PDT 2016",1[BrandenburgGate_00000431.jpg],5[BrandenburgGate_00000122.jpg],3[BrandenburgGate_00000504.jpg],3[BrandenburgGate_00000172.jpg],3[BrandenburgGate_00000301.jpg],4[BrandenburgGate_00000397.jpg],2[BrandenburgGate_00000305.jpg],3[BrandenburgGate_00000276.jpg],3[BrandenburgGate_00000222.jpg],5[BrandenburgGate_00000053.jpg],2[BrandenburgGate_00000229.jpg],5[BrandenburgGate_00000048.jpg],4[BrandenburgGate_00000244.jpg],5[BrandenburgGate_00000062.jpg],2[BrandenburgGate_00000517.jpg],3[BrandenburgGate_00000368.jpg],3[BrandenburgGate_00000410.jpg],4[BrandenburgGate_00000373.jpg],4[BrandenburgGate_00000460.jpg],4[BrandenburgGate_00000447.jpg],4[BrandenburgGate_00000288.jpg],3[BrandenburgGate_00000107.jpg],2[BrandenburgGate_00000153.jpg],2[BrandenburgGate_00000333.jpg],3[BrandenburgGate_00000112.jpg],3[BrandenburgGate_00000192.jpg],3[BrandenburgGate_00000174.jpg],2[BrandenburgGate_00000292.jpg],2[BrandenburgGate_00000483.jpg],1[BrandenburgGate_00000488.jpg],
