HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3JMSRU9HQJKEUSK3Q63YPAWL143VEU,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:40:43 PDT 2016","Sun Sep 25 00:46:32 PDT 2016",3[BritishMuseum_00000174.jpg],5[BritishMuseum_00000028.jpg],2[BritishMuseum_00000119.jpg],2[BritishMuseum_00000132.jpg],3[BritishMuseum_00000044.jpg],3[BritishMuseum_00000099.jpg],2[BritishMuseum_00000080.jpg],2[BritishMuseum_00000049.jpg],2[BritishMuseum_00000105.jpg],3[BritishMuseum_00000006.jpg],2[BritishMuseum_00000135.jpg],4[BritishMuseum_00000073.jpg],2[BritishMuseum_00000123.jpg],3[BritishMuseum_00000103.jpg],4[BritishMuseum_00000011.jpg],3[BritishMuseum_00000090.jpg],2[BritishMuseum_00000067.jpg],2[BritishMuseum_00000137.jpg],3[BritishMuseum_00000120.jpg],3[BritishMuseum_00000066.jpg],2[BritishMuseum_00000097.jpg],4[BritishMuseum_00000088.jpg],4[BritishMuseum_00000026.jpg],3[BritishMuseum_00000106.jpg],3[BritishMuseum_00000018.jpg],5[BritishMuseum_00000129.jpg],3[BritishMuseum_00000061.jpg],3[BritishMuseum_00000030.jpg],2[BritishMuseum_00000069.jpg],4[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",37UQDCYH6YLTLD5T3YPSJ044FH27VN,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:53:17 PDT 2016","Sun Sep 25 02:07:01 PDT 2016",5[BritishMuseum_00000174.jpg],5[BritishMuseum_00000028.jpg],5[BritishMuseum_00000119.jpg],5[BritishMuseum_00000132.jpg],5[BritishMuseum_00000044.jpg],5[BritishMuseum_00000099.jpg],5[BritishMuseum_00000080.jpg],5[BritishMuseum_00000049.jpg],5[BritishMuseum_00000105.jpg],5[BritishMuseum_00000006.jpg],5[BritishMuseum_00000135.jpg],5[BritishMuseum_00000073.jpg],5[BritishMuseum_00000123.jpg],5[BritishMuseum_00000103.jpg],5[BritishMuseum_00000011.jpg],5[BritishMuseum_00000090.jpg],5[BritishMuseum_00000067.jpg],5[BritishMuseum_00000137.jpg],5[BritishMuseum_00000120.jpg],5[BritishMuseum_00000066.jpg],5[BritishMuseum_00000097.jpg],5[BritishMuseum_00000088.jpg],5[BritishMuseum_00000026.jpg],5[BritishMuseum_00000106.jpg],5[BritishMuseum_00000018.jpg],5[BritishMuseum_00000129.jpg],5[BritishMuseum_00000061.jpg],5[BritishMuseum_00000030.jpg],5[BritishMuseum_00000069.jpg],5[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3PH3VY7DJMNPKCB4C3M7WMGHWJHWZE,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:15:03 PDT 2016","Sun Sep 25 02:16:30 PDT 2016",4[BritishMuseum_00000174.jpg],1[BritishMuseum_00000028.jpg],3[BritishMuseum_00000119.jpg],3[BritishMuseum_00000132.jpg],3[BritishMuseum_00000044.jpg],4[BritishMuseum_00000099.jpg],3[BritishMuseum_00000080.jpg],3[BritishMuseum_00000049.jpg],4[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],3[BritishMuseum_00000135.jpg],3[BritishMuseum_00000073.jpg],3[BritishMuseum_00000123.jpg],3[BritishMuseum_00000103.jpg],3[BritishMuseum_00000011.jpg],3[BritishMuseum_00000090.jpg],3[BritishMuseum_00000067.jpg],4[BritishMuseum_00000137.jpg],3[BritishMuseum_00000120.jpg],4[BritishMuseum_00000066.jpg],3[BritishMuseum_00000097.jpg],3[BritishMuseum_00000088.jpg],3[BritishMuseum_00000026.jpg],3[BritishMuseum_00000106.jpg],3[BritishMuseum_00000018.jpg],4[BritishMuseum_00000129.jpg],3[BritishMuseum_00000061.jpg],3[BritishMuseum_00000030.jpg],3[BritishMuseum_00000069.jpg],3[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3DL65MZB8E5IVJE3ZP8TZI8WGXTCEI,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:19 PDT 2016","Sun Sep 25 03:16:33 PDT 2016",5[BritishMuseum_00000174.jpg],2[BritishMuseum_00000028.jpg],2[BritishMuseum_00000119.jpg],3[BritishMuseum_00000132.jpg],4[BritishMuseum_00000044.jpg],4[BritishMuseum_00000099.jpg],1[BritishMuseum_00000080.jpg],3[BritishMuseum_00000049.jpg],4[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],2[BritishMuseum_00000135.jpg],3[BritishMuseum_00000073.jpg],1[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],4[BritishMuseum_00000011.jpg],3[BritishMuseum_00000090.jpg],2[BritishMuseum_00000067.jpg],3[BritishMuseum_00000137.jpg],3[BritishMuseum_00000120.jpg],2[BritishMuseum_00000066.jpg],5[BritishMuseum_00000097.jpg],3[BritishMuseum_00000088.jpg],4[BritishMuseum_00000026.jpg],4[BritishMuseum_00000106.jpg],4[BritishMuseum_00000018.jpg],3[BritishMuseum_00000129.jpg],4[BritishMuseum_00000061.jpg],4[BritishMuseum_00000030.jpg],5[BritishMuseum_00000069.jpg],5[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",35BLDD71I7NC5NBZMTHBAKX3PAIZVA,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:26:07 PDT 2016","Sun Sep 25 03:28:28 PDT 2016",4[BritishMuseum_00000174.jpg],2[BritishMuseum_00000028.jpg],4[BritishMuseum_00000119.jpg],4[BritishMuseum_00000132.jpg],5[BritishMuseum_00000044.jpg],4[BritishMuseum_00000099.jpg],4[BritishMuseum_00000080.jpg],5[BritishMuseum_00000049.jpg],4[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],4[BritishMuseum_00000135.jpg],4[BritishMuseum_00000073.jpg],4[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],4[BritishMuseum_00000011.jpg],5[BritishMuseum_00000090.jpg],4[BritishMuseum_00000067.jpg],4[BritishMuseum_00000137.jpg],1[BritishMuseum_00000120.jpg],5[BritishMuseum_00000066.jpg],4[BritishMuseum_00000097.jpg],4[BritishMuseum_00000088.jpg],4[BritishMuseum_00000026.jpg],4[BritishMuseum_00000106.jpg],4[BritishMuseum_00000018.jpg],5[BritishMuseum_00000129.jpg],5[BritishMuseum_00000061.jpg],4[BritishMuseum_00000030.jpg],4[BritishMuseum_00000069.jpg],4[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3ZAZR5XV028G6E5ZVCM6KS9E434ZCD,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 04:55:28 PDT 2016","Sun Sep 25 04:57:11 PDT 2016",3[BritishMuseum_00000174.jpg],2[BritishMuseum_00000028.jpg],4[BritishMuseum_00000119.jpg],4[BritishMuseum_00000132.jpg],4[BritishMuseum_00000044.jpg],5[BritishMuseum_00000099.jpg],4[BritishMuseum_00000080.jpg],3[BritishMuseum_00000049.jpg],5[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],4[BritishMuseum_00000135.jpg],3[BritishMuseum_00000073.jpg],2[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],3[BritishMuseum_00000011.jpg],3[BritishMuseum_00000090.jpg],2[BritishMuseum_00000067.jpg],4[BritishMuseum_00000137.jpg],3[BritishMuseum_00000120.jpg],4[BritishMuseum_00000066.jpg],3[BritishMuseum_00000097.jpg],2[BritishMuseum_00000088.jpg],4[BritishMuseum_00000026.jpg],5[BritishMuseum_00000106.jpg],5[BritishMuseum_00000018.jpg],5[BritishMuseum_00000129.jpg],4[BritishMuseum_00000061.jpg],5[BritishMuseum_00000030.jpg],4[BritishMuseum_00000069.jpg],4[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",30MVJZJNHN3O81TS169TU8KGFKRJ9Y,A3T1B6VQ6QJFIW,Approved,"Sun Sep 25 06:19:10 PDT 2016","Sun Sep 25 06:20:58 PDT 2016",3[BritishMuseum_00000174.jpg],3[BritishMuseum_00000028.jpg],2[BritishMuseum_00000119.jpg],3[BritishMuseum_00000132.jpg],3[BritishMuseum_00000044.jpg],4[BritishMuseum_00000099.jpg],3[BritishMuseum_00000080.jpg],3[BritishMuseum_00000049.jpg],3[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],3[BritishMuseum_00000135.jpg],3[BritishMuseum_00000073.jpg],2[BritishMuseum_00000123.jpg],2[BritishMuseum_00000103.jpg],3[BritishMuseum_00000011.jpg],3[BritishMuseum_00000090.jpg],4[BritishMuseum_00000067.jpg],4[BritishMuseum_00000137.jpg],3[BritishMuseum_00000120.jpg],3[BritishMuseum_00000066.jpg],2[BritishMuseum_00000097.jpg],4[BritishMuseum_00000088.jpg],4[BritishMuseum_00000026.jpg],3[BritishMuseum_00000106.jpg],5[BritishMuseum_00000018.jpg],3[BritishMuseum_00000129.jpg],4[BritishMuseum_00000061.jpg],4[BritishMuseum_00000030.jpg],3[BritishMuseum_00000069.jpg],4[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3DR23U6WE64ZH0GELB3JOS804J1TEQ,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:29:00 PDT 2016","Sun Sep 25 07:30:19 PDT 2016",5[BritishMuseum_00000174.jpg],5[BritishMuseum_00000028.jpg],5[BritishMuseum_00000119.jpg],5[BritishMuseum_00000132.jpg],5[BritishMuseum_00000044.jpg],5[BritishMuseum_00000099.jpg],5[BritishMuseum_00000080.jpg],5[BritishMuseum_00000049.jpg],5[BritishMuseum_00000105.jpg],5[BritishMuseum_00000006.jpg],5[BritishMuseum_00000135.jpg],4[BritishMuseum_00000073.jpg],4[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],4[BritishMuseum_00000011.jpg],5[BritishMuseum_00000090.jpg],5[BritishMuseum_00000067.jpg],5[BritishMuseum_00000137.jpg],5[BritishMuseum_00000120.jpg],5[BritishMuseum_00000066.jpg],5[BritishMuseum_00000097.jpg],4[BritishMuseum_00000088.jpg],5[BritishMuseum_00000026.jpg],5[BritishMuseum_00000106.jpg],5[BritishMuseum_00000018.jpg],5[BritishMuseum_00000129.jpg],5[BritishMuseum_00000061.jpg],5[BritishMuseum_00000030.jpg],5[BritishMuseum_00000069.jpg],5[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3CFJTT4SXUGOZ7LT4RQ94BEA7FNI7I,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:47:08 PDT 2016","Sun Sep 25 08:48:52 PDT 2016",2[BritishMuseum_00000174.jpg],2[BritishMuseum_00000028.jpg],2[BritishMuseum_00000119.jpg],2[BritishMuseum_00000132.jpg],3[BritishMuseum_00000044.jpg],3[BritishMuseum_00000099.jpg],3[BritishMuseum_00000080.jpg],2[BritishMuseum_00000049.jpg],4[BritishMuseum_00000105.jpg],2[BritishMuseum_00000006.jpg],3[BritishMuseum_00000135.jpg],4[BritishMuseum_00000073.jpg],4[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],3[BritishMuseum_00000011.jpg],2[BritishMuseum_00000090.jpg],1[BritishMuseum_00000067.jpg],1[BritishMuseum_00000137.jpg],2[BritishMuseum_00000120.jpg],2[BritishMuseum_00000066.jpg],2[BritishMuseum_00000097.jpg],3[BritishMuseum_00000088.jpg],3[BritishMuseum_00000026.jpg],3[BritishMuseum_00000106.jpg],3[BritishMuseum_00000018.jpg],3[BritishMuseum_00000129.jpg],4[BritishMuseum_00000061.jpg],4[BritishMuseum_00000030.jpg],3[BritishMuseum_00000069.jpg],4[BritishMuseum_00000029.jpg],
36818Z1KV33P6M3F0OQ5LCJQNKEA32,"BritishMuseum_30-59","sample#command",3DBQWDE4Y7O1Q4I1DEO4BZWV28MN5O,A1YB1DX0PHWL8K,Approved,"Sun Sep 25 08:50:04 PDT 2016","Sun Sep 25 08:52:36 PDT 2016",3[BritishMuseum_00000174.jpg],4[BritishMuseum_00000028.jpg],4[BritishMuseum_00000119.jpg],4[BritishMuseum_00000132.jpg],5[BritishMuseum_00000044.jpg],5[BritishMuseum_00000099.jpg],4[BritishMuseum_00000080.jpg],5[BritishMuseum_00000049.jpg],5[BritishMuseum_00000105.jpg],4[BritishMuseum_00000006.jpg],4[BritishMuseum_00000135.jpg],4[BritishMuseum_00000073.jpg],3[BritishMuseum_00000123.jpg],4[BritishMuseum_00000103.jpg],4[BritishMuseum_00000011.jpg],4[BritishMuseum_00000090.jpg],5[BritishMuseum_00000067.jpg],2[BritishMuseum_00000137.jpg],2[BritishMuseum_00000120.jpg],4[BritishMuseum_00000066.jpg],3[BritishMuseum_00000097.jpg],2[BritishMuseum_00000088.jpg],3[BritishMuseum_00000026.jpg],4[BritishMuseum_00000106.jpg],4[BritishMuseum_00000018.jpg],4[BritishMuseum_00000129.jpg],4[BritishMuseum_00000061.jpg],3[BritishMuseum_00000030.jpg],4[BritishMuseum_00000069.jpg],3[BritishMuseum_00000029.jpg],
