HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3QAVNHZ3ENU88ARXWXZ66I8SPR3LA6,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:38:24 PDT 2016","Sun Sep 25 00:40:16 PDT 2016",4[BritishMuseum_00000104.jpg],5[BritishMuseum_00000005.jpg],5[BritishMuseum_00000035.jpg],4[BritishMuseum_00000020.jpg],5[BritishMuseum_00000122.jpg],5[BritishMuseum_00000001.jpg],3[BritishMuseum_00000127.jpg],3[BritishMuseum_00000116.jpg],3[BritishMuseum_00000032.jpg],2[BritishMuseum_00000169.jpg],2[BritishMuseum_00000034.jpg],2[BritishMuseum_00000077.jpg],3[BritishMuseum_00000087.jpg],3[BritishMuseum_00000012.jpg],5[BritishMuseum_00000013.jpg],2[BritishMuseum_00000110.jpg],2[BritishMuseum_00000133.jpg],3[BritishMuseum_00000033.jpg],3[BritishMuseum_00000082.jpg],2[BritishMuseum_00000115.jpg],1[BritishMuseum_00000096.jpg],2[BritishMuseum_00000100.jpg],5[BritishMuseum_00000114.jpg],1[BritishMuseum_00000134.jpg],2[BritishMuseum_00000059.jpg],2[BritishMuseum_00000052.jpg],3[BritishMuseum_00000046.jpg],2[BritishMuseum_00000142.jpg],5[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3WQ3B2KGE9601DSL91HJHEJK93KB1M,A1I7ACFIU8U11J,Approved,"Sun Sep 25 00:57:33 PDT 2016","Sun Sep 25 00:59:53 PDT 2016",2[BritishMuseum_00000104.jpg],4[BritishMuseum_00000005.jpg],2[BritishMuseum_00000035.jpg],5[BritishMuseum_00000020.jpg],2[BritishMuseum_00000122.jpg],4[BritishMuseum_00000001.jpg],3[BritishMuseum_00000127.jpg],2[BritishMuseum_00000116.jpg],3[BritishMuseum_00000032.jpg],1[BritishMuseum_00000169.jpg],2[BritishMuseum_00000034.jpg],3[BritishMuseum_00000077.jpg],3[BritishMuseum_00000087.jpg],2[BritishMuseum_00000012.jpg],5[BritishMuseum_00000013.jpg],1[BritishMuseum_00000110.jpg],2[BritishMuseum_00000133.jpg],4[BritishMuseum_00000033.jpg],1[BritishMuseum_00000082.jpg],2[BritishMuseum_00000115.jpg],1[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],4[BritishMuseum_00000114.jpg],2[BritishMuseum_00000134.jpg],3[BritishMuseum_00000059.jpg],3[BritishMuseum_00000052.jpg],3[BritishMuseum_00000046.jpg],2[BritishMuseum_00000142.jpg],4[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",33L7PJKHCHOI8Z6N88HJWICETGQT8E,A1IPW3ERKG1H5V,Approved,"Sun Sep 25 01:01:07 PDT 2016","Sun Sep 25 01:02:30 PDT 2016",4[BritishMuseum_00000104.jpg],5[BritishMuseum_00000005.jpg],3[BritishMuseum_00000035.jpg],2[BritishMuseum_00000020.jpg],4[BritishMuseum_00000122.jpg],4[BritishMuseum_00000001.jpg],2[BritishMuseum_00000127.jpg],3[BritishMuseum_00000116.jpg],3[BritishMuseum_00000032.jpg],1[BritishMuseum_00000169.jpg],3[BritishMuseum_00000034.jpg],4[BritishMuseum_00000077.jpg],2[BritishMuseum_00000087.jpg],2[BritishMuseum_00000012.jpg],4[BritishMuseum_00000013.jpg],2[BritishMuseum_00000110.jpg],2[BritishMuseum_00000133.jpg],2[BritishMuseum_00000033.jpg],1[BritishMuseum_00000082.jpg],2[BritishMuseum_00000115.jpg],3[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],5[BritishMuseum_00000114.jpg],3[BritishMuseum_00000134.jpg],2[BritishMuseum_00000059.jpg],4[BritishMuseum_00000052.jpg],2[BritishMuseum_00000046.jpg],3[BritishMuseum_00000142.jpg],3[BritishMuseum_00000045.jpg],2[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3HYA4D452S9X3FMXX73T5NKAG7S2FE,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:51:06 PDT 2016","Sun Sep 25 02:06:30 PDT 2016",5[BritishMuseum_00000104.jpg],5[BritishMuseum_00000005.jpg],5[BritishMuseum_00000035.jpg],5[BritishMuseum_00000020.jpg],5[BritishMuseum_00000122.jpg],5[BritishMuseum_00000001.jpg],5[BritishMuseum_00000127.jpg],5[BritishMuseum_00000116.jpg],5[BritishMuseum_00000032.jpg],5[BritishMuseum_00000169.jpg],5[BritishMuseum_00000034.jpg],5[BritishMuseum_00000077.jpg],5[BritishMuseum_00000087.jpg],5[BritishMuseum_00000012.jpg],5[BritishMuseum_00000013.jpg],5[BritishMuseum_00000110.jpg],5[BritishMuseum_00000133.jpg],5[BritishMuseum_00000033.jpg],5[BritishMuseum_00000082.jpg],5[BritishMuseum_00000115.jpg],5[BritishMuseum_00000096.jpg],5[BritishMuseum_00000100.jpg],5[BritishMuseum_00000114.jpg],5[BritishMuseum_00000134.jpg],5[BritishMuseum_00000059.jpg],5[BritishMuseum_00000052.jpg],5[BritishMuseum_00000046.jpg],5[BritishMuseum_00000142.jpg],5[BritishMuseum_00000045.jpg],5[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3MTMREQS4W8OJ43W0B68FTP8NYAWAD,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:11:07 PDT 2016","Sun Sep 25 02:12:37 PDT 2016",3[BritishMuseum_00000104.jpg],4[BritishMuseum_00000005.jpg],3[BritishMuseum_00000035.jpg],3[BritishMuseum_00000020.jpg],3[BritishMuseum_00000122.jpg],3[BritishMuseum_00000001.jpg],3[BritishMuseum_00000127.jpg],3[BritishMuseum_00000116.jpg],3[BritishMuseum_00000032.jpg],3[BritishMuseum_00000169.jpg],3[BritishMuseum_00000034.jpg],3[BritishMuseum_00000077.jpg],4[BritishMuseum_00000087.jpg],3[BritishMuseum_00000012.jpg],4[BritishMuseum_00000013.jpg],3[BritishMuseum_00000110.jpg],4[BritishMuseum_00000133.jpg],3[BritishMuseum_00000033.jpg],4[BritishMuseum_00000082.jpg],3[BritishMuseum_00000115.jpg],3[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],4[BritishMuseum_00000114.jpg],4[BritishMuseum_00000134.jpg],3[BritishMuseum_00000059.jpg],4[BritishMuseum_00000052.jpg],3[BritishMuseum_00000046.jpg],4[BritishMuseum_00000142.jpg],4[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",358010RM5FJN0SBKLBTQDZHSHAJXVA,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:58:06 PDT 2016","Sun Sep 25 03:02:28 PDT 2016",3[BritishMuseum_00000104.jpg],3[BritishMuseum_00000005.jpg],4[BritishMuseum_00000035.jpg],4[BritishMuseum_00000020.jpg],4[BritishMuseum_00000122.jpg],4[BritishMuseum_00000001.jpg],5[BritishMuseum_00000127.jpg],5[BritishMuseum_00000116.jpg],5[BritishMuseum_00000032.jpg],5[BritishMuseum_00000169.jpg],5[BritishMuseum_00000034.jpg],5[BritishMuseum_00000077.jpg],1[BritishMuseum_00000087.jpg],3[BritishMuseum_00000012.jpg],4[BritishMuseum_00000013.jpg],4[BritishMuseum_00000110.jpg],4[BritishMuseum_00000133.jpg],4[BritishMuseum_00000033.jpg],4[BritishMuseum_00000082.jpg],5[BritishMuseum_00000115.jpg],3[BritishMuseum_00000096.jpg],4[BritishMuseum_00000100.jpg],4[BritishMuseum_00000114.jpg],4[BritishMuseum_00000134.jpg],3[BritishMuseum_00000059.jpg],2[BritishMuseum_00000052.jpg],2[BritishMuseum_00000046.jpg],2[BritishMuseum_00000142.jpg],2[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3LOZAJ85YE3E31DIX19FBUKHKCR2X8,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:17 PDT 2016","Sun Sep 25 03:12:27 PDT 2016",2[BritishMuseum_00000104.jpg],4[BritishMuseum_00000005.jpg],2[BritishMuseum_00000035.jpg],4[BritishMuseum_00000020.jpg],3[BritishMuseum_00000122.jpg],2[BritishMuseum_00000001.jpg],2[BritishMuseum_00000127.jpg],4[BritishMuseum_00000116.jpg],4[BritishMuseum_00000032.jpg],5[BritishMuseum_00000169.jpg],4[BritishMuseum_00000034.jpg],2[BritishMuseum_00000077.jpg],4[BritishMuseum_00000087.jpg],5[BritishMuseum_00000012.jpg],4[BritishMuseum_00000013.jpg],2[BritishMuseum_00000110.jpg],4[BritishMuseum_00000133.jpg],3[BritishMuseum_00000033.jpg],5[BritishMuseum_00000082.jpg],1[BritishMuseum_00000115.jpg],2[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],4[BritishMuseum_00000114.jpg],4[BritishMuseum_00000134.jpg],2[BritishMuseum_00000059.jpg],3[BritishMuseum_00000052.jpg],4[BritishMuseum_00000046.jpg],4[BritishMuseum_00000142.jpg],3[BritishMuseum_00000045.jpg],4[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",36H9ULYP63KX9BK54S9L446RIIKFJK,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:08:06 PDT 2016","Sun Sep 25 05:09:58 PDT 2016",4[BritishMuseum_00000104.jpg],4[BritishMuseum_00000005.jpg],2[BritishMuseum_00000035.jpg],3[BritishMuseum_00000020.jpg],3[BritishMuseum_00000122.jpg],4[BritishMuseum_00000001.jpg],4[BritishMuseum_00000127.jpg],3[BritishMuseum_00000116.jpg],2[BritishMuseum_00000032.jpg],4[BritishMuseum_00000169.jpg],3[BritishMuseum_00000034.jpg],2[BritishMuseum_00000077.jpg],4[BritishMuseum_00000087.jpg],2[BritishMuseum_00000012.jpg],4[BritishMuseum_00000013.jpg],3[BritishMuseum_00000110.jpg],4[BritishMuseum_00000133.jpg],3[BritishMuseum_00000033.jpg],5[BritishMuseum_00000082.jpg],3[BritishMuseum_00000115.jpg],3[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],4[BritishMuseum_00000114.jpg],5[BritishMuseum_00000134.jpg],3[BritishMuseum_00000059.jpg],2[BritishMuseum_00000052.jpg],2[BritishMuseum_00000046.jpg],4[BritishMuseum_00000142.jpg],3[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3ZAK8W07I54FQNG9D9UE8ZSYTWXU0V,A1G8XY49335US8,Approved,"Sun Sep 25 07:04:29 PDT 2016","Sun Sep 25 07:06:05 PDT 2016",3[BritishMuseum_00000104.jpg],4[BritishMuseum_00000005.jpg],2[BritishMuseum_00000035.jpg],3[BritishMuseum_00000020.jpg],3[BritishMuseum_00000122.jpg],3[BritishMuseum_00000001.jpg],3[BritishMuseum_00000127.jpg],3[BritishMuseum_00000116.jpg],3[BritishMuseum_00000032.jpg],2[BritishMuseum_00000169.jpg],3[BritishMuseum_00000034.jpg],3[BritishMuseum_00000077.jpg],4[BritishMuseum_00000087.jpg],3[BritishMuseum_00000012.jpg],3[BritishMuseum_00000013.jpg],3[BritishMuseum_00000110.jpg],3[BritishMuseum_00000133.jpg],4[BritishMuseum_00000033.jpg],4[BritishMuseum_00000082.jpg],3[BritishMuseum_00000115.jpg],2[BritishMuseum_00000096.jpg],3[BritishMuseum_00000100.jpg],3[BritishMuseum_00000114.jpg],2[BritishMuseum_00000134.jpg],2[BritishMuseum_00000059.jpg],3[BritishMuseum_00000052.jpg],3[BritishMuseum_00000046.jpg],2[BritishMuseum_00000142.jpg],3[BritishMuseum_00000045.jpg],3[BritishMuseum_00000131.jpg],
3I01FDIL6MYYJBA8GY32S3M429B2DL,"BritishMuseum_120-149","sample#command",3K9FOBBF2I9FSTLM514BSOSSOYGNL6,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:25:21 PDT 2016","Sun Sep 25 07:26:10 PDT 2016",5[BritishMuseum_00000104.jpg],5[BritishMuseum_00000005.jpg],5[BritishMuseum_00000035.jpg],5[BritishMuseum_00000020.jpg],5[BritishMuseum_00000122.jpg],5[BritishMuseum_00000001.jpg],5[BritishMuseum_00000127.jpg],5[BritishMuseum_00000116.jpg],5[BritishMuseum_00000032.jpg],5[BritishMuseum_00000169.jpg],5[BritishMuseum_00000034.jpg],5[BritishMuseum_00000077.jpg],5[BritishMuseum_00000087.jpg],5[BritishMuseum_00000012.jpg],5[BritishMuseum_00000013.jpg],5[BritishMuseum_00000110.jpg],5[BritishMuseum_00000133.jpg],5[BritishMuseum_00000033.jpg],4[BritishMuseum_00000082.jpg],5[BritishMuseum_00000115.jpg],5[BritishMuseum_00000096.jpg],5[BritishMuseum_00000100.jpg],5[BritishMuseum_00000114.jpg],5[BritishMuseum_00000134.jpg],5[BritishMuseum_00000059.jpg],5[BritishMuseum_00000052.jpg],5[BritishMuseum_00000046.jpg],5[BritishMuseum_00000142.jpg],5[BritishMuseum_00000045.jpg],5[BritishMuseum_00000131.jpg],
