HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3VW6495TLKQT4RWZVI2C3CSV1XAYYL,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:42 PDT 2016","Sun Sep 25 01:00:29 PDT 2016",3[BritishMuseum_00000151.jpg],4[BritishMuseum_00000172.jpg],3[BritishMuseum_00000150.jpg],3[BritishMuseum_00000108.jpg],2[BritishMuseum_00000175.jpg],5[BritishMuseum_00000117.jpg],3[BritishMuseum_00000153.jpg],3[BritishMuseum_00000178.jpg],4[BritishMuseum_00000173.jpg],4[BritishMuseum_00000113.jpg],5[BritishMuseum_00000130.jpg],4[BritishMuseum_00000112.jpg],4[BritishMuseum_00000072.jpg],4[BritishMuseum_00000071.jpg],3[BritishMuseum_00000139.jpg],3[BritishMuseum_00000060.jpg],3[BritishMuseum_00000009.jpg],2[BritishMuseum_00000008.jpg],5[BritishMuseum_00000010.jpg],4[BritishMuseum_00000031.jpg],4[BritishMuseum_00000107.jpg],3[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],4[BritishMuseum_00000007.jpg],5[BritishMuseum_00000023.jpg],5[BritishMuseum_00000086.jpg],5[BritishMuseum_00000041.jpg],5[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3S06PH7KSSUTGAQ5NX8PC47KCOYD1X,A343XQOVGY47KE,Approved,"Sun Sep 25 01:57:26 PDT 2016","Sun Sep 25 02:00:45 PDT 2016",2[BritishMuseum_00000151.jpg],3[BritishMuseum_00000172.jpg],3[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],2[BritishMuseum_00000175.jpg],1[BritishMuseum_00000117.jpg],1[BritishMuseum_00000153.jpg],1[BritishMuseum_00000178.jpg],1[BritishMuseum_00000173.jpg],3[BritishMuseum_00000113.jpg],1[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],2[BritishMuseum_00000072.jpg],1[BritishMuseum_00000071.jpg],2[BritishMuseum_00000139.jpg],1[BritishMuseum_00000060.jpg],1[BritishMuseum_00000009.jpg],4[BritishMuseum_00000008.jpg],1[BritishMuseum_00000010.jpg],2[BritishMuseum_00000031.jpg],2[BritishMuseum_00000107.jpg],2[BritishMuseum_00000102.jpg],1[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],2[BritishMuseum_00000121.jpg],2[BritishMuseum_00000007.jpg],3[BritishMuseum_00000023.jpg],3[BritishMuseum_00000086.jpg],2[BritishMuseum_00000041.jpg],3[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",32N49TQG3H8B4F3RA11CTR6UGP7VA1,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:53:53 PDT 2016","Sun Sep 25 02:07:49 PDT 2016",5[BritishMuseum_00000151.jpg],5[BritishMuseum_00000172.jpg],5[BritishMuseum_00000150.jpg],5[BritishMuseum_00000108.jpg],5[BritishMuseum_00000175.jpg],5[BritishMuseum_00000117.jpg],5[BritishMuseum_00000153.jpg],5[BritishMuseum_00000178.jpg],5[BritishMuseum_00000173.jpg],5[BritishMuseum_00000113.jpg],5[BritishMuseum_00000130.jpg],5[BritishMuseum_00000112.jpg],5[BritishMuseum_00000072.jpg],5[BritishMuseum_00000071.jpg],5[BritishMuseum_00000139.jpg],5[BritishMuseum_00000060.jpg],5[BritishMuseum_00000009.jpg],5[BritishMuseum_00000008.jpg],5[BritishMuseum_00000010.jpg],5[BritishMuseum_00000031.jpg],5[BritishMuseum_00000107.jpg],5[BritishMuseum_00000102.jpg],5[BritishMuseum_00000016.jpg],5[BritishMuseum_00000019.jpg],5[BritishMuseum_00000121.jpg],5[BritishMuseum_00000007.jpg],5[BritishMuseum_00000023.jpg],5[BritishMuseum_00000086.jpg],5[BritishMuseum_00000041.jpg],5[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",384PI804XTRZBAO5O4ZETYAA8Z2S03,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:18:13 PDT 2016","Sun Sep 25 02:19:43 PDT 2016",4[BritishMuseum_00000151.jpg],3[BritishMuseum_00000172.jpg],4[BritishMuseum_00000150.jpg],4[BritishMuseum_00000108.jpg],4[BritishMuseum_00000175.jpg],3[BritishMuseum_00000117.jpg],3[BritishMuseum_00000153.jpg],3[BritishMuseum_00000178.jpg],4[BritishMuseum_00000173.jpg],3[BritishMuseum_00000113.jpg],3[BritishMuseum_00000130.jpg],4[BritishMuseum_00000112.jpg],3[BritishMuseum_00000072.jpg],3[BritishMuseum_00000071.jpg],3[BritishMuseum_00000139.jpg],3[BritishMuseum_00000060.jpg],3[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],3[BritishMuseum_00000010.jpg],4[BritishMuseum_00000031.jpg],3[BritishMuseum_00000107.jpg],2[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],4[BritishMuseum_00000007.jpg],3[BritishMuseum_00000023.jpg],3[BritishMuseum_00000086.jpg],1[BritishMuseum_00000041.jpg],2[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3VHP9MDGROAA1XEZU0SZH0TWSY8CF0,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:23 PDT 2016","Sun Sep 25 03:20:33 PDT 2016",3[BritishMuseum_00000151.jpg],2[BritishMuseum_00000172.jpg],3[BritishMuseum_00000150.jpg],3[BritishMuseum_00000108.jpg],3[BritishMuseum_00000175.jpg],2[BritishMuseum_00000117.jpg],2[BritishMuseum_00000153.jpg],4[BritishMuseum_00000178.jpg],3[BritishMuseum_00000173.jpg],2[BritishMuseum_00000113.jpg],1[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],2[BritishMuseum_00000072.jpg],2[BritishMuseum_00000071.jpg],2[BritishMuseum_00000139.jpg],2[BritishMuseum_00000060.jpg],2[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],4[BritishMuseum_00000010.jpg],4[BritishMuseum_00000031.jpg],2[BritishMuseum_00000107.jpg],3[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],2[BritishMuseum_00000007.jpg],4[BritishMuseum_00000023.jpg],3[BritishMuseum_00000086.jpg],3[BritishMuseum_00000041.jpg],3[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3KGTPGBS6YBMMXJNSWYSRNLDQUAU28,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:17:05 PDT 2016","Sun Sep 25 03:21:36 PDT 2016",3[BritishMuseum_00000151.jpg],3[BritishMuseum_00000172.jpg],4[BritishMuseum_00000150.jpg],4[BritishMuseum_00000108.jpg],4[BritishMuseum_00000175.jpg],5[BritishMuseum_00000117.jpg],4[BritishMuseum_00000153.jpg],4[BritishMuseum_00000178.jpg],4[BritishMuseum_00000173.jpg],4[BritishMuseum_00000113.jpg],3[BritishMuseum_00000130.jpg],3[BritishMuseum_00000112.jpg],3[BritishMuseum_00000072.jpg],2[BritishMuseum_00000071.jpg],3[BritishMuseum_00000139.jpg],4[BritishMuseum_00000060.jpg],4[BritishMuseum_00000009.jpg],4[BritishMuseum_00000008.jpg],4[BritishMuseum_00000010.jpg],4[BritishMuseum_00000031.jpg],4[BritishMuseum_00000107.jpg],4[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],4[BritishMuseum_00000121.jpg],4[BritishMuseum_00000007.jpg],4[BritishMuseum_00000023.jpg],4[BritishMuseum_00000086.jpg],4[BritishMuseum_00000041.jpg],3[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",358UUM7WR0T1S6OCUEKII3F1UBT7RY,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:36:57 PDT 2016","Sun Sep 25 03:38:39 PDT 2016",2[BritishMuseum_00000151.jpg],1[BritishMuseum_00000172.jpg],2[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],3[BritishMuseum_00000175.jpg],4[BritishMuseum_00000117.jpg],2[BritishMuseum_00000153.jpg],4[BritishMuseum_00000178.jpg],3[BritishMuseum_00000173.jpg],3[BritishMuseum_00000113.jpg],4[BritishMuseum_00000130.jpg],3[BritishMuseum_00000112.jpg],4[BritishMuseum_00000072.jpg],4[BritishMuseum_00000071.jpg],4[BritishMuseum_00000139.jpg],2[BritishMuseum_00000060.jpg],3[BritishMuseum_00000009.jpg],4[BritishMuseum_00000008.jpg],4[BritishMuseum_00000010.jpg],3[BritishMuseum_00000031.jpg],3[BritishMuseum_00000107.jpg],4[BritishMuseum_00000102.jpg],4[BritishMuseum_00000016.jpg],4[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],5[BritishMuseum_00000007.jpg],3[BritishMuseum_00000023.jpg],5[BritishMuseum_00000086.jpg],4[BritishMuseum_00000041.jpg],4[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3VAR3R6G1QR2V71FCRVK286RU8M8OK,A3JHYJPJHFV64G,Approved,"Sun Sep 25 07:11:24 PDT 2016","Sun Sep 25 07:13:09 PDT 2016",4[BritishMuseum_00000151.jpg],2[BritishMuseum_00000172.jpg],4[BritishMuseum_00000150.jpg],3[BritishMuseum_00000108.jpg],5[BritishMuseum_00000175.jpg],1[BritishMuseum_00000117.jpg],3[BritishMuseum_00000153.jpg],2[BritishMuseum_00000178.jpg],3[BritishMuseum_00000173.jpg],4[BritishMuseum_00000113.jpg],1[BritishMuseum_00000130.jpg],4[BritishMuseum_00000112.jpg],2[BritishMuseum_00000072.jpg],3[BritishMuseum_00000071.jpg],3[BritishMuseum_00000139.jpg],1[BritishMuseum_00000060.jpg],4[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],3[BritishMuseum_00000010.jpg],4[BritishMuseum_00000031.jpg],1[BritishMuseum_00000107.jpg],3[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],4[BritishMuseum_00000019.jpg],2[BritishMuseum_00000121.jpg],3[BritishMuseum_00000007.jpg],2[BritishMuseum_00000023.jpg],4[BritishMuseum_00000086.jpg],2[BritishMuseum_00000041.jpg],2[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",333U7HK6IA50BR69DMEVG43665AJDJ,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:32:02 PDT 2016","Sun Sep 25 07:34:57 PDT 2016",5[BritishMuseum_00000151.jpg],4[BritishMuseum_00000172.jpg],4[BritishMuseum_00000150.jpg],5[BritishMuseum_00000108.jpg],5[BritishMuseum_00000175.jpg],5[BritishMuseum_00000117.jpg],3[BritishMuseum_00000153.jpg],2[BritishMuseum_00000178.jpg],5[BritishMuseum_00000173.jpg],5[BritishMuseum_00000113.jpg],4[BritishMuseum_00000130.jpg],5[BritishMuseum_00000112.jpg],5[BritishMuseum_00000072.jpg],5[BritishMuseum_00000071.jpg],5[BritishMuseum_00000139.jpg],5[BritishMuseum_00000060.jpg],5[BritishMuseum_00000009.jpg],5[BritishMuseum_00000008.jpg],5[BritishMuseum_00000010.jpg],5[BritishMuseum_00000031.jpg],5[BritishMuseum_00000107.jpg],5[BritishMuseum_00000102.jpg],5[BritishMuseum_00000016.jpg],5[BritishMuseum_00000019.jpg],5[BritishMuseum_00000121.jpg],5[BritishMuseum_00000007.jpg],5[BritishMuseum_00000023.jpg],5[BritishMuseum_00000086.jpg],5[BritishMuseum_00000041.jpg],5[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3QJOXOW4XKHV45QUCE272ED8AB9MEM,A11ARIYFE0LZL9,Approved,"Sun Sep 25 08:20:38 PDT 2016","Sun Sep 25 08:21:48 PDT 2016",2[BritishMuseum_00000151.jpg],2[BritishMuseum_00000172.jpg],2[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],2[BritishMuseum_00000175.jpg],1[BritishMuseum_00000117.jpg],1[BritishMuseum_00000153.jpg],1[BritishMuseum_00000178.jpg],1[BritishMuseum_00000173.jpg],1[BritishMuseum_00000113.jpg],1[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],1[BritishMuseum_00000072.jpg],1[BritishMuseum_00000071.jpg],2[BritishMuseum_00000139.jpg],2[BritishMuseum_00000060.jpg],2[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],3[BritishMuseum_00000010.jpg],3[BritishMuseum_00000031.jpg],2[BritishMuseum_00000107.jpg],3[BritishMuseum_00000102.jpg],3[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],3[BritishMuseum_00000007.jpg],3[BritishMuseum_00000023.jpg],3[BritishMuseum_00000086.jpg],3[BritishMuseum_00000041.jpg],3[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3I0BTBYZAYBW7W0ENAR3BKYBPKE0Y5,A2UWMGQWV1FBJ8,Approved,"Sun Sep 25 08:26:55 PDT 2016","Sun Sep 25 08:29:32 PDT 2016",5[BritishMuseum_00000151.jpg],1[BritishMuseum_00000172.jpg],1[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],5[BritishMuseum_00000175.jpg],1[BritishMuseum_00000117.jpg],1[BritishMuseum_00000153.jpg],2[BritishMuseum_00000178.jpg],5[BritishMuseum_00000173.jpg],3[BritishMuseum_00000113.jpg],1[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],1[BritishMuseum_00000072.jpg],1[BritishMuseum_00000071.jpg],5[BritishMuseum_00000139.jpg],1[BritishMuseum_00000060.jpg],4[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],2[BritishMuseum_00000010.jpg],2[BritishMuseum_00000031.jpg],1[BritishMuseum_00000107.jpg],4[BritishMuseum_00000102.jpg],1[BritishMuseum_00000016.jpg],1[BritishMuseum_00000019.jpg],2[BritishMuseum_00000121.jpg],3[BritishMuseum_00000007.jpg],3[BritishMuseum_00000023.jpg],4[BritishMuseum_00000086.jpg],4[BritishMuseum_00000041.jpg],4[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3E47SOBEYRMUBOGPV8YKKX6O8QECI5,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:47:08 PDT 2016","Sun Sep 25 08:50:18 PDT 2016",1[BritishMuseum_00000151.jpg],2[BritishMuseum_00000172.jpg],2[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],1[BritishMuseum_00000175.jpg],2[BritishMuseum_00000117.jpg],2[BritishMuseum_00000153.jpg],1[BritishMuseum_00000178.jpg],2[BritishMuseum_00000173.jpg],2[BritishMuseum_00000113.jpg],2[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],2[BritishMuseum_00000072.jpg],3[BritishMuseum_00000071.jpg],2[BritishMuseum_00000139.jpg],1[BritishMuseum_00000060.jpg],3[BritishMuseum_00000009.jpg],3[BritishMuseum_00000008.jpg],4[BritishMuseum_00000010.jpg],3[BritishMuseum_00000031.jpg],4[BritishMuseum_00000107.jpg],3[BritishMuseum_00000102.jpg],4[BritishMuseum_00000016.jpg],3[BritishMuseum_00000019.jpg],3[BritishMuseum_00000121.jpg],3[BritishMuseum_00000007.jpg],4[BritishMuseum_00000023.jpg],3[BritishMuseum_00000086.jpg],3[BritishMuseum_00000041.jpg],4[BritishMuseum_00000098.jpg],
3NSCTNUR2ZDSK1QJE7EY09HA1G55AN,"BritishMuseum_90-119","sample#command",3TPZPLC3M12YFA7AFAD30R36OS2P34,AOJVPBY8R0ZX6,Approved,"Sun Sep 25 10:09:55 PDT 2016","Sun Sep 25 10:12:48 PDT 2016",2[BritishMuseum_00000151.jpg],2[BritishMuseum_00000172.jpg],2[BritishMuseum_00000150.jpg],2[BritishMuseum_00000108.jpg],2[BritishMuseum_00000175.jpg],3[BritishMuseum_00000117.jpg],2[BritishMuseum_00000153.jpg],4[BritishMuseum_00000178.jpg],3[BritishMuseum_00000173.jpg],3[BritishMuseum_00000113.jpg],2[BritishMuseum_00000130.jpg],2[BritishMuseum_00000112.jpg],2[BritishMuseum_00000072.jpg],2[BritishMuseum_00000071.jpg],2[BritishMuseum_00000139.jpg],1[BritishMuseum_00000060.jpg],3[BritishMuseum_00000009.jpg],2[BritishMuseum_00000008.jpg],2[BritishMuseum_00000010.jpg],2[BritishMuseum_00000031.jpg],2[BritishMuseum_00000107.jpg],2[BritishMuseum_00000102.jpg],2[BritishMuseum_00000016.jpg],2[BritishMuseum_00000019.jpg],2[BritishMuseum_00000121.jpg],5[BritishMuseum_00000007.jpg],2[BritishMuseum_00000023.jpg],2[BritishMuseum_00000086.jpg],2[BritishMuseum_00000041.jpg],2[BritishMuseum_00000098.jpg],
