HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3XLBSAQ9Z52AUXA34VEV46H03S67ZL,A29MM3QH9J9AI5,Approved,"Sun Sep 25 00:56:12 PDT 2016","Sun Sep 25 01:00:50 PDT 2016",2[BritishMuseum_00000054.jpg],4[BritishMuseum_00000128.jpg],4[BritishMuseum_00000083.jpg],5[BritishMuseum_00000027.jpg],4[BritishMuseum_00000126.jpg],2[BritishMuseum_00000136.jpg],2[BritishMuseum_00000181.jpg],4[BritishMuseum_00000093.jpg],5[BritishMuseum_00000167.jpg],4[BritishMuseum_00000166.jpg],4[BritishMuseum_00000111.jpg],1[BritishMuseum_00000180.jpg],3[BritishMuseum_00000164.jpg],4[BritishMuseum_00000094.jpg],1[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],5[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],4[BritishMuseum_00000079.jpg],4[BritishMuseum_00000081.jpg],4[BritishMuseum_00000065.jpg],4[BritishMuseum_00000017.jpg],3[BritishMuseum_00000089.jpg],5[BritishMuseum_00000076.jpg],4[BritishMuseum_00000050.jpg],2[BritishMuseum_00000014.jpg],5[BritishMuseum_00000140.jpg],4[BritishMuseum_00000118.jpg],2[BritishMuseum_00000165.jpg],3[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",34MAJL3QP5DCQHLRHQLFXTSBXVH431,A1CBJPICZAM1QD,Approved,"Sun Sep 25 00:47:40 PDT 2016","Sun Sep 25 01:03:51 PDT 2016",5[BritishMuseum_00000054.jpg],5[BritishMuseum_00000128.jpg],5[BritishMuseum_00000083.jpg],5[BritishMuseum_00000027.jpg],5[BritishMuseum_00000126.jpg],4[BritishMuseum_00000136.jpg],5[BritishMuseum_00000181.jpg],4[BritishMuseum_00000093.jpg],5[BritishMuseum_00000167.jpg],4[BritishMuseum_00000166.jpg],3[BritishMuseum_00000111.jpg],5[BritishMuseum_00000180.jpg],5[BritishMuseum_00000164.jpg],5[BritishMuseum_00000094.jpg],5[BritishMuseum_00000152.jpg],5[BritishMuseum_00000149.jpg],5[BritishMuseum_00000064.jpg],5[BritishMuseum_00000058.jpg],5[BritishMuseum_00000079.jpg],4[BritishMuseum_00000081.jpg],3[BritishMuseum_00000065.jpg],3[BritishMuseum_00000017.jpg],3[BritishMuseum_00000089.jpg],3[BritishMuseum_00000076.jpg],4[BritishMuseum_00000050.jpg],4[BritishMuseum_00000014.jpg],4[BritishMuseum_00000140.jpg],4[BritishMuseum_00000118.jpg],3[BritishMuseum_00000165.jpg],5[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3SB5N7Y3O4UWL5FET45X4KR7KO80GR,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:53:31 PDT 2016","Sun Sep 25 02:07:26 PDT 2016",5[BritishMuseum_00000054.jpg],5[BritishMuseum_00000128.jpg],5[BritishMuseum_00000083.jpg],5[BritishMuseum_00000027.jpg],5[BritishMuseum_00000126.jpg],5[BritishMuseum_00000136.jpg],5[BritishMuseum_00000181.jpg],5[BritishMuseum_00000093.jpg],5[BritishMuseum_00000167.jpg],5[BritishMuseum_00000166.jpg],5[BritishMuseum_00000111.jpg],5[BritishMuseum_00000180.jpg],5[BritishMuseum_00000164.jpg],5[BritishMuseum_00000094.jpg],5[BritishMuseum_00000152.jpg],5[BritishMuseum_00000149.jpg],5[BritishMuseum_00000064.jpg],5[BritishMuseum_00000058.jpg],5[BritishMuseum_00000079.jpg],5[BritishMuseum_00000081.jpg],5[BritishMuseum_00000065.jpg],5[BritishMuseum_00000017.jpg],5[BritishMuseum_00000089.jpg],5[BritishMuseum_00000076.jpg],5[BritishMuseum_00000050.jpg],5[BritishMuseum_00000014.jpg],5[BritishMuseum_00000140.jpg],5[BritishMuseum_00000118.jpg],5[BritishMuseum_00000165.jpg],5[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",33PPUNGG39VKCGUID9C19N80442RZ6,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:16:37 PDT 2016","Sun Sep 25 02:18:05 PDT 2016",1[BritishMuseum_00000054.jpg],4[BritishMuseum_00000128.jpg],4[BritishMuseum_00000083.jpg],4[BritishMuseum_00000027.jpg],4[BritishMuseum_00000126.jpg],4[BritishMuseum_00000136.jpg],4[BritishMuseum_00000181.jpg],4[BritishMuseum_00000093.jpg],4[BritishMuseum_00000167.jpg],4[BritishMuseum_00000166.jpg],4[BritishMuseum_00000111.jpg],4[BritishMuseum_00000180.jpg],3[BritishMuseum_00000164.jpg],4[BritishMuseum_00000094.jpg],4[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],4[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],3[BritishMuseum_00000079.jpg],3[BritishMuseum_00000081.jpg],3[BritishMuseum_00000065.jpg],3[BritishMuseum_00000017.jpg],3[BritishMuseum_00000089.jpg],3[BritishMuseum_00000076.jpg],3[BritishMuseum_00000050.jpg],4[BritishMuseum_00000014.jpg],4[BritishMuseum_00000140.jpg],3[BritishMuseum_00000118.jpg],3[BritishMuseum_00000165.jpg],3[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3PS7W85Z80SIM4PXD0NXWE7PDMD9TO,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:21 PDT 2016","Sun Sep 25 03:18:27 PDT 2016",4[BritishMuseum_00000054.jpg],4[BritishMuseum_00000128.jpg],4[BritishMuseum_00000083.jpg],4[BritishMuseum_00000027.jpg],3[BritishMuseum_00000126.jpg],4[BritishMuseum_00000136.jpg],3[BritishMuseum_00000181.jpg],3[BritishMuseum_00000093.jpg],3[BritishMuseum_00000167.jpg],3[BritishMuseum_00000166.jpg],4[BritishMuseum_00000111.jpg],3[BritishMuseum_00000180.jpg],3[BritishMuseum_00000164.jpg],4[BritishMuseum_00000094.jpg],4[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],4[BritishMuseum_00000064.jpg],4[BritishMuseum_00000058.jpg],4[BritishMuseum_00000079.jpg],3[BritishMuseum_00000081.jpg],3[BritishMuseum_00000065.jpg],4[BritishMuseum_00000017.jpg],4[BritishMuseum_00000089.jpg],3[BritishMuseum_00000076.jpg],3[BritishMuseum_00000050.jpg],4[BritishMuseum_00000014.jpg],3[BritishMuseum_00000140.jpg],2[BritishMuseum_00000118.jpg],1[BritishMuseum_00000165.jpg],2[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3RXPCZQMQQ1WSU0WPN9XIPAHPGI1GZ,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:17:21 PDT 2016","Sun Sep 25 03:20:34 PDT 2016",2[BritishMuseum_00000054.jpg],3[BritishMuseum_00000128.jpg],4[BritishMuseum_00000083.jpg],4[BritishMuseum_00000027.jpg],3[BritishMuseum_00000126.jpg],2[BritishMuseum_00000136.jpg],4[BritishMuseum_00000181.jpg],4[BritishMuseum_00000093.jpg],4[BritishMuseum_00000167.jpg],4[BritishMuseum_00000166.jpg],4[BritishMuseum_00000111.jpg],4[BritishMuseum_00000180.jpg],4[BritishMuseum_00000164.jpg],4[BritishMuseum_00000094.jpg],5[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],4[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],4[BritishMuseum_00000079.jpg],4[BritishMuseum_00000081.jpg],4[BritishMuseum_00000065.jpg],4[BritishMuseum_00000017.jpg],4[BritishMuseum_00000089.jpg],4[BritishMuseum_00000076.jpg],4[BritishMuseum_00000050.jpg],4[BritishMuseum_00000014.jpg],4[BritishMuseum_00000140.jpg],4[BritishMuseum_00000118.jpg],4[BritishMuseum_00000165.jpg],4[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3E7TUJ2EGDCB5FT0RANIRAP3A0QD9A,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 03:39:01 PDT 2016","Sun Sep 25 03:40:33 PDT 2016",3[BritishMuseum_00000054.jpg],5[BritishMuseum_00000128.jpg],4[BritishMuseum_00000083.jpg],4[BritishMuseum_00000027.jpg],4[BritishMuseum_00000126.jpg],3[BritishMuseum_00000136.jpg],4[BritishMuseum_00000181.jpg],3[BritishMuseum_00000093.jpg],3[BritishMuseum_00000167.jpg],5[BritishMuseum_00000166.jpg],5[BritishMuseum_00000111.jpg],5[BritishMuseum_00000180.jpg],5[BritishMuseum_00000164.jpg],5[BritishMuseum_00000094.jpg],5[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],5[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],3[BritishMuseum_00000079.jpg],3[BritishMuseum_00000081.jpg],4[BritishMuseum_00000065.jpg],4[BritishMuseum_00000017.jpg],4[BritishMuseum_00000089.jpg],3[BritishMuseum_00000076.jpg],4[BritishMuseum_00000050.jpg],3[BritishMuseum_00000014.jpg],2[BritishMuseum_00000140.jpg],3[BritishMuseum_00000118.jpg],4[BritishMuseum_00000165.jpg],5[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",37TRT2X24RH7WU8PZQNPLEF63KYJBC,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:31:35 PDT 2016","Sun Sep 25 07:32:44 PDT 2016",5[BritishMuseum_00000054.jpg],5[BritishMuseum_00000128.jpg],5[BritishMuseum_00000083.jpg],5[BritishMuseum_00000027.jpg],5[BritishMuseum_00000126.jpg],5[BritishMuseum_00000136.jpg],5[BritishMuseum_00000181.jpg],5[BritishMuseum_00000093.jpg],5[BritishMuseum_00000167.jpg],4[BritishMuseum_00000166.jpg],5[BritishMuseum_00000111.jpg],5[BritishMuseum_00000180.jpg],5[BritishMuseum_00000164.jpg],5[BritishMuseum_00000094.jpg],5[BritishMuseum_00000152.jpg],5[BritishMuseum_00000149.jpg],3[BritishMuseum_00000064.jpg],5[BritishMuseum_00000058.jpg],5[BritishMuseum_00000079.jpg],5[BritishMuseum_00000081.jpg],5[BritishMuseum_00000065.jpg],5[BritishMuseum_00000017.jpg],5[BritishMuseum_00000089.jpg],5[BritishMuseum_00000076.jpg],5[BritishMuseum_00000050.jpg],5[BritishMuseum_00000014.jpg],5[BritishMuseum_00000140.jpg],5[BritishMuseum_00000118.jpg],5[BritishMuseum_00000165.jpg],5[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3IFS6Q0HJJ9AI55LSUOKZ2A6UTWSIB,A2UFHATEG76AO5,Approved,"Sun Sep 25 07:56:20 PDT 2016","Sun Sep 25 08:01:06 PDT 2016",2[BritishMuseum_00000054.jpg],1[BritishMuseum_00000128.jpg],2[BritishMuseum_00000083.jpg],2[BritishMuseum_00000027.jpg],3[BritishMuseum_00000126.jpg],3[BritishMuseum_00000136.jpg],4[BritishMuseum_00000181.jpg],1[BritishMuseum_00000093.jpg],4[BritishMuseum_00000167.jpg],2[BritishMuseum_00000166.jpg],3[BritishMuseum_00000111.jpg],5[BritishMuseum_00000180.jpg],3[BritishMuseum_00000164.jpg],3[BritishMuseum_00000094.jpg],1[BritishMuseum_00000152.jpg],4[BritishMuseum_00000149.jpg],3[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],3[BritishMuseum_00000079.jpg],3[BritishMuseum_00000081.jpg],2[BritishMuseum_00000065.jpg],2[BritishMuseum_00000017.jpg],3[BritishMuseum_00000089.jpg],2[BritishMuseum_00000076.jpg],2[BritishMuseum_00000050.jpg],3[BritishMuseum_00000014.jpg],2[BritishMuseum_00000140.jpg],2[BritishMuseum_00000118.jpg],3[BritishMuseum_00000165.jpg],3[BritishMuseum_00000042.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR8XK3,"BritishMuseum_0-29","sample#command",3VNXK88KKD8XZWTMIVNCXWVAA779VI,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:47:11 PDT 2016","Sun Sep 25 08:53:16 PDT 2016",2[BritishMuseum_00000054.jpg],2[BritishMuseum_00000128.jpg],2[BritishMuseum_00000083.jpg],3[BritishMuseum_00000027.jpg],3[BritishMuseum_00000126.jpg],3[BritishMuseum_00000136.jpg],4[BritishMuseum_00000181.jpg],1[BritishMuseum_00000093.jpg],2[BritishMuseum_00000167.jpg],2[BritishMuseum_00000166.jpg],2[BritishMuseum_00000111.jpg],3[BritishMuseum_00000180.jpg],2[BritishMuseum_00000164.jpg],3[BritishMuseum_00000094.jpg],4[BritishMuseum_00000152.jpg],2[BritishMuseum_00000149.jpg],2[BritishMuseum_00000064.jpg],3[BritishMuseum_00000058.jpg],3[BritishMuseum_00000079.jpg],2[BritishMuseum_00000081.jpg],2[BritishMuseum_00000065.jpg],3[BritishMuseum_00000017.jpg],3[BritishMuseum_00000089.jpg],3[BritishMuseum_00000076.jpg],4[BritishMuseum_00000050.jpg],3[BritishMuseum_00000014.jpg],2[BritishMuseum_00000140.jpg],2[BritishMuseum_00000118.jpg],1[BritishMuseum_00000165.jpg],2[BritishMuseum_00000042.jpg],
