HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3N4BPTXIO9IH3DNDH24WRJ777UQUKO,AD4MLNEISFV2J,Approved,"Sun Sep 25 00:51:51 PDT 2016","Sun Sep 25 00:54:44 PDT 2016",4[BritishMuseum_00000070.jpg],4[BritishMuseum_00000163.jpg],3[BritishMuseum_00000124.jpg],4[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],3[BritishMuseum_00000148.jpg],3[BritishMuseum_00000025.jpg],3[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],4[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],4[BritishMuseum_00000021.jpg],3[BritishMuseum_00000092.jpg],4[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],3[BritishMuseum_00000063.jpg],2[BritishMuseum_00000055.jpg],4[BritishMuseum_00000051.jpg],2[BritishMuseum_00000015.jpg],4[BritishMuseum_00000000.jpg],4[BritishMuseum_00000047.jpg],3[BritishMuseum_00000143.jpg],3[BritishMuseum_00000160.jpg],3[BritishMuseum_00000159.jpg],4[BritishMuseum_00000177.jpg],4[BritishMuseum_00000144.jpg],4[BritishMuseum_00000145.jpg],4[BritishMuseum_00000147.jpg],3[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",34BBWHLWHB13PMMUCZYLWRDR06DIW1,A1CBJPICZAM1QD,Approved,"Sun Sep 25 01:02:51 PDT 2016","Sun Sep 25 01:05:10 PDT 2016",5[BritishMuseum_00000070.jpg],5[BritishMuseum_00000163.jpg],3[BritishMuseum_00000124.jpg],5[BritishMuseum_00000043.jpg],3[BritishMuseum_00000022.jpg],3[BritishMuseum_00000148.jpg],5[BritishMuseum_00000025.jpg],3[BritishMuseum_00000138.jpg],5[BritishMuseum_00000002.jpg],5[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],4[BritishMuseum_00000021.jpg],3[BritishMuseum_00000092.jpg],3[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],3[BritishMuseum_00000063.jpg],4[BritishMuseum_00000055.jpg],4[BritishMuseum_00000051.jpg],3[BritishMuseum_00000015.jpg],3[BritishMuseum_00000000.jpg],3[BritishMuseum_00000047.jpg],3[BritishMuseum_00000143.jpg],3[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],4[BritishMuseum_00000177.jpg],5[BritishMuseum_00000144.jpg],5[BritishMuseum_00000145.jpg],4[BritishMuseum_00000147.jpg],3[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3LRLIPTPERZXO49FBXN5RIVD0R1KA5,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 02:12:50 PDT 2016","Sun Sep 25 02:14:31 PDT 2016",3[BritishMuseum_00000070.jpg],4[BritishMuseum_00000163.jpg],3[BritishMuseum_00000124.jpg],4[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],3[BritishMuseum_00000148.jpg],1[BritishMuseum_00000025.jpg],4[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],3[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],4[BritishMuseum_00000021.jpg],5[BritishMuseum_00000092.jpg],3[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],3[BritishMuseum_00000063.jpg],3[BritishMuseum_00000055.jpg],3[BritishMuseum_00000051.jpg],3[BritishMuseum_00000015.jpg],3[BritishMuseum_00000000.jpg],3[BritishMuseum_00000047.jpg],4[BritishMuseum_00000143.jpg],4[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],4[BritishMuseum_00000177.jpg],4[BritishMuseum_00000144.jpg],5[BritishMuseum_00000145.jpg],4[BritishMuseum_00000147.jpg],5[BritishMuseum_00000179.jpg],5[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3S3AMIZX3VVD3D033UX9T0QBGLSCDP,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:14 PDT 2016","Sun Sep 25 03:07:18 PDT 2016",1[BritishMuseum_00000070.jpg],3[BritishMuseum_00000163.jpg],3[BritishMuseum_00000124.jpg],4[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],2[BritishMuseum_00000148.jpg],4[BritishMuseum_00000025.jpg],5[BritishMuseum_00000138.jpg],3[BritishMuseum_00000002.jpg],4[BritishMuseum_00000004.jpg],2[BritishMuseum_00000003.jpg],5[BritishMuseum_00000021.jpg],5[BritishMuseum_00000092.jpg],3[BritishMuseum_00000062.jpg],1[BritishMuseum_00000040.jpg],4[BritishMuseum_00000063.jpg],2[BritishMuseum_00000055.jpg],3[BritishMuseum_00000051.jpg],1[BritishMuseum_00000015.jpg],3[BritishMuseum_00000000.jpg],3[BritishMuseum_00000047.jpg],4[BritishMuseum_00000143.jpg],4[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],2[BritishMuseum_00000177.jpg],3[BritishMuseum_00000144.jpg],2[BritishMuseum_00000145.jpg],3[BritishMuseum_00000147.jpg],2[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3U8YCDAGXQ6NYU9SW0A9YYV9QBKQ0F,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:24:14 PDT 2016","Sun Sep 25 03:26:22 PDT 2016",3[BritishMuseum_00000070.jpg],5[BritishMuseum_00000163.jpg],5[BritishMuseum_00000124.jpg],4[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],4[BritishMuseum_00000148.jpg],4[BritishMuseum_00000025.jpg],4[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],4[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],5[BritishMuseum_00000021.jpg],4[BritishMuseum_00000092.jpg],3[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],4[BritishMuseum_00000063.jpg],4[BritishMuseum_00000055.jpg],4[BritishMuseum_00000051.jpg],2[BritishMuseum_00000015.jpg],3[BritishMuseum_00000000.jpg],3[BritishMuseum_00000047.jpg],2[BritishMuseum_00000143.jpg],4[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],4[BritishMuseum_00000177.jpg],4[BritishMuseum_00000144.jpg],4[BritishMuseum_00000145.jpg],4[BritishMuseum_00000147.jpg],4[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",32RIADZISTUGAY6675MG510NPBNS4O,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 04:57:49 PDT 2016","Sun Sep 25 04:59:36 PDT 2016",3[BritishMuseum_00000070.jpg],5[BritishMuseum_00000163.jpg],5[BritishMuseum_00000124.jpg],3[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],1[BritishMuseum_00000148.jpg],3[BritishMuseum_00000025.jpg],4[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],5[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],5[BritishMuseum_00000021.jpg],5[BritishMuseum_00000092.jpg],4[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],3[BritishMuseum_00000063.jpg],1[BritishMuseum_00000055.jpg],3[BritishMuseum_00000051.jpg],3[BritishMuseum_00000015.jpg],2[BritishMuseum_00000000.jpg],3[BritishMuseum_00000047.jpg],5[BritishMuseum_00000143.jpg],5[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],5[BritishMuseum_00000177.jpg],5[BritishMuseum_00000144.jpg],5[BritishMuseum_00000145.jpg],5[BritishMuseum_00000147.jpg],4[BritishMuseum_00000179.jpg],5[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",32SVAV9L3GZRS618QRV6AWEBP5PA3U,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 07:03:52 PDT 2016","Sun Sep 25 07:08:30 PDT 2016",2[BritishMuseum_00000070.jpg],3[BritishMuseum_00000163.jpg],1[BritishMuseum_00000124.jpg],2[BritishMuseum_00000043.jpg],2[BritishMuseum_00000022.jpg],2[BritishMuseum_00000148.jpg],2[BritishMuseum_00000025.jpg],3[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],3[BritishMuseum_00000004.jpg],3[BritishMuseum_00000003.jpg],2[BritishMuseum_00000021.jpg],2[BritishMuseum_00000092.jpg],2[BritishMuseum_00000062.jpg],2[BritishMuseum_00000040.jpg],2[BritishMuseum_00000063.jpg],1[BritishMuseum_00000055.jpg],4[BritishMuseum_00000051.jpg],2[BritishMuseum_00000015.jpg],2[BritishMuseum_00000000.jpg],4[BritishMuseum_00000047.jpg],3[BritishMuseum_00000143.jpg],1[BritishMuseum_00000160.jpg],1[BritishMuseum_00000159.jpg],3[BritishMuseum_00000177.jpg],3[BritishMuseum_00000144.jpg],3[BritishMuseum_00000145.jpg],3[BritishMuseum_00000147.jpg],3[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3HWRJOOET6SY203ZWBYTENCE20NSE0,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:23:11 PDT 2016","Sun Sep 25 07:24:12 PDT 2016",5[BritishMuseum_00000070.jpg],5[BritishMuseum_00000163.jpg],5[BritishMuseum_00000124.jpg],5[BritishMuseum_00000043.jpg],5[BritishMuseum_00000022.jpg],4[BritishMuseum_00000148.jpg],5[BritishMuseum_00000025.jpg],5[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],5[BritishMuseum_00000004.jpg],5[BritishMuseum_00000003.jpg],5[BritishMuseum_00000021.jpg],5[BritishMuseum_00000092.jpg],5[BritishMuseum_00000062.jpg],5[BritishMuseum_00000040.jpg],5[BritishMuseum_00000063.jpg],5[BritishMuseum_00000055.jpg],5[BritishMuseum_00000051.jpg],5[BritishMuseum_00000015.jpg],5[BritishMuseum_00000000.jpg],5[BritishMuseum_00000047.jpg],5[BritishMuseum_00000143.jpg],5[BritishMuseum_00000160.jpg],5[BritishMuseum_00000159.jpg],5[BritishMuseum_00000177.jpg],5[BritishMuseum_00000144.jpg],5[BritishMuseum_00000145.jpg],5[BritishMuseum_00000147.jpg],4[BritishMuseum_00000179.jpg],5[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",3E1QT0TDFQZSZLQCEWIFIBA5IZTI85,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:47:10 PDT 2016","Sun Sep 25 08:51:51 PDT 2016",4[BritishMuseum_00000070.jpg],4[BritishMuseum_00000163.jpg],4[BritishMuseum_00000124.jpg],3[BritishMuseum_00000043.jpg],4[BritishMuseum_00000022.jpg],1[BritishMuseum_00000148.jpg],3[BritishMuseum_00000025.jpg],2[BritishMuseum_00000138.jpg],3[BritishMuseum_00000002.jpg],4[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],4[BritishMuseum_00000021.jpg],2[BritishMuseum_00000092.jpg],3[BritishMuseum_00000062.jpg],3[BritishMuseum_00000040.jpg],3[BritishMuseum_00000063.jpg],2[BritishMuseum_00000055.jpg],2[BritishMuseum_00000051.jpg],4[BritishMuseum_00000015.jpg],4[BritishMuseum_00000000.jpg],4[BritishMuseum_00000047.jpg],2[BritishMuseum_00000143.jpg],1[BritishMuseum_00000160.jpg],1[BritishMuseum_00000159.jpg],3[BritishMuseum_00000177.jpg],3[BritishMuseum_00000144.jpg],3[BritishMuseum_00000145.jpg],2[BritishMuseum_00000147.jpg],2[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
3XBXDSS8889II31XH4MJ16O5ORDXL6,"BritishMuseum_60-89","sample#command",35DR22AR5EA3OJ9111NKU4P9QQ5X3S,A2NLXSVTS2UJ55,Approved,"Sun Sep 25 08:53:52 PDT 2016","Sun Sep 25 08:59:23 PDT 2016",2[BritishMuseum_00000070.jpg],4[BritishMuseum_00000163.jpg],1[BritishMuseum_00000124.jpg],1[BritishMuseum_00000043.jpg],2[BritishMuseum_00000022.jpg],1[BritishMuseum_00000148.jpg],2[BritishMuseum_00000025.jpg],2[BritishMuseum_00000138.jpg],4[BritishMuseum_00000002.jpg],3[BritishMuseum_00000004.jpg],4[BritishMuseum_00000003.jpg],5[BritishMuseum_00000021.jpg],4[BritishMuseum_00000092.jpg],2[BritishMuseum_00000062.jpg],4[BritishMuseum_00000040.jpg],2[BritishMuseum_00000063.jpg],5[BritishMuseum_00000055.jpg],4[BritishMuseum_00000051.jpg],3[BritishMuseum_00000015.jpg],5[BritishMuseum_00000000.jpg],4[BritishMuseum_00000047.jpg],1[BritishMuseum_00000143.jpg],1[BritishMuseum_00000160.jpg],4[BritishMuseum_00000159.jpg],4[BritishMuseum_00000177.jpg],4[BritishMuseum_00000144.jpg],5[BritishMuseum_00000145.jpg],1[BritishMuseum_00000147.jpg],1[BritishMuseum_00000179.jpg],4[BritishMuseum_00000162.jpg],
