HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",30H4UDGLT38Z1WFKLSIIWQCCOIVMPR,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:49 PDT 2016","Sun Sep 25 01:50:01 PDT 2016",5[BuckinghamPalace_00000121.jpg],5[BuckinghamPalace_00000184.jpg],5[BuckinghamPalace_200000185.jpg],5[BuckinghamPalace_200000033.jpg],5[BuckinghamPalace_00000247.jpg],5[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],5[BuckinghamPalace_00000261.jpg],5[BuckinghamPalace_200000115.jpg],5[BuckinghamPalace_200000144.jpg],5[BuckinghamPalace_200000091.jpg],5[BuckinghamPalace_200000018.jpg],5[BuckinghamPalace_200000067.jpg],5[BuckinghamPalace_00000226.jpg],5[BuckinghamPalace_00000213.jpg],5[BuckinghamPalace_200000188.jpg],5[BuckinghamPalace_00000221.jpg],5[BuckinghamPalace_00000101.jpg],5[BuckinghamPalace_00000080.jpg],5[BuckinghamPalace_00000263.jpg],5[BuckinghamPalace_00000210.jpg],5[BuckinghamPalace_200000003.jpg],5[BuckinghamPalace_200000208.jpg],5[BuckinghamPalace_200000043.jpg],5[BuckinghamPalace_200000069.jpg],5[BuckinghamPalace_200000137.jpg],5[BuckinghamPalace_00000195.jpg],5[BuckinghamPalace_200000190.jpg],4[BuckinghamPalace_200000135.jpg],5[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3C44YUNSI2FWX2978ZJFD0PIF43PDC,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:30 PDT 2016","Sun Sep 25 02:02:04 PDT 2016",4[BuckinghamPalace_00000121.jpg],4[BuckinghamPalace_00000184.jpg],3[BuckinghamPalace_200000185.jpg],4[BuckinghamPalace_200000033.jpg],4[BuckinghamPalace_00000247.jpg],4[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],4[BuckinghamPalace_00000261.jpg],3[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],4[BuckinghamPalace_200000091.jpg],4[BuckinghamPalace_200000018.jpg],4[BuckinghamPalace_200000067.jpg],3[BuckinghamPalace_00000226.jpg],4[BuckinghamPalace_00000213.jpg],4[BuckinghamPalace_200000188.jpg],3[BuckinghamPalace_00000221.jpg],4[BuckinghamPalace_00000101.jpg],3[BuckinghamPalace_00000080.jpg],3[BuckinghamPalace_00000263.jpg],3[BuckinghamPalace_00000210.jpg],3[BuckinghamPalace_200000003.jpg],4[BuckinghamPalace_200000208.jpg],4[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],3[BuckinghamPalace_200000137.jpg],3[BuckinghamPalace_00000195.jpg],3[BuckinghamPalace_200000190.jpg],3[BuckinghamPalace_200000135.jpg],4[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3TMFV4NEP94A0GAH3DMUJ2JDXAC8WN,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:37:37 PDT 2016","Sun Sep 25 02:44:33 PDT 2016",5[BuckinghamPalace_00000121.jpg],3[BuckinghamPalace_00000184.jpg],3[BuckinghamPalace_200000185.jpg],3[BuckinghamPalace_200000033.jpg],4[BuckinghamPalace_00000247.jpg],4[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],4[BuckinghamPalace_00000261.jpg],3[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],4[BuckinghamPalace_200000091.jpg],4[BuckinghamPalace_200000018.jpg],4[BuckinghamPalace_200000067.jpg],4[BuckinghamPalace_00000226.jpg],3[BuckinghamPalace_00000213.jpg],3[BuckinghamPalace_200000188.jpg],2[BuckinghamPalace_00000221.jpg],2[BuckinghamPalace_00000101.jpg],2[BuckinghamPalace_00000080.jpg],2[BuckinghamPalace_00000263.jpg],2[BuckinghamPalace_00000210.jpg],2[BuckinghamPalace_200000003.jpg],3[BuckinghamPalace_200000208.jpg],3[BuckinghamPalace_200000043.jpg],4[BuckinghamPalace_200000069.jpg],3[BuckinghamPalace_200000137.jpg],4[BuckinghamPalace_00000195.jpg],4[BuckinghamPalace_200000190.jpg],4[BuckinghamPalace_200000135.jpg],4[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3DHE4R9OCX13HFIS8R9BN8KMHMYG2X,A2UFHATEG76AO5,Approved,"Sun Sep 25 05:15:19 PDT 2016","Sun Sep 25 05:19:38 PDT 2016",3[BuckinghamPalace_00000121.jpg],1[BuckinghamPalace_00000184.jpg],1[BuckinghamPalace_200000185.jpg],4[BuckinghamPalace_200000033.jpg],2[BuckinghamPalace_00000247.jpg],1[BuckinghamPalace_200000034.jpg],3[BuckinghamPalace_00000158.jpg],1[BuckinghamPalace_00000261.jpg],2[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],4[BuckinghamPalace_200000091.jpg],2[BuckinghamPalace_200000018.jpg],1[BuckinghamPalace_200000067.jpg],1[BuckinghamPalace_00000226.jpg],2[BuckinghamPalace_00000213.jpg],2[BuckinghamPalace_200000188.jpg],5[BuckinghamPalace_00000221.jpg],2[BuckinghamPalace_00000101.jpg],2[BuckinghamPalace_00000080.jpg],3[BuckinghamPalace_00000263.jpg],2[BuckinghamPalace_00000210.jpg],2[BuckinghamPalace_200000003.jpg],1[BuckinghamPalace_200000208.jpg],4[BuckinghamPalace_200000043.jpg],2[BuckinghamPalace_200000069.jpg],2[BuckinghamPalace_200000137.jpg],1[BuckinghamPalace_00000195.jpg],2[BuckinghamPalace_200000190.jpg],2[BuckinghamPalace_200000135.jpg],2[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3UOUJI6MTE4NNDMKGLJLHDF933EUXM,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:41:27 PDT 2016","Sun Sep 25 05:47:31 PDT 2016",4[BuckinghamPalace_00000121.jpg],3[BuckinghamPalace_00000184.jpg],5[BuckinghamPalace_200000185.jpg],5[BuckinghamPalace_200000033.jpg],5[BuckinghamPalace_00000247.jpg],4[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],4[BuckinghamPalace_00000261.jpg],4[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],4[BuckinghamPalace_200000091.jpg],4[BuckinghamPalace_200000018.jpg],4[BuckinghamPalace_200000067.jpg],3[BuckinghamPalace_00000226.jpg],3[BuckinghamPalace_00000213.jpg],3[BuckinghamPalace_200000188.jpg],3[BuckinghamPalace_00000221.jpg],4[BuckinghamPalace_00000101.jpg],4[BuckinghamPalace_00000080.jpg],3[BuckinghamPalace_00000263.jpg],3[BuckinghamPalace_00000210.jpg],4[BuckinghamPalace_200000003.jpg],4[BuckinghamPalace_200000208.jpg],5[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],3[BuckinghamPalace_200000137.jpg],4[BuckinghamPalace_00000195.jpg],3[BuckinghamPalace_200000190.jpg],3[BuckinghamPalace_200000135.jpg],3[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3DI28L7YXB4Y8G45JSJ9IMP5C0AE12,AZDGLMIQ833MI,Approved,"Sun Sep 25 07:15:41 PDT 2016","Sun Sep 25 07:18:43 PDT 2016",2[BuckinghamPalace_00000121.jpg],1[BuckinghamPalace_00000184.jpg],1[BuckinghamPalace_200000185.jpg],4[BuckinghamPalace_200000033.jpg],4[BuckinghamPalace_00000247.jpg],1[BuckinghamPalace_200000034.jpg],1[BuckinghamPalace_00000158.jpg],1[BuckinghamPalace_00000261.jpg],1[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],1[BuckinghamPalace_200000091.jpg],4[BuckinghamPalace_200000018.jpg],3[BuckinghamPalace_200000067.jpg],1[BuckinghamPalace_00000226.jpg],4[BuckinghamPalace_00000213.jpg],2[BuckinghamPalace_200000188.jpg],2[BuckinghamPalace_00000221.jpg],2[BuckinghamPalace_00000101.jpg],4[BuckinghamPalace_00000080.jpg],4[BuckinghamPalace_00000263.jpg],2[BuckinghamPalace_00000210.jpg],2[BuckinghamPalace_200000003.jpg],5[BuckinghamPalace_200000208.jpg],5[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],3[BuckinghamPalace_200000137.jpg],3[BuckinghamPalace_00000195.jpg],4[BuckinghamPalace_200000190.jpg],4[BuckinghamPalace_200000135.jpg],4[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3EF8EXOTT2L6JWQXXTU0F22XH8A1JE,A311BTV53IKX3D,Approved,"Sun Sep 25 08:14:50 PDT 2016","Sun Sep 25 08:17:05 PDT 2016",3[BuckinghamPalace_00000121.jpg],2[BuckinghamPalace_00000184.jpg],3[BuckinghamPalace_200000185.jpg],5[BuckinghamPalace_200000033.jpg],3[BuckinghamPalace_00000247.jpg],4[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],4[BuckinghamPalace_00000261.jpg],3[BuckinghamPalace_200000115.jpg],3[BuckinghamPalace_200000144.jpg],3[BuckinghamPalace_200000091.jpg],3[BuckinghamPalace_200000018.jpg],4[BuckinghamPalace_200000067.jpg],3[BuckinghamPalace_00000226.jpg],3[BuckinghamPalace_00000213.jpg],3[BuckinghamPalace_200000188.jpg],3[BuckinghamPalace_00000221.jpg],4[BuckinghamPalace_00000101.jpg],3[BuckinghamPalace_00000080.jpg],3[BuckinghamPalace_00000263.jpg],3[BuckinghamPalace_00000210.jpg],4[BuckinghamPalace_200000003.jpg],3[BuckinghamPalace_200000208.jpg],3[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],3[BuckinghamPalace_200000137.jpg],5[BuckinghamPalace_00000195.jpg],4[BuckinghamPalace_200000190.jpg],4[BuckinghamPalace_200000135.jpg],4[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3483FV8BEF91KMTMWE0PBH7XN8726T,A1JRC2XF9U6FT3,Approved,"Sun Sep 25 08:58:22 PDT 2016","Sun Sep 25 09:01:18 PDT 2016",3[BuckinghamPalace_00000121.jpg],5[BuckinghamPalace_00000184.jpg],1[BuckinghamPalace_200000185.jpg],5[BuckinghamPalace_200000033.jpg],4[BuckinghamPalace_00000247.jpg],2[BuckinghamPalace_200000034.jpg],4[BuckinghamPalace_00000158.jpg],5[BuckinghamPalace_00000261.jpg],2[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],2[BuckinghamPalace_200000091.jpg],2[BuckinghamPalace_200000018.jpg],3[BuckinghamPalace_200000067.jpg],5[BuckinghamPalace_00000226.jpg],5[BuckinghamPalace_00000213.jpg],5[BuckinghamPalace_200000188.jpg],4[BuckinghamPalace_00000221.jpg],3[BuckinghamPalace_00000101.jpg],3[BuckinghamPalace_00000080.jpg],4[BuckinghamPalace_00000263.jpg],4[BuckinghamPalace_00000210.jpg],4[BuckinghamPalace_200000003.jpg],3[BuckinghamPalace_200000208.jpg],3[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],2[BuckinghamPalace_200000137.jpg],2[BuckinghamPalace_00000195.jpg],3[BuckinghamPalace_200000190.jpg],3[BuckinghamPalace_200000135.jpg],3[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3JAOYWH7VJUU3RHS4RL6ANX8J96L9C,A2T01LQBGRSCDF,Approved,"Sun Sep 25 09:01:46 PDT 2016","Sun Sep 25 09:06:32 PDT 2016",1[BuckinghamPalace_00000121.jpg],1[BuckinghamPalace_00000184.jpg],1[BuckinghamPalace_200000185.jpg],1[BuckinghamPalace_200000033.jpg],1[BuckinghamPalace_00000247.jpg],1[BuckinghamPalace_200000034.jpg],1[BuckinghamPalace_00000158.jpg],1[BuckinghamPalace_00000261.jpg],1[BuckinghamPalace_200000115.jpg],1[BuckinghamPalace_200000144.jpg],1[BuckinghamPalace_200000091.jpg],1[BuckinghamPalace_200000018.jpg],1[BuckinghamPalace_200000067.jpg],1[BuckinghamPalace_00000226.jpg],1[BuckinghamPalace_00000213.jpg],1[BuckinghamPalace_200000188.jpg],1[BuckinghamPalace_00000221.jpg],1[BuckinghamPalace_00000101.jpg],2[BuckinghamPalace_00000080.jpg],1[BuckinghamPalace_00000263.jpg],1[BuckinghamPalace_00000210.jpg],2[BuckinghamPalace_200000003.jpg],2[BuckinghamPalace_200000208.jpg],3[BuckinghamPalace_200000043.jpg],1[BuckinghamPalace_200000069.jpg],1[BuckinghamPalace_200000137.jpg],2[BuckinghamPalace_00000195.jpg],2[BuckinghamPalace_200000190.jpg],2[BuckinghamPalace_200000135.jpg],2[BuckinghamPalace_200000136.jpg],
329E6HTMSWSVIZC1CF3UFQMMSW83KA,"BuckinghamPalace_300-329","sample#command",3T3IWE1XG7DOE36JU2YJI9XENN2QTE,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:15:55 PDT 2016","Sun Sep 25 10:17:21 PDT 2016",5[BuckinghamPalace_00000121.jpg],2[BuckinghamPalace_00000184.jpg],1[BuckinghamPalace_200000185.jpg],3[BuckinghamPalace_200000033.jpg],2[BuckinghamPalace_00000247.jpg],3[BuckinghamPalace_200000034.jpg],3[BuckinghamPalace_00000158.jpg],4[BuckinghamPalace_00000261.jpg],3[BuckinghamPalace_200000115.jpg],4[BuckinghamPalace_200000144.jpg],3[BuckinghamPalace_200000091.jpg],4[BuckinghamPalace_200000018.jpg],4[BuckinghamPalace_200000067.jpg],3[BuckinghamPalace_00000226.jpg],4[BuckinghamPalace_00000213.jpg],4[BuckinghamPalace_200000188.jpg],1[BuckinghamPalace_00000221.jpg],3[BuckinghamPalace_00000101.jpg],3[BuckinghamPalace_00000080.jpg],3[BuckinghamPalace_00000263.jpg],2[BuckinghamPalace_00000210.jpg],3[BuckinghamPalace_200000003.jpg],1[BuckinghamPalace_200000208.jpg],3[BuckinghamPalace_200000043.jpg],3[BuckinghamPalace_200000069.jpg],2[BuckinghamPalace_200000137.jpg],3[BuckinghamPalace_00000195.jpg],4[BuckinghamPalace_200000190.jpg],3[BuckinghamPalace_200000135.jpg],2[BuckinghamPalace_200000136.jpg],
