HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",388U7OUMF8RNAVOS9FZ93O5EMXI0RM,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:28:03 PDT 2016","Sun Sep 25 01:29:49 PDT 2016",5[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],3[BuckinghamPalace_200000055.jpg],4[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],4[BuckinghamPalace_00000237.jpg],4[BuckinghamPalace_00000103.jpg],4[BuckinghamPalace_00000264.jpg],3[BuckinghamPalace_00000068.jpg],4[BuckinghamPalace_200000029.jpg],4[BuckinghamPalace_200000076.jpg],4[BuckinghamPalace_00000039.jpg],4[BuckinghamPalace_00000160.jpg],4[BuckinghamPalace_200000010.jpg],4[BuckinghamPalace_200000030.jpg],4[BuckinghamPalace_00000036.jpg],4[BuckinghamPalace_00000037.jpg],4[BuckinghamPalace_00000083.jpg],4[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],4[BuckinghamPalace_200000053.jpg],3[BuckinghamPalace_00000171.jpg],3[BuckinghamPalace_00000082.jpg],5[BuckinghamPalace_00000219.jpg],4[BuckinghamPalace_200000051.jpg],3[BuckinghamPalace_00000183.jpg],3[BuckinghamPalace_00000151.jpg],3[BuckinghamPalace_200000062.jpg],3[BuckinghamPalace_00000246.jpg],3[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3YT88D1N09OX4JAU2I8V4AH7UH83KR,AURF17VKAGMY5,Approved,"Sun Sep 25 01:29:17 PDT 2016","Sun Sep 25 01:38:09 PDT 2016",4[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],3[BuckinghamPalace_200000055.jpg],4[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],4[BuckinghamPalace_00000237.jpg],3[BuckinghamPalace_00000103.jpg],3[BuckinghamPalace_00000264.jpg],4[BuckinghamPalace_00000068.jpg],1[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],5[BuckinghamPalace_00000039.jpg],3[BuckinghamPalace_00000160.jpg],2[BuckinghamPalace_200000010.jpg],4[BuckinghamPalace_200000030.jpg],4[BuckinghamPalace_00000036.jpg],5[BuckinghamPalace_00000037.jpg],1[BuckinghamPalace_00000083.jpg],1[BuckinghamPalace_00000152.jpg],4[BuckinghamPalace_00000112.jpg],4[BuckinghamPalace_200000053.jpg],3[BuckinghamPalace_00000171.jpg],1[BuckinghamPalace_00000082.jpg],2[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],2[BuckinghamPalace_00000183.jpg],4[BuckinghamPalace_00000151.jpg],3[BuckinghamPalace_200000062.jpg],4[BuckinghamPalace_00000246.jpg],4[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3CFVK00FWMB7L8FU6KIUQD66T8FL6I,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:21 PDT 2016","Sun Sep 25 01:40:33 PDT 2016",4[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],4[BuckinghamPalace_200000055.jpg],4[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],5[BuckinghamPalace_00000237.jpg],4[BuckinghamPalace_00000103.jpg],4[BuckinghamPalace_00000264.jpg],4[BuckinghamPalace_00000068.jpg],4[BuckinghamPalace_200000029.jpg],4[BuckinghamPalace_200000076.jpg],4[BuckinghamPalace_00000039.jpg],4[BuckinghamPalace_00000160.jpg],4[BuckinghamPalace_200000010.jpg],4[BuckinghamPalace_200000030.jpg],4[BuckinghamPalace_00000036.jpg],4[BuckinghamPalace_00000037.jpg],3[BuckinghamPalace_00000083.jpg],4[BuckinghamPalace_00000152.jpg],4[BuckinghamPalace_00000112.jpg],5[BuckinghamPalace_200000053.jpg],4[BuckinghamPalace_00000171.jpg],4[BuckinghamPalace_00000082.jpg],4[BuckinghamPalace_00000219.jpg],4[BuckinghamPalace_200000051.jpg],4[BuckinghamPalace_00000183.jpg],4[BuckinghamPalace_00000151.jpg],4[BuckinghamPalace_200000062.jpg],4[BuckinghamPalace_00000246.jpg],4[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3UN61F00HXFM52AT6L5LKJ1535TR5Y,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:42:00 PDT 2016","Sun Sep 25 01:42:54 PDT 2016",5[BuckinghamPalace_200000079.jpg],5[BuckinghamPalace_200000097.jpg],5[BuckinghamPalace_200000055.jpg],5[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],5[BuckinghamPalace_00000237.jpg],5[BuckinghamPalace_00000103.jpg],5[BuckinghamPalace_00000264.jpg],5[BuckinghamPalace_00000068.jpg],5[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],5[BuckinghamPalace_00000039.jpg],5[BuckinghamPalace_00000160.jpg],5[BuckinghamPalace_200000010.jpg],5[BuckinghamPalace_200000030.jpg],5[BuckinghamPalace_00000036.jpg],5[BuckinghamPalace_00000037.jpg],5[BuckinghamPalace_00000083.jpg],5[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],5[BuckinghamPalace_200000053.jpg],5[BuckinghamPalace_00000171.jpg],5[BuckinghamPalace_00000082.jpg],5[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],5[BuckinghamPalace_00000183.jpg],5[BuckinghamPalace_00000151.jpg],5[BuckinghamPalace_200000062.jpg],5[BuckinghamPalace_00000246.jpg],5[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3QEMNNSB2YP7RW57CDPYDEYXFAZ7DP,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:19:26 PDT 2016","Sun Sep 25 02:21:34 PDT 2016",2[BuckinghamPalace_200000079.jpg],3[BuckinghamPalace_200000097.jpg],1[BuckinghamPalace_200000055.jpg],4[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],1[BuckinghamPalace_00000237.jpg],2[BuckinghamPalace_00000103.jpg],1[BuckinghamPalace_00000264.jpg],1[BuckinghamPalace_00000068.jpg],1[BuckinghamPalace_200000029.jpg],2[BuckinghamPalace_200000076.jpg],3[BuckinghamPalace_00000039.jpg],3[BuckinghamPalace_00000160.jpg],2[BuckinghamPalace_200000010.jpg],2[BuckinghamPalace_200000030.jpg],5[BuckinghamPalace_00000036.jpg],2[BuckinghamPalace_00000037.jpg],1[BuckinghamPalace_00000083.jpg],1[BuckinghamPalace_00000152.jpg],2[BuckinghamPalace_00000112.jpg],3[BuckinghamPalace_200000053.jpg],4[BuckinghamPalace_00000171.jpg],2[BuckinghamPalace_00000082.jpg],2[BuckinghamPalace_00000219.jpg],2[BuckinghamPalace_200000051.jpg],4[BuckinghamPalace_00000183.jpg],2[BuckinghamPalace_00000151.jpg],1[BuckinghamPalace_200000062.jpg],3[BuckinghamPalace_00000246.jpg],5[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3OS4RQUCRA5RRSMTG0W46GNEAD6FBU,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:25:22 PDT 2016","Sun Sep 25 02:27:11 PDT 2016",2[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],1[BuckinghamPalace_200000055.jpg],3[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],5[BuckinghamPalace_00000237.jpg],4[BuckinghamPalace_00000103.jpg],5[BuckinghamPalace_00000264.jpg],5[BuckinghamPalace_00000068.jpg],1[BuckinghamPalace_200000029.jpg],4[BuckinghamPalace_200000076.jpg],4[BuckinghamPalace_00000039.jpg],4[BuckinghamPalace_00000160.jpg],5[BuckinghamPalace_200000010.jpg],5[BuckinghamPalace_200000030.jpg],2[BuckinghamPalace_00000036.jpg],4[BuckinghamPalace_00000037.jpg],2[BuckinghamPalace_00000083.jpg],1[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],3[BuckinghamPalace_200000053.jpg],2[BuckinghamPalace_00000171.jpg],4[BuckinghamPalace_00000082.jpg],3[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],4[BuckinghamPalace_00000183.jpg],4[BuckinghamPalace_00000151.jpg],2[BuckinghamPalace_200000062.jpg],1[BuckinghamPalace_00000246.jpg],2[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",358UUM7WR0T1S6OCUEKII3F1UBRR7G,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:52:43 PDT 2016","Sun Sep 25 02:54:02 PDT 2016",5[BuckinghamPalace_200000079.jpg],5[BuckinghamPalace_200000097.jpg],5[BuckinghamPalace_200000055.jpg],5[BuckinghamPalace_200000078.jpg],5[BuckinghamPalace_00000206.jpg],4[BuckinghamPalace_00000237.jpg],5[BuckinghamPalace_00000103.jpg],5[BuckinghamPalace_00000264.jpg],5[BuckinghamPalace_00000068.jpg],5[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],5[BuckinghamPalace_00000039.jpg],5[BuckinghamPalace_00000160.jpg],5[BuckinghamPalace_200000010.jpg],5[BuckinghamPalace_200000030.jpg],5[BuckinghamPalace_00000036.jpg],5[BuckinghamPalace_00000037.jpg],5[BuckinghamPalace_00000083.jpg],5[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],5[BuckinghamPalace_200000053.jpg],4[BuckinghamPalace_00000171.jpg],4[BuckinghamPalace_00000082.jpg],3[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],4[BuckinghamPalace_00000183.jpg],5[BuckinghamPalace_00000151.jpg],5[BuckinghamPalace_200000062.jpg],5[BuckinghamPalace_00000246.jpg],5[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3KRVW3HTZOBWEOVCD9MCRVHNB25MSA,A3638VYX5U9EPT,Approved,"Sun Sep 25 02:52:37 PDT 2016","Sun Sep 25 02:56:03 PDT 2016",4[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],2[BuckinghamPalace_200000055.jpg],5[BuckinghamPalace_200000078.jpg],2[BuckinghamPalace_00000206.jpg],2[BuckinghamPalace_00000237.jpg],5[BuckinghamPalace_00000103.jpg],1[BuckinghamPalace_00000264.jpg],5[BuckinghamPalace_00000068.jpg],2[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],4[BuckinghamPalace_00000039.jpg],5[BuckinghamPalace_00000160.jpg],2[BuckinghamPalace_200000010.jpg],5[BuckinghamPalace_200000030.jpg],5[BuckinghamPalace_00000036.jpg],4[BuckinghamPalace_00000037.jpg],1[BuckinghamPalace_00000083.jpg],2[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],2[BuckinghamPalace_200000053.jpg],4[BuckinghamPalace_00000171.jpg],4[BuckinghamPalace_00000082.jpg],3[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],5[BuckinghamPalace_00000183.jpg],5[BuckinghamPalace_00000151.jpg],4[BuckinghamPalace_200000062.jpg],4[BuckinghamPalace_00000246.jpg],1[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",3SB5N7Y3O4UWL5FET45X4KR7KOC0GV,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:33:23 PDT 2016","Sun Sep 25 03:34:37 PDT 2016",5[BuckinghamPalace_200000079.jpg],5[BuckinghamPalace_200000097.jpg],5[BuckinghamPalace_200000055.jpg],5[BuckinghamPalace_200000078.jpg],5[BuckinghamPalace_00000206.jpg],5[BuckinghamPalace_00000237.jpg],5[BuckinghamPalace_00000103.jpg],5[BuckinghamPalace_00000264.jpg],5[BuckinghamPalace_00000068.jpg],4[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],5[BuckinghamPalace_00000039.jpg],5[BuckinghamPalace_00000160.jpg],5[BuckinghamPalace_200000010.jpg],5[BuckinghamPalace_200000030.jpg],5[BuckinghamPalace_00000036.jpg],5[BuckinghamPalace_00000037.jpg],5[BuckinghamPalace_00000083.jpg],5[BuckinghamPalace_00000152.jpg],5[BuckinghamPalace_00000112.jpg],5[BuckinghamPalace_200000053.jpg],5[BuckinghamPalace_00000171.jpg],5[BuckinghamPalace_00000082.jpg],5[BuckinghamPalace_00000219.jpg],5[BuckinghamPalace_200000051.jpg],5[BuckinghamPalace_00000183.jpg],5[BuckinghamPalace_00000151.jpg],5[BuckinghamPalace_200000062.jpg],5[BuckinghamPalace_00000246.jpg],5[BuckinghamPalace_200000117.jpg],
335HHSX8CDV2Y1DQZJ69F7S6RSTDHE,"BuckinghamPalace_240-269","sample#command",336KAV9KYRI3363S2XVHU8RQMIM2YF,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:34:48 PDT 2016","Sun Sep 25 03:40:01 PDT 2016",4[BuckinghamPalace_200000079.jpg],4[BuckinghamPalace_200000097.jpg],3[BuckinghamPalace_200000055.jpg],3[BuckinghamPalace_200000078.jpg],4[BuckinghamPalace_00000206.jpg],4[BuckinghamPalace_00000237.jpg],4[BuckinghamPalace_00000103.jpg],4[BuckinghamPalace_00000264.jpg],4[BuckinghamPalace_00000068.jpg],2[BuckinghamPalace_200000029.jpg],5[BuckinghamPalace_200000076.jpg],2[BuckinghamPalace_00000039.jpg],3[BuckinghamPalace_00000160.jpg],2[BuckinghamPalace_200000010.jpg],4[BuckinghamPalace_200000030.jpg],4[BuckinghamPalace_00000036.jpg],3[BuckinghamPalace_00000037.jpg],3[BuckinghamPalace_00000083.jpg],3[BuckinghamPalace_00000152.jpg],4[BuckinghamPalace_00000112.jpg],5[BuckinghamPalace_200000053.jpg],3[BuckinghamPalace_00000171.jpg],3[BuckinghamPalace_00000082.jpg],3[BuckinghamPalace_00000219.jpg],3[BuckinghamPalace_200000051.jpg],3[BuckinghamPalace_00000183.jpg],3[BuckinghamPalace_00000151.jpg],3[BuckinghamPalace_200000062.jpg],3[BuckinghamPalace_00000246.jpg],3[BuckinghamPalace_200000117.jpg],
