HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3ZV9H2YQQEXOZJ4BRWRYSLB2HOI3WO,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:51 PDT 2016","Sun Sep 25 01:50:37 PDT 2016",5[BuckinghamPalace_00000148.jpg],5[BuckinghamPalace_200000082.jpg],5[BuckinghamPalace_200000023.jpg],5[BuckinghamPalace_00000091.jpg],4[BuckinghamPalace_200000042.jpg],5[BuckinghamPalace_00000190.jpg],5[BuckinghamPalace_00000258.jpg],5[BuckinghamPalace_00000135.jpg],5[BuckinghamPalace_00000146.jpg],5[BuckinghamPalace_00000073.jpg],5[BuckinghamPalace_200000184.jpg],5[BuckinghamPalace_200000041.jpg],5[BuckinghamPalace_200000210.jpg],5[BuckinghamPalace_00000065.jpg],5[BuckinghamPalace_00000102.jpg],5[BuckinghamPalace_00000090.jpg],5[BuckinghamPalace_00000089.jpg],5[BuckinghamPalace_00000085.jpg],5[BuckinghamPalace_200000189.jpg],5[BuckinghamPalace_200000040.jpg],5[BuckinghamPalace_00000088.jpg],5[BuckinghamPalace_00000062.jpg],5[BuckinghamPalace_200000004.jpg],5[BuckinghamPalace_00000042.jpg],5[BuckinghamPalace_00000119.jpg],5[BuckinghamPalace_200000002.jpg],5[BuckinghamPalace_00000132.jpg],5[BuckinghamPalace_00000197.jpg],5[BuckinghamPalace_00000099.jpg],5[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3YDGXNSEO0KYRERXT7GBOA0MDHB48V,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:41 PDT 2016","Sun Sep 25 02:07:21 PDT 2016",4[BuckinghamPalace_00000148.jpg],3[BuckinghamPalace_200000082.jpg],4[BuckinghamPalace_200000023.jpg],4[BuckinghamPalace_00000091.jpg],4[BuckinghamPalace_200000042.jpg],3[BuckinghamPalace_00000190.jpg],4[BuckinghamPalace_00000258.jpg],4[BuckinghamPalace_00000135.jpg],4[BuckinghamPalace_00000146.jpg],4[BuckinghamPalace_00000073.jpg],4[BuckinghamPalace_200000184.jpg],4[BuckinghamPalace_200000041.jpg],4[BuckinghamPalace_200000210.jpg],4[BuckinghamPalace_00000065.jpg],5[BuckinghamPalace_00000102.jpg],4[BuckinghamPalace_00000090.jpg],4[BuckinghamPalace_00000089.jpg],4[BuckinghamPalace_00000085.jpg],4[BuckinghamPalace_200000189.jpg],3[BuckinghamPalace_200000040.jpg],4[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],4[BuckinghamPalace_200000004.jpg],4[BuckinghamPalace_00000042.jpg],4[BuckinghamPalace_00000119.jpg],4[BuckinghamPalace_200000002.jpg],5[BuckinghamPalace_00000132.jpg],4[BuckinghamPalace_00000197.jpg],5[BuckinghamPalace_00000099.jpg],4[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",37C0GNLMHGTONWR2T3K670Y1KZG6DQ,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:37:05 PDT 2016","Sun Sep 25 02:42:06 PDT 2016",4[BuckinghamPalace_00000148.jpg],5[BuckinghamPalace_200000082.jpg],5[BuckinghamPalace_200000023.jpg],5[BuckinghamPalace_00000091.jpg],4[BuckinghamPalace_200000042.jpg],2[BuckinghamPalace_00000190.jpg],3[BuckinghamPalace_00000258.jpg],2[BuckinghamPalace_00000135.jpg],4[BuckinghamPalace_00000146.jpg],5[BuckinghamPalace_00000073.jpg],4[BuckinghamPalace_200000184.jpg],4[BuckinghamPalace_200000041.jpg],5[BuckinghamPalace_200000210.jpg],4[BuckinghamPalace_00000065.jpg],4[BuckinghamPalace_00000102.jpg],4[BuckinghamPalace_00000090.jpg],4[BuckinghamPalace_00000089.jpg],4[BuckinghamPalace_00000085.jpg],4[BuckinghamPalace_200000189.jpg],4[BuckinghamPalace_200000040.jpg],4[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],4[BuckinghamPalace_200000004.jpg],4[BuckinghamPalace_00000042.jpg],4[BuckinghamPalace_00000119.jpg],4[BuckinghamPalace_200000002.jpg],4[BuckinghamPalace_00000132.jpg],4[BuckinghamPalace_00000197.jpg],4[BuckinghamPalace_00000099.jpg],2[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",38JBBYETQP0F0F1O6A2BGKW8OKFE4A,A2UFHATEG76AO5,Approved,"Sun Sep 25 05:20:08 PDT 2016","Sun Sep 25 05:24:39 PDT 2016",5[BuckinghamPalace_00000148.jpg],4[BuckinghamPalace_200000082.jpg],3[BuckinghamPalace_200000023.jpg],2[BuckinghamPalace_00000091.jpg],2[BuckinghamPalace_200000042.jpg],3[BuckinghamPalace_00000190.jpg],5[BuckinghamPalace_00000258.jpg],3[BuckinghamPalace_00000135.jpg],3[BuckinghamPalace_00000146.jpg],4[BuckinghamPalace_00000073.jpg],3[BuckinghamPalace_200000184.jpg],4[BuckinghamPalace_200000041.jpg],1[BuckinghamPalace_200000210.jpg],2[BuckinghamPalace_00000065.jpg],2[BuckinghamPalace_00000102.jpg],2[BuckinghamPalace_00000090.jpg],2[BuckinghamPalace_00000089.jpg],2[BuckinghamPalace_00000085.jpg],2[BuckinghamPalace_200000189.jpg],4[BuckinghamPalace_200000040.jpg],3[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],2[BuckinghamPalace_200000004.jpg],4[BuckinghamPalace_00000042.jpg],2[BuckinghamPalace_00000119.jpg],3[BuckinghamPalace_200000002.jpg],1[BuckinghamPalace_00000132.jpg],3[BuckinghamPalace_00000197.jpg],3[BuckinghamPalace_00000099.jpg],4[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3TVRFO09GL5K4NZQ77RKQQJQQCLXLV,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:47:32 PDT 2016","Sun Sep 25 05:48:38 PDT 2016",5[BuckinghamPalace_00000148.jpg],5[BuckinghamPalace_200000082.jpg],5[BuckinghamPalace_200000023.jpg],5[BuckinghamPalace_00000091.jpg],5[BuckinghamPalace_200000042.jpg],5[BuckinghamPalace_00000190.jpg],3[BuckinghamPalace_00000258.jpg],5[BuckinghamPalace_00000135.jpg],4[BuckinghamPalace_00000146.jpg],5[BuckinghamPalace_00000073.jpg],3[BuckinghamPalace_200000184.jpg],3[BuckinghamPalace_200000041.jpg],4[BuckinghamPalace_200000210.jpg],5[BuckinghamPalace_00000065.jpg],5[BuckinghamPalace_00000102.jpg],5[BuckinghamPalace_00000090.jpg],5[BuckinghamPalace_00000089.jpg],5[BuckinghamPalace_00000085.jpg],5[BuckinghamPalace_200000189.jpg],5[BuckinghamPalace_200000040.jpg],5[BuckinghamPalace_00000088.jpg],5[BuckinghamPalace_00000062.jpg],5[BuckinghamPalace_200000004.jpg],5[BuckinghamPalace_00000042.jpg],5[BuckinghamPalace_00000119.jpg],5[BuckinghamPalace_200000002.jpg],5[BuckinghamPalace_00000132.jpg],5[BuckinghamPalace_00000197.jpg],5[BuckinghamPalace_00000099.jpg],4[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3WT783CTPC7KOG2JPY63YA2BD0SCBU,A311BTV53IKX3D,Approved,"Sun Sep 25 08:17:42 PDT 2016","Sun Sep 25 08:19:54 PDT 2016",5[BuckinghamPalace_00000148.jpg],3[BuckinghamPalace_200000082.jpg],3[BuckinghamPalace_200000023.jpg],4[BuckinghamPalace_00000091.jpg],4[BuckinghamPalace_200000042.jpg],3[BuckinghamPalace_00000190.jpg],3[BuckinghamPalace_00000258.jpg],4[BuckinghamPalace_00000135.jpg],4[BuckinghamPalace_00000146.jpg],4[BuckinghamPalace_00000073.jpg],3[BuckinghamPalace_200000184.jpg],3[BuckinghamPalace_200000041.jpg],5[BuckinghamPalace_200000210.jpg],4[BuckinghamPalace_00000065.jpg],5[BuckinghamPalace_00000102.jpg],4[BuckinghamPalace_00000090.jpg],3[BuckinghamPalace_00000089.jpg],3[BuckinghamPalace_00000085.jpg],4[BuckinghamPalace_200000189.jpg],4[BuckinghamPalace_200000040.jpg],3[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],4[BuckinghamPalace_200000004.jpg],3[BuckinghamPalace_00000042.jpg],4[BuckinghamPalace_00000119.jpg],4[BuckinghamPalace_200000002.jpg],4[BuckinghamPalace_00000132.jpg],4[BuckinghamPalace_00000197.jpg],5[BuckinghamPalace_00000099.jpg],3[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3BF51CHDTW0AL1APDANFPK38ZO40H9,A2T01LQBGRSCDF,Approved,"Sun Sep 25 09:04:16 PDT 2016","Sun Sep 25 09:09:27 PDT 2016",3[BuckinghamPalace_00000148.jpg],2[BuckinghamPalace_200000082.jpg],3[BuckinghamPalace_200000023.jpg],1[BuckinghamPalace_00000091.jpg],1[BuckinghamPalace_200000042.jpg],3[BuckinghamPalace_00000190.jpg],2[BuckinghamPalace_00000258.jpg],3[BuckinghamPalace_00000135.jpg],2[BuckinghamPalace_00000146.jpg],2[BuckinghamPalace_00000073.jpg],1[BuckinghamPalace_200000184.jpg],1[BuckinghamPalace_200000041.jpg],3[BuckinghamPalace_200000210.jpg],1[BuckinghamPalace_00000065.jpg],1[BuckinghamPalace_00000102.jpg],2[BuckinghamPalace_00000090.jpg],2[BuckinghamPalace_00000089.jpg],1[BuckinghamPalace_00000085.jpg],1[BuckinghamPalace_200000189.jpg],2[BuckinghamPalace_200000040.jpg],1[BuckinghamPalace_00000088.jpg],2[BuckinghamPalace_00000062.jpg],2[BuckinghamPalace_200000004.jpg],2[BuckinghamPalace_00000042.jpg],1[BuckinghamPalace_00000119.jpg],2[BuckinghamPalace_200000002.jpg],1[BuckinghamPalace_00000132.jpg],2[BuckinghamPalace_00000197.jpg],1[BuckinghamPalace_00000099.jpg],1[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3TVRFO09GL5K4NZQ77RKQQJQQCYXL8,AIU6W5UPABT8U,Approved,"Sun Sep 25 09:18:11 PDT 2016","Sun Sep 25 09:20:58 PDT 2016",3[BuckinghamPalace_00000148.jpg],5[BuckinghamPalace_200000082.jpg],5[BuckinghamPalace_200000023.jpg],5[BuckinghamPalace_00000091.jpg],5[BuckinghamPalace_200000042.jpg],5[BuckinghamPalace_00000190.jpg],5[BuckinghamPalace_00000258.jpg],4[BuckinghamPalace_00000135.jpg],4[BuckinghamPalace_00000146.jpg],3[BuckinghamPalace_00000073.jpg],1[BuckinghamPalace_200000184.jpg],5[BuckinghamPalace_200000041.jpg],2[BuckinghamPalace_200000210.jpg],4[BuckinghamPalace_00000065.jpg],4[BuckinghamPalace_00000102.jpg],3[BuckinghamPalace_00000090.jpg],3[BuckinghamPalace_00000089.jpg],3[BuckinghamPalace_00000085.jpg],3[BuckinghamPalace_200000189.jpg],5[BuckinghamPalace_200000040.jpg],3[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],4[BuckinghamPalace_200000004.jpg],4[BuckinghamPalace_00000042.jpg],4[BuckinghamPalace_00000119.jpg],5[BuckinghamPalace_200000002.jpg],3[BuckinghamPalace_00000132.jpg],3[BuckinghamPalace_00000197.jpg],3[BuckinghamPalace_00000099.jpg],4[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3MTMREQS4W8OJ43W0B68FTP8NYUAWB,A1NV6KSQXA38MT,Approved,"Sun Sep 25 09:32:42 PDT 2016","Sun Sep 25 09:34:31 PDT 2016",5[BuckinghamPalace_00000148.jpg],4[BuckinghamPalace_200000082.jpg],4[BuckinghamPalace_200000023.jpg],4[BuckinghamPalace_00000091.jpg],3[BuckinghamPalace_200000042.jpg],4[BuckinghamPalace_00000190.jpg],1[BuckinghamPalace_00000258.jpg],3[BuckinghamPalace_00000135.jpg],2[BuckinghamPalace_00000146.jpg],4[BuckinghamPalace_00000073.jpg],1[BuckinghamPalace_200000184.jpg],1[BuckinghamPalace_200000041.jpg],2[BuckinghamPalace_200000210.jpg],5[BuckinghamPalace_00000065.jpg],4[BuckinghamPalace_00000102.jpg],5[BuckinghamPalace_00000090.jpg],5[BuckinghamPalace_00000089.jpg],3[BuckinghamPalace_00000085.jpg],5[BuckinghamPalace_200000189.jpg],4[BuckinghamPalace_200000040.jpg],4[BuckinghamPalace_00000088.jpg],4[BuckinghamPalace_00000062.jpg],4[BuckinghamPalace_200000004.jpg],3[BuckinghamPalace_00000042.jpg],3[BuckinghamPalace_00000119.jpg],1[BuckinghamPalace_200000002.jpg],5[BuckinghamPalace_00000132.jpg],5[BuckinghamPalace_00000197.jpg],3[BuckinghamPalace_00000099.jpg],2[BuckinghamPalace_00000142.jpg],
36MUZ9VAE6SQERMO9IY3U4VTZC1DEY,"BuckinghamPalace_360-389","sample#command",3VD82FOHKRE47ARST3BP4U2AK0KOCL,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 10:16:13 PDT 2016","Sun Sep 25 10:18:53 PDT 2016",2[BuckinghamPalace_00000148.jpg],3[BuckinghamPalace_200000082.jpg],2[BuckinghamPalace_200000023.jpg],2[BuckinghamPalace_00000091.jpg],2[BuckinghamPalace_200000042.jpg],2[BuckinghamPalace_00000190.jpg],1[BuckinghamPalace_00000258.jpg],2[BuckinghamPalace_00000135.jpg],2[BuckinghamPalace_00000146.jpg],2[BuckinghamPalace_00000073.jpg],3[BuckinghamPalace_200000184.jpg],2[BuckinghamPalace_200000041.jpg],2[BuckinghamPalace_200000210.jpg],2[BuckinghamPalace_00000065.jpg],2[BuckinghamPalace_00000102.jpg],3[BuckinghamPalace_00000090.jpg],2[BuckinghamPalace_00000089.jpg],3[BuckinghamPalace_00000085.jpg],2[BuckinghamPalace_200000189.jpg],3[BuckinghamPalace_200000040.jpg],2[BuckinghamPalace_00000088.jpg],2[BuckinghamPalace_00000062.jpg],3[BuckinghamPalace_200000004.jpg],2[BuckinghamPalace_00000042.jpg],2[BuckinghamPalace_00000119.jpg],3[BuckinghamPalace_200000002.jpg],3[BuckinghamPalace_00000132.jpg],2[BuckinghamPalace_00000197.jpg],2[BuckinghamPalace_00000099.jpg],2[BuckinghamPalace_00000142.jpg],
