HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",3KMS4QQVK3GSKVQNMD9X5J64X7DKFH,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:29:51 PDT 2016","Sun Sep 25 01:32:27 PDT 2016",4[BuckinghamPalace_200000114.jpg],4[BuckinghamPalace_00000046.jpg],4[BuckinghamPalace_200000075.jpg],4[BuckinghamPalace_200000071.jpg],3[BuckinghamPalace_00000044.jpg],4[BuckinghamPalace_00000045.jpg],4[BuckinghamPalace_00000211.jpg],4[BuckinghamPalace_00000149.jpg],4[BuckinghamPalace_200000086.jpg],3[BuckinghamPalace_00000139.jpg],3[BuckinghamPalace_00000049.jpg],5[BuckinghamPalace_00000047.jpg],5[BuckinghamPalace_200000070.jpg],3[BuckinghamPalace_00000204.jpg],3[BuckinghamPalace_00000053.jpg],3[BuckinghamPalace_00000057.jpg],4[BuckinghamPalace_00000048.jpg],3[BuckinghamPalace_00000109.jpg],4[BuckinghamPalace_00000244.jpg],4[BuckinghamPalace_200000207.jpg],4[BuckinghamPalace_200000059.jpg],4[BuckinghamPalace_200000146.jpg],4[BuckinghamPalace_200000177.jpg],4[BuckinghamPalace_200000191.jpg],4[BuckinghamPalace_200000161.jpg],4[BuckinghamPalace_00000214.jpg],4[BuckinghamPalace_200000176.jpg],4[BuckinghamPalace_00000249.jpg],5[BuckinghamPalace_200000060.jpg],4[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",3U4J9857OF1ECZ7NYHYSIOAXCPLB7K,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:24 PDT 2016","Sun Sep 25 01:42:26 PDT 2016",4[BuckinghamPalace_200000114.jpg],4[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],4[BuckinghamPalace_200000071.jpg],4[BuckinghamPalace_00000044.jpg],4[BuckinghamPalace_00000045.jpg],5[BuckinghamPalace_00000211.jpg],4[BuckinghamPalace_00000149.jpg],4[BuckinghamPalace_200000086.jpg],4[BuckinghamPalace_00000139.jpg],4[BuckinghamPalace_00000049.jpg],4[BuckinghamPalace_00000047.jpg],4[BuckinghamPalace_200000070.jpg],4[BuckinghamPalace_00000204.jpg],4[BuckinghamPalace_00000053.jpg],3[BuckinghamPalace_00000057.jpg],4[BuckinghamPalace_00000048.jpg],4[BuckinghamPalace_00000109.jpg],3[BuckinghamPalace_00000244.jpg],3[BuckinghamPalace_200000207.jpg],4[BuckinghamPalace_200000059.jpg],3[BuckinghamPalace_200000146.jpg],4[BuckinghamPalace_200000177.jpg],4[BuckinghamPalace_200000191.jpg],3[BuckinghamPalace_200000161.jpg],4[BuckinghamPalace_00000214.jpg],4[BuckinghamPalace_200000176.jpg],4[BuckinghamPalace_00000249.jpg],4[BuckinghamPalace_200000060.jpg],5[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",36AHBNMV1S2Q6G18ZMFYQRIUJ96YDF,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:42:55 PDT 2016","Sun Sep 25 01:43:17 PDT 2016",5[BuckinghamPalace_200000114.jpg],5[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],5[BuckinghamPalace_200000071.jpg],5[BuckinghamPalace_00000044.jpg],5[BuckinghamPalace_00000045.jpg],5[BuckinghamPalace_00000211.jpg],5[BuckinghamPalace_00000149.jpg],5[BuckinghamPalace_200000086.jpg],5[BuckinghamPalace_00000139.jpg],5[BuckinghamPalace_00000049.jpg],5[BuckinghamPalace_00000047.jpg],5[BuckinghamPalace_200000070.jpg],5[BuckinghamPalace_00000204.jpg],5[BuckinghamPalace_00000053.jpg],5[BuckinghamPalace_00000057.jpg],5[BuckinghamPalace_00000048.jpg],5[BuckinghamPalace_00000109.jpg],5[BuckinghamPalace_00000244.jpg],5[BuckinghamPalace_200000207.jpg],5[BuckinghamPalace_200000059.jpg],5[BuckinghamPalace_200000146.jpg],5[BuckinghamPalace_200000177.jpg],5[BuckinghamPalace_200000191.jpg],5[BuckinghamPalace_200000161.jpg],5[BuckinghamPalace_00000214.jpg],5[BuckinghamPalace_200000176.jpg],5[BuckinghamPalace_00000249.jpg],5[BuckinghamPalace_200000060.jpg],5[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",333U7HK6IA50BR69DMEVG43665XJD6,AURF17VKAGMY5,Approved,"Sun Sep 25 01:39:13 PDT 2016","Sun Sep 25 01:45:53 PDT 2016",3[BuckinghamPalace_200000114.jpg],4[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],4[BuckinghamPalace_200000071.jpg],4[BuckinghamPalace_00000044.jpg],4[BuckinghamPalace_00000045.jpg],1[BuckinghamPalace_00000211.jpg],3[BuckinghamPalace_00000149.jpg],4[BuckinghamPalace_200000086.jpg],3[BuckinghamPalace_00000139.jpg],4[BuckinghamPalace_00000049.jpg],4[BuckinghamPalace_00000047.jpg],5[BuckinghamPalace_200000070.jpg],3[BuckinghamPalace_00000204.jpg],5[BuckinghamPalace_00000053.jpg],3[BuckinghamPalace_00000057.jpg],4[BuckinghamPalace_00000048.jpg],2[BuckinghamPalace_00000109.jpg],3[BuckinghamPalace_00000244.jpg],1[BuckinghamPalace_200000207.jpg],3[BuckinghamPalace_200000059.jpg],5[BuckinghamPalace_200000146.jpg],4[BuckinghamPalace_200000177.jpg],4[BuckinghamPalace_200000191.jpg],3[BuckinghamPalace_200000161.jpg],2[BuckinghamPalace_00000214.jpg],4[BuckinghamPalace_200000176.jpg],4[BuckinghamPalace_00000249.jpg],4[BuckinghamPalace_200000060.jpg],2[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",33CID57105J8OPSCNIKWJAUMJHEL3D,A25WL7E75KK134,Approved,"Sun Sep 25 02:00:14 PDT 2016","Sun Sep 25 02:02:53 PDT 2016",3[BuckinghamPalace_200000114.jpg],2[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],4[BuckinghamPalace_200000071.jpg],4[BuckinghamPalace_00000044.jpg],4[BuckinghamPalace_00000045.jpg],1[BuckinghamPalace_00000211.jpg],5[BuckinghamPalace_00000149.jpg],5[BuckinghamPalace_200000086.jpg],5[BuckinghamPalace_00000139.jpg],3[BuckinghamPalace_00000049.jpg],2[BuckinghamPalace_00000047.jpg],4[BuckinghamPalace_200000070.jpg],1[BuckinghamPalace_00000204.jpg],5[BuckinghamPalace_00000053.jpg],2[BuckinghamPalace_00000057.jpg],4[BuckinghamPalace_00000048.jpg],4[BuckinghamPalace_00000109.jpg],4[BuckinghamPalace_00000244.jpg],2[BuckinghamPalace_200000207.jpg],2[BuckinghamPalace_200000059.jpg],5[BuckinghamPalace_200000146.jpg],4[BuckinghamPalace_200000177.jpg],5[BuckinghamPalace_200000191.jpg],4[BuckinghamPalace_200000161.jpg],1[BuckinghamPalace_00000214.jpg],2[BuckinghamPalace_200000176.jpg],5[BuckinghamPalace_00000249.jpg],4[BuckinghamPalace_200000060.jpg],1[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",3TPWUS5F8ARCCJ0UKP2ZLOFWN1WCWW,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:22:00 PDT 2016","Sun Sep 25 02:23:30 PDT 2016",2[BuckinghamPalace_200000114.jpg],2[BuckinghamPalace_00000046.jpg],2[BuckinghamPalace_200000075.jpg],2[BuckinghamPalace_200000071.jpg],2[BuckinghamPalace_00000044.jpg],1[BuckinghamPalace_00000045.jpg],1[BuckinghamPalace_00000211.jpg],3[BuckinghamPalace_00000149.jpg],3[BuckinghamPalace_200000086.jpg],3[BuckinghamPalace_00000139.jpg],3[BuckinghamPalace_00000049.jpg],1[BuckinghamPalace_00000047.jpg],4[BuckinghamPalace_200000070.jpg],4[BuckinghamPalace_00000204.jpg],3[BuckinghamPalace_00000053.jpg],4[BuckinghamPalace_00000057.jpg],4[BuckinghamPalace_00000048.jpg],5[BuckinghamPalace_00000109.jpg],2[BuckinghamPalace_00000244.jpg],5[BuckinghamPalace_200000207.jpg],2[BuckinghamPalace_200000059.jpg],2[BuckinghamPalace_200000146.jpg],5[BuckinghamPalace_200000177.jpg],5[BuckinghamPalace_200000191.jpg],2[BuckinghamPalace_200000161.jpg],2[BuckinghamPalace_00000214.jpg],4[BuckinghamPalace_200000176.jpg],3[BuckinghamPalace_00000249.jpg],3[BuckinghamPalace_200000060.jpg],1[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",3EFVCAY5L4ZOUWAIWE3FUCP5VE2J82,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:25:42 PDT 2016","Sun Sep 25 02:32:17 PDT 2016",4[BuckinghamPalace_200000114.jpg],4[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],4[BuckinghamPalace_200000071.jpg],2[BuckinghamPalace_00000044.jpg],2[BuckinghamPalace_00000045.jpg],3[BuckinghamPalace_00000211.jpg],5[BuckinghamPalace_00000149.jpg],5[BuckinghamPalace_200000086.jpg],4[BuckinghamPalace_00000139.jpg],4[BuckinghamPalace_00000049.jpg],4[BuckinghamPalace_00000047.jpg],4[BuckinghamPalace_200000070.jpg],1[BuckinghamPalace_00000204.jpg],2[BuckinghamPalace_00000053.jpg],2[BuckinghamPalace_00000057.jpg],2[BuckinghamPalace_00000048.jpg],2[BuckinghamPalace_00000109.jpg],2[BuckinghamPalace_00000244.jpg],2[BuckinghamPalace_200000207.jpg],2[BuckinghamPalace_200000059.jpg],2[BuckinghamPalace_200000146.jpg],1[BuckinghamPalace_200000177.jpg],2[BuckinghamPalace_200000191.jpg],2[BuckinghamPalace_200000161.jpg],2[BuckinghamPalace_00000214.jpg],2[BuckinghamPalace_200000176.jpg],3[BuckinghamPalace_00000249.jpg],3[BuckinghamPalace_200000060.jpg],1[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",3D3VGR7TA15JRNNPS2HS5M3LP95R3B,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:51:51 PDT 2016","Sun Sep 25 02:52:38 PDT 2016",5[BuckinghamPalace_200000114.jpg],5[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],5[BuckinghamPalace_200000071.jpg],5[BuckinghamPalace_00000044.jpg],5[BuckinghamPalace_00000045.jpg],4[BuckinghamPalace_00000211.jpg],5[BuckinghamPalace_00000149.jpg],5[BuckinghamPalace_200000086.jpg],5[BuckinghamPalace_00000139.jpg],5[BuckinghamPalace_00000049.jpg],5[BuckinghamPalace_00000047.jpg],5[BuckinghamPalace_200000070.jpg],5[BuckinghamPalace_00000204.jpg],5[BuckinghamPalace_00000053.jpg],4[BuckinghamPalace_00000057.jpg],5[BuckinghamPalace_00000048.jpg],5[BuckinghamPalace_00000109.jpg],5[BuckinghamPalace_00000244.jpg],5[BuckinghamPalace_200000207.jpg],5[BuckinghamPalace_200000059.jpg],5[BuckinghamPalace_200000146.jpg],5[BuckinghamPalace_200000177.jpg],5[BuckinghamPalace_200000191.jpg],5[BuckinghamPalace_200000161.jpg],5[BuckinghamPalace_00000214.jpg],5[BuckinghamPalace_200000176.jpg],5[BuckinghamPalace_00000249.jpg],5[BuckinghamPalace_200000060.jpg],5[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",31UV0MXWNR29C37AGYBC6R0EG9F5ID,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:34:44 PDT 2016","Sun Sep 25 03:35:03 PDT 2016",5[BuckinghamPalace_200000114.jpg],5[BuckinghamPalace_00000046.jpg],5[BuckinghamPalace_200000075.jpg],5[BuckinghamPalace_200000071.jpg],5[BuckinghamPalace_00000044.jpg],5[BuckinghamPalace_00000045.jpg],5[BuckinghamPalace_00000211.jpg],5[BuckinghamPalace_00000149.jpg],5[BuckinghamPalace_200000086.jpg],5[BuckinghamPalace_00000139.jpg],5[BuckinghamPalace_00000049.jpg],5[BuckinghamPalace_00000047.jpg],5[BuckinghamPalace_200000070.jpg],5[BuckinghamPalace_00000204.jpg],5[BuckinghamPalace_00000053.jpg],5[BuckinghamPalace_00000057.jpg],5[BuckinghamPalace_00000048.jpg],5[BuckinghamPalace_00000109.jpg],5[BuckinghamPalace_00000244.jpg],5[BuckinghamPalace_200000207.jpg],5[BuckinghamPalace_200000059.jpg],5[BuckinghamPalace_200000146.jpg],5[BuckinghamPalace_200000177.jpg],5[BuckinghamPalace_200000191.jpg],5[BuckinghamPalace_200000161.jpg],5[BuckinghamPalace_00000214.jpg],5[BuckinghamPalace_200000176.jpg],5[BuckinghamPalace_00000249.jpg],5[BuckinghamPalace_200000060.jpg],5[BuckinghamPalace_200000170.jpg],
375VMB7D4J92UWOA51OUFJTLR58IDC,"BuckinghamPalace_180-209","sample#command",34FNN24DCNZV23MFKGXFSFU26SD5YJ,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:40:56 PDT 2016","Sun Sep 25 03:43:17 PDT 2016",2[BuckinghamPalace_200000114.jpg],2[BuckinghamPalace_00000046.jpg],3[BuckinghamPalace_200000075.jpg],2[BuckinghamPalace_200000071.jpg],3[BuckinghamPalace_00000044.jpg],3[BuckinghamPalace_00000045.jpg],3[BuckinghamPalace_00000211.jpg],3[BuckinghamPalace_00000149.jpg],3[BuckinghamPalace_200000086.jpg],3[BuckinghamPalace_00000139.jpg],3[BuckinghamPalace_00000049.jpg],2[BuckinghamPalace_00000047.jpg],2[BuckinghamPalace_200000070.jpg],3[BuckinghamPalace_00000204.jpg],3[BuckinghamPalace_00000053.jpg],3[BuckinghamPalace_00000057.jpg],3[BuckinghamPalace_00000048.jpg],3[BuckinghamPalace_00000109.jpg],3[BuckinghamPalace_00000244.jpg],3[BuckinghamPalace_200000207.jpg],2[BuckinghamPalace_200000059.jpg],3[BuckinghamPalace_200000146.jpg],3[BuckinghamPalace_200000177.jpg],3[BuckinghamPalace_200000191.jpg],2[BuckinghamPalace_200000161.jpg],2[BuckinghamPalace_00000214.jpg],3[BuckinghamPalace_200000176.jpg],3[BuckinghamPalace_00000249.jpg],2[BuckinghamPalace_200000060.jpg],3[BuckinghamPalace_200000170.jpg],
