HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",37FMASSAYDHB1JOJH82P9D06Q5WBIF,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:37:26 PDT 2016","Sun Sep 25 01:38:53 PDT 2016",5[BuckinghamPalace_00000141.jpg],4[BuckinghamPalace_00000186.jpg],4[BuckinghamPalace_200000132.jpg],4[BuckinghamPalace_00000064.jpg],5[BuckinghamPalace_200000127.jpg],4[BuckinghamPalace_200000129.jpg],4[BuckinghamPalace_00000202.jpg],4[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],3[BuckinghamPalace_00000235.jpg],4[BuckinghamPalace_00000200.jpg],4[BuckinghamPalace_00000201.jpg],4[BuckinghamPalace_200000195.jpg],4[BuckinghamPalace_200000125.jpg],4[BuckinghamPalace_200000163.jpg],4[BuckinghamPalace_200000131.jpg],3[BuckinghamPalace_00000167.jpg],4[BuckinghamPalace_00000063.jpg],4[BuckinghamPalace_00000182.jpg],4[BuckinghamPalace_00000098.jpg],3[BuckinghamPalace_200000126.jpg],4[BuckinghamPalace_200000104.jpg],4[BuckinghamPalace_200000192.jpg],4[BuckinghamPalace_200000151.jpg],4[BuckinghamPalace_200000152.jpg],3[BuckinghamPalace_00000203.jpg],4[BuckinghamPalace_00000163.jpg],4[BuckinghamPalace_00000124.jpg],3[BuckinghamPalace_200000181.jpg],3[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3JZQSN0I3R0NI9U4WMOI7REBQQWGFA,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:39 PDT 2016","Sun Sep 25 01:51:11 PDT 2016",4[BuckinghamPalace_00000141.jpg],4[BuckinghamPalace_00000186.jpg],4[BuckinghamPalace_200000132.jpg],2[BuckinghamPalace_00000064.jpg],1[BuckinghamPalace_200000127.jpg],2[BuckinghamPalace_200000129.jpg],4[BuckinghamPalace_00000202.jpg],5[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],3[BuckinghamPalace_00000235.jpg],4[BuckinghamPalace_00000200.jpg],4[BuckinghamPalace_00000201.jpg],4[BuckinghamPalace_200000195.jpg],3[BuckinghamPalace_200000125.jpg],5[BuckinghamPalace_200000163.jpg],4[BuckinghamPalace_200000131.jpg],3[BuckinghamPalace_00000167.jpg],3[BuckinghamPalace_00000063.jpg],4[BuckinghamPalace_00000182.jpg],4[BuckinghamPalace_00000098.jpg],4[BuckinghamPalace_200000126.jpg],4[BuckinghamPalace_200000104.jpg],4[BuckinghamPalace_200000192.jpg],5[BuckinghamPalace_200000151.jpg],4[BuckinghamPalace_200000152.jpg],4[BuckinghamPalace_00000203.jpg],4[BuckinghamPalace_00000163.jpg],4[BuckinghamPalace_00000124.jpg],4[BuckinghamPalace_200000181.jpg],3[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3IQ1VMJRYUAD78QO70WG19HXPXP9A0,AURF17VKAGMY5,Approved,"Sun Sep 25 01:46:51 PDT 2016","Sun Sep 25 01:52:42 PDT 2016",4[BuckinghamPalace_00000141.jpg],3[BuckinghamPalace_00000186.jpg],3[BuckinghamPalace_200000132.jpg],4[BuckinghamPalace_00000064.jpg],5[BuckinghamPalace_200000127.jpg],3[BuckinghamPalace_200000129.jpg],4[BuckinghamPalace_00000202.jpg],3[BuckinghamPalace_200000154.jpg],2[BuckinghamPalace_200000133.jpg],3[BuckinghamPalace_00000235.jpg],4[BuckinghamPalace_00000200.jpg],4[BuckinghamPalace_00000201.jpg],2[BuckinghamPalace_200000195.jpg],4[BuckinghamPalace_200000125.jpg],4[BuckinghamPalace_200000163.jpg],5[BuckinghamPalace_200000131.jpg],3[BuckinghamPalace_00000167.jpg],3[BuckinghamPalace_00000063.jpg],4[BuckinghamPalace_00000182.jpg],4[BuckinghamPalace_00000098.jpg],5[BuckinghamPalace_200000126.jpg],5[BuckinghamPalace_200000104.jpg],3[BuckinghamPalace_200000192.jpg],4[BuckinghamPalace_200000151.jpg],4[BuckinghamPalace_200000152.jpg],4[BuckinghamPalace_00000203.jpg],2[BuckinghamPalace_00000163.jpg],4[BuckinghamPalace_00000124.jpg],4[BuckinghamPalace_200000181.jpg],1[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3TVSS0C0E2QTY0256BXPAYF0BNVTWV,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:11:11 PDT 2016","Sun Sep 25 02:20:26 PDT 2016",5[BuckinghamPalace_00000141.jpg],5[BuckinghamPalace_00000186.jpg],5[BuckinghamPalace_200000132.jpg],5[BuckinghamPalace_00000064.jpg],5[BuckinghamPalace_200000127.jpg],5[BuckinghamPalace_200000129.jpg],5[BuckinghamPalace_00000202.jpg],5[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],5[BuckinghamPalace_00000235.jpg],5[BuckinghamPalace_00000200.jpg],5[BuckinghamPalace_00000201.jpg],5[BuckinghamPalace_200000195.jpg],5[BuckinghamPalace_200000125.jpg],5[BuckinghamPalace_200000163.jpg],5[BuckinghamPalace_200000131.jpg],5[BuckinghamPalace_00000167.jpg],5[BuckinghamPalace_00000063.jpg],5[BuckinghamPalace_00000182.jpg],5[BuckinghamPalace_00000098.jpg],5[BuckinghamPalace_200000126.jpg],5[BuckinghamPalace_200000104.jpg],5[BuckinghamPalace_200000192.jpg],5[BuckinghamPalace_200000151.jpg],5[BuckinghamPalace_200000152.jpg],5[BuckinghamPalace_00000203.jpg],5[BuckinghamPalace_00000163.jpg],5[BuckinghamPalace_00000124.jpg],5[BuckinghamPalace_200000181.jpg],5[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3WYP994K18HRL7MTPZ7KKL822NLY6P,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:28:48 PDT 2016","Sun Sep 25 02:30:23 PDT 2016",2[BuckinghamPalace_00000141.jpg],2[BuckinghamPalace_00000186.jpg],1[BuckinghamPalace_200000132.jpg],4[BuckinghamPalace_00000064.jpg],2[BuckinghamPalace_200000127.jpg],3[BuckinghamPalace_200000129.jpg],2[BuckinghamPalace_00000202.jpg],3[BuckinghamPalace_200000154.jpg],4[BuckinghamPalace_200000133.jpg],5[BuckinghamPalace_00000235.jpg],2[BuckinghamPalace_00000200.jpg],2[BuckinghamPalace_00000201.jpg],1[BuckinghamPalace_200000195.jpg],2[BuckinghamPalace_200000125.jpg],3[BuckinghamPalace_200000163.jpg],4[BuckinghamPalace_200000131.jpg],3[BuckinghamPalace_00000167.jpg],2[BuckinghamPalace_00000063.jpg],2[BuckinghamPalace_00000182.jpg],3[BuckinghamPalace_00000098.jpg],3[BuckinghamPalace_200000126.jpg],4[BuckinghamPalace_200000104.jpg],2[BuckinghamPalace_200000192.jpg],3[BuckinghamPalace_200000151.jpg],3[BuckinghamPalace_200000152.jpg],1[BuckinghamPalace_00000203.jpg],1[BuckinghamPalace_00000163.jpg],2[BuckinghamPalace_00000124.jpg],1[BuckinghamPalace_200000181.jpg],1[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3EQHHY4HQTIVGC1FQAB9LFNY1WLG5U,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:29:22 PDT 2016","Sun Sep 25 02:35:58 PDT 2016",5[BuckinghamPalace_00000141.jpg],3[BuckinghamPalace_00000186.jpg],3[BuckinghamPalace_200000132.jpg],4[BuckinghamPalace_00000064.jpg],4[BuckinghamPalace_200000127.jpg],5[BuckinghamPalace_200000129.jpg],4[BuckinghamPalace_00000202.jpg],4[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],5[BuckinghamPalace_00000235.jpg],4[BuckinghamPalace_00000200.jpg],4[BuckinghamPalace_00000201.jpg],4[BuckinghamPalace_200000195.jpg],4[BuckinghamPalace_200000125.jpg],5[BuckinghamPalace_200000163.jpg],1[BuckinghamPalace_200000131.jpg],3[BuckinghamPalace_00000167.jpg],3[BuckinghamPalace_00000063.jpg],2[BuckinghamPalace_00000182.jpg],2[BuckinghamPalace_00000098.jpg],2[BuckinghamPalace_200000126.jpg],2[BuckinghamPalace_200000104.jpg],2[BuckinghamPalace_200000192.jpg],2[BuckinghamPalace_200000151.jpg],2[BuckinghamPalace_200000152.jpg],2[BuckinghamPalace_00000203.jpg],2[BuckinghamPalace_00000163.jpg],3[BuckinghamPalace_00000124.jpg],1[BuckinghamPalace_200000181.jpg],1[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",31UV0MXWNR29C37AGYBC6R0EG9EI5P,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:58:15 PDT 2016","Sun Sep 25 02:59:20 PDT 2016",5[BuckinghamPalace_00000141.jpg],5[BuckinghamPalace_00000186.jpg],5[BuckinghamPalace_200000132.jpg],5[BuckinghamPalace_00000064.jpg],5[BuckinghamPalace_200000127.jpg],5[BuckinghamPalace_200000129.jpg],5[BuckinghamPalace_00000202.jpg],5[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],5[BuckinghamPalace_00000235.jpg],5[BuckinghamPalace_00000200.jpg],5[BuckinghamPalace_00000201.jpg],4[BuckinghamPalace_200000195.jpg],5[BuckinghamPalace_200000125.jpg],5[BuckinghamPalace_200000163.jpg],5[BuckinghamPalace_200000131.jpg],5[BuckinghamPalace_00000167.jpg],5[BuckinghamPalace_00000063.jpg],5[BuckinghamPalace_00000182.jpg],5[BuckinghamPalace_00000098.jpg],5[BuckinghamPalace_200000126.jpg],5[BuckinghamPalace_200000104.jpg],5[BuckinghamPalace_200000192.jpg],5[BuckinghamPalace_200000151.jpg],5[BuckinghamPalace_200000152.jpg],5[BuckinghamPalace_00000203.jpg],5[BuckinghamPalace_00000163.jpg],5[BuckinghamPalace_00000124.jpg],4[BuckinghamPalace_200000181.jpg],2[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3LUY3GC630QGGT8XHMGTD8FMTT57P6,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:36:27 PDT 2016","Sun Sep 25 03:36:48 PDT 2016",5[BuckinghamPalace_00000141.jpg],5[BuckinghamPalace_00000186.jpg],5[BuckinghamPalace_200000132.jpg],5[BuckinghamPalace_00000064.jpg],5[BuckinghamPalace_200000127.jpg],5[BuckinghamPalace_200000129.jpg],5[BuckinghamPalace_00000202.jpg],5[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],5[BuckinghamPalace_00000235.jpg],5[BuckinghamPalace_00000200.jpg],5[BuckinghamPalace_00000201.jpg],5[BuckinghamPalace_200000195.jpg],5[BuckinghamPalace_200000125.jpg],5[BuckinghamPalace_200000163.jpg],5[BuckinghamPalace_200000131.jpg],5[BuckinghamPalace_00000167.jpg],5[BuckinghamPalace_00000063.jpg],5[BuckinghamPalace_00000182.jpg],5[BuckinghamPalace_00000098.jpg],5[BuckinghamPalace_200000126.jpg],5[BuckinghamPalace_200000104.jpg],5[BuckinghamPalace_200000192.jpg],5[BuckinghamPalace_200000151.jpg],5[BuckinghamPalace_200000152.jpg],5[BuckinghamPalace_00000203.jpg],5[BuckinghamPalace_00000163.jpg],5[BuckinghamPalace_00000124.jpg],5[BuckinghamPalace_200000181.jpg],5[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3IFS6Q0HJJ9AI55LSUOKZ2A6UTNISS,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:49:01 PDT 2016","Sun Sep 25 03:52:15 PDT 2016",4[BuckinghamPalace_00000141.jpg],3[BuckinghamPalace_00000186.jpg],3[BuckinghamPalace_200000132.jpg],3[BuckinghamPalace_00000064.jpg],3[BuckinghamPalace_200000127.jpg],3[BuckinghamPalace_200000129.jpg],3[BuckinghamPalace_00000202.jpg],3[BuckinghamPalace_200000154.jpg],4[BuckinghamPalace_200000133.jpg],4[BuckinghamPalace_00000235.jpg],3[BuckinghamPalace_00000200.jpg],3[BuckinghamPalace_00000201.jpg],3[BuckinghamPalace_200000195.jpg],2[BuckinghamPalace_200000125.jpg],2[BuckinghamPalace_200000163.jpg],3[BuckinghamPalace_200000131.jpg],1[BuckinghamPalace_00000167.jpg],3[BuckinghamPalace_00000063.jpg],2[BuckinghamPalace_00000182.jpg],1[BuckinghamPalace_00000098.jpg],1[BuckinghamPalace_200000126.jpg],1[BuckinghamPalace_200000104.jpg],3[BuckinghamPalace_200000192.jpg],3[BuckinghamPalace_200000151.jpg],3[BuckinghamPalace_200000152.jpg],3[BuckinghamPalace_00000203.jpg],3[BuckinghamPalace_00000163.jpg],3[BuckinghamPalace_00000124.jpg],3[BuckinghamPalace_200000181.jpg],1[BuckinghamPalace_200000172.jpg],
37SOB9Z0SSN625UJXFFVUQZ1HWD3LD,"BuckinghamPalace_30-59","sample#command",3V0Z7YWSIZQMZC8NXM8XN9NW41KV2Z,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:18:23 PDT 2016","Sun Sep 25 04:24:41 PDT 2016",4[BuckinghamPalace_00000141.jpg],1[BuckinghamPalace_00000186.jpg],5[BuckinghamPalace_200000132.jpg],2[BuckinghamPalace_00000064.jpg],4[BuckinghamPalace_200000127.jpg],1[BuckinghamPalace_200000129.jpg],2[BuckinghamPalace_00000202.jpg],1[BuckinghamPalace_200000154.jpg],5[BuckinghamPalace_200000133.jpg],3[BuckinghamPalace_00000235.jpg],3[BuckinghamPalace_00000200.jpg],2[BuckinghamPalace_00000201.jpg],4[BuckinghamPalace_200000195.jpg],3[BuckinghamPalace_200000125.jpg],2[BuckinghamPalace_200000163.jpg],2[BuckinghamPalace_200000131.jpg],2[BuckinghamPalace_00000167.jpg],2[BuckinghamPalace_00000063.jpg],3[BuckinghamPalace_00000182.jpg],4[BuckinghamPalace_00000098.jpg],2[BuckinghamPalace_200000126.jpg],2[BuckinghamPalace_200000104.jpg],3[BuckinghamPalace_200000192.jpg],2[BuckinghamPalace_200000151.jpg],4[BuckinghamPalace_200000152.jpg],2[BuckinghamPalace_00000203.jpg],4[BuckinghamPalace_00000163.jpg],3[BuckinghamPalace_00000124.jpg],1[BuckinghamPalace_200000181.jpg],3[BuckinghamPalace_200000172.jpg],
