HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",33CID57105J8OPSCNIKWJAUMJHDL3C,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:34:37 PDT 2016","Sun Sep 25 01:37:19 PDT 2016",4[BuckinghamPalace_200000093.jpg],4[BuckinghamPalace_200000073.jpg],4[BuckinghamPalace_00000256.jpg],5[BuckinghamPalace_00000231.jpg],4[BuckinghamPalace_00000054.jpg],4[BuckinghamPalace_200000139.jpg],4[BuckinghamPalace_200000057.jpg],3[BuckinghamPalace_00000107.jpg],4[BuckinghamPalace_00000217.jpg],4[BuckinghamPalace_00000110.jpg],4[BuckinghamPalace_200000123.jpg],4[BuckinghamPalace_200000081.jpg],3[BuckinghamPalace_200000140.jpg],4[BuckinghamPalace_00000176.jpg],3[BuckinghamPalace_00000225.jpg],4[BuckinghamPalace_00000113.jpg],4[BuckinghamPalace_00000137.jpg],3[BuckinghamPalace_00000050.jpg],4[BuckinghamPalace_200000061.jpg],4[BuckinghamPalace_00000106.jpg],4[BuckinghamPalace_00000241.jpg],3[BuckinghamPalace_200000056.jpg],3[BuckinghamPalace_00000129.jpg],3[BuckinghamPalace_00000126.jpg],4[BuckinghamPalace_00000055.jpg],4[BuckinghamPalace_00000051.jpg],3[BuckinghamPalace_00000243.jpg],3[BuckinghamPalace_200000074.jpg],4[BuckinghamPalace_00000052.jpg],4[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3WLEIWSYHP7HHBD3SXRT88WNWM4H2Q,AZ6M0MDK5U9N2,Approved,"Sun Sep 25 01:41:42 PDT 2016","Sun Sep 25 01:44:50 PDT 2016",1[BuckinghamPalace_200000093.jpg],3[BuckinghamPalace_200000073.jpg],1[BuckinghamPalace_00000256.jpg],2[BuckinghamPalace_00000231.jpg],3[BuckinghamPalace_00000054.jpg],3[BuckinghamPalace_200000139.jpg],4[BuckinghamPalace_200000057.jpg],3[BuckinghamPalace_00000107.jpg],4[BuckinghamPalace_00000217.jpg],3[BuckinghamPalace_00000110.jpg],1[BuckinghamPalace_200000123.jpg],4[BuckinghamPalace_200000081.jpg],3[BuckinghamPalace_200000140.jpg],4[BuckinghamPalace_00000176.jpg],3[BuckinghamPalace_00000225.jpg],3[BuckinghamPalace_00000113.jpg],3[BuckinghamPalace_00000137.jpg],4[BuckinghamPalace_00000050.jpg],4[BuckinghamPalace_200000061.jpg],2[BuckinghamPalace_00000106.jpg],4[BuckinghamPalace_00000241.jpg],4[BuckinghamPalace_200000056.jpg],2[BuckinghamPalace_00000129.jpg],2[BuckinghamPalace_00000126.jpg],4[BuckinghamPalace_00000055.jpg],4[BuckinghamPalace_00000051.jpg],2[BuckinghamPalace_00000243.jpg],2[BuckinghamPalace_200000074.jpg],3[BuckinghamPalace_00000052.jpg],3[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3X3OR7WPZ0QUPMYIZZFSAR2XZ35L84,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:34 PDT 2016","Sun Sep 25 01:47:08 PDT 2016",5[BuckinghamPalace_200000093.jpg],4[BuckinghamPalace_200000073.jpg],5[BuckinghamPalace_00000256.jpg],5[BuckinghamPalace_00000231.jpg],4[BuckinghamPalace_00000054.jpg],5[BuckinghamPalace_200000139.jpg],5[BuckinghamPalace_200000057.jpg],4[BuckinghamPalace_00000107.jpg],4[BuckinghamPalace_00000217.jpg],4[BuckinghamPalace_00000110.jpg],3[BuckinghamPalace_200000123.jpg],5[BuckinghamPalace_200000081.jpg],5[BuckinghamPalace_200000140.jpg],5[BuckinghamPalace_00000176.jpg],4[BuckinghamPalace_00000225.jpg],4[BuckinghamPalace_00000113.jpg],4[BuckinghamPalace_00000137.jpg],4[BuckinghamPalace_00000050.jpg],4[BuckinghamPalace_200000061.jpg],4[BuckinghamPalace_00000106.jpg],3[BuckinghamPalace_00000241.jpg],4[BuckinghamPalace_200000056.jpg],4[BuckinghamPalace_00000129.jpg],3[BuckinghamPalace_00000126.jpg],5[BuckinghamPalace_00000055.jpg],4[BuckinghamPalace_00000051.jpg],4[BuckinghamPalace_00000243.jpg],4[BuckinghamPalace_200000074.jpg],4[BuckinghamPalace_00000052.jpg],4[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",326O153BMJOS0BKHZL34JOQE1X2DEG,AURF17VKAGMY5,Approved,"Sun Sep 25 01:59:05 PDT 2016","Sun Sep 25 02:04:38 PDT 2016",5[BuckinghamPalace_200000093.jpg],4[BuckinghamPalace_200000073.jpg],1[BuckinghamPalace_00000256.jpg],2[BuckinghamPalace_00000231.jpg],4[BuckinghamPalace_00000054.jpg],5[BuckinghamPalace_200000139.jpg],4[BuckinghamPalace_200000057.jpg],3[BuckinghamPalace_00000107.jpg],3[BuckinghamPalace_00000217.jpg],2[BuckinghamPalace_00000110.jpg],2[BuckinghamPalace_200000123.jpg],5[BuckinghamPalace_200000081.jpg],3[BuckinghamPalace_200000140.jpg],5[BuckinghamPalace_00000176.jpg],3[BuckinghamPalace_00000225.jpg],4[BuckinghamPalace_00000113.jpg],4[BuckinghamPalace_00000137.jpg],3[BuckinghamPalace_00000050.jpg],4[BuckinghamPalace_200000061.jpg],2[BuckinghamPalace_00000106.jpg],5[BuckinghamPalace_00000241.jpg],4[BuckinghamPalace_200000056.jpg],4[BuckinghamPalace_00000129.jpg],1[BuckinghamPalace_00000126.jpg],4[BuckinghamPalace_00000055.jpg],5[BuckinghamPalace_00000051.jpg],2[BuckinghamPalace_00000243.jpg],1[BuckinghamPalace_200000074.jpg],4[BuckinghamPalace_00000052.jpg],3[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3RXPCZQMQQ1WSU0WPN9XIPAHPGF1GW,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:11:09 PDT 2016","Sun Sep 25 02:18:09 PDT 2016",5[BuckinghamPalace_200000093.jpg],5[BuckinghamPalace_200000073.jpg],5[BuckinghamPalace_00000256.jpg],5[BuckinghamPalace_00000231.jpg],5[BuckinghamPalace_00000054.jpg],5[BuckinghamPalace_200000139.jpg],5[BuckinghamPalace_200000057.jpg],5[BuckinghamPalace_00000107.jpg],5[BuckinghamPalace_00000217.jpg],5[BuckinghamPalace_00000110.jpg],5[BuckinghamPalace_200000123.jpg],5[BuckinghamPalace_200000081.jpg],5[BuckinghamPalace_200000140.jpg],5[BuckinghamPalace_00000176.jpg],5[BuckinghamPalace_00000225.jpg],5[BuckinghamPalace_00000113.jpg],5[BuckinghamPalace_00000137.jpg],5[BuckinghamPalace_00000050.jpg],5[BuckinghamPalace_200000061.jpg],5[BuckinghamPalace_00000106.jpg],5[BuckinghamPalace_00000241.jpg],5[BuckinghamPalace_200000056.jpg],5[BuckinghamPalace_00000129.jpg],5[BuckinghamPalace_00000126.jpg],5[BuckinghamPalace_00000055.jpg],5[BuckinghamPalace_00000051.jpg],5[BuckinghamPalace_00000243.jpg],5[BuckinghamPalace_200000074.jpg],5[BuckinghamPalace_00000052.jpg],5[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",35GCEFQ6I6ESTE9G2JB5RP5KYQO3ZG,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:26:29 PDT 2016","Sun Sep 25 02:28:12 PDT 2016",2[BuckinghamPalace_200000093.jpg],2[BuckinghamPalace_200000073.jpg],2[BuckinghamPalace_00000256.jpg],3[BuckinghamPalace_00000231.jpg],2[BuckinghamPalace_00000054.jpg],3[BuckinghamPalace_200000139.jpg],2[BuckinghamPalace_200000057.jpg],2[BuckinghamPalace_00000107.jpg],2[BuckinghamPalace_00000217.jpg],1[BuckinghamPalace_00000110.jpg],1[BuckinghamPalace_200000123.jpg],3[BuckinghamPalace_200000081.jpg],2[BuckinghamPalace_200000140.jpg],4[BuckinghamPalace_00000176.jpg],2[BuckinghamPalace_00000225.jpg],3[BuckinghamPalace_00000113.jpg],3[BuckinghamPalace_00000137.jpg],4[BuckinghamPalace_00000050.jpg],3[BuckinghamPalace_200000061.jpg],2[BuckinghamPalace_00000106.jpg],5[BuckinghamPalace_00000241.jpg],3[BuckinghamPalace_200000056.jpg],4[BuckinghamPalace_00000129.jpg],1[BuckinghamPalace_00000126.jpg],2[BuckinghamPalace_00000055.jpg],3[BuckinghamPalace_00000051.jpg],2[BuckinghamPalace_00000243.jpg],1[BuckinghamPalace_200000074.jpg],2[BuckinghamPalace_00000052.jpg],1[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3KMS4QQVK3GSKVQNMD9X5J64X7GFKF,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:28:01 PDT 2016","Sun Sep 25 02:35:04 PDT 2016",1[BuckinghamPalace_200000093.jpg],2[BuckinghamPalace_200000073.jpg],3[BuckinghamPalace_00000256.jpg],3[BuckinghamPalace_00000231.jpg],2[BuckinghamPalace_00000054.jpg],1[BuckinghamPalace_200000139.jpg],2[BuckinghamPalace_200000057.jpg],2[BuckinghamPalace_00000107.jpg],2[BuckinghamPalace_00000217.jpg],1[BuckinghamPalace_00000110.jpg],2[BuckinghamPalace_200000123.jpg],2[BuckinghamPalace_200000081.jpg],2[BuckinghamPalace_200000140.jpg],2[BuckinghamPalace_00000176.jpg],2[BuckinghamPalace_00000225.jpg],2[BuckinghamPalace_00000113.jpg],2[BuckinghamPalace_00000137.jpg],3[BuckinghamPalace_00000050.jpg],3[BuckinghamPalace_200000061.jpg],2[BuckinghamPalace_00000106.jpg],3[BuckinghamPalace_00000241.jpg],3[BuckinghamPalace_200000056.jpg],3[BuckinghamPalace_00000129.jpg],3[BuckinghamPalace_00000126.jpg],3[BuckinghamPalace_00000055.jpg],3[BuckinghamPalace_00000051.jpg],1[BuckinghamPalace_00000243.jpg],1[BuckinghamPalace_200000074.jpg],3[BuckinghamPalace_00000052.jpg],3[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3R0T90IZ1T2GFXAU5KYHZLT8TD8CGZ,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:56:53 PDT 2016","Sun Sep 25 02:58:14 PDT 2016",4[BuckinghamPalace_200000093.jpg],5[BuckinghamPalace_200000073.jpg],4[BuckinghamPalace_00000256.jpg],5[BuckinghamPalace_00000231.jpg],5[BuckinghamPalace_00000054.jpg],5[BuckinghamPalace_200000139.jpg],5[BuckinghamPalace_200000057.jpg],5[BuckinghamPalace_00000107.jpg],5[BuckinghamPalace_00000217.jpg],5[BuckinghamPalace_00000110.jpg],4[BuckinghamPalace_200000123.jpg],5[BuckinghamPalace_200000081.jpg],5[BuckinghamPalace_200000140.jpg],5[BuckinghamPalace_00000176.jpg],5[BuckinghamPalace_00000225.jpg],5[BuckinghamPalace_00000113.jpg],5[BuckinghamPalace_00000137.jpg],5[BuckinghamPalace_00000050.jpg],5[BuckinghamPalace_200000061.jpg],5[BuckinghamPalace_00000106.jpg],5[BuckinghamPalace_00000241.jpg],5[BuckinghamPalace_200000056.jpg],5[BuckinghamPalace_00000129.jpg],4[BuckinghamPalace_00000126.jpg],5[BuckinghamPalace_00000055.jpg],5[BuckinghamPalace_00000051.jpg],3[BuckinghamPalace_00000243.jpg],3[BuckinghamPalace_200000074.jpg],5[BuckinghamPalace_00000052.jpg],5[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",3YWRV122CTPX8CLC8D7T1EYGCU38UQ,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:54:31 PDT 2016","Sun Sep 25 03:58:00 PDT 2016",1[BuckinghamPalace_200000093.jpg],1[BuckinghamPalace_200000073.jpg],3[BuckinghamPalace_00000256.jpg],2[BuckinghamPalace_00000231.jpg],3[BuckinghamPalace_00000054.jpg],3[BuckinghamPalace_200000139.jpg],2[BuckinghamPalace_200000057.jpg],3[BuckinghamPalace_00000107.jpg],3[BuckinghamPalace_00000217.jpg],3[BuckinghamPalace_00000110.jpg],3[BuckinghamPalace_200000123.jpg],3[BuckinghamPalace_200000081.jpg],3[BuckinghamPalace_200000140.jpg],3[BuckinghamPalace_00000176.jpg],3[BuckinghamPalace_00000225.jpg],3[BuckinghamPalace_00000113.jpg],3[BuckinghamPalace_00000137.jpg],3[BuckinghamPalace_00000050.jpg],2[BuckinghamPalace_200000061.jpg],3[BuckinghamPalace_00000106.jpg],4[BuckinghamPalace_00000241.jpg],2[BuckinghamPalace_200000056.jpg],2[BuckinghamPalace_00000129.jpg],3[BuckinghamPalace_00000126.jpg],3[BuckinghamPalace_00000055.jpg],3[BuckinghamPalace_00000051.jpg],3[BuckinghamPalace_00000243.jpg],3[BuckinghamPalace_200000074.jpg],3[BuckinghamPalace_00000052.jpg],3[BuckinghamPalace_00000199.jpg],
3IKDQS3DQEQSP4IW55TJVDB365WICC,"BuckinghamPalace_150-179","sample#command",37QW5D2ZRHCHTZT8J8CTMDGSRXIS8U,AUBC0HIVKBOTF,Approved,"Sun Sep 25 04:12:40 PDT 2016","Sun Sep 25 04:15:35 PDT 2016",4[BuckinghamPalace_200000093.jpg],2[BuckinghamPalace_200000073.jpg],4[BuckinghamPalace_00000256.jpg],2[BuckinghamPalace_00000231.jpg],4[BuckinghamPalace_00000054.jpg],3[BuckinghamPalace_200000139.jpg],4[BuckinghamPalace_200000057.jpg],4[BuckinghamPalace_00000107.jpg],4[BuckinghamPalace_00000217.jpg],1[BuckinghamPalace_00000110.jpg],1[BuckinghamPalace_200000123.jpg],4[BuckinghamPalace_200000081.jpg],4[BuckinghamPalace_200000140.jpg],3[BuckinghamPalace_00000176.jpg],2[BuckinghamPalace_00000225.jpg],4[BuckinghamPalace_00000113.jpg],2[BuckinghamPalace_00000137.jpg],2[BuckinghamPalace_00000050.jpg],4[BuckinghamPalace_200000061.jpg],4[BuckinghamPalace_00000106.jpg],3[BuckinghamPalace_00000241.jpg],4[BuckinghamPalace_200000056.jpg],3[BuckinghamPalace_00000129.jpg],2[BuckinghamPalace_00000126.jpg],3[BuckinghamPalace_00000055.jpg],3[BuckinghamPalace_00000051.jpg],2[BuckinghamPalace_00000243.jpg],2[BuckinghamPalace_200000074.jpg],2[BuckinghamPalace_00000052.jpg],2[BuckinghamPalace_00000199.jpg],
