HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3N4BPTXIO9IH3DNDH24WRJ777USKUG,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:32:34 PDT 2016","Sun Sep 25 01:34:26 PDT 2016",3[BuckinghamPalace_00000019.jpg],3[BuckinghamPalace_00000011.jpg],3[BuckinghamPalace_00000092.jpg],4[BuckinghamPalace_00000007.jpg],4[BuckinghamPalace_200000202.jpg],4[BuckinghamPalace_00000033.jpg],3[BuckinghamPalace_200000026.jpg],3[BuckinghamPalace_00000038.jpg],3[BuckinghamPalace_00000023.jpg],4[BuckinghamPalace_00000066.jpg],4[BuckinghamPalace_00000097.jpg],4[BuckinghamPalace_00000130.jpg],3[BuckinghamPalace_00000026.jpg],4[BuckinghamPalace_200000204.jpg],3[BuckinghamPalace_00000076.jpg],3[BuckinghamPalace_00000027.jpg],4[BuckinghamPalace_200000047.jpg],4[BuckinghamPalace_200000092.jpg],3[BuckinghamPalace_00000188.jpg],4[BuckinghamPalace_200000209.jpg],4[BuckinghamPalace_00000040.jpg],4[BuckinghamPalace_00000014.jpg],4[BuckinghamPalace_200000024.jpg],4[BuckinghamPalace_00000056.jpg],5[BuckinghamPalace_00000075.jpg],4[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],3[BuckinghamPalace_00000005.jpg],3[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",39OWYR0EPLHN40F4QSAOERLFVMMYFQ,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:43:25 PDT 2016","Sun Sep 25 01:43:54 PDT 2016",5[BuckinghamPalace_00000019.jpg],5[BuckinghamPalace_00000011.jpg],5[BuckinghamPalace_00000092.jpg],5[BuckinghamPalace_00000007.jpg],5[BuckinghamPalace_200000202.jpg],5[BuckinghamPalace_00000033.jpg],5[BuckinghamPalace_200000026.jpg],5[BuckinghamPalace_00000038.jpg],5[BuckinghamPalace_00000023.jpg],5[BuckinghamPalace_00000066.jpg],5[BuckinghamPalace_00000097.jpg],5[BuckinghamPalace_00000130.jpg],5[BuckinghamPalace_00000026.jpg],5[BuckinghamPalace_200000204.jpg],5[BuckinghamPalace_00000076.jpg],5[BuckinghamPalace_00000027.jpg],5[BuckinghamPalace_200000047.jpg],5[BuckinghamPalace_200000092.jpg],5[BuckinghamPalace_00000188.jpg],5[BuckinghamPalace_200000209.jpg],5[BuckinghamPalace_00000040.jpg],5[BuckinghamPalace_00000014.jpg],5[BuckinghamPalace_200000024.jpg],5[BuckinghamPalace_00000056.jpg],5[BuckinghamPalace_00000075.jpg],5[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],5[BuckinghamPalace_00000018.jpg],5[BuckinghamPalace_00000005.jpg],5[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3M81GAB8A19OIHC2UG7YIFRSHFDQBX,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:31 PDT 2016","Sun Sep 25 01:45:10 PDT 2016",4[BuckinghamPalace_00000019.jpg],4[BuckinghamPalace_00000011.jpg],3[BuckinghamPalace_00000092.jpg],4[BuckinghamPalace_00000007.jpg],4[BuckinghamPalace_200000202.jpg],4[BuckinghamPalace_00000033.jpg],4[BuckinghamPalace_200000026.jpg],3[BuckinghamPalace_00000038.jpg],4[BuckinghamPalace_00000023.jpg],5[BuckinghamPalace_00000066.jpg],4[BuckinghamPalace_00000097.jpg],4[BuckinghamPalace_00000130.jpg],4[BuckinghamPalace_00000026.jpg],3[BuckinghamPalace_200000204.jpg],4[BuckinghamPalace_00000076.jpg],5[BuckinghamPalace_00000027.jpg],4[BuckinghamPalace_200000047.jpg],4[BuckinghamPalace_200000092.jpg],2[BuckinghamPalace_00000188.jpg],4[BuckinghamPalace_200000209.jpg],4[BuckinghamPalace_00000040.jpg],4[BuckinghamPalace_00000014.jpg],4[BuckinghamPalace_200000024.jpg],4[BuckinghamPalace_00000056.jpg],4[BuckinghamPalace_00000075.jpg],4[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],5[BuckinghamPalace_00000005.jpg],4[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3UOUJI6MTE4NNDMKGLJLHDF9337XUI,AURF17VKAGMY5,Approved,"Sun Sep 25 01:54:10 PDT 2016","Sun Sep 25 01:58:46 PDT 2016",4[BuckinghamPalace_00000019.jpg],4[BuckinghamPalace_00000011.jpg],2[BuckinghamPalace_00000092.jpg],3[BuckinghamPalace_00000007.jpg],5[BuckinghamPalace_200000202.jpg],2[BuckinghamPalace_00000033.jpg],2[BuckinghamPalace_200000026.jpg],3[BuckinghamPalace_00000038.jpg],4[BuckinghamPalace_00000023.jpg],4[BuckinghamPalace_00000066.jpg],4[BuckinghamPalace_00000097.jpg],5[BuckinghamPalace_00000130.jpg],3[BuckinghamPalace_00000026.jpg],5[BuckinghamPalace_200000204.jpg],3[BuckinghamPalace_00000076.jpg],1[BuckinghamPalace_00000027.jpg],5[BuckinghamPalace_200000047.jpg],3[BuckinghamPalace_200000092.jpg],1[BuckinghamPalace_00000188.jpg],5[BuckinghamPalace_200000209.jpg],4[BuckinghamPalace_00000040.jpg],4[BuckinghamPalace_00000014.jpg],3[BuckinghamPalace_200000024.jpg],4[BuckinghamPalace_00000056.jpg],5[BuckinghamPalace_00000075.jpg],4[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],4[BuckinghamPalace_00000005.jpg],3[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3Y9N9SS8LZ1PQD4KA1M80XMHA8D3DG,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:24:13 PDT 2016","Sun Sep 25 02:25:37 PDT 2016",1[BuckinghamPalace_00000019.jpg],2[BuckinghamPalace_00000011.jpg],3[BuckinghamPalace_00000092.jpg],4[BuckinghamPalace_00000007.jpg],5[BuckinghamPalace_200000202.jpg],4[BuckinghamPalace_00000033.jpg],2[BuckinghamPalace_200000026.jpg],2[BuckinghamPalace_00000038.jpg],2[BuckinghamPalace_00000023.jpg],2[BuckinghamPalace_00000066.jpg],4[BuckinghamPalace_00000097.jpg],2[BuckinghamPalace_00000130.jpg],2[BuckinghamPalace_00000026.jpg],4[BuckinghamPalace_200000204.jpg],3[BuckinghamPalace_00000076.jpg],2[BuckinghamPalace_00000027.jpg],4[BuckinghamPalace_200000047.jpg],3[BuckinghamPalace_200000092.jpg],1[BuckinghamPalace_00000188.jpg],5[BuckinghamPalace_200000209.jpg],1[BuckinghamPalace_00000040.jpg],3[BuckinghamPalace_00000014.jpg],2[BuckinghamPalace_200000024.jpg],2[BuckinghamPalace_00000056.jpg],3[BuckinghamPalace_00000075.jpg],3[BuckinghamPalace_00000115.jpg],4[BuckinghamPalace_200000203.jpg],2[BuckinghamPalace_00000018.jpg],3[BuckinghamPalace_00000005.jpg],5[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3XXU1SWE8NLVBE2B74DN8YG4MTXA0R,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:27:18 PDT 2016","Sun Sep 25 02:33:27 PDT 2016",1[BuckinghamPalace_00000019.jpg],4[BuckinghamPalace_00000011.jpg],2[BuckinghamPalace_00000092.jpg],3[BuckinghamPalace_00000007.jpg],2[BuckinghamPalace_200000202.jpg],2[BuckinghamPalace_00000033.jpg],2[BuckinghamPalace_200000026.jpg],1[BuckinghamPalace_00000038.jpg],2[BuckinghamPalace_00000023.jpg],1[BuckinghamPalace_00000066.jpg],2[BuckinghamPalace_00000097.jpg],2[BuckinghamPalace_00000130.jpg],1[BuckinghamPalace_00000026.jpg],3[BuckinghamPalace_200000204.jpg],1[BuckinghamPalace_00000076.jpg],1[BuckinghamPalace_00000027.jpg],1[BuckinghamPalace_200000047.jpg],3[BuckinghamPalace_200000092.jpg],1[BuckinghamPalace_00000188.jpg],2[BuckinghamPalace_200000209.jpg],2[BuckinghamPalace_00000040.jpg],2[BuckinghamPalace_00000014.jpg],2[BuckinghamPalace_200000024.jpg],3[BuckinghamPalace_00000056.jpg],3[BuckinghamPalace_00000075.jpg],3[BuckinghamPalace_00000115.jpg],2[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],3[BuckinghamPalace_00000005.jpg],3[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",31QTRG6Q2U3ZVD4Y4V6TQLZJXSCYPW,AWQDOOSNH42QM,Approved,"Sun Sep 25 02:48:40 PDT 2016","Sun Sep 25 02:50:49 PDT 2016",3[BuckinghamPalace_00000019.jpg],4[BuckinghamPalace_00000011.jpg],4[BuckinghamPalace_00000092.jpg],4[BuckinghamPalace_00000007.jpg],4[BuckinghamPalace_200000202.jpg],4[BuckinghamPalace_00000033.jpg],4[BuckinghamPalace_200000026.jpg],4[BuckinghamPalace_00000038.jpg],5[BuckinghamPalace_00000023.jpg],5[BuckinghamPalace_00000066.jpg],5[BuckinghamPalace_00000097.jpg],5[BuckinghamPalace_00000130.jpg],4[BuckinghamPalace_00000026.jpg],5[BuckinghamPalace_200000204.jpg],4[BuckinghamPalace_00000076.jpg],4[BuckinghamPalace_00000027.jpg],5[BuckinghamPalace_200000047.jpg],5[BuckinghamPalace_200000092.jpg],3[BuckinghamPalace_00000188.jpg],5[BuckinghamPalace_200000209.jpg],4[BuckinghamPalace_00000040.jpg],4[BuckinghamPalace_00000014.jpg],4[BuckinghamPalace_200000024.jpg],4[BuckinghamPalace_00000056.jpg],5[BuckinghamPalace_00000075.jpg],4[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],4[BuckinghamPalace_00000005.jpg],4[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",31IBVUNM9TP606KZLHN47SHLD5PFV3,A3R14E1XSCIZR6,Approved,"Sun Sep 25 03:35:08 PDT 2016","Sun Sep 25 03:35:42 PDT 2016",2[BuckinghamPalace_00000019.jpg],5[BuckinghamPalace_00000011.jpg],5[BuckinghamPalace_00000092.jpg],5[BuckinghamPalace_00000007.jpg],5[BuckinghamPalace_200000202.jpg],5[BuckinghamPalace_00000033.jpg],5[BuckinghamPalace_200000026.jpg],5[BuckinghamPalace_00000038.jpg],5[BuckinghamPalace_00000023.jpg],5[BuckinghamPalace_00000066.jpg],5[BuckinghamPalace_00000097.jpg],5[BuckinghamPalace_00000130.jpg],5[BuckinghamPalace_00000026.jpg],5[BuckinghamPalace_200000204.jpg],5[BuckinghamPalace_00000076.jpg],5[BuckinghamPalace_00000027.jpg],5[BuckinghamPalace_200000047.jpg],5[BuckinghamPalace_200000092.jpg],5[BuckinghamPalace_00000188.jpg],5[BuckinghamPalace_200000209.jpg],5[BuckinghamPalace_00000040.jpg],5[BuckinghamPalace_00000014.jpg],5[BuckinghamPalace_200000024.jpg],5[BuckinghamPalace_00000056.jpg],5[BuckinghamPalace_00000075.jpg],5[BuckinghamPalace_00000115.jpg],5[BuckinghamPalace_200000203.jpg],5[BuckinghamPalace_00000018.jpg],5[BuckinghamPalace_00000005.jpg],1[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3OF2M9AATHEYPCHNNP348BMM9CCKZA,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:44:59 PDT 2016","Sun Sep 25 03:48:40 PDT 2016",3[BuckinghamPalace_00000019.jpg],2[BuckinghamPalace_00000011.jpg],2[BuckinghamPalace_00000092.jpg],2[BuckinghamPalace_00000007.jpg],3[BuckinghamPalace_200000202.jpg],3[BuckinghamPalace_00000033.jpg],2[BuckinghamPalace_200000026.jpg],2[BuckinghamPalace_00000038.jpg],2[BuckinghamPalace_00000023.jpg],3[BuckinghamPalace_00000066.jpg],3[BuckinghamPalace_00000097.jpg],3[BuckinghamPalace_00000130.jpg],3[BuckinghamPalace_00000026.jpg],4[BuckinghamPalace_200000204.jpg],3[BuckinghamPalace_00000076.jpg],3[BuckinghamPalace_00000027.jpg],4[BuckinghamPalace_200000047.jpg],3[BuckinghamPalace_200000092.jpg],3[BuckinghamPalace_00000188.jpg],3[BuckinghamPalace_200000209.jpg],3[BuckinghamPalace_00000040.jpg],3[BuckinghamPalace_00000014.jpg],3[BuckinghamPalace_200000024.jpg],3[BuckinghamPalace_00000056.jpg],3[BuckinghamPalace_00000075.jpg],3[BuckinghamPalace_00000115.jpg],4[BuckinghamPalace_200000203.jpg],3[BuckinghamPalace_00000018.jpg],4[BuckinghamPalace_00000005.jpg],2[BuckinghamPalace_00000114.jpg],
3K1H3NEY7LPOY5IFFDORU7G5CSGDGF,"BuckinghamPalace_90-119","sample#command",3LUY3GC630QGGT8XHMGTD8FMTT67P7,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:30:09 PDT 2016","Sun Sep 25 04:34:38 PDT 2016",4[BuckinghamPalace_00000019.jpg],3[BuckinghamPalace_00000011.jpg],2[BuckinghamPalace_00000092.jpg],5[BuckinghamPalace_00000007.jpg],4[BuckinghamPalace_200000202.jpg],5[BuckinghamPalace_00000033.jpg],3[BuckinghamPalace_200000026.jpg],2[BuckinghamPalace_00000038.jpg],3[BuckinghamPalace_00000023.jpg],1[BuckinghamPalace_00000066.jpg],1[BuckinghamPalace_00000097.jpg],1[BuckinghamPalace_00000130.jpg],1[BuckinghamPalace_00000026.jpg],3[BuckinghamPalace_200000204.jpg],2[BuckinghamPalace_00000076.jpg],2[BuckinghamPalace_00000027.jpg],5[BuckinghamPalace_200000047.jpg],3[BuckinghamPalace_200000092.jpg],1[BuckinghamPalace_00000188.jpg],1[BuckinghamPalace_200000209.jpg],3[BuckinghamPalace_00000040.jpg],3[BuckinghamPalace_00000014.jpg],4[BuckinghamPalace_200000024.jpg],3[BuckinghamPalace_00000056.jpg],3[BuckinghamPalace_00000075.jpg],4[BuckinghamPalace_00000115.jpg],3[BuckinghamPalace_200000203.jpg],4[BuckinghamPalace_00000018.jpg],5[BuckinghamPalace_00000005.jpg],1[BuckinghamPalace_00000114.jpg],
