HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3QAPZX2QN5366B77UPK82GX6A5320A,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:22 PDT 2016","Sun Sep 25 01:55:28 PDT 2016",4[BuckinghamPalace_00000118.jpg],4[BuckinghamPalace_00000252.jpg],5[BuckinghamPalace_00000030.jpg],4[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],5[BuckinghamPalace_00000074.jpg],4[BuckinghamPalace_00000028.jpg],4[BuckinghamPalace_00000020.jpg],4[BuckinghamPalace_00000029.jpg],4[BuckinghamPalace_00000233.jpg],4[BuckinghamPalace_200000025.jpg],3[BuckinghamPalace_200000001.jpg],2[BuckinghamPalace_00000150.jpg],4[BuckinghamPalace_200000007.jpg],3[BuckinghamPalace_200000197.jpg],5[BuckinghamPalace_200000011.jpg],4[BuckinghamPalace_200000099.jpg],4[BuckinghamPalace_200000000.jpg],4[BuckinghamPalace_00000022.jpg],4[BuckinghamPalace_200000008.jpg],4[BuckinghamPalace_200000050.jpg],4[BuckinghamPalace_00000025.jpg],5[BuckinghamPalace_00000108.jpg],4[BuckinghamPalace_00000105.jpg],3[BuckinghamPalace_00000138.jpg],4[BuckinghamPalace_00000169.jpg],3[BuckinghamPalace_200000149.jpg],4[BuckinghamPalace_00000161.jpg],4[BuckinghamPalace_200000058.jpg],4[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3L6L49WXW1NF4W8VV998CQQVBRB45U,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:11:22 PDT 2016","Sun Sep 25 02:21:02 PDT 2016",5[BuckinghamPalace_00000118.jpg],5[BuckinghamPalace_00000252.jpg],5[BuckinghamPalace_00000030.jpg],5[BuckinghamPalace_00000015.jpg],5[BuckinghamPalace_200000072.jpg],5[BuckinghamPalace_00000074.jpg],5[BuckinghamPalace_00000028.jpg],5[BuckinghamPalace_00000020.jpg],5[BuckinghamPalace_00000029.jpg],5[BuckinghamPalace_00000233.jpg],5[BuckinghamPalace_200000025.jpg],5[BuckinghamPalace_200000001.jpg],5[BuckinghamPalace_00000150.jpg],5[BuckinghamPalace_200000007.jpg],5[BuckinghamPalace_200000197.jpg],5[BuckinghamPalace_200000011.jpg],5[BuckinghamPalace_200000099.jpg],5[BuckinghamPalace_200000000.jpg],5[BuckinghamPalace_00000022.jpg],5[BuckinghamPalace_200000008.jpg],5[BuckinghamPalace_200000050.jpg],5[BuckinghamPalace_00000025.jpg],5[BuckinghamPalace_00000108.jpg],5[BuckinghamPalace_00000105.jpg],5[BuckinghamPalace_00000138.jpg],5[BuckinghamPalace_00000169.jpg],5[BuckinghamPalace_200000149.jpg],5[BuckinghamPalace_00000161.jpg],5[BuckinghamPalace_200000058.jpg],5[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",33L7PJKHCHOI8Z6N88HJWICETGU8TX,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:36:01 PDT 2016","Sun Sep 25 02:40:11 PDT 2016",2[BuckinghamPalace_00000118.jpg],1[BuckinghamPalace_00000252.jpg],2[BuckinghamPalace_00000030.jpg],2[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],2[BuckinghamPalace_00000074.jpg],2[BuckinghamPalace_00000028.jpg],3[BuckinghamPalace_00000020.jpg],2[BuckinghamPalace_00000029.jpg],2[BuckinghamPalace_00000233.jpg],4[BuckinghamPalace_200000025.jpg],4[BuckinghamPalace_200000001.jpg],1[BuckinghamPalace_00000150.jpg],2[BuckinghamPalace_200000007.jpg],2[BuckinghamPalace_200000197.jpg],2[BuckinghamPalace_200000011.jpg],3[BuckinghamPalace_200000099.jpg],3[BuckinghamPalace_200000000.jpg],2[BuckinghamPalace_00000022.jpg],3[BuckinghamPalace_200000008.jpg],3[BuckinghamPalace_200000050.jpg],3[BuckinghamPalace_00000025.jpg],3[BuckinghamPalace_00000108.jpg],4[BuckinghamPalace_00000105.jpg],5[BuckinghamPalace_00000138.jpg],5[BuckinghamPalace_00000169.jpg],5[BuckinghamPalace_200000149.jpg],4[BuckinghamPalace_00000161.jpg],4[BuckinghamPalace_200000058.jpg],4[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3R3YRB5GRGTBR0ER5BR7X54B2I3UAG,A1VOZRZINYXSIE,Approved,"Sun Sep 25 04:02:39 PDT 2016","Sun Sep 25 04:03:55 PDT 2016",3[BuckinghamPalace_00000118.jpg],3[BuckinghamPalace_00000252.jpg],3[BuckinghamPalace_00000030.jpg],3[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],3[BuckinghamPalace_00000074.jpg],3[BuckinghamPalace_00000028.jpg],3[BuckinghamPalace_00000020.jpg],3[BuckinghamPalace_00000029.jpg],3[BuckinghamPalace_00000233.jpg],3[BuckinghamPalace_200000025.jpg],3[BuckinghamPalace_200000001.jpg],3[BuckinghamPalace_00000150.jpg],2[BuckinghamPalace_200000007.jpg],3[BuckinghamPalace_200000197.jpg],3[BuckinghamPalace_200000011.jpg],2[BuckinghamPalace_200000099.jpg],3[BuckinghamPalace_200000000.jpg],3[BuckinghamPalace_00000022.jpg],3[BuckinghamPalace_200000008.jpg],3[BuckinghamPalace_200000050.jpg],3[BuckinghamPalace_00000025.jpg],3[BuckinghamPalace_00000108.jpg],3[BuckinghamPalace_00000105.jpg],3[BuckinghamPalace_00000138.jpg],3[BuckinghamPalace_00000169.jpg],3[BuckinghamPalace_200000149.jpg],3[BuckinghamPalace_00000161.jpg],3[BuckinghamPalace_200000058.jpg],3[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3S0TNUHWKU8BRAAQMIH4REUSQU98DH,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:35:16 PDT 2016","Sun Sep 25 04:40:08 PDT 2016",4[BuckinghamPalace_00000118.jpg],1[BuckinghamPalace_00000252.jpg],3[BuckinghamPalace_00000030.jpg],2[BuckinghamPalace_00000015.jpg],1[BuckinghamPalace_200000072.jpg],2[BuckinghamPalace_00000074.jpg],2[BuckinghamPalace_00000028.jpg],2[BuckinghamPalace_00000020.jpg],2[BuckinghamPalace_00000029.jpg],3[BuckinghamPalace_00000233.jpg],3[BuckinghamPalace_200000025.jpg],4[BuckinghamPalace_200000001.jpg],1[BuckinghamPalace_00000150.jpg],4[BuckinghamPalace_200000007.jpg],2[BuckinghamPalace_200000197.jpg],3[BuckinghamPalace_200000011.jpg],5[BuckinghamPalace_200000099.jpg],5[BuckinghamPalace_200000000.jpg],4[BuckinghamPalace_00000022.jpg],4[BuckinghamPalace_200000008.jpg],2[BuckinghamPalace_200000050.jpg],2[BuckinghamPalace_00000025.jpg],3[BuckinghamPalace_00000108.jpg],3[BuckinghamPalace_00000105.jpg],4[BuckinghamPalace_00000138.jpg],3[BuckinghamPalace_00000169.jpg],5[BuckinghamPalace_200000149.jpg],2[BuckinghamPalace_00000161.jpg],4[BuckinghamPalace_200000058.jpg],1[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3II4UPYCOKXHXEAM8CY4D5FSK0VQDA,A10443E11ZWEHJ,Approved,"Sun Sep 25 05:00:58 PDT 2016","Sun Sep 25 05:03:52 PDT 2016",4[BuckinghamPalace_00000118.jpg],1[BuckinghamPalace_00000252.jpg],5[BuckinghamPalace_00000030.jpg],4[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],2[BuckinghamPalace_00000074.jpg],2[BuckinghamPalace_00000028.jpg],2[BuckinghamPalace_00000020.jpg],4[BuckinghamPalace_00000029.jpg],4[BuckinghamPalace_00000233.jpg],2[BuckinghamPalace_200000025.jpg],3[BuckinghamPalace_200000001.jpg],2[BuckinghamPalace_00000150.jpg],3[BuckinghamPalace_200000007.jpg],2[BuckinghamPalace_200000197.jpg],3[BuckinghamPalace_200000011.jpg],3[BuckinghamPalace_200000099.jpg],4[BuckinghamPalace_200000000.jpg],3[BuckinghamPalace_00000022.jpg],3[BuckinghamPalace_200000008.jpg],2[BuckinghamPalace_200000050.jpg],3[BuckinghamPalace_00000025.jpg],3[BuckinghamPalace_00000108.jpg],3[BuckinghamPalace_00000105.jpg],3[BuckinghamPalace_00000138.jpg],3[BuckinghamPalace_00000169.jpg],1[BuckinghamPalace_200000149.jpg],1[BuckinghamPalace_00000161.jpg],1[BuckinghamPalace_200000058.jpg],2[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3U5NZHP4LSSD9IE9UV254L4G7W3HPK,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:31:12 PDT 2016","Sun Sep 25 05:34:00 PDT 2016",5[BuckinghamPalace_00000118.jpg],4[BuckinghamPalace_00000252.jpg],4[BuckinghamPalace_00000030.jpg],4[BuckinghamPalace_00000015.jpg],5[BuckinghamPalace_200000072.jpg],4[BuckinghamPalace_00000074.jpg],4[BuckinghamPalace_00000028.jpg],5[BuckinghamPalace_00000020.jpg],4[BuckinghamPalace_00000029.jpg],5[BuckinghamPalace_00000233.jpg],5[BuckinghamPalace_200000025.jpg],5[BuckinghamPalace_200000001.jpg],5[BuckinghamPalace_00000150.jpg],5[BuckinghamPalace_200000007.jpg],5[BuckinghamPalace_200000197.jpg],5[BuckinghamPalace_200000011.jpg],5[BuckinghamPalace_200000099.jpg],5[BuckinghamPalace_200000000.jpg],4[BuckinghamPalace_00000022.jpg],4[BuckinghamPalace_200000008.jpg],4[BuckinghamPalace_200000050.jpg],4[BuckinghamPalace_00000025.jpg],5[BuckinghamPalace_00000108.jpg],5[BuckinghamPalace_00000105.jpg],5[BuckinghamPalace_00000138.jpg],5[BuckinghamPalace_00000169.jpg],5[BuckinghamPalace_200000149.jpg],4[BuckinghamPalace_00000161.jpg],5[BuckinghamPalace_200000058.jpg],5[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3AZHRG4CU5AVRT3QYPYDLQ2YGJG30Z,A2T01LQBGRSCDF,Approved,"Sun Sep 25 07:43:12 PDT 2016","Sun Sep 25 07:49:20 PDT 2016",3[BuckinghamPalace_00000118.jpg],1[BuckinghamPalace_00000252.jpg],2[BuckinghamPalace_00000030.jpg],1[BuckinghamPalace_00000015.jpg],2[BuckinghamPalace_200000072.jpg],1[BuckinghamPalace_00000074.jpg],2[BuckinghamPalace_00000028.jpg],3[BuckinghamPalace_00000020.jpg],2[BuckinghamPalace_00000029.jpg],4[BuckinghamPalace_00000233.jpg],1[BuckinghamPalace_200000025.jpg],2[BuckinghamPalace_200000001.jpg],1[BuckinghamPalace_00000150.jpg],1[BuckinghamPalace_200000007.jpg],1[BuckinghamPalace_200000197.jpg],2[BuckinghamPalace_200000011.jpg],1[BuckinghamPalace_200000099.jpg],1[BuckinghamPalace_200000000.jpg],1[BuckinghamPalace_00000022.jpg],3[BuckinghamPalace_200000008.jpg],1[BuckinghamPalace_200000050.jpg],1[BuckinghamPalace_00000025.jpg],2[BuckinghamPalace_00000108.jpg],2[BuckinghamPalace_00000105.jpg],4[BuckinghamPalace_00000138.jpg],2[BuckinghamPalace_00000169.jpg],1[BuckinghamPalace_200000149.jpg],1[BuckinghamPalace_00000161.jpg],2[BuckinghamPalace_200000058.jpg],2[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3TVSS0C0E2QTY0256BXPAYF0BN8WTB,A311BTV53IKX3D,Approved,"Sun Sep 25 08:01:03 PDT 2016","Sun Sep 25 08:04:26 PDT 2016",3[BuckinghamPalace_00000118.jpg],3[BuckinghamPalace_00000252.jpg],3[BuckinghamPalace_00000030.jpg],3[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],4[BuckinghamPalace_00000074.jpg],5[BuckinghamPalace_00000028.jpg],4[BuckinghamPalace_00000020.jpg],5[BuckinghamPalace_00000029.jpg],5[BuckinghamPalace_00000233.jpg],5[BuckinghamPalace_200000025.jpg],5[BuckinghamPalace_200000001.jpg],3[BuckinghamPalace_00000150.jpg],4[BuckinghamPalace_200000007.jpg],5[BuckinghamPalace_200000197.jpg],4[BuckinghamPalace_200000011.jpg],5[BuckinghamPalace_200000099.jpg],4[BuckinghamPalace_200000000.jpg],5[BuckinghamPalace_00000022.jpg],4[BuckinghamPalace_200000008.jpg],4[BuckinghamPalace_200000050.jpg],5[BuckinghamPalace_00000025.jpg],4[BuckinghamPalace_00000108.jpg],4[BuckinghamPalace_00000105.jpg],4[BuckinghamPalace_00000138.jpg],4[BuckinghamPalace_00000169.jpg],4[BuckinghamPalace_200000149.jpg],3[BuckinghamPalace_00000161.jpg],4[BuckinghamPalace_200000058.jpg],4[BuckinghamPalace_200000049.jpg],
3M4KL7H8KVDS9HDXN7VAHE27THA61G,"BuckinghamPalace_120-149","sample#command",3S0TNUHWKU8BRAAQMIH4REUSQUJ8DR,A1F2F5C9Z3D3RY,Approved,"Sun Sep 25 08:12:20 PDT 2016","Sun Sep 25 08:20:01 PDT 2016",2[BuckinghamPalace_00000118.jpg],1[BuckinghamPalace_00000252.jpg],3[BuckinghamPalace_00000030.jpg],2[BuckinghamPalace_00000015.jpg],3[BuckinghamPalace_200000072.jpg],1[BuckinghamPalace_00000074.jpg],3[BuckinghamPalace_00000028.jpg],3[BuckinghamPalace_00000020.jpg],3[BuckinghamPalace_00000029.jpg],4[BuckinghamPalace_00000233.jpg],4[BuckinghamPalace_200000025.jpg],3[BuckinghamPalace_200000001.jpg],1[BuckinghamPalace_00000150.jpg],4[BuckinghamPalace_200000007.jpg],2[BuckinghamPalace_200000197.jpg],2[BuckinghamPalace_200000011.jpg],2[BuckinghamPalace_200000099.jpg],3[BuckinghamPalace_200000000.jpg],4[BuckinghamPalace_00000022.jpg],4[BuckinghamPalace_200000008.jpg],3[BuckinghamPalace_200000050.jpg],1[BuckinghamPalace_00000025.jpg],4[BuckinghamPalace_00000108.jpg],4[BuckinghamPalace_00000105.jpg],4[BuckinghamPalace_00000138.jpg],3[BuckinghamPalace_00000169.jpg],4[BuckinghamPalace_200000149.jpg],2[BuckinghamPalace_00000161.jpg],3[BuckinghamPalace_200000058.jpg],3[BuckinghamPalace_200000049.jpg],
