HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3NQL1CS15SYC0X1UQ7FSWDO1JGAVYB,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:41 PDT 2016","Sun Sep 25 01:48:53 PDT 2016",5[BuckinghamPalace_200000138.jpg],5[BuckinghamPalace_200000134.jpg],5[BuckinghamPalace_00000154.jpg],4[BuckinghamPalace_00000220.jpg],5[BuckinghamPalace_200000182.jpg],5[BuckinghamPalace_00000144.jpg],5[BuckinghamPalace_00000207.jpg],5[BuckinghamPalace_00000168.jpg],5[BuckinghamPalace_200000106.jpg],5[BuckinghamPalace_00000087.jpg],5[BuckinghamPalace_00000145.jpg],5[BuckinghamPalace_200000121.jpg],5[BuckinghamPalace_200000080.jpg],5[BuckinghamPalace_200000107.jpg],5[BuckinghamPalace_200000102.jpg],5[BuckinghamPalace_00000084.jpg],5[BuckinghamPalace_00000194.jpg],5[BuckinghamPalace_00000086.jpg],5[BuckinghamPalace_200000105.jpg],5[BuckinghamPalace_200000199.jpg],5[BuckinghamPalace_200000028.jpg],5[BuckinghamPalace_200000064.jpg],5[BuckinghamPalace_00000156.jpg],5[BuckinghamPalace_00000069.jpg],5[BuckinghamPalace_00000070.jpg],5[BuckinghamPalace_200000122.jpg],5[BuckinghamPalace_200000032.jpg],5[BuckinghamPalace_200000180.jpg],5[BuckinghamPalace_00000043.jpg],5[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",32KTQ2V7RE5E99ZD43MLA0CXJEE9MK,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:27 PDT 2016","Sun Sep 25 01:59:50 PDT 2016",4[BuckinghamPalace_200000138.jpg],4[BuckinghamPalace_200000134.jpg],3[BuckinghamPalace_00000154.jpg],4[BuckinghamPalace_00000220.jpg],4[BuckinghamPalace_200000182.jpg],4[BuckinghamPalace_00000144.jpg],4[BuckinghamPalace_00000207.jpg],4[BuckinghamPalace_00000168.jpg],4[BuckinghamPalace_200000106.jpg],4[BuckinghamPalace_00000087.jpg],4[BuckinghamPalace_00000145.jpg],4[BuckinghamPalace_200000121.jpg],4[BuckinghamPalace_200000080.jpg],4[BuckinghamPalace_200000107.jpg],4[BuckinghamPalace_200000102.jpg],4[BuckinghamPalace_00000084.jpg],4[BuckinghamPalace_00000194.jpg],4[BuckinghamPalace_00000086.jpg],4[BuckinghamPalace_200000105.jpg],5[BuckinghamPalace_200000199.jpg],5[BuckinghamPalace_200000028.jpg],4[BuckinghamPalace_200000064.jpg],4[BuckinghamPalace_00000156.jpg],4[BuckinghamPalace_00000069.jpg],4[BuckinghamPalace_00000070.jpg],4[BuckinghamPalace_200000122.jpg],5[BuckinghamPalace_200000032.jpg],5[BuckinghamPalace_200000180.jpg],4[BuckinghamPalace_00000043.jpg],5[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3QY7M81QH8CF52BH4UBLHRTNZJW7K2,A1KUAL8PN2X8PK,Approved,"Sun Sep 25 02:20:18 PDT 2016","Sun Sep 25 02:23:00 PDT 2016",3[BuckinghamPalace_200000138.jpg],2[BuckinghamPalace_200000134.jpg],2[BuckinghamPalace_00000154.jpg],2[BuckinghamPalace_00000220.jpg],2[BuckinghamPalace_200000182.jpg],5[BuckinghamPalace_00000144.jpg],5[BuckinghamPalace_00000207.jpg],4[BuckinghamPalace_00000168.jpg],2[BuckinghamPalace_200000106.jpg],3[BuckinghamPalace_00000087.jpg],2[BuckinghamPalace_00000145.jpg],4[BuckinghamPalace_200000121.jpg],2[BuckinghamPalace_200000080.jpg],2[BuckinghamPalace_200000107.jpg],2[BuckinghamPalace_200000102.jpg],1[BuckinghamPalace_00000084.jpg],3[BuckinghamPalace_00000194.jpg],2[BuckinghamPalace_00000086.jpg],2[BuckinghamPalace_200000105.jpg],3[BuckinghamPalace_200000199.jpg],3[BuckinghamPalace_200000028.jpg],2[BuckinghamPalace_200000064.jpg],3[BuckinghamPalace_00000156.jpg],1[BuckinghamPalace_00000069.jpg],2[BuckinghamPalace_00000070.jpg],1[BuckinghamPalace_200000122.jpg],1[BuckinghamPalace_200000032.jpg],3[BuckinghamPalace_200000180.jpg],1[BuckinghamPalace_00000043.jpg],1[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3FPRZHYEPZXBKU461MM26JSOAFI3VG,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:39:40 PDT 2016","Sun Sep 25 02:45:17 PDT 2016",3[BuckinghamPalace_200000138.jpg],4[BuckinghamPalace_200000134.jpg],5[BuckinghamPalace_00000154.jpg],4[BuckinghamPalace_00000220.jpg],5[BuckinghamPalace_200000182.jpg],5[BuckinghamPalace_00000144.jpg],4[BuckinghamPalace_00000207.jpg],5[BuckinghamPalace_00000168.jpg],5[BuckinghamPalace_200000106.jpg],5[BuckinghamPalace_00000087.jpg],4[BuckinghamPalace_00000145.jpg],5[BuckinghamPalace_200000121.jpg],5[BuckinghamPalace_200000080.jpg],5[BuckinghamPalace_200000107.jpg],5[BuckinghamPalace_200000102.jpg],4[BuckinghamPalace_00000084.jpg],4[BuckinghamPalace_00000194.jpg],5[BuckinghamPalace_00000086.jpg],5[BuckinghamPalace_200000105.jpg],5[BuckinghamPalace_200000199.jpg],5[BuckinghamPalace_200000028.jpg],5[BuckinghamPalace_200000064.jpg],4[BuckinghamPalace_00000156.jpg],4[BuckinghamPalace_00000069.jpg],4[BuckinghamPalace_00000070.jpg],4[BuckinghamPalace_200000122.jpg],4[BuckinghamPalace_200000032.jpg],4[BuckinghamPalace_200000180.jpg],5[BuckinghamPalace_00000043.jpg],5[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3G2UL9A02E486NQS2QHK78O5YOH671,A2UFHATEG76AO5,Approved,"Sun Sep 25 05:10:15 PDT 2016","Sun Sep 25 05:14:45 PDT 2016",4[BuckinghamPalace_200000138.jpg],1[BuckinghamPalace_200000134.jpg],1[BuckinghamPalace_00000154.jpg],1[BuckinghamPalace_00000220.jpg],2[BuckinghamPalace_200000182.jpg],2[BuckinghamPalace_00000144.jpg],1[BuckinghamPalace_00000207.jpg],1[BuckinghamPalace_00000168.jpg],1[BuckinghamPalace_200000106.jpg],4[BuckinghamPalace_00000087.jpg],1[BuckinghamPalace_00000145.jpg],1[BuckinghamPalace_200000121.jpg],2[BuckinghamPalace_200000080.jpg],2[BuckinghamPalace_200000107.jpg],2[BuckinghamPalace_200000102.jpg],3[BuckinghamPalace_00000084.jpg],2[BuckinghamPalace_00000194.jpg],2[BuckinghamPalace_00000086.jpg],2[BuckinghamPalace_200000105.jpg],2[BuckinghamPalace_200000199.jpg],2[BuckinghamPalace_200000028.jpg],1[BuckinghamPalace_200000064.jpg],3[BuckinghamPalace_00000156.jpg],4[BuckinghamPalace_00000069.jpg],2[BuckinghamPalace_00000070.jpg],3[BuckinghamPalace_200000122.jpg],1[BuckinghamPalace_200000032.jpg],2[BuckinghamPalace_200000180.jpg],2[BuckinghamPalace_00000043.jpg],1[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3C44YUNSI2FWX2978ZJFD0PIF4APDJ,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:36:42 PDT 2016","Sun Sep 25 05:45:44 PDT 2016",4[BuckinghamPalace_200000138.jpg],4[BuckinghamPalace_200000134.jpg],4[BuckinghamPalace_00000154.jpg],3[BuckinghamPalace_00000220.jpg],3[BuckinghamPalace_200000182.jpg],5[BuckinghamPalace_00000144.jpg],4[BuckinghamPalace_00000207.jpg],5[BuckinghamPalace_00000168.jpg],5[BuckinghamPalace_200000106.jpg],5[BuckinghamPalace_00000087.jpg],5[BuckinghamPalace_00000145.jpg],5[BuckinghamPalace_200000121.jpg],5[BuckinghamPalace_200000080.jpg],5[BuckinghamPalace_200000107.jpg],5[BuckinghamPalace_200000102.jpg],5[BuckinghamPalace_00000084.jpg],5[BuckinghamPalace_00000194.jpg],5[BuckinghamPalace_00000086.jpg],5[BuckinghamPalace_200000105.jpg],5[BuckinghamPalace_200000199.jpg],5[BuckinghamPalace_200000028.jpg],5[BuckinghamPalace_200000064.jpg],5[BuckinghamPalace_00000156.jpg],5[BuckinghamPalace_00000069.jpg],5[BuckinghamPalace_00000070.jpg],5[BuckinghamPalace_200000122.jpg],5[BuckinghamPalace_200000032.jpg],5[BuckinghamPalace_200000180.jpg],5[BuckinghamPalace_00000043.jpg],1[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3IQ1VMJRYUAD78QO70WG19HXPXY9A9,A1PH1I9F2AA3TZ,Approved,"Sun Sep 25 06:43:03 PDT 2016","Sun Sep 25 06:44:40 PDT 2016",3[BuckinghamPalace_200000138.jpg],4[BuckinghamPalace_200000134.jpg],2[BuckinghamPalace_00000154.jpg],2[BuckinghamPalace_00000220.jpg],3[BuckinghamPalace_200000182.jpg],3[BuckinghamPalace_00000144.jpg],1[BuckinghamPalace_00000207.jpg],4[BuckinghamPalace_00000168.jpg],5[BuckinghamPalace_200000106.jpg],5[BuckinghamPalace_00000087.jpg],3[BuckinghamPalace_00000145.jpg],5[BuckinghamPalace_200000121.jpg],3[BuckinghamPalace_200000080.jpg],3[BuckinghamPalace_200000107.jpg],4[BuckinghamPalace_200000102.jpg],5[BuckinghamPalace_00000084.jpg],4[BuckinghamPalace_00000194.jpg],4[BuckinghamPalace_00000086.jpg],3[BuckinghamPalace_200000105.jpg],3[BuckinghamPalace_200000199.jpg],4[BuckinghamPalace_200000028.jpg],3[BuckinghamPalace_200000064.jpg],5[BuckinghamPalace_00000156.jpg],3[BuckinghamPalace_00000069.jpg],4[BuckinghamPalace_00000070.jpg],3[BuckinghamPalace_200000122.jpg],4[BuckinghamPalace_200000032.jpg],4[BuckinghamPalace_200000180.jpg],3[BuckinghamPalace_00000043.jpg],2[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",337RC3OW06SS0YUV7SQ225M5A1LLVO,A311BTV53IKX3D,Approved,"Sun Sep 25 08:11:47 PDT 2016","Sun Sep 25 08:14:05 PDT 2016",4[BuckinghamPalace_200000138.jpg],4[BuckinghamPalace_200000134.jpg],2[BuckinghamPalace_00000154.jpg],2[BuckinghamPalace_00000220.jpg],3[BuckinghamPalace_200000182.jpg],3[BuckinghamPalace_00000144.jpg],3[BuckinghamPalace_00000207.jpg],4[BuckinghamPalace_00000168.jpg],3[BuckinghamPalace_200000106.jpg],4[BuckinghamPalace_00000087.jpg],3[BuckinghamPalace_00000145.jpg],3[BuckinghamPalace_200000121.jpg],3[BuckinghamPalace_200000080.jpg],3[BuckinghamPalace_200000107.jpg],3[BuckinghamPalace_200000102.jpg],3[BuckinghamPalace_00000084.jpg],4[BuckinghamPalace_00000194.jpg],4[BuckinghamPalace_00000086.jpg],4[BuckinghamPalace_200000105.jpg],4[BuckinghamPalace_200000199.jpg],5[BuckinghamPalace_200000028.jpg],4[BuckinghamPalace_200000064.jpg],5[BuckinghamPalace_00000156.jpg],4[BuckinghamPalace_00000069.jpg],4[BuckinghamPalace_00000070.jpg],5[BuckinghamPalace_200000122.jpg],4[BuckinghamPalace_200000032.jpg],5[BuckinghamPalace_200000180.jpg],4[BuckinghamPalace_00000043.jpg],4[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",30ZX6P7VF9LD8H8TGXUEKLC29EO2JW,A2T01LQBGRSCDF,Approved,"Sun Sep 25 08:19:25 PDT 2016","Sun Sep 25 08:23:37 PDT 2016",1[BuckinghamPalace_200000138.jpg],2[BuckinghamPalace_200000134.jpg],4[BuckinghamPalace_00000154.jpg],1[BuckinghamPalace_00000220.jpg],1[BuckinghamPalace_200000182.jpg],4[BuckinghamPalace_00000144.jpg],1[BuckinghamPalace_00000207.jpg],2[BuckinghamPalace_00000168.jpg],2[BuckinghamPalace_200000106.jpg],4[BuckinghamPalace_00000087.jpg],2[BuckinghamPalace_00000145.jpg],1[BuckinghamPalace_200000121.jpg],2[BuckinghamPalace_200000080.jpg],3[BuckinghamPalace_200000107.jpg],2[BuckinghamPalace_200000102.jpg],2[BuckinghamPalace_00000084.jpg],4[BuckinghamPalace_00000194.jpg],4[BuckinghamPalace_00000086.jpg],2[BuckinghamPalace_200000105.jpg],1[BuckinghamPalace_200000199.jpg],1[BuckinghamPalace_200000028.jpg],2[BuckinghamPalace_200000064.jpg],4[BuckinghamPalace_00000156.jpg],2[BuckinghamPalace_00000069.jpg],2[BuckinghamPalace_00000070.jpg],3[BuckinghamPalace_200000122.jpg],3[BuckinghamPalace_200000032.jpg],2[BuckinghamPalace_200000180.jpg],3[BuckinghamPalace_00000043.jpg],2[BuckinghamPalace_200000103.jpg],
3NI0WFPPI96S2SSFRORA39JXOP460D,"BuckinghamPalace_330-359","sample#command",3TPWUS5F8ARCCJ0UKP2ZLOFWN1ECWE,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 09:16:04 PDT 2016","Sun Sep 25 09:34:49 PDT 2016",3[BuckinghamPalace_200000138.jpg],2[BuckinghamPalace_200000134.jpg],2[BuckinghamPalace_00000154.jpg],1[BuckinghamPalace_00000220.jpg],3[BuckinghamPalace_200000182.jpg],2[BuckinghamPalace_00000144.jpg],1[BuckinghamPalace_00000207.jpg],3[BuckinghamPalace_00000168.jpg],3[BuckinghamPalace_200000106.jpg],3[BuckinghamPalace_00000087.jpg],1[BuckinghamPalace_00000145.jpg],2[BuckinghamPalace_200000121.jpg],2[BuckinghamPalace_200000080.jpg],3[BuckinghamPalace_200000107.jpg],3[BuckinghamPalace_200000102.jpg],2[BuckinghamPalace_00000084.jpg],3[BuckinghamPalace_00000194.jpg],2[BuckinghamPalace_00000086.jpg],2[BuckinghamPalace_200000105.jpg],2[BuckinghamPalace_200000199.jpg],3[BuckinghamPalace_200000028.jpg],3[BuckinghamPalace_200000064.jpg],2[BuckinghamPalace_00000156.jpg],3[BuckinghamPalace_00000069.jpg],2[BuckinghamPalace_00000070.jpg],3[BuckinghamPalace_200000122.jpg],3[BuckinghamPalace_200000032.jpg],2[BuckinghamPalace_200000180.jpg],2[BuckinghamPalace_00000043.jpg],2[BuckinghamPalace_200000103.jpg],
