HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3OS46CRSLGPAHDROKOK0DM48K6GV6A,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:20:48 PDT 2016","Sun Sep 25 01:23:14 PDT 2016",3[BuckinghamPalace_00000035.jpg],5[BuckinghamPalace_200000200.jpg],2[BuckinghamPalace_00000238.jpg],3[BuckinghamPalace_00000071.jpg],5[BuckinghamPalace_00000224.jpg],3[BuckinghamPalace_00000259.jpg],2[BuckinghamPalace_00000122.jpg],3[BuckinghamPalace_00000212.jpg],5[BuckinghamPalace_200000038.jpg],4[BuckinghamPalace_200000037.jpg],5[BuckinghamPalace_00000095.jpg],5[BuckinghamPalace_200000039.jpg],3[BuckinghamPalace_200000006.jpg],5[BuckinghamPalace_00000208.jpg],4[BuckinghamPalace_00000222.jpg],4[BuckinghamPalace_00000116.jpg],5[BuckinghamPalace_00000170.jpg],1[BuckinghamPalace_200000108.jpg],3[BuckinghamPalace_00000111.jpg],2[BuckinghamPalace_200000174.jpg],4[BuckinghamPalace_200000066.jpg],2[BuckinghamPalace_00000248.jpg],4[BuckinghamPalace_00000006.jpg],3[BuckinghamPalace_00000058.jpg],3[BuckinghamPalace_00000079.jpg],2[BuckinghamPalace_200000178.jpg],2[BuckinghamPalace_00000128.jpg],2[BuckinghamPalace_200000169.jpg],4[BuckinghamPalace_200000009.jpg],1[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3EICBYG645MQ6Z0VDQJKWYLOL5LJC6,A3J5GUVGA6WQJG,Approved,"Sun Sep 25 01:39:34 PDT 2016","Sun Sep 25 01:41:23 PDT 2016",4[BuckinghamPalace_00000035.jpg],4[BuckinghamPalace_200000200.jpg],4[BuckinghamPalace_00000238.jpg],4[BuckinghamPalace_00000071.jpg],4[BuckinghamPalace_00000224.jpg],3[BuckinghamPalace_00000259.jpg],3[BuckinghamPalace_00000122.jpg],4[BuckinghamPalace_00000212.jpg],4[BuckinghamPalace_200000038.jpg],4[BuckinghamPalace_200000037.jpg],4[BuckinghamPalace_00000095.jpg],5[BuckinghamPalace_200000039.jpg],4[BuckinghamPalace_200000006.jpg],5[BuckinghamPalace_00000208.jpg],5[BuckinghamPalace_00000222.jpg],4[BuckinghamPalace_00000116.jpg],4[BuckinghamPalace_00000170.jpg],4[BuckinghamPalace_200000108.jpg],4[BuckinghamPalace_00000111.jpg],4[BuckinghamPalace_200000174.jpg],5[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],4[BuckinghamPalace_00000006.jpg],5[BuckinghamPalace_00000058.jpg],4[BuckinghamPalace_00000079.jpg],5[BuckinghamPalace_200000178.jpg],3[BuckinghamPalace_00000128.jpg],4[BuckinghamPalace_200000169.jpg],4[BuckinghamPalace_200000009.jpg],3[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3FTOP5WARGE6C75F1AQ01XJNCGOJ0D,A22JTMBADARX55,Approved,"Sun Sep 25 01:35:42 PDT 2016","Sun Sep 25 01:53:24 PDT 2016",4[BuckinghamPalace_00000035.jpg],5[BuckinghamPalace_200000200.jpg],4[BuckinghamPalace_00000238.jpg],4[BuckinghamPalace_00000071.jpg],5[BuckinghamPalace_00000224.jpg],4[BuckinghamPalace_00000259.jpg],4[BuckinghamPalace_00000122.jpg],4[BuckinghamPalace_00000212.jpg],5[BuckinghamPalace_200000038.jpg],5[BuckinghamPalace_200000037.jpg],4[BuckinghamPalace_00000095.jpg],4[BuckinghamPalace_200000039.jpg],4[BuckinghamPalace_200000006.jpg],5[BuckinghamPalace_00000208.jpg],4[BuckinghamPalace_00000222.jpg],4[BuckinghamPalace_00000116.jpg],5[BuckinghamPalace_00000170.jpg],4[BuckinghamPalace_200000108.jpg],4[BuckinghamPalace_00000111.jpg],5[BuckinghamPalace_200000174.jpg],4[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],4[BuckinghamPalace_00000006.jpg],4[BuckinghamPalace_00000058.jpg],4[BuckinghamPalace_00000079.jpg],4[BuckinghamPalace_200000178.jpg],4[BuckinghamPalace_00000128.jpg],4[BuckinghamPalace_200000169.jpg],3[BuckinghamPalace_200000009.jpg],1[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3OONKJ5DKD9LX5ZMF3FUTAWS2EWOBO,AURF17VKAGMY5,Approved,"Sun Sep 25 02:05:29 PDT 2016","Sun Sep 25 02:10:37 PDT 2016",4[BuckinghamPalace_00000035.jpg],5[BuckinghamPalace_200000200.jpg],5[BuckinghamPalace_00000238.jpg],4[BuckinghamPalace_00000071.jpg],5[BuckinghamPalace_00000224.jpg],1[BuckinghamPalace_00000259.jpg],1[BuckinghamPalace_00000122.jpg],2[BuckinghamPalace_00000212.jpg],5[BuckinghamPalace_200000038.jpg],4[BuckinghamPalace_200000037.jpg],3[BuckinghamPalace_00000095.jpg],5[BuckinghamPalace_200000039.jpg],5[BuckinghamPalace_200000006.jpg],3[BuckinghamPalace_00000208.jpg],4[BuckinghamPalace_00000222.jpg],3[BuckinghamPalace_00000116.jpg],5[BuckinghamPalace_00000170.jpg],2[BuckinghamPalace_200000108.jpg],5[BuckinghamPalace_00000111.jpg],3[BuckinghamPalace_200000174.jpg],4[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],1[BuckinghamPalace_00000006.jpg],1[BuckinghamPalace_00000058.jpg],2[BuckinghamPalace_00000079.jpg],3[BuckinghamPalace_200000178.jpg],2[BuckinghamPalace_00000128.jpg],2[BuckinghamPalace_200000169.jpg],5[BuckinghamPalace_200000009.jpg],3[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3LKC68YZ3BTDL8XXAUBQGO9DCFEOW4,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:11:14 PDT 2016","Sun Sep 25 02:19:53 PDT 2016",5[BuckinghamPalace_00000035.jpg],5[BuckinghamPalace_200000200.jpg],5[BuckinghamPalace_00000238.jpg],5[BuckinghamPalace_00000071.jpg],5[BuckinghamPalace_00000224.jpg],5[BuckinghamPalace_00000259.jpg],5[BuckinghamPalace_00000122.jpg],5[BuckinghamPalace_00000212.jpg],5[BuckinghamPalace_200000038.jpg],5[BuckinghamPalace_200000037.jpg],5[BuckinghamPalace_00000095.jpg],5[BuckinghamPalace_200000039.jpg],5[BuckinghamPalace_200000006.jpg],5[BuckinghamPalace_00000208.jpg],5[BuckinghamPalace_00000222.jpg],5[BuckinghamPalace_00000116.jpg],5[BuckinghamPalace_00000170.jpg],5[BuckinghamPalace_200000108.jpg],5[BuckinghamPalace_00000111.jpg],5[BuckinghamPalace_200000174.jpg],5[BuckinghamPalace_200000066.jpg],5[BuckinghamPalace_00000248.jpg],5[BuckinghamPalace_00000006.jpg],5[BuckinghamPalace_00000058.jpg],5[BuckinghamPalace_00000079.jpg],5[BuckinghamPalace_200000178.jpg],5[BuckinghamPalace_00000128.jpg],5[BuckinghamPalace_200000169.jpg],5[BuckinghamPalace_200000009.jpg],5[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3GLB5JMZFYLQKPG85GTSJRBQEDJGD2,A14CX1IUDSVFLL,Approved,"Sun Sep 25 02:31:21 PDT 2016","Sun Sep 25 02:33:05 PDT 2016",3[BuckinghamPalace_00000035.jpg],3[BuckinghamPalace_200000200.jpg],4[BuckinghamPalace_00000238.jpg],1[BuckinghamPalace_00000071.jpg],2[BuckinghamPalace_00000224.jpg],1[BuckinghamPalace_00000259.jpg],2[BuckinghamPalace_00000122.jpg],2[BuckinghamPalace_00000212.jpg],4[BuckinghamPalace_200000038.jpg],4[BuckinghamPalace_200000037.jpg],2[BuckinghamPalace_00000095.jpg],2[BuckinghamPalace_200000039.jpg],2[BuckinghamPalace_200000006.jpg],3[BuckinghamPalace_00000208.jpg],3[BuckinghamPalace_00000222.jpg],2[BuckinghamPalace_00000116.jpg],2[BuckinghamPalace_00000170.jpg],5[BuckinghamPalace_200000108.jpg],3[BuckinghamPalace_00000111.jpg],4[BuckinghamPalace_200000174.jpg],2[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],4[BuckinghamPalace_00000006.jpg],1[BuckinghamPalace_00000058.jpg],2[BuckinghamPalace_00000079.jpg],4[BuckinghamPalace_200000178.jpg],2[BuckinghamPalace_00000128.jpg],4[BuckinghamPalace_200000169.jpg],1[BuckinghamPalace_200000009.jpg],4[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3OXV7EAXLFGQ54P50EEUURCPTMR63S,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:34:02 PDT 2016","Sun Sep 25 02:38:25 PDT 2016",1[BuckinghamPalace_00000035.jpg],2[BuckinghamPalace_200000200.jpg],2[BuckinghamPalace_00000238.jpg],2[BuckinghamPalace_00000071.jpg],2[BuckinghamPalace_00000224.jpg],1[BuckinghamPalace_00000259.jpg],2[BuckinghamPalace_00000122.jpg],2[BuckinghamPalace_00000212.jpg],2[BuckinghamPalace_200000038.jpg],2[BuckinghamPalace_200000037.jpg],2[BuckinghamPalace_00000095.jpg],2[BuckinghamPalace_200000039.jpg],3[BuckinghamPalace_200000006.jpg],3[BuckinghamPalace_00000208.jpg],4[BuckinghamPalace_00000222.jpg],3[BuckinghamPalace_00000116.jpg],3[BuckinghamPalace_00000170.jpg],3[BuckinghamPalace_200000108.jpg],3[BuckinghamPalace_00000111.jpg],3[BuckinghamPalace_200000174.jpg],3[BuckinghamPalace_200000066.jpg],3[BuckinghamPalace_00000248.jpg],3[BuckinghamPalace_00000006.jpg],3[BuckinghamPalace_00000058.jpg],3[BuckinghamPalace_00000079.jpg],3[BuckinghamPalace_200000178.jpg],2[BuckinghamPalace_00000128.jpg],2[BuckinghamPalace_200000169.jpg],3[BuckinghamPalace_200000009.jpg],2[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3KV0LJBBH3BKD9VZYKM71LCRP0ORMT,A1VOZRZINYXSIE,Approved,"Sun Sep 25 03:58:26 PDT 2016","Sun Sep 25 04:01:47 PDT 2016",3[BuckinghamPalace_00000035.jpg],3[BuckinghamPalace_200000200.jpg],3[BuckinghamPalace_00000238.jpg],3[BuckinghamPalace_00000071.jpg],3[BuckinghamPalace_00000224.jpg],3[BuckinghamPalace_00000259.jpg],3[BuckinghamPalace_00000122.jpg],3[BuckinghamPalace_00000212.jpg],3[BuckinghamPalace_200000038.jpg],3[BuckinghamPalace_200000037.jpg],3[BuckinghamPalace_00000095.jpg],3[BuckinghamPalace_200000039.jpg],3[BuckinghamPalace_200000006.jpg],3[BuckinghamPalace_00000208.jpg],3[BuckinghamPalace_00000222.jpg],3[BuckinghamPalace_00000116.jpg],3[BuckinghamPalace_00000170.jpg],3[BuckinghamPalace_200000108.jpg],3[BuckinghamPalace_00000111.jpg],3[BuckinghamPalace_200000174.jpg],3[BuckinghamPalace_200000066.jpg],3[BuckinghamPalace_00000248.jpg],3[BuckinghamPalace_00000006.jpg],3[BuckinghamPalace_00000058.jpg],3[BuckinghamPalace_00000079.jpg],3[BuckinghamPalace_200000178.jpg],3[BuckinghamPalace_00000128.jpg],3[BuckinghamPalace_200000169.jpg],3[BuckinghamPalace_200000009.jpg],3[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3R08VXYT7DL6025YT8UO52NIMQA7W3,A2UFHATEG76AO5,Approved,"Sun Sep 25 05:05:05 PDT 2016","Sun Sep 25 05:09:42 PDT 2016",5[BuckinghamPalace_00000035.jpg],4[BuckinghamPalace_200000200.jpg],2[BuckinghamPalace_00000238.jpg],1[BuckinghamPalace_00000071.jpg],2[BuckinghamPalace_00000224.jpg],1[BuckinghamPalace_00000259.jpg],1[BuckinghamPalace_00000122.jpg],1[BuckinghamPalace_00000212.jpg],3[BuckinghamPalace_200000038.jpg],3[BuckinghamPalace_200000037.jpg],2[BuckinghamPalace_00000095.jpg],2[BuckinghamPalace_200000039.jpg],3[BuckinghamPalace_200000006.jpg],2[BuckinghamPalace_00000208.jpg],3[BuckinghamPalace_00000222.jpg],2[BuckinghamPalace_00000116.jpg],2[BuckinghamPalace_00000170.jpg],4[BuckinghamPalace_200000108.jpg],3[BuckinghamPalace_00000111.jpg],4[BuckinghamPalace_200000174.jpg],3[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],2[BuckinghamPalace_00000006.jpg],1[BuckinghamPalace_00000058.jpg],2[BuckinghamPalace_00000079.jpg],3[BuckinghamPalace_200000178.jpg],2[BuckinghamPalace_00000128.jpg],3[BuckinghamPalace_200000169.jpg],3[BuckinghamPalace_200000009.jpg],3[BuckinghamPalace_00000196.jpg],
3OID399FXGXIK5MK4TI9CMGTBDGDFG,"BuckinghamPalace_270-299","sample#command",3KJYX6QCMA1M586V47EPMQ9D6C8JVC,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:29:56 PDT 2016","Sun Sep 25 05:31:00 PDT 2016",5[BuckinghamPalace_00000035.jpg],5[BuckinghamPalace_200000200.jpg],5[BuckinghamPalace_00000238.jpg],5[BuckinghamPalace_00000071.jpg],5[BuckinghamPalace_00000224.jpg],4[BuckinghamPalace_00000259.jpg],3[BuckinghamPalace_00000122.jpg],5[BuckinghamPalace_00000212.jpg],5[BuckinghamPalace_200000038.jpg],5[BuckinghamPalace_200000037.jpg],4[BuckinghamPalace_00000095.jpg],5[BuckinghamPalace_200000039.jpg],5[BuckinghamPalace_200000006.jpg],5[BuckinghamPalace_00000208.jpg],5[BuckinghamPalace_00000222.jpg],5[BuckinghamPalace_00000116.jpg],5[BuckinghamPalace_00000170.jpg],5[BuckinghamPalace_200000108.jpg],5[BuckinghamPalace_00000111.jpg],4[BuckinghamPalace_200000174.jpg],5[BuckinghamPalace_200000066.jpg],4[BuckinghamPalace_00000248.jpg],3[BuckinghamPalace_00000006.jpg],4[BuckinghamPalace_00000058.jpg],4[BuckinghamPalace_00000079.jpg],4[BuckinghamPalace_200000178.jpg],4[BuckinghamPalace_00000128.jpg],4[BuckinghamPalace_200000169.jpg],5[BuckinghamPalace_200000009.jpg],4[BuckinghamPalace_00000196.jpg],
