HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",35K3O9HUAC3PYVYDQRYU7OTZDAHFES,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:25:47 PDT 2016","Sun Sep 25 01:27:45 PDT 2016",3[BuckinghamPalace_200000158.jpg],4[BuckinghamPalace_00000104.jpg],2[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],2[BuckinghamPalace_200000165.jpg],3[BuckinghamPalace_200000159.jpg],4[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],2[BuckinghamPalace_00000227.jpg],5[BuckinghamPalace_200000145.jpg],2[BuckinghamPalace_00000127.jpg],1[BuckinghamPalace_00000189.jpg],2[BuckinghamPalace_00000228.jpg],3[BuckinghamPalace_200000046.jpg],3[BuckinghamPalace_00000229.jpg],4[BuckinghamPalace_200000142.jpg],3[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],3[BuckinghamPalace_200000143.jpg],2[BuckinghamPalace_00000198.jpg],4[BuckinghamPalace_200000173.jpg],3[BuckinghamPalace_200000166.jpg],2[BuckinghamPalace_00000216.jpg],2[BuckinghamPalace_200000148.jpg],1[BuckinghamPalace_00000232.jpg],2[BuckinghamPalace_200000156.jpg],2[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],3[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3W2LOLRXLC5PNLVWD89RM8KN0VORKJ,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:37 PDT 2016","Sun Sep 25 01:48:08 PDT 2016",5[BuckinghamPalace_200000158.jpg],5[BuckinghamPalace_00000104.jpg],5[BuckinghamPalace_00000100.jpg],5[BuckinghamPalace_200000175.jpg],5[BuckinghamPalace_200000165.jpg],5[BuckinghamPalace_200000159.jpg],5[BuckinghamPalace_200000206.jpg],5[BuckinghamPalace_200000196.jpg],5[BuckinghamPalace_00000227.jpg],5[BuckinghamPalace_200000145.jpg],5[BuckinghamPalace_00000127.jpg],5[BuckinghamPalace_00000189.jpg],5[BuckinghamPalace_00000228.jpg],4[BuckinghamPalace_200000046.jpg],5[BuckinghamPalace_00000229.jpg],5[BuckinghamPalace_200000142.jpg],5[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],5[BuckinghamPalace_200000143.jpg],5[BuckinghamPalace_00000198.jpg],5[BuckinghamPalace_200000173.jpg],5[BuckinghamPalace_200000166.jpg],5[BuckinghamPalace_00000216.jpg],5[BuckinghamPalace_200000148.jpg],5[BuckinghamPalace_00000232.jpg],5[BuckinghamPalace_200000156.jpg],5[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],5[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3LBXNTKX0SLP3LYHIAOULHSVQIYX9S,AURF17VKAGMY5,Approved,"Sun Sep 25 02:17:37 PDT 2016","Sun Sep 25 02:23:34 PDT 2016",3[BuckinghamPalace_200000158.jpg],2[BuckinghamPalace_00000104.jpg],2[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],3[BuckinghamPalace_200000165.jpg],3[BuckinghamPalace_200000159.jpg],1[BuckinghamPalace_200000206.jpg],5[BuckinghamPalace_200000196.jpg],2[BuckinghamPalace_00000227.jpg],4[BuckinghamPalace_200000145.jpg],1[BuckinghamPalace_00000127.jpg],4[BuckinghamPalace_00000189.jpg],2[BuckinghamPalace_00000228.jpg],2[BuckinghamPalace_200000046.jpg],2[BuckinghamPalace_00000229.jpg],4[BuckinghamPalace_200000142.jpg],3[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],4[BuckinghamPalace_200000143.jpg],4[BuckinghamPalace_00000198.jpg],4[BuckinghamPalace_200000173.jpg],3[BuckinghamPalace_200000166.jpg],3[BuckinghamPalace_00000216.jpg],3[BuckinghamPalace_200000148.jpg],3[BuckinghamPalace_00000232.jpg],4[BuckinghamPalace_200000156.jpg],3[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],3[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3HWRJOOET6SY203ZWBYTENCE20EESD,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:41:54 PDT 2016","Sun Sep 25 02:46:18 PDT 2016",2[BuckinghamPalace_200000158.jpg],2[BuckinghamPalace_00000104.jpg],3[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],3[BuckinghamPalace_200000165.jpg],4[BuckinghamPalace_200000159.jpg],3[BuckinghamPalace_200000206.jpg],3[BuckinghamPalace_200000196.jpg],2[BuckinghamPalace_00000227.jpg],2[BuckinghamPalace_200000145.jpg],2[BuckinghamPalace_00000127.jpg],2[BuckinghamPalace_00000189.jpg],2[BuckinghamPalace_00000228.jpg],2[BuckinghamPalace_200000046.jpg],2[BuckinghamPalace_00000229.jpg],4[BuckinghamPalace_200000142.jpg],4[BuckinghamPalace_200000155.jpg],4[BuckinghamPalace_00000147.jpg],4[BuckinghamPalace_200000143.jpg],4[BuckinghamPalace_00000198.jpg],4[BuckinghamPalace_200000173.jpg],4[BuckinghamPalace_200000166.jpg],3[BuckinghamPalace_00000216.jpg],3[BuckinghamPalace_200000148.jpg],3[BuckinghamPalace_00000232.jpg],5[BuckinghamPalace_200000156.jpg],5[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],4[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",30LB5CDZND0WCMAJJWTMPR7DVE6Z0J,A1VOZRZINYXSIE,Approved,"Sun Sep 25 04:08:43 PDT 2016","Sun Sep 25 04:11:35 PDT 2016",3[BuckinghamPalace_200000158.jpg],2[BuckinghamPalace_00000104.jpg],2[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],3[BuckinghamPalace_200000165.jpg],3[BuckinghamPalace_200000159.jpg],3[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],3[BuckinghamPalace_00000227.jpg],2[BuckinghamPalace_200000145.jpg],2[BuckinghamPalace_00000127.jpg],3[BuckinghamPalace_00000189.jpg],3[BuckinghamPalace_00000228.jpg],3[BuckinghamPalace_200000046.jpg],3[BuckinghamPalace_00000229.jpg],5[BuckinghamPalace_200000142.jpg],5[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],5[BuckinghamPalace_200000143.jpg],5[BuckinghamPalace_00000198.jpg],5[BuckinghamPalace_200000173.jpg],5[BuckinghamPalace_200000166.jpg],5[BuckinghamPalace_00000216.jpg],5[BuckinghamPalace_200000148.jpg],4[BuckinghamPalace_00000232.jpg],4[BuckinghamPalace_200000156.jpg],3[BuckinghamPalace_200000063.jpg],4[BuckinghamPalace_200000031.jpg],3[BuckinghamPalace_00000034.jpg],3[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3X31TUMD7YCCEMEX0E6DVHFPLX61L7,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:53:45 PDT 2016","Sun Sep 25 04:58:50 PDT 2016",4[BuckinghamPalace_200000158.jpg],2[BuckinghamPalace_00000104.jpg],1[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],2[BuckinghamPalace_200000165.jpg],2[BuckinghamPalace_200000159.jpg],2[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],4[BuckinghamPalace_00000227.jpg],2[BuckinghamPalace_200000145.jpg],1[BuckinghamPalace_00000127.jpg],2[BuckinghamPalace_00000189.jpg],1[BuckinghamPalace_00000228.jpg],4[BuckinghamPalace_200000046.jpg],3[BuckinghamPalace_00000229.jpg],2[BuckinghamPalace_200000142.jpg],1[BuckinghamPalace_200000155.jpg],2[BuckinghamPalace_00000147.jpg],1[BuckinghamPalace_200000143.jpg],1[BuckinghamPalace_00000198.jpg],1[BuckinghamPalace_200000173.jpg],2[BuckinghamPalace_200000166.jpg],3[BuckinghamPalace_00000216.jpg],1[BuckinghamPalace_200000148.jpg],1[BuckinghamPalace_00000232.jpg],1[BuckinghamPalace_200000156.jpg],1[BuckinghamPalace_200000063.jpg],3[BuckinghamPalace_200000031.jpg],2[BuckinghamPalace_00000034.jpg],3[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3Z7ISHFUH1LEUBFME061I6DVECKZ88,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:34:09 PDT 2016","Sun Sep 25 05:40:11 PDT 2016",4[BuckinghamPalace_200000158.jpg],5[BuckinghamPalace_00000104.jpg],4[BuckinghamPalace_00000100.jpg],4[BuckinghamPalace_200000175.jpg],4[BuckinghamPalace_200000165.jpg],4[BuckinghamPalace_200000159.jpg],4[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],4[BuckinghamPalace_00000227.jpg],5[BuckinghamPalace_200000145.jpg],4[BuckinghamPalace_00000127.jpg],3[BuckinghamPalace_00000189.jpg],4[BuckinghamPalace_00000228.jpg],4[BuckinghamPalace_200000046.jpg],4[BuckinghamPalace_00000229.jpg],4[BuckinghamPalace_200000142.jpg],5[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],5[BuckinghamPalace_200000143.jpg],5[BuckinghamPalace_00000198.jpg],4[BuckinghamPalace_200000173.jpg],4[BuckinghamPalace_200000166.jpg],4[BuckinghamPalace_00000216.jpg],4[BuckinghamPalace_200000148.jpg],4[BuckinghamPalace_00000232.jpg],4[BuckinghamPalace_200000156.jpg],4[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],5[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3CFVK00FWMB7L8FU6KIUQD66T8TL6W,A2T01LQBGRSCDF,Approved,"Sun Sep 25 07:55:28 PDT 2016","Sun Sep 25 08:02:14 PDT 2016",1[BuckinghamPalace_200000158.jpg],1[BuckinghamPalace_00000104.jpg],1[BuckinghamPalace_00000100.jpg],1[BuckinghamPalace_200000175.jpg],1[BuckinghamPalace_200000165.jpg],1[BuckinghamPalace_200000159.jpg],1[BuckinghamPalace_200000206.jpg],1[BuckinghamPalace_200000196.jpg],1[BuckinghamPalace_00000227.jpg],2[BuckinghamPalace_200000145.jpg],1[BuckinghamPalace_00000127.jpg],1[BuckinghamPalace_00000189.jpg],1[BuckinghamPalace_00000228.jpg],1[BuckinghamPalace_200000046.jpg],1[BuckinghamPalace_00000229.jpg],2[BuckinghamPalace_200000142.jpg],1[BuckinghamPalace_200000155.jpg],4[BuckinghamPalace_00000147.jpg],2[BuckinghamPalace_200000143.jpg],1[BuckinghamPalace_00000198.jpg],1[BuckinghamPalace_200000173.jpg],1[BuckinghamPalace_200000166.jpg],1[BuckinghamPalace_00000216.jpg],1[BuckinghamPalace_200000148.jpg],1[BuckinghamPalace_00000232.jpg],1[BuckinghamPalace_200000156.jpg],1[BuckinghamPalace_200000063.jpg],4[BuckinghamPalace_200000031.jpg],1[BuckinghamPalace_00000034.jpg],3[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3L70J4KAZHCPAY35JG1IN50NGIIDAZ,A311BTV53IKX3D,Approved,"Sun Sep 25 08:08:23 PDT 2016","Sun Sep 25 08:10:59 PDT 2016",4[BuckinghamPalace_200000158.jpg],5[BuckinghamPalace_00000104.jpg],3[BuckinghamPalace_00000100.jpg],4[BuckinghamPalace_200000175.jpg],3[BuckinghamPalace_200000165.jpg],3[BuckinghamPalace_200000159.jpg],4[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],3[BuckinghamPalace_00000227.jpg],5[BuckinghamPalace_200000145.jpg],4[BuckinghamPalace_00000127.jpg],4[BuckinghamPalace_00000189.jpg],3[BuckinghamPalace_00000228.jpg],3[BuckinghamPalace_200000046.jpg],4[BuckinghamPalace_00000229.jpg],5[BuckinghamPalace_200000142.jpg],4[BuckinghamPalace_200000155.jpg],3[BuckinghamPalace_00000147.jpg],4[BuckinghamPalace_200000143.jpg],3[BuckinghamPalace_00000198.jpg],5[BuckinghamPalace_200000173.jpg],5[BuckinghamPalace_200000166.jpg],4[BuckinghamPalace_00000216.jpg],4[BuckinghamPalace_200000148.jpg],4[BuckinghamPalace_00000232.jpg],3[BuckinghamPalace_200000156.jpg],3[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],4[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
3SSN80MU8CE7YXJFW4AIM6BQZR9KXR,"BuckinghamPalace_210-239","sample#command",3GFK2QRXXA7RDYRF5FFR7I9MVKNW5L,AUG53KCOWS12S,Approved,"Sun Sep 25 08:15:07 PDT 2016","Sun Sep 25 08:20:42 PDT 2016",5[BuckinghamPalace_200000158.jpg],5[BuckinghamPalace_00000104.jpg],1[BuckinghamPalace_00000100.jpg],3[BuckinghamPalace_200000175.jpg],4[BuckinghamPalace_200000165.jpg],4[BuckinghamPalace_200000159.jpg],3[BuckinghamPalace_200000206.jpg],4[BuckinghamPalace_200000196.jpg],2[BuckinghamPalace_00000227.jpg],2[BuckinghamPalace_200000145.jpg],1[BuckinghamPalace_00000127.jpg],1[BuckinghamPalace_00000189.jpg],5[BuckinghamPalace_00000228.jpg],4[BuckinghamPalace_200000046.jpg],4[BuckinghamPalace_00000229.jpg],5[BuckinghamPalace_200000142.jpg],2[BuckinghamPalace_200000155.jpg],5[BuckinghamPalace_00000147.jpg],4[BuckinghamPalace_200000143.jpg],1[BuckinghamPalace_00000198.jpg],2[BuckinghamPalace_200000173.jpg],1[BuckinghamPalace_200000166.jpg],1[BuckinghamPalace_00000216.jpg],2[BuckinghamPalace_200000148.jpg],1[BuckinghamPalace_00000232.jpg],3[BuckinghamPalace_200000156.jpg],1[BuckinghamPalace_200000063.jpg],5[BuckinghamPalace_200000031.jpg],4[BuckinghamPalace_00000034.jpg],5[BuckinghamPalace_00000157.jpg],
