HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",39KFRKBFIOLHADSXPVTE1LUTNNDYOC,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:53 PDT 2016","Sun Sep 25 01:52:48 PDT 2016",4[BuckinghamPalace_200000124.jpg],4[BuckinghamPalace_200000141.jpg],4[BuckinghamPalace_200000171.jpg],4[BuckinghamPalace_00000134.jpg],4[BuckinghamPalace_200000065.jpg],4[BuckinghamPalace_200000100.jpg],4[BuckinghamPalace_00000250.jpg],4[BuckinghamPalace_00000251.jpg],4[BuckinghamPalace_200000036.jpg],4[BuckinghamPalace_200000005.jpg],4[BuckinghamPalace_200000019.jpg],4[BuckinghamPalace_200000012.jpg],4[BuckinghamPalace_200000013.jpg],4[BuckinghamPalace_00000236.jpg],4[BuckinghamPalace_00000009.jpg],4[BuckinghamPalace_200000083.jpg],4[BuckinghamPalace_00000117.jpg],4[BuckinghamPalace_00000008.jpg],4[BuckinghamPalace_00000010.jpg],4[BuckinghamPalace_00000024.jpg],4[BuckinghamPalace_00000031.jpg],4[BuckinghamPalace_200000090.jpg],4[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],4[BuckinghamPalace_00000017.jpg],4[BuckinghamPalace_00000021.jpg],4[BuckinghamPalace_200000201.jpg],4[BuckinghamPalace_00000133.jpg],4[BuckinghamPalace_00000178.jpg],4[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3KGTPGBS6YBMMXJNSWYSRNLDQU6U24,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:37 PDT 2016","Sun Sep 25 02:04:25 PDT 2016",2[BuckinghamPalace_200000124.jpg],3[BuckinghamPalace_200000141.jpg],5[BuckinghamPalace_200000171.jpg],4[BuckinghamPalace_00000134.jpg],4[BuckinghamPalace_200000065.jpg],4[BuckinghamPalace_200000100.jpg],4[BuckinghamPalace_00000250.jpg],2[BuckinghamPalace_00000251.jpg],4[BuckinghamPalace_200000036.jpg],4[BuckinghamPalace_200000005.jpg],3[BuckinghamPalace_200000019.jpg],4[BuckinghamPalace_200000012.jpg],4[BuckinghamPalace_200000013.jpg],4[BuckinghamPalace_00000236.jpg],5[BuckinghamPalace_00000009.jpg],4[BuckinghamPalace_200000083.jpg],3[BuckinghamPalace_00000117.jpg],3[BuckinghamPalace_00000008.jpg],3[BuckinghamPalace_00000010.jpg],4[BuckinghamPalace_00000024.jpg],4[BuckinghamPalace_00000031.jpg],4[BuckinghamPalace_200000090.jpg],4[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],4[BuckinghamPalace_00000017.jpg],4[BuckinghamPalace_00000021.jpg],4[BuckinghamPalace_200000201.jpg],4[BuckinghamPalace_00000133.jpg],5[BuckinghamPalace_00000178.jpg],4[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3B3WTRP3DCSO25VKUL31VRYZD9Z92V,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:40:42 PDT 2016","Sun Sep 25 02:43:10 PDT 2016",1[BuckinghamPalace_200000124.jpg],3[BuckinghamPalace_200000141.jpg],4[BuckinghamPalace_200000171.jpg],3[BuckinghamPalace_00000134.jpg],3[BuckinghamPalace_200000065.jpg],3[BuckinghamPalace_200000100.jpg],3[BuckinghamPalace_00000250.jpg],3[BuckinghamPalace_00000251.jpg],3[BuckinghamPalace_200000036.jpg],3[BuckinghamPalace_200000005.jpg],3[BuckinghamPalace_200000019.jpg],3[BuckinghamPalace_200000012.jpg],3[BuckinghamPalace_200000013.jpg],3[BuckinghamPalace_00000236.jpg],3[BuckinghamPalace_00000009.jpg],3[BuckinghamPalace_200000083.jpg],3[BuckinghamPalace_00000117.jpg],3[BuckinghamPalace_00000008.jpg],3[BuckinghamPalace_00000010.jpg],3[BuckinghamPalace_00000024.jpg],3[BuckinghamPalace_00000031.jpg],3[BuckinghamPalace_200000090.jpg],4[BuckinghamPalace_00000012.jpg],5[BuckinghamPalace_00000013.jpg],4[BuckinghamPalace_00000017.jpg],4[BuckinghamPalace_00000021.jpg],1[BuckinghamPalace_200000201.jpg],3[BuckinghamPalace_00000133.jpg],3[BuckinghamPalace_00000178.jpg],3[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3LEIZ60CDKPE8GYWJSCFI286YI19Z6,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:25:19 PDT 2016","Sun Sep 25 04:29:45 PDT 2016",2[BuckinghamPalace_200000124.jpg],4[BuckinghamPalace_200000141.jpg],1[BuckinghamPalace_200000171.jpg],2[BuckinghamPalace_00000134.jpg],2[BuckinghamPalace_200000065.jpg],1[BuckinghamPalace_200000100.jpg],2[BuckinghamPalace_00000250.jpg],2[BuckinghamPalace_00000251.jpg],4[BuckinghamPalace_200000036.jpg],2[BuckinghamPalace_200000005.jpg],3[BuckinghamPalace_200000019.jpg],3[BuckinghamPalace_200000012.jpg],4[BuckinghamPalace_200000013.jpg],2[BuckinghamPalace_00000236.jpg],4[BuckinghamPalace_00000009.jpg],2[BuckinghamPalace_200000083.jpg],4[BuckinghamPalace_00000117.jpg],3[BuckinghamPalace_00000008.jpg],1[BuckinghamPalace_00000010.jpg],3[BuckinghamPalace_00000024.jpg],1[BuckinghamPalace_00000031.jpg],2[BuckinghamPalace_200000090.jpg],5[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],3[BuckinghamPalace_00000017.jpg],3[BuckinghamPalace_00000021.jpg],1[BuckinghamPalace_200000201.jpg],2[BuckinghamPalace_00000133.jpg],2[BuckinghamPalace_00000178.jpg],4[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3PQ8K71NHYARCR0TZ6AGX4SHVFCAAL,A1UX9EWSK062A9,Approved,"Sun Sep 25 04:30:40 PDT 2016","Sun Sep 25 04:32:53 PDT 2016",3[BuckinghamPalace_200000124.jpg],5[BuckinghamPalace_200000141.jpg],5[BuckinghamPalace_200000171.jpg],2[BuckinghamPalace_00000134.jpg],3[BuckinghamPalace_200000065.jpg],5[BuckinghamPalace_200000100.jpg],5[BuckinghamPalace_00000250.jpg],2[BuckinghamPalace_00000251.jpg],2[BuckinghamPalace_200000036.jpg],3[BuckinghamPalace_200000005.jpg],5[BuckinghamPalace_200000019.jpg],5[BuckinghamPalace_200000012.jpg],5[BuckinghamPalace_200000013.jpg],5[BuckinghamPalace_00000236.jpg],4[BuckinghamPalace_00000009.jpg],4[BuckinghamPalace_200000083.jpg],5[BuckinghamPalace_00000117.jpg],5[BuckinghamPalace_00000008.jpg],5[BuckinghamPalace_00000010.jpg],5[BuckinghamPalace_00000024.jpg],4[BuckinghamPalace_00000031.jpg],5[BuckinghamPalace_200000090.jpg],5[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],5[BuckinghamPalace_00000017.jpg],5[BuckinghamPalace_00000021.jpg],5[BuckinghamPalace_200000201.jpg],5[BuckinghamPalace_00000133.jpg],4[BuckinghamPalace_00000178.jpg],4[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",31QNSG6A5SJVA19GV5EIRMKW4J887Q,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:48:57 PDT 2016","Sun Sep 25 05:51:00 PDT 2016",5[BuckinghamPalace_200000124.jpg],3[BuckinghamPalace_200000141.jpg],3[BuckinghamPalace_200000171.jpg],3[BuckinghamPalace_00000134.jpg],3[BuckinghamPalace_200000065.jpg],4[BuckinghamPalace_200000100.jpg],4[BuckinghamPalace_00000250.jpg],4[BuckinghamPalace_00000251.jpg],4[BuckinghamPalace_200000036.jpg],5[BuckinghamPalace_200000005.jpg],5[BuckinghamPalace_200000019.jpg],5[BuckinghamPalace_200000012.jpg],5[BuckinghamPalace_200000013.jpg],5[BuckinghamPalace_00000236.jpg],5[BuckinghamPalace_00000009.jpg],5[BuckinghamPalace_200000083.jpg],5[BuckinghamPalace_00000117.jpg],5[BuckinghamPalace_00000008.jpg],5[BuckinghamPalace_00000010.jpg],5[BuckinghamPalace_00000024.jpg],5[BuckinghamPalace_00000031.jpg],5[BuckinghamPalace_200000090.jpg],5[BuckinghamPalace_00000012.jpg],5[BuckinghamPalace_00000013.jpg],5[BuckinghamPalace_00000017.jpg],5[BuckinghamPalace_00000021.jpg],5[BuckinghamPalace_200000201.jpg],4[BuckinghamPalace_00000133.jpg],5[BuckinghamPalace_00000178.jpg],5[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3TY7ZAOG5GA1NRBXJVQC2CJ0R54K0T,A311BTV53IKX3D,Approved,"Sun Sep 25 08:20:27 PDT 2016","Sun Sep 25 08:22:36 PDT 2016",3[BuckinghamPalace_200000124.jpg],3[BuckinghamPalace_200000141.jpg],4[BuckinghamPalace_200000171.jpg],4[BuckinghamPalace_00000134.jpg],3[BuckinghamPalace_200000065.jpg],5[BuckinghamPalace_200000100.jpg],4[BuckinghamPalace_00000250.jpg],3[BuckinghamPalace_00000251.jpg],5[BuckinghamPalace_200000036.jpg],3[BuckinghamPalace_200000005.jpg],4[BuckinghamPalace_200000019.jpg],4[BuckinghamPalace_200000012.jpg],4[BuckinghamPalace_200000013.jpg],3[BuckinghamPalace_00000236.jpg],4[BuckinghamPalace_00000009.jpg],4[BuckinghamPalace_200000083.jpg],5[BuckinghamPalace_00000117.jpg],4[BuckinghamPalace_00000008.jpg],4[BuckinghamPalace_00000010.jpg],3[BuckinghamPalace_00000024.jpg],4[BuckinghamPalace_00000031.jpg],4[BuckinghamPalace_200000090.jpg],4[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],3[BuckinghamPalace_00000017.jpg],3[BuckinghamPalace_00000021.jpg],3[BuckinghamPalace_200000201.jpg],3[BuckinghamPalace_00000133.jpg],4[BuckinghamPalace_00000178.jpg],4[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3I3WADAZ9RUJ8PIDETOHQOW0SISO55,A2T01LQBGRSCDF,Approved,"Sun Sep 25 09:06:57 PDT 2016","Sun Sep 25 09:13:12 PDT 2016",3[BuckinghamPalace_200000124.jpg],1[BuckinghamPalace_200000141.jpg],1[BuckinghamPalace_200000171.jpg],2[BuckinghamPalace_00000134.jpg],1[BuckinghamPalace_200000065.jpg],1[BuckinghamPalace_200000100.jpg],1[BuckinghamPalace_00000250.jpg],1[BuckinghamPalace_00000251.jpg],1[BuckinghamPalace_200000036.jpg],2[BuckinghamPalace_200000005.jpg],1[BuckinghamPalace_200000019.jpg],1[BuckinghamPalace_200000012.jpg],1[BuckinghamPalace_200000013.jpg],1[BuckinghamPalace_00000236.jpg],2[BuckinghamPalace_00000009.jpg],2[BuckinghamPalace_200000083.jpg],3[BuckinghamPalace_00000117.jpg],1[BuckinghamPalace_00000008.jpg],1[BuckinghamPalace_00000010.jpg],1[BuckinghamPalace_00000024.jpg],1[BuckinghamPalace_00000031.jpg],1[BuckinghamPalace_200000090.jpg],1[BuckinghamPalace_00000012.jpg],2[BuckinghamPalace_00000013.jpg],1[BuckinghamPalace_00000017.jpg],1[BuckinghamPalace_00000021.jpg],1[BuckinghamPalace_200000201.jpg],1[BuckinghamPalace_00000133.jpg],2[BuckinghamPalace_00000178.jpg],3[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3R2PKQ87NXY7KASG8XSYNTB024NIMY,A320B511MX5ALE,Approved,"Sun Sep 25 09:52:36 PDT 2016","Sun Sep 25 09:56:38 PDT 2016",3[BuckinghamPalace_200000124.jpg],4[BuckinghamPalace_200000141.jpg],1[BuckinghamPalace_200000171.jpg],3[BuckinghamPalace_00000134.jpg],3[BuckinghamPalace_200000065.jpg],1[BuckinghamPalace_200000100.jpg],5[BuckinghamPalace_00000250.jpg],4[BuckinghamPalace_00000251.jpg],2[BuckinghamPalace_200000036.jpg],5[BuckinghamPalace_200000005.jpg],4[BuckinghamPalace_200000019.jpg],4[BuckinghamPalace_200000012.jpg],5[BuckinghamPalace_200000013.jpg],5[BuckinghamPalace_00000236.jpg],4[BuckinghamPalace_00000009.jpg],3[BuckinghamPalace_200000083.jpg],5[BuckinghamPalace_00000117.jpg],2[BuckinghamPalace_00000008.jpg],2[BuckinghamPalace_00000010.jpg],4[BuckinghamPalace_00000024.jpg],1[BuckinghamPalace_00000031.jpg],4[BuckinghamPalace_200000090.jpg],2[BuckinghamPalace_00000012.jpg],4[BuckinghamPalace_00000013.jpg],4[BuckinghamPalace_00000017.jpg],5[BuckinghamPalace_00000021.jpg],4[BuckinghamPalace_200000201.jpg],1[BuckinghamPalace_00000133.jpg],3[BuckinghamPalace_00000178.jpg],5[BuckinghamPalace_00000016.jpg],
3V7ICJJAZA6F7SRB6GVKQSV2J2VB4J,"BuckinghamPalace_60-89","sample#command",3P59JYT76MA7MK4YSR8IMRZB7HP2TD,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 10:21:11 PDT 2016","Sun Sep 25 10:27:31 PDT 2016",2[BuckinghamPalace_200000124.jpg],2[BuckinghamPalace_200000141.jpg],2[BuckinghamPalace_200000171.jpg],2[BuckinghamPalace_00000134.jpg],2[BuckinghamPalace_200000065.jpg],2[BuckinghamPalace_200000100.jpg],1[BuckinghamPalace_00000250.jpg],2[BuckinghamPalace_00000251.jpg],2[BuckinghamPalace_200000036.jpg],3[BuckinghamPalace_200000005.jpg],2[BuckinghamPalace_200000019.jpg],2[BuckinghamPalace_200000012.jpg],4[BuckinghamPalace_200000013.jpg],2[BuckinghamPalace_00000236.jpg],2[BuckinghamPalace_00000009.jpg],3[BuckinghamPalace_200000083.jpg],2[BuckinghamPalace_00000117.jpg],2[BuckinghamPalace_00000008.jpg],3[BuckinghamPalace_00000010.jpg],2[BuckinghamPalace_00000024.jpg],2[BuckinghamPalace_00000031.jpg],2[BuckinghamPalace_200000090.jpg],2[BuckinghamPalace_00000012.jpg],2[BuckinghamPalace_00000013.jpg],2[BuckinghamPalace_00000017.jpg],3[BuckinghamPalace_00000021.jpg],2[BuckinghamPalace_200000201.jpg],2[BuckinghamPalace_00000133.jpg],2[BuckinghamPalace_00000178.jpg],2[BuckinghamPalace_00000016.jpg],
