HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",39U1BHVTDMHW720HWRMN5143DU03TY,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:44:22 PDT 2016","Sun Sep 25 01:47:40 PDT 2016",5[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],5[BuckinghamPalace_00000155.jpg],4[BuckinghamPalace_200000164.jpg],5[BuckinghamPalace_200000112.jpg],5[BuckinghamPalace_200000087.jpg],5[BuckinghamPalace_200000147.jpg],5[BuckinghamPalace_00000077.jpg],5[BuckinghamPalace_200000096.jpg],5[BuckinghamPalace_00000123.jpg],5[BuckinghamPalace_00000215.jpg],5[BuckinghamPalace_00000094.jpg],5[BuckinghamPalace_200000052.jpg],5[BuckinghamPalace_200000048.jpg],5[BuckinghamPalace_200000116.jpg],5[BuckinghamPalace_00000162.jpg],5[BuckinghamPalace_200000098.jpg],5[BuckinghamPalace_00000096.jpg],5[BuckinghamPalace_00000191.jpg],5[BuckinghamPalace_00000223.jpg],5[BuckinghamPalace_00000061.jpg],5[BuckinghamPalace_200000085.jpg],5[BuckinghamPalace_200000193.jpg],5[BuckinghamPalace_200000035.jpg],5[BuckinghamPalace_200000088.jpg],5[BuckinghamPalace_200000054.jpg],5[BuckinghamPalace_200000160.jpg],5[BuckinghamPalace_200000111.jpg],5[BuckinghamPalace_00000205.jpg],5[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3PW9OPU9PRA6D0SPQ8O8GLGGFX921D,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:24 PDT 2016","Sun Sep 25 01:57:48 PDT 2016",5[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],4[BuckinghamPalace_00000155.jpg],4[BuckinghamPalace_200000164.jpg],4[BuckinghamPalace_200000112.jpg],4[BuckinghamPalace_200000087.jpg],4[BuckinghamPalace_200000147.jpg],4[BuckinghamPalace_00000077.jpg],4[BuckinghamPalace_200000096.jpg],4[BuckinghamPalace_00000123.jpg],2[BuckinghamPalace_00000215.jpg],3[BuckinghamPalace_00000094.jpg],4[BuckinghamPalace_200000052.jpg],2[BuckinghamPalace_200000048.jpg],3[BuckinghamPalace_200000116.jpg],4[BuckinghamPalace_00000162.jpg],5[BuckinghamPalace_200000098.jpg],4[BuckinghamPalace_00000096.jpg],4[BuckinghamPalace_00000191.jpg],4[BuckinghamPalace_00000223.jpg],4[BuckinghamPalace_00000061.jpg],2[BuckinghamPalace_200000085.jpg],3[BuckinghamPalace_200000193.jpg],4[BuckinghamPalace_200000035.jpg],4[BuckinghamPalace_200000088.jpg],4[BuckinghamPalace_200000054.jpg],2[BuckinghamPalace_200000160.jpg],4[BuckinghamPalace_200000111.jpg],4[BuckinghamPalace_00000205.jpg],5[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",36W0OB37HX47NMGFH407VJ6UHV4ZHH,AURF17VKAGMY5,Approved,"Sun Sep 25 02:11:05 PDT 2016","Sun Sep 25 02:16:46 PDT 2016",2[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],4[BuckinghamPalace_00000155.jpg],2[BuckinghamPalace_200000164.jpg],4[BuckinghamPalace_200000112.jpg],3[BuckinghamPalace_200000087.jpg],3[BuckinghamPalace_200000147.jpg],4[BuckinghamPalace_00000077.jpg],4[BuckinghamPalace_200000096.jpg],5[BuckinghamPalace_00000123.jpg],4[BuckinghamPalace_00000215.jpg],4[BuckinghamPalace_00000094.jpg],4[BuckinghamPalace_200000052.jpg],3[BuckinghamPalace_200000048.jpg],3[BuckinghamPalace_200000116.jpg],5[BuckinghamPalace_00000162.jpg],4[BuckinghamPalace_200000098.jpg],5[BuckinghamPalace_00000096.jpg],5[BuckinghamPalace_00000191.jpg],5[BuckinghamPalace_00000223.jpg],3[BuckinghamPalace_00000061.jpg],5[BuckinghamPalace_200000085.jpg],3[BuckinghamPalace_200000193.jpg],2[BuckinghamPalace_200000035.jpg],4[BuckinghamPalace_200000088.jpg],2[BuckinghamPalace_200000054.jpg],5[BuckinghamPalace_200000160.jpg],3[BuckinghamPalace_200000111.jpg],4[BuckinghamPalace_00000205.jpg],5[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3PJUZCGDJ76ZOKX9A2C25IB2Z9R98Y,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:41:42 PDT 2016","Sun Sep 25 02:47:42 PDT 2016",5[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],4[BuckinghamPalace_00000155.jpg],4[BuckinghamPalace_200000164.jpg],4[BuckinghamPalace_200000112.jpg],4[BuckinghamPalace_200000087.jpg],4[BuckinghamPalace_200000147.jpg],5[BuckinghamPalace_00000077.jpg],5[BuckinghamPalace_200000096.jpg],5[BuckinghamPalace_00000123.jpg],5[BuckinghamPalace_00000215.jpg],5[BuckinghamPalace_00000094.jpg],5[BuckinghamPalace_200000052.jpg],4[BuckinghamPalace_200000048.jpg],2[BuckinghamPalace_200000116.jpg],2[BuckinghamPalace_00000162.jpg],4[BuckinghamPalace_200000098.jpg],4[BuckinghamPalace_00000096.jpg],4[BuckinghamPalace_00000191.jpg],5[BuckinghamPalace_00000223.jpg],5[BuckinghamPalace_00000061.jpg],5[BuckinghamPalace_200000085.jpg],4[BuckinghamPalace_200000193.jpg],4[BuckinghamPalace_200000035.jpg],4[BuckinghamPalace_200000088.jpg],4[BuckinghamPalace_200000054.jpg],4[BuckinghamPalace_200000160.jpg],2[BuckinghamPalace_200000111.jpg],5[BuckinghamPalace_00000205.jpg],4[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",33SA9F9TRYKR9HK8GG8UBCFZ8DCWEC,A1VOZRZINYXSIE,Approved,"Sun Sep 25 04:04:23 PDT 2016","Sun Sep 25 04:07:40 PDT 2016",3[BuckinghamPalace_00000177.jpg],3[BuckinghamPalace_200000109.jpg],3[BuckinghamPalace_00000155.jpg],3[BuckinghamPalace_200000164.jpg],3[BuckinghamPalace_200000112.jpg],3[BuckinghamPalace_200000087.jpg],2[BuckinghamPalace_200000147.jpg],3[BuckinghamPalace_00000077.jpg],3[BuckinghamPalace_200000096.jpg],4[BuckinghamPalace_00000123.jpg],4[BuckinghamPalace_00000215.jpg],4[BuckinghamPalace_00000094.jpg],3[BuckinghamPalace_200000052.jpg],3[BuckinghamPalace_200000048.jpg],3[BuckinghamPalace_200000116.jpg],4[BuckinghamPalace_00000162.jpg],4[BuckinghamPalace_200000098.jpg],3[BuckinghamPalace_00000096.jpg],4[BuckinghamPalace_00000191.jpg],3[BuckinghamPalace_00000223.jpg],3[BuckinghamPalace_00000061.jpg],3[BuckinghamPalace_200000085.jpg],3[BuckinghamPalace_200000193.jpg],3[BuckinghamPalace_200000035.jpg],3[BuckinghamPalace_200000088.jpg],3[BuckinghamPalace_200000054.jpg],3[BuckinghamPalace_200000160.jpg],3[BuckinghamPalace_200000111.jpg],3[BuckinghamPalace_00000205.jpg],3[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3MYYFCXHJ4XDKTXFC5SZGNHK10T4GG,A2UFHATEG76AO5,Approved,"Sun Sep 25 04:12:08 PDT 2016","Sun Sep 25 04:17:57 PDT 2016",4[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],1[BuckinghamPalace_00000155.jpg],2[BuckinghamPalace_200000164.jpg],4[BuckinghamPalace_200000112.jpg],2[BuckinghamPalace_200000087.jpg],4[BuckinghamPalace_200000147.jpg],5[BuckinghamPalace_00000077.jpg],4[BuckinghamPalace_200000096.jpg],3[BuckinghamPalace_00000123.jpg],1[BuckinghamPalace_00000215.jpg],3[BuckinghamPalace_00000094.jpg],2[BuckinghamPalace_200000052.jpg],2[BuckinghamPalace_200000048.jpg],3[BuckinghamPalace_200000116.jpg],4[BuckinghamPalace_00000162.jpg],5[BuckinghamPalace_200000098.jpg],4[BuckinghamPalace_00000096.jpg],2[BuckinghamPalace_00000191.jpg],5[BuckinghamPalace_00000223.jpg],2[BuckinghamPalace_00000061.jpg],3[BuckinghamPalace_200000085.jpg],3[BuckinghamPalace_200000193.jpg],1[BuckinghamPalace_200000035.jpg],2[BuckinghamPalace_200000088.jpg],1[BuckinghamPalace_200000054.jpg],1[BuckinghamPalace_200000160.jpg],2[BuckinghamPalace_200000111.jpg],3[BuckinghamPalace_00000205.jpg],3[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3D8YOU6S9FAA4Y2OFYAVH02P6ZFU6S,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:32:25 PDT 2016","Sun Sep 25 05:33:44 PDT 2016",5[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],5[BuckinghamPalace_00000155.jpg],3[BuckinghamPalace_200000164.jpg],5[BuckinghamPalace_200000112.jpg],5[BuckinghamPalace_200000087.jpg],4[BuckinghamPalace_200000147.jpg],5[BuckinghamPalace_00000077.jpg],5[BuckinghamPalace_200000096.jpg],5[BuckinghamPalace_00000123.jpg],5[BuckinghamPalace_00000215.jpg],5[BuckinghamPalace_00000094.jpg],5[BuckinghamPalace_200000052.jpg],5[BuckinghamPalace_200000048.jpg],4[BuckinghamPalace_200000116.jpg],5[BuckinghamPalace_00000162.jpg],5[BuckinghamPalace_200000098.jpg],5[BuckinghamPalace_00000096.jpg],5[BuckinghamPalace_00000191.jpg],5[BuckinghamPalace_00000223.jpg],5[BuckinghamPalace_00000061.jpg],5[BuckinghamPalace_200000085.jpg],5[BuckinghamPalace_200000193.jpg],5[BuckinghamPalace_200000035.jpg],5[BuckinghamPalace_200000088.jpg],5[BuckinghamPalace_200000054.jpg],5[BuckinghamPalace_200000160.jpg],5[BuckinghamPalace_200000111.jpg],5[BuckinghamPalace_00000205.jpg],5[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3R5F3LQFV3AHF322LHVXFS3VTHRZOE,A1G8XY49335US8,Approved,"Sun Sep 25 06:50:48 PDT 2016","Sun Sep 25 06:53:34 PDT 2016",2[BuckinghamPalace_00000177.jpg],4[BuckinghamPalace_200000109.jpg],4[BuckinghamPalace_00000155.jpg],4[BuckinghamPalace_200000164.jpg],4[BuckinghamPalace_200000112.jpg],2[BuckinghamPalace_200000087.jpg],3[BuckinghamPalace_200000147.jpg],3[BuckinghamPalace_00000077.jpg],2[BuckinghamPalace_200000096.jpg],4[BuckinghamPalace_00000123.jpg],3[BuckinghamPalace_00000215.jpg],3[BuckinghamPalace_00000094.jpg],4[BuckinghamPalace_200000052.jpg],4[BuckinghamPalace_200000048.jpg],1[BuckinghamPalace_200000116.jpg],4[BuckinghamPalace_00000162.jpg],4[BuckinghamPalace_200000098.jpg],4[BuckinghamPalace_00000096.jpg],3[BuckinghamPalace_00000191.jpg],4[BuckinghamPalace_00000223.jpg],4[BuckinghamPalace_00000061.jpg],4[BuckinghamPalace_200000085.jpg],4[BuckinghamPalace_200000193.jpg],1[BuckinghamPalace_200000035.jpg],4[BuckinghamPalace_200000088.jpg],1[BuckinghamPalace_200000054.jpg],4[BuckinghamPalace_200000160.jpg],3[BuckinghamPalace_200000111.jpg],3[BuckinghamPalace_00000205.jpg],3[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3M81GAB8A19OIHC2UG7YIFRSHFRBQW,A3T37C9ONAQUBN,Approved,"Sun Sep 25 07:46:38 PDT 2016","Sun Sep 25 07:49:38 PDT 2016",5[BuckinghamPalace_00000177.jpg],5[BuckinghamPalace_200000109.jpg],5[BuckinghamPalace_00000155.jpg],3[BuckinghamPalace_200000164.jpg],3[BuckinghamPalace_200000112.jpg],2[BuckinghamPalace_200000087.jpg],3[BuckinghamPalace_200000147.jpg],3[BuckinghamPalace_00000077.jpg],4[BuckinghamPalace_200000096.jpg],5[BuckinghamPalace_00000123.jpg],4[BuckinghamPalace_00000215.jpg],5[BuckinghamPalace_00000094.jpg],5[BuckinghamPalace_200000052.jpg],4[BuckinghamPalace_200000048.jpg],3[BuckinghamPalace_200000116.jpg],5[BuckinghamPalace_00000162.jpg],5[BuckinghamPalace_200000098.jpg],4[BuckinghamPalace_00000096.jpg],4[BuckinghamPalace_00000191.jpg],4[BuckinghamPalace_00000223.jpg],4[BuckinghamPalace_00000061.jpg],3[BuckinghamPalace_200000085.jpg],4[BuckinghamPalace_200000193.jpg],3[BuckinghamPalace_200000035.jpg],3[BuckinghamPalace_200000088.jpg],3[BuckinghamPalace_200000054.jpg],3[BuckinghamPalace_200000160.jpg],3[BuckinghamPalace_200000111.jpg],2[BuckinghamPalace_00000205.jpg],5[BuckinghamPalace_200000077.jpg],
3Z3R5YC0P3DP1UIHQJIOHQYFEZ4FT1,"BuckinghamPalace_0-29","sample#command",3Z3ZLGNNSJKJFM8PFNSS0WTGTNE3QX,A2T01LQBGRSCDF,Approved,"Sun Sep 25 07:46:52 PDT 2016","Sun Sep 25 07:53:10 PDT 2016",2[BuckinghamPalace_00000177.jpg],4[BuckinghamPalace_200000109.jpg],1[BuckinghamPalace_00000155.jpg],2[BuckinghamPalace_200000164.jpg],1[BuckinghamPalace_200000112.jpg],1[BuckinghamPalace_200000087.jpg],1[BuckinghamPalace_200000147.jpg],2[BuckinghamPalace_00000077.jpg],3[BuckinghamPalace_200000096.jpg],3[BuckinghamPalace_00000123.jpg],2[BuckinghamPalace_00000215.jpg],2[BuckinghamPalace_00000094.jpg],3[BuckinghamPalace_200000052.jpg],1[BuckinghamPalace_200000048.jpg],1[BuckinghamPalace_200000116.jpg],3[BuckinghamPalace_00000162.jpg],3[BuckinghamPalace_200000098.jpg],3[BuckinghamPalace_00000096.jpg],2[BuckinghamPalace_00000191.jpg],3[BuckinghamPalace_00000223.jpg],2[BuckinghamPalace_00000061.jpg],2[BuckinghamPalace_200000085.jpg],2[BuckinghamPalace_200000193.jpg],1[BuckinghamPalace_200000035.jpg],2[BuckinghamPalace_200000088.jpg],1[BuckinghamPalace_200000054.jpg],3[BuckinghamPalace_200000160.jpg],3[BuckinghamPalace_200000111.jpg],3[BuckinghamPalace_00000205.jpg],3[BuckinghamPalace_200000077.jpg],
