HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3XM0HYN6NLP1P8N74UUZJI73FG4PE5,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:48:20 PDT 2016","Sun Sep 25 01:50:20 PDT 2016",3[HelsinkiCathedral_00000153.jpg],1[HelsinkiCathedral_00000178.jpg],3[HelsinkiCathedral_00000011.jpg],3[HelsinkiCathedral_00000196.jpg],4[HelsinkiCathedral_00000092.jpg],3[HelsinkiCathedral_00000184.jpg],4[HelsinkiCathedral_200000030.jpg],3[HelsinkiCathedral_00000066.jpg],4[HelsinkiCathedral_200000040.jpg],4[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],3[HelsinkiCathedral_00000194.jpg],4[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],4[HelsinkiCathedral_200000047.jpg],4[HelsinkiCathedral_200000048.jpg],4[HelsinkiCathedral_200000033.jpg],3[HelsinkiCathedral_00000063.jpg],3[HelsinkiCathedral_00000056.jpg],3[HelsinkiCathedral_00000171.jpg],4[HelsinkiCathedral_00000075.jpg],4[HelsinkiCathedral_00000082.jpg],3[HelsinkiCathedral_00000106.jpg],3[HelsinkiCathedral_00000183.jpg],4[HelsinkiCathedral_00000096.jpg],4[HelsinkiCathedral_200000168.jpg],3[HelsinkiCathedral_00000055.jpg],4[HelsinkiCathedral_00000051.jpg],3[HelsinkiCathedral_200000064.jpg],4[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3PPTZCWALRAK0FFI0UN14XYV8I0QZ4,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:10:10 PDT 2016","Sun Sep 25 02:18:51 PDT 2016",5[HelsinkiCathedral_00000153.jpg],5[HelsinkiCathedral_00000178.jpg],5[HelsinkiCathedral_00000011.jpg],5[HelsinkiCathedral_00000196.jpg],5[HelsinkiCathedral_00000092.jpg],5[HelsinkiCathedral_00000184.jpg],5[HelsinkiCathedral_200000030.jpg],5[HelsinkiCathedral_00000066.jpg],5[HelsinkiCathedral_200000040.jpg],5[HelsinkiCathedral_00000094.jpg],5[HelsinkiCathedral_00000026.jpg],5[HelsinkiCathedral_00000194.jpg],5[HelsinkiCathedral_00000076.jpg],5[HelsinkiCathedral_00000062.jpg],5[HelsinkiCathedral_200000047.jpg],5[HelsinkiCathedral_200000048.jpg],5[HelsinkiCathedral_200000033.jpg],5[HelsinkiCathedral_00000063.jpg],5[HelsinkiCathedral_00000056.jpg],5[HelsinkiCathedral_00000171.jpg],5[HelsinkiCathedral_00000075.jpg],5[HelsinkiCathedral_00000082.jpg],5[HelsinkiCathedral_00000106.jpg],5[HelsinkiCathedral_00000183.jpg],5[HelsinkiCathedral_00000096.jpg],5[HelsinkiCathedral_200000168.jpg],5[HelsinkiCathedral_00000055.jpg],5[HelsinkiCathedral_00000051.jpg],5[HelsinkiCathedral_200000064.jpg],5[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",392CY0QWG2HRGK3A2TS21ZU0GDH4I4,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:58 PDT 2016","Sun Sep 25 02:35:10 PDT 2016",5[HelsinkiCathedral_00000153.jpg],5[HelsinkiCathedral_00000178.jpg],5[HelsinkiCathedral_00000011.jpg],2[HelsinkiCathedral_00000196.jpg],4[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],3[HelsinkiCathedral_200000030.jpg],3[HelsinkiCathedral_00000066.jpg],3[HelsinkiCathedral_200000040.jpg],3[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],3[HelsinkiCathedral_00000194.jpg],3[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],3[HelsinkiCathedral_200000047.jpg],3[HelsinkiCathedral_200000048.jpg],3[HelsinkiCathedral_200000033.jpg],3[HelsinkiCathedral_00000063.jpg],4[HelsinkiCathedral_00000056.jpg],4[HelsinkiCathedral_00000171.jpg],5[HelsinkiCathedral_00000075.jpg],4[HelsinkiCathedral_00000082.jpg],4[HelsinkiCathedral_00000106.jpg],4[HelsinkiCathedral_00000183.jpg],4[HelsinkiCathedral_00000096.jpg],4[HelsinkiCathedral_200000168.jpg],4[HelsinkiCathedral_00000055.jpg],4[HelsinkiCathedral_00000051.jpg],3[HelsinkiCathedral_200000064.jpg],4[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3DEL4X4EL7B44M6PQMGAKYLMZRLYXK,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:49:51 PDT 2016","Sun Sep 25 02:56:05 PDT 2016",3[HelsinkiCathedral_00000153.jpg],5[HelsinkiCathedral_00000178.jpg],4[HelsinkiCathedral_00000011.jpg],4[HelsinkiCathedral_00000196.jpg],4[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],4[HelsinkiCathedral_200000030.jpg],4[HelsinkiCathedral_00000066.jpg],2[HelsinkiCathedral_200000040.jpg],2[HelsinkiCathedral_00000094.jpg],3[HelsinkiCathedral_00000026.jpg],3[HelsinkiCathedral_00000194.jpg],4[HelsinkiCathedral_00000076.jpg],4[HelsinkiCathedral_00000062.jpg],3[HelsinkiCathedral_200000047.jpg],2[HelsinkiCathedral_200000048.jpg],3[HelsinkiCathedral_200000033.jpg],2[HelsinkiCathedral_00000063.jpg],4[HelsinkiCathedral_00000056.jpg],4[HelsinkiCathedral_00000171.jpg],5[HelsinkiCathedral_00000075.jpg],5[HelsinkiCathedral_00000082.jpg],4[HelsinkiCathedral_00000106.jpg],2[HelsinkiCathedral_00000183.jpg],2[HelsinkiCathedral_00000096.jpg],2[HelsinkiCathedral_200000168.jpg],2[HelsinkiCathedral_00000055.jpg],2[HelsinkiCathedral_00000051.jpg],3[HelsinkiCathedral_200000064.jpg],3[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3VA45EW49ODKK7HUD6M5NYJJG2B1OO,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:54:17 PDT 2016","Sun Sep 25 04:56:44 PDT 2016",3[HelsinkiCathedral_00000153.jpg],4[HelsinkiCathedral_00000178.jpg],4[HelsinkiCathedral_00000011.jpg],2[HelsinkiCathedral_00000196.jpg],5[HelsinkiCathedral_00000092.jpg],2[HelsinkiCathedral_00000184.jpg],2[HelsinkiCathedral_200000030.jpg],2[HelsinkiCathedral_00000066.jpg],4[HelsinkiCathedral_200000040.jpg],3[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],3[HelsinkiCathedral_00000194.jpg],3[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],5[HelsinkiCathedral_200000047.jpg],3[HelsinkiCathedral_200000048.jpg],2[HelsinkiCathedral_200000033.jpg],3[HelsinkiCathedral_00000063.jpg],3[HelsinkiCathedral_00000056.jpg],3[HelsinkiCathedral_00000171.jpg],3[HelsinkiCathedral_00000075.jpg],3[HelsinkiCathedral_00000082.jpg],3[HelsinkiCathedral_00000106.jpg],2[HelsinkiCathedral_00000183.jpg],3[HelsinkiCathedral_00000096.jpg],3[HelsinkiCathedral_200000168.jpg],3[HelsinkiCathedral_00000055.jpg],4[HelsinkiCathedral_00000051.jpg],3[HelsinkiCathedral_200000064.jpg],3[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3C5W7UE9CGG4A5HB7JSZQ3YFQHCXMY,A288Y3TBRHI3U1,Approved,"Sun Sep 25 06:06:33 PDT 2016","Sun Sep 25 06:09:12 PDT 2016",2[HelsinkiCathedral_00000153.jpg],5[HelsinkiCathedral_00000178.jpg],5[HelsinkiCathedral_00000011.jpg],1[HelsinkiCathedral_00000196.jpg],5[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],4[HelsinkiCathedral_200000030.jpg],4[HelsinkiCathedral_00000066.jpg],3[HelsinkiCathedral_200000040.jpg],5[HelsinkiCathedral_00000094.jpg],5[HelsinkiCathedral_00000026.jpg],4[HelsinkiCathedral_00000194.jpg],3[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],4[HelsinkiCathedral_200000047.jpg],3[HelsinkiCathedral_200000048.jpg],4[HelsinkiCathedral_200000033.jpg],2[HelsinkiCathedral_00000063.jpg],2[HelsinkiCathedral_00000056.jpg],2[HelsinkiCathedral_00000171.jpg],3[HelsinkiCathedral_00000075.jpg],5[HelsinkiCathedral_00000082.jpg],5[HelsinkiCathedral_00000106.jpg],2[HelsinkiCathedral_00000183.jpg],4[HelsinkiCathedral_00000096.jpg],1[HelsinkiCathedral_200000168.jpg],4[HelsinkiCathedral_00000055.jpg],4[HelsinkiCathedral_00000051.jpg],5[HelsinkiCathedral_200000064.jpg],5[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3HFNH7HEMI4K9YKDA2ZCJQIPXSDQGM,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:09:37 PDT 2016","Sun Sep 25 06:10:51 PDT 2016",5[HelsinkiCathedral_00000153.jpg],5[HelsinkiCathedral_00000178.jpg],5[HelsinkiCathedral_00000011.jpg],5[HelsinkiCathedral_00000196.jpg],5[HelsinkiCathedral_00000092.jpg],5[HelsinkiCathedral_00000184.jpg],5[HelsinkiCathedral_200000030.jpg],5[HelsinkiCathedral_00000066.jpg],5[HelsinkiCathedral_200000040.jpg],5[HelsinkiCathedral_00000094.jpg],5[HelsinkiCathedral_00000026.jpg],5[HelsinkiCathedral_00000194.jpg],5[HelsinkiCathedral_00000076.jpg],5[HelsinkiCathedral_00000062.jpg],5[HelsinkiCathedral_200000047.jpg],5[HelsinkiCathedral_200000048.jpg],5[HelsinkiCathedral_200000033.jpg],5[HelsinkiCathedral_00000063.jpg],5[HelsinkiCathedral_00000056.jpg],5[HelsinkiCathedral_00000171.jpg],5[HelsinkiCathedral_00000075.jpg],5[HelsinkiCathedral_00000082.jpg],5[HelsinkiCathedral_00000106.jpg],5[HelsinkiCathedral_00000183.jpg],5[HelsinkiCathedral_00000096.jpg],5[HelsinkiCathedral_200000168.jpg],5[HelsinkiCathedral_00000055.jpg],5[HelsinkiCathedral_00000051.jpg],5[HelsinkiCathedral_200000064.jpg],5[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3VW04L3ZLUWF4HGFLQU81KEDXLYXXK,A1G8XY49335US8,Approved,"Sun Sep 25 06:53:55 PDT 2016","Sun Sep 25 06:55:53 PDT 2016",2[HelsinkiCathedral_00000153.jpg],4[HelsinkiCathedral_00000178.jpg],3[HelsinkiCathedral_00000011.jpg],1[HelsinkiCathedral_00000196.jpg],3[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],4[HelsinkiCathedral_200000030.jpg],3[HelsinkiCathedral_00000066.jpg],4[HelsinkiCathedral_200000040.jpg],5[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],5[HelsinkiCathedral_00000194.jpg],3[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],4[HelsinkiCathedral_200000047.jpg],4[HelsinkiCathedral_200000048.jpg],4[HelsinkiCathedral_200000033.jpg],3[HelsinkiCathedral_00000063.jpg],4[HelsinkiCathedral_00000056.jpg],3[HelsinkiCathedral_00000171.jpg],4[HelsinkiCathedral_00000075.jpg],4[HelsinkiCathedral_00000082.jpg],4[HelsinkiCathedral_00000106.jpg],3[HelsinkiCathedral_00000183.jpg],3[HelsinkiCathedral_00000096.jpg],4[HelsinkiCathedral_200000168.jpg],4[HelsinkiCathedral_00000055.jpg],5[HelsinkiCathedral_00000051.jpg],5[HelsinkiCathedral_200000064.jpg],4[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",345LHZDEDYIB7FF6WWCXAXQ5W8P3U7,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:54:22 PDT 2016","Sun Sep 25 08:57:32 PDT 2016",2[HelsinkiCathedral_00000153.jpg],2[HelsinkiCathedral_00000178.jpg],3[HelsinkiCathedral_00000011.jpg],1[HelsinkiCathedral_00000196.jpg],4[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],3[HelsinkiCathedral_200000030.jpg],4[HelsinkiCathedral_00000066.jpg],4[HelsinkiCathedral_200000040.jpg],4[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],3[HelsinkiCathedral_00000194.jpg],5[HelsinkiCathedral_00000076.jpg],3[HelsinkiCathedral_00000062.jpg],3[HelsinkiCathedral_200000047.jpg],2[HelsinkiCathedral_200000048.jpg],4[HelsinkiCathedral_200000033.jpg],2[HelsinkiCathedral_00000063.jpg],2[HelsinkiCathedral_00000056.jpg],2[HelsinkiCathedral_00000171.jpg],4[HelsinkiCathedral_00000075.jpg],4[HelsinkiCathedral_00000082.jpg],3[HelsinkiCathedral_00000106.jpg],1[HelsinkiCathedral_00000183.jpg],4[HelsinkiCathedral_00000096.jpg],3[HelsinkiCathedral_200000168.jpg],3[HelsinkiCathedral_00000055.jpg],4[HelsinkiCathedral_00000051.jpg],4[HelsinkiCathedral_200000064.jpg],4[HelsinkiCathedral_00000125.jpg],
306W7JMRYYOGQTEDIJLX74B7LOR8BN,"HelsinkiCathedral_30-59","sample#command",3W92K5RLWV7EY9RAF5AVLGQ8OBRV5G,A311BTV53IKX3D,Approved,"Sun Sep 25 09:37:57 PDT 2016","Sun Sep 25 09:40:15 PDT 2016",4[HelsinkiCathedral_00000153.jpg],4[HelsinkiCathedral_00000178.jpg],5[HelsinkiCathedral_00000011.jpg],3[HelsinkiCathedral_00000196.jpg],4[HelsinkiCathedral_00000092.jpg],4[HelsinkiCathedral_00000184.jpg],4[HelsinkiCathedral_200000030.jpg],5[HelsinkiCathedral_00000066.jpg],5[HelsinkiCathedral_200000040.jpg],4[HelsinkiCathedral_00000094.jpg],4[HelsinkiCathedral_00000026.jpg],4[HelsinkiCathedral_00000194.jpg],5[HelsinkiCathedral_00000076.jpg],4[HelsinkiCathedral_00000062.jpg],5[HelsinkiCathedral_200000047.jpg],4[HelsinkiCathedral_200000048.jpg],4[HelsinkiCathedral_200000033.jpg],4[HelsinkiCathedral_00000063.jpg],4[HelsinkiCathedral_00000056.jpg],3[HelsinkiCathedral_00000171.jpg],4[HelsinkiCathedral_00000075.jpg],4[HelsinkiCathedral_00000082.jpg],4[HelsinkiCathedral_00000106.jpg],4[HelsinkiCathedral_00000183.jpg],3[HelsinkiCathedral_00000096.jpg],4[HelsinkiCathedral_200000168.jpg],5[HelsinkiCathedral_00000055.jpg],5[HelsinkiCathedral_00000051.jpg],5[HelsinkiCathedral_200000064.jpg],5[HelsinkiCathedral_00000125.jpg],
