HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3V0Z7YWSIZQMZC8NXM8XN9NW41EV2T,A2J65ZHAJQDKAC,Approved,"Sun Sep 25 01:20:23 PDT 2016","Sun Sep 25 01:22:22 PDT 2016",5[HelsinkiCathedral_200000108.jpg],2[HelsinkiCathedral_200000112.jpg],1[HelsinkiCathedral_00000173.jpg],1[HelsinkiCathedral_00000179.jpg],2[HelsinkiCathedral_200000143.jpg],2[HelsinkiCathedral_200000152.jpg],2[HelsinkiCathedral_200000150.jpg],1[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],5[HelsinkiCathedral_200000063.jpg],4[HelsinkiCathedral_200000059.jpg],5[HelsinkiCathedral_200000058.jpg],4[HelsinkiCathedral_200000073.jpg],4[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],3[HelsinkiCathedral_200000125.jpg],3[HelsinkiCathedral_200000163.jpg],4[HelsinkiCathedral_200000060.jpg],3[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],4[HelsinkiCathedral_200000135.jpg],3[HelsinkiCathedral_200000056.jpg],2[HelsinkiCathedral_200000126.jpg],4[HelsinkiCathedral_200000062.jpg],4[HelsinkiCathedral_200000074.jpg],3[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],1[HelsinkiCathedral_200000128.jpg],2[HelsinkiCathedral_200000045.jpg],2[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3NC5L260MPCBAMB2K51QC0NDHCNOF5,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:39:54 PDT 2016","Sun Sep 25 01:41:38 PDT 2016",3[HelsinkiCathedral_200000108.jpg],1[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],4[HelsinkiCathedral_00000179.jpg],4[HelsinkiCathedral_200000143.jpg],4[HelsinkiCathedral_200000152.jpg],1[HelsinkiCathedral_200000150.jpg],1[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],4[HelsinkiCathedral_200000063.jpg],5[HelsinkiCathedral_200000059.jpg],5[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],5[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],5[HelsinkiCathedral_200000125.jpg],5[HelsinkiCathedral_200000163.jpg],5[HelsinkiCathedral_200000060.jpg],4[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],5[HelsinkiCathedral_200000135.jpg],4[HelsinkiCathedral_200000056.jpg],1[HelsinkiCathedral_200000126.jpg],5[HelsinkiCathedral_200000062.jpg],5[HelsinkiCathedral_200000074.jpg],5[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],3[HelsinkiCathedral_200000128.jpg],3[HelsinkiCathedral_200000045.jpg],3[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3MHW492WW13C6GCG74RH2I1UA6WMVC,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:46:12 PDT 2016","Sun Sep 25 01:58:04 PDT 2016",5[HelsinkiCathedral_200000108.jpg],5[HelsinkiCathedral_200000112.jpg],5[HelsinkiCathedral_00000173.jpg],5[HelsinkiCathedral_00000179.jpg],5[HelsinkiCathedral_200000143.jpg],5[HelsinkiCathedral_200000152.jpg],5[HelsinkiCathedral_200000150.jpg],5[HelsinkiCathedral_200000065.jpg],5[HelsinkiCathedral_200000127.jpg],5[HelsinkiCathedral_200000063.jpg],5[HelsinkiCathedral_200000059.jpg],5[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],5[HelsinkiCathedral_200000057.jpg],5[HelsinkiCathedral_200000107.jpg],5[HelsinkiCathedral_200000125.jpg],5[HelsinkiCathedral_200000163.jpg],5[HelsinkiCathedral_200000060.jpg],5[HelsinkiCathedral_200000052.jpg],5[HelsinkiCathedral_200000061.jpg],5[HelsinkiCathedral_200000135.jpg],5[HelsinkiCathedral_200000056.jpg],5[HelsinkiCathedral_200000126.jpg],5[HelsinkiCathedral_200000062.jpg],5[HelsinkiCathedral_200000074.jpg],5[HelsinkiCathedral_200000067.jpg],5[HelsinkiCathedral_200000072.jpg],5[HelsinkiCathedral_200000128.jpg],5[HelsinkiCathedral_200000045.jpg],5[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3UNH76FOCTVTAA7LCFE19H5OSNZMYM,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:15 PDT 2016","Sun Sep 25 02:43:57 PDT 2016",4[HelsinkiCathedral_200000108.jpg],4[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],3[HelsinkiCathedral_00000179.jpg],3[HelsinkiCathedral_200000143.jpg],3[HelsinkiCathedral_200000152.jpg],3[HelsinkiCathedral_200000150.jpg],1[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],5[HelsinkiCathedral_200000063.jpg],4[HelsinkiCathedral_200000059.jpg],4[HelsinkiCathedral_200000058.jpg],4[HelsinkiCathedral_200000073.jpg],5[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],4[HelsinkiCathedral_200000163.jpg],4[HelsinkiCathedral_200000060.jpg],3[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],4[HelsinkiCathedral_200000135.jpg],4[HelsinkiCathedral_200000056.jpg],4[HelsinkiCathedral_200000126.jpg],4[HelsinkiCathedral_200000062.jpg],4[HelsinkiCathedral_200000074.jpg],4[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],4[HelsinkiCathedral_200000128.jpg],4[HelsinkiCathedral_200000045.jpg],4[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",39O5D9O87UIFLLY6A5RXGR4ZP82C3Q,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:47:30 PDT 2016","Sun Sep 25 02:53:01 PDT 2016",4[HelsinkiCathedral_200000108.jpg],4[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],4[HelsinkiCathedral_00000179.jpg],5[HelsinkiCathedral_200000143.jpg],5[HelsinkiCathedral_200000152.jpg],3[HelsinkiCathedral_200000150.jpg],3[HelsinkiCathedral_200000065.jpg],4[HelsinkiCathedral_200000127.jpg],4[HelsinkiCathedral_200000063.jpg],4[HelsinkiCathedral_200000059.jpg],4[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],4[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],4[HelsinkiCathedral_200000163.jpg],3[HelsinkiCathedral_200000060.jpg],4[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],4[HelsinkiCathedral_200000135.jpg],4[HelsinkiCathedral_200000056.jpg],3[HelsinkiCathedral_200000126.jpg],3[HelsinkiCathedral_200000062.jpg],4[HelsinkiCathedral_200000074.jpg],4[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],4[HelsinkiCathedral_200000128.jpg],4[HelsinkiCathedral_200000045.jpg],4[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3PJUZCGDJ76ZOKX9A2C25IB2Z9V891,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:09:53 PDT 2016","Sun Sep 25 05:12:44 PDT 2016",4[HelsinkiCathedral_200000108.jpg],4[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],2[HelsinkiCathedral_00000179.jpg],4[HelsinkiCathedral_200000143.jpg],3[HelsinkiCathedral_200000152.jpg],3[HelsinkiCathedral_200000150.jpg],2[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],4[HelsinkiCathedral_200000063.jpg],5[HelsinkiCathedral_200000059.jpg],4[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],4[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],4[HelsinkiCathedral_200000163.jpg],3[HelsinkiCathedral_200000060.jpg],4[HelsinkiCathedral_200000052.jpg],3[HelsinkiCathedral_200000061.jpg],3[HelsinkiCathedral_200000135.jpg],4[HelsinkiCathedral_200000056.jpg],4[HelsinkiCathedral_200000126.jpg],4[HelsinkiCathedral_200000062.jpg],4[HelsinkiCathedral_200000074.jpg],3[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],3[HelsinkiCathedral_200000128.jpg],4[HelsinkiCathedral_200000045.jpg],4[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",336YQZE83W4V8MX11D94YK7VXI2M5D,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:58:52 PDT 2016","Sun Sep 25 05:59:42 PDT 2016",5[HelsinkiCathedral_200000108.jpg],5[HelsinkiCathedral_200000112.jpg],5[HelsinkiCathedral_00000173.jpg],5[HelsinkiCathedral_00000179.jpg],5[HelsinkiCathedral_200000143.jpg],5[HelsinkiCathedral_200000152.jpg],5[HelsinkiCathedral_200000150.jpg],5[HelsinkiCathedral_200000065.jpg],5[HelsinkiCathedral_200000127.jpg],5[HelsinkiCathedral_200000063.jpg],5[HelsinkiCathedral_200000059.jpg],5[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],5[HelsinkiCathedral_200000057.jpg],5[HelsinkiCathedral_200000107.jpg],5[HelsinkiCathedral_200000125.jpg],5[HelsinkiCathedral_200000163.jpg],5[HelsinkiCathedral_200000060.jpg],5[HelsinkiCathedral_200000052.jpg],5[HelsinkiCathedral_200000061.jpg],5[HelsinkiCathedral_200000135.jpg],5[HelsinkiCathedral_200000056.jpg],3[HelsinkiCathedral_200000126.jpg],5[HelsinkiCathedral_200000062.jpg],5[HelsinkiCathedral_200000074.jpg],5[HelsinkiCathedral_200000067.jpg],5[HelsinkiCathedral_200000072.jpg],5[HelsinkiCathedral_200000128.jpg],5[HelsinkiCathedral_200000045.jpg],5[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3ITXP059PX96DGPRAC9KB3P678PSJR,A311BTV53IKX3D,Approved,"Sun Sep 25 08:48:54 PDT 2016","Sun Sep 25 08:51:17 PDT 2016",4[HelsinkiCathedral_200000108.jpg],4[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],3[HelsinkiCathedral_00000179.jpg],3[HelsinkiCathedral_200000143.jpg],3[HelsinkiCathedral_200000152.jpg],2[HelsinkiCathedral_200000150.jpg],2[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],4[HelsinkiCathedral_200000063.jpg],4[HelsinkiCathedral_200000059.jpg],4[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],4[HelsinkiCathedral_200000057.jpg],4[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],3[HelsinkiCathedral_200000163.jpg],5[HelsinkiCathedral_200000060.jpg],4[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],5[HelsinkiCathedral_200000135.jpg],5[HelsinkiCathedral_200000056.jpg],4[HelsinkiCathedral_200000126.jpg],4[HelsinkiCathedral_200000062.jpg],5[HelsinkiCathedral_200000074.jpg],3[HelsinkiCathedral_200000067.jpg],4[HelsinkiCathedral_200000072.jpg],3[HelsinkiCathedral_200000128.jpg],3[HelsinkiCathedral_200000045.jpg],4[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",3STRJBFXOXH2308OHXEMMNL5OH9KTF,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:04:16 PDT 2016","Sun Sep 25 10:12:34 PDT 2016",4[HelsinkiCathedral_200000108.jpg],5[HelsinkiCathedral_200000112.jpg],4[HelsinkiCathedral_00000173.jpg],4[HelsinkiCathedral_00000179.jpg],5[HelsinkiCathedral_200000143.jpg],3[HelsinkiCathedral_200000152.jpg],5[HelsinkiCathedral_200000150.jpg],4[HelsinkiCathedral_200000065.jpg],3[HelsinkiCathedral_200000127.jpg],5[HelsinkiCathedral_200000063.jpg],5[HelsinkiCathedral_200000059.jpg],5[HelsinkiCathedral_200000058.jpg],5[HelsinkiCathedral_200000073.jpg],5[HelsinkiCathedral_200000057.jpg],5[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],3[HelsinkiCathedral_200000163.jpg],3[HelsinkiCathedral_200000060.jpg],4[HelsinkiCathedral_200000052.jpg],4[HelsinkiCathedral_200000061.jpg],4[HelsinkiCathedral_200000135.jpg],4[HelsinkiCathedral_200000056.jpg],4[HelsinkiCathedral_200000126.jpg],5[HelsinkiCathedral_200000062.jpg],5[HelsinkiCathedral_200000074.jpg],4[HelsinkiCathedral_200000067.jpg],3[HelsinkiCathedral_200000072.jpg],4[HelsinkiCathedral_200000128.jpg],4[HelsinkiCathedral_200000045.jpg],3[HelsinkiCathedral_200000038.jpg],
324N5FAHSX1FU8EKWP90YLE5JG1KVO,"HelsinkiCathedral_240-269","sample#command",386PBUZZXGNJ93U1Q3CJZHBBFFULJL,A2T01LQBGRSCDF,Approved,"Sun Sep 25 11:16:11 PDT 2016","Sun Sep 25 11:18:24 PDT 2016",3[HelsinkiCathedral_200000108.jpg],2[HelsinkiCathedral_200000112.jpg],1[HelsinkiCathedral_00000173.jpg],1[HelsinkiCathedral_00000179.jpg],1[HelsinkiCathedral_200000143.jpg],1[HelsinkiCathedral_200000152.jpg],1[HelsinkiCathedral_200000150.jpg],1[HelsinkiCathedral_200000065.jpg],2[HelsinkiCathedral_200000127.jpg],3[HelsinkiCathedral_200000063.jpg],3[HelsinkiCathedral_200000059.jpg],2[HelsinkiCathedral_200000058.jpg],2[HelsinkiCathedral_200000073.jpg],2[HelsinkiCathedral_200000057.jpg],2[HelsinkiCathedral_200000107.jpg],4[HelsinkiCathedral_200000125.jpg],3[HelsinkiCathedral_200000163.jpg],3[HelsinkiCathedral_200000060.jpg],2[HelsinkiCathedral_200000052.jpg],2[HelsinkiCathedral_200000061.jpg],3[HelsinkiCathedral_200000135.jpg],2[HelsinkiCathedral_200000056.jpg],1[HelsinkiCathedral_200000126.jpg],2[HelsinkiCathedral_200000062.jpg],2[HelsinkiCathedral_200000074.jpg],2[HelsinkiCathedral_200000067.jpg],2[HelsinkiCathedral_200000072.jpg],1[HelsinkiCathedral_200000128.jpg],2[HelsinkiCathedral_200000045.jpg],2[HelsinkiCathedral_200000038.jpg],
