HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3BQU611VFQAZ2PGJFUIG5E6DJF699K,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 01:19:29 PDT 2016","Sun Sep 25 01:22:04 PDT 2016",4[HelsinkiCathedral_200000019.jpg],4[HelsinkiCathedral_200000137.jpg],4[HelsinkiCathedral_200000020.jpg],4[HelsinkiCathedral_00000200.jpg],5[HelsinkiCathedral_200000012.jpg],4[HelsinkiCathedral_00000117.jpg],4[HelsinkiCathedral_200000029.jpg],4[HelsinkiCathedral_200000010.jpg],5[HelsinkiCathedral_00000167.jpg],3[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],3[HelsinkiCathedral_200000118.jpg],5[HelsinkiCathedral_00000114.jpg],5[HelsinkiCathedral_00000118.jpg],4[HelsinkiCathedral_00000134.jpg],4[HelsinkiCathedral_200000144.jpg],1[HelsinkiCathedral_00000199.jpg],2[HelsinkiCathedral_00000071.jpg],3[HelsinkiCathedral_200000179.jpg],2[HelsinkiCathedral_00000142.jpg],2[HelsinkiCathedral_200000138.jpg],2[HelsinkiCathedral_200000025.jpg],1[HelsinkiCathedral_00000211.jpg],2[HelsinkiCathedral_00000139.jpg],3[HelsinkiCathedral_200000027.jpg],3[HelsinkiCathedral_00000166.jpg],4[HelsinkiCathedral_200000021.jpg],5[HelsinkiCathedral_00000109.jpg],2[HelsinkiCathedral_00000186.jpg],4[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3RXPCZQMQQ1WSU0WPN9XIPAHPGE1GV,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:06 PDT 2016","Sun Sep 25 01:53:51 PDT 2016",5[HelsinkiCathedral_200000019.jpg],5[HelsinkiCathedral_200000137.jpg],5[HelsinkiCathedral_200000020.jpg],5[HelsinkiCathedral_00000200.jpg],5[HelsinkiCathedral_200000012.jpg],5[HelsinkiCathedral_00000117.jpg],5[HelsinkiCathedral_200000029.jpg],5[HelsinkiCathedral_200000010.jpg],5[HelsinkiCathedral_00000167.jpg],5[HelsinkiCathedral_200000024.jpg],5[HelsinkiCathedral_00000198.jpg],5[HelsinkiCathedral_200000118.jpg],5[HelsinkiCathedral_00000114.jpg],5[HelsinkiCathedral_00000118.jpg],5[HelsinkiCathedral_00000134.jpg],5[HelsinkiCathedral_200000144.jpg],5[HelsinkiCathedral_00000199.jpg],5[HelsinkiCathedral_00000071.jpg],5[HelsinkiCathedral_200000179.jpg],5[HelsinkiCathedral_00000142.jpg],5[HelsinkiCathedral_200000138.jpg],5[HelsinkiCathedral_200000025.jpg],5[HelsinkiCathedral_00000211.jpg],5[HelsinkiCathedral_00000139.jpg],5[HelsinkiCathedral_200000027.jpg],5[HelsinkiCathedral_00000166.jpg],5[HelsinkiCathedral_200000021.jpg],5[HelsinkiCathedral_00000109.jpg],5[HelsinkiCathedral_00000186.jpg],5[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3KB8R4ZV1FXX5SIORK2MO1NQBS7GBV,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:31:10 PDT 2016","Sun Sep 25 02:37:30 PDT 2016",4[HelsinkiCathedral_200000019.jpg],3[HelsinkiCathedral_200000137.jpg],1[HelsinkiCathedral_200000020.jpg],2[HelsinkiCathedral_00000200.jpg],2[HelsinkiCathedral_200000012.jpg],2[HelsinkiCathedral_00000117.jpg],2[HelsinkiCathedral_200000029.jpg],2[HelsinkiCathedral_200000010.jpg],5[HelsinkiCathedral_00000167.jpg],1[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],2[HelsinkiCathedral_200000118.jpg],2[HelsinkiCathedral_00000114.jpg],2[HelsinkiCathedral_00000118.jpg],4[HelsinkiCathedral_00000134.jpg],3[HelsinkiCathedral_200000144.jpg],1[HelsinkiCathedral_00000199.jpg],3[HelsinkiCathedral_00000071.jpg],3[HelsinkiCathedral_200000179.jpg],3[HelsinkiCathedral_00000142.jpg],3[HelsinkiCathedral_200000138.jpg],4[HelsinkiCathedral_200000025.jpg],4[HelsinkiCathedral_00000211.jpg],4[HelsinkiCathedral_00000139.jpg],4[HelsinkiCathedral_200000027.jpg],4[HelsinkiCathedral_00000166.jpg],4[HelsinkiCathedral_200000021.jpg],5[HelsinkiCathedral_00000109.jpg],2[HelsinkiCathedral_00000186.jpg],3[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",30MVJZJNHN3O81TS169TU8KGFKW9JT,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 07:47:05 PDT 2016","Sun Sep 25 07:49:30 PDT 2016",3[HelsinkiCathedral_200000019.jpg],1[HelsinkiCathedral_200000137.jpg],3[HelsinkiCathedral_200000020.jpg],1[HelsinkiCathedral_00000200.jpg],3[HelsinkiCathedral_200000012.jpg],2[HelsinkiCathedral_00000117.jpg],4[HelsinkiCathedral_200000029.jpg],1[HelsinkiCathedral_200000010.jpg],1[HelsinkiCathedral_00000167.jpg],1[HelsinkiCathedral_200000024.jpg],1[HelsinkiCathedral_00000198.jpg],1[HelsinkiCathedral_200000118.jpg],5[HelsinkiCathedral_00000114.jpg],4[HelsinkiCathedral_00000118.jpg],5[HelsinkiCathedral_00000134.jpg],1[HelsinkiCathedral_200000144.jpg],1[HelsinkiCathedral_00000199.jpg],3[HelsinkiCathedral_00000071.jpg],2[HelsinkiCathedral_200000179.jpg],1[HelsinkiCathedral_00000142.jpg],1[HelsinkiCathedral_200000138.jpg],1[HelsinkiCathedral_200000025.jpg],1[HelsinkiCathedral_00000211.jpg],3[HelsinkiCathedral_00000139.jpg],3[HelsinkiCathedral_200000027.jpg],4[HelsinkiCathedral_00000166.jpg],4[HelsinkiCathedral_200000021.jpg],2[HelsinkiCathedral_00000109.jpg],1[HelsinkiCathedral_00000186.jpg],4[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",34S9DKFK74FZSSSLOGT1MWUOXDOYND,A311BTV53IKX3D,Approved,"Sun Sep 25 08:28:57 PDT 2016","Sun Sep 25 08:31:11 PDT 2016",3[HelsinkiCathedral_200000019.jpg],4[HelsinkiCathedral_200000137.jpg],4[HelsinkiCathedral_200000020.jpg],4[HelsinkiCathedral_00000200.jpg],5[HelsinkiCathedral_200000012.jpg],4[HelsinkiCathedral_00000117.jpg],4[HelsinkiCathedral_200000029.jpg],4[HelsinkiCathedral_200000010.jpg],4[HelsinkiCathedral_00000167.jpg],4[HelsinkiCathedral_200000024.jpg],4[HelsinkiCathedral_00000198.jpg],4[HelsinkiCathedral_200000118.jpg],5[HelsinkiCathedral_00000114.jpg],5[HelsinkiCathedral_00000118.jpg],4[HelsinkiCathedral_00000134.jpg],4[HelsinkiCathedral_200000144.jpg],4[HelsinkiCathedral_00000199.jpg],4[HelsinkiCathedral_00000071.jpg],3[HelsinkiCathedral_200000179.jpg],4[HelsinkiCathedral_00000142.jpg],3[HelsinkiCathedral_200000138.jpg],4[HelsinkiCathedral_200000025.jpg],3[HelsinkiCathedral_00000211.jpg],5[HelsinkiCathedral_00000139.jpg],4[HelsinkiCathedral_200000027.jpg],4[HelsinkiCathedral_00000166.jpg],4[HelsinkiCathedral_200000021.jpg],5[HelsinkiCathedral_00000109.jpg],3[HelsinkiCathedral_00000186.jpg],3[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3VHHR074H47QP8TZPUNMWR62OJJ7LN,A2T01LQBGRSCDF,Approved,"Sun Sep 25 09:13:59 PDT 2016","Sun Sep 25 09:19:18 PDT 2016",2[HelsinkiCathedral_200000019.jpg],1[HelsinkiCathedral_200000137.jpg],3[HelsinkiCathedral_200000020.jpg],1[HelsinkiCathedral_00000200.jpg],4[HelsinkiCathedral_200000012.jpg],3[HelsinkiCathedral_00000117.jpg],3[HelsinkiCathedral_200000029.jpg],3[HelsinkiCathedral_200000010.jpg],2[HelsinkiCathedral_00000167.jpg],1[HelsinkiCathedral_200000024.jpg],1[HelsinkiCathedral_00000198.jpg],1[HelsinkiCathedral_200000118.jpg],2[HelsinkiCathedral_00000114.jpg],1[HelsinkiCathedral_00000118.jpg],4[HelsinkiCathedral_00000134.jpg],1[HelsinkiCathedral_200000144.jpg],1[HelsinkiCathedral_00000199.jpg],2[HelsinkiCathedral_00000071.jpg],1[HelsinkiCathedral_200000179.jpg],1[HelsinkiCathedral_00000142.jpg],3[HelsinkiCathedral_200000138.jpg],2[HelsinkiCathedral_200000025.jpg],1[HelsinkiCathedral_00000211.jpg],1[HelsinkiCathedral_00000139.jpg],2[HelsinkiCathedral_200000027.jpg],2[HelsinkiCathedral_00000166.jpg],1[HelsinkiCathedral_200000021.jpg],3[HelsinkiCathedral_00000109.jpg],1[HelsinkiCathedral_00000186.jpg],3[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3C6FJU71TRJCNICULH5N0RMI5ATYUJ,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 10:43:42 PDT 2016","Sun Sep 25 10:45:45 PDT 2016",4[HelsinkiCathedral_200000019.jpg],1[HelsinkiCathedral_200000137.jpg],5[HelsinkiCathedral_200000020.jpg],1[HelsinkiCathedral_00000200.jpg],5[HelsinkiCathedral_200000012.jpg],4[HelsinkiCathedral_00000117.jpg],5[HelsinkiCathedral_200000029.jpg],5[HelsinkiCathedral_200000010.jpg],5[HelsinkiCathedral_00000167.jpg],4[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],4[HelsinkiCathedral_200000118.jpg],5[HelsinkiCathedral_00000114.jpg],5[HelsinkiCathedral_00000118.jpg],3[HelsinkiCathedral_00000134.jpg],4[HelsinkiCathedral_200000144.jpg],2[HelsinkiCathedral_00000199.jpg],4[HelsinkiCathedral_00000071.jpg],5[HelsinkiCathedral_200000179.jpg],4[HelsinkiCathedral_00000142.jpg],4[HelsinkiCathedral_200000138.jpg],5[HelsinkiCathedral_200000025.jpg],2[HelsinkiCathedral_00000211.jpg],4[HelsinkiCathedral_00000139.jpg],5[HelsinkiCathedral_200000027.jpg],5[HelsinkiCathedral_00000166.jpg],5[HelsinkiCathedral_200000021.jpg],5[HelsinkiCathedral_00000109.jpg],2[HelsinkiCathedral_00000186.jpg],5[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",35DR22AR5EA3OJ9111NKU4P9QRFX34,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 10:44:18 PDT 2016","Sun Sep 25 10:56:32 PDT 2016",3[HelsinkiCathedral_200000019.jpg],2[HelsinkiCathedral_200000137.jpg],3[HelsinkiCathedral_200000020.jpg],3[HelsinkiCathedral_00000200.jpg],3[HelsinkiCathedral_200000012.jpg],2[HelsinkiCathedral_00000117.jpg],3[HelsinkiCathedral_200000029.jpg],3[HelsinkiCathedral_200000010.jpg],2[HelsinkiCathedral_00000167.jpg],3[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],3[HelsinkiCathedral_200000118.jpg],4[HelsinkiCathedral_00000114.jpg],4[HelsinkiCathedral_00000118.jpg],3[HelsinkiCathedral_00000134.jpg],3[HelsinkiCathedral_200000144.jpg],3[HelsinkiCathedral_00000199.jpg],3[HelsinkiCathedral_00000071.jpg],3[HelsinkiCathedral_200000179.jpg],3[HelsinkiCathedral_00000142.jpg],3[HelsinkiCathedral_200000138.jpg],3[HelsinkiCathedral_200000025.jpg],3[HelsinkiCathedral_00000211.jpg],3[HelsinkiCathedral_00000139.jpg],3[HelsinkiCathedral_200000027.jpg],3[HelsinkiCathedral_00000166.jpg],3[HelsinkiCathedral_200000021.jpg],3[HelsinkiCathedral_00000109.jpg],2[HelsinkiCathedral_00000186.jpg],3[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3QFUFYSY9Z576T1K1LMHY2H80MM4FC,A1CO7S8BZUQROB,Approved,"Sun Sep 25 12:06:25 PDT 2016","Sun Sep 25 12:09:05 PDT 2016",3[HelsinkiCathedral_200000019.jpg],1[HelsinkiCathedral_200000137.jpg],3[HelsinkiCathedral_200000020.jpg],1[HelsinkiCathedral_00000200.jpg],2[HelsinkiCathedral_200000012.jpg],1[HelsinkiCathedral_00000117.jpg],2[HelsinkiCathedral_200000029.jpg],1[HelsinkiCathedral_200000010.jpg],1[HelsinkiCathedral_00000167.jpg],2[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],1[HelsinkiCathedral_200000118.jpg],3[HelsinkiCathedral_00000114.jpg],2[HelsinkiCathedral_00000118.jpg],2[HelsinkiCathedral_00000134.jpg],1[HelsinkiCathedral_200000144.jpg],1[HelsinkiCathedral_00000199.jpg],1[HelsinkiCathedral_00000071.jpg],3[HelsinkiCathedral_200000179.jpg],3[HelsinkiCathedral_00000142.jpg],2[HelsinkiCathedral_200000138.jpg],1[HelsinkiCathedral_200000025.jpg],2[HelsinkiCathedral_00000211.jpg],1[HelsinkiCathedral_00000139.jpg],2[HelsinkiCathedral_200000027.jpg],3[HelsinkiCathedral_00000166.jpg],3[HelsinkiCathedral_200000021.jpg],2[HelsinkiCathedral_00000109.jpg],3[HelsinkiCathedral_00000186.jpg],3[HelsinkiCathedral_00000105.jpg],
338GLSUI431OMU521JDY7L2TCGQFSC,"HelsinkiCathedral_90-119","sample#command",3OUYGIZWR8O2YI8DWNVKYT5ZLGU0PW,ADMDBOEIDOY28,Approved,"Sun Sep 25 12:20:16 PDT 2016","Sun Sep 25 12:21:55 PDT 2016",2[HelsinkiCathedral_200000019.jpg],2[HelsinkiCathedral_200000137.jpg],5[HelsinkiCathedral_200000020.jpg],1[HelsinkiCathedral_00000200.jpg],5[HelsinkiCathedral_200000012.jpg],4[HelsinkiCathedral_00000117.jpg],3[HelsinkiCathedral_200000029.jpg],4[HelsinkiCathedral_200000010.jpg],5[HelsinkiCathedral_00000167.jpg],3[HelsinkiCathedral_200000024.jpg],2[HelsinkiCathedral_00000198.jpg],1[HelsinkiCathedral_200000118.jpg],3[HelsinkiCathedral_00000114.jpg],3[HelsinkiCathedral_00000118.jpg],5[HelsinkiCathedral_00000134.jpg],4[HelsinkiCathedral_200000144.jpg],2[HelsinkiCathedral_00000199.jpg],3[HelsinkiCathedral_00000071.jpg],2[HelsinkiCathedral_200000179.jpg],4[HelsinkiCathedral_00000142.jpg],4[HelsinkiCathedral_200000138.jpg],3[HelsinkiCathedral_200000025.jpg],2[HelsinkiCathedral_00000211.jpg],5[HelsinkiCathedral_00000139.jpg],4[HelsinkiCathedral_200000027.jpg],4[HelsinkiCathedral_00000166.jpg],4[HelsinkiCathedral_200000021.jpg],4[HelsinkiCathedral_00000109.jpg],2[HelsinkiCathedral_00000186.jpg],4[HelsinkiCathedral_00000105.jpg],
