HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3GFK2QRXXA7RDYRF5FFR7I9MVK8W56,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:45:56 PDT 2016","Sun Sep 25 01:48:05 PDT 2016",3[HelsinkiCathedral_00000078.jpg],4[HelsinkiCathedral_200000129.jpg],2[HelsinkiCathedral_200000149.jpg],4[HelsinkiCathedral_00000006.jpg],4[HelsinkiCathedral_00000093.jpg],3[HelsinkiCathedral_00000168.jpg],3[HelsinkiCathedral_200000106.jpg],5[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],4[HelsinkiCathedral_00000081.jpg],3[HelsinkiCathedral_00000008.jpg],4[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],2[HelsinkiCathedral_00000201.jpg],3[HelsinkiCathedral_00000068.jpg],3[HelsinkiCathedral_00000180.jpg],4[HelsinkiCathedral_00000016.jpg],5[HelsinkiCathedral_00000164.jpg],5[HelsinkiCathedral_00000176.jpg],5[HelsinkiCathedral_00000067.jpg],4[HelsinkiCathedral_00000007.jpg],5[HelsinkiCathedral_00000155.jpg],5[HelsinkiCathedral_00000085.jpg],5[HelsinkiCathedral_00000084.jpg],3[HelsinkiCathedral_00000088.jpg],4[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],4[HelsinkiCathedral_00000188.jpg],1[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",345LHZDEDYIB7FF6WWCXAXQ5W883UQ,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:10:06 PDT 2016","Sun Sep 25 02:15:42 PDT 2016",5[HelsinkiCathedral_00000078.jpg],5[HelsinkiCathedral_200000129.jpg],5[HelsinkiCathedral_200000149.jpg],5[HelsinkiCathedral_00000006.jpg],5[HelsinkiCathedral_00000093.jpg],5[HelsinkiCathedral_00000168.jpg],5[HelsinkiCathedral_200000106.jpg],5[HelsinkiCathedral_00000087.jpg],5[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],5[HelsinkiCathedral_00000008.jpg],5[HelsinkiCathedral_00000012.jpg],5[HelsinkiCathedral_00000103.jpg],5[HelsinkiCathedral_00000201.jpg],5[HelsinkiCathedral_00000068.jpg],5[HelsinkiCathedral_00000180.jpg],5[HelsinkiCathedral_00000016.jpg],5[HelsinkiCathedral_00000164.jpg],5[HelsinkiCathedral_00000176.jpg],5[HelsinkiCathedral_00000067.jpg],5[HelsinkiCathedral_00000007.jpg],5[HelsinkiCathedral_00000155.jpg],5[HelsinkiCathedral_00000085.jpg],5[HelsinkiCathedral_00000084.jpg],5[HelsinkiCathedral_00000088.jpg],5[HelsinkiCathedral_00000083.jpg],5[HelsinkiCathedral_00000086.jpg],5[HelsinkiCathedral_00000188.jpg],5[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3VP0C6EFSHMRRQXF6WJ9QQLVTD76M7,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:01 PDT 2016","Sun Sep 25 02:37:25 PDT 2016",4[HelsinkiCathedral_00000078.jpg],4[HelsinkiCathedral_200000129.jpg],4[HelsinkiCathedral_200000149.jpg],4[HelsinkiCathedral_00000006.jpg],3[HelsinkiCathedral_00000093.jpg],4[HelsinkiCathedral_00000168.jpg],4[HelsinkiCathedral_200000106.jpg],4[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],4[HelsinkiCathedral_00000081.jpg],4[HelsinkiCathedral_00000008.jpg],4[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],4[HelsinkiCathedral_00000201.jpg],4[HelsinkiCathedral_00000068.jpg],4[HelsinkiCathedral_00000180.jpg],4[HelsinkiCathedral_00000016.jpg],4[HelsinkiCathedral_00000164.jpg],4[HelsinkiCathedral_00000176.jpg],4[HelsinkiCathedral_00000067.jpg],4[HelsinkiCathedral_00000007.jpg],4[HelsinkiCathedral_00000155.jpg],4[HelsinkiCathedral_00000085.jpg],4[HelsinkiCathedral_00000084.jpg],4[HelsinkiCathedral_00000088.jpg],2[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],4[HelsinkiCathedral_00000188.jpg],3[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",39KFRKBFIOLHADSXPVTE1LUTNNGOY5,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:51:40 PDT 2016","Sun Sep 25 02:54:54 PDT 2016",4[HelsinkiCathedral_00000078.jpg],4[HelsinkiCathedral_200000129.jpg],3[HelsinkiCathedral_200000149.jpg],4[HelsinkiCathedral_00000006.jpg],4[HelsinkiCathedral_00000093.jpg],4[HelsinkiCathedral_00000168.jpg],4[HelsinkiCathedral_200000106.jpg],4[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],4[HelsinkiCathedral_00000081.jpg],4[HelsinkiCathedral_00000008.jpg],4[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],4[HelsinkiCathedral_00000201.jpg],4[HelsinkiCathedral_00000068.jpg],3[HelsinkiCathedral_00000180.jpg],4[HelsinkiCathedral_00000016.jpg],4[HelsinkiCathedral_00000164.jpg],5[HelsinkiCathedral_00000176.jpg],4[HelsinkiCathedral_00000067.jpg],4[HelsinkiCathedral_00000007.jpg],1[HelsinkiCathedral_00000155.jpg],4[HelsinkiCathedral_00000085.jpg],3[HelsinkiCathedral_00000084.jpg],3[HelsinkiCathedral_00000088.jpg],4[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],3[HelsinkiCathedral_00000188.jpg],3[HelsinkiCathedral_200000153.jpg],3[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3C8HJ7UOP8KTF0HQ81GKNOEQYH8MZI,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:57:02 PDT 2016","Sun Sep 25 04:59:47 PDT 2016",3[HelsinkiCathedral_00000078.jpg],5[HelsinkiCathedral_200000129.jpg],3[HelsinkiCathedral_200000149.jpg],5[HelsinkiCathedral_00000006.jpg],3[HelsinkiCathedral_00000093.jpg],3[HelsinkiCathedral_00000168.jpg],3[HelsinkiCathedral_200000106.jpg],3[HelsinkiCathedral_00000087.jpg],5[HelsinkiCathedral_00000009.jpg],3[HelsinkiCathedral_00000081.jpg],3[HelsinkiCathedral_00000008.jpg],3[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],3[HelsinkiCathedral_00000201.jpg],3[HelsinkiCathedral_00000068.jpg],3[HelsinkiCathedral_00000180.jpg],3[HelsinkiCathedral_00000016.jpg],3[HelsinkiCathedral_00000164.jpg],3[HelsinkiCathedral_00000176.jpg],3[HelsinkiCathedral_00000067.jpg],3[HelsinkiCathedral_00000007.jpg],3[HelsinkiCathedral_00000155.jpg],3[HelsinkiCathedral_00000085.jpg],4[HelsinkiCathedral_00000084.jpg],3[HelsinkiCathedral_00000088.jpg],4[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],3[HelsinkiCathedral_00000188.jpg],2[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3XXU1SWE8NLVBE2B74DN8YG4MT30AN,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:08:41 PDT 2016","Sun Sep 25 06:09:30 PDT 2016",5[HelsinkiCathedral_00000078.jpg],5[HelsinkiCathedral_200000129.jpg],5[HelsinkiCathedral_200000149.jpg],5[HelsinkiCathedral_00000006.jpg],5[HelsinkiCathedral_00000093.jpg],5[HelsinkiCathedral_00000168.jpg],5[HelsinkiCathedral_200000106.jpg],5[HelsinkiCathedral_00000087.jpg],5[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],5[HelsinkiCathedral_00000008.jpg],5[HelsinkiCathedral_00000012.jpg],3[HelsinkiCathedral_00000103.jpg],5[HelsinkiCathedral_00000201.jpg],5[HelsinkiCathedral_00000068.jpg],5[HelsinkiCathedral_00000180.jpg],5[HelsinkiCathedral_00000016.jpg],5[HelsinkiCathedral_00000164.jpg],3[HelsinkiCathedral_00000176.jpg],5[HelsinkiCathedral_00000067.jpg],5[HelsinkiCathedral_00000007.jpg],5[HelsinkiCathedral_00000155.jpg],5[HelsinkiCathedral_00000085.jpg],5[HelsinkiCathedral_00000084.jpg],5[HelsinkiCathedral_00000088.jpg],5[HelsinkiCathedral_00000083.jpg],5[HelsinkiCathedral_00000086.jpg],5[HelsinkiCathedral_00000188.jpg],5[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3OHYZ19UGDVGEVUU9PFYYZCMKWTAOX,A311BTV53IKX3D,Approved,"Sun Sep 25 09:00:14 PDT 2016","Sun Sep 25 09:02:15 PDT 2016",4[HelsinkiCathedral_00000078.jpg],4[HelsinkiCathedral_200000129.jpg],3[HelsinkiCathedral_200000149.jpg],4[HelsinkiCathedral_00000006.jpg],4[HelsinkiCathedral_00000093.jpg],4[HelsinkiCathedral_00000168.jpg],5[HelsinkiCathedral_200000106.jpg],3[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],3[HelsinkiCathedral_00000008.jpg],5[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],3[HelsinkiCathedral_00000201.jpg],3[HelsinkiCathedral_00000068.jpg],3[HelsinkiCathedral_00000180.jpg],5[HelsinkiCathedral_00000016.jpg],3[HelsinkiCathedral_00000164.jpg],4[HelsinkiCathedral_00000176.jpg],3[HelsinkiCathedral_00000067.jpg],3[HelsinkiCathedral_00000007.jpg],3[HelsinkiCathedral_00000155.jpg],3[HelsinkiCathedral_00000085.jpg],3[HelsinkiCathedral_00000084.jpg],3[HelsinkiCathedral_00000088.jpg],3[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],3[HelsinkiCathedral_00000188.jpg],3[HelsinkiCathedral_200000153.jpg],4[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3ON104KXQLM9HFNFRAWH2Q38VOY4WU,AMUV60QYHNUR3,Approved,"Sun Sep 25 09:30:23 PDT 2016","Sun Sep 25 09:34:28 PDT 2016",1[HelsinkiCathedral_00000078.jpg],2[HelsinkiCathedral_200000129.jpg],3[HelsinkiCathedral_200000149.jpg],4[HelsinkiCathedral_00000006.jpg],4[HelsinkiCathedral_00000093.jpg],2[HelsinkiCathedral_00000168.jpg],4[HelsinkiCathedral_200000106.jpg],4[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],1[HelsinkiCathedral_00000008.jpg],5[HelsinkiCathedral_00000012.jpg],5[HelsinkiCathedral_00000103.jpg],2[HelsinkiCathedral_00000201.jpg],3[HelsinkiCathedral_00000068.jpg],3[HelsinkiCathedral_00000180.jpg],4[HelsinkiCathedral_00000016.jpg],5[HelsinkiCathedral_00000164.jpg],5[HelsinkiCathedral_00000176.jpg],5[HelsinkiCathedral_00000067.jpg],3[HelsinkiCathedral_00000007.jpg],3[HelsinkiCathedral_00000155.jpg],4[HelsinkiCathedral_00000085.jpg],3[HelsinkiCathedral_00000084.jpg],2[HelsinkiCathedral_00000088.jpg],4[HelsinkiCathedral_00000083.jpg],1[HelsinkiCathedral_00000086.jpg],3[HelsinkiCathedral_00000188.jpg],1[HelsinkiCathedral_200000153.jpg],4[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3R9WASFE206N9QP9MEC7SYUH1HEZF8,A3FVZPBGHHK5LP,Approved,"Sun Sep 25 10:10:08 PDT 2016","Sun Sep 25 10:13:06 PDT 2016",4[HelsinkiCathedral_00000078.jpg],4[HelsinkiCathedral_200000129.jpg],5[HelsinkiCathedral_200000149.jpg],5[HelsinkiCathedral_00000006.jpg],1[HelsinkiCathedral_00000093.jpg],3[HelsinkiCathedral_00000168.jpg],5[HelsinkiCathedral_200000106.jpg],1[HelsinkiCathedral_00000087.jpg],5[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],4[HelsinkiCathedral_00000008.jpg],4[HelsinkiCathedral_00000012.jpg],4[HelsinkiCathedral_00000103.jpg],5[HelsinkiCathedral_00000201.jpg],4[HelsinkiCathedral_00000068.jpg],2[HelsinkiCathedral_00000180.jpg],4[HelsinkiCathedral_00000016.jpg],3[HelsinkiCathedral_00000164.jpg],2[HelsinkiCathedral_00000176.jpg],4[HelsinkiCathedral_00000067.jpg],4[HelsinkiCathedral_00000007.jpg],4[HelsinkiCathedral_00000155.jpg],4[HelsinkiCathedral_00000085.jpg],4[HelsinkiCathedral_00000084.jpg],3[HelsinkiCathedral_00000088.jpg],4[HelsinkiCathedral_00000083.jpg],4[HelsinkiCathedral_00000086.jpg],3[HelsinkiCathedral_00000188.jpg],3[HelsinkiCathedral_200000153.jpg],4[HelsinkiCathedral_00000014.jpg],
34OWYT6U3W7QR6BTTLJSTNAV0KTI9V,"HelsinkiCathedral_120-149","sample#command",3MB8LZR5BGJEKN0J8OCV0WBOU40LKQ,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 12:50:05 PDT 2016","Sun Sep 25 12:57:44 PDT 2016",3[HelsinkiCathedral_00000078.jpg],2[HelsinkiCathedral_200000129.jpg],4[HelsinkiCathedral_200000149.jpg],5[HelsinkiCathedral_00000006.jpg],1[HelsinkiCathedral_00000093.jpg],3[HelsinkiCathedral_00000168.jpg],4[HelsinkiCathedral_200000106.jpg],3[HelsinkiCathedral_00000087.jpg],4[HelsinkiCathedral_00000009.jpg],5[HelsinkiCathedral_00000081.jpg],5[HelsinkiCathedral_00000008.jpg],5[HelsinkiCathedral_00000012.jpg],5[HelsinkiCathedral_00000103.jpg],5[HelsinkiCathedral_00000201.jpg],5[HelsinkiCathedral_00000068.jpg],5[HelsinkiCathedral_00000180.jpg],5[HelsinkiCathedral_00000016.jpg],5[HelsinkiCathedral_00000164.jpg],1[HelsinkiCathedral_00000176.jpg],4[HelsinkiCathedral_00000067.jpg],5[HelsinkiCathedral_00000007.jpg],4[HelsinkiCathedral_00000155.jpg],4[HelsinkiCathedral_00000085.jpg],4[HelsinkiCathedral_00000084.jpg],4[HelsinkiCathedral_00000088.jpg],1[HelsinkiCathedral_00000083.jpg],3[HelsinkiCathedral_00000086.jpg],5[HelsinkiCathedral_00000188.jpg],1[HelsinkiCathedral_200000153.jpg],5[HelsinkiCathedral_00000014.jpg],
