HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3DI28L7YXB4Y8G45JSJ9IMP5C0Z1EE,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:04 PDT 2016","Sun Sep 25 01:53:14 PDT 2016",5[HelsinkiCathedral_200000096.jpg],5[HelsinkiCathedral_200000178.jpg],5[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],5[HelsinkiCathedral_200000121.jpg],5[HelsinkiCathedral_200000123.jpg],4[HelsinkiCathedral_00000090.jpg],5[HelsinkiCathedral_00000147.jpg],5[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],5[HelsinkiCathedral_200000176.jpg],5[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],5[HelsinkiCathedral_200000092.jpg],5[HelsinkiCathedral_00000152.jpg],5[HelsinkiCathedral_200000170.jpg],5[HelsinkiCathedral_200000158.jpg],5[HelsinkiCathedral_200000120.jpg],5[HelsinkiCathedral_00000140.jpg],5[HelsinkiCathedral_200000173.jpg],5[HelsinkiCathedral_00000100.jpg],5[HelsinkiCathedral_00000030.jpg],5[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],5[HelsinkiCathedral_00000172.jpg],5[HelsinkiCathedral_00000210.jpg],5[HelsinkiCathedral_200000180.jpg],5[HelsinkiCathedral_200000141.jpg],5[HelsinkiCathedral_200000099.jpg],5[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",33LKR6A5KFA0XZM29N84H8P6FAMT1W,A25WL7E75KK134,Approved,"Sun Sep 25 02:04:59 PDT 2016","Sun Sep 25 02:19:59 PDT 2016",5[HelsinkiCathedral_200000096.jpg],5[HelsinkiCathedral_200000178.jpg],5[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],4[HelsinkiCathedral_200000121.jpg],4[HelsinkiCathedral_200000123.jpg],4[HelsinkiCathedral_00000090.jpg],5[HelsinkiCathedral_00000147.jpg],5[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],5[HelsinkiCathedral_200000176.jpg],5[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],5[HelsinkiCathedral_200000092.jpg],5[HelsinkiCathedral_00000152.jpg],5[HelsinkiCathedral_200000170.jpg],1[HelsinkiCathedral_200000158.jpg],4[HelsinkiCathedral_200000120.jpg],4[HelsinkiCathedral_00000140.jpg],3[HelsinkiCathedral_200000173.jpg],4[HelsinkiCathedral_00000100.jpg],4[HelsinkiCathedral_00000030.jpg],5[HelsinkiCathedral_00000028.jpg],4[HelsinkiCathedral_00000099.jpg],2[HelsinkiCathedral_00000172.jpg],2[HelsinkiCathedral_00000210.jpg],1[HelsinkiCathedral_200000180.jpg],1[HelsinkiCathedral_200000141.jpg],4[HelsinkiCathedral_200000099.jpg],3[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3JRJSWSMQIBUIJIK6WXS6F42AKFE3L,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:36:25 PDT 2016","Sun Sep 25 02:41:34 PDT 2016",2[HelsinkiCathedral_200000096.jpg],1[HelsinkiCathedral_200000178.jpg],3[HelsinkiCathedral_200000169.jpg],4[HelsinkiCathedral_00000206.jpg],4[HelsinkiCathedral_200000121.jpg],4[HelsinkiCathedral_200000123.jpg],5[HelsinkiCathedral_00000090.jpg],5[HelsinkiCathedral_00000147.jpg],5[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],5[HelsinkiCathedral_200000176.jpg],5[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],5[HelsinkiCathedral_200000092.jpg],5[HelsinkiCathedral_00000152.jpg],5[HelsinkiCathedral_200000170.jpg],5[HelsinkiCathedral_200000158.jpg],4[HelsinkiCathedral_200000120.jpg],4[HelsinkiCathedral_00000140.jpg],5[HelsinkiCathedral_200000173.jpg],5[HelsinkiCathedral_00000100.jpg],5[HelsinkiCathedral_00000030.jpg],5[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],4[HelsinkiCathedral_00000172.jpg],5[HelsinkiCathedral_00000210.jpg],5[HelsinkiCathedral_200000180.jpg],5[HelsinkiCathedral_200000141.jpg],5[HelsinkiCathedral_200000099.jpg],2[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3Y54SXRO1MBG6WD0BBIOSAU3Q7MUTZ,A22JTMBADARX55,Approved,"Sun Sep 25 02:56:08 PDT 2016","Sun Sep 25 03:02:57 PDT 2016",2[HelsinkiCathedral_200000096.jpg],4[HelsinkiCathedral_200000178.jpg],3[HelsinkiCathedral_200000169.jpg],4[HelsinkiCathedral_00000206.jpg],4[HelsinkiCathedral_200000121.jpg],3[HelsinkiCathedral_200000123.jpg],5[HelsinkiCathedral_00000090.jpg],2[HelsinkiCathedral_00000147.jpg],4[HelsinkiCathedral_00000214.jpg],2[HelsinkiCathedral_200000095.jpg],1[HelsinkiCathedral_200000176.jpg],2[HelsinkiCathedral_200000102.jpg],4[HelsinkiCathedral_00000037.jpg],4[HelsinkiCathedral_200000092.jpg],4[HelsinkiCathedral_00000152.jpg],2[HelsinkiCathedral_200000170.jpg],2[HelsinkiCathedral_200000158.jpg],2[HelsinkiCathedral_200000120.jpg],3[HelsinkiCathedral_00000140.jpg],2[HelsinkiCathedral_200000173.jpg],5[HelsinkiCathedral_00000100.jpg],3[HelsinkiCathedral_00000030.jpg],2[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],2[HelsinkiCathedral_00000172.jpg],2[HelsinkiCathedral_00000210.jpg],4[HelsinkiCathedral_200000180.jpg],1[HelsinkiCathedral_200000141.jpg],3[HelsinkiCathedral_200000099.jpg],1[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3TE3O85731YU65R6O23NMCYTJVA2RG,A1EIJZVAYHHJ12,Approved,"Sun Sep 25 05:44:26 PDT 2016","Sun Sep 25 05:47:43 PDT 2016",4[HelsinkiCathedral_200000096.jpg],4[HelsinkiCathedral_200000178.jpg],5[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],4[HelsinkiCathedral_200000121.jpg],5[HelsinkiCathedral_200000123.jpg],5[HelsinkiCathedral_00000090.jpg],4[HelsinkiCathedral_00000147.jpg],3[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],4[HelsinkiCathedral_200000176.jpg],5[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],3[HelsinkiCathedral_200000092.jpg],4[HelsinkiCathedral_00000152.jpg],4[HelsinkiCathedral_200000170.jpg],5[HelsinkiCathedral_200000158.jpg],5[HelsinkiCathedral_200000120.jpg],4[HelsinkiCathedral_00000140.jpg],4[HelsinkiCathedral_200000173.jpg],4[HelsinkiCathedral_00000100.jpg],4[HelsinkiCathedral_00000030.jpg],4[HelsinkiCathedral_00000028.jpg],4[HelsinkiCathedral_00000099.jpg],5[HelsinkiCathedral_00000172.jpg],4[HelsinkiCathedral_00000210.jpg],4[HelsinkiCathedral_200000180.jpg],4[HelsinkiCathedral_200000141.jpg],5[HelsinkiCathedral_200000099.jpg],4[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3J2UYBXQQM2UOCQ8HRWBSTEIQAC602,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:52:25 PDT 2016","Sun Sep 25 05:53:27 PDT 2016",5[HelsinkiCathedral_200000096.jpg],5[HelsinkiCathedral_200000178.jpg],5[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],5[HelsinkiCathedral_200000121.jpg],5[HelsinkiCathedral_200000123.jpg],5[HelsinkiCathedral_00000090.jpg],5[HelsinkiCathedral_00000147.jpg],5[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],5[HelsinkiCathedral_200000176.jpg],5[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],5[HelsinkiCathedral_200000092.jpg],5[HelsinkiCathedral_00000152.jpg],5[HelsinkiCathedral_200000170.jpg],4[HelsinkiCathedral_200000158.jpg],5[HelsinkiCathedral_200000120.jpg],5[HelsinkiCathedral_00000140.jpg],4[HelsinkiCathedral_200000173.jpg],5[HelsinkiCathedral_00000100.jpg],5[HelsinkiCathedral_00000030.jpg],5[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],5[HelsinkiCathedral_00000172.jpg],5[HelsinkiCathedral_00000210.jpg],3[HelsinkiCathedral_200000180.jpg],3[HelsinkiCathedral_200000141.jpg],5[HelsinkiCathedral_200000099.jpg],4[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3KIBXJ1WD6KMQ83GLGSNSDFIP8KKOJ,A311BTV53IKX3D,Approved,"Sun Sep 25 08:23:13 PDT 2016","Sun Sep 25 08:25:44 PDT 2016",3[HelsinkiCathedral_200000096.jpg],3[HelsinkiCathedral_200000178.jpg],4[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],5[HelsinkiCathedral_200000121.jpg],4[HelsinkiCathedral_200000123.jpg],5[HelsinkiCathedral_00000090.jpg],4[HelsinkiCathedral_00000147.jpg],5[HelsinkiCathedral_00000214.jpg],5[HelsinkiCathedral_200000095.jpg],4[HelsinkiCathedral_200000176.jpg],4[HelsinkiCathedral_200000102.jpg],5[HelsinkiCathedral_00000037.jpg],4[HelsinkiCathedral_200000092.jpg],5[HelsinkiCathedral_00000152.jpg],4[HelsinkiCathedral_200000170.jpg],5[HelsinkiCathedral_200000158.jpg],5[HelsinkiCathedral_200000120.jpg],5[HelsinkiCathedral_00000140.jpg],4[HelsinkiCathedral_200000173.jpg],4[HelsinkiCathedral_00000100.jpg],5[HelsinkiCathedral_00000030.jpg],5[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],5[HelsinkiCathedral_00000172.jpg],4[HelsinkiCathedral_00000210.jpg],3[HelsinkiCathedral_200000180.jpg],4[HelsinkiCathedral_200000141.jpg],4[HelsinkiCathedral_200000099.jpg],4[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",3HFNH7HEMI4K9YKDA2ZCJQIPXSMQGV,A3VMJIW0DP7007,Approved,"Sun Sep 25 08:38:07 PDT 2016","Sun Sep 25 08:41:30 PDT 2016",3[HelsinkiCathedral_200000096.jpg],3[HelsinkiCathedral_200000178.jpg],4[HelsinkiCathedral_200000169.jpg],3[HelsinkiCathedral_00000206.jpg],2[HelsinkiCathedral_200000121.jpg],4[HelsinkiCathedral_200000123.jpg],3[HelsinkiCathedral_00000090.jpg],2[HelsinkiCathedral_00000147.jpg],3[HelsinkiCathedral_00000214.jpg],4[HelsinkiCathedral_200000095.jpg],2[HelsinkiCathedral_200000176.jpg],2[HelsinkiCathedral_200000102.jpg],2[HelsinkiCathedral_00000037.jpg],3[HelsinkiCathedral_200000092.jpg],2[HelsinkiCathedral_00000152.jpg],1[HelsinkiCathedral_200000170.jpg],2[HelsinkiCathedral_200000158.jpg],2[HelsinkiCathedral_200000120.jpg],3[HelsinkiCathedral_00000140.jpg],2[HelsinkiCathedral_200000173.jpg],2[HelsinkiCathedral_00000100.jpg],4[HelsinkiCathedral_00000030.jpg],4[HelsinkiCathedral_00000028.jpg],5[HelsinkiCathedral_00000099.jpg],4[HelsinkiCathedral_00000172.jpg],2[HelsinkiCathedral_00000210.jpg],1[HelsinkiCathedral_200000180.jpg],1[HelsinkiCathedral_200000141.jpg],3[HelsinkiCathedral_200000099.jpg],2[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",32VNZTT0A8U49J6TSGMBFRVR39HR4C,A2T01LQBGRSCDF,Approved,"Sun Sep 25 09:10:08 PDT 2016","Sun Sep 25 09:17:10 PDT 2016",2[HelsinkiCathedral_200000096.jpg],3[HelsinkiCathedral_200000178.jpg],4[HelsinkiCathedral_200000169.jpg],5[HelsinkiCathedral_00000206.jpg],3[HelsinkiCathedral_200000121.jpg],4[HelsinkiCathedral_200000123.jpg],4[HelsinkiCathedral_00000090.jpg],3[HelsinkiCathedral_00000147.jpg],2[HelsinkiCathedral_00000214.jpg],2[HelsinkiCathedral_200000095.jpg],1[HelsinkiCathedral_200000176.jpg],3[HelsinkiCathedral_200000102.jpg],2[HelsinkiCathedral_00000037.jpg],1[HelsinkiCathedral_200000092.jpg],3[HelsinkiCathedral_00000152.jpg],3[HelsinkiCathedral_200000170.jpg],1[HelsinkiCathedral_200000158.jpg],2[HelsinkiCathedral_200000120.jpg],4[HelsinkiCathedral_00000140.jpg],2[HelsinkiCathedral_200000173.jpg],3[HelsinkiCathedral_00000100.jpg],3[HelsinkiCathedral_00000030.jpg],2[HelsinkiCathedral_00000028.jpg],3[HelsinkiCathedral_00000099.jpg],2[HelsinkiCathedral_00000172.jpg],2[HelsinkiCathedral_00000210.jpg],1[HelsinkiCathedral_200000180.jpg],1[HelsinkiCathedral_200000141.jpg],2[HelsinkiCathedral_200000099.jpg],2[HelsinkiCathedral_00000043.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52ZB3Y,"HelsinkiCathedral_210-239","sample#command",320DUZ38G8C3NBG0FCF3MP63JY4JG9,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 10:33:27 PDT 2016","Sun Sep 25 10:39:20 PDT 2016",3[HelsinkiCathedral_200000096.jpg],2[HelsinkiCathedral_200000178.jpg],2[HelsinkiCathedral_200000169.jpg],3[HelsinkiCathedral_00000206.jpg],3[HelsinkiCathedral_200000121.jpg],3[HelsinkiCathedral_200000123.jpg],4[HelsinkiCathedral_00000090.jpg],3[HelsinkiCathedral_00000147.jpg],4[HelsinkiCathedral_00000214.jpg],4[HelsinkiCathedral_200000095.jpg],2[HelsinkiCathedral_200000176.jpg],3[HelsinkiCathedral_200000102.jpg],3[HelsinkiCathedral_00000037.jpg],3[HelsinkiCathedral_200000092.jpg],3[HelsinkiCathedral_00000152.jpg],3[HelsinkiCathedral_200000170.jpg],3[HelsinkiCathedral_200000158.jpg],3[HelsinkiCathedral_200000120.jpg],3[HelsinkiCathedral_00000140.jpg],3[HelsinkiCathedral_200000173.jpg],3[HelsinkiCathedral_00000100.jpg],3[HelsinkiCathedral_00000030.jpg],3[HelsinkiCathedral_00000028.jpg],3[HelsinkiCathedral_00000099.jpg],3[HelsinkiCathedral_00000172.jpg],3[HelsinkiCathedral_00000210.jpg],3[HelsinkiCathedral_200000180.jpg],3[HelsinkiCathedral_200000141.jpg],3[HelsinkiCathedral_200000099.jpg],3[HelsinkiCathedral_00000043.jpg],
