HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3KIBXJ1WD6KMQ83GLGSNSDFIP84OK7,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:41:53 PDT 2016","Sun Sep 25 01:43:37 PDT 2016",3[HelsinkiCathedral_00000133.jpg],4[HelsinkiCathedral_00000160.jpg],3[HelsinkiCathedral_00000175.jpg],2[HelsinkiCathedral_200000131.jpg],3[HelsinkiCathedral_00000120.jpg],3[HelsinkiCathedral_00000130.jpg],1[HelsinkiCathedral_00000158.jpg],1[HelsinkiCathedral_00000162.jpg],4[HelsinkiCathedral_200000182.jpg],4[HelsinkiCathedral_200000018.jpg],3[HelsinkiCathedral_00000156.jpg],3[HelsinkiCathedral_00000174.jpg],4[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],2[HelsinkiCathedral_200000175.jpg],3[HelsinkiCathedral_200000002.jpg],3[HelsinkiCathedral_00000124.jpg],4[HelsinkiCathedral_00000212.jpg],3[HelsinkiCathedral_200000148.jpg],4[HelsinkiCathedral_200000181.jpg],5[HelsinkiCathedral_00000204.jpg],5[HelsinkiCathedral_200000006.jpg],4[HelsinkiCathedral_00000205.jpg],3[HelsinkiCathedral_200000100.jpg],3[HelsinkiCathedral_00000169.jpg],5[HelsinkiCathedral_200000154.jpg],3[HelsinkiCathedral_200000133.jpg],4[HelsinkiCathedral_200000155.jpg],3[HelsinkiCathedral_00000190.jpg],3[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3X31TUMD7YCCEMEX0E6DVHFPLX01L1,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:46:21 PDT 2016","Sun Sep 25 01:59:03 PDT 2016",5[HelsinkiCathedral_00000133.jpg],5[HelsinkiCathedral_00000160.jpg],5[HelsinkiCathedral_00000175.jpg],5[HelsinkiCathedral_200000131.jpg],5[HelsinkiCathedral_00000120.jpg],5[HelsinkiCathedral_00000130.jpg],5[HelsinkiCathedral_00000158.jpg],5[HelsinkiCathedral_00000162.jpg],5[HelsinkiCathedral_200000182.jpg],5[HelsinkiCathedral_200000018.jpg],5[HelsinkiCathedral_00000156.jpg],5[HelsinkiCathedral_00000174.jpg],5[HelsinkiCathedral_00000119.jpg],5[HelsinkiCathedral_00000209.jpg],5[HelsinkiCathedral_200000175.jpg],5[HelsinkiCathedral_200000002.jpg],5[HelsinkiCathedral_00000124.jpg],5[HelsinkiCathedral_00000212.jpg],5[HelsinkiCathedral_200000148.jpg],5[HelsinkiCathedral_200000181.jpg],5[HelsinkiCathedral_00000204.jpg],5[HelsinkiCathedral_200000006.jpg],5[HelsinkiCathedral_00000205.jpg],5[HelsinkiCathedral_200000100.jpg],5[HelsinkiCathedral_00000169.jpg],5[HelsinkiCathedral_200000154.jpg],5[HelsinkiCathedral_200000133.jpg],5[HelsinkiCathedral_200000155.jpg],5[HelsinkiCathedral_00000190.jpg],5[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",36NEMU28XG3PL5CLXEWDOKK8HFZMWN,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:10 PDT 2016","Sun Sep 25 02:41:32 PDT 2016",5[HelsinkiCathedral_00000133.jpg],4[HelsinkiCathedral_00000160.jpg],4[HelsinkiCathedral_00000175.jpg],4[HelsinkiCathedral_200000131.jpg],5[HelsinkiCathedral_00000120.jpg],4[HelsinkiCathedral_00000130.jpg],5[HelsinkiCathedral_00000158.jpg],4[HelsinkiCathedral_00000162.jpg],4[HelsinkiCathedral_200000182.jpg],5[HelsinkiCathedral_200000018.jpg],4[HelsinkiCathedral_00000156.jpg],3[HelsinkiCathedral_00000174.jpg],4[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],4[HelsinkiCathedral_200000175.jpg],4[HelsinkiCathedral_200000002.jpg],4[HelsinkiCathedral_00000124.jpg],4[HelsinkiCathedral_00000212.jpg],4[HelsinkiCathedral_200000148.jpg],4[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],5[HelsinkiCathedral_200000006.jpg],3[HelsinkiCathedral_00000205.jpg],4[HelsinkiCathedral_200000100.jpg],4[HelsinkiCathedral_00000169.jpg],4[HelsinkiCathedral_200000154.jpg],4[HelsinkiCathedral_200000133.jpg],3[HelsinkiCathedral_200000155.jpg],2[HelsinkiCathedral_00000190.jpg],4[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",32XVDSJFP0N39PEEJU760D4JD86M27,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:47:50 PDT 2016","Sun Sep 25 02:53:11 PDT 2016",4[HelsinkiCathedral_00000133.jpg],5[HelsinkiCathedral_00000160.jpg],5[HelsinkiCathedral_00000175.jpg],5[HelsinkiCathedral_200000131.jpg],4[HelsinkiCathedral_00000120.jpg],4[HelsinkiCathedral_00000130.jpg],4[HelsinkiCathedral_00000158.jpg],4[HelsinkiCathedral_00000162.jpg],4[HelsinkiCathedral_200000182.jpg],4[HelsinkiCathedral_200000018.jpg],4[HelsinkiCathedral_00000156.jpg],3[HelsinkiCathedral_00000174.jpg],4[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],4[HelsinkiCathedral_200000175.jpg],4[HelsinkiCathedral_200000002.jpg],4[HelsinkiCathedral_00000124.jpg],4[HelsinkiCathedral_00000212.jpg],3[HelsinkiCathedral_200000148.jpg],3[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],4[HelsinkiCathedral_200000006.jpg],4[HelsinkiCathedral_00000205.jpg],4[HelsinkiCathedral_200000100.jpg],4[HelsinkiCathedral_00000169.jpg],4[HelsinkiCathedral_200000154.jpg],4[HelsinkiCathedral_200000133.jpg],4[HelsinkiCathedral_200000155.jpg],4[HelsinkiCathedral_00000190.jpg],5[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3X73LLYYQ24D6X2WEGPD0WZL7H1NHT,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:03:48 PDT 2016","Sun Sep 25 05:09:31 PDT 2016",4[HelsinkiCathedral_00000133.jpg],5[HelsinkiCathedral_00000160.jpg],4[HelsinkiCathedral_00000175.jpg],3[HelsinkiCathedral_200000131.jpg],4[HelsinkiCathedral_00000120.jpg],4[HelsinkiCathedral_00000130.jpg],3[HelsinkiCathedral_00000158.jpg],3[HelsinkiCathedral_00000162.jpg],3[HelsinkiCathedral_200000182.jpg],4[HelsinkiCathedral_200000018.jpg],4[HelsinkiCathedral_00000156.jpg],4[HelsinkiCathedral_00000174.jpg],5[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],3[HelsinkiCathedral_200000175.jpg],4[HelsinkiCathedral_200000002.jpg],4[HelsinkiCathedral_00000124.jpg],3[HelsinkiCathedral_00000212.jpg],3[HelsinkiCathedral_200000148.jpg],3[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],4[HelsinkiCathedral_200000006.jpg],3[HelsinkiCathedral_00000205.jpg],4[HelsinkiCathedral_200000100.jpg],5[HelsinkiCathedral_00000169.jpg],3[HelsinkiCathedral_200000154.jpg],3[HelsinkiCathedral_200000133.jpg],3[HelsinkiCathedral_200000155.jpg],3[HelsinkiCathedral_00000190.jpg],3[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3OCHAWUVGPA9KHH8M7FJBQ6B1CGKXF,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 05:40:34 PDT 2016","Sun Sep 25 05:44:01 PDT 2016",3[HelsinkiCathedral_00000133.jpg],3[HelsinkiCathedral_00000160.jpg],2[HelsinkiCathedral_00000175.jpg],1[HelsinkiCathedral_200000131.jpg],3[HelsinkiCathedral_00000120.jpg],3[HelsinkiCathedral_00000130.jpg],1[HelsinkiCathedral_00000158.jpg],1[HelsinkiCathedral_00000162.jpg],3[HelsinkiCathedral_200000182.jpg],3[HelsinkiCathedral_200000018.jpg],1[HelsinkiCathedral_00000156.jpg],2[HelsinkiCathedral_00000174.jpg],2[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],2[HelsinkiCathedral_200000175.jpg],2[HelsinkiCathedral_200000002.jpg],3[HelsinkiCathedral_00000124.jpg],3[HelsinkiCathedral_00000212.jpg],1[HelsinkiCathedral_200000148.jpg],3[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],3[HelsinkiCathedral_200000006.jpg],2[HelsinkiCathedral_00000205.jpg],3[HelsinkiCathedral_200000100.jpg],2[HelsinkiCathedral_00000169.jpg],2[HelsinkiCathedral_200000154.jpg],4[HelsinkiCathedral_200000133.jpg],2[HelsinkiCathedral_200000155.jpg],1[HelsinkiCathedral_00000190.jpg],2[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3U8YCDAGXQ6NYU9SW0A9YYV9QBOQ0J,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:06:06 PDT 2016","Sun Sep 25 06:08:27 PDT 2016",5[HelsinkiCathedral_00000133.jpg],5[HelsinkiCathedral_00000160.jpg],5[HelsinkiCathedral_00000175.jpg],3[HelsinkiCathedral_200000131.jpg],5[HelsinkiCathedral_00000120.jpg],5[HelsinkiCathedral_00000130.jpg],3[HelsinkiCathedral_00000158.jpg],5[HelsinkiCathedral_00000162.jpg],5[HelsinkiCathedral_200000182.jpg],5[HelsinkiCathedral_200000018.jpg],5[HelsinkiCathedral_00000156.jpg],5[HelsinkiCathedral_00000174.jpg],5[HelsinkiCathedral_00000119.jpg],5[HelsinkiCathedral_00000209.jpg],4[HelsinkiCathedral_200000175.jpg],5[HelsinkiCathedral_200000002.jpg],5[HelsinkiCathedral_00000124.jpg],3[HelsinkiCathedral_00000212.jpg],5[HelsinkiCathedral_200000148.jpg],5[HelsinkiCathedral_200000181.jpg],5[HelsinkiCathedral_00000204.jpg],5[HelsinkiCathedral_200000006.jpg],5[HelsinkiCathedral_00000205.jpg],5[HelsinkiCathedral_200000100.jpg],5[HelsinkiCathedral_00000169.jpg],5[HelsinkiCathedral_200000154.jpg],5[HelsinkiCathedral_200000133.jpg],5[HelsinkiCathedral_200000155.jpg],5[HelsinkiCathedral_00000190.jpg],5[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",33JKGHPFYDKZYB375D5QS17HO3CNME,A311BTV53IKX3D,Approved,"Sun Sep 25 08:52:02 PDT 2016","Sun Sep 25 08:54:04 PDT 2016",4[HelsinkiCathedral_00000133.jpg],4[HelsinkiCathedral_00000160.jpg],3[HelsinkiCathedral_00000175.jpg],3[HelsinkiCathedral_200000131.jpg],4[HelsinkiCathedral_00000120.jpg],4[HelsinkiCathedral_00000130.jpg],3[HelsinkiCathedral_00000158.jpg],3[HelsinkiCathedral_00000162.jpg],4[HelsinkiCathedral_200000182.jpg],4[HelsinkiCathedral_200000018.jpg],4[HelsinkiCathedral_00000156.jpg],5[HelsinkiCathedral_00000174.jpg],4[HelsinkiCathedral_00000119.jpg],4[HelsinkiCathedral_00000209.jpg],3[HelsinkiCathedral_200000175.jpg],4[HelsinkiCathedral_200000002.jpg],5[HelsinkiCathedral_00000124.jpg],4[HelsinkiCathedral_00000212.jpg],3[HelsinkiCathedral_200000148.jpg],5[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],5[HelsinkiCathedral_200000006.jpg],4[HelsinkiCathedral_00000205.jpg],4[HelsinkiCathedral_200000100.jpg],4[HelsinkiCathedral_00000169.jpg],3[HelsinkiCathedral_200000154.jpg],4[HelsinkiCathedral_200000133.jpg],4[HelsinkiCathedral_200000155.jpg],3[HelsinkiCathedral_00000190.jpg],3[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3PXX5PX6LYOWV15L5KACSFCNDYFBA1,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:04:31 PDT 2016","Sun Sep 25 10:15:03 PDT 2016",2[HelsinkiCathedral_00000133.jpg],3[HelsinkiCathedral_00000160.jpg],3[HelsinkiCathedral_00000175.jpg],4[HelsinkiCathedral_200000131.jpg],3[HelsinkiCathedral_00000120.jpg],4[HelsinkiCathedral_00000130.jpg],3[HelsinkiCathedral_00000158.jpg],4[HelsinkiCathedral_00000162.jpg],4[HelsinkiCathedral_200000182.jpg],4[HelsinkiCathedral_200000018.jpg],5[HelsinkiCathedral_00000156.jpg],5[HelsinkiCathedral_00000174.jpg],5[HelsinkiCathedral_00000119.jpg],5[HelsinkiCathedral_00000209.jpg],4[HelsinkiCathedral_200000175.jpg],4[HelsinkiCathedral_200000002.jpg],4[HelsinkiCathedral_00000124.jpg],3[HelsinkiCathedral_00000212.jpg],3[HelsinkiCathedral_200000148.jpg],2[HelsinkiCathedral_200000181.jpg],4[HelsinkiCathedral_00000204.jpg],4[HelsinkiCathedral_200000006.jpg],1[HelsinkiCathedral_00000205.jpg],3[HelsinkiCathedral_200000100.jpg],3[HelsinkiCathedral_00000169.jpg],3[HelsinkiCathedral_200000154.jpg],4[HelsinkiCathedral_200000133.jpg],3[HelsinkiCathedral_200000155.jpg],1[HelsinkiCathedral_00000190.jpg],4[HelsinkiCathedral_200000101.jpg],
37VHPF5VYCTZ0Y6JWJHSIOHP39R8CU,"HelsinkiCathedral_180-209","sample#command",3P59JYT76MA7MK4YSR8IMRZB7HUT29,A2T01LQBGRSCDF,Approved,"Sun Sep 25 11:23:35 PDT 2016","Sun Sep 25 11:26:18 PDT 2016",3[HelsinkiCathedral_00000133.jpg],1[HelsinkiCathedral_00000160.jpg],1[HelsinkiCathedral_00000175.jpg],1[HelsinkiCathedral_200000131.jpg],2[HelsinkiCathedral_00000120.jpg],2[HelsinkiCathedral_00000130.jpg],1[HelsinkiCathedral_00000158.jpg],2[HelsinkiCathedral_00000162.jpg],2[HelsinkiCathedral_200000182.jpg],2[HelsinkiCathedral_200000018.jpg],1[HelsinkiCathedral_00000156.jpg],1[HelsinkiCathedral_00000174.jpg],2[HelsinkiCathedral_00000119.jpg],2[HelsinkiCathedral_00000209.jpg],1[HelsinkiCathedral_200000175.jpg],2[HelsinkiCathedral_200000002.jpg],2[HelsinkiCathedral_00000124.jpg],1[HelsinkiCathedral_00000212.jpg],2[HelsinkiCathedral_200000148.jpg],2[HelsinkiCathedral_200000181.jpg],1[HelsinkiCathedral_00000204.jpg],2[HelsinkiCathedral_200000006.jpg],2[HelsinkiCathedral_00000205.jpg],2[HelsinkiCathedral_200000100.jpg],2[HelsinkiCathedral_00000169.jpg],1[HelsinkiCathedral_200000154.jpg],3[HelsinkiCathedral_200000133.jpg],1[HelsinkiCathedral_200000155.jpg],1[HelsinkiCathedral_00000190.jpg],2[HelsinkiCathedral_200000101.jpg],
