HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3KV0LJBBH3BKD9VZYKM71LCRP0JRMO,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:11 PDT 2016","Sun Sep 25 01:54:55 PDT 2016",5[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],4[HelsinkiCathedral_200000069.jpg],4[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],4[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],4[HelsinkiCathedral_200000014.jpg],4[HelsinkiCathedral_00000145.jpg],4[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],4[HelsinkiCathedral_200000161.jpg],4[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],4[HelsinkiCathedral_200000026.jpg],4[HelsinkiCathedral_200000162.jpg],4[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],4[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],4[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],4[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],4[HelsinkiCathedral_00000132.jpg],4[HelsinkiCathedral_200000159.jpg],4[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],4[HelsinkiCathedral_00000163.jpg],4[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3HMVI3QICKIWELLWJTV3PPHLUC41YT,A22JTMBADARX55,Approved,"Sun Sep 25 01:48:48 PDT 2016","Sun Sep 25 02:09:27 PDT 2016",4[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],4[HelsinkiCathedral_200000069.jpg],4[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],4[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],4[HelsinkiCathedral_200000014.jpg],4[HelsinkiCathedral_00000145.jpg],4[HelsinkiCathedral_00000107.jpg],5[HelsinkiCathedral_00000110.jpg],3[HelsinkiCathedral_200000161.jpg],4[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],4[HelsinkiCathedral_200000026.jpg],4[HelsinkiCathedral_200000162.jpg],3[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],4[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],4[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],4[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],4[HelsinkiCathedral_00000132.jpg],4[HelsinkiCathedral_200000159.jpg],4[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],5[HelsinkiCathedral_00000163.jpg],3[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",33PPO7FECW54GGM3V4TV43O6TQDDIT,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:43:19 PDT 2016","Sun Sep 25 03:45:08 PDT 2016",3[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],4[HelsinkiCathedral_200000069.jpg],3[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],4[HelsinkiCathedral_200000013.jpg],3[HelsinkiCathedral_00000123.jpg],4[HelsinkiCathedral_200000014.jpg],4[HelsinkiCathedral_00000145.jpg],4[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],1[HelsinkiCathedral_200000161.jpg],5[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],4[HelsinkiCathedral_200000026.jpg],1[HelsinkiCathedral_200000162.jpg],3[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],4[HelsinkiCathedral_00000112.jpg],3[HelsinkiCathedral_00000115.jpg],4[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],4[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],3[HelsinkiCathedral_00000132.jpg],3[HelsinkiCathedral_200000159.jpg],4[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],4[HelsinkiCathedral_00000163.jpg],4[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3VA45EW49ODKK7HUD6M5NYJJG2C1OP,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:53:26 PDT 2016","Sun Sep 25 05:54:20 PDT 2016",3[HelsinkiCathedral_200000167.jpg],5[HelsinkiCathedral_200000124.jpg],3[HelsinkiCathedral_200000069.jpg],4[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],5[HelsinkiCathedral_200000013.jpg],5[HelsinkiCathedral_00000123.jpg],5[HelsinkiCathedral_200000014.jpg],5[HelsinkiCathedral_00000145.jpg],5[HelsinkiCathedral_00000107.jpg],5[HelsinkiCathedral_00000110.jpg],3[HelsinkiCathedral_200000161.jpg],1[HelsinkiCathedral_00000121.jpg],5[HelsinkiCathedral_00000113.jpg],5[HelsinkiCathedral_200000026.jpg],3[HelsinkiCathedral_200000162.jpg],4[HelsinkiCathedral_200000183.jpg],5[HelsinkiCathedral_200000017.jpg],5[HelsinkiCathedral_00000112.jpg],5[HelsinkiCathedral_00000115.jpg],5[HelsinkiCathedral_200000028.jpg],5[HelsinkiCathedral_200000004.jpg],5[HelsinkiCathedral_00000129.jpg],5[HelsinkiCathedral_00000126.jpg],4[HelsinkiCathedral_00000132.jpg],3[HelsinkiCathedral_200000159.jpg],5[HelsinkiCathedral_00000197.jpg],5[HelsinkiCathedral_00000122.jpg],5[HelsinkiCathedral_00000163.jpg],5[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",32SVAV9L3GZRS618QRV6AWEBP5VA30,A311BTV53IKX3D,Approved,"Sun Sep 25 08:33:17 PDT 2016","Sun Sep 25 08:36:06 PDT 2016",4[HelsinkiCathedral_200000167.jpg],3[HelsinkiCathedral_200000124.jpg],3[HelsinkiCathedral_200000069.jpg],3[HelsinkiCathedral_200000023.jpg],3[HelsinkiCathedral_200000005.jpg],4[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],5[HelsinkiCathedral_200000014.jpg],4[HelsinkiCathedral_00000145.jpg],5[HelsinkiCathedral_00000107.jpg],5[HelsinkiCathedral_00000110.jpg],3[HelsinkiCathedral_200000161.jpg],3[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],3[HelsinkiCathedral_200000162.jpg],4[HelsinkiCathedral_200000183.jpg],5[HelsinkiCathedral_200000017.jpg],4[HelsinkiCathedral_00000112.jpg],3[HelsinkiCathedral_00000115.jpg],4[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],3[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],5[HelsinkiCathedral_00000132.jpg],3[HelsinkiCathedral_200000159.jpg],4[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],3[HelsinkiCathedral_00000163.jpg],3[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3FQ5JJ512ME48N34K1SADOFDZZQNKK,A2T01LQBGRSCDF,Approved,"Sun Sep 25 10:31:51 PDT 2016","Sun Sep 25 10:34:04 PDT 2016",1[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],2[HelsinkiCathedral_200000069.jpg],2[HelsinkiCathedral_200000023.jpg],3[HelsinkiCathedral_200000005.jpg],3[HelsinkiCathedral_200000013.jpg],3[HelsinkiCathedral_00000123.jpg],2[HelsinkiCathedral_200000014.jpg],3[HelsinkiCathedral_00000145.jpg],3[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],2[HelsinkiCathedral_200000161.jpg],2[HelsinkiCathedral_00000121.jpg],3[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],1[HelsinkiCathedral_200000162.jpg],1[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],4[HelsinkiCathedral_00000112.jpg],3[HelsinkiCathedral_00000115.jpg],3[HelsinkiCathedral_200000028.jpg],3[HelsinkiCathedral_200000004.jpg],2[HelsinkiCathedral_00000129.jpg],1[HelsinkiCathedral_00000126.jpg],1[HelsinkiCathedral_00000132.jpg],1[HelsinkiCathedral_200000159.jpg],2[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],3[HelsinkiCathedral_00000163.jpg],3[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3SKRO2GZ72H1UGWFFEUCGH2AWYN1KS,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 10:44:20 PDT 2016","Sun Sep 25 11:00:41 PDT 2016",3[HelsinkiCathedral_200000167.jpg],5[HelsinkiCathedral_200000124.jpg],4[HelsinkiCathedral_200000069.jpg],3[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],5[HelsinkiCathedral_200000013.jpg],3[HelsinkiCathedral_00000123.jpg],5[HelsinkiCathedral_200000014.jpg],5[HelsinkiCathedral_00000145.jpg],5[HelsinkiCathedral_00000107.jpg],5[HelsinkiCathedral_00000110.jpg],3[HelsinkiCathedral_200000161.jpg],5[HelsinkiCathedral_00000121.jpg],5[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],2[HelsinkiCathedral_200000162.jpg],3[HelsinkiCathedral_200000183.jpg],5[HelsinkiCathedral_200000017.jpg],5[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],5[HelsinkiCathedral_200000028.jpg],5[HelsinkiCathedral_200000004.jpg],5[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],2[HelsinkiCathedral_00000132.jpg],1[HelsinkiCathedral_200000159.jpg],4[HelsinkiCathedral_00000197.jpg],5[HelsinkiCathedral_00000122.jpg],5[HelsinkiCathedral_00000163.jpg],5[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3OXV7EAXLFGQ54P50EEUURCPTNI36I,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 10:57:51 PDT 2016","Sun Sep 25 11:02:51 PDT 2016",3[HelsinkiCathedral_200000167.jpg],3[HelsinkiCathedral_200000124.jpg],3[HelsinkiCathedral_200000069.jpg],3[HelsinkiCathedral_200000023.jpg],3[HelsinkiCathedral_200000005.jpg],4[HelsinkiCathedral_200000013.jpg],3[HelsinkiCathedral_00000123.jpg],3[HelsinkiCathedral_200000014.jpg],3[HelsinkiCathedral_00000145.jpg],3[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],2[HelsinkiCathedral_200000161.jpg],3[HelsinkiCathedral_00000121.jpg],3[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],3[HelsinkiCathedral_200000162.jpg],3[HelsinkiCathedral_200000183.jpg],3[HelsinkiCathedral_200000017.jpg],3[HelsinkiCathedral_00000112.jpg],2[HelsinkiCathedral_00000115.jpg],3[HelsinkiCathedral_200000028.jpg],3[HelsinkiCathedral_200000004.jpg],3[HelsinkiCathedral_00000129.jpg],3[HelsinkiCathedral_00000126.jpg],2[HelsinkiCathedral_00000132.jpg],3[HelsinkiCathedral_200000159.jpg],3[HelsinkiCathedral_00000197.jpg],3[HelsinkiCathedral_00000122.jpg],2[HelsinkiCathedral_00000163.jpg],3[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",33ISQZVXPQC3YLUP3Y2Y9U8TVMDCCO,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 12:42:25 PDT 2016","Sun Sep 25 12:47:55 PDT 2016",3[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],4[HelsinkiCathedral_200000069.jpg],5[HelsinkiCathedral_200000023.jpg],3[HelsinkiCathedral_200000005.jpg],5[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],5[HelsinkiCathedral_200000014.jpg],1[HelsinkiCathedral_00000145.jpg],3[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],4[HelsinkiCathedral_200000161.jpg],4[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],1[HelsinkiCathedral_200000162.jpg],2[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],3[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],4[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],4[HelsinkiCathedral_00000129.jpg],2[HelsinkiCathedral_00000126.jpg],2[HelsinkiCathedral_00000132.jpg],1[HelsinkiCathedral_200000159.jpg],3[HelsinkiCathedral_00000197.jpg],4[HelsinkiCathedral_00000122.jpg],1[HelsinkiCathedral_00000163.jpg],4[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",34J10VATJGOY5PQ80QZF42V5C64QIF,A3C2QUMRIR1KKE,Approved,"Sun Sep 25 13:44:51 PDT 2016","Sun Sep 25 13:48:27 PDT 2016",4[HelsinkiCathedral_200000167.jpg],5[HelsinkiCathedral_200000124.jpg],5[HelsinkiCathedral_200000069.jpg],4[HelsinkiCathedral_200000023.jpg],5[HelsinkiCathedral_200000005.jpg],5[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],5[HelsinkiCathedral_200000014.jpg],4[HelsinkiCathedral_00000145.jpg],5[HelsinkiCathedral_00000107.jpg],4[HelsinkiCathedral_00000110.jpg],2[HelsinkiCathedral_200000161.jpg],4[HelsinkiCathedral_00000121.jpg],4[HelsinkiCathedral_00000113.jpg],5[HelsinkiCathedral_200000026.jpg],3[HelsinkiCathedral_200000162.jpg],2[HelsinkiCathedral_200000183.jpg],4[HelsinkiCathedral_200000017.jpg],5[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],5[HelsinkiCathedral_200000028.jpg],4[HelsinkiCathedral_200000004.jpg],4[HelsinkiCathedral_00000129.jpg],3[HelsinkiCathedral_00000126.jpg],3[HelsinkiCathedral_00000132.jpg],3[HelsinkiCathedral_200000159.jpg],5[HelsinkiCathedral_00000197.jpg],5[HelsinkiCathedral_00000122.jpg],5[HelsinkiCathedral_00000163.jpg],4[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3R6P78PK7L1X1EC5R6T7OVTCH0CGTS,A39BR7NYRDWC01,Approved,"Sun Sep 25 13:52:59 PDT 2016","Sun Sep 25 13:55:12 PDT 2016",5[HelsinkiCathedral_200000167.jpg],4[HelsinkiCathedral_200000124.jpg],5[HelsinkiCathedral_200000069.jpg],3[HelsinkiCathedral_200000023.jpg],4[HelsinkiCathedral_200000005.jpg],5[HelsinkiCathedral_200000013.jpg],4[HelsinkiCathedral_00000123.jpg],4[HelsinkiCathedral_200000014.jpg],5[HelsinkiCathedral_00000145.jpg],5[HelsinkiCathedral_00000107.jpg],5[HelsinkiCathedral_00000110.jpg],5[HelsinkiCathedral_200000161.jpg],3[HelsinkiCathedral_00000121.jpg],5[HelsinkiCathedral_00000113.jpg],3[HelsinkiCathedral_200000026.jpg],5[HelsinkiCathedral_200000162.jpg],5[HelsinkiCathedral_200000183.jpg],5[HelsinkiCathedral_200000017.jpg],3[HelsinkiCathedral_00000112.jpg],4[HelsinkiCathedral_00000115.jpg],5[HelsinkiCathedral_200000028.jpg],5[HelsinkiCathedral_200000004.jpg],5[HelsinkiCathedral_00000129.jpg],4[HelsinkiCathedral_00000126.jpg],5[HelsinkiCathedral_00000132.jpg],5[HelsinkiCathedral_200000159.jpg],5[HelsinkiCathedral_00000197.jpg],3[HelsinkiCathedral_00000122.jpg],4[HelsinkiCathedral_00000163.jpg],5[HelsinkiCathedral_200000145.jpg],
38VTL6WC4A3TGJOMUDSE3VZH4785YX,"HelsinkiCathedral_270-299","sample#command",3300DTYQT37MPKOM479OJNXDKD0EQX,AUG53KCOWS12S,Approved,"Sun Sep 25 14:20:32 PDT 2016","Sun Sep 25 14:24:45 PDT 2016",2[HelsinkiCathedral_200000167.jpg],3[HelsinkiCathedral_200000124.jpg],2[HelsinkiCathedral_200000069.jpg],1[HelsinkiCathedral_200000023.jpg],1[HelsinkiCathedral_200000005.jpg],2[HelsinkiCathedral_200000013.jpg],1[HelsinkiCathedral_00000123.jpg],3[HelsinkiCathedral_200000014.jpg],1[HelsinkiCathedral_00000145.jpg],4[HelsinkiCathedral_00000107.jpg],2[HelsinkiCathedral_00000110.jpg],1[HelsinkiCathedral_200000161.jpg],3[HelsinkiCathedral_00000121.jpg],1[HelsinkiCathedral_00000113.jpg],2[HelsinkiCathedral_200000026.jpg],1[HelsinkiCathedral_200000162.jpg],3[HelsinkiCathedral_200000183.jpg],2[HelsinkiCathedral_200000017.jpg],2[HelsinkiCathedral_00000112.jpg],1[HelsinkiCathedral_00000115.jpg],2[HelsinkiCathedral_200000028.jpg],1[HelsinkiCathedral_200000004.jpg],1[HelsinkiCathedral_00000129.jpg],1[HelsinkiCathedral_00000126.jpg],2[HelsinkiCathedral_00000132.jpg],1[HelsinkiCathedral_200000159.jpg],2[HelsinkiCathedral_00000197.jpg],2[HelsinkiCathedral_00000122.jpg],4[HelsinkiCathedral_00000163.jpg],1[HelsinkiCathedral_200000145.jpg],
