HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",38SKSKU7R2NNESAV8LRJNGWB2ZALIC,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:37:45 PDT 2016","Sun Sep 25 01:39:46 PDT 2016",1[HelsinkiCathedral_200000140.jpg],4[HelsinkiCathedral_00000019.jpg],3[HelsinkiCathedral_00000089.jpg],3[HelsinkiCathedral_00000038.jpg],4[HelsinkiCathedral_200000109.jpg],4[HelsinkiCathedral_00000023.jpg],3[HelsinkiCathedral_00000137.jpg],4[HelsinkiCathedral_00000036.jpg],5[HelsinkiCathedral_00000097.jpg],4[HelsinkiCathedral_00000027.jpg],3[HelsinkiCathedral_00000041.jpg],4[HelsinkiCathedral_200000105.jpg],5[HelsinkiCathedral_00000187.jpg],5[HelsinkiCathedral_00000050.jpg],3[HelsinkiCathedral_00000040.jpg],3[HelsinkiCathedral_200000116.jpg],4[HelsinkiCathedral_00000182.jpg],3[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],3[HelsinkiCathedral_00000151.jpg],3[HelsinkiCathedral_200000104.jpg],3[HelsinkiCathedral_200000115.jpg],4[HelsinkiCathedral_200000117.jpg],3[HelsinkiCathedral_200000091.jpg],3[HelsinkiCathedral_00000042.jpg],4[HelsinkiCathedral_200000114.jpg],4[HelsinkiCathedral_00000046.jpg],4[HelsinkiCathedral_00000061.jpg],4[HelsinkiCathedral_00000136.jpg],5[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3HVVDCPGTFIXN5X5LCFDVV0GMVUYTY,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:46:14 PDT 2016","Sun Sep 25 01:58:29 PDT 2016",5[HelsinkiCathedral_200000140.jpg],5[HelsinkiCathedral_00000019.jpg],5[HelsinkiCathedral_00000089.jpg],5[HelsinkiCathedral_00000038.jpg],5[HelsinkiCathedral_200000109.jpg],5[HelsinkiCathedral_00000023.jpg],5[HelsinkiCathedral_00000137.jpg],5[HelsinkiCathedral_00000036.jpg],5[HelsinkiCathedral_00000097.jpg],5[HelsinkiCathedral_00000027.jpg],5[HelsinkiCathedral_00000041.jpg],5[HelsinkiCathedral_200000105.jpg],5[HelsinkiCathedral_00000187.jpg],5[HelsinkiCathedral_00000050.jpg],5[HelsinkiCathedral_00000040.jpg],5[HelsinkiCathedral_200000116.jpg],5[HelsinkiCathedral_00000182.jpg],5[HelsinkiCathedral_200000098.jpg],5[HelsinkiCathedral_00000072.jpg],5[HelsinkiCathedral_00000151.jpg],5[HelsinkiCathedral_200000104.jpg],5[HelsinkiCathedral_200000115.jpg],5[HelsinkiCathedral_200000117.jpg],5[HelsinkiCathedral_200000091.jpg],5[HelsinkiCathedral_00000042.jpg],5[HelsinkiCathedral_200000114.jpg],5[HelsinkiCathedral_00000046.jpg],5[HelsinkiCathedral_00000061.jpg],5[HelsinkiCathedral_00000136.jpg],5[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3B1NLC6UG0MZ9MJYAPKNJLSFSWKPGN,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:18 PDT 2016","Sun Sep 25 02:45:58 PDT 2016",5[HelsinkiCathedral_200000140.jpg],4[HelsinkiCathedral_00000019.jpg],2[HelsinkiCathedral_00000089.jpg],4[HelsinkiCathedral_00000038.jpg],3[HelsinkiCathedral_200000109.jpg],4[HelsinkiCathedral_00000023.jpg],4[HelsinkiCathedral_00000137.jpg],4[HelsinkiCathedral_00000036.jpg],4[HelsinkiCathedral_00000097.jpg],4[HelsinkiCathedral_00000027.jpg],4[HelsinkiCathedral_00000041.jpg],4[HelsinkiCathedral_200000105.jpg],3[HelsinkiCathedral_00000187.jpg],4[HelsinkiCathedral_00000050.jpg],4[HelsinkiCathedral_00000040.jpg],4[HelsinkiCathedral_200000116.jpg],3[HelsinkiCathedral_00000182.jpg],3[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],3[HelsinkiCathedral_00000151.jpg],3[HelsinkiCathedral_200000104.jpg],3[HelsinkiCathedral_200000115.jpg],3[HelsinkiCathedral_200000117.jpg],3[HelsinkiCathedral_200000091.jpg],4[HelsinkiCathedral_00000042.jpg],4[HelsinkiCathedral_200000114.jpg],3[HelsinkiCathedral_00000046.jpg],3[HelsinkiCathedral_00000061.jpg],4[HelsinkiCathedral_00000136.jpg],4[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3FK0YFF9P06VW36PLWS8PEK71ZBVV5,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:47:21 PDT 2016","Sun Sep 25 02:51:32 PDT 2016",4[HelsinkiCathedral_200000140.jpg],4[HelsinkiCathedral_00000019.jpg],5[HelsinkiCathedral_00000089.jpg],5[HelsinkiCathedral_00000038.jpg],5[HelsinkiCathedral_200000109.jpg],5[HelsinkiCathedral_00000023.jpg],5[HelsinkiCathedral_00000137.jpg],5[HelsinkiCathedral_00000036.jpg],1[HelsinkiCathedral_00000097.jpg],4[HelsinkiCathedral_00000027.jpg],5[HelsinkiCathedral_00000041.jpg],4[HelsinkiCathedral_200000105.jpg],5[HelsinkiCathedral_00000187.jpg],4[HelsinkiCathedral_00000050.jpg],4[HelsinkiCathedral_00000040.jpg],3[HelsinkiCathedral_200000116.jpg],3[HelsinkiCathedral_00000182.jpg],3[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],3[HelsinkiCathedral_00000151.jpg],4[HelsinkiCathedral_200000104.jpg],4[HelsinkiCathedral_200000115.jpg],4[HelsinkiCathedral_200000117.jpg],4[HelsinkiCathedral_200000091.jpg],4[HelsinkiCathedral_00000042.jpg],4[HelsinkiCathedral_200000114.jpg],5[HelsinkiCathedral_00000046.jpg],4[HelsinkiCathedral_00000061.jpg],2[HelsinkiCathedral_00000136.jpg],4[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3TR2532VIQK1QIRU3Z6HAYTEPJH6J8,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:12:53 PDT 2016","Sun Sep 25 05:15:13 PDT 2016",4[HelsinkiCathedral_200000140.jpg],3[HelsinkiCathedral_00000019.jpg],3[HelsinkiCathedral_00000089.jpg],4[HelsinkiCathedral_00000038.jpg],4[HelsinkiCathedral_200000109.jpg],5[HelsinkiCathedral_00000023.jpg],3[HelsinkiCathedral_00000137.jpg],3[HelsinkiCathedral_00000036.jpg],3[HelsinkiCathedral_00000097.jpg],3[HelsinkiCathedral_00000027.jpg],3[HelsinkiCathedral_00000041.jpg],3[HelsinkiCathedral_200000105.jpg],4[HelsinkiCathedral_00000187.jpg],3[HelsinkiCathedral_00000050.jpg],3[HelsinkiCathedral_00000040.jpg],4[HelsinkiCathedral_200000116.jpg],4[HelsinkiCathedral_00000182.jpg],3[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],3[HelsinkiCathedral_00000151.jpg],3[HelsinkiCathedral_200000104.jpg],3[HelsinkiCathedral_200000115.jpg],4[HelsinkiCathedral_200000117.jpg],4[HelsinkiCathedral_200000091.jpg],3[HelsinkiCathedral_00000042.jpg],4[HelsinkiCathedral_200000114.jpg],2[HelsinkiCathedral_00000046.jpg],4[HelsinkiCathedral_00000061.jpg],4[HelsinkiCathedral_00000136.jpg],4[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3EICBYG645MQ6Z0VDQJKWYLOL5TJCE,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:58:11 PDT 2016","Sun Sep 25 05:59:06 PDT 2016",5[HelsinkiCathedral_200000140.jpg],5[HelsinkiCathedral_00000019.jpg],5[HelsinkiCathedral_00000089.jpg],5[HelsinkiCathedral_00000038.jpg],5[HelsinkiCathedral_200000109.jpg],5[HelsinkiCathedral_00000023.jpg],5[HelsinkiCathedral_00000137.jpg],5[HelsinkiCathedral_00000036.jpg],5[HelsinkiCathedral_00000097.jpg],5[HelsinkiCathedral_00000027.jpg],5[HelsinkiCathedral_00000041.jpg],5[HelsinkiCathedral_200000105.jpg],5[HelsinkiCathedral_00000187.jpg],5[HelsinkiCathedral_00000050.jpg],5[HelsinkiCathedral_00000040.jpg],5[HelsinkiCathedral_200000116.jpg],5[HelsinkiCathedral_00000182.jpg],5[HelsinkiCathedral_200000098.jpg],5[HelsinkiCathedral_00000072.jpg],5[HelsinkiCathedral_00000151.jpg],5[HelsinkiCathedral_200000104.jpg],5[HelsinkiCathedral_200000115.jpg],5[HelsinkiCathedral_200000117.jpg],5[HelsinkiCathedral_200000091.jpg],5[HelsinkiCathedral_00000042.jpg],5[HelsinkiCathedral_200000114.jpg],5[HelsinkiCathedral_00000046.jpg],5[HelsinkiCathedral_00000061.jpg],5[HelsinkiCathedral_00000136.jpg],5[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",34S6N1K2ZW9NIXZB239YN4VW2MDHLX,A311BTV53IKX3D,Approved,"Sun Sep 25 08:46:06 PDT 2016","Sun Sep 25 08:48:11 PDT 2016",4[HelsinkiCathedral_200000140.jpg],3[HelsinkiCathedral_00000019.jpg],4[HelsinkiCathedral_00000089.jpg],4[HelsinkiCathedral_00000038.jpg],5[HelsinkiCathedral_200000109.jpg],4[HelsinkiCathedral_00000023.jpg],5[HelsinkiCathedral_00000137.jpg],5[HelsinkiCathedral_00000036.jpg],4[HelsinkiCathedral_00000097.jpg],5[HelsinkiCathedral_00000027.jpg],4[HelsinkiCathedral_00000041.jpg],4[HelsinkiCathedral_200000105.jpg],4[HelsinkiCathedral_00000187.jpg],4[HelsinkiCathedral_00000050.jpg],4[HelsinkiCathedral_00000040.jpg],5[HelsinkiCathedral_200000116.jpg],5[HelsinkiCathedral_00000182.jpg],4[HelsinkiCathedral_200000098.jpg],4[HelsinkiCathedral_00000072.jpg],4[HelsinkiCathedral_00000151.jpg],4[HelsinkiCathedral_200000104.jpg],4[HelsinkiCathedral_200000115.jpg],5[HelsinkiCathedral_200000117.jpg],5[HelsinkiCathedral_200000091.jpg],4[HelsinkiCathedral_00000042.jpg],5[HelsinkiCathedral_200000114.jpg],5[HelsinkiCathedral_00000046.jpg],5[HelsinkiCathedral_00000061.jpg],4[HelsinkiCathedral_00000136.jpg],4[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3TXMY6UCAFE7SM488G3TTZXAZ11QCU,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:04:22 PDT 2016","Sun Sep 25 10:13:43 PDT 2016",4[HelsinkiCathedral_200000140.jpg],2[HelsinkiCathedral_00000019.jpg],3[HelsinkiCathedral_00000089.jpg],4[HelsinkiCathedral_00000038.jpg],3[HelsinkiCathedral_200000109.jpg],4[HelsinkiCathedral_00000023.jpg],3[HelsinkiCathedral_00000137.jpg],4[HelsinkiCathedral_00000036.jpg],4[HelsinkiCathedral_00000097.jpg],5[HelsinkiCathedral_00000027.jpg],4[HelsinkiCathedral_00000041.jpg],4[HelsinkiCathedral_200000105.jpg],2[HelsinkiCathedral_00000187.jpg],5[HelsinkiCathedral_00000050.jpg],3[HelsinkiCathedral_00000040.jpg],4[HelsinkiCathedral_200000116.jpg],2[HelsinkiCathedral_00000182.jpg],2[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],2[HelsinkiCathedral_00000151.jpg],4[HelsinkiCathedral_200000104.jpg],5[HelsinkiCathedral_200000115.jpg],4[HelsinkiCathedral_200000117.jpg],3[HelsinkiCathedral_200000091.jpg],2[HelsinkiCathedral_00000042.jpg],5[HelsinkiCathedral_200000114.jpg],2[HelsinkiCathedral_00000046.jpg],2[HelsinkiCathedral_00000061.jpg],3[HelsinkiCathedral_00000136.jpg],3[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3ZSY5X72NY18DCGBB01KTP1WK1SORW,A2T01LQBGRSCDF,Approved,"Sun Sep 25 11:05:53 PDT 2016","Sun Sep 25 11:08:12 PDT 2016",1[HelsinkiCathedral_200000140.jpg],2[HelsinkiCathedral_00000019.jpg],2[HelsinkiCathedral_00000089.jpg],2[HelsinkiCathedral_00000038.jpg],3[HelsinkiCathedral_200000109.jpg],3[HelsinkiCathedral_00000023.jpg],2[HelsinkiCathedral_00000137.jpg],3[HelsinkiCathedral_00000036.jpg],4[HelsinkiCathedral_00000097.jpg],2[HelsinkiCathedral_00000027.jpg],3[HelsinkiCathedral_00000041.jpg],3[HelsinkiCathedral_200000105.jpg],2[HelsinkiCathedral_00000187.jpg],2[HelsinkiCathedral_00000050.jpg],1[HelsinkiCathedral_00000040.jpg],2[HelsinkiCathedral_200000116.jpg],2[HelsinkiCathedral_00000182.jpg],3[HelsinkiCathedral_200000098.jpg],3[HelsinkiCathedral_00000072.jpg],3[HelsinkiCathedral_00000151.jpg],3[HelsinkiCathedral_200000104.jpg],4[HelsinkiCathedral_200000115.jpg],3[HelsinkiCathedral_200000117.jpg],2[HelsinkiCathedral_200000091.jpg],2[HelsinkiCathedral_00000042.jpg],2[HelsinkiCathedral_200000114.jpg],1[HelsinkiCathedral_00000046.jpg],1[HelsinkiCathedral_00000061.jpg],2[HelsinkiCathedral_00000136.jpg],2[HelsinkiCathedral_00000069.jpg],
3BO3NEOQM074WPLYLRXSPILF62BIAA,"HelsinkiCathedral_330-359","sample#command",3R08VXYT7DL6025YT8UO52NIMR17WW,A1CO7S8BZUQROB,Approved,"Sun Sep 25 11:44:59 PDT 2016","Sun Sep 25 11:49:24 PDT 2016",2[HelsinkiCathedral_200000140.jpg],1[HelsinkiCathedral_00000019.jpg],3[HelsinkiCathedral_00000089.jpg],3[HelsinkiCathedral_00000038.jpg],2[HelsinkiCathedral_200000109.jpg],2[HelsinkiCathedral_00000023.jpg],4[HelsinkiCathedral_00000137.jpg],3[HelsinkiCathedral_00000036.jpg],1[HelsinkiCathedral_00000097.jpg],3[HelsinkiCathedral_00000027.jpg],2[HelsinkiCathedral_00000041.jpg],2[HelsinkiCathedral_200000105.jpg],1[HelsinkiCathedral_00000187.jpg],2[HelsinkiCathedral_00000050.jpg],2[HelsinkiCathedral_00000040.jpg],4[HelsinkiCathedral_200000116.jpg],3[HelsinkiCathedral_00000182.jpg],2[HelsinkiCathedral_200000098.jpg],2[HelsinkiCathedral_00000072.jpg],2[HelsinkiCathedral_00000151.jpg],1[HelsinkiCathedral_200000104.jpg],3[HelsinkiCathedral_200000115.jpg],3[HelsinkiCathedral_200000117.jpg],2[HelsinkiCathedral_200000091.jpg],3[HelsinkiCathedral_00000042.jpg],1[HelsinkiCathedral_200000114.jpg],3[HelsinkiCathedral_00000046.jpg],1[HelsinkiCathedral_00000061.jpg],1[HelsinkiCathedral_00000136.jpg],2[HelsinkiCathedral_00000069.jpg],
