HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3ZAZR5XV028G6E5ZVCM6KS9E43YCZK,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:29:51 PDT 2016","Sun Sep 25 01:31:43 PDT 2016",4[HelsinkiCathedral_200000001.jpg],4[HelsinkiCathedral_00000127.jpg],4[HelsinkiCathedral_00000131.jpg],4[HelsinkiCathedral_200000156.jpg],4[HelsinkiCathedral_200000007.jpg],2[HelsinkiCathedral_200000160.jpg],5[HelsinkiCathedral_200000011.jpg],3[HelsinkiCathedral_200000003.jpg],4[HelsinkiCathedral_200000000.jpg],5[HelsinkiCathedral_200000008.jpg],4[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],5[HelsinkiCathedral_200000185.jpg],4[HelsinkiCathedral_200000087.jpg],5[HelsinkiCathedral_200000082.jpg],4[HelsinkiCathedral_200000094.jpg],5[HelsinkiCathedral_00000091.jpg],5[HelsinkiCathedral_200000079.jpg],5[HelsinkiCathedral_200000097.jpg],4[HelsinkiCathedral_200000093.jpg],5[HelsinkiCathedral_00000185.jpg],5[HelsinkiCathedral_00000073.jpg],5[HelsinkiCathedral_00000024.jpg],5[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],5[HelsinkiCathedral_200000090.jpg],5[HelsinkiCathedral_00000021.jpg],5[HelsinkiCathedral_200000080.jpg],5[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3CFVK00FWMB7L8FU6KIUQD66T8G6L4,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:53 PDT 2016","Sun Sep 25 01:55:49 PDT 2016",3[HelsinkiCathedral_200000001.jpg],5[HelsinkiCathedral_00000127.jpg],5[HelsinkiCathedral_00000131.jpg],5[HelsinkiCathedral_200000156.jpg],5[HelsinkiCathedral_200000007.jpg],5[HelsinkiCathedral_200000160.jpg],5[HelsinkiCathedral_200000011.jpg],5[HelsinkiCathedral_200000003.jpg],5[HelsinkiCathedral_200000000.jpg],5[HelsinkiCathedral_200000008.jpg],5[HelsinkiCathedral_00000116.jpg],5[HelsinkiCathedral_00000111.jpg],5[HelsinkiCathedral_200000185.jpg],5[HelsinkiCathedral_200000087.jpg],5[HelsinkiCathedral_200000082.jpg],5[HelsinkiCathedral_200000094.jpg],5[HelsinkiCathedral_00000091.jpg],5[HelsinkiCathedral_200000079.jpg],5[HelsinkiCathedral_200000097.jpg],5[HelsinkiCathedral_200000093.jpg],5[HelsinkiCathedral_00000185.jpg],5[HelsinkiCathedral_00000073.jpg],5[HelsinkiCathedral_00000024.jpg],5[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],5[HelsinkiCathedral_200000090.jpg],5[HelsinkiCathedral_00000021.jpg],5[HelsinkiCathedral_200000080.jpg],5[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",35L9RVQFCP8Q1NM5BH1ZERRFFDPUHN,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:33 PDT 2016","Sun Sep 25 02:52:29 PDT 2016",5[HelsinkiCathedral_200000001.jpg],5[HelsinkiCathedral_00000127.jpg],5[HelsinkiCathedral_00000131.jpg],4[HelsinkiCathedral_200000156.jpg],5[HelsinkiCathedral_200000007.jpg],3[HelsinkiCathedral_200000160.jpg],4[HelsinkiCathedral_200000011.jpg],4[HelsinkiCathedral_200000003.jpg],4[HelsinkiCathedral_200000000.jpg],4[HelsinkiCathedral_200000008.jpg],4[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],4[HelsinkiCathedral_200000185.jpg],4[HelsinkiCathedral_200000087.jpg],5[HelsinkiCathedral_200000082.jpg],4[HelsinkiCathedral_200000094.jpg],4[HelsinkiCathedral_00000091.jpg],4[HelsinkiCathedral_200000079.jpg],5[HelsinkiCathedral_200000097.jpg],4[HelsinkiCathedral_200000093.jpg],4[HelsinkiCathedral_00000185.jpg],3[HelsinkiCathedral_00000073.jpg],3[HelsinkiCathedral_00000024.jpg],3[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],4[HelsinkiCathedral_200000090.jpg],4[HelsinkiCathedral_00000021.jpg],3[HelsinkiCathedral_200000080.jpg],4[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",379J5II41P6BYN89C21S21YJA6ALEA,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:22:12 PDT 2016","Sun Sep 25 05:25:19 PDT 2016",4[HelsinkiCathedral_200000001.jpg],4[HelsinkiCathedral_00000127.jpg],4[HelsinkiCathedral_00000131.jpg],4[HelsinkiCathedral_200000156.jpg],4[HelsinkiCathedral_200000007.jpg],3[HelsinkiCathedral_200000160.jpg],4[HelsinkiCathedral_200000011.jpg],4[HelsinkiCathedral_200000003.jpg],4[HelsinkiCathedral_200000000.jpg],4[HelsinkiCathedral_200000008.jpg],4[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],4[HelsinkiCathedral_200000185.jpg],4[HelsinkiCathedral_200000087.jpg],4[HelsinkiCathedral_200000082.jpg],3[HelsinkiCathedral_200000094.jpg],3[HelsinkiCathedral_00000091.jpg],4[HelsinkiCathedral_200000079.jpg],4[HelsinkiCathedral_200000097.jpg],4[HelsinkiCathedral_200000093.jpg],3[HelsinkiCathedral_00000185.jpg],3[HelsinkiCathedral_00000073.jpg],3[HelsinkiCathedral_00000024.jpg],3[HelsinkiCathedral_200000078.jpg],3[HelsinkiCathedral_00000031.jpg],3[HelsinkiCathedral_200000090.jpg],4[HelsinkiCathedral_00000021.jpg],4[HelsinkiCathedral_200000080.jpg],4[HelsinkiCathedral_200000081.jpg],4[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",31HQ4X3T3T0C86DRDXLXRI2YBXKLSC,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:55:32 PDT 2016","Sun Sep 25 05:56:08 PDT 2016",5[HelsinkiCathedral_200000001.jpg],5[HelsinkiCathedral_00000127.jpg],5[HelsinkiCathedral_00000131.jpg],5[HelsinkiCathedral_200000156.jpg],5[HelsinkiCathedral_200000007.jpg],5[HelsinkiCathedral_200000160.jpg],5[HelsinkiCathedral_200000011.jpg],5[HelsinkiCathedral_200000003.jpg],5[HelsinkiCathedral_200000000.jpg],5[HelsinkiCathedral_200000008.jpg],5[HelsinkiCathedral_00000116.jpg],5[HelsinkiCathedral_00000111.jpg],5[HelsinkiCathedral_200000185.jpg],5[HelsinkiCathedral_200000087.jpg],5[HelsinkiCathedral_200000082.jpg],5[HelsinkiCathedral_200000094.jpg],5[HelsinkiCathedral_00000091.jpg],5[HelsinkiCathedral_200000079.jpg],5[HelsinkiCathedral_200000097.jpg],5[HelsinkiCathedral_200000093.jpg],5[HelsinkiCathedral_00000185.jpg],5[HelsinkiCathedral_00000073.jpg],5[HelsinkiCathedral_00000024.jpg],5[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],5[HelsinkiCathedral_200000090.jpg],5[HelsinkiCathedral_00000021.jpg],5[HelsinkiCathedral_200000080.jpg],5[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3NPI0JQDAPV3ER54UPJUI474IQ8TPG,A311BTV53IKX3D,Approved,"Sun Sep 25 08:40:13 PDT 2016","Sun Sep 25 08:42:27 PDT 2016",3[HelsinkiCathedral_200000001.jpg],4[HelsinkiCathedral_00000127.jpg],5[HelsinkiCathedral_00000131.jpg],4[HelsinkiCathedral_200000156.jpg],5[HelsinkiCathedral_200000007.jpg],3[HelsinkiCathedral_200000160.jpg],4[HelsinkiCathedral_200000011.jpg],4[HelsinkiCathedral_200000003.jpg],5[HelsinkiCathedral_200000000.jpg],4[HelsinkiCathedral_200000008.jpg],4[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],4[HelsinkiCathedral_200000185.jpg],4[HelsinkiCathedral_200000087.jpg],4[HelsinkiCathedral_200000082.jpg],4[HelsinkiCathedral_200000094.jpg],4[HelsinkiCathedral_00000091.jpg],4[HelsinkiCathedral_200000079.jpg],4[HelsinkiCathedral_200000097.jpg],4[HelsinkiCathedral_200000093.jpg],4[HelsinkiCathedral_00000185.jpg],4[HelsinkiCathedral_00000073.jpg],3[HelsinkiCathedral_00000024.jpg],4[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],5[HelsinkiCathedral_200000090.jpg],5[HelsinkiCathedral_00000021.jpg],4[HelsinkiCathedral_200000080.jpg],5[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3WMINLGALCTF56XRJK673ZI5VJJACB,A2T01LQBGRSCDF,Approved,"Sun Sep 25 10:38:04 PDT 2016","Sun Sep 25 10:40:43 PDT 2016",3[HelsinkiCathedral_200000001.jpg],2[HelsinkiCathedral_00000127.jpg],3[HelsinkiCathedral_00000131.jpg],1[HelsinkiCathedral_200000156.jpg],2[HelsinkiCathedral_200000007.jpg],1[HelsinkiCathedral_200000160.jpg],3[HelsinkiCathedral_200000011.jpg],5[HelsinkiCathedral_200000003.jpg],3[HelsinkiCathedral_200000000.jpg],3[HelsinkiCathedral_200000008.jpg],3[HelsinkiCathedral_00000116.jpg],3[HelsinkiCathedral_00000111.jpg],2[HelsinkiCathedral_200000185.jpg],3[HelsinkiCathedral_200000087.jpg],3[HelsinkiCathedral_200000082.jpg],2[HelsinkiCathedral_200000094.jpg],2[HelsinkiCathedral_00000091.jpg],3[HelsinkiCathedral_200000079.jpg],3[HelsinkiCathedral_200000097.jpg],2[HelsinkiCathedral_200000093.jpg],2[HelsinkiCathedral_00000185.jpg],2[HelsinkiCathedral_00000073.jpg],3[HelsinkiCathedral_00000024.jpg],2[HelsinkiCathedral_200000078.jpg],3[HelsinkiCathedral_00000031.jpg],3[HelsinkiCathedral_200000090.jpg],3[HelsinkiCathedral_00000021.jpg],3[HelsinkiCathedral_200000080.jpg],2[HelsinkiCathedral_200000081.jpg],3[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3Z7VU45IPZ7WJBV1FFXM3WQN0701ZE,A2B1YSMEHN1G2K,Approved,"Sun Sep 25 10:44:27 PDT 2016","Sun Sep 25 11:05:39 PDT 2016",5[HelsinkiCathedral_200000001.jpg],5[HelsinkiCathedral_00000127.jpg],4[HelsinkiCathedral_00000131.jpg],2[HelsinkiCathedral_200000156.jpg],4[HelsinkiCathedral_200000007.jpg],2[HelsinkiCathedral_200000160.jpg],4[HelsinkiCathedral_200000011.jpg],4[HelsinkiCathedral_200000003.jpg],4[HelsinkiCathedral_200000000.jpg],4[HelsinkiCathedral_200000008.jpg],4[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],4[HelsinkiCathedral_200000185.jpg],4[HelsinkiCathedral_200000087.jpg],5[HelsinkiCathedral_200000082.jpg],4[HelsinkiCathedral_200000094.jpg],4[HelsinkiCathedral_00000091.jpg],5[HelsinkiCathedral_200000079.jpg],5[HelsinkiCathedral_200000097.jpg],4[HelsinkiCathedral_200000093.jpg],4[HelsinkiCathedral_00000185.jpg],4[HelsinkiCathedral_00000073.jpg],5[HelsinkiCathedral_00000024.jpg],5[HelsinkiCathedral_200000078.jpg],5[HelsinkiCathedral_00000031.jpg],5[HelsinkiCathedral_200000090.jpg],5[HelsinkiCathedral_00000021.jpg],5[HelsinkiCathedral_200000080.jpg],4[HelsinkiCathedral_200000081.jpg],5[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3TMFV4NEP94A0GAH3DMUJ2JDXB58WI,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 11:25:39 PDT 2016","Sun Sep 25 11:27:51 PDT 2016",5[HelsinkiCathedral_200000001.jpg],4[HelsinkiCathedral_00000127.jpg],5[HelsinkiCathedral_00000131.jpg],4[HelsinkiCathedral_200000156.jpg],3[HelsinkiCathedral_200000007.jpg],3[HelsinkiCathedral_200000160.jpg],4[HelsinkiCathedral_200000011.jpg],5[HelsinkiCathedral_200000003.jpg],4[HelsinkiCathedral_200000000.jpg],4[HelsinkiCathedral_200000008.jpg],3[HelsinkiCathedral_00000116.jpg],4[HelsinkiCathedral_00000111.jpg],5[HelsinkiCathedral_200000185.jpg],5[HelsinkiCathedral_200000087.jpg],4[HelsinkiCathedral_200000082.jpg],5[HelsinkiCathedral_200000094.jpg],5[HelsinkiCathedral_00000091.jpg],5[HelsinkiCathedral_200000079.jpg],4[HelsinkiCathedral_200000097.jpg],5[HelsinkiCathedral_200000093.jpg],4[HelsinkiCathedral_00000185.jpg],4[HelsinkiCathedral_00000073.jpg],2[HelsinkiCathedral_00000024.jpg],3[HelsinkiCathedral_200000078.jpg],4[HelsinkiCathedral_00000031.jpg],4[HelsinkiCathedral_200000090.jpg],4[HelsinkiCathedral_00000021.jpg],4[HelsinkiCathedral_200000080.jpg],5[HelsinkiCathedral_200000081.jpg],4[HelsinkiCathedral_00000039.jpg],
3BVS8WK9Q0L9FZQQR5XOKT5LOKWIB5,"HelsinkiCathedral_300-329","sample#command",3NKQQ8O39ZV9P7H3PLI9N6CHNMUUDE,A2K6GAHX04JMQJ,Approved,"Sun Sep 25 12:11:11 PDT 2016","Sun Sep 25 12:22:23 PDT 2016",3[HelsinkiCathedral_200000001.jpg],4[HelsinkiCathedral_00000127.jpg],4[HelsinkiCathedral_00000131.jpg],2[HelsinkiCathedral_200000156.jpg],3[HelsinkiCathedral_200000007.jpg],1[HelsinkiCathedral_200000160.jpg],3[HelsinkiCathedral_200000011.jpg],3[HelsinkiCathedral_200000003.jpg],3[HelsinkiCathedral_200000000.jpg],3[HelsinkiCathedral_200000008.jpg],3[HelsinkiCathedral_00000116.jpg],3[HelsinkiCathedral_00000111.jpg],2[HelsinkiCathedral_200000185.jpg],3[HelsinkiCathedral_200000087.jpg],4[HelsinkiCathedral_200000082.jpg],3[HelsinkiCathedral_200000094.jpg],3[HelsinkiCathedral_00000091.jpg],3[HelsinkiCathedral_200000079.jpg],4[HelsinkiCathedral_200000097.jpg],3[HelsinkiCathedral_200000093.jpg],3[HelsinkiCathedral_00000185.jpg],3[HelsinkiCathedral_00000073.jpg],2[HelsinkiCathedral_00000024.jpg],3[HelsinkiCathedral_200000078.jpg],3[HelsinkiCathedral_00000031.jpg],3[HelsinkiCathedral_200000090.jpg],3[HelsinkiCathedral_00000021.jpg],3[HelsinkiCathedral_200000080.jpg],3[HelsinkiCathedral_200000081.jpg],4[HelsinkiCathedral_00000039.jpg],
