HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",33C7UALJVMOHZFUE6PX9QCTJ1X081L,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:31:53 PDT 2016","Sun Sep 25 01:34:00 PDT 2016",4[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],4[HelsinkiCathedral_00000044.jpg],1[HelsinkiCathedral_00000045.jpg],3[HelsinkiCathedral_200000110.jpg],5[HelsinkiCathedral_200000088.jpg],5[HelsinkiCathedral_00000049.jpg],2[HelsinkiCathedral_00000181.jpg],4[HelsinkiCathedral_200000089.jpg],5[HelsinkiCathedral_00000047.jpg],5[HelsinkiCathedral_200000103.jpg],4[HelsinkiCathedral_00000022.jpg],4[HelsinkiCathedral_00000048.jpg],5[HelsinkiCathedral_00000025.jpg],5[HelsinkiCathedral_200000031.jpg],5[HelsinkiCathedral_200000146.jpg],4[HelsinkiCathedral_200000055.jpg],4[HelsinkiCathedral_200000076.jpg],5[HelsinkiCathedral_200000119.jpg],4[HelsinkiCathedral_200000034.jpg],3[HelsinkiCathedral_200000053.jpg],5[HelsinkiCathedral_200000151.jpg],5[HelsinkiCathedral_200000166.jpg],3[HelsinkiCathedral_200000035.jpg],5[HelsinkiCathedral_200000157.jpg],2[HelsinkiCathedral_200000044.jpg],3[HelsinkiCathedral_200000037.jpg],5[HelsinkiCathedral_200000086.jpg],4[HelsinkiCathedral_200000084.jpg],1[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3XC1O3LBOTCDN6Q62XQN1NYKDGQTL1,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:56 PDT 2016","Sun Sep 25 01:56:30 PDT 2016",5[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],5[HelsinkiCathedral_00000044.jpg],5[HelsinkiCathedral_00000045.jpg],5[HelsinkiCathedral_200000110.jpg],5[HelsinkiCathedral_200000088.jpg],5[HelsinkiCathedral_00000049.jpg],5[HelsinkiCathedral_00000181.jpg],5[HelsinkiCathedral_200000089.jpg],5[HelsinkiCathedral_00000047.jpg],5[HelsinkiCathedral_200000103.jpg],5[HelsinkiCathedral_00000022.jpg],5[HelsinkiCathedral_00000048.jpg],5[HelsinkiCathedral_00000025.jpg],5[HelsinkiCathedral_200000031.jpg],5[HelsinkiCathedral_200000146.jpg],5[HelsinkiCathedral_200000055.jpg],5[HelsinkiCathedral_200000076.jpg],5[HelsinkiCathedral_200000119.jpg],5[HelsinkiCathedral_200000034.jpg],5[HelsinkiCathedral_200000053.jpg],5[HelsinkiCathedral_200000151.jpg],5[HelsinkiCathedral_200000166.jpg],5[HelsinkiCathedral_200000035.jpg],5[HelsinkiCathedral_200000157.jpg],5[HelsinkiCathedral_200000044.jpg],5[HelsinkiCathedral_200000037.jpg],5[HelsinkiCathedral_200000086.jpg],5[HelsinkiCathedral_200000084.jpg],5[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3LJ7UR74RI3JULE1Z95U67QH2CB4NK,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:29 PDT 2016","Sun Sep 25 02:50:27 PDT 2016",4[HelsinkiCathedral_00000020.jpg],4[HelsinkiCathedral_00000029.jpg],4[HelsinkiCathedral_00000044.jpg],4[HelsinkiCathedral_00000045.jpg],4[HelsinkiCathedral_200000110.jpg],4[HelsinkiCathedral_200000088.jpg],4[HelsinkiCathedral_00000049.jpg],4[HelsinkiCathedral_00000181.jpg],5[HelsinkiCathedral_200000089.jpg],5[HelsinkiCathedral_00000047.jpg],5[HelsinkiCathedral_200000103.jpg],5[HelsinkiCathedral_00000022.jpg],5[HelsinkiCathedral_00000048.jpg],4[HelsinkiCathedral_00000025.jpg],4[HelsinkiCathedral_200000031.jpg],4[HelsinkiCathedral_200000146.jpg],4[HelsinkiCathedral_200000055.jpg],4[HelsinkiCathedral_200000076.jpg],3[HelsinkiCathedral_200000119.jpg],3[HelsinkiCathedral_200000034.jpg],3[HelsinkiCathedral_200000053.jpg],3[HelsinkiCathedral_200000151.jpg],3[HelsinkiCathedral_200000166.jpg],4[HelsinkiCathedral_200000035.jpg],3[HelsinkiCathedral_200000157.jpg],4[HelsinkiCathedral_200000044.jpg],5[HelsinkiCathedral_200000037.jpg],5[HelsinkiCathedral_200000086.jpg],4[HelsinkiCathedral_200000084.jpg],4[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3P4RDNWND6WHJ2MV50F671JJYACIJE,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:18:21 PDT 2016","Sun Sep 25 05:21:47 PDT 2016",3[HelsinkiCathedral_00000020.jpg],4[HelsinkiCathedral_00000029.jpg],4[HelsinkiCathedral_00000044.jpg],3[HelsinkiCathedral_00000045.jpg],4[HelsinkiCathedral_200000110.jpg],4[HelsinkiCathedral_200000088.jpg],4[HelsinkiCathedral_00000049.jpg],4[HelsinkiCathedral_00000181.jpg],4[HelsinkiCathedral_200000089.jpg],4[HelsinkiCathedral_00000047.jpg],4[HelsinkiCathedral_200000103.jpg],4[HelsinkiCathedral_00000022.jpg],3[HelsinkiCathedral_00000048.jpg],3[HelsinkiCathedral_00000025.jpg],3[HelsinkiCathedral_200000031.jpg],3[HelsinkiCathedral_200000146.jpg],4[HelsinkiCathedral_200000055.jpg],4[HelsinkiCathedral_200000076.jpg],4[HelsinkiCathedral_200000119.jpg],3[HelsinkiCathedral_200000034.jpg],3[HelsinkiCathedral_200000053.jpg],3[HelsinkiCathedral_200000151.jpg],3[HelsinkiCathedral_200000166.jpg],4[HelsinkiCathedral_200000035.jpg],4[HelsinkiCathedral_200000157.jpg],3[HelsinkiCathedral_200000044.jpg],3[HelsinkiCathedral_200000037.jpg],3[HelsinkiCathedral_200000086.jpg],3[HelsinkiCathedral_200000084.jpg],3[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",324G5B4FB4YDSC4D0113Y7EELLW702,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:56:31 PDT 2016","Sun Sep 25 05:57:09 PDT 2016",5[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],5[HelsinkiCathedral_00000044.jpg],5[HelsinkiCathedral_00000045.jpg],5[HelsinkiCathedral_200000110.jpg],5[HelsinkiCathedral_200000088.jpg],5[HelsinkiCathedral_00000049.jpg],5[HelsinkiCathedral_00000181.jpg],5[HelsinkiCathedral_200000089.jpg],5[HelsinkiCathedral_00000047.jpg],5[HelsinkiCathedral_200000103.jpg],5[HelsinkiCathedral_00000022.jpg],5[HelsinkiCathedral_00000048.jpg],5[HelsinkiCathedral_00000025.jpg],5[HelsinkiCathedral_200000031.jpg],5[HelsinkiCathedral_200000146.jpg],5[HelsinkiCathedral_200000055.jpg],5[HelsinkiCathedral_200000076.jpg],5[HelsinkiCathedral_200000119.jpg],5[HelsinkiCathedral_200000034.jpg],5[HelsinkiCathedral_200000053.jpg],5[HelsinkiCathedral_200000151.jpg],5[HelsinkiCathedral_200000166.jpg],5[HelsinkiCathedral_200000035.jpg],5[HelsinkiCathedral_200000157.jpg],5[HelsinkiCathedral_200000044.jpg],5[HelsinkiCathedral_200000037.jpg],5[HelsinkiCathedral_200000086.jpg],5[HelsinkiCathedral_200000084.jpg],5[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3DYGAII7PMYQMBDCDLPZDZWHYJ3PQS,A1NV6KSQXA38MT,Approved,"Sun Sep 25 07:07:29 PDT 2016","Sun Sep 25 07:09:39 PDT 2016",4[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],3[HelsinkiCathedral_00000044.jpg],3[HelsinkiCathedral_00000045.jpg],3[HelsinkiCathedral_200000110.jpg],4[HelsinkiCathedral_200000088.jpg],4[HelsinkiCathedral_00000049.jpg],1[HelsinkiCathedral_00000181.jpg],4[HelsinkiCathedral_200000089.jpg],4[HelsinkiCathedral_00000047.jpg],3[HelsinkiCathedral_200000103.jpg],3[HelsinkiCathedral_00000022.jpg],2[HelsinkiCathedral_00000048.jpg],4[HelsinkiCathedral_00000025.jpg],3[HelsinkiCathedral_200000031.jpg],2[HelsinkiCathedral_200000146.jpg],2[HelsinkiCathedral_200000055.jpg],2[HelsinkiCathedral_200000076.jpg],4[HelsinkiCathedral_200000119.jpg],2[HelsinkiCathedral_200000034.jpg],2[HelsinkiCathedral_200000053.jpg],1[HelsinkiCathedral_200000151.jpg],4[HelsinkiCathedral_200000166.jpg],1[HelsinkiCathedral_200000035.jpg],4[HelsinkiCathedral_200000157.jpg],1[HelsinkiCathedral_200000044.jpg],2[HelsinkiCathedral_200000037.jpg],2[HelsinkiCathedral_200000086.jpg],3[HelsinkiCathedral_200000084.jpg],4[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3NXNZ5RS1BNVO6SQ0XKWRIF7OPV97L,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 07:35:23 PDT 2016","Sun Sep 25 07:37:52 PDT 2016",5[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],3[HelsinkiCathedral_00000044.jpg],1[HelsinkiCathedral_00000045.jpg],3[HelsinkiCathedral_200000110.jpg],3[HelsinkiCathedral_200000088.jpg],4[HelsinkiCathedral_00000049.jpg],1[HelsinkiCathedral_00000181.jpg],3[HelsinkiCathedral_200000089.jpg],4[HelsinkiCathedral_00000047.jpg],3[HelsinkiCathedral_200000103.jpg],3[HelsinkiCathedral_00000022.jpg],1[HelsinkiCathedral_00000048.jpg],3[HelsinkiCathedral_00000025.jpg],4[HelsinkiCathedral_200000031.jpg],1[HelsinkiCathedral_200000146.jpg],3[HelsinkiCathedral_200000055.jpg],3[HelsinkiCathedral_200000076.jpg],2[HelsinkiCathedral_200000119.jpg],3[HelsinkiCathedral_200000034.jpg],1[HelsinkiCathedral_200000053.jpg],3[HelsinkiCathedral_200000151.jpg],3[HelsinkiCathedral_200000166.jpg],3[HelsinkiCathedral_200000035.jpg],4[HelsinkiCathedral_200000157.jpg],2[HelsinkiCathedral_200000044.jpg],3[HelsinkiCathedral_200000037.jpg],4[HelsinkiCathedral_200000086.jpg],3[HelsinkiCathedral_200000084.jpg],2[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3QUO65DNQVE0T48SFUWPY0OGRZJOUL,A311BTV53IKX3D,Approved,"Sun Sep 25 08:42:52 PDT 2016","Sun Sep 25 08:45:16 PDT 2016",5[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],4[HelsinkiCathedral_00000044.jpg],4[HelsinkiCathedral_00000045.jpg],4[HelsinkiCathedral_200000110.jpg],4[HelsinkiCathedral_200000088.jpg],4[HelsinkiCathedral_00000049.jpg],3[HelsinkiCathedral_00000181.jpg],3[HelsinkiCathedral_200000089.jpg],3[HelsinkiCathedral_00000047.jpg],4[HelsinkiCathedral_200000103.jpg],5[HelsinkiCathedral_00000022.jpg],5[HelsinkiCathedral_00000048.jpg],4[HelsinkiCathedral_00000025.jpg],4[HelsinkiCathedral_200000031.jpg],5[HelsinkiCathedral_200000146.jpg],5[HelsinkiCathedral_200000055.jpg],5[HelsinkiCathedral_200000076.jpg],3[HelsinkiCathedral_200000119.jpg],3[HelsinkiCathedral_200000034.jpg],3[HelsinkiCathedral_200000053.jpg],3[HelsinkiCathedral_200000151.jpg],3[HelsinkiCathedral_200000166.jpg],5[HelsinkiCathedral_200000035.jpg],3[HelsinkiCathedral_200000157.jpg],5[HelsinkiCathedral_200000044.jpg],5[HelsinkiCathedral_200000037.jpg],4[HelsinkiCathedral_200000086.jpg],4[HelsinkiCathedral_200000084.jpg],4[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3TU5ZICBRER5GJEVR4NORD1R9AG8Q6,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:04:04 PDT 2016","Sun Sep 25 10:05:52 PDT 2016",3[HelsinkiCathedral_00000020.jpg],5[HelsinkiCathedral_00000029.jpg],4[HelsinkiCathedral_00000044.jpg],3[HelsinkiCathedral_00000045.jpg],4[HelsinkiCathedral_200000110.jpg],4[HelsinkiCathedral_200000088.jpg],5[HelsinkiCathedral_00000049.jpg],2[HelsinkiCathedral_00000181.jpg],3[HelsinkiCathedral_200000089.jpg],5[HelsinkiCathedral_00000047.jpg],5[HelsinkiCathedral_200000103.jpg],4[HelsinkiCathedral_00000022.jpg],2[HelsinkiCathedral_00000048.jpg],4[HelsinkiCathedral_00000025.jpg],5[HelsinkiCathedral_200000031.jpg],4[HelsinkiCathedral_200000146.jpg],5[HelsinkiCathedral_200000055.jpg],5[HelsinkiCathedral_200000076.jpg],3[HelsinkiCathedral_200000119.jpg],3[HelsinkiCathedral_200000034.jpg],3[HelsinkiCathedral_200000053.jpg],2[HelsinkiCathedral_200000151.jpg],2[HelsinkiCathedral_200000166.jpg],4[HelsinkiCathedral_200000035.jpg],2[HelsinkiCathedral_200000157.jpg],3[HelsinkiCathedral_200000044.jpg],4[HelsinkiCathedral_200000037.jpg],2[HelsinkiCathedral_200000086.jpg],4[HelsinkiCathedral_200000084.jpg],4[HelsinkiCathedral_200000039.jpg],
3MA5N0ATTC1S9XEPMZEWKNXJQP3KWY,"HelsinkiCathedral_360-389","sample#command",3Z2R0DQ0JI45X1M12WJNN5ZA4762ER,A2T01LQBGRSCDF,Approved,"Sun Sep 25 10:55:07 PDT 2016","Sun Sep 25 10:58:39 PDT 2016",3[HelsinkiCathedral_00000020.jpg],2[HelsinkiCathedral_00000029.jpg],2[HelsinkiCathedral_00000044.jpg],2[HelsinkiCathedral_00000045.jpg],3[HelsinkiCathedral_200000110.jpg],2[HelsinkiCathedral_200000088.jpg],3[HelsinkiCathedral_00000049.jpg],1[HelsinkiCathedral_00000181.jpg],2[HelsinkiCathedral_200000089.jpg],2[HelsinkiCathedral_00000047.jpg],2[HelsinkiCathedral_200000103.jpg],2[HelsinkiCathedral_00000022.jpg],2[HelsinkiCathedral_00000048.jpg],3[HelsinkiCathedral_00000025.jpg],3[HelsinkiCathedral_200000031.jpg],1[HelsinkiCathedral_200000146.jpg],2[HelsinkiCathedral_200000055.jpg],3[HelsinkiCathedral_200000076.jpg],2[HelsinkiCathedral_200000119.jpg],1[HelsinkiCathedral_200000034.jpg],1[HelsinkiCathedral_200000053.jpg],2[HelsinkiCathedral_200000151.jpg],4[HelsinkiCathedral_200000166.jpg],2[HelsinkiCathedral_200000035.jpg],3[HelsinkiCathedral_200000157.jpg],1[HelsinkiCathedral_200000044.jpg],1[HelsinkiCathedral_200000037.jpg],2[HelsinkiCathedral_200000086.jpg],3[HelsinkiCathedral_200000084.jpg],1[HelsinkiCathedral_200000039.jpg],
