HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3N2BF7Y2VRK7OFHW2FADNHAL2RLMHM,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:43:56 PDT 2016","Sun Sep 25 01:45:48 PDT 2016",5[HelsinkiCathedral_200000184.jpg],4[HelsinkiCathedral_200000174.jpg],4[HelsinkiCathedral_00000177.jpg],3[HelsinkiCathedral_00000144.jpg],4[HelsinkiCathedral_00000064.jpg],3[HelsinkiCathedral_00000002.jpg],5[HelsinkiCathedral_00000193.jpg],3[HelsinkiCathedral_00000004.jpg],4[HelsinkiCathedral_200000036.jpg],4[HelsinkiCathedral_200000042.jpg],3[HelsinkiCathedral_200000147.jpg],4[HelsinkiCathedral_00000077.jpg],4[HelsinkiCathedral_200000066.jpg],4[HelsinkiCathedral_00000060.jpg],3[HelsinkiCathedral_200000049.jpg],3[HelsinkiCathedral_00000135.jpg],3[HelsinkiCathedral_00000058.jpg],3[HelsinkiCathedral_00000154.jpg],3[HelsinkiCathedral_00000079.jpg],3[HelsinkiCathedral_00000054.jpg],4[HelsinkiCathedral_200000083.jpg],4[HelsinkiCathedral_00000146.jpg],3[HelsinkiCathedral_00000003.jpg],4[HelsinkiCathedral_00000010.jpg],3[HelsinkiCathedral_00000128.jpg],4[HelsinkiCathedral_200000041.jpg],3[HelsinkiCathedral_00000013.jpg],3[HelsinkiCathedral_00000065.jpg],4[HelsinkiCathedral_00000017.jpg],4[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",32SCWG5HIIUXCTUSYCB17UFQYIH6P2,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:46:23 PDT 2016","Sun Sep 25 01:59:22 PDT 2016",5[HelsinkiCathedral_200000184.jpg],5[HelsinkiCathedral_200000174.jpg],5[HelsinkiCathedral_00000177.jpg],5[HelsinkiCathedral_00000144.jpg],5[HelsinkiCathedral_00000064.jpg],5[HelsinkiCathedral_00000002.jpg],5[HelsinkiCathedral_00000193.jpg],5[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],5[HelsinkiCathedral_200000042.jpg],5[HelsinkiCathedral_200000147.jpg],5[HelsinkiCathedral_00000077.jpg],5[HelsinkiCathedral_200000066.jpg],5[HelsinkiCathedral_00000060.jpg],5[HelsinkiCathedral_200000049.jpg],5[HelsinkiCathedral_00000135.jpg],5[HelsinkiCathedral_00000058.jpg],5[HelsinkiCathedral_00000154.jpg],5[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],5[HelsinkiCathedral_200000083.jpg],5[HelsinkiCathedral_00000146.jpg],5[HelsinkiCathedral_00000003.jpg],5[HelsinkiCathedral_00000010.jpg],5[HelsinkiCathedral_00000128.jpg],5[HelsinkiCathedral_200000041.jpg],5[HelsinkiCathedral_00000013.jpg],5[HelsinkiCathedral_00000065.jpg],5[HelsinkiCathedral_00000017.jpg],5[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3NKQQ8O39ZV9P7H3PLI9N6CHNLWUDE,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:07 PDT 2016","Sun Sep 25 02:39:26 PDT 2016",4[HelsinkiCathedral_200000184.jpg],3[HelsinkiCathedral_200000174.jpg],4[HelsinkiCathedral_00000177.jpg],4[HelsinkiCathedral_00000144.jpg],4[HelsinkiCathedral_00000064.jpg],3[HelsinkiCathedral_00000002.jpg],4[HelsinkiCathedral_00000193.jpg],4[HelsinkiCathedral_00000004.jpg],3[HelsinkiCathedral_200000036.jpg],4[HelsinkiCathedral_200000042.jpg],4[HelsinkiCathedral_200000147.jpg],4[HelsinkiCathedral_00000077.jpg],4[HelsinkiCathedral_200000066.jpg],4[HelsinkiCathedral_00000060.jpg],4[HelsinkiCathedral_200000049.jpg],4[HelsinkiCathedral_00000135.jpg],5[HelsinkiCathedral_00000058.jpg],4[HelsinkiCathedral_00000154.jpg],5[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],5[HelsinkiCathedral_200000083.jpg],4[HelsinkiCathedral_00000146.jpg],4[HelsinkiCathedral_00000003.jpg],4[HelsinkiCathedral_00000010.jpg],4[HelsinkiCathedral_00000128.jpg],4[HelsinkiCathedral_200000041.jpg],4[HelsinkiCathedral_00000013.jpg],3[HelsinkiCathedral_00000065.jpg],4[HelsinkiCathedral_00000017.jpg],4[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",39ZSFO5CA9MMSTHVZH4KQ47US5VJUJ,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:48:58 PDT 2016","Sun Sep 25 02:53:56 PDT 2016",5[HelsinkiCathedral_200000184.jpg],5[HelsinkiCathedral_200000174.jpg],5[HelsinkiCathedral_00000177.jpg],4[HelsinkiCathedral_00000144.jpg],5[HelsinkiCathedral_00000064.jpg],5[HelsinkiCathedral_00000002.jpg],4[HelsinkiCathedral_00000193.jpg],4[HelsinkiCathedral_00000004.jpg],4[HelsinkiCathedral_200000036.jpg],5[HelsinkiCathedral_200000042.jpg],4[HelsinkiCathedral_200000147.jpg],4[HelsinkiCathedral_00000077.jpg],4[HelsinkiCathedral_200000066.jpg],4[HelsinkiCathedral_00000060.jpg],4[HelsinkiCathedral_200000049.jpg],4[HelsinkiCathedral_00000135.jpg],4[HelsinkiCathedral_00000058.jpg],5[HelsinkiCathedral_00000154.jpg],4[HelsinkiCathedral_00000079.jpg],4[HelsinkiCathedral_00000054.jpg],4[HelsinkiCathedral_200000083.jpg],4[HelsinkiCathedral_00000146.jpg],4[HelsinkiCathedral_00000003.jpg],4[HelsinkiCathedral_00000010.jpg],4[HelsinkiCathedral_00000128.jpg],5[HelsinkiCathedral_200000041.jpg],4[HelsinkiCathedral_00000013.jpg],4[HelsinkiCathedral_00000065.jpg],5[HelsinkiCathedral_00000017.jpg],5[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3F6KKYWMNCRWUHXUSK6N9BKNFP8NDK,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:00:18 PDT 2016","Sun Sep 25 05:03:26 PDT 2016",5[HelsinkiCathedral_200000184.jpg],4[HelsinkiCathedral_200000174.jpg],3[HelsinkiCathedral_00000177.jpg],4[HelsinkiCathedral_00000144.jpg],4[HelsinkiCathedral_00000064.jpg],4[HelsinkiCathedral_00000002.jpg],4[HelsinkiCathedral_00000193.jpg],4[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],3[HelsinkiCathedral_200000042.jpg],5[HelsinkiCathedral_200000147.jpg],4[HelsinkiCathedral_00000077.jpg],4[HelsinkiCathedral_200000066.jpg],4[HelsinkiCathedral_00000060.jpg],3[HelsinkiCathedral_200000049.jpg],5[HelsinkiCathedral_00000135.jpg],4[HelsinkiCathedral_00000058.jpg],3[HelsinkiCathedral_00000154.jpg],3[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],4[HelsinkiCathedral_200000083.jpg],4[HelsinkiCathedral_00000146.jpg],3[HelsinkiCathedral_00000003.jpg],4[HelsinkiCathedral_00000010.jpg],3[HelsinkiCathedral_00000128.jpg],3[HelsinkiCathedral_200000041.jpg],3[HelsinkiCathedral_00000013.jpg],3[HelsinkiCathedral_00000065.jpg],3[HelsinkiCathedral_00000017.jpg],3[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3O6CYIULEER8YDHU6GNZFU12U19UWU,AWQDOOSNH42QM,Approved,"Sun Sep 25 06:06:09 PDT 2016","Sun Sep 25 06:08:10 PDT 2016",5[HelsinkiCathedral_200000184.jpg],5[HelsinkiCathedral_200000174.jpg],5[HelsinkiCathedral_00000177.jpg],5[HelsinkiCathedral_00000144.jpg],5[HelsinkiCathedral_00000064.jpg],5[HelsinkiCathedral_00000002.jpg],5[HelsinkiCathedral_00000193.jpg],5[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],5[HelsinkiCathedral_200000042.jpg],5[HelsinkiCathedral_200000147.jpg],5[HelsinkiCathedral_00000077.jpg],5[HelsinkiCathedral_200000066.jpg],5[HelsinkiCathedral_00000060.jpg],5[HelsinkiCathedral_200000049.jpg],5[HelsinkiCathedral_00000135.jpg],5[HelsinkiCathedral_00000058.jpg],5[HelsinkiCathedral_00000154.jpg],5[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],5[HelsinkiCathedral_200000083.jpg],5[HelsinkiCathedral_00000146.jpg],5[HelsinkiCathedral_00000003.jpg],5[HelsinkiCathedral_00000010.jpg],5[HelsinkiCathedral_00000128.jpg],5[HelsinkiCathedral_200000041.jpg],5[HelsinkiCathedral_00000013.jpg],5[HelsinkiCathedral_00000065.jpg],5[HelsinkiCathedral_00000017.jpg],5[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",32ZKVD547GDWBG60W5V257YH7ND3BL,A2UFHATEG76AO5,Approved,"Sun Sep 25 07:43:44 PDT 2016","Sun Sep 25 07:47:46 PDT 2016",3[HelsinkiCathedral_200000184.jpg],2[HelsinkiCathedral_200000174.jpg],2[HelsinkiCathedral_00000177.jpg],1[HelsinkiCathedral_00000144.jpg],2[HelsinkiCathedral_00000064.jpg],2[HelsinkiCathedral_00000002.jpg],1[HelsinkiCathedral_00000193.jpg],2[HelsinkiCathedral_00000004.jpg],2[HelsinkiCathedral_200000036.jpg],2[HelsinkiCathedral_200000042.jpg],3[HelsinkiCathedral_200000147.jpg],2[HelsinkiCathedral_00000077.jpg],2[HelsinkiCathedral_200000066.jpg],2[HelsinkiCathedral_00000060.jpg],3[HelsinkiCathedral_200000049.jpg],3[HelsinkiCathedral_00000135.jpg],3[HelsinkiCathedral_00000058.jpg],2[HelsinkiCathedral_00000154.jpg],3[HelsinkiCathedral_00000079.jpg],4[HelsinkiCathedral_00000054.jpg],3[HelsinkiCathedral_200000083.jpg],2[HelsinkiCathedral_00000146.jpg],2[HelsinkiCathedral_00000003.jpg],3[HelsinkiCathedral_00000010.jpg],2[HelsinkiCathedral_00000128.jpg],2[HelsinkiCathedral_200000041.jpg],2[HelsinkiCathedral_00000013.jpg],1[HelsinkiCathedral_00000065.jpg],5[HelsinkiCathedral_00000017.jpg],3[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3NJM2BJS4XWMSA3T83O4TU70U49CPH,A2YB18JHC2C7GF,Approved,"Sun Sep 25 08:47:41 PDT 2016","Sun Sep 25 08:51:26 PDT 2016",5[HelsinkiCathedral_200000184.jpg],5[HelsinkiCathedral_200000174.jpg],3[HelsinkiCathedral_00000177.jpg],5[HelsinkiCathedral_00000144.jpg],5[HelsinkiCathedral_00000064.jpg],5[HelsinkiCathedral_00000002.jpg],5[HelsinkiCathedral_00000193.jpg],3[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],5[HelsinkiCathedral_200000042.jpg],5[HelsinkiCathedral_200000147.jpg],5[HelsinkiCathedral_00000077.jpg],5[HelsinkiCathedral_200000066.jpg],5[HelsinkiCathedral_00000060.jpg],5[HelsinkiCathedral_200000049.jpg],5[HelsinkiCathedral_00000135.jpg],5[HelsinkiCathedral_00000058.jpg],5[HelsinkiCathedral_00000154.jpg],5[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],5[HelsinkiCathedral_200000083.jpg],5[HelsinkiCathedral_00000146.jpg],4[HelsinkiCathedral_00000003.jpg],5[HelsinkiCathedral_00000010.jpg],4[HelsinkiCathedral_00000128.jpg],5[HelsinkiCathedral_200000041.jpg],5[HelsinkiCathedral_00000013.jpg],2[HelsinkiCathedral_00000065.jpg],5[HelsinkiCathedral_00000017.jpg],5[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",32VNZTT0A8U49J6TSGMBFRVR39H4RP,A311BTV53IKX3D,Approved,"Sun Sep 25 08:57:28 PDT 2016","Sun Sep 25 08:59:33 PDT 2016",4[HelsinkiCathedral_200000184.jpg],4[HelsinkiCathedral_200000174.jpg],3[HelsinkiCathedral_00000177.jpg],4[HelsinkiCathedral_00000144.jpg],4[HelsinkiCathedral_00000064.jpg],5[HelsinkiCathedral_00000002.jpg],5[HelsinkiCathedral_00000193.jpg],5[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],5[HelsinkiCathedral_200000042.jpg],3[HelsinkiCathedral_200000147.jpg],5[HelsinkiCathedral_00000077.jpg],3[HelsinkiCathedral_200000066.jpg],5[HelsinkiCathedral_00000060.jpg],4[HelsinkiCathedral_200000049.jpg],5[HelsinkiCathedral_00000135.jpg],5[HelsinkiCathedral_00000058.jpg],4[HelsinkiCathedral_00000154.jpg],3[HelsinkiCathedral_00000079.jpg],4[HelsinkiCathedral_00000054.jpg],4[HelsinkiCathedral_200000083.jpg],3[HelsinkiCathedral_00000146.jpg],3[HelsinkiCathedral_00000003.jpg],4[HelsinkiCathedral_00000010.jpg],5[HelsinkiCathedral_00000128.jpg],4[HelsinkiCathedral_200000041.jpg],4[HelsinkiCathedral_00000013.jpg],4[HelsinkiCathedral_00000065.jpg],4[HelsinkiCathedral_00000017.jpg],5[HelsinkiCathedral_00000102.jpg],
3MQY1YVHS3A54ECO22CWXDY4ZOZB2N,"HelsinkiCathedral_0-29","sample#command",3OE22WJIGJE3EGL8U7OTN5JG61EUQE,A13IVSKZS711UR,Approved,"Sun Sep 25 11:09:57 PDT 2016","Sun Sep 25 11:11:51 PDT 2016",1[HelsinkiCathedral_200000184.jpg],2[HelsinkiCathedral_200000174.jpg],2[HelsinkiCathedral_00000177.jpg],3[HelsinkiCathedral_00000144.jpg],4[HelsinkiCathedral_00000064.jpg],4[HelsinkiCathedral_00000002.jpg],4[HelsinkiCathedral_00000193.jpg],5[HelsinkiCathedral_00000004.jpg],5[HelsinkiCathedral_200000036.jpg],4[HelsinkiCathedral_200000042.jpg],4[HelsinkiCathedral_200000147.jpg],5[HelsinkiCathedral_00000077.jpg],4[HelsinkiCathedral_200000066.jpg],5[HelsinkiCathedral_00000060.jpg],5[HelsinkiCathedral_200000049.jpg],4[HelsinkiCathedral_00000135.jpg],3[HelsinkiCathedral_00000058.jpg],3[HelsinkiCathedral_00000154.jpg],5[HelsinkiCathedral_00000079.jpg],5[HelsinkiCathedral_00000054.jpg],4[HelsinkiCathedral_200000083.jpg],3[HelsinkiCathedral_00000146.jpg],3[HelsinkiCathedral_00000003.jpg],5[HelsinkiCathedral_00000010.jpg],2[HelsinkiCathedral_00000128.jpg],3[HelsinkiCathedral_200000041.jpg],4[HelsinkiCathedral_00000013.jpg],1[HelsinkiCathedral_00000065.jpg],4[HelsinkiCathedral_00000017.jpg],1[HelsinkiCathedral_00000102.jpg],
