HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",352YTHGROW3RKPSQWBAH1NTLG0ZH4L,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:19:08 PDT 2016","Sun Sep 25 01:32:50 PDT 2016",2[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],2[HelsinkiCathedral_200000075.jpg],2[HelsinkiCathedral_200000136.jpg],3[HelsinkiCathedral_200000071.jpg],2[HelsinkiCathedral_00000070.jpg],3[HelsinkiCathedral_00000000.jpg],4[HelsinkiCathedral_00000101.jpg],5[HelsinkiCathedral_00000001.jpg],3[HelsinkiCathedral_200000134.jpg],2[HelsinkiCathedral_00000149.jpg],3[HelsinkiCathedral_00000080.jpg],4[HelsinkiCathedral_200000054.jpg],3[HelsinkiCathedral_00000095.jpg],2[HelsinkiCathedral_00000150.jpg],2[HelsinkiCathedral_200000164.jpg],3[HelsinkiCathedral_200000070.jpg],2[HelsinkiCathedral_00000189.jpg],3[HelsinkiCathedral_00000053.jpg],2[HelsinkiCathedral_200000111.jpg],2[HelsinkiCathedral_00000057.jpg],3[HelsinkiCathedral_200000046.jpg],4[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],4[HelsinkiCathedral_200000050.jpg],3[HelsinkiCathedral_200000022.jpg],4[HelsinkiCathedral_200000132.jpg],3[HelsinkiCathedral_200000016.jpg],4[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",31LM9EDVOMI9X3XM2GSYC9F0K9ZNJS,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:34:11 PDT 2016","Sun Sep 25 01:37:28 PDT 2016",4[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],4[HelsinkiCathedral_00000074.jpg],2[HelsinkiCathedral_200000075.jpg],3[HelsinkiCathedral_200000136.jpg],3[HelsinkiCathedral_200000071.jpg],4[HelsinkiCathedral_00000070.jpg],4[HelsinkiCathedral_00000000.jpg],4[HelsinkiCathedral_00000101.jpg],1[HelsinkiCathedral_00000001.jpg],5[HelsinkiCathedral_200000134.jpg],3[HelsinkiCathedral_00000149.jpg],3[HelsinkiCathedral_00000080.jpg],4[HelsinkiCathedral_200000054.jpg],4[HelsinkiCathedral_00000095.jpg],1[HelsinkiCathedral_00000150.jpg],4[HelsinkiCathedral_200000164.jpg],5[HelsinkiCathedral_200000070.jpg],5[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],4[HelsinkiCathedral_200000111.jpg],4[HelsinkiCathedral_00000057.jpg],4[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],4[HelsinkiCathedral_00000170.jpg],3[HelsinkiCathedral_200000050.jpg],5[HelsinkiCathedral_200000022.jpg],4[HelsinkiCathedral_200000132.jpg],2[HelsinkiCathedral_200000016.jpg],1[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",3NGI5ARFTUV257TVS6ZKCYO9Q70P1M,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:46:10 PDT 2016","Sun Sep 25 01:57:29 PDT 2016",5[HelsinkiCathedral_00000052.jpg],5[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],5[HelsinkiCathedral_200000075.jpg],5[HelsinkiCathedral_200000136.jpg],5[HelsinkiCathedral_200000071.jpg],5[HelsinkiCathedral_00000070.jpg],5[HelsinkiCathedral_00000000.jpg],5[HelsinkiCathedral_00000101.jpg],5[HelsinkiCathedral_00000001.jpg],5[HelsinkiCathedral_200000134.jpg],5[HelsinkiCathedral_00000149.jpg],5[HelsinkiCathedral_00000080.jpg],5[HelsinkiCathedral_200000054.jpg],5[HelsinkiCathedral_00000095.jpg],5[HelsinkiCathedral_00000150.jpg],5[HelsinkiCathedral_200000164.jpg],5[HelsinkiCathedral_200000070.jpg],5[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],5[HelsinkiCathedral_200000111.jpg],5[HelsinkiCathedral_00000057.jpg],5[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],5[HelsinkiCathedral_200000050.jpg],5[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],5[HelsinkiCathedral_200000016.jpg],5[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",382M9COHEI5EHDV3LGTTTOU2NXXUE7,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:23 PDT 2016","Sun Sep 25 02:48:13 PDT 2016",4[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],3[HelsinkiCathedral_00000074.jpg],4[HelsinkiCathedral_200000075.jpg],4[HelsinkiCathedral_200000136.jpg],4[HelsinkiCathedral_200000071.jpg],4[HelsinkiCathedral_00000070.jpg],4[HelsinkiCathedral_00000000.jpg],4[HelsinkiCathedral_00000101.jpg],4[HelsinkiCathedral_00000001.jpg],4[HelsinkiCathedral_200000134.jpg],4[HelsinkiCathedral_00000149.jpg],4[HelsinkiCathedral_00000080.jpg],4[HelsinkiCathedral_200000054.jpg],4[HelsinkiCathedral_00000095.jpg],4[HelsinkiCathedral_00000150.jpg],4[HelsinkiCathedral_200000164.jpg],4[HelsinkiCathedral_200000070.jpg],4[HelsinkiCathedral_00000189.jpg],4[HelsinkiCathedral_00000053.jpg],4[HelsinkiCathedral_200000111.jpg],4[HelsinkiCathedral_00000057.jpg],4[HelsinkiCathedral_200000046.jpg],4[HelsinkiCathedral_200000077.jpg],4[HelsinkiCathedral_00000170.jpg],5[HelsinkiCathedral_200000050.jpg],4[HelsinkiCathedral_200000022.jpg],4[HelsinkiCathedral_200000132.jpg],4[HelsinkiCathedral_200000016.jpg],4[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",3LS2AMNW5GG81B1BYLCKOZRROEZQO4,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:47:14 PDT 2016","Sun Sep 25 02:50:24 PDT 2016",2[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],5[HelsinkiCathedral_200000075.jpg],5[HelsinkiCathedral_200000136.jpg],5[HelsinkiCathedral_200000071.jpg],5[HelsinkiCathedral_00000070.jpg],5[HelsinkiCathedral_00000000.jpg],5[HelsinkiCathedral_00000101.jpg],4[HelsinkiCathedral_00000001.jpg],4[HelsinkiCathedral_200000134.jpg],5[HelsinkiCathedral_00000149.jpg],5[HelsinkiCathedral_00000080.jpg],5[HelsinkiCathedral_200000054.jpg],5[HelsinkiCathedral_00000095.jpg],5[HelsinkiCathedral_00000150.jpg],4[HelsinkiCathedral_200000164.jpg],4[HelsinkiCathedral_200000070.jpg],4[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],5[HelsinkiCathedral_200000111.jpg],4[HelsinkiCathedral_00000057.jpg],5[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],5[HelsinkiCathedral_200000050.jpg],5[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],5[HelsinkiCathedral_200000016.jpg],4[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",3TU5ZICBRER5GJEVR4NORD1R99Z8QN,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:16:00 PDT 2016","Sun Sep 25 05:18:06 PDT 2016",4[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],4[HelsinkiCathedral_00000074.jpg],5[HelsinkiCathedral_200000075.jpg],3[HelsinkiCathedral_200000136.jpg],3[HelsinkiCathedral_200000071.jpg],4[HelsinkiCathedral_00000070.jpg],4[HelsinkiCathedral_00000000.jpg],3[HelsinkiCathedral_00000101.jpg],3[HelsinkiCathedral_00000001.jpg],5[HelsinkiCathedral_200000134.jpg],3[HelsinkiCathedral_00000149.jpg],3[HelsinkiCathedral_00000080.jpg],4[HelsinkiCathedral_200000054.jpg],4[HelsinkiCathedral_00000095.jpg],3[HelsinkiCathedral_00000150.jpg],4[HelsinkiCathedral_200000164.jpg],4[HelsinkiCathedral_200000070.jpg],4[HelsinkiCathedral_00000189.jpg],4[HelsinkiCathedral_00000053.jpg],3[HelsinkiCathedral_200000111.jpg],3[HelsinkiCathedral_00000057.jpg],4[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],4[HelsinkiCathedral_200000050.jpg],4[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],4[HelsinkiCathedral_200000016.jpg],3[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",3JCG6DTRV4GBMNERDY4OD4MR3FMQQH,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:57:08 PDT 2016","Sun Sep 25 05:57:47 PDT 2016",5[HelsinkiCathedral_00000052.jpg],5[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],5[HelsinkiCathedral_200000075.jpg],5[HelsinkiCathedral_200000136.jpg],5[HelsinkiCathedral_200000071.jpg],5[HelsinkiCathedral_00000070.jpg],5[HelsinkiCathedral_00000000.jpg],5[HelsinkiCathedral_00000101.jpg],5[HelsinkiCathedral_00000001.jpg],2[HelsinkiCathedral_200000134.jpg],5[HelsinkiCathedral_00000149.jpg],5[HelsinkiCathedral_00000080.jpg],5[HelsinkiCathedral_200000054.jpg],5[HelsinkiCathedral_00000095.jpg],3[HelsinkiCathedral_00000150.jpg],5[HelsinkiCathedral_200000164.jpg],5[HelsinkiCathedral_200000070.jpg],5[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],5[HelsinkiCathedral_200000111.jpg],5[HelsinkiCathedral_00000057.jpg],5[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],5[HelsinkiCathedral_200000050.jpg],5[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],5[HelsinkiCathedral_200000016.jpg],5[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",3VP0C6EFSHMRRQXF6WJ9QQLVTDO6MO,A311BTV53IKX3D,Approved,"Sun Sep 25 08:54:44 PDT 2016","Sun Sep 25 08:56:46 PDT 2016",3[HelsinkiCathedral_00000052.jpg],3[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],3[HelsinkiCathedral_200000075.jpg],4[HelsinkiCathedral_200000136.jpg],5[HelsinkiCathedral_200000071.jpg],4[HelsinkiCathedral_00000070.jpg],4[HelsinkiCathedral_00000000.jpg],4[HelsinkiCathedral_00000101.jpg],5[HelsinkiCathedral_00000001.jpg],4[HelsinkiCathedral_200000134.jpg],4[HelsinkiCathedral_00000149.jpg],5[HelsinkiCathedral_00000080.jpg],5[HelsinkiCathedral_200000054.jpg],5[HelsinkiCathedral_00000095.jpg],4[HelsinkiCathedral_00000150.jpg],4[HelsinkiCathedral_200000164.jpg],4[HelsinkiCathedral_200000070.jpg],5[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],4[HelsinkiCathedral_200000111.jpg],4[HelsinkiCathedral_00000057.jpg],4[HelsinkiCathedral_200000046.jpg],4[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],5[HelsinkiCathedral_200000050.jpg],4[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],4[HelsinkiCathedral_200000016.jpg],5[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",37QW5D2ZRHCHTZT8J8CTMDGSRY18SV,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:04:11 PDT 2016","Sun Sep 25 10:11:56 PDT 2016",4[HelsinkiCathedral_00000052.jpg],4[HelsinkiCathedral_200000085.jpg],5[HelsinkiCathedral_00000074.jpg],4[HelsinkiCathedral_200000075.jpg],4[HelsinkiCathedral_200000136.jpg],5[HelsinkiCathedral_200000071.jpg],4[HelsinkiCathedral_00000070.jpg],5[HelsinkiCathedral_00000000.jpg],5[HelsinkiCathedral_00000101.jpg],4[HelsinkiCathedral_00000001.jpg],2[HelsinkiCathedral_200000134.jpg],4[HelsinkiCathedral_00000149.jpg],4[HelsinkiCathedral_00000080.jpg],5[HelsinkiCathedral_200000054.jpg],5[HelsinkiCathedral_00000095.jpg],4[HelsinkiCathedral_00000150.jpg],3[HelsinkiCathedral_200000164.jpg],2[HelsinkiCathedral_200000070.jpg],3[HelsinkiCathedral_00000189.jpg],5[HelsinkiCathedral_00000053.jpg],5[HelsinkiCathedral_200000111.jpg],3[HelsinkiCathedral_00000057.jpg],5[HelsinkiCathedral_200000046.jpg],5[HelsinkiCathedral_200000077.jpg],5[HelsinkiCathedral_00000170.jpg],4[HelsinkiCathedral_200000050.jpg],3[HelsinkiCathedral_200000022.jpg],5[HelsinkiCathedral_200000132.jpg],4[HelsinkiCathedral_200000016.jpg],4[HelsinkiCathedral_00000202.jpg],
3WGZLY9VCHC95QCXWFC32UZ7O938DU,"HelsinkiCathedral_60-89","sample#command",33FOTY3KENBJBIKRN1DESYP2RPF1CG,A2T01LQBGRSCDF,Approved,"Sun Sep 25 11:00:37 PDT 2016","Sun Sep 25 11:03:33 PDT 2016",4[HelsinkiCathedral_00000052.jpg],3[HelsinkiCathedral_200000085.jpg],3[HelsinkiCathedral_00000074.jpg],3[HelsinkiCathedral_200000075.jpg],1[HelsinkiCathedral_200000136.jpg],1[HelsinkiCathedral_200000071.jpg],2[HelsinkiCathedral_00000070.jpg],2[HelsinkiCathedral_00000000.jpg],2[HelsinkiCathedral_00000101.jpg],2[HelsinkiCathedral_00000001.jpg],3[HelsinkiCathedral_200000134.jpg],3[HelsinkiCathedral_00000149.jpg],2[HelsinkiCathedral_00000080.jpg],4[HelsinkiCathedral_200000054.jpg],3[HelsinkiCathedral_00000095.jpg],1[HelsinkiCathedral_00000150.jpg],3[HelsinkiCathedral_200000164.jpg],2[HelsinkiCathedral_200000070.jpg],1[HelsinkiCathedral_00000189.jpg],2[HelsinkiCathedral_00000053.jpg],2[HelsinkiCathedral_200000111.jpg],3[HelsinkiCathedral_00000057.jpg],2[HelsinkiCathedral_200000046.jpg],4[HelsinkiCathedral_200000077.jpg],3[HelsinkiCathedral_00000170.jpg],2[HelsinkiCathedral_200000050.jpg],2[HelsinkiCathedral_200000022.jpg],1[HelsinkiCathedral_200000132.jpg],1[HelsinkiCathedral_200000016.jpg],1[HelsinkiCathedral_00000202.jpg],
