HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3WETL7AQWUYUM0PRVV4P2LYPXRD356,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 01:26:45 PDT 2016","Sun Sep 25 01:29:39 PDT 2016",4[HelsinkiCathedral_200000130.jpg],1[HelsinkiCathedral_00000098.jpg],3[HelsinkiCathedral_200000051.jpg],3[HelsinkiCathedral_00000018.jpg],4[HelsinkiCathedral_00000104.jpg],3[HelsinkiCathedral_00000191.jpg],3[HelsinkiCathedral_00000005.jpg],4[HelsinkiCathedral_200000068.jpg],3[HelsinkiCathedral_00000192.jpg],3[HelsinkiCathedral_00000059.jpg],3[HelsinkiCathedral_00000165.jpg],3[HelsinkiCathedral_00000015.jpg],4[HelsinkiCathedral_00000213.jpg],4[HelsinkiCathedral_200000165.jpg],4[HelsinkiCathedral_00000159.jpg],1[HelsinkiCathedral_00000203.jpg],3[HelsinkiCathedral_200000122.jpg],3[HelsinkiCathedral_200000172.jpg],1[HelsinkiCathedral_00000143.jpg],4[HelsinkiCathedral_200000113.jpg],3[HelsinkiCathedral_00000141.jpg],4[HelsinkiCathedral_00000148.jpg],5[HelsinkiCathedral_00000207.jpg],4[HelsinkiCathedral_200000142.jpg],4[HelsinkiCathedral_00000138.jpg],3[HelsinkiCathedral_00000161.jpg],2[HelsinkiCathedral_00000157.jpg],3[HelsinkiCathedral_200000015.jpg],3[HelsinkiCathedral_200000139.jpg],3[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3U0SRXB7CEVQVRGZAL17E01RUQTRNO,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:45:13 PDT 2016","Sun Sep 25 01:55:21 PDT 2016",5[HelsinkiCathedral_200000130.jpg],5[HelsinkiCathedral_00000098.jpg],5[HelsinkiCathedral_200000051.jpg],5[HelsinkiCathedral_00000018.jpg],5[HelsinkiCathedral_00000104.jpg],5[HelsinkiCathedral_00000191.jpg],5[HelsinkiCathedral_00000005.jpg],5[HelsinkiCathedral_200000068.jpg],5[HelsinkiCathedral_00000192.jpg],5[HelsinkiCathedral_00000059.jpg],5[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],5[HelsinkiCathedral_00000213.jpg],5[HelsinkiCathedral_200000165.jpg],5[HelsinkiCathedral_00000159.jpg],5[HelsinkiCathedral_00000203.jpg],5[HelsinkiCathedral_200000122.jpg],5[HelsinkiCathedral_200000172.jpg],5[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],5[HelsinkiCathedral_00000141.jpg],5[HelsinkiCathedral_00000148.jpg],5[HelsinkiCathedral_00000207.jpg],5[HelsinkiCathedral_200000142.jpg],5[HelsinkiCathedral_00000138.jpg],5[HelsinkiCathedral_00000161.jpg],5[HelsinkiCathedral_00000157.jpg],5[HelsinkiCathedral_200000015.jpg],5[HelsinkiCathedral_200000139.jpg],5[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3QBD8R3Z2291C6ED0O57LWQMSMG4OZ,A22JTMBADARX55,Approved,"Sun Sep 25 02:13:37 PDT 2016","Sun Sep 25 02:54:26 PDT 2016",4[HelsinkiCathedral_200000130.jpg],4[HelsinkiCathedral_00000098.jpg],4[HelsinkiCathedral_200000051.jpg],4[HelsinkiCathedral_00000018.jpg],4[HelsinkiCathedral_00000104.jpg],4[HelsinkiCathedral_00000191.jpg],4[HelsinkiCathedral_00000005.jpg],4[HelsinkiCathedral_200000068.jpg],4[HelsinkiCathedral_00000192.jpg],4[HelsinkiCathedral_00000059.jpg],5[HelsinkiCathedral_00000165.jpg],4[HelsinkiCathedral_00000015.jpg],4[HelsinkiCathedral_00000213.jpg],3[HelsinkiCathedral_200000165.jpg],3[HelsinkiCathedral_00000159.jpg],2[HelsinkiCathedral_00000203.jpg],4[HelsinkiCathedral_200000122.jpg],4[HelsinkiCathedral_200000172.jpg],3[HelsinkiCathedral_00000143.jpg],3[HelsinkiCathedral_200000113.jpg],4[HelsinkiCathedral_00000141.jpg],3[HelsinkiCathedral_00000148.jpg],3[HelsinkiCathedral_00000207.jpg],4[HelsinkiCathedral_200000142.jpg],3[HelsinkiCathedral_00000138.jpg],4[HelsinkiCathedral_00000161.jpg],4[HelsinkiCathedral_00000157.jpg],5[HelsinkiCathedral_200000015.jpg],4[HelsinkiCathedral_200000139.jpg],4[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3K9FOBBF2I9FSTLM514BSOSSOYBLNZ,A27OERB5Z7SH30,Approved,"Sun Sep 25 05:25:35 PDT 2016","Sun Sep 25 05:28:14 PDT 2016",4[HelsinkiCathedral_200000130.jpg],5[HelsinkiCathedral_00000098.jpg],4[HelsinkiCathedral_200000051.jpg],4[HelsinkiCathedral_00000018.jpg],4[HelsinkiCathedral_00000104.jpg],4[HelsinkiCathedral_00000191.jpg],4[HelsinkiCathedral_00000005.jpg],3[HelsinkiCathedral_200000068.jpg],3[HelsinkiCathedral_00000192.jpg],4[HelsinkiCathedral_00000059.jpg],5[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],4[HelsinkiCathedral_00000213.jpg],4[HelsinkiCathedral_200000165.jpg],4[HelsinkiCathedral_00000159.jpg],3[HelsinkiCathedral_00000203.jpg],3[HelsinkiCathedral_200000122.jpg],4[HelsinkiCathedral_200000172.jpg],4[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],4[HelsinkiCathedral_00000141.jpg],4[HelsinkiCathedral_00000148.jpg],4[HelsinkiCathedral_00000207.jpg],4[HelsinkiCathedral_200000142.jpg],4[HelsinkiCathedral_00000138.jpg],4[HelsinkiCathedral_00000161.jpg],3[HelsinkiCathedral_00000157.jpg],4[HelsinkiCathedral_200000015.jpg],4[HelsinkiCathedral_200000139.jpg],2[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",34S6N1K2ZW9NIXZB239YN4VW2M3LHR,AWQDOOSNH42QM,Approved,"Sun Sep 25 05:54:33 PDT 2016","Sun Sep 25 05:55:30 PDT 2016",5[HelsinkiCathedral_200000130.jpg],5[HelsinkiCathedral_00000098.jpg],5[HelsinkiCathedral_200000051.jpg],5[HelsinkiCathedral_00000018.jpg],5[HelsinkiCathedral_00000104.jpg],5[HelsinkiCathedral_00000191.jpg],5[HelsinkiCathedral_00000005.jpg],5[HelsinkiCathedral_200000068.jpg],5[HelsinkiCathedral_00000192.jpg],5[HelsinkiCathedral_00000059.jpg],5[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],5[HelsinkiCathedral_00000213.jpg],5[HelsinkiCathedral_200000165.jpg],5[HelsinkiCathedral_00000159.jpg],5[HelsinkiCathedral_00000203.jpg],5[HelsinkiCathedral_200000122.jpg],5[HelsinkiCathedral_200000172.jpg],5[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],5[HelsinkiCathedral_00000141.jpg],5[HelsinkiCathedral_00000148.jpg],5[HelsinkiCathedral_00000207.jpg],5[HelsinkiCathedral_200000142.jpg],5[HelsinkiCathedral_00000138.jpg],5[HelsinkiCathedral_00000161.jpg],5[HelsinkiCathedral_00000157.jpg],5[HelsinkiCathedral_200000015.jpg],5[HelsinkiCathedral_200000139.jpg],5[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3FIJLY1B6VUTVMN3Z5E510S3RHZPF3,A2UWMGQWV1FBJ8,Approved,"Sun Sep 25 08:21:17 PDT 2016","Sun Sep 25 08:24:25 PDT 2016",5[HelsinkiCathedral_200000130.jpg],4[HelsinkiCathedral_00000098.jpg],4[HelsinkiCathedral_200000051.jpg],5[HelsinkiCathedral_00000018.jpg],3[HelsinkiCathedral_00000104.jpg],5[HelsinkiCathedral_00000191.jpg],4[HelsinkiCathedral_00000005.jpg],1[HelsinkiCathedral_200000068.jpg],2[HelsinkiCathedral_00000192.jpg],2[HelsinkiCathedral_00000059.jpg],3[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],2[HelsinkiCathedral_00000213.jpg],2[HelsinkiCathedral_200000165.jpg],4[HelsinkiCathedral_00000159.jpg],5[HelsinkiCathedral_00000203.jpg],1[HelsinkiCathedral_200000122.jpg],3[HelsinkiCathedral_200000172.jpg],1[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],1[HelsinkiCathedral_00000141.jpg],1[HelsinkiCathedral_00000148.jpg],2[HelsinkiCathedral_00000207.jpg],2[HelsinkiCathedral_200000142.jpg],1[HelsinkiCathedral_00000138.jpg],5[HelsinkiCathedral_00000161.jpg],1[HelsinkiCathedral_00000157.jpg],2[HelsinkiCathedral_200000015.jpg],1[HelsinkiCathedral_200000139.jpg],1[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3KB8R4ZV1FXX5SIORK2MO1NQBSLGB9,A311BTV53IKX3D,Approved,"Sun Sep 25 08:37:10 PDT 2016","Sun Sep 25 08:39:34 PDT 2016",3[HelsinkiCathedral_200000130.jpg],4[HelsinkiCathedral_00000098.jpg],5[HelsinkiCathedral_200000051.jpg],4[HelsinkiCathedral_00000018.jpg],4[HelsinkiCathedral_00000104.jpg],4[HelsinkiCathedral_00000191.jpg],4[HelsinkiCathedral_00000005.jpg],4[HelsinkiCathedral_200000068.jpg],4[HelsinkiCathedral_00000192.jpg],4[HelsinkiCathedral_00000059.jpg],4[HelsinkiCathedral_00000165.jpg],3[HelsinkiCathedral_00000015.jpg],5[HelsinkiCathedral_00000213.jpg],4[HelsinkiCathedral_200000165.jpg],4[HelsinkiCathedral_00000159.jpg],3[HelsinkiCathedral_00000203.jpg],4[HelsinkiCathedral_200000122.jpg],4[HelsinkiCathedral_200000172.jpg],5[HelsinkiCathedral_00000143.jpg],4[HelsinkiCathedral_200000113.jpg],3[HelsinkiCathedral_00000141.jpg],4[HelsinkiCathedral_00000148.jpg],4[HelsinkiCathedral_00000207.jpg],4[HelsinkiCathedral_200000142.jpg],5[HelsinkiCathedral_00000138.jpg],4[HelsinkiCathedral_00000161.jpg],3[HelsinkiCathedral_00000157.jpg],5[HelsinkiCathedral_200000015.jpg],4[HelsinkiCathedral_200000139.jpg],4[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3LQ8PUHQFMILSWR5H0CLVO34LIKHIK,A3UGO2TJ5X9X68,Approved,"Sun Sep 25 08:57:55 PDT 2016","Sun Sep 25 09:00:08 PDT 2016",5[HelsinkiCathedral_200000130.jpg],5[HelsinkiCathedral_00000098.jpg],5[HelsinkiCathedral_200000051.jpg],3[HelsinkiCathedral_00000018.jpg],5[HelsinkiCathedral_00000104.jpg],4[HelsinkiCathedral_00000191.jpg],4[HelsinkiCathedral_00000005.jpg],4[HelsinkiCathedral_200000068.jpg],2[HelsinkiCathedral_00000192.jpg],4[HelsinkiCathedral_00000059.jpg],4[HelsinkiCathedral_00000165.jpg],4[HelsinkiCathedral_00000015.jpg],3[HelsinkiCathedral_00000213.jpg],2[HelsinkiCathedral_200000165.jpg],3[HelsinkiCathedral_00000159.jpg],1[HelsinkiCathedral_00000203.jpg],1[HelsinkiCathedral_200000122.jpg],1[HelsinkiCathedral_200000172.jpg],2[HelsinkiCathedral_00000143.jpg],3[HelsinkiCathedral_200000113.jpg],3[HelsinkiCathedral_00000141.jpg],3[HelsinkiCathedral_00000148.jpg],5[HelsinkiCathedral_00000207.jpg],4[HelsinkiCathedral_200000142.jpg],2[HelsinkiCathedral_00000138.jpg],2[HelsinkiCathedral_00000161.jpg],2[HelsinkiCathedral_00000157.jpg],2[HelsinkiCathedral_200000015.jpg],3[HelsinkiCathedral_200000139.jpg],3[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3MRNMEIQW6W66HU9G7Q8WJGYAUMLDU,A1GBS5UE09KUH,Approved,"Sun Sep 25 09:20:31 PDT 2016","Sun Sep 25 09:23:21 PDT 2016",4[HelsinkiCathedral_200000130.jpg],4[HelsinkiCathedral_00000098.jpg],4[HelsinkiCathedral_200000051.jpg],4[HelsinkiCathedral_00000018.jpg],4[HelsinkiCathedral_00000104.jpg],5[HelsinkiCathedral_00000191.jpg],5[HelsinkiCathedral_00000005.jpg],4[HelsinkiCathedral_200000068.jpg],5[HelsinkiCathedral_00000192.jpg],4[HelsinkiCathedral_00000059.jpg],4[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],5[HelsinkiCathedral_00000213.jpg],5[HelsinkiCathedral_200000165.jpg],5[HelsinkiCathedral_00000159.jpg],3[HelsinkiCathedral_00000203.jpg],4[HelsinkiCathedral_200000122.jpg],3[HelsinkiCathedral_200000172.jpg],3[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],2[HelsinkiCathedral_00000141.jpg],4[HelsinkiCathedral_00000148.jpg],2[HelsinkiCathedral_00000207.jpg],3[HelsinkiCathedral_200000142.jpg],3[HelsinkiCathedral_00000138.jpg],3[HelsinkiCathedral_00000161.jpg],3[HelsinkiCathedral_00000157.jpg],4[HelsinkiCathedral_200000015.jpg],2[HelsinkiCathedral_200000139.jpg],4[HelsinkiCathedral_200000177.jpg],
3WJGKMRWVIZBHT2ADRS84GVQE0ODC5,"HelsinkiCathedral_150-179","sample#command",3K5TEWLKGW1QAXMPMPTPAPUDTY1IVJ,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 10:15:49 PDT 2016","Sun Sep 25 10:20:01 PDT 2016",4[HelsinkiCathedral_200000130.jpg],3[HelsinkiCathedral_00000098.jpg],5[HelsinkiCathedral_200000051.jpg],5[HelsinkiCathedral_00000018.jpg],5[HelsinkiCathedral_00000104.jpg],3[HelsinkiCathedral_00000191.jpg],5[HelsinkiCathedral_00000005.jpg],5[HelsinkiCathedral_200000068.jpg],2[HelsinkiCathedral_00000192.jpg],5[HelsinkiCathedral_00000059.jpg],2[HelsinkiCathedral_00000165.jpg],5[HelsinkiCathedral_00000015.jpg],3[HelsinkiCathedral_00000213.jpg],2[HelsinkiCathedral_200000165.jpg],4[HelsinkiCathedral_00000159.jpg],2[HelsinkiCathedral_00000203.jpg],5[HelsinkiCathedral_200000122.jpg],5[HelsinkiCathedral_200000172.jpg],4[HelsinkiCathedral_00000143.jpg],5[HelsinkiCathedral_200000113.jpg],3[HelsinkiCathedral_00000141.jpg],4[HelsinkiCathedral_00000148.jpg],5[HelsinkiCathedral_00000207.jpg],5[HelsinkiCathedral_200000142.jpg],5[HelsinkiCathedral_00000138.jpg],3[HelsinkiCathedral_00000161.jpg],5[HelsinkiCathedral_00000157.jpg],4[HelsinkiCathedral_200000015.jpg],5[HelsinkiCathedral_200000139.jpg],4[HelsinkiCathedral_200000177.jpg],
