HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",39LNWE0K4VMQXIXPHZJKE3SUFQ2UIE,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:29 PDT 2016","Sun Sep 25 01:21:46 PDT 2016",3[Sacre_00000037.jpg],3[Sacre_00000042.jpg],4[Sacre_00000133.jpg],4[Sacre_00000081.jpg],3[Sacre_00000107.jpg],4[Sacre_00000074.jpg],3[Sacre_00000119.jpg],4[Sacre_00000122.jpg],4[Sacre_00000095.jpg],4[Sacre_00000076.jpg],5[Sacre_00000056.jpg],4[Sacre_00000071.jpg],2[Sacre_00000099.jpg],5[Sacre_00000032.jpg],5[Sacre_00000036.jpg],4[Sacre_00000026.jpg],3[Sacre_00000082.jpg],3[Sacre_00000055.jpg],2[Sacre_00000134.jpg],3[Sacre_00000030.jpg],3[Sacre_00000091.jpg],3[Sacre_00000034.jpg],3[Sacre_00000093.jpg],4[Sacre_00000058.jpg],3[Sacre_00000087.jpg],3[Sacre_00000054.jpg],4[Sacre_00000065.jpg],3[Sacre_00000090.jpg],3[Sacre_00000089.jpg],2[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3UN61F00HXFM52AT6L5LKJ1535W5RF,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:31:44 PDT 2016","Sun Sep 25 02:38:44 PDT 2016",5[Sacre_00000037.jpg],4[Sacre_00000042.jpg],5[Sacre_00000133.jpg],1[Sacre_00000081.jpg],4[Sacre_00000107.jpg],4[Sacre_00000074.jpg],4[Sacre_00000119.jpg],4[Sacre_00000122.jpg],4[Sacre_00000095.jpg],5[Sacre_00000076.jpg],4[Sacre_00000056.jpg],4[Sacre_00000071.jpg],2[Sacre_00000099.jpg],5[Sacre_00000032.jpg],5[Sacre_00000036.jpg],5[Sacre_00000026.jpg],4[Sacre_00000082.jpg],4[Sacre_00000055.jpg],1[Sacre_00000134.jpg],4[Sacre_00000030.jpg],4[Sacre_00000091.jpg],3[Sacre_00000034.jpg],3[Sacre_00000093.jpg],3[Sacre_00000058.jpg],4[Sacre_00000087.jpg],4[Sacre_00000054.jpg],4[Sacre_00000065.jpg],4[Sacre_00000090.jpg],5[Sacre_00000089.jpg],4[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3KOPY89HM9S2TZ4CKX8J3VHUFSCJ3C,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:06:16 PDT 2016","Sun Sep 25 03:11:41 PDT 2016",2[Sacre_00000037.jpg],4[Sacre_00000042.jpg],3[Sacre_00000133.jpg],3[Sacre_00000081.jpg],3[Sacre_00000107.jpg],3[Sacre_00000074.jpg],4[Sacre_00000119.jpg],5[Sacre_00000122.jpg],5[Sacre_00000095.jpg],1[Sacre_00000076.jpg],5[Sacre_00000056.jpg],3[Sacre_00000071.jpg],3[Sacre_00000099.jpg],4[Sacre_00000032.jpg],4[Sacre_00000036.jpg],4[Sacre_00000026.jpg],4[Sacre_00000082.jpg],4[Sacre_00000055.jpg],4[Sacre_00000134.jpg],4[Sacre_00000030.jpg],4[Sacre_00000091.jpg],4[Sacre_00000034.jpg],4[Sacre_00000093.jpg],4[Sacre_00000058.jpg],4[Sacre_00000087.jpg],4[Sacre_00000054.jpg],4[Sacre_00000065.jpg],4[Sacre_00000090.jpg],4[Sacre_00000089.jpg],4[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",34BBWHLWHB13PMMUCZYLWRDR06LWIN,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:32:47 PDT 2016","Sun Sep 25 05:34:37 PDT 2016",5[Sacre_00000037.jpg],2[Sacre_00000042.jpg],1[Sacre_00000133.jpg],3[Sacre_00000081.jpg],3[Sacre_00000107.jpg],4[Sacre_00000074.jpg],4[Sacre_00000119.jpg],5[Sacre_00000122.jpg],3[Sacre_00000095.jpg],4[Sacre_00000076.jpg],5[Sacre_00000056.jpg],5[Sacre_00000071.jpg],1[Sacre_00000099.jpg],4[Sacre_00000032.jpg],5[Sacre_00000036.jpg],4[Sacre_00000026.jpg],5[Sacre_00000082.jpg],5[Sacre_00000055.jpg],1[Sacre_00000134.jpg],4[Sacre_00000030.jpg],4[Sacre_00000091.jpg],3[Sacre_00000034.jpg],3[Sacre_00000093.jpg],2[Sacre_00000058.jpg],5[Sacre_00000087.jpg],4[Sacre_00000054.jpg],3[Sacre_00000065.jpg],3[Sacre_00000090.jpg],4[Sacre_00000089.jpg],4[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",32KTQ2V7RE5E99ZD43MLA0CXJEOM97,A1G8XY49335US8,Approved,"Sun Sep 25 07:00:04 PDT 2016","Sun Sep 25 07:02:14 PDT 2016",4[Sacre_00000037.jpg],3[Sacre_00000042.jpg],5[Sacre_00000133.jpg],2[Sacre_00000081.jpg],4[Sacre_00000107.jpg],5[Sacre_00000074.jpg],4[Sacre_00000119.jpg],4[Sacre_00000122.jpg],4[Sacre_00000095.jpg],4[Sacre_00000076.jpg],4[Sacre_00000056.jpg],4[Sacre_00000071.jpg],1[Sacre_00000099.jpg],3[Sacre_00000032.jpg],3[Sacre_00000036.jpg],4[Sacre_00000026.jpg],3[Sacre_00000082.jpg],4[Sacre_00000055.jpg],1[Sacre_00000134.jpg],4[Sacre_00000030.jpg],4[Sacre_00000091.jpg],4[Sacre_00000034.jpg],4[Sacre_00000093.jpg],3[Sacre_00000058.jpg],4[Sacre_00000087.jpg],3[Sacre_00000054.jpg],3[Sacre_00000065.jpg],4[Sacre_00000090.jpg],4[Sacre_00000089.jpg],3[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",30BXRYBRP5N3TRBA6HG0WFCC0TBHWK,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:19:56 PDT 2016","Sun Sep 25 07:20:58 PDT 2016",5[Sacre_00000037.jpg],5[Sacre_00000042.jpg],5[Sacre_00000133.jpg],5[Sacre_00000081.jpg],5[Sacre_00000107.jpg],5[Sacre_00000074.jpg],5[Sacre_00000119.jpg],5[Sacre_00000122.jpg],5[Sacre_00000095.jpg],5[Sacre_00000076.jpg],5[Sacre_00000056.jpg],5[Sacre_00000071.jpg],2[Sacre_00000099.jpg],5[Sacre_00000032.jpg],5[Sacre_00000036.jpg],5[Sacre_00000026.jpg],5[Sacre_00000082.jpg],5[Sacre_00000055.jpg],5[Sacre_00000134.jpg],5[Sacre_00000030.jpg],5[Sacre_00000091.jpg],5[Sacre_00000034.jpg],5[Sacre_00000093.jpg],5[Sacre_00000058.jpg],5[Sacre_00000087.jpg],5[Sacre_00000054.jpg],5[Sacre_00000065.jpg],5[Sacre_00000090.jpg],5[Sacre_00000089.jpg],5[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3180JW2OT5257ERGYGWCISFETPNJ5O,A3FVZPBGHHK5LP,Approved,"Sun Sep 25 10:07:33 PDT 2016","Sun Sep 25 10:09:52 PDT 2016",2[Sacre_00000037.jpg],1[Sacre_00000042.jpg],3[Sacre_00000133.jpg],4[Sacre_00000081.jpg],4[Sacre_00000107.jpg],4[Sacre_00000074.jpg],4[Sacre_00000119.jpg],4[Sacre_00000122.jpg],3[Sacre_00000095.jpg],5[Sacre_00000076.jpg],4[Sacre_00000056.jpg],5[Sacre_00000071.jpg],5[Sacre_00000099.jpg],4[Sacre_00000032.jpg],5[Sacre_00000036.jpg],5[Sacre_00000026.jpg],2[Sacre_00000082.jpg],3[Sacre_00000055.jpg],1[Sacre_00000134.jpg],2[Sacre_00000030.jpg],1[Sacre_00000091.jpg],2[Sacre_00000034.jpg],2[Sacre_00000093.jpg],4[Sacre_00000058.jpg],2[Sacre_00000087.jpg],4[Sacre_00000054.jpg],5[Sacre_00000065.jpg],1[Sacre_00000090.jpg],2[Sacre_00000089.jpg],2[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3ZPBJO59KQR4KLBJPMBA4RNRTERHDZ,A2TVUWR4X9CQAS,Approved,"Sun Sep 25 11:52:51 PDT 2016","Sun Sep 25 11:55:07 PDT 2016",4[Sacre_00000037.jpg],4[Sacre_00000042.jpg],3[Sacre_00000133.jpg],2[Sacre_00000081.jpg],2[Sacre_00000107.jpg],3[Sacre_00000074.jpg],4[Sacre_00000119.jpg],3[Sacre_00000122.jpg],4[Sacre_00000095.jpg],1[Sacre_00000076.jpg],4[Sacre_00000056.jpg],2[Sacre_00000071.jpg],1[Sacre_00000099.jpg],5[Sacre_00000032.jpg],4[Sacre_00000036.jpg],4[Sacre_00000026.jpg],4[Sacre_00000082.jpg],5[Sacre_00000055.jpg],1[Sacre_00000134.jpg],3[Sacre_00000030.jpg],2[Sacre_00000091.jpg],3[Sacre_00000034.jpg],2[Sacre_00000093.jpg],1[Sacre_00000058.jpg],5[Sacre_00000087.jpg],2[Sacre_00000054.jpg],3[Sacre_00000065.jpg],5[Sacre_00000090.jpg],2[Sacre_00000089.jpg],3[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3RYC5T2D74JQYCSCQ0EZIP6MU6TPRJ,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 12:12:29 PDT 2016","Sun Sep 25 12:14:05 PDT 2016",1[Sacre_00000037.jpg],2[Sacre_00000042.jpg],3[Sacre_00000133.jpg],5[Sacre_00000081.jpg],4[Sacre_00000107.jpg],4[Sacre_00000074.jpg],3[Sacre_00000119.jpg],3[Sacre_00000122.jpg],2[Sacre_00000095.jpg],3[Sacre_00000076.jpg],3[Sacre_00000056.jpg],4[Sacre_00000071.jpg],3[Sacre_00000099.jpg],2[Sacre_00000032.jpg],3[Sacre_00000036.jpg],3[Sacre_00000026.jpg],3[Sacre_00000082.jpg],2[Sacre_00000055.jpg],3[Sacre_00000134.jpg],3[Sacre_00000030.jpg],4[Sacre_00000091.jpg],3[Sacre_00000034.jpg],3[Sacre_00000093.jpg],3[Sacre_00000058.jpg],2[Sacre_00000087.jpg],3[Sacre_00000054.jpg],2[Sacre_00000065.jpg],2[Sacre_00000090.jpg],3[Sacre_00000089.jpg],2[Sacre_00000088.jpg],
36FQTHX3Z3HUPW8762Q1GN3W52Z3BQ,"Sacre_60-89","sample#command",3ERMJ6L4DZIAVQBKP6O1W4LROPQ7M8,AUG53KCOWS12S,Approved,"Sun Sep 25 12:44:09 PDT 2016","Sun Sep 25 12:48:25 PDT 2016",2[Sacre_00000037.jpg],2[Sacre_00000042.jpg],1[Sacre_00000133.jpg],1[Sacre_00000081.jpg],1[Sacre_00000107.jpg],2[Sacre_00000074.jpg],2[Sacre_00000119.jpg],3[Sacre_00000122.jpg],1[Sacre_00000095.jpg],1[Sacre_00000076.jpg],1[Sacre_00000056.jpg],1[Sacre_00000071.jpg],1[Sacre_00000099.jpg],2[Sacre_00000032.jpg],2[Sacre_00000036.jpg],2[Sacre_00000026.jpg],4[Sacre_00000082.jpg],1[Sacre_00000055.jpg],1[Sacre_00000134.jpg],2[Sacre_00000030.jpg],3[Sacre_00000091.jpg],4[Sacre_00000034.jpg],2[Sacre_00000093.jpg],1[Sacre_00000058.jpg],1[Sacre_00000087.jpg],1[Sacre_00000054.jpg],2[Sacre_00000065.jpg],2[Sacre_00000090.jpg],2[Sacre_00000089.jpg],2[Sacre_00000088.jpg],
