HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3BDCF01OGYK94SP0C3DM94QZSI7YLU,A22JTMBADARX55,Approved,"Sun Sep 25 01:09:41 PDT 2016","Sun Sep 25 01:12:55 PDT 2016",2[Sacre_00000101.jpg],5[Sacre_00000047.jpg],5[Sacre_00000053.jpg],4[Sacre_00000111.jpg],4[Sacre_00000025.jpg],4[Sacre_00000108.jpg],3[Sacre_00000003.jpg],4[Sacre_00000008.jpg],4[Sacre_00000103.jpg],4[Sacre_00000017.jpg],3[Sacre_00000021.jpg],5[Sacre_00000016.jpg],2[Sacre_00000011.jpg],3[Sacre_00000007.jpg],2[Sacre_00000085.jpg],2[Sacre_00000084.jpg],2[Sacre_00000112.jpg],2[Sacre_00000106.jpg],1[Sacre_00000098.jpg],3[Sacre_00000018.jpg],2[Sacre_00000005.jpg],3[Sacre_00000100.jpg],2[Sacre_00000125.jpg],4[Sacre_00000059.jpg],4[Sacre_00000000.jpg],2[Sacre_00000109.jpg],2[Sacre_00000077.jpg],4[Sacre_00000024.jpg],5[Sacre_00000092.jpg],4[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3HUTX6F6VVDR9SZQWAMJSHTO88JO2M,ASY5AZCZEM04L,Rejected,"Sun Sep 25 02:02:52 PDT 2016","Sun Sep 25 02:04:33 PDT 2016",5[Sacre_00000101.jpg],5[Sacre_00000047.jpg],5[Sacre_00000053.jpg],5[Sacre_00000111.jpg],5[Sacre_00000025.jpg],5[Sacre_00000108.jpg],5[Sacre_00000003.jpg],5[Sacre_00000008.jpg],5[Sacre_00000103.jpg],5[Sacre_00000017.jpg],5[Sacre_00000021.jpg],5[Sacre_00000016.jpg],5[Sacre_00000011.jpg],5[Sacre_00000007.jpg],5[Sacre_00000085.jpg],5[Sacre_00000084.jpg],5[Sacre_00000112.jpg],5[Sacre_00000106.jpg],5[Sacre_00000098.jpg],5[Sacre_00000018.jpg],5[Sacre_00000005.jpg],5[Sacre_00000100.jpg],5[Sacre_00000125.jpg],5[Sacre_00000059.jpg],5[Sacre_00000000.jpg],5[Sacre_00000109.jpg],5[Sacre_00000077.jpg],5[Sacre_00000024.jpg],5[Sacre_00000092.jpg],5[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3EO896NRAXL7SG26ZCEAL8LS9RMJTQ,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:11:01 PDT 2016","Sun Sep 25 02:13:38 PDT 2016",1[Sacre_00000101.jpg],2[Sacre_00000047.jpg],5[Sacre_00000053.jpg],1[Sacre_00000111.jpg],4[Sacre_00000025.jpg],4[Sacre_00000108.jpg],4[Sacre_00000003.jpg],4[Sacre_00000008.jpg],4[Sacre_00000103.jpg],5[Sacre_00000017.jpg],4[Sacre_00000021.jpg],4[Sacre_00000016.jpg],3[Sacre_00000011.jpg],3[Sacre_00000007.jpg],4[Sacre_00000085.jpg],2[Sacre_00000084.jpg],2[Sacre_00000112.jpg],2[Sacre_00000106.jpg],4[Sacre_00000098.jpg],5[Sacre_00000018.jpg],4[Sacre_00000005.jpg],4[Sacre_00000100.jpg],4[Sacre_00000125.jpg],4[Sacre_00000059.jpg],2[Sacre_00000000.jpg],2[Sacre_00000109.jpg],4[Sacre_00000077.jpg],5[Sacre_00000024.jpg],5[Sacre_00000092.jpg],2[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",30MVJZJNHN3O81TS169TU8KGFKJJ9Q,A25WL7E75KK134,Approved,"Sun Sep 25 02:06:03 PDT 2016","Sun Sep 25 02:43:09 PDT 2016",1[Sacre_00000101.jpg],5[Sacre_00000047.jpg],4[Sacre_00000053.jpg],2[Sacre_00000111.jpg],4[Sacre_00000025.jpg],1[Sacre_00000108.jpg],4[Sacre_00000003.jpg],1[Sacre_00000008.jpg],4[Sacre_00000103.jpg],4[Sacre_00000017.jpg],4[Sacre_00000021.jpg],2[Sacre_00000016.jpg],1[Sacre_00000011.jpg],1[Sacre_00000007.jpg],1[Sacre_00000085.jpg],4[Sacre_00000084.jpg],1[Sacre_00000112.jpg],2[Sacre_00000106.jpg],1[Sacre_00000098.jpg],2[Sacre_00000018.jpg],2[Sacre_00000005.jpg],3[Sacre_00000100.jpg],4[Sacre_00000125.jpg],4[Sacre_00000059.jpg],1[Sacre_00000000.jpg],1[Sacre_00000109.jpg],4[Sacre_00000077.jpg],4[Sacre_00000024.jpg],4[Sacre_00000092.jpg],1[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3TE3O85731YU65R6O23NMCYTJV6R21,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:06:21 PDT 2016","Sun Sep 25 03:12:17 PDT 2016",4[Sacre_00000101.jpg],4[Sacre_00000047.jpg],4[Sacre_00000053.jpg],4[Sacre_00000111.jpg],4[Sacre_00000025.jpg],2[Sacre_00000108.jpg],3[Sacre_00000003.jpg],3[Sacre_00000008.jpg],3[Sacre_00000103.jpg],5[Sacre_00000017.jpg],5[Sacre_00000021.jpg],4[Sacre_00000016.jpg],3[Sacre_00000011.jpg],3[Sacre_00000007.jpg],4[Sacre_00000085.jpg],3[Sacre_00000084.jpg],3[Sacre_00000112.jpg],3[Sacre_00000106.jpg],4[Sacre_00000098.jpg],3[Sacre_00000018.jpg],3[Sacre_00000005.jpg],5[Sacre_00000100.jpg],4[Sacre_00000125.jpg],3[Sacre_00000059.jpg],3[Sacre_00000000.jpg],2[Sacre_00000109.jpg],2[Sacre_00000077.jpg],2[Sacre_00000024.jpg],4[Sacre_00000092.jpg],3[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3I0BTBYZAYBW7W0ENAR3BKYBPK1Y0Q,A1IM8G6UNAGQ7S,Rejected,"Sun Sep 25 03:31:20 PDT 2016","Sun Sep 25 03:34:24 PDT 2016",5[Sacre_00000101.jpg],5[Sacre_00000047.jpg],5[Sacre_00000053.jpg],5[Sacre_00000111.jpg],5[Sacre_00000025.jpg],5[Sacre_00000108.jpg],5[Sacre_00000003.jpg],5[Sacre_00000008.jpg],5[Sacre_00000103.jpg],5[Sacre_00000017.jpg],5[Sacre_00000021.jpg],5[Sacre_00000016.jpg],5[Sacre_00000011.jpg],5[Sacre_00000007.jpg],5[Sacre_00000085.jpg],5[Sacre_00000084.jpg],5[Sacre_00000112.jpg],5[Sacre_00000106.jpg],5[Sacre_00000098.jpg],5[Sacre_00000018.jpg],5[Sacre_00000005.jpg],5[Sacre_00000100.jpg],5[Sacre_00000125.jpg],5[Sacre_00000059.jpg],5[Sacre_00000000.jpg],5[Sacre_00000109.jpg],5[Sacre_00000077.jpg],5[Sacre_00000024.jpg],5[Sacre_00000092.jpg],5[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",32Z9ZLUT1MAVOI28FVPQFLZQXR7OHA,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:27:02 PDT 2016","Sun Sep 25 05:28:45 PDT 2016",5[Sacre_00000101.jpg],4[Sacre_00000047.jpg],5[Sacre_00000053.jpg],1[Sacre_00000111.jpg],4[Sacre_00000025.jpg],1[Sacre_00000108.jpg],5[Sacre_00000003.jpg],4[Sacre_00000008.jpg],4[Sacre_00000103.jpg],3[Sacre_00000017.jpg],4[Sacre_00000021.jpg],3[Sacre_00000016.jpg],3[Sacre_00000011.jpg],2[Sacre_00000007.jpg],1[Sacre_00000085.jpg],4[Sacre_00000084.jpg],3[Sacre_00000112.jpg],2[Sacre_00000106.jpg],4[Sacre_00000098.jpg],4[Sacre_00000018.jpg],2[Sacre_00000005.jpg],3[Sacre_00000100.jpg],4[Sacre_00000125.jpg],3[Sacre_00000059.jpg],2[Sacre_00000000.jpg],1[Sacre_00000109.jpg],5[Sacre_00000077.jpg],4[Sacre_00000024.jpg],5[Sacre_00000092.jpg],1[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",34S6N1K2ZW9NIXZB239YN4VW2M7HLR,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:18:45 PDT 2016","Sun Sep 25 07:19:53 PDT 2016",4[Sacre_00000101.jpg],5[Sacre_00000047.jpg],5[Sacre_00000053.jpg],3[Sacre_00000111.jpg],5[Sacre_00000025.jpg],5[Sacre_00000108.jpg],5[Sacre_00000003.jpg],5[Sacre_00000008.jpg],5[Sacre_00000103.jpg],5[Sacre_00000017.jpg],5[Sacre_00000021.jpg],5[Sacre_00000016.jpg],5[Sacre_00000011.jpg],5[Sacre_00000007.jpg],3[Sacre_00000085.jpg],5[Sacre_00000084.jpg],3[Sacre_00000112.jpg],3[Sacre_00000106.jpg],3[Sacre_00000098.jpg],3[Sacre_00000018.jpg],4[Sacre_00000005.jpg],5[Sacre_00000100.jpg],5[Sacre_00000125.jpg],5[Sacre_00000059.jpg],5[Sacre_00000000.jpg],4[Sacre_00000109.jpg],5[Sacre_00000077.jpg],5[Sacre_00000024.jpg],5[Sacre_00000092.jpg],3[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",3BQU611VFQAZ2PGJFUIG5E6DJFP993,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:54:29 PDT 2016","Sun Sep 25 09:01:39 PDT 2016",4[Sacre_00000101.jpg],5[Sacre_00000047.jpg],4[Sacre_00000053.jpg],2[Sacre_00000111.jpg],3[Sacre_00000025.jpg],4[Sacre_00000108.jpg],5[Sacre_00000003.jpg],3[Sacre_00000008.jpg],4[Sacre_00000103.jpg],4[Sacre_00000017.jpg],5[Sacre_00000021.jpg],5[Sacre_00000016.jpg],4[Sacre_00000011.jpg],3[Sacre_00000007.jpg],4[Sacre_00000085.jpg],4[Sacre_00000084.jpg],3[Sacre_00000112.jpg],4[Sacre_00000106.jpg],3[Sacre_00000098.jpg],4[Sacre_00000018.jpg],4[Sacre_00000005.jpg],5[Sacre_00000100.jpg],5[Sacre_00000125.jpg],5[Sacre_00000059.jpg],4[Sacre_00000000.jpg],3[Sacre_00000109.jpg],3[Sacre_00000077.jpg],4[Sacre_00000024.jpg],4[Sacre_00000092.jpg],4[Sacre_00000038.jpg],
391JB9X4ZYYW4LKBIX89BPVSSNPKM7,"Sacre_30-59","sample#command",32ZKVD547GDWBG60W5V257YH7OT3B3,AUG53KCOWS12S,Approved,"Sun Sep 25 10:59:16 PDT 2016","Sun Sep 25 11:03:54 PDT 2016",2[Sacre_00000101.jpg],3[Sacre_00000047.jpg],3[Sacre_00000053.jpg],2[Sacre_00000111.jpg],3[Sacre_00000025.jpg],5[Sacre_00000108.jpg],5[Sacre_00000003.jpg],5[Sacre_00000008.jpg],5[Sacre_00000103.jpg],5[Sacre_00000017.jpg],5[Sacre_00000021.jpg],4[Sacre_00000016.jpg],1[Sacre_00000011.jpg],2[Sacre_00000007.jpg],5[Sacre_00000085.jpg],1[Sacre_00000084.jpg],4[Sacre_00000112.jpg],3[Sacre_00000106.jpg],1[Sacre_00000098.jpg],4[Sacre_00000018.jpg],1[Sacre_00000005.jpg],5[Sacre_00000100.jpg],2[Sacre_00000125.jpg],3[Sacre_00000059.jpg],4[Sacre_00000000.jpg],2[Sacre_00000109.jpg],5[Sacre_00000077.jpg],2[Sacre_00000024.jpg],1[Sacre_00000092.jpg],1[Sacre_00000038.jpg],
