HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3YJ6NA41JC690O9ZIV5QGYKVKOZPJP,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:15:33 PDT 2016","Sun Sep 25 01:18:11 PDT 2016",4[Sacre_00000078.jpg],2[Sacre_00000004.jpg],3[Sacre_00000102.jpg],2[Sacre_00000019.jpg],4[Sacre_00000097.jpg],5[Sacre_00000129.jpg],4[Sacre_00000015.jpg],3[Sacre_00000020.jpg],4[Sacre_00000127.jpg],2[Sacre_00000120.jpg],2[Sacre_00000110.jpg],4[Sacre_00000121.jpg],3[Sacre_00000113.jpg],4[Sacre_00000086.jpg],2[Sacre_00000115.jpg],2[Sacre_00000126.jpg],3[Sacre_00000114.jpg],3[Sacre_00000132.jpg],2[Sacre_00000131.jpg],3[Sacre_00000105.jpg],2[Sacre_00000073.jpg],3[Sacre_00000064.jpg],4[Sacre_00000068.jpg],3[Sacre_00000067.jpg],3[Sacre_00000066.jpg],2[Sacre_00000094.jpg],3[Sacre_00000027.jpg],3[Sacre_00000062.jpg],3[Sacre_00000075.jpg],2[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3GNCZX450JDYZV6VOPSDNZHCU15PA9,A22JTMBADARX55,Approved,"Sun Sep 25 01:14:31 PDT 2016","Sun Sep 25 01:23:36 PDT 2016",5[Sacre_00000078.jpg],1[Sacre_00000004.jpg],4[Sacre_00000102.jpg],5[Sacre_00000019.jpg],5[Sacre_00000097.jpg],5[Sacre_00000129.jpg],4[Sacre_00000015.jpg],3[Sacre_00000020.jpg],5[Sacre_00000127.jpg],5[Sacre_00000120.jpg],4[Sacre_00000110.jpg],4[Sacre_00000121.jpg],4[Sacre_00000113.jpg],4[Sacre_00000086.jpg],4[Sacre_00000115.jpg],3[Sacre_00000126.jpg],4[Sacre_00000114.jpg],4[Sacre_00000132.jpg],3[Sacre_00000131.jpg],5[Sacre_00000105.jpg],5[Sacre_00000073.jpg],4[Sacre_00000064.jpg],4[Sacre_00000068.jpg],4[Sacre_00000067.jpg],5[Sacre_00000066.jpg],5[Sacre_00000094.jpg],5[Sacre_00000027.jpg],4[Sacre_00000062.jpg],4[Sacre_00000075.jpg],4[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3P1L2B7AD2FXAELY6G4O7DSXE8ALO8,ASY5AZCZEM04L,Rejected,"Sun Sep 25 02:04:36 PDT 2016","Sun Sep 25 02:19:10 PDT 2016",5[Sacre_00000078.jpg],5[Sacre_00000004.jpg],5[Sacre_00000102.jpg],5[Sacre_00000019.jpg],5[Sacre_00000097.jpg],5[Sacre_00000129.jpg],5[Sacre_00000015.jpg],5[Sacre_00000020.jpg],5[Sacre_00000127.jpg],5[Sacre_00000120.jpg],5[Sacre_00000110.jpg],5[Sacre_00000121.jpg],5[Sacre_00000113.jpg],5[Sacre_00000086.jpg],5[Sacre_00000115.jpg],5[Sacre_00000126.jpg],5[Sacre_00000114.jpg],5[Sacre_00000132.jpg],5[Sacre_00000131.jpg],5[Sacre_00000105.jpg],5[Sacre_00000073.jpg],5[Sacre_00000064.jpg],5[Sacre_00000068.jpg],5[Sacre_00000067.jpg],5[Sacre_00000066.jpg],5[Sacre_00000094.jpg],5[Sacre_00000027.jpg],5[Sacre_00000062.jpg],5[Sacre_00000075.jpg],5[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3QAPZX2QN5366B77UPK82GX6A5502A,A27OERB5Z7SH30,Approved,"Sun Sep 25 02:28:29 PDT 2016","Sun Sep 25 02:31:14 PDT 2016",4[Sacre_00000078.jpg],5[Sacre_00000004.jpg],5[Sacre_00000102.jpg],5[Sacre_00000019.jpg],5[Sacre_00000097.jpg],4[Sacre_00000129.jpg],5[Sacre_00000015.jpg],4[Sacre_00000020.jpg],5[Sacre_00000127.jpg],3[Sacre_00000120.jpg],3[Sacre_00000110.jpg],5[Sacre_00000121.jpg],4[Sacre_00000113.jpg],5[Sacre_00000086.jpg],4[Sacre_00000115.jpg],4[Sacre_00000126.jpg],4[Sacre_00000114.jpg],4[Sacre_00000132.jpg],4[Sacre_00000131.jpg],4[Sacre_00000105.jpg],3[Sacre_00000073.jpg],2[Sacre_00000064.jpg],3[Sacre_00000068.jpg],3[Sacre_00000067.jpg],2[Sacre_00000066.jpg],5[Sacre_00000094.jpg],5[Sacre_00000027.jpg],3[Sacre_00000062.jpg],5[Sacre_00000075.jpg],4[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3WJEQKOXA9SVI3NT3NHNM3ZERL41AM,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 02:48:46 PDT 2016","Sun Sep 25 02:50:31 PDT 2016",5[Sacre_00000078.jpg],3[Sacre_00000004.jpg],3[Sacre_00000102.jpg],5[Sacre_00000019.jpg],2[Sacre_00000097.jpg],3[Sacre_00000129.jpg],4[Sacre_00000015.jpg],2[Sacre_00000020.jpg],5[Sacre_00000127.jpg],1[Sacre_00000120.jpg],2[Sacre_00000110.jpg],2[Sacre_00000121.jpg],3[Sacre_00000113.jpg],3[Sacre_00000086.jpg],4[Sacre_00000115.jpg],4[Sacre_00000126.jpg],4[Sacre_00000114.jpg],4[Sacre_00000132.jpg],2[Sacre_00000131.jpg],3[Sacre_00000105.jpg],2[Sacre_00000073.jpg],2[Sacre_00000064.jpg],3[Sacre_00000068.jpg],4[Sacre_00000067.jpg],1[Sacre_00000066.jpg],2[Sacre_00000094.jpg],3[Sacre_00000027.jpg],3[Sacre_00000062.jpg],2[Sacre_00000075.jpg],3[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3TXMY6UCAFE7SM488G3TTZXAZ0HQC8,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:58:32 PDT 2016","Sun Sep 25 03:03:20 PDT 2016",3[Sacre_00000078.jpg],3[Sacre_00000004.jpg],3[Sacre_00000102.jpg],4[Sacre_00000019.jpg],4[Sacre_00000097.jpg],4[Sacre_00000129.jpg],4[Sacre_00000015.jpg],3[Sacre_00000020.jpg],3[Sacre_00000127.jpg],3[Sacre_00000120.jpg],2[Sacre_00000110.jpg],2[Sacre_00000121.jpg],2[Sacre_00000113.jpg],2[Sacre_00000086.jpg],2[Sacre_00000115.jpg],2[Sacre_00000126.jpg],2[Sacre_00000114.jpg],3[Sacre_00000132.jpg],3[Sacre_00000131.jpg],2[Sacre_00000105.jpg],3[Sacre_00000073.jpg],3[Sacre_00000064.jpg],3[Sacre_00000068.jpg],3[Sacre_00000067.jpg],3[Sacre_00000066.jpg],4[Sacre_00000094.jpg],4[Sacre_00000027.jpg],5[Sacre_00000062.jpg],4[Sacre_00000075.jpg],4[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3NOKK93PR2YXSHYHVGEOP68Z199EEG,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:22:56 PDT 2016","Sun Sep 25 05:24:47 PDT 2016",2[Sacre_00000078.jpg],1[Sacre_00000004.jpg],5[Sacre_00000102.jpg],3[Sacre_00000019.jpg],5[Sacre_00000097.jpg],2[Sacre_00000129.jpg],3[Sacre_00000015.jpg],5[Sacre_00000020.jpg],3[Sacre_00000127.jpg],4[Sacre_00000120.jpg],5[Sacre_00000110.jpg],5[Sacre_00000121.jpg],3[Sacre_00000113.jpg],4[Sacre_00000086.jpg],2[Sacre_00000115.jpg],4[Sacre_00000126.jpg],3[Sacre_00000114.jpg],4[Sacre_00000132.jpg],4[Sacre_00000131.jpg],2[Sacre_00000105.jpg],2[Sacre_00000073.jpg],4[Sacre_00000064.jpg],5[Sacre_00000068.jpg],3[Sacre_00000067.jpg],2[Sacre_00000066.jpg],5[Sacre_00000094.jpg],4[Sacre_00000027.jpg],4[Sacre_00000062.jpg],5[Sacre_00000075.jpg],3[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3GGAI1SQEWOG776GGNWCCQD5PZRMCO,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 07:00:42 PDT 2016","Sun Sep 25 07:03:41 PDT 2016",4[Sacre_00000078.jpg],1[Sacre_00000004.jpg],5[Sacre_00000102.jpg],3[Sacre_00000019.jpg],5[Sacre_00000097.jpg],3[Sacre_00000129.jpg],4[Sacre_00000015.jpg],4[Sacre_00000020.jpg],3[Sacre_00000127.jpg],2[Sacre_00000120.jpg],3[Sacre_00000110.jpg],4[Sacre_00000121.jpg],2[Sacre_00000113.jpg],4[Sacre_00000086.jpg],2[Sacre_00000115.jpg],4[Sacre_00000126.jpg],3[Sacre_00000114.jpg],5[Sacre_00000132.jpg],3[Sacre_00000131.jpg],5[Sacre_00000105.jpg],4[Sacre_00000073.jpg],3[Sacre_00000064.jpg],3[Sacre_00000068.jpg],4[Sacre_00000067.jpg],3[Sacre_00000066.jpg],3[Sacre_00000094.jpg],4[Sacre_00000027.jpg],3[Sacre_00000062.jpg],3[Sacre_00000075.jpg],4[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3V26SBZTBE4TE7G9NQ6EVQAZDLWZZI,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:20:57 PDT 2016","Sun Sep 25 07:21:49 PDT 2016",5[Sacre_00000078.jpg],3[Sacre_00000004.jpg],5[Sacre_00000102.jpg],4[Sacre_00000019.jpg],5[Sacre_00000097.jpg],5[Sacre_00000129.jpg],5[Sacre_00000015.jpg],5[Sacre_00000020.jpg],5[Sacre_00000127.jpg],5[Sacre_00000120.jpg],5[Sacre_00000110.jpg],5[Sacre_00000121.jpg],5[Sacre_00000113.jpg],5[Sacre_00000086.jpg],5[Sacre_00000115.jpg],5[Sacre_00000126.jpg],5[Sacre_00000114.jpg],5[Sacre_00000132.jpg],5[Sacre_00000131.jpg],5[Sacre_00000105.jpg],5[Sacre_00000073.jpg],5[Sacre_00000064.jpg],5[Sacre_00000068.jpg],5[Sacre_00000067.jpg],5[Sacre_00000066.jpg],5[Sacre_00000094.jpg],5[Sacre_00000027.jpg],5[Sacre_00000062.jpg],5[Sacre_00000075.jpg],5[Sacre_00000028.jpg],
3M47JKRKCXRAKHXIMS4PWOPF7NG862,"Sacre_0-29","sample#command",3FFJ6VRIL2EAHWL9JS50PW4NZ1CI0D,A2UFHATEG76AO5,Approved,"Sun Sep 25 07:38:14 PDT 2016","Sun Sep 25 07:42:35 PDT 2016",4[Sacre_00000078.jpg],4[Sacre_00000004.jpg],2[Sacre_00000102.jpg],3[Sacre_00000019.jpg],2[Sacre_00000097.jpg],3[Sacre_00000129.jpg],2[Sacre_00000015.jpg],2[Sacre_00000020.jpg],2[Sacre_00000127.jpg],5[Sacre_00000120.jpg],2[Sacre_00000110.jpg],5[Sacre_00000121.jpg],3[Sacre_00000113.jpg],3[Sacre_00000086.jpg],2[Sacre_00000115.jpg],3[Sacre_00000126.jpg],5[Sacre_00000114.jpg],3[Sacre_00000132.jpg],1[Sacre_00000131.jpg],2[Sacre_00000105.jpg],3[Sacre_00000073.jpg],4[Sacre_00000064.jpg],4[Sacre_00000068.jpg],3[Sacre_00000067.jpg],4[Sacre_00000066.jpg],2[Sacre_00000094.jpg],3[Sacre_00000027.jpg],3[Sacre_00000062.jpg],2[Sacre_00000075.jpg],3[Sacre_00000028.jpg],
