HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3TXD01ZLD57WPBYAWAHGK2IBA82U40,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:48:18 PDT 2016","Sun Sep 25 02:02:45 PDT 2016",5[TengwangPavilion_00000110.jpg],5[TengwangPavilion_00000153.jpg],5[TengwangPavilion_00000068.jpg],5[TengwangPavilion_00000133.jpg],5[TengwangPavilion_00000176.jpg],5[TengwangPavilion_00000067.jpg],5[TengwangPavilion_00000120.jpg],5[TengwangPavilion_00000066.jpg],5[TengwangPavilion_00000130.jpg],5[TengwangPavilion_00000027.jpg],5[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],5[TengwangPavilion_00000020.jpg],5[TengwangPavilion_00000132.jpg],5[TengwangPavilion_00000044.jpg],5[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],5[TengwangPavilion_00000049.jpg],5[TengwangPavilion_00000048.jpg],5[TengwangPavilion_00000064.jpg],5[TengwangPavilion_00000135.jpg],5[TengwangPavilion_00000024.jpg],5[TengwangPavilion_00000021.jpg],5[TengwangPavilion_00000023.jpg],5[TengwangPavilion_00000026.jpg],5[TengwangPavilion_00000075.jpg],5[TengwangPavilion_00000106.jpg],5[TengwangPavilion_00000074.jpg],5[TengwangPavilion_00000022.jpg],5[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",38BQUHLA9XQHGW3J6S537Q7MED0MOB,A22JTMBADARX55,Approved,"Sun Sep 25 02:11:56 PDT 2016","Sun Sep 25 02:17:55 PDT 2016",4[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],4[TengwangPavilion_00000068.jpg],3[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],3[TengwangPavilion_00000067.jpg],4[TengwangPavilion_00000120.jpg],4[TengwangPavilion_00000066.jpg],3[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],3[TengwangPavilion_00000041.jpg],4[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],4[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],4[TengwangPavilion_00000099.jpg],4[TengwangPavilion_00000045.jpg],4[TengwangPavilion_00000049.jpg],3[TengwangPavilion_00000048.jpg],4[TengwangPavilion_00000064.jpg],4[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],5[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],4[TengwangPavilion_00000026.jpg],4[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],5[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3EFVCAY5L4ZOUWAIWE3FUCP5VE1J81,A25WL7E75KK134,Approved,"Sun Sep 25 02:06:00 PDT 2016","Sun Sep 25 02:38:38 PDT 2016",4[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],4[TengwangPavilion_00000068.jpg],5[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],5[TengwangPavilion_00000067.jpg],5[TengwangPavilion_00000120.jpg],3[TengwangPavilion_00000066.jpg],5[TengwangPavilion_00000130.jpg],5[TengwangPavilion_00000027.jpg],3[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],5[TengwangPavilion_00000132.jpg],5[TengwangPavilion_00000044.jpg],4[TengwangPavilion_00000099.jpg],4[TengwangPavilion_00000045.jpg],4[TengwangPavilion_00000049.jpg],4[TengwangPavilion_00000048.jpg],4[TengwangPavilion_00000064.jpg],4[TengwangPavilion_00000135.jpg],3[TengwangPavilion_00000024.jpg],3[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],2[TengwangPavilion_00000026.jpg],2[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],5[TengwangPavilion_00000022.jpg],5[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3R6P78PK7L1X1EC5R6T7OVTCHZ8TGZ,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:10:31 PDT 2016","Sun Sep 25 03:13:14 PDT 2016",2[TengwangPavilion_00000110.jpg],3[TengwangPavilion_00000153.jpg],4[TengwangPavilion_00000068.jpg],4[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],4[TengwangPavilion_00000067.jpg],4[TengwangPavilion_00000120.jpg],5[TengwangPavilion_00000066.jpg],4[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],4[TengwangPavilion_00000041.jpg],4[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],4[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],5[TengwangPavilion_00000099.jpg],3[TengwangPavilion_00000045.jpg],2[TengwangPavilion_00000049.jpg],2[TengwangPavilion_00000048.jpg],2[TengwangPavilion_00000064.jpg],3[TengwangPavilion_00000135.jpg],3[TengwangPavilion_00000024.jpg],2[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],4[TengwangPavilion_00000026.jpg],4[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],4[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3AZHRG4CU5AVRT3QYPYDLQ2YGJ730Q,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:35:40 PDT 2016","Sun Sep 25 03:37:17 PDT 2016",4[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],4[TengwangPavilion_00000068.jpg],4[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],3[TengwangPavilion_00000067.jpg],5[TengwangPavilion_00000120.jpg],4[TengwangPavilion_00000066.jpg],5[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],4[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],5[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],4[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],5[TengwangPavilion_00000049.jpg],4[TengwangPavilion_00000048.jpg],3[TengwangPavilion_00000064.jpg],3[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],3[TengwangPavilion_00000021.jpg],3[TengwangPavilion_00000023.jpg],3[TengwangPavilion_00000026.jpg],3[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],4[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",39LOEL67OTVD9I8TTTBSE58GZHM83L,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:47:34 PDT 2016","Sun Sep 25 05:49:25 PDT 2016",3[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],1[TengwangPavilion_00000068.jpg],4[TengwangPavilion_00000133.jpg],2[TengwangPavilion_00000176.jpg],4[TengwangPavilion_00000067.jpg],4[TengwangPavilion_00000120.jpg],5[TengwangPavilion_00000066.jpg],3[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],2[TengwangPavilion_00000041.jpg],3[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],2[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],3[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],3[TengwangPavilion_00000049.jpg],2[TengwangPavilion_00000048.jpg],2[TengwangPavilion_00000064.jpg],3[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],3[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],3[TengwangPavilion_00000026.jpg],3[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],2[TengwangPavilion_00000074.jpg],5[TengwangPavilion_00000022.jpg],5[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3Z7VU45IPZ7WJBV1FFXM3WQN06HZ1R,A1G8XY49335US8,Approved,"Sun Sep 25 06:58:14 PDT 2016","Sun Sep 25 06:59:56 PDT 2016",4[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],3[TengwangPavilion_00000068.jpg],4[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],5[TengwangPavilion_00000067.jpg],4[TengwangPavilion_00000120.jpg],4[TengwangPavilion_00000066.jpg],4[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],3[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],3[TengwangPavilion_00000020.jpg],4[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],4[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],4[TengwangPavilion_00000049.jpg],3[TengwangPavilion_00000048.jpg],4[TengwangPavilion_00000064.jpg],4[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],4[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],4[TengwangPavilion_00000026.jpg],4[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],3[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],4[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3R9WASFE206N9QP9MEC7SYUH1G1ZFT,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:06:32 PDT 2016","Sun Sep 25 07:10:49 PDT 2016",5[TengwangPavilion_00000110.jpg],5[TengwangPavilion_00000153.jpg],5[TengwangPavilion_00000068.jpg],5[TengwangPavilion_00000133.jpg],5[TengwangPavilion_00000176.jpg],5[TengwangPavilion_00000067.jpg],5[TengwangPavilion_00000120.jpg],5[TengwangPavilion_00000066.jpg],5[TengwangPavilion_00000130.jpg],5[TengwangPavilion_00000027.jpg],5[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],5[TengwangPavilion_00000132.jpg],5[TengwangPavilion_00000044.jpg],5[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],5[TengwangPavilion_00000049.jpg],5[TengwangPavilion_00000048.jpg],4[TengwangPavilion_00000064.jpg],4[TengwangPavilion_00000135.jpg],5[TengwangPavilion_00000024.jpg],4[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],4[TengwangPavilion_00000026.jpg],4[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],4[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",3DR23U6WE64ZH0GELB3JOS804J5TEU,A311BTV53IKX3D,Approved,"Sun Sep 25 08:26:20 PDT 2016","Sun Sep 25 08:28:31 PDT 2016",4[TengwangPavilion_00000110.jpg],4[TengwangPavilion_00000153.jpg],3[TengwangPavilion_00000068.jpg],5[TengwangPavilion_00000133.jpg],4[TengwangPavilion_00000176.jpg],4[TengwangPavilion_00000067.jpg],5[TengwangPavilion_00000120.jpg],4[TengwangPavilion_00000066.jpg],4[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],4[TengwangPavilion_00000041.jpg],5[TengwangPavilion_00000112.jpg],5[TengwangPavilion_00000020.jpg],4[TengwangPavilion_00000132.jpg],4[TengwangPavilion_00000044.jpg],4[TengwangPavilion_00000099.jpg],5[TengwangPavilion_00000045.jpg],3[TengwangPavilion_00000049.jpg],3[TengwangPavilion_00000048.jpg],3[TengwangPavilion_00000064.jpg],4[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],4[TengwangPavilion_00000021.jpg],4[TengwangPavilion_00000023.jpg],4[TengwangPavilion_00000026.jpg],3[TengwangPavilion_00000075.jpg],4[TengwangPavilion_00000106.jpg],4[TengwangPavilion_00000074.jpg],4[TengwangPavilion_00000022.jpg],4[TengwangPavilion_00000025.jpg],
33CLA8O0MI1CLF5PMUDTHBXXQE7FRO,"TengwangPavilion_30-59","sample#command",34X6J5FLPUOU00AEI8KFG3A5PLNJQE,A1FBDDM9NKAHI7,Approved,"Sun Sep 25 12:43:20 PDT 2016","Sun Sep 25 12:47:10 PDT 2016",2[TengwangPavilion_00000110.jpg],3[TengwangPavilion_00000153.jpg],2[TengwangPavilion_00000068.jpg],3[TengwangPavilion_00000133.jpg],2[TengwangPavilion_00000176.jpg],5[TengwangPavilion_00000067.jpg],3[TengwangPavilion_00000120.jpg],4[TengwangPavilion_00000066.jpg],3[TengwangPavilion_00000130.jpg],4[TengwangPavilion_00000027.jpg],3[TengwangPavilion_00000041.jpg],4[TengwangPavilion_00000112.jpg],4[TengwangPavilion_00000020.jpg],4[TengwangPavilion_00000132.jpg],5[TengwangPavilion_00000044.jpg],2[TengwangPavilion_00000099.jpg],4[TengwangPavilion_00000045.jpg],3[TengwangPavilion_00000049.jpg],3[TengwangPavilion_00000048.jpg],4[TengwangPavilion_00000064.jpg],2[TengwangPavilion_00000135.jpg],4[TengwangPavilion_00000024.jpg],4[TengwangPavilion_00000021.jpg],3[TengwangPavilion_00000023.jpg],2[TengwangPavilion_00000026.jpg],3[TengwangPavilion_00000075.jpg],3[TengwangPavilion_00000106.jpg],2[TengwangPavilion_00000074.jpg],3[TengwangPavilion_00000022.jpg],2[TengwangPavilion_00000025.jpg],
