HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",34BBWHLWHB13PMMUCZYLWRDR06DWIF,A22JTMBADARX55,Approved,"Sun Sep 25 01:13:30 PDT 2016","Sun Sep 25 01:33:58 PDT 2016",5[TengwangPavilion_00000018.jpg],2[TengwangPavilion_00000100.jpg],3[TengwangPavilion_00000055.jpg],3[TengwangPavilion_00000061.jpg],3[TengwangPavilion_00000119.jpg],3[TengwangPavilion_00000047.jpg],3[TengwangPavilion_00000161.jpg],4[TengwangPavilion_00000168.jpg],4[TengwangPavilion_00000081.jpg],4[TengwangPavilion_00000117.jpg],5[TengwangPavilion_00000039.jpg],3[TengwangPavilion_00000175.jpg],4[TengwangPavilion_00000140.jpg],3[TengwangPavilion_00000134.jpg],3[TengwangPavilion_00000127.jpg],4[TengwangPavilion_00000180.jpg],3[TengwangPavilion_00000178.jpg],4[TengwangPavilion_00000160.jpg],4[TengwangPavilion_00000225.jpg],4[TengwangPavilion_00000179.jpg],3[TengwangPavilion_00000194.jpg],5[TengwangPavilion_00000187.jpg],4[TengwangPavilion_00000163.jpg],5[TengwangPavilion_00000212.jpg],4[TengwangPavilion_00000186.jpg],4[TengwangPavilion_00000147.jpg],4[TengwangPavilion_00000245.jpg],4[TengwangPavilion_00000177.jpg],4[TengwangPavilion_00000105.jpg],4[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",33PPUNGG39VKCGUID9C19N80441RZ5,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:48:34 PDT 2016","Sun Sep 25 02:03:51 PDT 2016",5[TengwangPavilion_00000018.jpg],5[TengwangPavilion_00000100.jpg],5[TengwangPavilion_00000055.jpg],5[TengwangPavilion_00000061.jpg],5[TengwangPavilion_00000119.jpg],5[TengwangPavilion_00000047.jpg],5[TengwangPavilion_00000161.jpg],5[TengwangPavilion_00000168.jpg],5[TengwangPavilion_00000081.jpg],5[TengwangPavilion_00000117.jpg],5[TengwangPavilion_00000039.jpg],5[TengwangPavilion_00000175.jpg],5[TengwangPavilion_00000140.jpg],5[TengwangPavilion_00000134.jpg],5[TengwangPavilion_00000127.jpg],5[TengwangPavilion_00000180.jpg],5[TengwangPavilion_00000178.jpg],5[TengwangPavilion_00000160.jpg],5[TengwangPavilion_00000225.jpg],5[TengwangPavilion_00000179.jpg],5[TengwangPavilion_00000194.jpg],5[TengwangPavilion_00000187.jpg],5[TengwangPavilion_00000163.jpg],5[TengwangPavilion_00000212.jpg],5[TengwangPavilion_00000186.jpg],5[TengwangPavilion_00000147.jpg],5[TengwangPavilion_00000245.jpg],5[TengwangPavilion_00000177.jpg],4[TengwangPavilion_00000105.jpg],5[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3XCC1ODXDM1BYOTRQDTOIUWWZ1KQRE,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:02:14 PDT 2016","Sun Sep 25 03:08:33 PDT 2016",4[TengwangPavilion_00000018.jpg],4[TengwangPavilion_00000100.jpg],5[TengwangPavilion_00000055.jpg],4[TengwangPavilion_00000061.jpg],3[TengwangPavilion_00000119.jpg],2[TengwangPavilion_00000047.jpg],3[TengwangPavilion_00000161.jpg],2[TengwangPavilion_00000168.jpg],2[TengwangPavilion_00000081.jpg],2[TengwangPavilion_00000117.jpg],2[TengwangPavilion_00000039.jpg],2[TengwangPavilion_00000175.jpg],2[TengwangPavilion_00000140.jpg],2[TengwangPavilion_00000134.jpg],2[TengwangPavilion_00000127.jpg],3[TengwangPavilion_00000180.jpg],3[TengwangPavilion_00000178.jpg],2[TengwangPavilion_00000160.jpg],2[TengwangPavilion_00000225.jpg],2[TengwangPavilion_00000179.jpg],1[TengwangPavilion_00000194.jpg],4[TengwangPavilion_00000187.jpg],3[TengwangPavilion_00000163.jpg],2[TengwangPavilion_00000212.jpg],2[TengwangPavilion_00000186.jpg],2[TengwangPavilion_00000147.jpg],2[TengwangPavilion_00000245.jpg],2[TengwangPavilion_00000177.jpg],3[TengwangPavilion_00000105.jpg],2[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3L4PIM1GQU6K7QKDHNAIVGZYYA4RYL,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:38:54 PDT 2016","Sun Sep 25 05:40:56 PDT 2016",3[TengwangPavilion_00000018.jpg],1[TengwangPavilion_00000100.jpg],3[TengwangPavilion_00000055.jpg],3[TengwangPavilion_00000061.jpg],2[TengwangPavilion_00000119.jpg],4[TengwangPavilion_00000047.jpg],3[TengwangPavilion_00000161.jpg],3[TengwangPavilion_00000168.jpg],4[TengwangPavilion_00000081.jpg],4[TengwangPavilion_00000117.jpg],4[TengwangPavilion_00000039.jpg],2[TengwangPavilion_00000175.jpg],5[TengwangPavilion_00000140.jpg],5[TengwangPavilion_00000134.jpg],2[TengwangPavilion_00000127.jpg],3[TengwangPavilion_00000180.jpg],1[TengwangPavilion_00000178.jpg],5[TengwangPavilion_00000160.jpg],5[TengwangPavilion_00000225.jpg],2[TengwangPavilion_00000179.jpg],1[TengwangPavilion_00000194.jpg],4[TengwangPavilion_00000187.jpg],3[TengwangPavilion_00000163.jpg],5[TengwangPavilion_00000212.jpg],3[TengwangPavilion_00000186.jpg],1[TengwangPavilion_00000147.jpg],3[TengwangPavilion_00000245.jpg],2[TengwangPavilion_00000177.jpg],4[TengwangPavilion_00000105.jpg],4[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3ZY8KE4ISKT3RVA8ZXYYJRLZK74VQJ,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:11:32 PDT 2016","Sun Sep 25 07:13:27 PDT 2016",4[TengwangPavilion_00000018.jpg],5[TengwangPavilion_00000100.jpg],5[TengwangPavilion_00000055.jpg],5[TengwangPavilion_00000061.jpg],5[TengwangPavilion_00000119.jpg],5[TengwangPavilion_00000047.jpg],5[TengwangPavilion_00000161.jpg],5[TengwangPavilion_00000168.jpg],5[TengwangPavilion_00000081.jpg],5[TengwangPavilion_00000117.jpg],5[TengwangPavilion_00000039.jpg],5[TengwangPavilion_00000175.jpg],5[TengwangPavilion_00000140.jpg],5[TengwangPavilion_00000134.jpg],5[TengwangPavilion_00000127.jpg],5[TengwangPavilion_00000180.jpg],5[TengwangPavilion_00000178.jpg],5[TengwangPavilion_00000160.jpg],5[TengwangPavilion_00000225.jpg],5[TengwangPavilion_00000179.jpg],5[TengwangPavilion_00000194.jpg],5[TengwangPavilion_00000187.jpg],5[TengwangPavilion_00000163.jpg],4[TengwangPavilion_00000212.jpg],4[TengwangPavilion_00000186.jpg],4[TengwangPavilion_00000147.jpg],5[TengwangPavilion_00000245.jpg],5[TengwangPavilion_00000177.jpg],5[TengwangPavilion_00000105.jpg],5[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",39LNWE0K4VMQXIXPHZJKE3SUFQLUIX,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:54:25 PDT 2016","Sun Sep 25 08:58:52 PDT 2016",4[TengwangPavilion_00000018.jpg],3[TengwangPavilion_00000100.jpg],2[TengwangPavilion_00000055.jpg],2[TengwangPavilion_00000061.jpg],1[TengwangPavilion_00000119.jpg],3[TengwangPavilion_00000047.jpg],2[TengwangPavilion_00000161.jpg],3[TengwangPavilion_00000168.jpg],2[TengwangPavilion_00000081.jpg],1[TengwangPavilion_00000117.jpg],2[TengwangPavilion_00000039.jpg],1[TengwangPavilion_00000175.jpg],2[TengwangPavilion_00000140.jpg],2[TengwangPavilion_00000134.jpg],3[TengwangPavilion_00000127.jpg],4[TengwangPavilion_00000180.jpg],1[TengwangPavilion_00000178.jpg],2[TengwangPavilion_00000160.jpg],3[TengwangPavilion_00000225.jpg],2[TengwangPavilion_00000179.jpg],1[TengwangPavilion_00000194.jpg],2[TengwangPavilion_00000187.jpg],2[TengwangPavilion_00000163.jpg],2[TengwangPavilion_00000212.jpg],2[TengwangPavilion_00000186.jpg],2[TengwangPavilion_00000147.jpg],3[TengwangPavilion_00000245.jpg],2[TengwangPavilion_00000177.jpg],2[TengwangPavilion_00000105.jpg],2[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3R9WASFE206N9QP9MEC7SYUH1HRFZ1,A1FBDDM9NKAHI7,Approved,"Sun Sep 25 12:50:29 PDT 2016","Sun Sep 25 12:53:23 PDT 2016",4[TengwangPavilion_00000018.jpg],2[TengwangPavilion_00000100.jpg],3[TengwangPavilion_00000055.jpg],3[TengwangPavilion_00000061.jpg],3[TengwangPavilion_00000119.jpg],4[TengwangPavilion_00000047.jpg],2[TengwangPavilion_00000161.jpg],3[TengwangPavilion_00000168.jpg],2[TengwangPavilion_00000081.jpg],2[TengwangPavilion_00000117.jpg],3[TengwangPavilion_00000039.jpg],1[TengwangPavilion_00000175.jpg],4[TengwangPavilion_00000140.jpg],2[TengwangPavilion_00000134.jpg],3[TengwangPavilion_00000127.jpg],2[TengwangPavilion_00000180.jpg],1[TengwangPavilion_00000178.jpg],3[TengwangPavilion_00000160.jpg],3[TengwangPavilion_00000225.jpg],2[TengwangPavilion_00000179.jpg],1[TengwangPavilion_00000194.jpg],2[TengwangPavilion_00000187.jpg],1[TengwangPavilion_00000163.jpg],3[TengwangPavilion_00000212.jpg],1[TengwangPavilion_00000186.jpg],1[TengwangPavilion_00000147.jpg],2[TengwangPavilion_00000245.jpg],1[TengwangPavilion_00000177.jpg],3[TengwangPavilion_00000105.jpg],4[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",39KFRKBFIOLHADSXPVTE1LUTNOKYOL,AENDSV6FLIUQR,Approved,"Sun Sep 25 13:50:25 PDT 2016","Sun Sep 25 13:52:34 PDT 2016",1[TengwangPavilion_00000018.jpg],2[TengwangPavilion_00000100.jpg],2[TengwangPavilion_00000055.jpg],3[TengwangPavilion_00000061.jpg],3[TengwangPavilion_00000119.jpg],3[TengwangPavilion_00000047.jpg],3[TengwangPavilion_00000161.jpg],4[TengwangPavilion_00000168.jpg],1[TengwangPavilion_00000081.jpg],1[TengwangPavilion_00000117.jpg],4[TengwangPavilion_00000039.jpg],4[TengwangPavilion_00000175.jpg],4[TengwangPavilion_00000140.jpg],2[TengwangPavilion_00000134.jpg],4[TengwangPavilion_00000127.jpg],5[TengwangPavilion_00000180.jpg],2[TengwangPavilion_00000178.jpg],4[TengwangPavilion_00000160.jpg],5[TengwangPavilion_00000225.jpg],5[TengwangPavilion_00000179.jpg],4[TengwangPavilion_00000194.jpg],5[TengwangPavilion_00000187.jpg],2[TengwangPavilion_00000163.jpg],5[TengwangPavilion_00000212.jpg],4[TengwangPavilion_00000186.jpg],4[TengwangPavilion_00000147.jpg],3[TengwangPavilion_00000245.jpg],2[TengwangPavilion_00000177.jpg],3[TengwangPavilion_00000105.jpg],4[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3EO896NRAXL7SG26ZCEAL8LS9SUJT0,A73MO7FE7COFH,Approved,"Sun Sep 25 14:05:27 PDT 2016","Sun Sep 25 14:07:37 PDT 2016",2[TengwangPavilion_00000018.jpg],2[TengwangPavilion_00000100.jpg],1[TengwangPavilion_00000055.jpg],4[TengwangPavilion_00000061.jpg],4[TengwangPavilion_00000119.jpg],1[TengwangPavilion_00000047.jpg],1[TengwangPavilion_00000161.jpg],4[TengwangPavilion_00000168.jpg],1[TengwangPavilion_00000081.jpg],1[TengwangPavilion_00000117.jpg],2[TengwangPavilion_00000039.jpg],2[TengwangPavilion_00000175.jpg],2[TengwangPavilion_00000140.jpg],4[TengwangPavilion_00000134.jpg],4[TengwangPavilion_00000127.jpg],4[TengwangPavilion_00000180.jpg],2[TengwangPavilion_00000178.jpg],4[TengwangPavilion_00000160.jpg],4[TengwangPavilion_00000225.jpg],1[TengwangPavilion_00000179.jpg],1[TengwangPavilion_00000194.jpg],3[TengwangPavilion_00000187.jpg],2[TengwangPavilion_00000163.jpg],5[TengwangPavilion_00000212.jpg],1[TengwangPavilion_00000186.jpg],3[TengwangPavilion_00000147.jpg],3[TengwangPavilion_00000245.jpg],3[TengwangPavilion_00000177.jpg],2[TengwangPavilion_00000105.jpg],2[TengwangPavilion_00000087.jpg],
35A1YQPVFE67QJ9HQV6BH75TEOAI54,"TengwangPavilion_120-149","sample#command",3TPWUS5F8ARCCJ0UKP2ZLOFWN28CWA,A1CUNND59ZOTEN,Approved,"Sun Sep 25 15:17:46 PDT 2016","Sun Sep 25 15:20:34 PDT 2016",3[TengwangPavilion_00000018.jpg],2[TengwangPavilion_00000100.jpg],2[TengwangPavilion_00000055.jpg],4[TengwangPavilion_00000061.jpg],2[TengwangPavilion_00000119.jpg],4[TengwangPavilion_00000047.jpg],2[TengwangPavilion_00000161.jpg],4[TengwangPavilion_00000168.jpg],2[TengwangPavilion_00000081.jpg],2[TengwangPavilion_00000117.jpg],4[TengwangPavilion_00000039.jpg],4[TengwangPavilion_00000175.jpg],4[TengwangPavilion_00000140.jpg],2[TengwangPavilion_00000134.jpg],2[TengwangPavilion_00000127.jpg],4[TengwangPavilion_00000180.jpg],2[TengwangPavilion_00000178.jpg],4[TengwangPavilion_00000160.jpg],4[TengwangPavilion_00000225.jpg],4[TengwangPavilion_00000179.jpg],2[TengwangPavilion_00000194.jpg],4[TengwangPavilion_00000187.jpg],2[TengwangPavilion_00000163.jpg],4[TengwangPavilion_00000212.jpg],2[TengwangPavilion_00000186.jpg],1[TengwangPavilion_00000147.jpg],4[TengwangPavilion_00000245.jpg],3[TengwangPavilion_00000177.jpg],3[TengwangPavilion_00000105.jpg],4[TengwangPavilion_00000087.jpg],
