HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3XLBSAQ9Z52AUXA34VEV46H03S7Z7E,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:48:31 PDT 2016","Sun Sep 25 02:03:10 PDT 2016",5[TengwangPavilion_00000054.jpg],5[TengwangPavilion_00000103.jpg],5[TengwangPavilion_00000107.jpg],5[TengwangPavilion_00000090.jpg],5[TengwangPavilion_00000033.jpg],5[TengwangPavilion_00000113.jpg],5[TengwangPavilion_00000137.jpg],5[TengwangPavilion_00000083.jpg],5[TengwangPavilion_00000152.jpg],5[TengwangPavilion_00000050.jpg],5[TengwangPavilion_00000158.jpg],5[TengwangPavilion_00000151.jpg],5[TengwangPavilion_00000096.jpg],5[TengwangPavilion_00000118.jpg],5[TengwangPavilion_00000051.jpg],5[TengwangPavilion_00000059.jpg],5[TengwangPavilion_00000052.jpg],5[TengwangPavilion_00000035.jpg],5[TengwangPavilion_00000136.jpg],5[TengwangPavilion_00000030.jpg],5[TengwangPavilion_00000159.jpg],5[TengwangPavilion_00000029.jpg],5[TengwangPavilion_00000122.jpg],5[TengwangPavilion_00000139.jpg],5[TengwangPavilion_00000116.jpg],5[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],5[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],5[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3YWRV122CTPX8CLC8D7T1EYGCUZU88,A22JTMBADARX55,Approved,"Sun Sep 25 02:12:00 PDT 2016","Sun Sep 25 02:19:48 PDT 2016",4[TengwangPavilion_00000054.jpg],4[TengwangPavilion_00000103.jpg],4[TengwangPavilion_00000107.jpg],4[TengwangPavilion_00000090.jpg],5[TengwangPavilion_00000033.jpg],4[TengwangPavilion_00000113.jpg],4[TengwangPavilion_00000137.jpg],5[TengwangPavilion_00000083.jpg],4[TengwangPavilion_00000152.jpg],4[TengwangPavilion_00000050.jpg],5[TengwangPavilion_00000158.jpg],3[TengwangPavilion_00000151.jpg],4[TengwangPavilion_00000096.jpg],4[TengwangPavilion_00000118.jpg],4[TengwangPavilion_00000051.jpg],4[TengwangPavilion_00000059.jpg],4[TengwangPavilion_00000052.jpg],4[TengwangPavilion_00000035.jpg],4[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],4[TengwangPavilion_00000159.jpg],4[TengwangPavilion_00000029.jpg],4[TengwangPavilion_00000122.jpg],4[TengwangPavilion_00000139.jpg],4[TengwangPavilion_00000116.jpg],5[TengwangPavilion_00000215.jpg],4[TengwangPavilion_00000219.jpg],5[TengwangPavilion_00000216.jpg],4[TengwangPavilion_00000213.jpg],4[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",37TRT2X24RH7WU8PZQNPLEF63KPBJV,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:01:17 PDT 2016","Sun Sep 25 03:04:35 PDT 2016",4[TengwangPavilion_00000054.jpg],4[TengwangPavilion_00000103.jpg],4[TengwangPavilion_00000107.jpg],4[TengwangPavilion_00000090.jpg],4[TengwangPavilion_00000033.jpg],3[TengwangPavilion_00000113.jpg],4[TengwangPavilion_00000137.jpg],4[TengwangPavilion_00000083.jpg],4[TengwangPavilion_00000152.jpg],4[TengwangPavilion_00000050.jpg],4[TengwangPavilion_00000158.jpg],4[TengwangPavilion_00000151.jpg],4[TengwangPavilion_00000096.jpg],4[TengwangPavilion_00000118.jpg],4[TengwangPavilion_00000051.jpg],4[TengwangPavilion_00000059.jpg],3[TengwangPavilion_00000052.jpg],2[TengwangPavilion_00000035.jpg],4[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],3[TengwangPavilion_00000159.jpg],2[TengwangPavilion_00000029.jpg],3[TengwangPavilion_00000122.jpg],4[TengwangPavilion_00000139.jpg],3[TengwangPavilion_00000116.jpg],2[TengwangPavilion_00000215.jpg],3[TengwangPavilion_00000219.jpg],3[TengwangPavilion_00000216.jpg],4[TengwangPavilion_00000213.jpg],5[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3X66WABAJX8S2XEBCRNG6IPEN0WG36,A3HWRYYLLJYE4Z,Approved,"Sun Sep 25 03:37:26 PDT 2016","Sun Sep 25 03:42:55 PDT 2016",5[TengwangPavilion_00000054.jpg],4[TengwangPavilion_00000103.jpg],5[TengwangPavilion_00000107.jpg],4[TengwangPavilion_00000090.jpg],3[TengwangPavilion_00000033.jpg],3[TengwangPavilion_00000113.jpg],3[TengwangPavilion_00000137.jpg],4[TengwangPavilion_00000083.jpg],5[TengwangPavilion_00000152.jpg],4[TengwangPavilion_00000050.jpg],4[TengwangPavilion_00000158.jpg],3[TengwangPavilion_00000151.jpg],5[TengwangPavilion_00000096.jpg],4[TengwangPavilion_00000118.jpg],4[TengwangPavilion_00000051.jpg],4[TengwangPavilion_00000059.jpg],4[TengwangPavilion_00000052.jpg],3[TengwangPavilion_00000035.jpg],4[TengwangPavilion_00000136.jpg],3[TengwangPavilion_00000030.jpg],3[TengwangPavilion_00000159.jpg],5[TengwangPavilion_00000029.jpg],3[TengwangPavilion_00000122.jpg],4[TengwangPavilion_00000139.jpg],4[TengwangPavilion_00000116.jpg],4[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],4[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],5[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3JNQLM5FT5CJ37WTJI6R00PUD3L2LQ,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:43:52 PDT 2016","Sun Sep 25 05:45:32 PDT 2016",5[TengwangPavilion_00000054.jpg],4[TengwangPavilion_00000103.jpg],4[TengwangPavilion_00000107.jpg],3[TengwangPavilion_00000090.jpg],3[TengwangPavilion_00000033.jpg],2[TengwangPavilion_00000113.jpg],2[TengwangPavilion_00000137.jpg],3[TengwangPavilion_00000083.jpg],4[TengwangPavilion_00000152.jpg],4[TengwangPavilion_00000050.jpg],2[TengwangPavilion_00000158.jpg],3[TengwangPavilion_00000151.jpg],5[TengwangPavilion_00000096.jpg],5[TengwangPavilion_00000118.jpg],3[TengwangPavilion_00000051.jpg],3[TengwangPavilion_00000059.jpg],4[TengwangPavilion_00000052.jpg],4[TengwangPavilion_00000035.jpg],4[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],2[TengwangPavilion_00000159.jpg],3[TengwangPavilion_00000029.jpg],2[TengwangPavilion_00000122.jpg],2[TengwangPavilion_00000139.jpg],3[TengwangPavilion_00000116.jpg],3[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],4[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],5[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3FTOP5WARGE6C75F1AQ01XJNCGZJ0O,A2ZVG10XPGLEG4,Approved,"Sun Sep 25 06:56:13 PDT 2016","Sun Sep 25 06:58:57 PDT 2016",3[TengwangPavilion_00000054.jpg],2[TengwangPavilion_00000103.jpg],4[TengwangPavilion_00000107.jpg],4[TengwangPavilion_00000090.jpg],2[TengwangPavilion_00000033.jpg],3[TengwangPavilion_00000113.jpg],3[TengwangPavilion_00000137.jpg],3[TengwangPavilion_00000083.jpg],4[TengwangPavilion_00000152.jpg],3[TengwangPavilion_00000050.jpg],3[TengwangPavilion_00000158.jpg],2[TengwangPavilion_00000151.jpg],4[TengwangPavilion_00000096.jpg],4[TengwangPavilion_00000118.jpg],3[TengwangPavilion_00000051.jpg],2[TengwangPavilion_00000059.jpg],2[TengwangPavilion_00000052.jpg],1[TengwangPavilion_00000035.jpg],2[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],2[TengwangPavilion_00000159.jpg],3[TengwangPavilion_00000029.jpg],3[TengwangPavilion_00000122.jpg],4[TengwangPavilion_00000139.jpg],3[TengwangPavilion_00000116.jpg],4[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],3[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],2[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3AAJC4I4FHI3ESB5543S7WM9UNIZJW,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:07:16 PDT 2016","Sun Sep 25 07:09:26 PDT 2016",5[TengwangPavilion_00000054.jpg],5[TengwangPavilion_00000103.jpg],5[TengwangPavilion_00000107.jpg],5[TengwangPavilion_00000090.jpg],5[TengwangPavilion_00000033.jpg],5[TengwangPavilion_00000113.jpg],5[TengwangPavilion_00000137.jpg],5[TengwangPavilion_00000083.jpg],5[TengwangPavilion_00000152.jpg],5[TengwangPavilion_00000050.jpg],5[TengwangPavilion_00000158.jpg],4[TengwangPavilion_00000151.jpg],5[TengwangPavilion_00000096.jpg],5[TengwangPavilion_00000118.jpg],5[TengwangPavilion_00000051.jpg],5[TengwangPavilion_00000059.jpg],5[TengwangPavilion_00000052.jpg],5[TengwangPavilion_00000035.jpg],4[TengwangPavilion_00000136.jpg],5[TengwangPavilion_00000030.jpg],5[TengwangPavilion_00000159.jpg],5[TengwangPavilion_00000029.jpg],5[TengwangPavilion_00000122.jpg],5[TengwangPavilion_00000139.jpg],5[TengwangPavilion_00000116.jpg],4[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],5[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],5[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",37FMASSAYDHB1JOJH82P9D06Q6QBIB,A1J5QT0FI6WZP1,Approved,"Sun Sep 25 11:05:25 PDT 2016","Sun Sep 25 11:09:18 PDT 2016",2[TengwangPavilion_00000054.jpg],3[TengwangPavilion_00000103.jpg],5[TengwangPavilion_00000107.jpg],4[TengwangPavilion_00000090.jpg],5[TengwangPavilion_00000033.jpg],4[TengwangPavilion_00000113.jpg],3[TengwangPavilion_00000137.jpg],5[TengwangPavilion_00000083.jpg],2[TengwangPavilion_00000152.jpg],4[TengwangPavilion_00000050.jpg],4[TengwangPavilion_00000158.jpg],4[TengwangPavilion_00000151.jpg],5[TengwangPavilion_00000096.jpg],4[TengwangPavilion_00000118.jpg],3[TengwangPavilion_00000051.jpg],3[TengwangPavilion_00000059.jpg],4[TengwangPavilion_00000052.jpg],4[TengwangPavilion_00000035.jpg],2[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],3[TengwangPavilion_00000159.jpg],4[TengwangPavilion_00000029.jpg],3[TengwangPavilion_00000122.jpg],1[TengwangPavilion_00000139.jpg],2[TengwangPavilion_00000116.jpg],2[TengwangPavilion_00000215.jpg],5[TengwangPavilion_00000219.jpg],3[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],2[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",3MD9PLUKKJ4ZXI2QK2VK033Q389ZNO,A3V498NJB1GPW6,Approved,"Sun Sep 25 11:41:25 PDT 2016","Sun Sep 25 11:43:13 PDT 2016",1[TengwangPavilion_00000054.jpg],2[TengwangPavilion_00000103.jpg],2[TengwangPavilion_00000107.jpg],3[TengwangPavilion_00000090.jpg],4[TengwangPavilion_00000033.jpg],2[TengwangPavilion_00000113.jpg],2[TengwangPavilion_00000137.jpg],2[TengwangPavilion_00000083.jpg],4[TengwangPavilion_00000152.jpg],3[TengwangPavilion_00000050.jpg],2[TengwangPavilion_00000158.jpg],2[TengwangPavilion_00000151.jpg],4[TengwangPavilion_00000096.jpg],5[TengwangPavilion_00000118.jpg],5[TengwangPavilion_00000051.jpg],3[TengwangPavilion_00000059.jpg],3[TengwangPavilion_00000052.jpg],2[TengwangPavilion_00000035.jpg],3[TengwangPavilion_00000136.jpg],4[TengwangPavilion_00000030.jpg],4[TengwangPavilion_00000159.jpg],5[TengwangPavilion_00000029.jpg],3[TengwangPavilion_00000122.jpg],4[TengwangPavilion_00000139.jpg],3[TengwangPavilion_00000116.jpg],4[TengwangPavilion_00000215.jpg],4[TengwangPavilion_00000219.jpg],3[TengwangPavilion_00000216.jpg],5[TengwangPavilion_00000213.jpg],4[TengwangPavilion_00000228.jpg],
3E9VAUV7BW4QMP03P9JVB6F3WL9AY8,"TengwangPavilion_150-179","sample#command",30ZX6P7VF9LD8H8TGXUEKLC29F8J2Z,AUG53KCOWS12S,Approved,"Sun Sep 25 12:24:49 PDT 2016","Sun Sep 25 12:28:53 PDT 2016",1[TengwangPavilion_00000054.jpg],1[TengwangPavilion_00000103.jpg],3[TengwangPavilion_00000107.jpg],2[TengwangPavilion_00000090.jpg],2[TengwangPavilion_00000033.jpg],1[TengwangPavilion_00000113.jpg],1[TengwangPavilion_00000137.jpg],1[TengwangPavilion_00000083.jpg],2[TengwangPavilion_00000152.jpg],1[TengwangPavilion_00000050.jpg],1[TengwangPavilion_00000158.jpg],2[TengwangPavilion_00000151.jpg],3[TengwangPavilion_00000096.jpg],2[TengwangPavilion_00000118.jpg],1[TengwangPavilion_00000051.jpg],1[TengwangPavilion_00000059.jpg],1[TengwangPavilion_00000052.jpg],1[TengwangPavilion_00000035.jpg],1[TengwangPavilion_00000136.jpg],2[TengwangPavilion_00000030.jpg],1[TengwangPavilion_00000159.jpg],2[TengwangPavilion_00000029.jpg],1[TengwangPavilion_00000122.jpg],1[TengwangPavilion_00000139.jpg],2[TengwangPavilion_00000116.jpg],4[TengwangPavilion_00000215.jpg],4[TengwangPavilion_00000219.jpg],1[TengwangPavilion_00000216.jpg],4[TengwangPavilion_00000213.jpg],1[TengwangPavilion_00000228.jpg],
