HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",336YQZE83W4V8MX11D94YK7VXIU5MO,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 01:31:57 PDT 2016","Sun Sep 25 01:35:07 PDT 2016",3[TengwangPavilion_00000188.jpg],2[TengwangPavilion_00000115.jpg],2[TengwangPavilion_00000104.jpg],2[TengwangPavilion_00000242.jpg],4[TengwangPavilion_00000165.jpg],2[TengwangPavilion_00000221.jpg],3[TengwangPavilion_00000233.jpg],4[TengwangPavilion_00000232.jpg],2[TengwangPavilion_00000166.jpg],2[TengwangPavilion_00000057.jpg],3[TengwangPavilion_00000002.jpg],1[TengwangPavilion_00000193.jpg],1[TengwangPavilion_00000004.jpg],3[TengwangPavilion_00000091.jpg],3[TengwangPavilion_00000248.jpg],4[TengwangPavilion_00000003.jpg],3[TengwangPavilion_00000065.jpg],3[TengwangPavilion_00000102.jpg],1[TengwangPavilion_00000085.jpg],4[TengwangPavilion_00000249.jpg],2[TengwangPavilion_00000014.jpg],3[TengwangPavilion_00000063.jpg],3[TengwangPavilion_00000005.jpg],4[TengwangPavilion_00000000.jpg],3[TengwangPavilion_00000131.jpg],3[TengwangPavilion_00000150.jpg],2[TengwangPavilion_00000181.jpg],1[TengwangPavilion_00000138.jpg],5[TengwangPavilion_00000231.jpg],2[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3TY7ZAOG5GA1NRBXJVQC2CJ0R5PK0E,A22JTMBADARX55,Approved,"Sun Sep 25 02:11:47 PDT 2016","Sun Sep 25 02:15:52 PDT 2016",4[TengwangPavilion_00000188.jpg],4[TengwangPavilion_00000115.jpg],5[TengwangPavilion_00000104.jpg],3[TengwangPavilion_00000242.jpg],4[TengwangPavilion_00000165.jpg],3[TengwangPavilion_00000221.jpg],4[TengwangPavilion_00000233.jpg],3[TengwangPavilion_00000232.jpg],4[TengwangPavilion_00000166.jpg],4[TengwangPavilion_00000057.jpg],4[TengwangPavilion_00000002.jpg],4[TengwangPavilion_00000193.jpg],3[TengwangPavilion_00000004.jpg],4[TengwangPavilion_00000091.jpg],4[TengwangPavilion_00000248.jpg],4[TengwangPavilion_00000003.jpg],4[TengwangPavilion_00000065.jpg],4[TengwangPavilion_00000102.jpg],5[TengwangPavilion_00000085.jpg],5[TengwangPavilion_00000249.jpg],4[TengwangPavilion_00000014.jpg],4[TengwangPavilion_00000063.jpg],4[TengwangPavilion_00000005.jpg],4[TengwangPavilion_00000000.jpg],4[TengwangPavilion_00000131.jpg],4[TengwangPavilion_00000150.jpg],4[TengwangPavilion_00000181.jpg],4[TengwangPavilion_00000138.jpg],4[TengwangPavilion_00000231.jpg],5[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",31LM9EDVOMI9X3XM2GSYC9F0K90JNP,ASY5AZCZEM04L,Approved,"Sun Sep 25 02:09:46 PDT 2016","Sun Sep 25 02:19:34 PDT 2016",5[TengwangPavilion_00000188.jpg],5[TengwangPavilion_00000115.jpg],5[TengwangPavilion_00000104.jpg],5[TengwangPavilion_00000242.jpg],5[TengwangPavilion_00000165.jpg],5[TengwangPavilion_00000221.jpg],5[TengwangPavilion_00000233.jpg],5[TengwangPavilion_00000232.jpg],5[TengwangPavilion_00000166.jpg],5[TengwangPavilion_00000057.jpg],5[TengwangPavilion_00000002.jpg],5[TengwangPavilion_00000193.jpg],5[TengwangPavilion_00000004.jpg],5[TengwangPavilion_00000091.jpg],5[TengwangPavilion_00000248.jpg],5[TengwangPavilion_00000003.jpg],5[TengwangPavilion_00000065.jpg],5[TengwangPavilion_00000102.jpg],5[TengwangPavilion_00000085.jpg],5[TengwangPavilion_00000249.jpg],5[TengwangPavilion_00000014.jpg],5[TengwangPavilion_00000063.jpg],5[TengwangPavilion_00000005.jpg],5[TengwangPavilion_00000000.jpg],5[TengwangPavilion_00000131.jpg],5[TengwangPavilion_00000150.jpg],5[TengwangPavilion_00000181.jpg],5[TengwangPavilion_00000138.jpg],5[TengwangPavilion_00000231.jpg],5[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3OXV7EAXLFGQ54P50EEUURCPTMS63T,A99QRHR8P2UHN,Approved,"Sun Sep 25 02:57:37 PDT 2016","Sun Sep 25 03:07:27 PDT 2016",4[TengwangPavilion_00000188.jpg],3[TengwangPavilion_00000115.jpg],4[TengwangPavilion_00000104.jpg],4[TengwangPavilion_00000242.jpg],3[TengwangPavilion_00000165.jpg],3[TengwangPavilion_00000221.jpg],4[TengwangPavilion_00000233.jpg],4[TengwangPavilion_00000232.jpg],4[TengwangPavilion_00000166.jpg],4[TengwangPavilion_00000057.jpg],4[TengwangPavilion_00000002.jpg],4[TengwangPavilion_00000193.jpg],4[TengwangPavilion_00000004.jpg],3[TengwangPavilion_00000091.jpg],4[TengwangPavilion_00000248.jpg],5[TengwangPavilion_00000003.jpg],4[TengwangPavilion_00000065.jpg],4[TengwangPavilion_00000102.jpg],4[TengwangPavilion_00000085.jpg],4[TengwangPavilion_00000249.jpg],4[TengwangPavilion_00000014.jpg],3[TengwangPavilion_00000063.jpg],3[TengwangPavilion_00000005.jpg],3[TengwangPavilion_00000000.jpg],4[TengwangPavilion_00000131.jpg],4[TengwangPavilion_00000150.jpg],4[TengwangPavilion_00000181.jpg],4[TengwangPavilion_00000138.jpg],4[TengwangPavilion_00000231.jpg],4[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3K4J6M3CXFJSMIDWL62QTQ3KTAPGA3,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:37:59 PDT 2016","Sun Sep 25 04:42:24 PDT 2016",4[TengwangPavilion_00000188.jpg],4[TengwangPavilion_00000115.jpg],5[TengwangPavilion_00000104.jpg],3[TengwangPavilion_00000242.jpg],5[TengwangPavilion_00000165.jpg],3[TengwangPavilion_00000221.jpg],5[TengwangPavilion_00000233.jpg],3[TengwangPavilion_00000232.jpg],3[TengwangPavilion_00000166.jpg],4[TengwangPavilion_00000057.jpg],5[TengwangPavilion_00000002.jpg],3[TengwangPavilion_00000193.jpg],3[TengwangPavilion_00000004.jpg],2[TengwangPavilion_00000091.jpg],3[TengwangPavilion_00000248.jpg],2[TengwangPavilion_00000003.jpg],3[TengwangPavilion_00000065.jpg],3[TengwangPavilion_00000102.jpg],3[TengwangPavilion_00000085.jpg],3[TengwangPavilion_00000249.jpg],3[TengwangPavilion_00000014.jpg],3[TengwangPavilion_00000063.jpg],3[TengwangPavilion_00000005.jpg],3[TengwangPavilion_00000000.jpg],2[TengwangPavilion_00000131.jpg],3[TengwangPavilion_00000150.jpg],3[TengwangPavilion_00000181.jpg],3[TengwangPavilion_00000138.jpg],4[TengwangPavilion_00000231.jpg],3[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",369J354OFE0RZG1TVTLEDL1YXR5G6J,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:14:16 PDT 2016","Sun Sep 25 07:17:09 PDT 2016",5[TengwangPavilion_00000188.jpg],5[TengwangPavilion_00000115.jpg],5[TengwangPavilion_00000104.jpg],5[TengwangPavilion_00000242.jpg],5[TengwangPavilion_00000165.jpg],5[TengwangPavilion_00000221.jpg],5[TengwangPavilion_00000233.jpg],5[TengwangPavilion_00000232.jpg],5[TengwangPavilion_00000166.jpg],5[TengwangPavilion_00000057.jpg],5[TengwangPavilion_00000002.jpg],5[TengwangPavilion_00000193.jpg],5[TengwangPavilion_00000004.jpg],5[TengwangPavilion_00000091.jpg],5[TengwangPavilion_00000248.jpg],5[TengwangPavilion_00000003.jpg],5[TengwangPavilion_00000065.jpg],5[TengwangPavilion_00000102.jpg],4[TengwangPavilion_00000085.jpg],5[TengwangPavilion_00000249.jpg],5[TengwangPavilion_00000014.jpg],5[TengwangPavilion_00000063.jpg],5[TengwangPavilion_00000005.jpg],5[TengwangPavilion_00000000.jpg],5[TengwangPavilion_00000131.jpg],5[TengwangPavilion_00000150.jpg],5[TengwangPavilion_00000181.jpg],5[TengwangPavilion_00000138.jpg],5[TengwangPavilion_00000231.jpg],5[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3ZV9H2YQQEXOZJ4BRWRYSLB2HO03W6,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 08:54:27 PDT 2016","Sun Sep 25 09:00:14 PDT 2016",2[TengwangPavilion_00000188.jpg],2[TengwangPavilion_00000115.jpg],3[TengwangPavilion_00000104.jpg],1[TengwangPavilion_00000242.jpg],2[TengwangPavilion_00000165.jpg],2[TengwangPavilion_00000221.jpg],3[TengwangPavilion_00000233.jpg],1[TengwangPavilion_00000232.jpg],1[TengwangPavilion_00000166.jpg],2[TengwangPavilion_00000057.jpg],3[TengwangPavilion_00000002.jpg],3[TengwangPavilion_00000193.jpg],3[TengwangPavilion_00000004.jpg],3[TengwangPavilion_00000091.jpg],2[TengwangPavilion_00000248.jpg],3[TengwangPavilion_00000003.jpg],2[TengwangPavilion_00000065.jpg],2[TengwangPavilion_00000102.jpg],2[TengwangPavilion_00000085.jpg],4[TengwangPavilion_00000249.jpg],4[TengwangPavilion_00000014.jpg],5[TengwangPavilion_00000063.jpg],1[TengwangPavilion_00000005.jpg],2[TengwangPavilion_00000000.jpg],2[TengwangPavilion_00000131.jpg],3[TengwangPavilion_00000150.jpg],2[TengwangPavilion_00000181.jpg],2[TengwangPavilion_00000138.jpg],2[TengwangPavilion_00000231.jpg],3[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3QXNC7EIPJLH6VS6FYZNC35KGBW09J,A311BTV53IKX3D,Approved,"Sun Sep 25 09:03:05 PDT 2016","Sun Sep 25 09:04:36 PDT 2016",3[TengwangPavilion_00000188.jpg],4[TengwangPavilion_00000115.jpg],3[TengwangPavilion_00000104.jpg],3[TengwangPavilion_00000242.jpg],4[TengwangPavilion_00000165.jpg],3[TengwangPavilion_00000221.jpg],5[TengwangPavilion_00000233.jpg],4[TengwangPavilion_00000232.jpg],4[TengwangPavilion_00000166.jpg],3[TengwangPavilion_00000057.jpg],4[TengwangPavilion_00000002.jpg],4[TengwangPavilion_00000193.jpg],3[TengwangPavilion_00000004.jpg],3[TengwangPavilion_00000091.jpg],3[TengwangPavilion_00000248.jpg],4[TengwangPavilion_00000003.jpg],4[TengwangPavilion_00000065.jpg],4[TengwangPavilion_00000102.jpg],3[TengwangPavilion_00000085.jpg],3[TengwangPavilion_00000249.jpg],3[TengwangPavilion_00000014.jpg],4[TengwangPavilion_00000063.jpg],3[TengwangPavilion_00000005.jpg],5[TengwangPavilion_00000000.jpg],5[TengwangPavilion_00000131.jpg],5[TengwangPavilion_00000150.jpg],4[TengwangPavilion_00000181.jpg],4[TengwangPavilion_00000138.jpg],4[TengwangPavilion_00000231.jpg],5[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3L6L49WXW1NF4W8VV998CQQVBRU45D,A1F2F5C9Z3D3RY,Approved,"Sun Sep 25 09:26:46 PDT 2016","Sun Sep 25 09:31:18 PDT 2016",4[TengwangPavilion_00000188.jpg],3[TengwangPavilion_00000115.jpg],4[TengwangPavilion_00000104.jpg],4[TengwangPavilion_00000242.jpg],4[TengwangPavilion_00000165.jpg],3[TengwangPavilion_00000221.jpg],4[TengwangPavilion_00000233.jpg],3[TengwangPavilion_00000232.jpg],1[TengwangPavilion_00000166.jpg],4[TengwangPavilion_00000057.jpg],3[TengwangPavilion_00000002.jpg],2[TengwangPavilion_00000193.jpg],1[TengwangPavilion_00000004.jpg],2[TengwangPavilion_00000091.jpg],4[TengwangPavilion_00000248.jpg],3[TengwangPavilion_00000003.jpg],3[TengwangPavilion_00000065.jpg],3[TengwangPavilion_00000102.jpg],2[TengwangPavilion_00000085.jpg],3[TengwangPavilion_00000249.jpg],1[TengwangPavilion_00000014.jpg],1[TengwangPavilion_00000063.jpg],2[TengwangPavilion_00000005.jpg],3[TengwangPavilion_00000000.jpg],3[TengwangPavilion_00000131.jpg],2[TengwangPavilion_00000150.jpg],1[TengwangPavilion_00000181.jpg],4[TengwangPavilion_00000138.jpg],4[TengwangPavilion_00000231.jpg],2[TengwangPavilion_00000146.jpg],
3P520RYKCHWCZA4HKCVP0AT48JX5UZ,"TengwangPavilion_0-29","sample#command",3QBD8R3Z2291C6ED0O57LWQMSN2O47,A2UFHATEG76AO5,Approved,"Sun Sep 25 10:07:12 PDT 2016","Sun Sep 25 10:11:07 PDT 2016",4[TengwangPavilion_00000188.jpg],3[TengwangPavilion_00000115.jpg],2[TengwangPavilion_00000104.jpg],2[TengwangPavilion_00000242.jpg],3[TengwangPavilion_00000165.jpg],1[TengwangPavilion_00000221.jpg],3[TengwangPavilion_00000233.jpg],4[TengwangPavilion_00000232.jpg],2[TengwangPavilion_00000166.jpg],3[TengwangPavilion_00000057.jpg],4[TengwangPavilion_00000002.jpg],2[TengwangPavilion_00000193.jpg],2[TengwangPavilion_00000004.jpg],2[TengwangPavilion_00000091.jpg],3[TengwangPavilion_00000248.jpg],5[TengwangPavilion_00000003.jpg],2[TengwangPavilion_00000065.jpg],2[TengwangPavilion_00000102.jpg],1[TengwangPavilion_00000085.jpg],2[TengwangPavilion_00000249.jpg],1[TengwangPavilion_00000014.jpg],2[TengwangPavilion_00000063.jpg],1[TengwangPavilion_00000005.jpg],3[TengwangPavilion_00000000.jpg],3[TengwangPavilion_00000131.jpg],3[TengwangPavilion_00000150.jpg],2[TengwangPavilion_00000181.jpg],1[TengwangPavilion_00000138.jpg],2[TengwangPavilion_00000231.jpg],1[TengwangPavilion_00000146.jpg],
