HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",37Q970SNZFYZIZ9NKN3E73TKDR71SE,A1I7ACFIU8U11J,Approved,"Sun Sep 25 01:11:43 PDT 2016","Sun Sep 25 01:14:41 PDT 2016",5[TengwangPavilion_00000042.jpg],4[TengwangPavilion_00000046.jpg],4[TengwangPavilion_00000156.jpg],3[TengwangPavilion_00000028.jpg],2[TengwangPavilion_00000069.jpg],1[TengwangPavilion_00000070.jpg],4[TengwangPavilion_00000101.jpg],2[TengwangPavilion_00000172.jpg],1[TengwangPavilion_00000149.jpg],5[TengwangPavilion_00000080.jpg],4[TengwangPavilion_00000053.jpg],3[TengwangPavilion_00000043.jpg],2[TengwangPavilion_00000111.jpg],3[TengwangPavilion_00000109.jpg],2[TengwangPavilion_00000077.jpg],4[TengwangPavilion_00000060.jpg],4[TengwangPavilion_00000058.jpg],3[TengwangPavilion_00000017.jpg],5[TengwangPavilion_00000016.jpg],2[TengwangPavilion_00000019.jpg],4[TengwangPavilion_00000234.jpg],3[TengwangPavilion_00000038.jpg],1[TengwangPavilion_00000220.jpg],3[TengwangPavilion_00000036.jpg],1[TengwangPavilion_00000167.jpg],4[TengwangPavilion_00000037.jpg],2[TengwangPavilion_00000062.jpg],2[TengwangPavilion_00000040.jpg],4[TengwangPavilion_00000056.jpg],3[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3BXQMRHWK0OCT1NG2EHC6WZBWZMUMU,A22JTMBADARX55,Approved,"Sun Sep 25 01:15:10 PDT 2016","Sun Sep 25 01:17:49 PDT 2016",4[TengwangPavilion_00000042.jpg],4[TengwangPavilion_00000046.jpg],5[TengwangPavilion_00000156.jpg],4[TengwangPavilion_00000028.jpg],3[TengwangPavilion_00000069.jpg],4[TengwangPavilion_00000070.jpg],3[TengwangPavilion_00000101.jpg],3[TengwangPavilion_00000172.jpg],2[TengwangPavilion_00000149.jpg],3[TengwangPavilion_00000080.jpg],3[TengwangPavilion_00000053.jpg],4[TengwangPavilion_00000043.jpg],4[TengwangPavilion_00000111.jpg],4[TengwangPavilion_00000109.jpg],4[TengwangPavilion_00000077.jpg],4[TengwangPavilion_00000060.jpg],4[TengwangPavilion_00000058.jpg],4[TengwangPavilion_00000017.jpg],4[TengwangPavilion_00000016.jpg],4[TengwangPavilion_00000019.jpg],4[TengwangPavilion_00000234.jpg],3[TengwangPavilion_00000038.jpg],3[TengwangPavilion_00000220.jpg],3[TengwangPavilion_00000036.jpg],3[TengwangPavilion_00000167.jpg],4[TengwangPavilion_00000037.jpg],2[TengwangPavilion_00000062.jpg],2[TengwangPavilion_00000040.jpg],3[TengwangPavilion_00000056.jpg],4[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3YGXWBAF71703HHAAJWGQWW538W4C1,ASY5AZCZEM04L,Approved,"Sun Sep 25 01:49:02 PDT 2016","Sun Sep 25 02:05:04 PDT 2016",5[TengwangPavilion_00000042.jpg],5[TengwangPavilion_00000046.jpg],5[TengwangPavilion_00000156.jpg],5[TengwangPavilion_00000028.jpg],5[TengwangPavilion_00000069.jpg],5[TengwangPavilion_00000070.jpg],5[TengwangPavilion_00000101.jpg],5[TengwangPavilion_00000172.jpg],5[TengwangPavilion_00000149.jpg],5[TengwangPavilion_00000080.jpg],5[TengwangPavilion_00000053.jpg],5[TengwangPavilion_00000043.jpg],5[TengwangPavilion_00000111.jpg],5[TengwangPavilion_00000109.jpg],5[TengwangPavilion_00000077.jpg],5[TengwangPavilion_00000060.jpg],5[TengwangPavilion_00000058.jpg],5[TengwangPavilion_00000017.jpg],5[TengwangPavilion_00000016.jpg],5[TengwangPavilion_00000019.jpg],5[TengwangPavilion_00000234.jpg],5[TengwangPavilion_00000038.jpg],5[TengwangPavilion_00000220.jpg],5[TengwangPavilion_00000036.jpg],5[TengwangPavilion_00000167.jpg],5[TengwangPavilion_00000037.jpg],5[TengwangPavilion_00000062.jpg],5[TengwangPavilion_00000040.jpg],5[TengwangPavilion_00000056.jpg],5[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3M68NM076IXIO6A7B4FQCPF5Z07R6H,A2HVUJSA0VSK4D,Approved,"Sun Sep 25 02:52:32 PDT 2016","Sun Sep 25 02:53:52 PDT 2016",3[TengwangPavilion_00000042.jpg],4[TengwangPavilion_00000046.jpg],3[TengwangPavilion_00000156.jpg],3[TengwangPavilion_00000028.jpg],4[TengwangPavilion_00000069.jpg],4[TengwangPavilion_00000070.jpg],2[TengwangPavilion_00000101.jpg],3[TengwangPavilion_00000172.jpg],3[TengwangPavilion_00000149.jpg],3[TengwangPavilion_00000080.jpg],3[TengwangPavilion_00000053.jpg],3[TengwangPavilion_00000043.jpg],3[TengwangPavilion_00000111.jpg],3[TengwangPavilion_00000109.jpg],3[TengwangPavilion_00000077.jpg],4[TengwangPavilion_00000060.jpg],4[TengwangPavilion_00000058.jpg],4[TengwangPavilion_00000017.jpg],5[TengwangPavilion_00000016.jpg],2[TengwangPavilion_00000019.jpg],2[TengwangPavilion_00000234.jpg],3[TengwangPavilion_00000038.jpg],2[TengwangPavilion_00000220.jpg],5[TengwangPavilion_00000036.jpg],4[TengwangPavilion_00000167.jpg],2[TengwangPavilion_00000037.jpg],1[TengwangPavilion_00000062.jpg],2[TengwangPavilion_00000040.jpg],3[TengwangPavilion_00000056.jpg],2[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3AMYWKA6YCCFRTIRJCYMIUA0ODO6OO,A99QRHR8P2UHN,Approved,"Sun Sep 25 03:03:14 PDT 2016","Sun Sep 25 03:11:11 PDT 2016",2[TengwangPavilion_00000042.jpg],4[TengwangPavilion_00000046.jpg],4[TengwangPavilion_00000156.jpg],4[TengwangPavilion_00000028.jpg],4[TengwangPavilion_00000069.jpg],3[TengwangPavilion_00000070.jpg],3[TengwangPavilion_00000101.jpg],3[TengwangPavilion_00000172.jpg],4[TengwangPavilion_00000149.jpg],4[TengwangPavilion_00000080.jpg],4[TengwangPavilion_00000053.jpg],4[TengwangPavilion_00000043.jpg],4[TengwangPavilion_00000111.jpg],4[TengwangPavilion_00000109.jpg],3[TengwangPavilion_00000077.jpg],2[TengwangPavilion_00000060.jpg],2[TengwangPavilion_00000058.jpg],2[TengwangPavilion_00000017.jpg],3[TengwangPavilion_00000016.jpg],3[TengwangPavilion_00000019.jpg],3[TengwangPavilion_00000234.jpg],3[TengwangPavilion_00000038.jpg],2[TengwangPavilion_00000220.jpg],2[TengwangPavilion_00000036.jpg],2[TengwangPavilion_00000167.jpg],2[TengwangPavilion_00000037.jpg],3[TengwangPavilion_00000062.jpg],3[TengwangPavilion_00000040.jpg],3[TengwangPavilion_00000056.jpg],2[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3K2755HG5TTK6PKDUWNA16BEDYMFD5,A27OERB5Z7SH30,Approved,"Sun Sep 25 04:30:34 PDT 2016","Sun Sep 25 04:32:59 PDT 2016",5[TengwangPavilion_00000042.jpg],3[TengwangPavilion_00000046.jpg],3[TengwangPavilion_00000156.jpg],4[TengwangPavilion_00000028.jpg],3[TengwangPavilion_00000069.jpg],3[TengwangPavilion_00000070.jpg],4[TengwangPavilion_00000101.jpg],2[TengwangPavilion_00000172.jpg],3[TengwangPavilion_00000149.jpg],5[TengwangPavilion_00000080.jpg],4[TengwangPavilion_00000053.jpg],5[TengwangPavilion_00000043.jpg],3[TengwangPavilion_00000111.jpg],3[TengwangPavilion_00000109.jpg],4[TengwangPavilion_00000077.jpg],4[TengwangPavilion_00000060.jpg],3[TengwangPavilion_00000058.jpg],3[TengwangPavilion_00000017.jpg],4[TengwangPavilion_00000016.jpg],2[TengwangPavilion_00000019.jpg],5[TengwangPavilion_00000234.jpg],2[TengwangPavilion_00000038.jpg],2[TengwangPavilion_00000220.jpg],2[TengwangPavilion_00000036.jpg],4[TengwangPavilion_00000167.jpg],3[TengwangPavilion_00000037.jpg],2[TengwangPavilion_00000062.jpg],2[TengwangPavilion_00000040.jpg],2[TengwangPavilion_00000056.jpg],2[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3JW0YLFXRU6LQH6Z1G20XIMZFHJWWU,A1EYJAU40QZ4ZB,Approved,"Sun Sep 25 05:36:24 PDT 2016","Sun Sep 25 05:38:14 PDT 2016",5[TengwangPavilion_00000042.jpg],3[TengwangPavilion_00000046.jpg],2[TengwangPavilion_00000156.jpg],4[TengwangPavilion_00000028.jpg],2[TengwangPavilion_00000069.jpg],2[TengwangPavilion_00000070.jpg],3[TengwangPavilion_00000101.jpg],4[TengwangPavilion_00000172.jpg],4[TengwangPavilion_00000149.jpg],4[TengwangPavilion_00000080.jpg],3[TengwangPavilion_00000053.jpg],4[TengwangPavilion_00000043.jpg],2[TengwangPavilion_00000111.jpg],4[TengwangPavilion_00000109.jpg],3[TengwangPavilion_00000077.jpg],4[TengwangPavilion_00000060.jpg],5[TengwangPavilion_00000058.jpg],1[TengwangPavilion_00000017.jpg],5[TengwangPavilion_00000016.jpg],2[TengwangPavilion_00000019.jpg],5[TengwangPavilion_00000234.jpg],3[TengwangPavilion_00000038.jpg],1[TengwangPavilion_00000220.jpg],3[TengwangPavilion_00000036.jpg],4[TengwangPavilion_00000167.jpg],3[TengwangPavilion_00000037.jpg],1[TengwangPavilion_00000062.jpg],4[TengwangPavilion_00000040.jpg],2[TengwangPavilion_00000056.jpg],4[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3X3OR7WPZ0QUPMYIZZFSAR2XZ3H8L3,AWQDOOSNH42QM,Approved,"Sun Sep 25 07:11:29 PDT 2016","Sun Sep 25 07:13:43 PDT 2016",5[TengwangPavilion_00000042.jpg],5[TengwangPavilion_00000046.jpg],5[TengwangPavilion_00000156.jpg],5[TengwangPavilion_00000028.jpg],5[TengwangPavilion_00000069.jpg],5[TengwangPavilion_00000070.jpg],5[TengwangPavilion_00000101.jpg],4[TengwangPavilion_00000172.jpg],5[TengwangPavilion_00000149.jpg],5[TengwangPavilion_00000080.jpg],5[TengwangPavilion_00000053.jpg],5[TengwangPavilion_00000043.jpg],5[TengwangPavilion_00000111.jpg],5[TengwangPavilion_00000109.jpg],4[TengwangPavilion_00000077.jpg],5[TengwangPavilion_00000060.jpg],5[TengwangPavilion_00000058.jpg],5[TengwangPavilion_00000017.jpg],5[TengwangPavilion_00000016.jpg],5[TengwangPavilion_00000019.jpg],5[TengwangPavilion_00000234.jpg],5[TengwangPavilion_00000038.jpg],5[TengwangPavilion_00000220.jpg],5[TengwangPavilion_00000036.jpg],5[TengwangPavilion_00000167.jpg],5[TengwangPavilion_00000037.jpg],5[TengwangPavilion_00000062.jpg],5[TengwangPavilion_00000040.jpg],5[TengwangPavilion_00000056.jpg],5[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3VELCLL3GL9QEU41E33F04A5O2B1FV,A3JV3LY46QZJMB,Approved,"Sun Sep 25 11:48:11 PDT 2016","Sun Sep 25 11:50:24 PDT 2016",4[TengwangPavilion_00000042.jpg],4[TengwangPavilion_00000046.jpg],3[TengwangPavilion_00000156.jpg],4[TengwangPavilion_00000028.jpg],2[TengwangPavilion_00000069.jpg],1[TengwangPavilion_00000070.jpg],5[TengwangPavilion_00000101.jpg],2[TengwangPavilion_00000172.jpg],4[TengwangPavilion_00000149.jpg],4[TengwangPavilion_00000080.jpg],4[TengwangPavilion_00000053.jpg],5[TengwangPavilion_00000043.jpg],4[TengwangPavilion_00000111.jpg],5[TengwangPavilion_00000109.jpg],2[TengwangPavilion_00000077.jpg],1[TengwangPavilion_00000060.jpg],1[TengwangPavilion_00000058.jpg],2[TengwangPavilion_00000017.jpg],2[TengwangPavilion_00000016.jpg],1[TengwangPavilion_00000019.jpg],5[TengwangPavilion_00000234.jpg],1[TengwangPavilion_00000038.jpg],2[TengwangPavilion_00000220.jpg],4[TengwangPavilion_00000036.jpg],1[TengwangPavilion_00000167.jpg],2[TengwangPavilion_00000037.jpg],1[TengwangPavilion_00000062.jpg],4[TengwangPavilion_00000040.jpg],4[TengwangPavilion_00000056.jpg],5[TengwangPavilion_00000171.jpg],
3VCK0Q0PO5409DY7Q5DR5K5JJFT0NH,"TengwangPavilion_90-119","sample#command",3TE3O85731YU65R6O23NMCYTJW3R20,A1FBDDM9NKAHI7,Approved,"Sun Sep 25 12:53:29 PDT 2016","Sun Sep 25 12:56:20 PDT 2016",4[TengwangPavilion_00000042.jpg],2[TengwangPavilion_00000046.jpg],1[TengwangPavilion_00000156.jpg],3[TengwangPavilion_00000028.jpg],2[TengwangPavilion_00000069.jpg],1[TengwangPavilion_00000070.jpg],1[TengwangPavilion_00000101.jpg],2[TengwangPavilion_00000172.jpg],4[TengwangPavilion_00000149.jpg],3[TengwangPavilion_00000080.jpg],3[TengwangPavilion_00000053.jpg],3[TengwangPavilion_00000043.jpg],2[TengwangPavilion_00000111.jpg],2[TengwangPavilion_00000109.jpg],2[TengwangPavilion_00000077.jpg],3[TengwangPavilion_00000060.jpg],3[TengwangPavilion_00000058.jpg],3[TengwangPavilion_00000017.jpg],4[TengwangPavilion_00000016.jpg],2[TengwangPavilion_00000019.jpg],2[TengwangPavilion_00000234.jpg],1[TengwangPavilion_00000038.jpg],1[TengwangPavilion_00000220.jpg],2[TengwangPavilion_00000036.jpg],2[TengwangPavilion_00000167.jpg],2[TengwangPavilion_00000037.jpg],1[TengwangPavilion_00000062.jpg],5[TengwangPavilion_00000040.jpg],2[TengwangPavilion_00000056.jpg],1[TengwangPavilion_00000171.jpg],
