HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3SKRO2GZ71S48UUZUOCBK03RZ4B1K2,A1I7ACFIU8U11J,Approved,"Wed Apr 20 07:46:05 PDT 2016","Wed Apr 20 07:48:05 PDT 2016",5[bigben/img0839.jpg],2[bigben/img0384.jpg],3[bigben/img0311.jpg],3[bigben/img0798.jpg],5[bigben/img0428.jpg],1[bigben/img0948.jpg],4[bigben/img0673.jpg],5[bigben/img0570.jpg],5[bigben/img0475.jpg],4[bigben/img1128.jpg],3[bigben/img0028.jpg],3[bigben/img0982.jpg],3[bigben/img0198.jpg],4[bigben/img0959.jpg],1[bigben/img1131.jpg],4[bigben/img0867.jpg],2[bigben/img1048.jpg],1[bigben/img0094.jpg],4[bigben/img1204.jpg],4[bigben/img0522.jpg],4[bigben/img0002.jpg],5[bigben/img0029.jpg],4[bigben/img0694.jpg],4[bigben/img0936.jpg],4[bigben/img0326.jpg],4[bigben/img0290.jpg],4[bigben/img0404.jpg],5[bigben/img0635.jpg],3[bigben/img0829.jpg],4[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3JZQSN0I3QBQWNSOBW6HBAFSTZPFGU,A39BR7NYRDWC01,Approved,"Wed Apr 20 14:00:42 PDT 2016","Wed Apr 20 14:02:53 PDT 2016",5[bigben/img0839.jpg],5[bigben/img0384.jpg],5[bigben/img0311.jpg],5[bigben/img0798.jpg],5[bigben/img0428.jpg],5[bigben/img0948.jpg],5[bigben/img0673.jpg],5[bigben/img0570.jpg],5[bigben/img0475.jpg],5[bigben/img1128.jpg],5[bigben/img0028.jpg],5[bigben/img0982.jpg],3[bigben/img0198.jpg],3[bigben/img0959.jpg],2[bigben/img1131.jpg],5[bigben/img0867.jpg],5[bigben/img1048.jpg],5[bigben/img0094.jpg],5[bigben/img1204.jpg],5[bigben/img0522.jpg],5[bigben/img0002.jpg],4[bigben/img0029.jpg],4[bigben/img0694.jpg],4[bigben/img0936.jpg],4[bigben/img0326.jpg],4[bigben/img0290.jpg],5[bigben/img0404.jpg],5[bigben/img0635.jpg],5[bigben/img0829.jpg],4[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",39K0FND3AHGVS672BJIKAEOYS6RAMP,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:36:08 PDT 2016","Wed Apr 20 18:48:06 PDT 2016",4[bigben/img0839.jpg],4[bigben/img0384.jpg],4[bigben/img0311.jpg],4[bigben/img0798.jpg],4[bigben/img0428.jpg],4[bigben/img0948.jpg],5[bigben/img0673.jpg],4[bigben/img0570.jpg],5[bigben/img0475.jpg],4[bigben/img1128.jpg],4[bigben/img0028.jpg],4[bigben/img0982.jpg],3[bigben/img0198.jpg],4[bigben/img0959.jpg],3[bigben/img1131.jpg],5[bigben/img0867.jpg],4[bigben/img1048.jpg],5[bigben/img0094.jpg],5[bigben/img1204.jpg],4[bigben/img0522.jpg],4[bigben/img0002.jpg],5[bigben/img0029.jpg],4[bigben/img0694.jpg],4[bigben/img0936.jpg],4[bigben/img0326.jpg],4[bigben/img0290.jpg],4[bigben/img0404.jpg],4[bigben/img0635.jpg],4[bigben/img0829.jpg],4[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3E47SOBEYQXXP2E9AIGJOG75B0ZCIK,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 20:00:31 PDT 2016","Wed Apr 20 20:07:23 PDT 2016",4[bigben/img0839.jpg],4[bigben/img0384.jpg],5[bigben/img0311.jpg],4[bigben/img0798.jpg],5[bigben/img0428.jpg],5[bigben/img0948.jpg],5[bigben/img0673.jpg],5[bigben/img0570.jpg],4[bigben/img0475.jpg],5[bigben/img1128.jpg],4[bigben/img0028.jpg],3[bigben/img0982.jpg],5[bigben/img0198.jpg],4[bigben/img0959.jpg],4[bigben/img1131.jpg],5[bigben/img0867.jpg],4[bigben/img1048.jpg],4[bigben/img0094.jpg],4[bigben/img1204.jpg],5[bigben/img0522.jpg],4[bigben/img0002.jpg],5[bigben/img0029.jpg],4[bigben/img0694.jpg],5[bigben/img0936.jpg],5[bigben/img0326.jpg],4[bigben/img0290.jpg],5[bigben/img0404.jpg],4[bigben/img0635.jpg],5[bigben/img0829.jpg],3[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",30MVJZJNHMERMFRCGGRSYRLXIV4J97,A3HU036FFRA7TQ,Approved,"Thu Apr 21 08:35:22 PDT 2016","Thu Apr 21 08:36:47 PDT 2016",3[bigben/img0839.jpg],1[bigben/img0384.jpg],3[bigben/img0311.jpg],3[bigben/img0798.jpg],2[bigben/img0428.jpg],3[bigben/img0948.jpg],2[bigben/img0673.jpg],3[bigben/img0570.jpg],4[bigben/img0475.jpg],1[bigben/img1128.jpg],5[bigben/img0028.jpg],3[bigben/img0982.jpg],3[bigben/img0198.jpg],2[bigben/img0959.jpg],1[bigben/img1131.jpg],2[bigben/img0867.jpg],2[bigben/img1048.jpg],3[bigben/img0094.jpg],4[bigben/img1204.jpg],2[bigben/img0522.jpg],3[bigben/img0002.jpg],4[bigben/img0029.jpg],2[bigben/img0694.jpg],3[bigben/img0936.jpg],3[bigben/img0326.jpg],3[bigben/img0290.jpg],2[bigben/img0404.jpg],2[bigben/img0635.jpg],3[bigben/img0829.jpg],1[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3XXU1SWE8MWYPS0VMEVMCHHLQ8O0AD,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:43:26 PDT 2016","Thu Apr 21 22:44:15 PDT 2016",5[bigben/img0839.jpg],5[bigben/img0384.jpg],5[bigben/img0311.jpg],5[bigben/img0798.jpg],5[bigben/img0428.jpg],5[bigben/img0948.jpg],5[bigben/img0673.jpg],5[bigben/img0570.jpg],5[bigben/img0475.jpg],5[bigben/img1128.jpg],5[bigben/img0028.jpg],5[bigben/img0982.jpg],5[bigben/img0198.jpg],5[bigben/img0959.jpg],5[bigben/img1131.jpg],5[bigben/img0867.jpg],5[bigben/img1048.jpg],5[bigben/img0094.jpg],5[bigben/img1204.jpg],5[bigben/img0522.jpg],5[bigben/img0002.jpg],5[bigben/img0029.jpg],5[bigben/img0694.jpg],5[bigben/img0936.jpg],5[bigben/img0326.jpg],5[bigben/img0290.jpg],5[bigben/img0404.jpg],5[bigben/img0635.jpg],5[bigben/img0829.jpg],5[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3FFJ6VRIL1PDVAJTY2NZTF543GXI03,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:15:23 PDT 2016","Fri Apr 22 00:23:58 PDT 2016",2[bigben/img0839.jpg],4[bigben/img0384.jpg],5[bigben/img0311.jpg],5[bigben/img0798.jpg],5[bigben/img0428.jpg],4[bigben/img0948.jpg],5[bigben/img0673.jpg],5[bigben/img0570.jpg],5[bigben/img0475.jpg],5[bigben/img1128.jpg],5[bigben/img0028.jpg],5[bigben/img0982.jpg],5[bigben/img0198.jpg],1[bigben/img0959.jpg],5[bigben/img1131.jpg],5[bigben/img0867.jpg],5[bigben/img1048.jpg],5[bigben/img0094.jpg],5[bigben/img1204.jpg],4[bigben/img0522.jpg],4[bigben/img0002.jpg],4[bigben/img0029.jpg],5[bigben/img0694.jpg],4[bigben/img0936.jpg],4[bigben/img0326.jpg],5[bigben/img0290.jpg],5[bigben/img0404.jpg],5[bigben/img0635.jpg],5[bigben/img0829.jpg],5[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3U5NZHP4LR3GNWCT95K4845XBB9PH3,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:23:32 PDT 2016","Fri Apr 22 05:24:53 PDT 2016",4[bigben/img0839.jpg],5[bigben/img0384.jpg],3[bigben/img0311.jpg],3[bigben/img0798.jpg],1[bigben/img0428.jpg],1[bigben/img0948.jpg],4[bigben/img0673.jpg],5[bigben/img0570.jpg],2[bigben/img0475.jpg],2[bigben/img1128.jpg],3[bigben/img0028.jpg],2[bigben/img0982.jpg],2[bigben/img0198.jpg],2[bigben/img0959.jpg],1[bigben/img1131.jpg],2[bigben/img0867.jpg],2[bigben/img1048.jpg],3[bigben/img0094.jpg],5[bigben/img1204.jpg],3[bigben/img0522.jpg],5[bigben/img0002.jpg],4[bigben/img0029.jpg],3[bigben/img0694.jpg],3[bigben/img0936.jpg],5[bigben/img0326.jpg],4[bigben/img0290.jpg],3[bigben/img0404.jpg],3[bigben/img0635.jpg],1[bigben/img0829.jpg],3[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3DI28L7YXAF1MU2PY218M5QMGHPE1Q,A1THAMCEQDOKNU,Approved,"Fri Apr 22 13:04:18 PDT 2016","Fri Apr 22 13:07:09 PDT 2016",4[bigben/img0839.jpg],3[bigben/img0384.jpg],4[bigben/img0311.jpg],5[bigben/img0798.jpg],2[bigben/img0428.jpg],2[bigben/img0948.jpg],5[bigben/img0673.jpg],4[bigben/img0570.jpg],5[bigben/img0475.jpg],5[bigben/img1128.jpg],3[bigben/img0028.jpg],2[bigben/img0982.jpg],1[bigben/img0198.jpg],3[bigben/img0959.jpg],2[bigben/img1131.jpg],2[bigben/img0867.jpg],2[bigben/img1048.jpg],1[bigben/img0094.jpg],1[bigben/img1204.jpg],5[bigben/img0522.jpg],4[bigben/img0002.jpg],5[bigben/img0029.jpg],5[bigben/img0694.jpg],5[bigben/img0936.jpg],3[bigben/img0326.jpg],3[bigben/img0290.jpg],2[bigben/img0404.jpg],3[bigben/img0635.jpg],4[bigben/img0829.jpg],4[bigben/img0706.jpg],
30UZJB2POHDUDUPHK3HNIK3OQPT35E,"bigben_360-389","sample#command",3GNA64GUZE5P7FTD8GYKJCSHB125QX,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:35:35 PDT 2016","Fri Apr 22 20:36:47 PDT 2016",3[bigben/img0839.jpg],3[bigben/img0384.jpg],3[bigben/img0311.jpg],4[bigben/img0798.jpg],4[bigben/img0428.jpg],4[bigben/img0948.jpg],4[bigben/img0673.jpg],4[bigben/img0570.jpg],4[bigben/img0475.jpg],4[bigben/img1128.jpg],4[bigben/img0028.jpg],4[bigben/img0982.jpg],4[bigben/img0198.jpg],4[bigben/img0959.jpg],4[bigben/img1131.jpg],3[bigben/img0867.jpg],3[bigben/img1048.jpg],3[bigben/img0094.jpg],2[bigben/img1204.jpg],3[bigben/img0522.jpg],2[bigben/img0002.jpg],3[bigben/img0029.jpg],2[bigben/img0694.jpg],3[bigben/img0936.jpg],2[bigben/img0326.jpg],3[bigben/img0290.jpg],2[bigben/img0404.jpg],3[bigben/img0635.jpg],4[bigben/img0829.jpg],2[bigben/img0706.jpg],
