HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3OWEPKL089DJRMU4GHL0D2B8WLJ7ND,A3V2D1W8ST7H27,Approved,"Wed Apr 20 08:15:43 PDT 2016","Wed Apr 20 08:18:00 PDT 2016",4[bigben/img0093.jpg],3[bigben/img1188.jpg],3[bigben/img1264.jpg],4[bigben/img0396.jpg],2[bigben/img0990.jpg],4[bigben/img0773.jpg],4[bigben/img0145.jpg],4[bigben/img0820.jpg],4[bigben/img0171.jpg],4[bigben/img0366.jpg],4[bigben/img0087.jpg],4[bigben/img1225.jpg],4[bigben/img0161.jpg],5[bigben/img0646.jpg],1[bigben/img0261.jpg],4[bigben/img1090.jpg],4[bigben/img1196.jpg],3[bigben/img1222.jpg],4[bigben/img0857.jpg],4[bigben/img0562.jpg],4[bigben/img0605.jpg],5[bigben/img0181.jpg],4[bigben/img0207.jpg],4[bigben/img1127.jpg],3[bigben/img0816.jpg],4[bigben/img0770.jpg],4[bigben/img0850.jpg],4[bigben/img0845.jpg],4[bigben/img0757.jpg],3[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3OVHNO1VE62TPK9XAIZG8HSDSBIZD5,A1XC5OV00MECKQ,Approved,"Wed Apr 20 11:13:13 PDT 2016","Wed Apr 20 11:15:28 PDT 2016",5[bigben/img0093.jpg],5[bigben/img1188.jpg],3[bigben/img1264.jpg],3[bigben/img0396.jpg],3[bigben/img0990.jpg],4[bigben/img0773.jpg],4[bigben/img0145.jpg],5[bigben/img0820.jpg],4[bigben/img0171.jpg],3[bigben/img0366.jpg],4[bigben/img0087.jpg],5[bigben/img1225.jpg],5[bigben/img0161.jpg],5[bigben/img0646.jpg],1[bigben/img0261.jpg],4[bigben/img1090.jpg],2[bigben/img1196.jpg],3[bigben/img1222.jpg],5[bigben/img0857.jpg],2[bigben/img0562.jpg],3[bigben/img0605.jpg],3[bigben/img0181.jpg],4[bigben/img0207.jpg],4[bigben/img1127.jpg],4[bigben/img0816.jpg],5[bigben/img0770.jpg],4[bigben/img0850.jpg],5[bigben/img0845.jpg],3[bigben/img0757.jpg],2[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3TOK3KHVJTJ197UGHWLDSRBDMXPO7E,A39BR7NYRDWC01,Approved,"Wed Apr 20 17:05:11 PDT 2016","Wed Apr 20 17:08:59 PDT 2016",5[bigben/img0093.jpg],4[bigben/img1188.jpg],4[bigben/img1264.jpg],4[bigben/img0396.jpg],5[bigben/img0990.jpg],4[bigben/img0773.jpg],4[bigben/img0145.jpg],3[bigben/img0820.jpg],4[bigben/img0171.jpg],4[bigben/img0366.jpg],5[bigben/img0087.jpg],5[bigben/img1225.jpg],5[bigben/img0161.jpg],5[bigben/img0646.jpg],4[bigben/img0261.jpg],4[bigben/img1090.jpg],5[bigben/img1196.jpg],4[bigben/img1222.jpg],5[bigben/img0857.jpg],4[bigben/img0562.jpg],4[bigben/img0605.jpg],4[bigben/img0181.jpg],4[bigben/img0207.jpg],4[bigben/img1127.jpg],4[bigben/img0816.jpg],5[bigben/img0770.jpg],4[bigben/img0850.jpg],5[bigben/img0845.jpg],4[bigben/img0757.jpg],5[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3LRKMWOKB5I6MABHDTFZCY19VMH2ZR,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:36:07 PDT 2016","Wed Apr 20 18:46:51 PDT 2016",4[bigben/img0093.jpg],4[bigben/img1188.jpg],4[bigben/img1264.jpg],4[bigben/img0396.jpg],4[bigben/img0990.jpg],4[bigben/img0773.jpg],5[bigben/img0145.jpg],4[bigben/img0820.jpg],4[bigben/img0171.jpg],4[bigben/img0366.jpg],4[bigben/img0087.jpg],4[bigben/img1225.jpg],4[bigben/img0161.jpg],4[bigben/img0646.jpg],3[bigben/img0261.jpg],4[bigben/img1090.jpg],4[bigben/img1196.jpg],4[bigben/img1222.jpg],4[bigben/img0857.jpg],4[bigben/img0562.jpg],4[bigben/img0605.jpg],4[bigben/img0181.jpg],4[bigben/img0207.jpg],4[bigben/img1127.jpg],4[bigben/img0816.jpg],4[bigben/img0770.jpg],4[bigben/img0850.jpg],4[bigben/img0845.jpg],4[bigben/img0757.jpg],4[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3AUQQEL7U5UIHG3TX9MI84VYADZ0VD,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 20:00:33 PDT 2016","Wed Apr 20 20:08:42 PDT 2016",4[bigben/img0093.jpg],5[bigben/img1188.jpg],4[bigben/img1264.jpg],5[bigben/img0396.jpg],4[bigben/img0990.jpg],5[bigben/img0773.jpg],4[bigben/img0145.jpg],5[bigben/img0820.jpg],5[bigben/img0171.jpg],4[bigben/img0366.jpg],5[bigben/img0087.jpg],5[bigben/img1225.jpg],4[bigben/img0161.jpg],3[bigben/img0646.jpg],2[bigben/img0261.jpg],5[bigben/img1090.jpg],5[bigben/img1196.jpg],3[bigben/img1222.jpg],4[bigben/img0857.jpg],5[bigben/img0562.jpg],5[bigben/img0605.jpg],5[bigben/img0181.jpg],4[bigben/img0207.jpg],5[bigben/img1127.jpg],4[bigben/img0816.jpg],5[bigben/img0770.jpg],4[bigben/img0850.jpg],5[bigben/img0845.jpg],4[bigben/img0757.jpg],3[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",36AHBNMV1RDTKUZSEWXXUAJBMK2YD7,A1ESKJFDQUMBL4,Approved,"Thu Apr 21 03:00:49 PDT 2016","Thu Apr 21 03:02:59 PDT 2016",3[bigben/img0093.jpg],3[bigben/img1188.jpg],2[bigben/img1264.jpg],2[bigben/img0396.jpg],4[bigben/img0990.jpg],3[bigben/img0773.jpg],3[bigben/img0145.jpg],2[bigben/img0820.jpg],4[bigben/img0171.jpg],2[bigben/img0366.jpg],2[bigben/img0087.jpg],3[bigben/img1225.jpg],3[bigben/img0161.jpg],4[bigben/img0646.jpg],3[bigben/img0261.jpg],4[bigben/img1090.jpg],3[bigben/img1196.jpg],3[bigben/img1222.jpg],3[bigben/img0857.jpg],2[bigben/img0562.jpg],4[bigben/img0605.jpg],2[bigben/img0181.jpg],3[bigben/img0207.jpg],3[bigben/img1127.jpg],2[bigben/img0816.jpg],4[bigben/img0770.jpg],3[bigben/img0850.jpg],3[bigben/img0845.jpg],4[bigben/img0757.jpg],4[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",32RIADZISS5JOC4QMF4F9K14TQA4SS,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:43:29 PDT 2016","Thu Apr 21 22:44:36 PDT 2016",5[bigben/img0093.jpg],5[bigben/img1188.jpg],5[bigben/img1264.jpg],5[bigben/img0396.jpg],5[bigben/img0990.jpg],5[bigben/img0773.jpg],5[bigben/img0145.jpg],5[bigben/img0820.jpg],5[bigben/img0171.jpg],5[bigben/img0366.jpg],5[bigben/img0087.jpg],5[bigben/img1225.jpg],5[bigben/img0161.jpg],5[bigben/img0646.jpg],5[bigben/img0261.jpg],5[bigben/img1090.jpg],5[bigben/img1196.jpg],5[bigben/img1222.jpg],5[bigben/img0857.jpg],5[bigben/img0562.jpg],5[bigben/img0605.jpg],5[bigben/img0181.jpg],5[bigben/img0207.jpg],5[bigben/img1127.jpg],5[bigben/img0816.jpg],5[bigben/img0770.jpg],5[bigben/img0850.jpg],5[bigben/img0845.jpg],5[bigben/img0757.jpg],5[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3JBT3HLQF832EHCNFRQB8B9271AZPN,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:17:01 PDT 2016","Fri Apr 22 00:29:22 PDT 2016",2[bigben/img0093.jpg],2[bigben/img1188.jpg],3[bigben/img1264.jpg],3[bigben/img0396.jpg],4[bigben/img0990.jpg],5[bigben/img0773.jpg],5[bigben/img0145.jpg],5[bigben/img0820.jpg],5[bigben/img0171.jpg],5[bigben/img0366.jpg],5[bigben/img0087.jpg],5[bigben/img1225.jpg],4[bigben/img0161.jpg],5[bigben/img0646.jpg],4[bigben/img0261.jpg],4[bigben/img1090.jpg],5[bigben/img1196.jpg],5[bigben/img1222.jpg],5[bigben/img0857.jpg],4[bigben/img0562.jpg],4[bigben/img0605.jpg],5[bigben/img0181.jpg],4[bigben/img0207.jpg],4[bigben/img1127.jpg],5[bigben/img0816.jpg],5[bigben/img0770.jpg],5[bigben/img0850.jpg],4[bigben/img0845.jpg],5[bigben/img0757.jpg],5[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",34QN5IT0TZSK647GPGB8GQBQ0K808T,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:25:16 PDT 2016","Fri Apr 22 05:26:34 PDT 2016",2[bigben/img0093.jpg],2[bigben/img1188.jpg],3[bigben/img1264.jpg],4[bigben/img0396.jpg],3[bigben/img0990.jpg],3[bigben/img0773.jpg],1[bigben/img0145.jpg],1[bigben/img0820.jpg],2[bigben/img0171.jpg],3[bigben/img0366.jpg],3[bigben/img0087.jpg],2[bigben/img1225.jpg],3[bigben/img0161.jpg],2[bigben/img0646.jpg],2[bigben/img0261.jpg],3[bigben/img1090.jpg],2[bigben/img1196.jpg],4[bigben/img1222.jpg],3[bigben/img0857.jpg],3[bigben/img0562.jpg],2[bigben/img0605.jpg],5[bigben/img0181.jpg],2[bigben/img0207.jpg],2[bigben/img1127.jpg],4[bigben/img0816.jpg],3[bigben/img0770.jpg],3[bigben/img0850.jpg],4[bigben/img0845.jpg],2[bigben/img0757.jpg],3[bigben/img0179.jpg],
378G7J1SJLZR0BKY5OLSRBKY1BNWEF,"bigben_150-179","sample#command",3YZ8UPK3VTN2YT994Z5X7JVG63UUCZ,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:18 PDT 2016","Fri Apr 22 20:38:49 PDT 2016",3[bigben/img0093.jpg],3[bigben/img1188.jpg],4[bigben/img1264.jpg],4[bigben/img0396.jpg],5[bigben/img0990.jpg],4[bigben/img0773.jpg],4[bigben/img0145.jpg],4[bigben/img0820.jpg],4[bigben/img0171.jpg],4[bigben/img0366.jpg],3[bigben/img0087.jpg],4[bigben/img1225.jpg],3[bigben/img0161.jpg],4[bigben/img0646.jpg],3[bigben/img0261.jpg],4[bigben/img1090.jpg],4[bigben/img1196.jpg],3[bigben/img1222.jpg],3[bigben/img0857.jpg],2[bigben/img0562.jpg],2[bigben/img0605.jpg],2[bigben/img0181.jpg],2[bigben/img0207.jpg],2[bigben/img1127.jpg],2[bigben/img0816.jpg],2[bigben/img0770.jpg],3[bigben/img0850.jpg],2[bigben/img0845.jpg],2[bigben/img0757.jpg],2[bigben/img0179.jpg],
