HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",358010RM5EUQE6940LBPHII9KJ8VXP,A39BR7NYRDWC01,Approved,"Wed Apr 20 13:55:18 PDT 2016","Wed Apr 20 13:57:39 PDT 2016",4[bigben/img1063.jpg],5[bigben/img0474.jpg],4[bigben/img0752.jpg],3[bigben/img0762.jpg],4[bigben/img0364.jpg],5[bigben/img0642.jpg],3[bigben/img1012.jpg],3[bigben/img0560.jpg],5[bigben/img0476.jpg],5[bigben/img0415.jpg],5[bigben/img1039.jpg],5[bigben/img0533.jpg],4[bigben/img0689.jpg],5[bigben/img0833.jpg],5[bigben/img1149.jpg],5[bigben/img1056.jpg],4[bigben/img1239.jpg],5[bigben/img0420.jpg],4[bigben/img1143.jpg],5[bigben/img1122.jpg],3[bigben/img0043.jpg],5[bigben/img0737.jpg],4[bigben/img0937.jpg],5[bigben/img0535.jpg],5[bigben/img0255.jpg],5[bigben/img0575.jpg],5[bigben/img0462.jpg],5[bigben/img0017.jpg],5[bigben/img1107.jpg],5[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3B1NLC6UGZX2N0HIPZ2MN4TWV6FGP3,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:37:43 PDT 2016","Wed Apr 20 19:00:34 PDT 2016",5[bigben/img1063.jpg],5[bigben/img0474.jpg],4[bigben/img0752.jpg],4[bigben/img0762.jpg],4[bigben/img0364.jpg],4[bigben/img0642.jpg],4[bigben/img1012.jpg],4[bigben/img0560.jpg],4[bigben/img0476.jpg],4[bigben/img0415.jpg],4[bigben/img1039.jpg],4[bigben/img0533.jpg],4[bigben/img0689.jpg],4[bigben/img0833.jpg],4[bigben/img1149.jpg],5[bigben/img1056.jpg],4[bigben/img1239.jpg],4[bigben/img0420.jpg],4[bigben/img1143.jpg],4[bigben/img1122.jpg],4[bigben/img0043.jpg],4[bigben/img0737.jpg],4[bigben/img0937.jpg],5[bigben/img0535.jpg],4[bigben/img0255.jpg],5[bigben/img0575.jpg],5[bigben/img0462.jpg],4[bigben/img0017.jpg],4[bigben/img1107.jpg],4[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",392CY0QWG1SUUY1UH3A15IVHJNHI4C,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 19:45:21 PDT 2016","Wed Apr 20 19:59:01 PDT 2016",5[bigben/img1063.jpg],5[bigben/img0474.jpg],4[bigben/img0752.jpg],5[bigben/img0762.jpg],4[bigben/img0364.jpg],5[bigben/img0642.jpg],4[bigben/img1012.jpg],5[bigben/img0560.jpg],4[bigben/img0476.jpg],5[bigben/img0415.jpg],4[bigben/img1039.jpg],4[bigben/img0533.jpg],5[bigben/img0689.jpg],4[bigben/img0833.jpg],5[bigben/img1149.jpg],4[bigben/img1056.jpg],5[bigben/img1239.jpg],5[bigben/img0420.jpg],5[bigben/img1143.jpg],4[bigben/img1122.jpg],4[bigben/img0043.jpg],5[bigben/img0737.jpg],5[bigben/img0937.jpg],4[bigben/img0535.jpg],5[bigben/img0255.jpg],4[bigben/img0575.jpg],5[bigben/img0462.jpg],4[bigben/img0017.jpg],5[bigben/img1107.jpg],4[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",32XVDSJFPZY6N3CYY4P54W50GIOM2J,A39J5RLVDTM6SM,Approved,"Wed Apr 20 23:12:33 PDT 2016","Wed Apr 20 23:19:11 PDT 2016",4[bigben/img1063.jpg],4[bigben/img0474.jpg],4[bigben/img0752.jpg],4[bigben/img0762.jpg],4[bigben/img0364.jpg],5[bigben/img0642.jpg],4[bigben/img1012.jpg],4[bigben/img0560.jpg],4[bigben/img0476.jpg],2[bigben/img0415.jpg],3[bigben/img1039.jpg],3[bigben/img0533.jpg],4[bigben/img0689.jpg],4[bigben/img0833.jpg],3[bigben/img1149.jpg],4[bigben/img1056.jpg],5[bigben/img1239.jpg],4[bigben/img0420.jpg],4[bigben/img1143.jpg],3[bigben/img1122.jpg],4[bigben/img0043.jpg],4[bigben/img0737.jpg],3[bigben/img0937.jpg],3[bigben/img0535.jpg],4[bigben/img0255.jpg],2[bigben/img0575.jpg],4[bigben/img0462.jpg],4[bigben/img0017.jpg],4[bigben/img1107.jpg],3[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3QILPRALQ5WNR0ZNQMD6R2738DYN86,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:41:47 PDT 2016","Thu Apr 21 22:42:43 PDT 2016",5[bigben/img1063.jpg],5[bigben/img0474.jpg],5[bigben/img0752.jpg],5[bigben/img0762.jpg],5[bigben/img0364.jpg],5[bigben/img0642.jpg],5[bigben/img1012.jpg],5[bigben/img0560.jpg],5[bigben/img0476.jpg],5[bigben/img0415.jpg],5[bigben/img1039.jpg],5[bigben/img0533.jpg],5[bigben/img0689.jpg],5[bigben/img0833.jpg],5[bigben/img1149.jpg],5[bigben/img1056.jpg],5[bigben/img1239.jpg],5[bigben/img0420.jpg],5[bigben/img1143.jpg],5[bigben/img1122.jpg],5[bigben/img0043.jpg],5[bigben/img0737.jpg],5[bigben/img0937.jpg],5[bigben/img0535.jpg],5[bigben/img0255.jpg],5[bigben/img0575.jpg],5[bigben/img0462.jpg],5[bigben/img0017.jpg],5[bigben/img1107.jpg],5[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3EWIJTFFVO81F5H72JX8807CBNNE0N,A2V68RNQVUAY70,Approved,"Thu Apr 21 23:05:28 PDT 2016","Thu Apr 21 23:07:40 PDT 2016",4[bigben/img1063.jpg],3[bigben/img0474.jpg],4[bigben/img0752.jpg],3[bigben/img0762.jpg],4[bigben/img0364.jpg],3[bigben/img0642.jpg],2[bigben/img1012.jpg],3[bigben/img0560.jpg],2[bigben/img0476.jpg],4[bigben/img0415.jpg],3[bigben/img1039.jpg],4[bigben/img0533.jpg],3[bigben/img0689.jpg],4[bigben/img0833.jpg],4[bigben/img1149.jpg],3[bigben/img1056.jpg],3[bigben/img1239.jpg],4[bigben/img0420.jpg],4[bigben/img1143.jpg],4[bigben/img1122.jpg],4[bigben/img0043.jpg],4[bigben/img0737.jpg],3[bigben/img0937.jpg],4[bigben/img0535.jpg],4[bigben/img0255.jpg],4[bigben/img0575.jpg],4[bigben/img0462.jpg],4[bigben/img0017.jpg],4[bigben/img1107.jpg],4[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3VHP9MDGRNLDFBCJ9AAYLJUDWD2CFZ,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:12:20 PDT 2016","Fri Apr 22 00:19:50 PDT 2016",2[bigben/img1063.jpg],5[bigben/img0474.jpg],1[bigben/img0752.jpg],1[bigben/img0762.jpg],5[bigben/img0364.jpg],4[bigben/img0642.jpg],4[bigben/img1012.jpg],3[bigben/img0560.jpg],3[bigben/img0476.jpg],2[bigben/img0415.jpg],3[bigben/img1039.jpg],5[bigben/img0533.jpg],5[bigben/img0689.jpg],5[bigben/img0833.jpg],5[bigben/img1149.jpg],5[bigben/img1056.jpg],5[bigben/img1239.jpg],1[bigben/img0420.jpg],4[bigben/img1143.jpg],4[bigben/img1122.jpg],4[bigben/img0043.jpg],4[bigben/img0737.jpg],4[bigben/img0937.jpg],5[bigben/img0535.jpg],5[bigben/img0255.jpg],5[bigben/img0575.jpg],5[bigben/img0462.jpg],5[bigben/img0017.jpg],5[bigben/img1107.jpg],5[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",37UEWGM5HT9QVY7UK8L8LCP5V5PR1O,A3ONLNBD1O0FUO,Approved,"Fri Apr 22 09:34:51 PDT 2016","Fri Apr 22 09:37:52 PDT 2016",3[bigben/img1063.jpg],4[bigben/img0474.jpg],5[bigben/img0752.jpg],3[bigben/img0762.jpg],4[bigben/img0364.jpg],2[bigben/img0642.jpg],1[bigben/img1012.jpg],3[bigben/img0560.jpg],3[bigben/img0476.jpg],2[bigben/img0415.jpg],4[bigben/img1039.jpg],4[bigben/img0533.jpg],4[bigben/img0689.jpg],3[bigben/img0833.jpg],5[bigben/img1149.jpg],4[bigben/img1056.jpg],5[bigben/img1239.jpg],3[bigben/img0420.jpg],3[bigben/img1143.jpg],5[bigben/img1122.jpg],4[bigben/img0043.jpg],5[bigben/img0737.jpg],5[bigben/img0937.jpg],4[bigben/img0535.jpg],4[bigben/img0255.jpg],3[bigben/img0575.jpg],4[bigben/img0462.jpg],4[bigben/img0017.jpg],3[bigben/img1107.jpg],3[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3LBXNTKX0RWSHZW1XK6TP0TCU0ZX94,A3IUPHJSD8CP75,Approved,"Fri Apr 22 18:46:07 PDT 2016","Fri Apr 22 18:50:07 PDT 2016",4[bigben/img1063.jpg],5[bigben/img0474.jpg],5[bigben/img0752.jpg],5[bigben/img0762.jpg],4[bigben/img0364.jpg],4[bigben/img0642.jpg],3[bigben/img1012.jpg],4[bigben/img0560.jpg],4[bigben/img0476.jpg],3[bigben/img0415.jpg],4[bigben/img1039.jpg],4[bigben/img0533.jpg],4[bigben/img0689.jpg],3[bigben/img0833.jpg],4[bigben/img1149.jpg],5[bigben/img1056.jpg],5[bigben/img1239.jpg],4[bigben/img0420.jpg],4[bigben/img1143.jpg],4[bigben/img1122.jpg],4[bigben/img0043.jpg],4[bigben/img0737.jpg],4[bigben/img0937.jpg],4[bigben/img0535.jpg],5[bigben/img0255.jpg],4[bigben/img0575.jpg],5[bigben/img0462.jpg],4[bigben/img0017.jpg],5[bigben/img1107.jpg],4[bigben/img1167.jpg],
37M4O367VJJVZGXRQLM2EJCUQGAM5D,"bigben_570-599","sample#command",3MTMREQS4VJRXI1GFLO7JCQPRGIWAW,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:29:21 PDT 2016","Fri Apr 22 20:33:38 PDT 2016",3[bigben/img1063.jpg],3[bigben/img0474.jpg],4[bigben/img0752.jpg],4[bigben/img0762.jpg],3[bigben/img0364.jpg],4[bigben/img0642.jpg],4[bigben/img1012.jpg],3[bigben/img0560.jpg],4[bigben/img0476.jpg],3[bigben/img0415.jpg],4[bigben/img1039.jpg],4[bigben/img0533.jpg],3[bigben/img0689.jpg],3[bigben/img0833.jpg],4[bigben/img1149.jpg],4[bigben/img1056.jpg],3[bigben/img1239.jpg],3[bigben/img0420.jpg],3[bigben/img1143.jpg],3[bigben/img1122.jpg],3[bigben/img0043.jpg],3[bigben/img0737.jpg],3[bigben/img0937.jpg],3[bigben/img0535.jpg],4[bigben/img0255.jpg],4[bigben/img0575.jpg],3[bigben/img0462.jpg],2[bigben/img0017.jpg],4[bigben/img1107.jpg],3[bigben/img1167.jpg],
