HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3NQL1CS15R9FEBZE5HXR0WPIMOFYV9,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:44:57 PDT 2016","Wed Apr 20 10:47:10 PDT 2016",4[bigben/img0772.jpg],3[bigben/img0060.jpg],4[bigben/img0674.jpg],4[bigben/img0410.jpg],4[bigben/img1269.jpg],5[bigben/img0728.jpg],5[bigben/img0133.jpg],4[bigben/img0371.jpg],5[bigben/img1005.jpg],2[bigben/img1221.jpg],4[bigben/img1192.jpg],2[bigben/img0528.jpg],2[bigben/img0141.jpg],2[bigben/img0843.jpg],4[bigben/img0322.jpg],4[bigben/img0205.jpg],5[bigben/img0285.jpg],5[bigben/img0330.jpg],5[bigben/img0405.jpg],4[bigben/img0785.jpg],5[bigben/img0156.jpg],5[bigben/img0908.jpg],5[bigben/img0856.jpg],4[bigben/img1272.jpg],4[bigben/img0946.jpg],4[bigben/img0435.jpg],5[bigben/img0236.jpg],5[bigben/img0883.jpg],5[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",33SA9F9TRXVUNVISVQQTFVGGBNWWEQ,A39BR7NYRDWC01,Approved,"Wed Apr 20 17:52:38 PDT 2016","Wed Apr 20 17:56:08 PDT 2016",5[bigben/img0772.jpg],2[bigben/img0060.jpg],3[bigben/img0674.jpg],4[bigben/img0410.jpg],5[bigben/img1269.jpg],3[bigben/img0728.jpg],4[bigben/img0133.jpg],4[bigben/img0371.jpg],4[bigben/img1005.jpg],3[bigben/img1221.jpg],3[bigben/img1192.jpg],2[bigben/img0528.jpg],4[bigben/img0141.jpg],4[bigben/img0843.jpg],5[bigben/img0322.jpg],4[bigben/img0205.jpg],4[bigben/img0285.jpg],5[bigben/img0330.jpg],3[bigben/img0405.jpg],4[bigben/img0785.jpg],5[bigben/img0156.jpg],4[bigben/img0908.jpg],4[bigben/img0856.jpg],4[bigben/img1272.jpg],4[bigben/img0946.jpg],3[bigben/img0435.jpg],3[bigben/img0236.jpg],4[bigben/img0883.jpg],3[bigben/img0789.jpg],4[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",35K3O9HUABESC9WX51GTB7UGGK7EFB,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:03:34 PDT 2016","Wed Apr 20 18:11:11 PDT 2016",5[bigben/img0772.jpg],3[bigben/img0060.jpg],4[bigben/img0674.jpg],3[bigben/img0410.jpg],4[bigben/img1269.jpg],4[bigben/img0728.jpg],5[bigben/img0133.jpg],4[bigben/img0371.jpg],3[bigben/img1005.jpg],4[bigben/img1221.jpg],4[bigben/img1192.jpg],4[bigben/img0528.jpg],4[bigben/img0141.jpg],4[bigben/img0843.jpg],5[bigben/img0322.jpg],5[bigben/img0205.jpg],5[bigben/img0285.jpg],4[bigben/img0330.jpg],2[bigben/img0405.jpg],3[bigben/img0785.jpg],5[bigben/img0156.jpg],5[bigben/img0908.jpg],5[bigben/img0856.jpg],5[bigben/img1272.jpg],4[bigben/img0946.jpg],4[bigben/img0435.jpg],4[bigben/img0236.jpg],4[bigben/img0883.jpg],4[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3NG53N1RLVKNULB061QYVRCY7N08PD,A1HWC6BN72YBEA,Approved,"Wed Apr 20 18:29:02 PDT 2016","Wed Apr 20 18:32:07 PDT 2016",3[bigben/img0772.jpg],1[bigben/img0060.jpg],3[bigben/img0674.jpg],3[bigben/img0410.jpg],2[bigben/img1269.jpg],3[bigben/img0728.jpg],4[bigben/img0133.jpg],5[bigben/img0371.jpg],4[bigben/img1005.jpg],3[bigben/img1221.jpg],3[bigben/img1192.jpg],4[bigben/img0528.jpg],2[bigben/img0141.jpg],4[bigben/img0843.jpg],3[bigben/img0322.jpg],4[bigben/img0205.jpg],4[bigben/img0285.jpg],3[bigben/img0330.jpg],2[bigben/img0405.jpg],2[bigben/img0785.jpg],2[bigben/img0156.jpg],2[bigben/img0908.jpg],3[bigben/img0856.jpg],4[bigben/img1272.jpg],4[bigben/img0946.jpg],3[bigben/img0435.jpg],5[bigben/img0236.jpg],2[bigben/img0883.jpg],1[bigben/img0789.jpg],4[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",33CKWXB73JL22T8DME6TFL7SQ1H11B,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:41:45 PDT 2016","Wed Apr 20 23:52:09 PDT 2016",4[bigben/img0772.jpg],5[bigben/img0060.jpg],3[bigben/img0674.jpg],4[bigben/img0410.jpg],5[bigben/img1269.jpg],5[bigben/img0728.jpg],4[bigben/img0133.jpg],2[bigben/img0371.jpg],4[bigben/img1005.jpg],4[bigben/img1221.jpg],5[bigben/img1192.jpg],5[bigben/img0528.jpg],3[bigben/img0141.jpg],4[bigben/img0843.jpg],5[bigben/img0322.jpg],5[bigben/img0205.jpg],5[bigben/img0285.jpg],4[bigben/img0330.jpg],3[bigben/img0405.jpg],4[bigben/img0785.jpg],5[bigben/img0156.jpg],3[bigben/img0908.jpg],4[bigben/img0856.jpg],5[bigben/img1272.jpg],4[bigben/img0946.jpg],5[bigben/img0435.jpg],4[bigben/img0236.jpg],2[bigben/img0883.jpg],3[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3A4NIXBJ760COPY68A7AJS49MJWLMQ,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:30:26 PDT 2016","Thu Apr 21 04:31:58 PDT 2016",3[bigben/img0772.jpg],1[bigben/img0060.jpg],1[bigben/img0674.jpg],2[bigben/img0410.jpg],2[bigben/img1269.jpg],2[bigben/img0728.jpg],5[bigben/img0133.jpg],4[bigben/img0371.jpg],4[bigben/img1005.jpg],1[bigben/img1221.jpg],2[bigben/img1192.jpg],2[bigben/img0528.jpg],2[bigben/img0141.jpg],3[bigben/img0843.jpg],3[bigben/img0322.jpg],3[bigben/img0205.jpg],3[bigben/img0285.jpg],2[bigben/img0330.jpg],1[bigben/img0405.jpg],2[bigben/img0785.jpg],1[bigben/img0156.jpg],2[bigben/img0908.jpg],2[bigben/img0856.jpg],3[bigben/img1272.jpg],3[bigben/img0946.jpg],3[bigben/img0435.jpg],3[bigben/img0236.jpg],2[bigben/img0883.jpg],1[bigben/img0789.jpg],4[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3KJYX6QCM9CPJM4FJHWOQ9AU9Q7JVD,A1RCL8Z0M3G80E,Approved,"Thu Apr 21 17:14:45 PDT 2016","Thu Apr 21 17:19:12 PDT 2016",4[bigben/img0772.jpg],1[bigben/img0060.jpg],3[bigben/img0674.jpg],3[bigben/img0410.jpg],1[bigben/img1269.jpg],3[bigben/img0728.jpg],4[bigben/img0133.jpg],4[bigben/img0371.jpg],4[bigben/img1005.jpg],4[bigben/img1221.jpg],2[bigben/img1192.jpg],3[bigben/img0528.jpg],3[bigben/img0141.jpg],2[bigben/img0843.jpg],1[bigben/img0322.jpg],3[bigben/img0205.jpg],4[bigben/img0285.jpg],3[bigben/img0330.jpg],1[bigben/img0405.jpg],2[bigben/img0785.jpg],4[bigben/img0156.jpg],3[bigben/img0908.jpg],3[bigben/img0856.jpg],2[bigben/img1272.jpg],4[bigben/img0946.jpg],4[bigben/img0435.jpg],4[bigben/img0236.jpg],3[bigben/img0883.jpg],1[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3AAPLD8UCCIEFO50QMTODE6U0E9THR,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:38:34 PDT 2016","Thu Apr 21 22:39:19 PDT 2016",4[bigben/img0772.jpg],4[bigben/img0060.jpg],4[bigben/img0674.jpg],4[bigben/img0410.jpg],5[bigben/img1269.jpg],5[bigben/img0728.jpg],5[bigben/img0133.jpg],5[bigben/img0371.jpg],5[bigben/img1005.jpg],5[bigben/img1221.jpg],5[bigben/img1192.jpg],5[bigben/img0528.jpg],5[bigben/img0141.jpg],5[bigben/img0843.jpg],5[bigben/img0322.jpg],5[bigben/img0205.jpg],5[bigben/img0285.jpg],5[bigben/img0330.jpg],5[bigben/img0405.jpg],5[bigben/img0785.jpg],5[bigben/img0156.jpg],5[bigben/img0908.jpg],5[bigben/img0856.jpg],5[bigben/img1272.jpg],5[bigben/img0946.jpg],5[bigben/img0435.jpg],5[bigben/img0236.jpg],5[bigben/img0883.jpg],5[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",32Z9ZLUT1LLY2W0SU57PJ40716YOH6,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:22:47 PDT 2016","Fri Apr 22 00:43:05 PDT 2016",5[bigben/img0772.jpg],4[bigben/img0060.jpg],5[bigben/img0674.jpg],5[bigben/img0410.jpg],5[bigben/img1269.jpg],5[bigben/img0728.jpg],5[bigben/img0133.jpg],5[bigben/img0371.jpg],5[bigben/img1005.jpg],5[bigben/img1221.jpg],5[bigben/img1192.jpg],5[bigben/img0528.jpg],5[bigben/img0141.jpg],5[bigben/img0843.jpg],5[bigben/img0322.jpg],5[bigben/img0205.jpg],5[bigben/img0285.jpg],5[bigben/img0330.jpg],4[bigben/img0405.jpg],4[bigben/img0785.jpg],5[bigben/img0156.jpg],5[bigben/img0908.jpg],5[bigben/img0856.jpg],5[bigben/img1272.jpg],5[bigben/img0946.jpg],5[bigben/img0435.jpg],5[bigben/img0236.jpg],5[bigben/img0883.jpg],5[bigben/img0789.jpg],5[bigben/img0247.jpg],
382GHPVPHSSCHBLH6YYDDSXAQTY349,"bigben_90-119","sample#command",3WETL7AQWT9X0ENBA5MO64Z616Q35O,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:12:42 PDT 2016","Fri Apr 22 05:14:08 PDT 2016",2[bigben/img0772.jpg],1[bigben/img0060.jpg],1[bigben/img0674.jpg],1[bigben/img0410.jpg],2[bigben/img1269.jpg],3[bigben/img0728.jpg],2[bigben/img0133.jpg],4[bigben/img0371.jpg],2[bigben/img1005.jpg],1[bigben/img1221.jpg],2[bigben/img1192.jpg],3[bigben/img0528.jpg],2[bigben/img0141.jpg],4[bigben/img0843.jpg],2[bigben/img0322.jpg],4[bigben/img0205.jpg],2[bigben/img0285.jpg],2[bigben/img0330.jpg],3[bigben/img0405.jpg],3[bigben/img0785.jpg],3[bigben/img0156.jpg],2[bigben/img0908.jpg],2[bigben/img0856.jpg],2[bigben/img1272.jpg],2[bigben/img0946.jpg],1[bigben/img0435.jpg],2[bigben/img0236.jpg],2[bigben/img0883.jpg],3[bigben/img0789.jpg],4[bigben/img0247.jpg],
