HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",33FBRBDW6O040W2W1W4SBRDR82X8C7,A39BR7NYRDWC01,Approved,"Wed Apr 20 10:49:21 PDT 2016","Wed Apr 20 10:51:32 PDT 2016",4[bigben/img0891.jpg],3[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],5[bigben/img0705.jpg],4[bigben/img0977.jpg],4[bigben/img1001.jpg],4[bigben/img0076.jpg],4[bigben/img0779.jpg],5[bigben/img0637.jpg],5[bigben/img1068.jpg],4[bigben/img0874.jpg],5[bigben/img0387.jpg],5[bigben/img0175.jpg],4[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],5[bigben/img1282.jpg],4[bigben/img0001.jpg],5[bigben/img0237.jpg],4[bigben/img1070.jpg],4[bigben/img0512.jpg],5[bigben/img0678.jpg],4[bigben/img0034.jpg],4[bigben/img1270.jpg],5[bigben/img0806.jpg],3[bigben/img0097.jpg],5[bigben/img0484.jpg],4[bigben/img0656.jpg],5[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3H0W84IWBK3PFZ16WWGNSW8ZJ8OREP,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:37:39 PDT 2016","Wed Apr 20 18:59:14 PDT 2016",4[bigben/img0891.jpg],4[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],5[bigben/img0705.jpg],4[bigben/img0977.jpg],4[bigben/img1001.jpg],4[bigben/img0076.jpg],4[bigben/img0779.jpg],4[bigben/img0637.jpg],4[bigben/img1068.jpg],4[bigben/img0874.jpg],4[bigben/img0387.jpg],4[bigben/img0175.jpg],4[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],4[bigben/img1282.jpg],4[bigben/img0001.jpg],4[bigben/img0237.jpg],4[bigben/img1070.jpg],4[bigben/img0512.jpg],4[bigben/img0678.jpg],4[bigben/img0034.jpg],5[bigben/img1270.jpg],4[bigben/img0806.jpg],4[bigben/img0097.jpg],4[bigben/img0484.jpg],4[bigben/img0656.jpg],5[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3XXU1SWE8MWYPS0VMEVMCHHLP3X0AB,A1XC5OV00MECKQ,Approved,"Wed Apr 20 19:48:20 PDT 2016","Wed Apr 20 19:51:08 PDT 2016",3[bigben/img0891.jpg],4[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],4[bigben/img0705.jpg],4[bigben/img0977.jpg],4[bigben/img1001.jpg],4[bigben/img0076.jpg],4[bigben/img0779.jpg],4[bigben/img0637.jpg],4[bigben/img1068.jpg],4[bigben/img0874.jpg],4[bigben/img0387.jpg],4[bigben/img0175.jpg],4[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],4[bigben/img1282.jpg],4[bigben/img0001.jpg],2[bigben/img0237.jpg],2[bigben/img1070.jpg],2[bigben/img0512.jpg],5[bigben/img0678.jpg],5[bigben/img0034.jpg],5[bigben/img1270.jpg],5[bigben/img0806.jpg],5[bigben/img0097.jpg],5[bigben/img0484.jpg],5[bigben/img0656.jpg],5[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",33JKGHPFYCV2CP1RKNNPWK8YRDWNMS,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 19:45:23 PDT 2016","Wed Apr 20 20:00:11 PDT 2016",4[bigben/img0891.jpg],5[bigben/img1003.jpg],5[bigben/img0696.jpg],4[bigben/img0523.jpg],5[bigben/img0705.jpg],4[bigben/img0977.jpg],5[bigben/img1001.jpg],5[bigben/img0076.jpg],4[bigben/img0779.jpg],5[bigben/img0637.jpg],4[bigben/img1068.jpg],5[bigben/img0874.jpg],5[bigben/img0387.jpg],5[bigben/img0175.jpg],3[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],5[bigben/img1282.jpg],5[bigben/img0001.jpg],5[bigben/img0237.jpg],5[bigben/img1070.jpg],4[bigben/img0512.jpg],5[bigben/img0678.jpg],5[bigben/img0034.jpg],4[bigben/img1270.jpg],5[bigben/img0806.jpg],5[bigben/img0097.jpg],4[bigben/img0484.jpg],5[bigben/img0656.jpg],4[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",32M8BPYGATNA6EUEC4C2E7SK9TFIGQ,A39J5RLVDTM6SM,Approved,"Thu Apr 21 00:52:00 PDT 2016","Thu Apr 21 00:57:58 PDT 2016",3[bigben/img0891.jpg],4[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],5[bigben/img0705.jpg],5[bigben/img0977.jpg],3[bigben/img1001.jpg],3[bigben/img0076.jpg],2[bigben/img0779.jpg],3[bigben/img0637.jpg],2[bigben/img1068.jpg],4[bigben/img0874.jpg],5[bigben/img0387.jpg],5[bigben/img0175.jpg],3[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],3[bigben/img1282.jpg],3[bigben/img0001.jpg],3[bigben/img0237.jpg],2[bigben/img1070.jpg],4[bigben/img0512.jpg],3[bigben/img0678.jpg],2[bigben/img0034.jpg],5[bigben/img1270.jpg],2[bigben/img0806.jpg],2[bigben/img0097.jpg],1[bigben/img0484.jpg],2[bigben/img0656.jpg],4[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3R3YRB5GRF4E5ECBKL961O5S6XSAUQ,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:42:51 PDT 2016","Thu Apr 21 22:43:23 PDT 2016",5[bigben/img0891.jpg],5[bigben/img1003.jpg],5[bigben/img0696.jpg],5[bigben/img0523.jpg],5[bigben/img0705.jpg],5[bigben/img0977.jpg],5[bigben/img1001.jpg],5[bigben/img0076.jpg],5[bigben/img0779.jpg],5[bigben/img0637.jpg],5[bigben/img1068.jpg],5[bigben/img0874.jpg],5[bigben/img0387.jpg],5[bigben/img0175.jpg],5[bigben/img0075.jpg],5[bigben/img0529.jpg],5[bigben/img0615.jpg],5[bigben/img1282.jpg],5[bigben/img0001.jpg],5[bigben/img0237.jpg],5[bigben/img1070.jpg],5[bigben/img0512.jpg],5[bigben/img0678.jpg],5[bigben/img0034.jpg],5[bigben/img1270.jpg],5[bigben/img0806.jpg],5[bigben/img0097.jpg],5[bigben/img0484.jpg],5[bigben/img0656.jpg],5[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",36WLNQG78ZB2ZSKH0ZUXSH3V2RKEB9,A2V68RNQVUAY70,Approved,"Thu Apr 21 23:08:34 PDT 2016","Thu Apr 21 23:10:28 PDT 2016",4[bigben/img0891.jpg],2[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],2[bigben/img0705.jpg],2[bigben/img0977.jpg],2[bigben/img1001.jpg],4[bigben/img0076.jpg],4[bigben/img0779.jpg],4[bigben/img0637.jpg],4[bigben/img1068.jpg],4[bigben/img0874.jpg],4[bigben/img0387.jpg],4[bigben/img0175.jpg],4[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],3[bigben/img1282.jpg],4[bigben/img0001.jpg],4[bigben/img0237.jpg],4[bigben/img1070.jpg],4[bigben/img0512.jpg],4[bigben/img0678.jpg],4[bigben/img0034.jpg],3[bigben/img1270.jpg],4[bigben/img0806.jpg],2[bigben/img0097.jpg],4[bigben/img0484.jpg],4[bigben/img0656.jpg],3[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3VFJCI1K4Z0NZDXX2R6BSZTBXT4RGI,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:13:11 PDT 2016","Fri Apr 22 00:21:17 PDT 2016",3[bigben/img0891.jpg],4[bigben/img1003.jpg],1[bigben/img0696.jpg],5[bigben/img0523.jpg],4[bigben/img0705.jpg],2[bigben/img0977.jpg],3[bigben/img1001.jpg],3[bigben/img0076.jpg],4[bigben/img0779.jpg],3[bigben/img0637.jpg],4[bigben/img1068.jpg],4[bigben/img0874.jpg],3[bigben/img0387.jpg],4[bigben/img0175.jpg],4[bigben/img0075.jpg],4[bigben/img0529.jpg],4[bigben/img0615.jpg],4[bigben/img1282.jpg],4[bigben/img0001.jpg],4[bigben/img0237.jpg],4[bigben/img1070.jpg],3[bigben/img0512.jpg],4[bigben/img0678.jpg],4[bigben/img0034.jpg],4[bigben/img1270.jpg],4[bigben/img0806.jpg],4[bigben/img0097.jpg],4[bigben/img0484.jpg],4[bigben/img0656.jpg],4[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3SNLUL3WO4OV1X3FHCYWA2L309ALU2,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:18:54 PDT 2016","Fri Apr 22 05:20:16 PDT 2016",2[bigben/img0891.jpg],2[bigben/img1003.jpg],3[bigben/img0696.jpg],3[bigben/img0523.jpg],3[bigben/img0705.jpg],2[bigben/img0977.jpg],2[bigben/img1001.jpg],2[bigben/img0076.jpg],4[bigben/img0779.jpg],2[bigben/img0637.jpg],2[bigben/img1068.jpg],1[bigben/img0874.jpg],2[bigben/img0387.jpg],2[bigben/img0175.jpg],3[bigben/img0075.jpg],2[bigben/img0529.jpg],2[bigben/img0615.jpg],1[bigben/img1282.jpg],1[bigben/img0001.jpg],3[bigben/img0237.jpg],2[bigben/img1070.jpg],3[bigben/img0512.jpg],3[bigben/img0678.jpg],2[bigben/img0034.jpg],4[bigben/img1270.jpg],2[bigben/img0806.jpg],2[bigben/img0097.jpg],5[bigben/img0484.jpg],3[bigben/img0656.jpg],3[bigben/img0114.jpg],
38VTL6WC4AEVTXM59OAD8EZ1ZQO5YM,"bigben_120-149","sample#command",3WQQ9FUS6AVLQRAQNW8X0779RR28BQ,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:33:48 PDT 2016","Fri Apr 22 20:35:13 PDT 2016",3[bigben/img0891.jpg],4[bigben/img1003.jpg],4[bigben/img0696.jpg],4[bigben/img0523.jpg],3[bigben/img0705.jpg],4[bigben/img0977.jpg],5[bigben/img1001.jpg],3[bigben/img0076.jpg],3[bigben/img0779.jpg],4[bigben/img0637.jpg],3[bigben/img1068.jpg],4[bigben/img0874.jpg],3[bigben/img0387.jpg],3[bigben/img0175.jpg],3[bigben/img0075.jpg],3[bigben/img0529.jpg],2[bigben/img0615.jpg],3[bigben/img1282.jpg],3[bigben/img0001.jpg],2[bigben/img0237.jpg],3[bigben/img1070.jpg],3[bigben/img0512.jpg],3[bigben/img0678.jpg],2[bigben/img0034.jpg],3[bigben/img1270.jpg],2[bigben/img0806.jpg],2[bigben/img0097.jpg],3[bigben/img0484.jpg],3[bigben/img0656.jpg],2[bigben/img0114.jpg],
