HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3K2755HG5S4NK3IX96595PCVG6MFDV,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:47:02 PDT 2016","Wed Apr 20 10:49:28 PDT 2016",4[bigben/img0397.jpg],1[bigben/img0377.jpg],4[bigben/img0391.jpg],4[bigben/img0587.jpg],1[bigben/img0503.jpg],2[bigben/img1201.jpg],5[bigben/img0681.jpg],1[bigben/img0148.jpg],1[bigben/img0260.jpg],2[bigben/img1065.jpg],5[bigben/img0382.jpg],4[bigben/img0815.jpg],5[bigben/img0497.jpg],3[bigben/img0976.jpg],5[bigben/img0710.jpg],2[bigben/img1198.jpg],1[bigben/img0482.jpg],5[bigben/img0983.jpg],1[bigben/img1008.jpg],2[bigben/img1015.jpg],1[bigben/img0307.jpg],2[bigben/img0583.jpg],3[bigben/img1148.jpg],5[bigben/img0675.jpg],4[bigben/img0749.jpg],4[bigben/img0238.jpg],5[bigben/img1124.jpg],3[bigben/img1118.jpg],3[bigben/img0283.jpg],4[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3G0WWMR1UVLTX4ZJCGU6DTS31CBNQT,A39BR7NYRDWC01,Approved,"Wed Apr 20 13:20:00 PDT 2016","Wed Apr 20 13:23:03 PDT 2016",4[bigben/img0397.jpg],5[bigben/img0377.jpg],5[bigben/img0391.jpg],4[bigben/img0587.jpg],4[bigben/img0503.jpg],4[bigben/img1201.jpg],4[bigben/img0681.jpg],3[bigben/img0148.jpg],4[bigben/img0260.jpg],4[bigben/img1065.jpg],4[bigben/img0382.jpg],5[bigben/img0815.jpg],4[bigben/img0497.jpg],4[bigben/img0976.jpg],4[bigben/img0710.jpg],4[bigben/img1198.jpg],2[bigben/img0482.jpg],3[bigben/img0983.jpg],5[bigben/img1008.jpg],4[bigben/img1015.jpg],5[bigben/img0307.jpg],4[bigben/img0583.jpg],5[bigben/img1148.jpg],4[bigben/img0675.jpg],4[bigben/img0749.jpg],5[bigben/img0238.jpg],5[bigben/img1124.jpg],4[bigben/img1118.jpg],4[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",336YQZE83VFYM0VLGNR3238C0SQM5V,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:37:45 PDT 2016","Wed Apr 20 19:01:45 PDT 2016",5[bigben/img0397.jpg],4[bigben/img0377.jpg],5[bigben/img0391.jpg],5[bigben/img0587.jpg],4[bigben/img0503.jpg],4[bigben/img1201.jpg],5[bigben/img0681.jpg],4[bigben/img0148.jpg],4[bigben/img0260.jpg],4[bigben/img1065.jpg],4[bigben/img0382.jpg],4[bigben/img0815.jpg],4[bigben/img0497.jpg],4[bigben/img0976.jpg],4[bigben/img0710.jpg],4[bigben/img1198.jpg],4[bigben/img0482.jpg],5[bigben/img0983.jpg],4[bigben/img1008.jpg],5[bigben/img1015.jpg],4[bigben/img0307.jpg],5[bigben/img0583.jpg],5[bigben/img1148.jpg],5[bigben/img0675.jpg],5[bigben/img0749.jpg],5[bigben/img0238.jpg],5[bigben/img1124.jpg],5[bigben/img1118.jpg],5[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3LOTDFNYA70MT9IOQ1AZXD1GNOLWFI,A39J5RLVDTM6SM,Approved,"Wed Apr 20 19:18:59 PDT 2016","Wed Apr 20 19:25:00 PDT 2016",5[bigben/img0397.jpg],1[bigben/img0377.jpg],5[bigben/img0391.jpg],5[bigben/img0587.jpg],5[bigben/img0503.jpg],1[bigben/img1201.jpg],5[bigben/img0681.jpg],2[bigben/img0148.jpg],5[bigben/img0260.jpg],5[bigben/img1065.jpg],3[bigben/img0382.jpg],5[bigben/img0815.jpg],5[bigben/img0497.jpg],4[bigben/img0976.jpg],5[bigben/img0710.jpg],5[bigben/img1198.jpg],5[bigben/img0482.jpg],5[bigben/img0983.jpg],5[bigben/img1008.jpg],5[bigben/img1015.jpg],5[bigben/img0307.jpg],5[bigben/img0583.jpg],5[bigben/img1148.jpg],5[bigben/img0675.jpg],5[bigben/img0749.jpg],5[bigben/img0238.jpg],5[bigben/img1124.jpg],5[bigben/img1118.jpg],5[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",38SKSKU7R1YQS68FNV9IRZXS59BLI7,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 19:45:20 PDT 2016","Wed Apr 20 19:50:54 PDT 2016",4[bigben/img0397.jpg],5[bigben/img0377.jpg],5[bigben/img0391.jpg],4[bigben/img0587.jpg],3[bigben/img0503.jpg],4[bigben/img1201.jpg],4[bigben/img0681.jpg],5[bigben/img0148.jpg],3[bigben/img0260.jpg],4[bigben/img1065.jpg],4[bigben/img0382.jpg],5[bigben/img0815.jpg],4[bigben/img0497.jpg],4[bigben/img0976.jpg],5[bigben/img0710.jpg],4[bigben/img1198.jpg],4[bigben/img0482.jpg],5[bigben/img0983.jpg],4[bigben/img1008.jpg],5[bigben/img1015.jpg],4[bigben/img0307.jpg],5[bigben/img0583.jpg],5[bigben/img1148.jpg],4[bigben/img0675.jpg],5[bigben/img0749.jpg],4[bigben/img0238.jpg],5[bigben/img1124.jpg],5[bigben/img1118.jpg],4[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3JNQLM5FT4NMHLUDYSOQ4JQBHI3L2W,A14YPM3N35E8V8,Approved,"Thu Apr 21 21:57:58 PDT 2016","Thu Apr 21 22:03:30 PDT 2016",2[bigben/img0397.jpg],1[bigben/img0377.jpg],1[bigben/img0391.jpg],1[bigben/img0587.jpg],2[bigben/img0503.jpg],1[bigben/img1201.jpg],4[bigben/img0681.jpg],1[bigben/img0148.jpg],4[bigben/img0260.jpg],1[bigben/img1065.jpg],3[bigben/img0382.jpg],5[bigben/img0815.jpg],4[bigben/img0497.jpg],1[bigben/img0976.jpg],3[bigben/img0710.jpg],4[bigben/img1198.jpg],3[bigben/img0482.jpg],3[bigben/img0983.jpg],5[bigben/img1008.jpg],4[bigben/img1015.jpg],3[bigben/img0307.jpg],3[bigben/img0583.jpg],2[bigben/img1148.jpg],5[bigben/img0675.jpg],3[bigben/img0749.jpg],3[bigben/img0238.jpg],1[bigben/img1124.jpg],4[bigben/img1118.jpg],4[bigben/img0283.jpg],4[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3TXWC2NHNZRKLIA23A06QSCKFIOS9C,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:41:40 PDT 2016","Thu Apr 21 22:42:15 PDT 2016",5[bigben/img0397.jpg],5[bigben/img0377.jpg],5[bigben/img0391.jpg],5[bigben/img0587.jpg],5[bigben/img0503.jpg],5[bigben/img1201.jpg],5[bigben/img0681.jpg],5[bigben/img0148.jpg],5[bigben/img0260.jpg],5[bigben/img1065.jpg],5[bigben/img0382.jpg],5[bigben/img0815.jpg],5[bigben/img0497.jpg],5[bigben/img0976.jpg],5[bigben/img0710.jpg],5[bigben/img1198.jpg],5[bigben/img0482.jpg],5[bigben/img0983.jpg],5[bigben/img1008.jpg],5[bigben/img1015.jpg],5[bigben/img0307.jpg],5[bigben/img0583.jpg],5[bigben/img1148.jpg],5[bigben/img0675.jpg],5[bigben/img0749.jpg],5[bigben/img0238.jpg],5[bigben/img1124.jpg],5[bigben/img1118.jpg],5[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",388U7OUMF72QO9MCOPH8776VQCD0RM,A2V68RNQVUAY70,Approved,"Thu Apr 21 22:59:51 PDT 2016","Thu Apr 21 23:02:07 PDT 2016",4[bigben/img0397.jpg],3[bigben/img0377.jpg],4[bigben/img0391.jpg],3[bigben/img0587.jpg],2[bigben/img0503.jpg],3[bigben/img1201.jpg],4[bigben/img0681.jpg],4[bigben/img0148.jpg],3[bigben/img0260.jpg],4[bigben/img1065.jpg],4[bigben/img0382.jpg],4[bigben/img0815.jpg],4[bigben/img0497.jpg],4[bigben/img0976.jpg],3[bigben/img0710.jpg],3[bigben/img1198.jpg],3[bigben/img0482.jpg],4[bigben/img0983.jpg],4[bigben/img1008.jpg],3[bigben/img1015.jpg],2[bigben/img0307.jpg],4[bigben/img0583.jpg],4[bigben/img1148.jpg],4[bigben/img0675.jpg],4[bigben/img0749.jpg],4[bigben/img0238.jpg],4[bigben/img1124.jpg],3[bigben/img1118.jpg],3[bigben/img0283.jpg],4[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",39L1G8WVWQSYCWMS9IKC3EMPPQ313M,A3TGW5PT2L67BX,Approved,"Thu Apr 21 23:02:39 PDT 2016","Thu Apr 21 23:06:04 PDT 2016",3[bigben/img0397.jpg],2[bigben/img0377.jpg],2[bigben/img0391.jpg],4[bigben/img0587.jpg],4[bigben/img0503.jpg],2[bigben/img1201.jpg],4[bigben/img0681.jpg],5[bigben/img0148.jpg],3[bigben/img0260.jpg],4[bigben/img1065.jpg],4[bigben/img0382.jpg],4[bigben/img0815.jpg],4[bigben/img0497.jpg],2[bigben/img0976.jpg],2[bigben/img0710.jpg],3[bigben/img1198.jpg],1[bigben/img0482.jpg],5[bigben/img0983.jpg],3[bigben/img1008.jpg],4[bigben/img1015.jpg],4[bigben/img0307.jpg],3[bigben/img0583.jpg],3[bigben/img1148.jpg],4[bigben/img0675.jpg],3[bigben/img0749.jpg],4[bigben/img0238.jpg],3[bigben/img1124.jpg],4[bigben/img1118.jpg],4[bigben/img0283.jpg],4[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3NL0RFNU0FOL0TRIH6VDIYAUCW2K4W,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:10:13 PDT 2016","Fri Apr 22 00:22:37 PDT 2016",4[bigben/img0397.jpg],1[bigben/img0377.jpg],1[bigben/img0391.jpg],2[bigben/img0587.jpg],2[bigben/img0503.jpg],2[bigben/img1201.jpg],2[bigben/img0681.jpg],2[bigben/img0148.jpg],2[bigben/img0260.jpg],2[bigben/img1065.jpg],2[bigben/img0382.jpg],2[bigben/img0815.jpg],2[bigben/img0497.jpg],2[bigben/img0976.jpg],2[bigben/img0710.jpg],2[bigben/img1198.jpg],1[bigben/img0482.jpg],3[bigben/img0983.jpg],3[bigben/img1008.jpg],4[bigben/img1015.jpg],3[bigben/img0307.jpg],4[bigben/img0583.jpg],4[bigben/img1148.jpg],4[bigben/img0675.jpg],4[bigben/img0749.jpg],4[bigben/img0238.jpg],4[bigben/img1124.jpg],5[bigben/img1118.jpg],5[bigben/img0283.jpg],5[bigben/img0767.jpg],
39O0SQZVJN81J0O2JMXGY2K0N94R7L,"bigben_270-299","sample#command",3BV8HQ2ZZW2T33MAO3B3LIRC3CY6AA,A2ZHFT828PSIR2,Approved,"Fri Apr 22 12:03:19 PDT 2016","Fri Apr 22 12:04:58 PDT 2016",2[bigben/img0397.jpg],1[bigben/img0377.jpg],1[bigben/img0391.jpg],2[bigben/img0587.jpg],2[bigben/img0503.jpg],1[bigben/img1201.jpg],4[bigben/img0681.jpg],3[bigben/img0148.jpg],2[bigben/img0260.jpg],1[bigben/img1065.jpg],2[bigben/img0382.jpg],3[bigben/img0815.jpg],4[bigben/img0497.jpg],5[bigben/img0976.jpg],5[bigben/img0710.jpg],4[bigben/img1198.jpg],1[bigben/img0482.jpg],3[bigben/img0983.jpg],3[bigben/img1008.jpg],4[bigben/img1015.jpg],4[bigben/img0307.jpg],4[bigben/img0583.jpg],5[bigben/img1148.jpg],5[bigben/img0675.jpg],5[bigben/img0749.jpg],5[bigben/img0238.jpg],5[bigben/img1124.jpg],3[bigben/img1118.jpg],4[bigben/img0283.jpg],5[bigben/img0767.jpg],
