HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",369J354OFDBUDUZDA33DH42F0Z06GU,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:51:26 PDT 2016","Wed Apr 20 10:53:33 PDT 2016",5[bigben/img0053.jpg],4[bigben/img0459.jpg],5[bigben/img0774.jpg],5[bigben/img0321.jpg],5[bigben/img1083.jpg],4[bigben/img0992.jpg],4[bigben/img0308.jpg],2[bigben/img0991.jpg],4[bigben/img1267.jpg],2[bigben/img1212.jpg],4[bigben/img0096.jpg],2[bigben/img1067.jpg],4[bigben/img0301.jpg],2[bigben/img0401.jpg],4[bigben/img0553.jpg],5[bigben/img0011.jpg],4[bigben/img0950.jpg],4[bigben/img0639.jpg],5[bigben/img1040.jpg],4[bigben/img0288.jpg],5[bigben/img0203.jpg],4[bigben/img0010.jpg],4[bigben/img0508.jpg],4[bigben/img1207.jpg],4[bigben/img0052.jpg],3[bigben/img1271.jpg],5[bigben/img0477.jpg],4[bigben/img0419.jpg],3[bigben/img0359.jpg],4[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3LO69W1SU3ECWF2KX79F6NKCQU4GLR,A2E6F8ZOUFVGMT,Approved,"Wed Apr 20 13:27:41 PDT 2016","Wed Apr 20 13:31:45 PDT 2016",3[bigben/img0053.jpg],4[bigben/img0459.jpg],5[bigben/img0774.jpg],3[bigben/img0321.jpg],4[bigben/img1083.jpg],2[bigben/img0992.jpg],4[bigben/img0308.jpg],5[bigben/img0991.jpg],5[bigben/img1267.jpg],1[bigben/img1212.jpg],1[bigben/img0096.jpg],2[bigben/img1067.jpg],3[bigben/img0301.jpg],5[bigben/img0401.jpg],2[bigben/img0553.jpg],4[bigben/img0011.jpg],5[bigben/img0950.jpg],4[bigben/img0639.jpg],5[bigben/img1040.jpg],2[bigben/img0288.jpg],1[bigben/img0203.jpg],2[bigben/img0010.jpg],2[bigben/img0508.jpg],1[bigben/img1207.jpg],5[bigben/img0052.jpg],2[bigben/img1271.jpg],1[bigben/img0477.jpg],3[bigben/img0419.jpg],1[bigben/img0359.jpg],2[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3QJOXOW4XJSYIJOEROK66XEPDLMMET,A39BR7NYRDWC01,Approved,"Wed Apr 20 18:23:48 PDT 2016","Wed Apr 20 18:27:03 PDT 2016",3[bigben/img0053.jpg],5[bigben/img0459.jpg],5[bigben/img0774.jpg],5[bigben/img0321.jpg],5[bigben/img1083.jpg],4[bigben/img0992.jpg],5[bigben/img0308.jpg],5[bigben/img0991.jpg],4[bigben/img1267.jpg],4[bigben/img1212.jpg],4[bigben/img0096.jpg],3[bigben/img1067.jpg],4[bigben/img0301.jpg],5[bigben/img0401.jpg],5[bigben/img0553.jpg],5[bigben/img0011.jpg],5[bigben/img0950.jpg],5[bigben/img0639.jpg],5[bigben/img1040.jpg],4[bigben/img0288.jpg],5[bigben/img0203.jpg],4[bigben/img0010.jpg],5[bigben/img0508.jpg],3[bigben/img1207.jpg],4[bigben/img0052.jpg],4[bigben/img1271.jpg],4[bigben/img0477.jpg],3[bigben/img0419.jpg],4[bigben/img0359.jpg],4[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",37WLF8U1WPRZFGVW0UOSFWU87I36KN,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:24:42 PDT 2016","Wed Apr 20 18:28:08 PDT 2016",4[bigben/img0053.jpg],4[bigben/img0459.jpg],4[bigben/img0774.jpg],4[bigben/img0321.jpg],5[bigben/img1083.jpg],4[bigben/img0992.jpg],4[bigben/img0308.jpg],4[bigben/img0991.jpg],5[bigben/img1267.jpg],4[bigben/img1212.jpg],4[bigben/img0096.jpg],4[bigben/img1067.jpg],4[bigben/img0301.jpg],4[bigben/img0401.jpg],4[bigben/img0553.jpg],4[bigben/img0011.jpg],5[bigben/img0950.jpg],5[bigben/img0639.jpg],4[bigben/img1040.jpg],4[bigben/img0288.jpg],4[bigben/img0203.jpg],4[bigben/img0010.jpg],4[bigben/img0508.jpg],3[bigben/img1207.jpg],3[bigben/img0052.jpg],3[bigben/img1271.jpg],4[bigben/img0477.jpg],4[bigben/img0419.jpg],3[bigben/img0359.jpg],4[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3Z2R0DQ0JHF8BFKLH61MRO0R7GZE2O,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:41:59 PDT 2016","Wed Apr 20 23:55:54 PDT 2016",5[bigben/img0053.jpg],5[bigben/img0459.jpg],4[bigben/img0774.jpg],3[bigben/img0321.jpg],4[bigben/img1083.jpg],3[bigben/img0992.jpg],4[bigben/img0308.jpg],4[bigben/img0991.jpg],5[bigben/img1267.jpg],3[bigben/img1212.jpg],4[bigben/img0096.jpg],3[bigben/img1067.jpg],3[bigben/img0301.jpg],3[bigben/img0401.jpg],3[bigben/img0553.jpg],4[bigben/img0011.jpg],4[bigben/img0950.jpg],5[bigben/img0639.jpg],5[bigben/img1040.jpg],4[bigben/img0288.jpg],5[bigben/img0203.jpg],4[bigben/img0010.jpg],5[bigben/img0508.jpg],4[bigben/img1207.jpg],3[bigben/img0052.jpg],4[bigben/img1271.jpg],5[bigben/img0477.jpg],4[bigben/img0419.jpg],4[bigben/img0359.jpg],5[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3Y54SXRO1LMJKABKQL0NWTVKTIKUTT,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:24:58 PDT 2016","Thu Apr 21 04:26:28 PDT 2016",3[bigben/img0053.jpg],3[bigben/img0459.jpg],3[bigben/img0774.jpg],2[bigben/img0321.jpg],3[bigben/img1083.jpg],2[bigben/img0992.jpg],4[bigben/img0308.jpg],3[bigben/img0991.jpg],4[bigben/img1267.jpg],2[bigben/img1212.jpg],3[bigben/img0096.jpg],2[bigben/img1067.jpg],2[bigben/img0301.jpg],2[bigben/img0401.jpg],2[bigben/img0553.jpg],3[bigben/img0011.jpg],3[bigben/img0950.jpg],4[bigben/img0639.jpg],3[bigben/img1040.jpg],3[bigben/img0288.jpg],3[bigben/img0203.jpg],3[bigben/img0010.jpg],3[bigben/img0508.jpg],3[bigben/img1207.jpg],3[bigben/img0052.jpg],3[bigben/img1271.jpg],4[bigben/img0477.jpg],3[bigben/img0419.jpg],3[bigben/img0359.jpg],3[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3EJJQNKU9R61Z9S8MXOTDZ5CCTERHE,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:48:51 PDT 2016","Thu Apr 21 22:50:23 PDT 2016",5[bigben/img0053.jpg],5[bigben/img0459.jpg],5[bigben/img0774.jpg],5[bigben/img0321.jpg],5[bigben/img1083.jpg],5[bigben/img0992.jpg],5[bigben/img0308.jpg],5[bigben/img0991.jpg],5[bigben/img1267.jpg],5[bigben/img1212.jpg],5[bigben/img0096.jpg],5[bigben/img1067.jpg],5[bigben/img0301.jpg],5[bigben/img0401.jpg],5[bigben/img0553.jpg],5[bigben/img0011.jpg],5[bigben/img0950.jpg],5[bigben/img0639.jpg],5[bigben/img1040.jpg],5[bigben/img0288.jpg],5[bigben/img0203.jpg],5[bigben/img0010.jpg],5[bigben/img0508.jpg],5[bigben/img1207.jpg],5[bigben/img0052.jpg],5[bigben/img1271.jpg],5[bigben/img0477.jpg],5[bigben/img0419.jpg],5[bigben/img0359.jpg],5[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",326O153BMIZVEPI1EVL3N7RV5CZDEI,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:20:38 PDT 2016","Fri Apr 22 00:35:39 PDT 2016",4[bigben/img0053.jpg],1[bigben/img0459.jpg],4[bigben/img0774.jpg],4[bigben/img0321.jpg],4[bigben/img1083.jpg],3[bigben/img0992.jpg],4[bigben/img0308.jpg],4[bigben/img0991.jpg],4[bigben/img1267.jpg],4[bigben/img1212.jpg],4[bigben/img0096.jpg],5[bigben/img1067.jpg],5[bigben/img0301.jpg],5[bigben/img0401.jpg],5[bigben/img0553.jpg],4[bigben/img0011.jpg],4[bigben/img0950.jpg],4[bigben/img0639.jpg],5[bigben/img1040.jpg],5[bigben/img0288.jpg],5[bigben/img0203.jpg],5[bigben/img0010.jpg],5[bigben/img0508.jpg],5[bigben/img1207.jpg],5[bigben/img0052.jpg],4[bigben/img1271.jpg],4[bigben/img0477.jpg],4[bigben/img0419.jpg],4[bigben/img0359.jpg],4[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",3IQ1VMJRYTLGLMO8MAEF5SIETC09AG,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:07:35 PDT 2016","Fri Apr 22 05:09:14 PDT 2016",4[bigben/img0053.jpg],3[bigben/img0459.jpg],5[bigben/img0774.jpg],1[bigben/img0321.jpg],5[bigben/img1083.jpg],2[bigben/img0992.jpg],3[bigben/img0308.jpg],3[bigben/img0991.jpg],5[bigben/img1267.jpg],3[bigben/img1212.jpg],5[bigben/img0096.jpg],2[bigben/img1067.jpg],2[bigben/img0301.jpg],3[bigben/img0401.jpg],2[bigben/img0553.jpg],2[bigben/img0011.jpg],3[bigben/img0950.jpg],2[bigben/img0639.jpg],2[bigben/img1040.jpg],4[bigben/img0288.jpg],3[bigben/img0203.jpg],3[bigben/img0010.jpg],2[bigben/img0508.jpg],3[bigben/img1207.jpg],2[bigben/img0052.jpg],2[bigben/img1271.jpg],4[bigben/img0477.jpg],2[bigben/img0419.jpg],2[bigben/img0359.jpg],2[bigben/img0101.jpg],
3BJKPTD2QCDOHYL9WP0H3YCIC6VTRZ,"bigben_330-359","sample#command",39ASUFLU6X89CVNI5VMFHEUNLVTXEO,A2ZHFT828PSIR2,Approved,"Fri Apr 22 12:01:25 PDT 2016","Fri Apr 22 12:02:58 PDT 2016",1[bigben/img0053.jpg],1[bigben/img0459.jpg],1[bigben/img0774.jpg],1[bigben/img0321.jpg],1[bigben/img1083.jpg],2[bigben/img0992.jpg],3[bigben/img0308.jpg],3[bigben/img0991.jpg],2[bigben/img1267.jpg],4[bigben/img1212.jpg],2[bigben/img0096.jpg],2[bigben/img1067.jpg],4[bigben/img0301.jpg],1[bigben/img0401.jpg],3[bigben/img0553.jpg],1[bigben/img0011.jpg],1[bigben/img0950.jpg],1[bigben/img0639.jpg],1[bigben/img1040.jpg],1[bigben/img0288.jpg],1[bigben/img0203.jpg],2[bigben/img0010.jpg],3[bigben/img0508.jpg],3[bigben/img1207.jpg],4[bigben/img0052.jpg],4[bigben/img1271.jpg],1[bigben/img0477.jpg],3[bigben/img0419.jpg],1[bigben/img0359.jpg],5[bigben/img0101.jpg],
