HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3X66WABAJWJVGBCVR15FA1QVQ8WG3W,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:42:26 PDT 2016","Wed Apr 20 10:44:40 PDT 2016",4[bigben/img1043.jpg],4[bigben/img0400.jpg],3[bigben/img0138.jpg],5[bigben/img0878.jpg],4[bigben/img0775.jpg],4[bigben/img0682.jpg],4[bigben/img0647.jpg],4[bigben/img0007.jpg],2[bigben/img0900.jpg],3[bigben/img0413.jpg],4[bigben/img0993.jpg],4[bigben/img0507.jpg],4[bigben/img1266.jpg],4[bigben/img1016.jpg],5[bigben/img1062.jpg],4[bigben/img0700.jpg],2[bigben/img0926.jpg],4[bigben/img1041.jpg],5[bigben/img0298.jpg],4[bigben/img0492.jpg],4[bigben/img0417.jpg],2[bigben/img0150.jpg],4[bigben/img0118.jpg],5[bigben/img0610.jpg],5[bigben/img0741.jpg],5[bigben/img0872.jpg],4[bigben/img0550.jpg],4[bigben/img0863.jpg],4[bigben/img0860.jpg],4[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3LYA37P8IQO5LSCRWL50QCG0LH8KBC,A39BR7NYRDWC01,Approved,"Wed Apr 20 13:33:16 PDT 2016","Wed Apr 20 13:35:45 PDT 2016",4[bigben/img1043.jpg],5[bigben/img0400.jpg],3[bigben/img0138.jpg],5[bigben/img0878.jpg],3[bigben/img0775.jpg],3[bigben/img0682.jpg],5[bigben/img0647.jpg],4[bigben/img0007.jpg],5[bigben/img0900.jpg],4[bigben/img0413.jpg],4[bigben/img0993.jpg],4[bigben/img0507.jpg],4[bigben/img1266.jpg],4[bigben/img1016.jpg],5[bigben/img1062.jpg],4[bigben/img0700.jpg],3[bigben/img0926.jpg],4[bigben/img1041.jpg],4[bigben/img0298.jpg],4[bigben/img0492.jpg],4[bigben/img0417.jpg],5[bigben/img0150.jpg],4[bigben/img0118.jpg],5[bigben/img0610.jpg],3[bigben/img0741.jpg],5[bigben/img0872.jpg],4[bigben/img0550.jpg],4[bigben/img0863.jpg],4[bigben/img0860.jpg],5[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",37XITHEISWAAI1HS05AS288WYW8RCT,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:21:48 PDT 2016","Wed Apr 20 18:24:25 PDT 2016",5[bigben/img1043.jpg],4[bigben/img0400.jpg],3[bigben/img0138.jpg],4[bigben/img0878.jpg],3[bigben/img0775.jpg],3[bigben/img0682.jpg],3[bigben/img0647.jpg],3[bigben/img0007.jpg],4[bigben/img0900.jpg],3[bigben/img0413.jpg],4[bigben/img0993.jpg],4[bigben/img0507.jpg],3[bigben/img1266.jpg],3[bigben/img1016.jpg],4[bigben/img1062.jpg],3[bigben/img0700.jpg],3[bigben/img0926.jpg],3[bigben/img1041.jpg],4[bigben/img0298.jpg],4[bigben/img0492.jpg],4[bigben/img0417.jpg],4[bigben/img0150.jpg],4[bigben/img0118.jpg],3[bigben/img0610.jpg],3[bigben/img0741.jpg],3[bigben/img0872.jpg],4[bigben/img0550.jpg],4[bigben/img0863.jpg],4[bigben/img0860.jpg],3[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3QXNC7EIPIWKK9QQU8HMGM61JLZ90P,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:41:44 PDT 2016","Wed Apr 20 23:50:43 PDT 2016",4[bigben/img1043.jpg],5[bigben/img0400.jpg],4[bigben/img0138.jpg],5[bigben/img0878.jpg],3[bigben/img0775.jpg],4[bigben/img0682.jpg],3[bigben/img0647.jpg],5[bigben/img0007.jpg],4[bigben/img0900.jpg],3[bigben/img0413.jpg],5[bigben/img0993.jpg],4[bigben/img0507.jpg],5[bigben/img1266.jpg],5[bigben/img1016.jpg],4[bigben/img1062.jpg],3[bigben/img0700.jpg],5[bigben/img0926.jpg],4[bigben/img1041.jpg],5[bigben/img0298.jpg],3[bigben/img0492.jpg],4[bigben/img0417.jpg],5[bigben/img0150.jpg],4[bigben/img0118.jpg],5[bigben/img0610.jpg],4[bigben/img0741.jpg],3[bigben/img0872.jpg],4[bigben/img0550.jpg],5[bigben/img0863.jpg],5[bigben/img0860.jpg],5[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3OLQQLKKNSQ8HBITOR7EQ5M89S0EJS,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:32:11 PDT 2016","Thu Apr 21 04:33:37 PDT 2016",4[bigben/img1043.jpg],3[bigben/img0400.jpg],2[bigben/img0138.jpg],3[bigben/img0878.jpg],2[bigben/img0775.jpg],2[bigben/img0682.jpg],3[bigben/img0647.jpg],2[bigben/img0007.jpg],2[bigben/img0900.jpg],1[bigben/img0413.jpg],3[bigben/img0993.jpg],2[bigben/img0507.jpg],2[bigben/img1266.jpg],2[bigben/img1016.jpg],3[bigben/img1062.jpg],2[bigben/img0700.jpg],2[bigben/img0926.jpg],1[bigben/img1041.jpg],3[bigben/img0298.jpg],3[bigben/img0492.jpg],2[bigben/img0417.jpg],2[bigben/img0150.jpg],2[bigben/img0118.jpg],2[bigben/img0610.jpg],3[bigben/img0741.jpg],2[bigben/img0872.jpg],2[bigben/img0550.jpg],3[bigben/img0863.jpg],3[bigben/img0860.jpg],3[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",39ZSFO5CA8XP67FFERMJUN8BVJ9UJA,A27M1Y0OEO2Z4M,Approved,"Thu Apr 21 19:39:17 PDT 2016","Thu Apr 21 19:42:54 PDT 2016",5[bigben/img1043.jpg],5[bigben/img0400.jpg],4[bigben/img0138.jpg],4[bigben/img0878.jpg],3[bigben/img0775.jpg],4[bigben/img0682.jpg],4[bigben/img0647.jpg],4[bigben/img0007.jpg],3[bigben/img0900.jpg],1[bigben/img0413.jpg],3[bigben/img0993.jpg],2[bigben/img0507.jpg],2[bigben/img1266.jpg],2[bigben/img1016.jpg],4[bigben/img1062.jpg],3[bigben/img0700.jpg],4[bigben/img0926.jpg],3[bigben/img1041.jpg],3[bigben/img0298.jpg],5[bigben/img0492.jpg],3[bigben/img0417.jpg],3[bigben/img0150.jpg],2[bigben/img0118.jpg],3[bigben/img0610.jpg],3[bigben/img0741.jpg],3[bigben/img0872.jpg],3[bigben/img0550.jpg],3[bigben/img0863.jpg],5[bigben/img0860.jpg],3[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3I02618YA07LSIID94R3RJUN5JPUPN,A2V68RNQVUAY70,Approved,"Thu Apr 21 22:07:39 PDT 2016","Thu Apr 21 22:10:20 PDT 2016",5[bigben/img1043.jpg],5[bigben/img0400.jpg],5[bigben/img0138.jpg],5[bigben/img0878.jpg],3[bigben/img0775.jpg],5[bigben/img0682.jpg],5[bigben/img0647.jpg],5[bigben/img0007.jpg],5[bigben/img0900.jpg],5[bigben/img0413.jpg],5[bigben/img0993.jpg],5[bigben/img0507.jpg],5[bigben/img1266.jpg],4[bigben/img1016.jpg],4[bigben/img1062.jpg],4[bigben/img0700.jpg],4[bigben/img0926.jpg],4[bigben/img1041.jpg],3[bigben/img0298.jpg],5[bigben/img0492.jpg],2[bigben/img0417.jpg],5[bigben/img0150.jpg],2[bigben/img0118.jpg],4[bigben/img0610.jpg],4[bigben/img0741.jpg],4[bigben/img0872.jpg],4[bigben/img0550.jpg],4[bigben/img0863.jpg],4[bigben/img0860.jpg],4[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3R8YZBNQ9HJ4UJ7WW9DHHW6D24FQ79,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:50:28 PDT 2016","Thu Apr 21 22:51:02 PDT 2016",5[bigben/img1043.jpg],5[bigben/img0400.jpg],5[bigben/img0138.jpg],5[bigben/img0878.jpg],5[bigben/img0775.jpg],5[bigben/img0682.jpg],5[bigben/img0647.jpg],5[bigben/img0007.jpg],5[bigben/img0900.jpg],5[bigben/img0413.jpg],5[bigben/img0993.jpg],5[bigben/img0507.jpg],5[bigben/img1266.jpg],5[bigben/img1016.jpg],5[bigben/img1062.jpg],5[bigben/img0700.jpg],5[bigben/img0926.jpg],5[bigben/img1041.jpg],5[bigben/img0298.jpg],5[bigben/img0492.jpg],5[bigben/img0417.jpg],5[bigben/img0150.jpg],5[bigben/img0118.jpg],5[bigben/img0610.jpg],5[bigben/img0741.jpg],5[bigben/img0872.jpg],5[bigben/img0550.jpg],5[bigben/img0863.jpg],5[bigben/img0860.jpg],5[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",308Q0PEVB8EVR476YY6SMQ6X6KRI9F,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:19:05 PDT 2016","Fri Apr 22 00:25:41 PDT 2016",3[bigben/img1043.jpg],4[bigben/img0400.jpg],5[bigben/img0138.jpg],1[bigben/img0878.jpg],5[bigben/img0775.jpg],5[bigben/img0682.jpg],4[bigben/img0647.jpg],4[bigben/img0007.jpg],5[bigben/img0900.jpg],5[bigben/img0413.jpg],5[bigben/img0993.jpg],5[bigben/img0507.jpg],5[bigben/img1266.jpg],5[bigben/img1016.jpg],5[bigben/img1062.jpg],5[bigben/img0700.jpg],5[bigben/img0926.jpg],4[bigben/img1041.jpg],4[bigben/img0298.jpg],5[bigben/img0492.jpg],4[bigben/img0417.jpg],4[bigben/img0150.jpg],4[bigben/img0118.jpg],4[bigben/img0610.jpg],5[bigben/img0741.jpg],4[bigben/img0872.jpg],4[bigben/img0550.jpg],4[bigben/img0863.jpg],4[bigben/img0860.jpg],4[bigben/img0548.jpg],
3CRWSLD91K5H7Q39V0I1NPCL7BFOMK,"bigben_60-89","sample#command",3VNL7UK1XFKU1SEUVW5OATUHKZHFT0,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:14:15 PDT 2016","Fri Apr 22 05:15:32 PDT 2016",5[bigben/img1043.jpg],2[bigben/img0400.jpg],1[bigben/img0138.jpg],1[bigben/img0878.jpg],1[bigben/img0775.jpg],2[bigben/img0682.jpg],2[bigben/img0647.jpg],3[bigben/img0007.jpg],3[bigben/img0900.jpg],1[bigben/img0413.jpg],1[bigben/img0993.jpg],2[bigben/img0507.jpg],1[bigben/img1266.jpg],2[bigben/img1016.jpg],2[bigben/img1062.jpg],2[bigben/img0700.jpg],2[bigben/img0926.jpg],2[bigben/img1041.jpg],3[bigben/img0298.jpg],4[bigben/img0492.jpg],2[bigben/img0417.jpg],2[bigben/img0150.jpg],1[bigben/img0118.jpg],1[bigben/img0610.jpg],2[bigben/img0741.jpg],1[bigben/img0872.jpg],2[bigben/img0550.jpg],3[bigben/img0863.jpg],4[bigben/img0860.jpg],2[bigben/img0548.jpg],
