HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3R8YZBNQ9HJ4UJ7WW9DHHW6D1XS7QO,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:47:17 PDT 2016","Wed Apr 20 10:49:08 PDT 2016",3[bigben/img0525.jpg],4[bigben/img0157.jpg],4[bigben/img0527.jpg],5[bigben/img1023.jpg],5[bigben/img0263.jpg],5[bigben/img0061.jpg],4[bigben/img0026.jpg],5[bigben/img0023.jpg],5[bigben/img0368.jpg],4[bigben/img0684.jpg],4[bigben/img0468.jpg],4[bigben/img0854.jpg],4[bigben/img0008.jpg],5[bigben/img0348.jpg],4[bigben/img0162.jpg],4[bigben/img0324.jpg],4[bigben/img0873.jpg],4[bigben/img0455.jpg],4[bigben/img0703.jpg],2[bigben/img0058.jpg],5[bigben/img0142.jpg],5[bigben/img1049.jpg],5[bigben/img0573.jpg],5[bigben/img0493.jpg],4[bigben/img0801.jpg],4[bigben/img0870.jpg],4[bigben/img0676.jpg],4[bigben/img0893.jpg],2[bigben/img0827.jpg],4[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",37C0GNLMHF4R1APM8D25BJZIN95D6G,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 18:13:18 PDT 2016","Wed Apr 20 18:15:17 PDT 2016",4[bigben/img0525.jpg],4[bigben/img0157.jpg],3[bigben/img0527.jpg],4[bigben/img1023.jpg],4[bigben/img0263.jpg],4[bigben/img0061.jpg],3[bigben/img0026.jpg],4[bigben/img0023.jpg],4[bigben/img0368.jpg],5[bigben/img0684.jpg],4[bigben/img0468.jpg],4[bigben/img0854.jpg],3[bigben/img0008.jpg],4[bigben/img0348.jpg],3[bigben/img0162.jpg],3[bigben/img0324.jpg],3[bigben/img0873.jpg],3[bigben/img0455.jpg],4[bigben/img0703.jpg],4[bigben/img0058.jpg],4[bigben/img0142.jpg],3[bigben/img1049.jpg],4[bigben/img0573.jpg],5[bigben/img0493.jpg],4[bigben/img0801.jpg],4[bigben/img0870.jpg],4[bigben/img0676.jpg],4[bigben/img0893.jpg],3[bigben/img0827.jpg],5[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3RXCAC0YIRQHH8I13I0B1IY66WK8GG,A39BR7NYRDWC01,Approved,"Wed Apr 20 19:24:21 PDT 2016","Wed Apr 20 19:26:31 PDT 2016",4[bigben/img0525.jpg],4[bigben/img0157.jpg],3[bigben/img0527.jpg],4[bigben/img1023.jpg],5[bigben/img0263.jpg],5[bigben/img0061.jpg],5[bigben/img0026.jpg],5[bigben/img0023.jpg],5[bigben/img0368.jpg],4[bigben/img0684.jpg],5[bigben/img0468.jpg],4[bigben/img0854.jpg],4[bigben/img0008.jpg],5[bigben/img0348.jpg],3[bigben/img0162.jpg],3[bigben/img0324.jpg],5[bigben/img0873.jpg],4[bigben/img0455.jpg],4[bigben/img0703.jpg],5[bigben/img0058.jpg],5[bigben/img0142.jpg],4[bigben/img1049.jpg],5[bigben/img0573.jpg],5[bigben/img0493.jpg],4[bigben/img0801.jpg],4[bigben/img0870.jpg],4[bigben/img0676.jpg],4[bigben/img0893.jpg],4[bigben/img0827.jpg],4[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3DBQWDE4Y6Z44IGLSO63FIXC5ICN58,APAL3Y5SM0W08,Approved,"Wed Apr 20 21:09:23 PDT 2016","Wed Apr 20 21:12:36 PDT 2016",2[bigben/img0525.jpg],3[bigben/img0157.jpg],4[bigben/img0527.jpg],2[bigben/img1023.jpg],4[bigben/img0263.jpg],5[bigben/img0061.jpg],4[bigben/img0026.jpg],5[bigben/img0023.jpg],3[bigben/img0368.jpg],3[bigben/img0684.jpg],4[bigben/img0468.jpg],4[bigben/img0854.jpg],3[bigben/img0008.jpg],5[bigben/img0348.jpg],3[bigben/img0162.jpg],3[bigben/img0324.jpg],2[bigben/img0873.jpg],3[bigben/img0455.jpg],3[bigben/img0703.jpg],5[bigben/img0058.jpg],4[bigben/img0142.jpg],2[bigben/img1049.jpg],3[bigben/img0573.jpg],3[bigben/img0493.jpg],3[bigben/img0801.jpg],2[bigben/img0870.jpg],3[bigben/img0676.jpg],3[bigben/img0893.jpg],4[bigben/img0827.jpg],4[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",37TRT2X24QSAA869E05OPXGN6U8BJ8,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:41:47 PDT 2016","Wed Apr 20 23:53:21 PDT 2016",4[bigben/img0525.jpg],5[bigben/img0157.jpg],3[bigben/img0527.jpg],5[bigben/img1023.jpg],4[bigben/img0263.jpg],5[bigben/img0061.jpg],2[bigben/img0026.jpg],5[bigben/img0023.jpg],4[bigben/img0368.jpg],5[bigben/img0684.jpg],4[bigben/img0468.jpg],5[bigben/img0854.jpg],4[bigben/img0008.jpg],5[bigben/img0348.jpg],4[bigben/img0162.jpg],3[bigben/img0324.jpg],4[bigben/img0873.jpg],3[bigben/img0455.jpg],4[bigben/img0703.jpg],5[bigben/img0058.jpg],5[bigben/img0142.jpg],4[bigben/img1049.jpg],5[bigben/img0573.jpg],3[bigben/img0493.jpg],3[bigben/img0801.jpg],4[bigben/img0870.jpg],5[bigben/img0676.jpg],4[bigben/img0893.jpg],4[bigben/img0827.jpg],5[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3H7XDTSHKCSS79EJ1LGHFY1SO4OWGM,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:28:47 PDT 2016","Thu Apr 21 04:30:12 PDT 2016",3[bigben/img0525.jpg],2[bigben/img0157.jpg],2[bigben/img0527.jpg],3[bigben/img1023.jpg],2[bigben/img0263.jpg],3[bigben/img0061.jpg],2[bigben/img0026.jpg],3[bigben/img0023.jpg],3[bigben/img0368.jpg],2[bigben/img0684.jpg],3[bigben/img0468.jpg],2[bigben/img0854.jpg],2[bigben/img0008.jpg],3[bigben/img0348.jpg],2[bigben/img0162.jpg],2[bigben/img0324.jpg],2[bigben/img0873.jpg],2[bigben/img0455.jpg],2[bigben/img0703.jpg],3[bigben/img0058.jpg],3[bigben/img0142.jpg],2[bigben/img1049.jpg],3[bigben/img0573.jpg],2[bigben/img0493.jpg],2[bigben/img0801.jpg],2[bigben/img0870.jpg],2[bigben/img0676.jpg],3[bigben/img0893.jpg],2[bigben/img0827.jpg],2[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3KV0LJBBH2MNRNTJDU4654D8TFBMRG,A2V68RNQVUAY70,Approved,"Thu Apr 21 22:27:08 PDT 2016","Thu Apr 21 22:30:11 PDT 2016",4[bigben/img0525.jpg],4[bigben/img0157.jpg],3[bigben/img0527.jpg],4[bigben/img1023.jpg],4[bigben/img0263.jpg],4[bigben/img0061.jpg],4[bigben/img0026.jpg],4[bigben/img0023.jpg],4[bigben/img0368.jpg],4[bigben/img0684.jpg],4[bigben/img0468.jpg],3[bigben/img0854.jpg],3[bigben/img0008.jpg],3[bigben/img0348.jpg],3[bigben/img0162.jpg],3[bigben/img0324.jpg],3[bigben/img0873.jpg],3[bigben/img0455.jpg],2[bigben/img0703.jpg],4[bigben/img0058.jpg],4[bigben/img0142.jpg],4[bigben/img1049.jpg],4[bigben/img0573.jpg],3[bigben/img0493.jpg],3[bigben/img0801.jpg],4[bigben/img0870.jpg],4[bigben/img0676.jpg],4[bigben/img0893.jpg],4[bigben/img0827.jpg],4[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3YWRV122CS00MQJWNNPS5XZXG9SU86,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:48:55 PDT 2016","Thu Apr 21 22:50:06 PDT 2016",5[bigben/img0525.jpg],5[bigben/img0157.jpg],5[bigben/img0527.jpg],5[bigben/img1023.jpg],5[bigben/img0263.jpg],5[bigben/img0061.jpg],5[bigben/img0026.jpg],5[bigben/img0023.jpg],5[bigben/img0368.jpg],5[bigben/img0684.jpg],5[bigben/img0468.jpg],5[bigben/img0854.jpg],5[bigben/img0008.jpg],5[bigben/img0348.jpg],5[bigben/img0162.jpg],5[bigben/img0324.jpg],5[bigben/img0873.jpg],5[bigben/img0455.jpg],5[bigben/img0703.jpg],5[bigben/img0058.jpg],5[bigben/img0142.jpg],5[bigben/img1049.jpg],5[bigben/img0573.jpg],5[bigben/img0493.jpg],5[bigben/img0801.jpg],5[bigben/img0870.jpg],5[bigben/img0676.jpg],5[bigben/img0893.jpg],5[bigben/img0827.jpg],5[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",35GMH2SV3EIMIM9Q44ZJY13U9Q6OEQ,A99QRHR8P2UHN,Approved,"Fri Apr 22 00:21:58 PDT 2016","Fri Apr 22 00:35:05 PDT 2016",3[bigben/img0525.jpg],4[bigben/img0157.jpg],4[bigben/img0527.jpg],5[bigben/img1023.jpg],5[bigben/img0263.jpg],5[bigben/img0061.jpg],5[bigben/img0026.jpg],5[bigben/img0023.jpg],5[bigben/img0368.jpg],5[bigben/img0684.jpg],5[bigben/img0468.jpg],4[bigben/img0854.jpg],4[bigben/img0008.jpg],4[bigben/img0348.jpg],5[bigben/img0162.jpg],4[bigben/img0324.jpg],5[bigben/img0873.jpg],4[bigben/img0455.jpg],4[bigben/img0703.jpg],1[bigben/img0058.jpg],5[bigben/img0142.jpg],5[bigben/img1049.jpg],5[bigben/img0573.jpg],5[bigben/img0493.jpg],5[bigben/img0801.jpg],5[bigben/img0870.jpg],5[bigben/img0676.jpg],5[bigben/img0893.jpg],4[bigben/img0827.jpg],5[bigben/img1223.jpg],
3FHTJGYT8N1Z0GJOZXXLZKXELUZGPL,"bigben_540-569","sample#command",3Z3ZLGNNSIVMT069UXAR4FUXX2C3Q0,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:11:13 PDT 2016","Fri Apr 22 05:12:32 PDT 2016",5[bigben/img0525.jpg],1[bigben/img0157.jpg],2[bigben/img0527.jpg],4[bigben/img1023.jpg],2[bigben/img0263.jpg],2[bigben/img0061.jpg],1[bigben/img0026.jpg],3[bigben/img0023.jpg],4[bigben/img0368.jpg],1[bigben/img0684.jpg],4[bigben/img0468.jpg],2[bigben/img0854.jpg],1[bigben/img0008.jpg],2[bigben/img0348.jpg],2[bigben/img0162.jpg],2[bigben/img0324.jpg],2[bigben/img0873.jpg],2[bigben/img0455.jpg],3[bigben/img0703.jpg],4[bigben/img0058.jpg],2[bigben/img0142.jpg],4[bigben/img1049.jpg],5[bigben/img0573.jpg],2[bigben/img0493.jpg],2[bigben/img0801.jpg],2[bigben/img0870.jpg],3[bigben/img0676.jpg],2[bigben/img0893.jpg],2[bigben/img0827.jpg],4[bigben/img1223.jpg],
