HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10,Answer 11,Answer 12,Answer 13,Answer 14,Answer 15,Answer 16,Answer 17,Answer 18,Answer 19,Answer 20,Answer 21,Answer 22,Answer 23,Answer 24,Answer 25,Answer 26,Answer 27,Answer 28,Answer 29,Answer 30
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3O7L7BFSHEQCM0YN69MEE478WAFIEI,A1XC5OV00MECKQ,Approved,"Wed Apr 20 10:49:28 PDT 2016","Wed Apr 20 10:51:20 PDT 2016",4[bigben/img0501.jpg],4[bigben/img1111.jpg],4[bigben/img0046.jpg],5[bigben/img1011.jpg],5[bigben/img0608.jpg],5[bigben/img0591.jpg],5[bigben/img0187.jpg],4[bigben/img1139.jpg],4[bigben/img0398.jpg],4[bigben/img0286.jpg],2[bigben/img1182.jpg],4[bigben/img1184.jpg],5[bigben/img1022.jpg],5[bigben/img1146.jpg],4[bigben/img0323.jpg],5[bigben/img0124.jpg],4[bigben/img0392.jpg],4[bigben/img0813.jpg],2[bigben/img0463.jpg],4[bigben/img0888.jpg],5[bigben/img0651.jpg],5[bigben/img1145.jpg],4[bigben/img0776.jpg],4[bigben/img0662.jpg],4[bigben/img0810.jpg],4[bigben/img1176.jpg],4[bigben/img0579.jpg],2[bigben/img1180.jpg],4[bigben/img0304.jpg],4[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3G0WWMR1UVLTX4ZJCGU6DTS31EPQNE,A2FA4YYFWJMRV4,Approved,"Wed Apr 20 19:09:40 PDT 2016","Wed Apr 20 19:12:39 PDT 2016",4[bigben/img0501.jpg],4[bigben/img1111.jpg],4[bigben/img0046.jpg],5[bigben/img1011.jpg],5[bigben/img0608.jpg],4[bigben/img0591.jpg],4[bigben/img0187.jpg],4[bigben/img1139.jpg],4[bigben/img0398.jpg],4[bigben/img0286.jpg],4[bigben/img1182.jpg],4[bigben/img1184.jpg],4[bigben/img1022.jpg],4[bigben/img1146.jpg],4[bigben/img0323.jpg],5[bigben/img0124.jpg],5[bigben/img0392.jpg],4[bigben/img0813.jpg],4[bigben/img0463.jpg],4[bigben/img0888.jpg],4[bigben/img0651.jpg],5[bigben/img1145.jpg],4[bigben/img0776.jpg],4[bigben/img0662.jpg],4[bigben/img0810.jpg],4[bigben/img1176.jpg],4[bigben/img0579.jpg],4[bigben/img1180.jpg],5[bigben/img0304.jpg],5[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",32XVDSJFPZY6N3CYY4P54W50GI3M2Y,A39BR7NYRDWC01,Approved,"Wed Apr 20 19:17:41 PDT 2016","Wed Apr 20 19:19:45 PDT 2016",5[bigben/img0501.jpg],4[bigben/img1111.jpg],4[bigben/img0046.jpg],4[bigben/img1011.jpg],5[bigben/img0608.jpg],4[bigben/img0591.jpg],4[bigben/img0187.jpg],4[bigben/img1139.jpg],5[bigben/img0398.jpg],5[bigben/img0286.jpg],5[bigben/img1182.jpg],5[bigben/img1184.jpg],5[bigben/img1022.jpg],5[bigben/img1146.jpg],5[bigben/img0323.jpg],5[bigben/img0124.jpg],4[bigben/img0392.jpg],5[bigben/img0813.jpg],5[bigben/img0463.jpg],5[bigben/img0888.jpg],4[bigben/img0651.jpg],5[bigben/img1145.jpg],5[bigben/img0776.jpg],4[bigben/img0662.jpg],5[bigben/img0810.jpg],5[bigben/img1176.jpg],3[bigben/img0579.jpg],4[bigben/img1180.jpg],4[bigben/img0304.jpg],5[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",37FMASSAYCSEFXM3WIKODW1NTFIIB2,A3J5GUVGA6WQJG,Approved,"Wed Apr 20 23:41:49 PDT 2016","Wed Apr 20 23:54:38 PDT 2016",4[bigben/img0501.jpg],5[bigben/img1111.jpg],5[bigben/img0046.jpg],4[bigben/img1011.jpg],5[bigben/img0608.jpg],3[bigben/img0591.jpg],4[bigben/img0187.jpg],4[bigben/img1139.jpg],4[bigben/img0398.jpg],3[bigben/img0286.jpg],3[bigben/img1182.jpg],3[bigben/img1184.jpg],4[bigben/img1022.jpg],5[bigben/img1146.jpg],5[bigben/img0323.jpg],4[bigben/img0124.jpg],5[bigben/img0392.jpg],4[bigben/img0813.jpg],2[bigben/img0463.jpg],5[bigben/img0888.jpg],4[bigben/img0651.jpg],4[bigben/img1145.jpg],4[bigben/img0776.jpg],3[bigben/img0662.jpg],4[bigben/img0810.jpg],4[bigben/img1176.jpg],3[bigben/img0579.jpg],4[bigben/img1180.jpg],4[bigben/img0304.jpg],5[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",39O5D9O87TTIZZWQPF9WKA5GSJ13CC,A12PPDBCH2MF2Y,Approved,"Thu Apr 21 04:26:52 PDT 2016","Thu Apr 21 04:28:32 PDT 2016",3[bigben/img0501.jpg],2[bigben/img1111.jpg],2[bigben/img0046.jpg],3[bigben/img1011.jpg],4[bigben/img0608.jpg],4[bigben/img0591.jpg],3[bigben/img0187.jpg],3[bigben/img1139.jpg],4[bigben/img0398.jpg],3[bigben/img0286.jpg],3[bigben/img1182.jpg],4[bigben/img1184.jpg],4[bigben/img1022.jpg],4[bigben/img1146.jpg],4[bigben/img0323.jpg],4[bigben/img0124.jpg],4[bigben/img0392.jpg],2[bigben/img0813.jpg],2[bigben/img0463.jpg],3[bigben/img0888.jpg],1[bigben/img0651.jpg],4[bigben/img1145.jpg],3[bigben/img0776.jpg],3[bigben/img0662.jpg],3[bigben/img0810.jpg],3[bigben/img1176.jpg],3[bigben/img0579.jpg],3[bigben/img1180.jpg],3[bigben/img0304.jpg],2[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3DY4FPOOA1P6HANSRM5XS0WLK8OVR7,ASY5AZCZEM04L,Approved,"Thu Apr 21 22:48:53 PDT 2016","Thu Apr 21 22:49:31 PDT 2016",5[bigben/img0501.jpg],5[bigben/img1111.jpg],5[bigben/img0046.jpg],5[bigben/img1011.jpg],5[bigben/img0608.jpg],5[bigben/img0591.jpg],5[bigben/img0187.jpg],5[bigben/img1139.jpg],5[bigben/img0398.jpg],5[bigben/img0286.jpg],5[bigben/img1182.jpg],5[bigben/img1184.jpg],5[bigben/img1022.jpg],5[bigben/img1146.jpg],5[bigben/img0323.jpg],5[bigben/img0124.jpg],5[bigben/img0392.jpg],5[bigben/img0813.jpg],5[bigben/img0463.jpg],5[bigben/img0888.jpg],5[bigben/img0651.jpg],5[bigben/img1145.jpg],5[bigben/img0776.jpg],5[bigben/img0662.jpg],5[bigben/img0810.jpg],5[bigben/img1176.jpg],5[bigben/img0579.jpg],5[bigben/img1180.jpg],5[bigben/img0304.jpg],5[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3R6BYFZZP7D1I9NE066LZWFNXV4XF0,A2B0QV4J4UQFI2,Approved,"Fri Apr 22 05:09:31 PDT 2016","Fri Apr 22 05:10:52 PDT 2016",2[bigben/img0501.jpg],2[bigben/img1111.jpg],2[bigben/img0046.jpg],5[bigben/img1011.jpg],5[bigben/img0608.jpg],3[bigben/img0591.jpg],4[bigben/img0187.jpg],3[bigben/img1139.jpg],2[bigben/img0398.jpg],2[bigben/img0286.jpg],2[bigben/img1182.jpg],3[bigben/img1184.jpg],4[bigben/img1022.jpg],5[bigben/img1146.jpg],5[bigben/img0323.jpg],5[bigben/img0124.jpg],5[bigben/img0392.jpg],2[bigben/img0813.jpg],3[bigben/img0463.jpg],2[bigben/img0888.jpg],1[bigben/img0651.jpg],3[bigben/img1145.jpg],2[bigben/img0776.jpg],1[bigben/img0662.jpg],2[bigben/img0810.jpg],1[bigben/img1176.jpg],1[bigben/img0579.jpg],2[bigben/img1180.jpg],1[bigben/img0304.jpg],3[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3YOH7BII098KU6AX12W0ROA7PJBVK1,AFG3FXABPGSZS,Approved,"Fri Apr 22 20:37:50 PDT 2016","Fri Apr 22 20:43:29 PDT 2016",3[bigben/img0501.jpg],4[bigben/img1111.jpg],4[bigben/img0046.jpg],4[bigben/img1011.jpg],4[bigben/img0608.jpg],4[bigben/img0591.jpg],5[bigben/img0187.jpg],5[bigben/img1139.jpg],5[bigben/img0398.jpg],4[bigben/img0286.jpg],4[bigben/img1182.jpg],4[bigben/img1184.jpg],4[bigben/img1022.jpg],5[bigben/img1146.jpg],4[bigben/img0323.jpg],3[bigben/img0124.jpg],4[bigben/img0392.jpg],4[bigben/img0813.jpg],4[bigben/img0463.jpg],4[bigben/img0888.jpg],4[bigben/img0651.jpg],4[bigben/img1145.jpg],4[bigben/img0776.jpg],3[bigben/img0662.jpg],4[bigben/img0810.jpg],4[bigben/img1176.jpg],5[bigben/img0579.jpg],4[bigben/img1180.jpg],4[bigben/img0304.jpg],4[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3Q5ZZ9ZEVOGJ1BTHMMHKXL7HHWU582,A1LPGEEJ8Z5NNR,Approved,"Sat Apr 23 01:49:45 PDT 2016","Sat Apr 23 01:51:35 PDT 2016",4[bigben/img0501.jpg],4[bigben/img1111.jpg],2[bigben/img0046.jpg],3[bigben/img1011.jpg],5[bigben/img0608.jpg],5[bigben/img0591.jpg],5[bigben/img0187.jpg],4[bigben/img1139.jpg],4[bigben/img0398.jpg],4[bigben/img0286.jpg],4[bigben/img1182.jpg],5[bigben/img1184.jpg],5[bigben/img1022.jpg],4[bigben/img1146.jpg],5[bigben/img0323.jpg],4[bigben/img0124.jpg],3[bigben/img0392.jpg],4[bigben/img0813.jpg],4[bigben/img0463.jpg],1[bigben/img0888.jpg],2[bigben/img0651.jpg],5[bigben/img1145.jpg],4[bigben/img0776.jpg],4[bigben/img0662.jpg],5[bigben/img0810.jpg],2[bigben/img1176.jpg],2[bigben/img0579.jpg],4[bigben/img1180.jpg],4[bigben/img0304.jpg],1[bigben/img0248.jpg],
3FULMHZ7OUYD3XTRCG3S9R6GQKFM48,"bigben_390-419","sample#command",3EICBYG644XTKDYFS01J0HM5POHJCF,AN5R4VVFBTHMY,Approved,"Sat Apr 23 04:34:45 PDT 2016","Sat Apr 23 04:37:13 PDT 2016",3[bigben/img0501.jpg],2[bigben/img1111.jpg],2[bigben/img0046.jpg],3[bigben/img1011.jpg],3[bigben/img0608.jpg],4[bigben/img0591.jpg],4[bigben/img0187.jpg],3[bigben/img1139.jpg],3[bigben/img0398.jpg],4[bigben/img0286.jpg],4[bigben/img1182.jpg],3[bigben/img1184.jpg],3[bigben/img1022.jpg],2[bigben/img1146.jpg],3[bigben/img0323.jpg],3[bigben/img0124.jpg],4[bigben/img0392.jpg],2[bigben/img0813.jpg],2[bigben/img0463.jpg],2[bigben/img0888.jpg],4[bigben/img0651.jpg],5[bigben/img1145.jpg],3[bigben/img0776.jpg],3[bigben/img0662.jpg],4[bigben/img0810.jpg],3[bigben/img1176.jpg],2[bigben/img0579.jpg],3[bigben/img1180.jpg],3[bigben/img0304.jpg],4[bigben/img0248.jpg],
